'a'he'he 阿呵呵
'ji'song'yi'bai'si'shi'yi'shou'lai'zhu'qing'liang'si 偈颂一百四十一首来住清凉寺
'ji'song'yi'bai'si'shi'yi'shou'ling'shan'hua'yue 偈颂一百四十一首灵山话月
'ji'song'yi'bai'si'shi'yi'shou'ming'bu'de 偈颂一百四十一首名不得
'ji'song'yi'bai'si'shi'yi'shou'qi'fo'yi'qian 偈颂一百四十一首七佛已前
'ji'song'yi'bai'si'shi'yi'shou'qian'san'hou'san 偈颂一百四十一首前三后三
'ji'song'yi'bai'si'shi'yi'shou'qian'yue'zhi'ci'yue 偈颂一百四十一首前月只此月
'ji'song'yi'bai'si'shi'yi'shou'qu'nian'mei 偈颂一百四十一首去年梅
'ji'song'yi'bai'si'shi'yi'shou'qu'nian'mei'jin'sui'liu 偈颂一百四十一首去年梅今岁柳
'ji'song'yi'bai'si'shi'yi'shou'ru'feng'jin'ri'kai'lu 偈颂一百四十一首乳峰今日开炉
'ji'song'yi'bai'si'shi'yi'shou'shang'yuan'zheng'yue'ban 偈颂一百四十一首上元正月半
'ji'song'yi'bai'si'shi'yi'shou'shao'lin'xiao'xi'jue 偈颂一百四十一首少林消息绝
'ji'song'yi'bai'si'shi'yi'shou'shi'si'shi'wu 偈颂一百四十一首十四十五
'ji'song'yi'bai'si'shi'yi'shou'wo'yu'zhe'lao'han 偈颂一百四十一首我与这老汉
'ji'song'yi'bai'si'shi'yi'shou'wu'wu'er'shi'wu 偈颂一百四十一首五五二十五
'ji'song'yi'bai'si'shi'yi'shou'ye'an'zhou'ming 偈颂一百四十一首夜暗昼明
'ji'song'yi'bai'si'shi'yi'shou'yi'dong'er'dong 偈颂一百四十一首一冬二冬
'ji'song'yi'bai'si'shi'yi'shou'yi'ge'shi'yi'ge 偈颂一百四十一首一个是一个
'ji'song'yi'bai'si'shi'yi'shou'yi'nian'shi'er'yue 偈颂一百四十一首一年十二月
'ji'song'yi'bai'si'shi'yi'shou'yi'ye'luo 偈颂一百四十一首一叶落
'ji'song'yi'bai'si'shi'yi'shou'yun'cong'long 偈颂一百四十一首云从龙
'ji'song'yi'bai'si'shi'yi'shou'zu'shi'ba'bi 偈颂一百四十一首祖师巴鼻
'ji'song'yi'bai'yi'shi'qi'shou'jiu'yue'jiu 偈颂一百一十七首九月九
'ji'song'yi'bai'yi'shi'qi'shou'pin'ku'zhi'feng 偈颂一百一十七首贫苦芝峰
'ji'song'yi'bai'yi'shi'qi'shou'yu'hu'yi 偈颂一百一十七首浴乎沂
'ji'xiong'fen 吉凶分
'ji'xue'dou'xi'sou 寄雪窦希叟
'ji'yun'feng'qian'gu'feng'jue'lv 集云峰前孤风绝侣
'ji'yun'zhi'ju'jian'ding'shang'liang 集云只据见定商量
'ji'zhi'ju'min 机智俱泯
'ji'zhuan'yu'lun'ce 机转玉轮侧
'jia'bin'dao'lai 佳宾到来
'jia'feng'dan'bo 家风淡薄
'jia'men'yi'shi'shuai 家门一世衰
'jia'shan'ben'wu'qi'te'shi 夹山本无奇特事
'jia'wu'bai'ze'zhi'tu 家无白泽之图
'jia'wu'di'chuan 驾无底船
'jia'ye'feng'qian'bian'duo'gen 迦叶峰前便垛根
'jia'ye'wei'xiao 迦叶微笑
'jia'ye'yang'mei 迦叶扬眉
'jia'zai'hai'shan'yun'wai'feng 家在海山云外峰
'jia'zhi'lie'huo'er'se'wu'shao'jia 加之烈火而色无少假
'jia'zi'bu'yu 甲子不雨
'jian'bian'wu'yi'dian'chen'ai 涧边无一点尘埃
'jian'bu'tou'tuo 见不透脱
'jian'cheng'ti'mu 见成题目
'jian'chu'fen'ming'de'chu'qin 见处分明得处亲
'jian'dao'fu'chi 剪刀拂尺
'jian'de'che 见得彻
'jian'de'dao 见得到
'jian'de'fen'ming'yan'zhu'sha 见得分明眼著砂
'jian'ru'ni'tu 贱如泥土
'jian'shan'bu'shi'shan 见山不是山
'jian'shi'bu'zhi'fen'wen 贱时不直分文
'jian'shi'yao'zuo'chan 健时要坐禅
'jian'wen'jue'zhi 见闻觉知
'jian'zai'ji'xian 鉴在机先
'jian'zai'ji'xian'yi'shi'chi 鉴在机先已是迟
'jiang'fu'xue'feng'shi'gui'shang'ren 将赴雪峰示圭上人
'jiang'he'pu'she 将何铺设
'jiang'hu'hao'hao'yue'sui'liu 江湖浩浩月随溜
'jiang'hu'xiang'wang 江湖相忘
'jiang'hu'zhuo'e'ying'wang'jun 江湖斫额应望君
'jiang'lai'bu'xiang'si 将来不相似
'jiang'nan'jiang'bei'shao'zhi'yin 江南江北少知音
'jiang'nan'ye'shui'lian'tian'bi 江南野水连天碧
'jiang'shan'sui'nen'mo'dao 蒋山虽恁麽道
'jiang'sheng'yi'ye'cui'xing'se 江声一夜催行色
'jiang'yi'jing'cao'zuo'zhang'liu'jin'shen'yong 将一茎草作丈六金身用
'jiang'you'xi'zao 将油洗皂
'jiao'fan'bo'ti'chang'tu'she 骄梵钵提长吐舌
'jiao'jian'ti'dao'ling'xiao'feng 脚尖踢倒凌霄峰
'jiao'jiao'jie'jie 皎皎洁洁
'jiao'jiao'yin'guo 胶胶因果
'jiao'ta'di 脚踏地
'jiao'ying'song'luo 交影松萝
'jiao'yuan'jing'yu'duo'qiu'yi 郊原经雨多秋意
'jiao'zong'ye'bao'zheng'mi'fan 茭粽叶包蒸米饭
'jie'dao'chi'cha'zhen'zhong'xie 解道吃茶珍重歇
'jie'de'gong'xian'duan 结得弓弦断
'jie'gui'hua'tao'fu 借鬼画桃符
'jie'he'xu'fu 截鹤续凫
'jie'hu'kuan 劫壶宽
'jie'ji'jin 阶级尽
'jie'jie'bu'jie'jie 借借不借借
'jie'jie'zhong'qiu 节届中秋
'jie'li'ba'feng'chui'bu'dong 介立八风吹不动
'jie'li'tian'qu'po'zhe'lei 借力天衢破蛰雷
'jie'ling'bu'xiang'rao 节令不相饶
'jie'qi'tian'ji'shen'zhu'song 节启天基伸祝颂
'jie'shi'xu'wang 皆是虚妄
'jie'tan'ben'chi'tu'lu'ke 嗟叹奔驰途路客
'jie'wai'you'shen 劫外游神
'jin'bao'te'shi 锦包特石
'jin'cu'cu 锦簇簇
'jin'da'di 尽大地
'jin'da'di'ren'fu'chi'bu'qi 尽大地人扶持不起
'jin'da'di'ren'nan'zhi'zhu 尽大地人难指注
'jin'feng'ti'lu 金风体露
'jin'fu'hai'qin'jin 今复还亲觐
'jin'hua'sheng'zhe'wu'ren'shi 金华圣者无人识
'jin'jing'nong'zhuang'shi'yang'hua 锦镜浓妆十样花
'jin'lun'wang'zhai 金轮王宅
'jin'mu'shui'huo'tu 金木水火土
'jin'qing'hua'duan 尽情画断
'jin'ri'bu'ci'ju'si'zhu'ren 今日不辞举似诸人
'jin'ri'bu'mie 今日不灭
'jin'ri'chong'yang 今日重阳
'jin'ri'ru'shi 今日如是
'jin'ri'wei'shen'me'shao'xiang'li'bai 今日为什么烧香礼拜
'jin'ri'zhao'ri 今日朝日
'jin'shan'ji'liang'ji'wu 金山伎俩既无
'jin'si'bu'duan'tu'suo'chang 锦丝不断吐梭肠
'jin'sui'ban'cheng'shuang 今岁半成霜
'jin'sui'liu 今岁柳
'jin'tui'chu'fan'zhi'yang 进退触藩之羊
'jin'wei'jian'ming'xing'wu'dao 尽谓见明星悟道
'jin'wen'huo'xian'a'bi'yu 近闻活陷阿鼻狱
'jin'yi'bu 进一步
'jin'zai'kou'pi'bian 近在口皮边
'jin'zhao'duan'wu'jie 今朝端午节
'jin'zhao'liu'yue'yi 今朝六月一
'jin'zhao'qi'yue'yi 今朝七月一
'jin'zhao'shi'yue'shi'wu 今朝十月十五
'jin'zhao'wu'yue'wu 今朝五月五
'jin'zhao'you'zhi'si'yue'ba 今朝又值四月八
'jin'zhe'yi'bu 进这一步
'jing'di'shang'bu'xu'lang'ji 净地上不许狼籍
'jing'er'ying 静而应
'jing'ji'can'tian 荆棘参天
'jing'ji'lin'zhong'you'lu'tong 荆棘林中有路通
'jing'jin'yue'ye 精金跃冶
'jing'ming'du'kou 净名杜口
'jing'ming'yi'pian'dang'shi'shi 精明一片当时事
'jing'shan'bu'gan'xiang'man 径山不敢相谩
'jing'shang'zhong'qiu'jie 竞赏中秋节
'jing'wai'kuang'ben'yan'ruo'duo 镜外狂奔演若多
'jing'ye'shen'zhi'zai'gu 静也神之在谷
'jing'zi'ran'guang 静自然光
'jiu'du'yu'yi'qie 救度於一切
'jiu'feng'dian'zhu'bian'hui'qu 鹫峰点著便回去
'jiu'feng'mo'shang'neng'xing'ling 九峰末上能行令
'jiu'jing'quan'wu'xie'qi'xi 究竟全无些气息
'jiu'ju'ming'lan 九据名蓝
'jiu'nian'mian'bi 九年面壁
'jiu'nian'ri'you'xin'nian'ri 旧年日有新年日
'jiu'qu'huang'he'che'di'qing 九曲黄河彻底清
'jiu'ri'chong'yang 旧日重阳
'jiu'ri'chong'yang'jie 九日重阳节
'jiu'ri'dang'jia'jie 九日当佳节
'jiu'ri'ju'hua'xin 九日菊花新
'jiu'tian'yun'jing'he'gao'fei 九天云净鹤高飞
'jiu'yue'jiu 九月九
'jiu'yue'shou'yi 九月授衣
'jiu'zhong'ci'jing'nan'tu'lu 就中此景难图录
'jiu'zhong'da'zhe'bian'wei'xian 就中达者便为先
'jiu'zhong'huo'di'wu'duo'zi 就中活底无多子
'jiu'zhong'yi'ju'zi 就中一句子
'ju'qing'wan'lai'chen 俱清万籁沉
'ju'shi'wen'ma'zu'bu'yu'wan'fa'wei'lv'tu'zan 居士问马祖不与万法为侣图赞
'ju'shi'wu'ren'shi'de'yi 举世无人识得伊
'ju'shi'wu'si'bu'dai'tian 举世无思不戴天
'ju'tan'bu'er'men 剧谈不二门
'ju'zhang'lao'qing'zan 炬长老请赞
'ju'zhi'shu'zhi 俱胝竖指
'ju'zhu'bu'jian'zhu 居竹不见竹
'ju'zu'qing'bai'fan'xing'zhi'xiang 具足清白梵行之相
'ju'zu'xia'zu 举足下足
'ju'zuo'hu'chuang 据坐胡床
'juan'er'fen'fu'yun'ju 捲而分付云居
'jue'bai'fei 绝百非
'jue'hao'jue'li 绝毫绝厘
'jue'hou'he'ceng'de'zai'su 绝后何曾得载甦
'jue'jiao'mai'ren 掘窖埋人
'jue'lv'wang'yuan 绝虑忘缘
'jue'tou'huo'ji'shi'shi'yong 钁头活计时时用
'jue'xue'wei'lin 绝学为邻
'jun'qiong'wo'yi'pin 君穷我亦贫
'jun'sheng'chen'xian 君圣臣贤
'jun'zhe'wen'ming 濬哲文明
'kai'kou'bian'jian'xin'gan 开口便见心肝
'kai'kou'yao'zhu'sheng'tie 开口咬著生铁
'kai'pin'ji'cuo 开品即错
'kai'shi'bian'zuo'xie'shi'kan 开时便作谢时看
'kai'yan'ye'zhu 开眼也著
'kan'bei'kan'xiao'lao'ling'yun 堪悲堪笑老灵云
'kan'kan'jiu'wan'tuan'fu'yao 看看九万抟扶摇
'kan'shi'rong'yi'mi'shi'nan 看时容易觅时难
'kan'si'leng'ta'di 看四棱塌地
'kan'xiang'pu 看相扑
'kan'xiao'dang'shi'tian'tai'shan'zhong 堪笑当时天台山中
'kan'xiao'gao'li'si'jiu'seng 堪笑高丽四九僧
'kan'xiao'jie'liu'ren'bu'jian 堪笑截流人不荐
'kan'xiao'li'jiang'jun 堪笑李将军
'kan'yu'na'seng'wei'gui'ze 堪与衲僧为轨则
'kao'bu'dai'kan'du'lou'bu'kai'kou'xiao'zan 靠布袋看髑髅不开口笑赞
'ke'lian'xi'pan'zhou'jia'nv 可怜溪畔周家女
'ke'lian'ye'bei'dan'qing'wu 可怜也被丹青污
'ke'lu'ru'tian'yuan 客路如天远
'ke'sha'yu'chi 可煞愚痴
'ke'shan 可山
'ke'xi'dang'chu'guo'qing'si'guo 可惜当初国清寺裹
'ke'xi'lao'yan'tou 可惜老岩头
'ke'zhong'bie'you'lu'tong'xiao 可中别有路通霄
'ke'zhong'yi'jian'bian'zhi'gui 可中一见便知归
'ke'zhong'zi'you'ling'xiao'lu 可中自有凌霄露
'ken'xue'jiao'liao'lian'yi'zhi 肯学鹪鹩恋一枝
'kong'hu'zhu'yue'ying'shen'shen 空壶著月影沈沈
'kong'kong'yang'hui 空空养慧
'kou'chang'wu'sheng'qu 口唱无生曲
'kou'si'bian'yan 口似匾檐
'kou'tun'san'shi'zhu'fo 口吞三世诸佛
'kou'ya'she'tu 口哑舌秃
'ku'hu'lian'gen'ku 苦瓠连根苦
'ku'se'nan'chang'she'ru 苦涩难尝舌如
'ku'tong'yi'sheng'wu'chu'bi 哭恸一声无处避
'kuang'jin'feng'luo'wu'jiang'leng 况今枫落吴江冷
'kun'fei'xia 坤非下
'kun'hua'peng'fei'yu'yi'qi 鲲化鹏飞羽翼齐
'kun'shi'yao'da'mian 困时要打眠
'kuo'xu'shen'jing'li'tou'kan 廓虚深净里头看
'kuo'yu'xu'kong'deng'qi'liang 廓与虚空等其量
'la'jin'chun'hui'nian'fu'nian 腊尽春回年复年
'lai'he'chi 来何迟
'lai'jing'gu'du'jia 来经蛊毒家
'lai'nian'geng'you'xin'tiao'zai 来年更有新条在
'lai'qu'ke'qing'qian'yang'bie 来去客情千样别
'lai'xiang'he 来相贺
'lai'yan'xin'wen'yi'liang'sheng 来雁新闻一两声
'lai'zhu'qing'liang'si 来住清凉寺
'lan'guang'cui'di 岚光翠滴
'lan'lan'guang'hui'xi'ming'bai'zhi'ku 烂烂光辉兮明白之窟
'lan'qiao'yi'dun'kuai'ping'sheng 烂樵一顿快平生
'lan'tian'kong'mei'yu 蓝田空没羽
'lang'dang'shi'hua'zhen 阆荡拾花针
'lang'ji'chu'sheng 浪汲初升
'lang'ji'duan'xia'xian'diao'zhou 狼籍断霞闲钓舟
'lang'mang'hang'wei'qu'wu'zong 郎忙航苇去无踪
'lao'cheng'ren 老成人
'lao'dao'ru'feng'na'de'zhi 老倒乳峰那得知
'lao'dao'zhu'shan 老倒住山
'lao'he'shang'ni'he'wo'zhi 老和尚你和我知
'lao'lai'wu'fu'qiang'zhui'pei 老来无复强追陪
'lao'long'gao'wo'jian'hai'xi 老龙高卧见还稀
'lao'lu'bu'hui'zhuan'shen'ju 老卢不会转身句
'le'bu'ke'de 了不可得
'le'shan'ba'zi'hong'kai'ye 乐山八字轰开也
'le'wu'ju'shu 了无拘束
'le'yi'wang'ji 乐以忘机
'le'you'yu 乐有余
'le'zhi'ci'wai'geng'wu'fo 了知此外更无佛
'le'zhi'zui'xing'ben'lai'wu 了知罪性本来无
'leng'di'wu'duan'xiao'yan'kai 冷地无端笑眼开
'leng'leng'lang'ji'xi'tao'hua'zhi'jin 棱棱浪级兮桃华之津
'leng'leng'lang'ji'xiang'ren'kai 棱棱浪级向人开
'leng'quan'ri'ye'tao'tao'ju 冷泉日夜滔滔举
'leng'shui'dian'fei'guo 冷水点沸锅
'li'chun'feng'yu'yuan'tian'gang 李淳风与袁天罡
'li'hui'jiu'niu'xi'yi'wan 力回九牛兮一挽
'li'ji'jin'quan'yi'zan'kai 栗棘金圈一拶开
'li'jin'shen'pi'kun'bi'gen 力尽神疲困壁根
'li'ju'pi'jin'qian'qian'huang 篱菊披金浅浅黄
'li'li'jun'jia'zhu'zhang'tou 历历君家拄杖头
'li'lou'xing'chu'lang'tao'tian 离娄行处浪滔天
'li'shi'wu 李师巫
'li'si'ju 离四句
'li'zhe'shi'shui 礼者是谁
'li'zhi'dang'ru'tie'shi'jian 立志当如铁石坚
'lian'de'shen'xing'si'he'xing 练得身形似鹤形
'lian'hui'tong'bang 连挥痛棒
'lian'shou'ji'yan'zuo'xian'chu 斂手忌言坐闲处
'lian'tuo'han'pu'gua'cang'ya 练拖寒瀑挂苍崖
'lian'yun'zhan'ge'zhong'hui'shou 连云栈阁重回首
'liang'bi'ding'wan'quan 两臂定完全
'liang'biao'si'qi 凉飚四起
'liang'cai'bu'zhi 量材补职
'liang'fang'bian'da'men 量方便大门
'liang'ge'shi'liang'ge 两个是两个
'liang'ge'yin'shen'wu'di 两个隐身无地
'liang'huang'fa'ling'qi'tu'lao 梁皇法令岂徒劳
'liang'ju'qian'wan'li 良驹千万里
'liang'lun'ri'yue'he'ben'mang 两轮日月何奔忙
'liang'ma'cong'lai'bu'yong'bian 良马从来不用鞭
'liang'sheng'dian'ge 凉生殿阁
'liao'liao'bai'nian'gu'bu'leng 寥寥百年骨不冷
'liao'wu'suo'zhu 了无所住
'lie'pai'fen'zong'ding'ci'tu 列派分宗定此图
'lin'feng'chu'shi'shan'zong'xiu 麟凤出时山总秀
'lin'ji'he 临济喝
'lin'ji'mei'hui'hu 临机没回互
'lin'ji'san'xuan'san'yao 临际三玄三要
'lin'ji'wei'shi'bai'nian'zei 临济未是白拈贼
'lin'ji'zan 临济赞
'lin'jian'na'zi 林间衲子
'lin'jian'qiu'ye'pian'pian'diao'ling 林间秋叶片片凋零
'lin'jian'shu'san 林间舒散
'lin'lin'feng'sheng'qi'yu'qing 凛凛风生气宇清
'lin'zhong'ji 临终偈
'ling'hua'pu'sui'yi'xiao'e 菱花扑碎已誵讹
'ling'jiang'yue 灵江月
'ling'jiu'feng'qian'shi'leng'quan 灵鹫峰前是冷泉
'ling'long'yan'shang'luo'hua'yu 玲珑岩上落花雨
'ling'long'yue'jiao 玲珑月皎
'ling'ren'chang'yi'lao'nan'quan 令人长忆老南泉
'ling'ren'chang'yi'lao'xuan'sha 令人长忆老玄沙
'ling'shan'hua'yue 灵山话月
'ling'shan'xie'zuo'song'xing'ju 灵山写作送行句
'ling'shan'yi'hui'yan'ran'cun 灵山一会俨然存
'ling'yun'jian'tao'hua 灵云见桃花
'liu'chuang'jin'qi'qian'kun'da 六窗尽启乾坤大
'liu'dai'han'yan 柳带寒烟
'liu'de'mu'shan'ti'duan'yuan 留得暮山啼断猿
'liu'hu'leng'ru'qiu 六户冷如秋
'liu'liu'san'shi'liu 六六三十六
'liu'long'qian'hui'sheng'ren'sheng 六龙乾会圣人生
'liu'nian'xue'ling'jing'wu'cheng 六年雪岭竟无成
'liu'shui'bu'fu 流水不腐
'liu'yu'cong'lin'zuo'huo'tai 留与丛林作祸胎
'liu'zhi'tou'zi'man'pen'hong 六只骰子满盆红
'liu'zu'zan'ling'hua'pu'sui'yi'xiao'e 六祖赞菱花扑碎已誵讹
'liu'zu'zan'qi'bai'gao'seng'zong'hui'chan 六祖赞七百高僧总会禅
'long'bu'wo'er'tan'han 龙不卧而潭寒
'long'lei'hou'tao'hua'zhi'chuan 龙雷吼桃华之川
'long'lei'yue'yu'xiu'lin 龙雷跃於修鳞
'long'men'lang'guo'fan'shen'chu 龙门浪裹翻身出
'long'xiu'fu'kai'quan'ti'xian 龙袖拂开全体现
'lou'lan'wu'di'zhu'chun'feng 漏篮无底贮春风
'lu'di'yao'xing'chuan 陆地要行船
'lu'hua'jiang'shang'yue'ming'qiu 芦花江上月明秋
'lu'jie'wei'shuang 露结为霜
'lu'ru'qing'guan'bie'you'tian 路入清关别有天
'lu'shan'gui'zong'he'shang'wu'duan'shi'huai'yi'shuang'yan'jing 庐山归宗和尚无端拭坏一双眼睛
'lu'wei'feng'sheng'bai'niao'fei 芦苇风生白鸟飞
'lu'wei'xiao'xiao'xiong'er'yue 芦苇萧萧熊耳月
'lu'zu'mian'bi 鲁祖面壁
'lue'bo'jia'xi'tao'shui'man 略彴驾溪桃水满
'luo'hua'liu'shui'kong'pai'huai 落花流水空徘徊
'luo'lai'er'lang'zi'xiao'yu 落赖儿郎自小愚
'luo'xia'yu'gu'wu'qi'fei 落霞与孤鹜齐飞
'luo'zhuan'xiao'er'you'zi'ke 落赚小儿犹自可
'lv'an'hong'xi 绿暗红稀
'lv'bu'ji'liang'yong'bu'jiong 旅不赍粮永不扃
'lv'dong'bin'jian'huang'long'tu'zan 吕洞宾见黄龙图赞
'lv'nian'geng'dai'lv'nian 驴年更待驴年
'lv'nian'zhuo'dao'pu'ti'shu 驴年斫倒菩提树
'lv'shui'qing'shan 绿水青山
'ma'tou'xiang'nan 马头向南
'mai'gou'xuan'yang 卖狗悬羊
'mai'ling'yun'shen 麦岭云深
'man'er'qu'bu'jian 满耳觑不见
'man'qu'xi'bian'wu'jiao'tou'feng'tong'li'xun'kan 谩去西边屋角头蜂桶里寻看
'man'shan'tao'li'xian'cu'su 满山桃李嫌粗俗
'man'tou'hu'bing'guan'shi'yin 馒头胡饼观世音
'man'yan'man'er 满眼满耳
'man'yan'ting'bu'wen 满眼听不闻
'man'zhu'ren'yi'dian'bu'de 瞒诸人一点不得
'mang'shi'mang'bu'che 忙时忙不彻
'mang'zhong'jie'chang'yang'chun'qu 忙中解唱阳春曲
'mei'ba'bi 没巴鼻
'mei'jian'gua'jian 眉间挂剑
'mei'liang'da'ren 没量大人
'mei'piao'xiang'yu 梅飘香玉
'men'ting'shi'she 门庭施设
'mi'bu'yuan'rong 靡不圆融
'mi'luo'jiang'shang'du'xing'ren 汨罗江上独醒人
'mi'mo'qing'cha 秘魔擎叉
'mi'shi'fen'deng'guang'yan'yan 密室分灯光焰焰
'mi'tou'zhong'chen 密透重尘
'mi'wu'xiang'fan 迷悟相返
'mi'xin'wu'chu'mi 觅心无处觅
'mi'yi'fen'ming'sheng'ru'bian 密意分明生汝边
'mi'yi'hao'jiu'xiang 觅一毫旧相
'mi'yi'hao'xin'xiang 觅一毫新相
'mian'de'chong'chong'she'shui'ni 免得重重涉水泥
'mian'men'chu'ru 面门出入
'mian'men'chu'ru'you'shui'zhi 面门出入有谁知
'mian'men'da'le'dong'gua'yin 面门搭了冬瓜印
'mian'mu'ke'zeng 面目可憎
'mian'mu'ru'qian 面目如前
'mian'qian'bu'po'an'shan'ai 面前不破案山碍
'mian'tong 面桶
'miao'chuan'er'jian 妙传而简
'miao'hua'bu'ji 描画不及
'miao'hua'nan'cheng 描画难成
'miao'ye'zheng'dang'feng 妙叶正当风
'miao'zai'zhuan'chu 妙在转处
'mie'lao'hu'zhong'zu 灭老胡种族
'mie'que'ling'xiao'zheng'xu'deng 灭却凌霄正续灯
'min'qu'lai'jin 泯去来今
'ming'bu'de 名不得
'ming'chao'qi'yue'er 明朝七月二
'ming'ji'zi'mei 明机自昧
'ming'jiao'jiao'yue'shang'gu'feng 明皎皎月上孤峰
'ming'jue'lao'ren 明觉老人
'ming'jue'xian'mei 明觉掀眉
'ming'ming'du'zun 冥冥独尊
'ming'ming'li'li'zhu'yuan'shang 明明历历诸缘上
'ming'ming'zu'yi'wu'hui'hu 明明祖意无回互
'ming'ri'ru'shi 明日如是
'ming'tiao'hai'di'deng 明挑海底灯
'ming'yan'na'seng'hui'bu'de 明眼衲僧会不得
'ming'yue'qing'feng'ye'xiao'yi 明月清风也笑伊
'ming'yue'yi'tian 明月一天
'ming'zhu'jue'lei 明珠绝颣
'mo'chun'zhe 莫春者
'mo'fei'mo 默非默
'mo'gan'shi'zhong'hui 默感始终惠
'mo'gu'yan'qian'xue'lang'fei 莫顾岩前雪浪飞
'mo'guai'tong'keng'wu'yi'tu 莫怪同坑无异土
'mo'guai'xue'shuang'qi'bu'de 莫怪雪霜欺不得
'mo'guan'ta'ren'wu'shang'shuang 莫管他人屋上霜
'mo'guo'cong'qian'jie'tuo'keng 抹过从前解脱坑
'mo'hou'yi'ju 末后一句
'mo'jiang'xian'shi'gua'xin'tou 莫将闲事挂心头
'mo'jiao'lou'xie'tian'ji 莫教漏泄天机
'mo'jie'yan'shi 摩竭掩室
'mo'mei 墨梅
'mo'mo'tong'shen'ming'you'yan 默默通身明有眼
'mo'mo'zhan'cun 默默湛存
'mo'mo'zi'shou 默默自守
'mo'shuo'mo'shuo 莫说莫说
'mo'you'bu'bei'man'zhe'me 莫有不被谩者么
'mo'zha'xiang'feng 蓦劄相逢
'mo'zhi'qi'ji 莫知其几
'mo'zuo'cheng'chui'luo'shen'jing 莫作秤锤落深井
'mu'ren'lu'zhuan'xi'yue'ying'yi'yang 木人路转兮月影移央
'mu'shi'xing'hai 木石形骸
'mu'ye'ti'shi 木叶题诗
'mu'you'you 暮悠悠
'na'bian'feng'jing 那边风景
'na'ge'bu'zhi 那个不知
'na'ge'yuan'tou'ken'fang'di 那个源头肯放低
'na'kan'shi'zun'nian'hua 那堪世尊拈花
'na'seng'ba'bi 衲僧巴鼻
'na'seng'jia 衲僧家
'na'seng'jia'xiang'nan'bei'dong'xi 衲僧家向南北东西
'na'seng'men'xia 衲僧门下
'na'seng'xing'chu 衲僧行处
'na'yi'chu'chu'shi'cang'yan 衲衣楚楚湿苍烟
'nan'guo'jiang'shan'ru'zhan'tu 南国江山入战图
'nan'nan'nan'shi'qian'qing'nan 难难难是遣情难
'nan'quan'yi'zhi'hua 南泉一枝花
'nan'shan'bie'bi'si'duo'shi 南山鳖鼻死多时
'nan'wei'gong'yu 难为共语
'nao'li'you'ren'neng'zhu'yan 闹里有人能著眼
'nao'luan'chun'feng'zu'wei'xiu 恼乱春风卒未休
'nen'me'qu'di'cuo 恁么去底错
'nen'me'qu'di'qin 恁么去底亲
'neng'tiao'hai'di'deng 能挑海底灯
'neng'you'ji'ren'zhi 能有几人知
'ni'lang'yu'men'zao'dian'e 逆浪禹门遭点额
'ni'li'ba'she'zi'dan'dang 泥犁拔舌自担当
'ni'nong'wo'nong 你侬我侬
'ni'tuan'tu'kuai 泥团土块
'ni'xin'yi'si 拟心一丝
'ni'yi'xun'si 拟议寻思
'ni'yu'zhui'zong 拟欲追踪
'nian'lai'sai'duan'niang'sheng'kou 拈来塞断娘生口
'nian'lao'xin'gu'wei'de'lin 年老心孤未得鳞
'nian'nian'jiu'ri'shi'chong'yang 年年九日是重阳
'nian'nian'shi'hao'nian 年年是好年
'nian'qi'yi'quan'quan'sha'huo 拈起一拳全杀活
'nian'tu'wei'xiang'gong'yang'yi 捻土为香供养伊
'niang'sheng'mian'mu'ji'fen'ming 娘生面目既分明
'niao'nong'sheng'huang 鸟弄笙簧
'niao'ti'shan'geng'you 鸟啼山更幽
'niao'zhi'xing'kong 鸟之行空
'niu'tou'xiang'bei 牛头向北
'pan'shan'zhi'jian'hui'kong 盘山掷剑挥空
'pao'jia'shi'ye'you'shui'zhi 抛家失业有谁知
'peng'ba'la'zha 堋八剌札
'peng'fo'lian'zu 烹佛炼祖
'pi'shuang'wei'shi'du 砒霜未是毒
'pin'kan'yan'luan'san'shi'er 贫看烟峦三十二
'pin'ku'zhi'feng 贫苦芝峰
'pin'pin'chu'ru 频频出入
'ping'bu'guang'han'pan'gui'zhi 平步广寒攀桂枝
'ping'deng'huo'li'yi 平等获利益
'ping'deng'xing'zhi 平等性智
'ping'di'fan'shen'chu'xian'ya 平地翻身触险崖
'ping'jin'lun'gu'zhi'ji'he 评今论古知几何
'ping'jun'xiu'shuo'feng'hou'shi 凭君休说封侯事
'ping'nei'shui 瓶内水
'ping'sheng'gan'dan'xiang'ren'qing 平生肝胆向人倾
'ping'sheng'zui'xing'mi'wu'zong 平生罪性觅无踪
'po'an'zan 破庵赞
'po'huai'ji'qiu'wei'dao'qu 破坏箕裘未到渠
'po'jia'zhong'cao'chi'kuang'shen 破家种草痴狂甚
'po'jian'cuo'rui'cheng'wan'quan 破坚挫锐成万全
'po'pu'tuan'bian'dou'shuai'gong 破蒲团边兜率宫
'po'sha'pen 破沙盆
'po'tou'feng'ding'yan'chan'guan 破头峰顶掩禅关
'po'xi'dai'guo'zhu'zhen 破席袋裹珠珍
'po'yi'wei'chen'fan'de'chu 破一微尘翻得出
'pou'er'shi'zhi'tian'ru'mi 剖而食之甜如蜜
'pu'hua'he'si'yi'tou'lv 普化何似一头驴
'pu'qing'zhu'ren 普请诸人
'pu'tian'za'di 普天匝地
'pu'xie'xuan'ya 瀑泻悬崖
'pu'xin'wu'xia'yi'wu'gao 铺心无下亦无高
