'ci'shen'he'shi'shi'ren'wei 此身合是诗人未
'ci'shen'tang'zhang'zai 此身傥长在
'ci'shen'xing'zuo'ji'shan'tu 此身行作稽山土
'ci'sheng'ci'ye'bu'zhang'hao 此生此夜不长好
'ci'shi'yong'wu'pi 此士勇无匹
'ci'shi'zhi'you'tian'jia'mang 此时只有田家忙
'ci'shui'xin'yang'man'man'ping 刺水新秧漫漫平
'ci'wai'he'chu'neng'qing'liang 此外何处能清凉
'ci'wu'jin'yi'jin 此物近亦尽
'ci'ye'ci'ge'ru'ci'jiu 此夜此歌如此酒
'ci'yu'na'ke'si 此语那可思
'cong'ci'xi'hu'xiu'cha'liu 从此西湖休插柳
'cong'cong'xing'ren'qi 匆匆行人起
'cong'jin'bie'que'jiang'nan'lu 从今别却江南路
'cong'jin'ruo'xu'xian'cheng'yue 从今若许闲乘月
'cu'cu'fu'cu'cu 促促复促促
'cui'ke'zhi'yao'xian'qi'ban 催科知要先期办
'cui'tiao'nong'chu'liang'san'ying 翠条浓处两三莺
'cun'cun'lou'bang'nian'chun'feng 村村镂榜黏春风
'cun'dian'dui'pan'dou'jia'fei 村店堆盘豆荚肥
'cun'dian'yue'hun'ni'jing'hua 村店月昏泥径滑
'cun'nan'cun'bei'bo'jiu'sheng 村南村北鹁鸠声
'cun'nan'cun'bei'qu'lu'yu 村南村北衢路隅
'cun'qiao'yuan'shu'si'wu'xiang 村桥原树似吾乡
'cun'tu'wu'ping'tian 寸土无平田
'cun'zhuang'er'nv'ge'dang'jia 村庄儿女各当家
'da'che'xiao'che'sheng'ya'ya 大车小车声轧轧
'da'chen'bi'xi'ru'lei'hou 大臣鼻息如雷吼
'da'di'ye'che'sheng'cao'cao 大堤夜坼声嘈嘈
'da'er'ao'ao'xiao'er'ku 大儿嗷嗷小儿哭
'da'er'xue'yu'yan 大儿学语言
'da'fu'luo'si'zhong'fu'zhi 大妇络丝中妇织
'da'fu'yao'lian'chu 大妇腰镰出
'da'guan'ruo'ji'xi'gao'jian'zhu'yi 大冠若箕兮高剑拄颐
'da'jiang'dong'qu'shui'you'you 大江东去水悠悠
'da'jiang'feng'lang'qi 大江风浪起
'da'mai'da'mai 打麦打麦
'da'mai'wei'shou'zhi'pu'wan 大麦未收治圃晚
'da'men'sheng'ji'shui'shi'zi 打门声急谁氏子
'da'nv'lin'qi'liang'fen'shou 大女临岐两分首
'da'san'guan'tou'bei'wang'qin 大散关头北望秦
'da'shuai'jin'gong'huang 大帅今龚黄
'da'xing'lei'luo'cai'shu'shi 大星磊落才数十
'da'yu'teng'chu'yu'ling'kong 大鱼腾出欲凌空
'da'zi'diao'yin'wen 大字雕印文
'dai'de'han'ya'liang'liang'gui 带得寒鸦两两归
'dai'de'qiu'cheng'gan'wang'bao 待得秋成敢忘报
'dai'fu'gu'geng'zi'jian'ji 戴复古庚子荐饥
'dai'fu'gu'ye'su'tian'jia 戴复古夜宿田家
'dai'fu'gu'zhi'fu'tan 戴复古织妇叹
'dai'ru'cheng'yin'xi'diao'zhou 待汝成阴系钓舟
'dai'sheng'gu'gu'cui'chun'geng 戴胜谷谷催春耕
'dai'wan'xian'shao'bai'zi'xiang 待晚先烧柏子香
'dan'bei'bu'jian'jiu'zhou'tong 但悲不见九州同
'dan'ci'qi'guo'feng'wei'bei 旦辞杞国风微北
'dan'de'zhong'sheng'jie'de'bao 但得众生皆得饱
'dan'fu'jian'chuan'niu'ti'tuo 担夫肩穿牛蹄脱
'dan'fu'qiao'su'qing'xiao'fa 担负樵苏清晓发
'dan'guan'di'wu'pi 但管地无皮
'dan'mi'wu'shan'heng'chu'lai 但觅吴山横处来
'dan'mo'ming'jing'zhao'yan'ying 淡磨明镜照檐楹
'dan'qing'hua'ying'bu'fen'ming 淡晴花影不分明
'dan'yuan'guan'min'tong'you'wu 但愿官民通有无
'dan'yuan'jin'nian'zei'qu'zao 但愿今年贼去早
'dan'yuan'lang'fang'bian 但愿郎防边
'dan'yue'long'yun'you'wei'xing 淡月笼云犹未醒
'dan'zhi'jia'li'ju'wu'yang 但知家里俱无恙
'dan'zhuang'nong'mo'zong'xiang'yi 淡妆浓抹总相宜
'dang'fou'kong'wu'zhou 铛缶空无粥
'dang'lu'heng'qi'shi 当路横其尸
'dang'xu'le'zu'fu 当须了租赋
'dao'jian'chu'zhou'ji 刀剑触舟楫
'dao'ren'yi'wei'qin 道人亦未寝
'dao'tian'shen'chu'cao'chong'ming 稻田深处草虫鸣
'dao'yu'ying'hui'duan'hai'xu 岛屿潆洄断还续
'dao'yun'bu'yu'bu'duo'huang 稻云不雨不多黄
'dao'zhong'du'xing'nai'shui'zi 道中独行乃谁子
'de'zhi'wu'li'shu'zu'mi 的知无力输租米
'deng'huo'yi'shao'you 灯火亦稍有
'deng'li'xiang'sui'zou'lu'qi 簦笠相随走路歧
'deng'lin'wu'shu'heng'fen'di 登临吴蜀横分地
'deng'shi'wei'pin'ji 等是为贫计
'deng'wei'xi'ju'shui'hou'xian 等为戏剧谁后先
'di'bei'jiang'shi'yu'chen'shan 地卑江势欲沉山
'di'bo'wei'gong'shui 地薄惟供税
'di'cheng'wang'qi'za'yao'fen 帝城王气杂妖氛
'di'chu'ping'lan'si'miao'ran 底处凭阑思眇然
'di'hua'zhou'zhu'yue'ping'lin 荻花洲渚月平林
'di'jiang'nong'xiu'yu'shan'chuan 地将浓秀与山川
'di'jin'han'qin'qi'su'hao 地近函秦气俗豪
'di'mei'suo'jia'tui'ting'yan 低眉索价退听言
'di'pi'tian'kai'zhi'gu'zhong 地辟天开指顾中
'di'qian'wu'yang'zhao'wo'hun 帝遣巫阳招我魂
'di'shi'jin'nian'chun'zhang'xiao 底事今年春涨小
'di'tou'zhe'yao'zhi'bu'da 低头折腰只不答
'di'xiang'sui'yun'mu 帝乡岁云暮
'di'xu'zan'wang'xing'yi'juan 底许暂忘行役倦
'di'yang'cui'jin'huang'jin'xian 堤杨脆尽黄金线
'di'yong'wu'ru'li 底用吾儒力
'di'zhan'mei'guan'tian 地占没官田
'dian'guang'shi'che'zi'jin'she 电光时掣紫金蛇
'dian'jin'hun'jia'yi 典尽浑家衣
'dian'keng'pu'gu'xiang'zhen'jie 颠阬仆谷相枕藉
'dian'shang'qun'chen'hei'bu'yan 殿上群臣嘿不言
'dian'wen'ru'shui'zhang'ru'yan 簟纹如水帐如烟
'diao'lan'neng'de'ji'shi'hao 雕栏能得几时好
'diao'tou'bu'xu'er'you'wu 掉头不恤尔有无
'die'gu'cui'chuan'jing'li'xing 叠鼓催船镜里行
'die'xie'hua'bian'ma'bu'si 蹀躞花边马不嘶
'dong'bing'huang'he'kai'yu'zhang 东并黄河开玉帐
