'hui'gui'gu'ji 回归估计
'hui'gui'xi'shu 回归系数
'hui'he'xing'chao'ji'he'han'shu 汇合型超几何函数
'hui'lu 回路
'hun'he'bian'jie'wen'ti 混合边界问题
'hun'he'ce'lue 混合策略
'hun'he'tiao'jian 混合条件
'hun'he'wai'dai'shu 混合外代数
'hun'he'xing'bian'jie'tiao'jian 混合型边界条件
'hun'he'zhang'liang'dai'shu 混合张量代数
'hun'xun'huan'xiao'shu 混循环小数
'huo'er'zi'qun 霍尔子群
'huo'mu'ge'lun'wei'yi'xing'ding'li 霍姆格伦唯一性定理
'huo'pu'fu'bu'bian'liang 霍普夫不变量
'ji'ben'bu'bian'shi 基本不变式
'ji'ben'kong'jian 基本空间
'ji'ben'qu'yu 基本区域
'ji'ce'du'kong'jian 积测度空间
'ji'da'yuan 极大元
'ji'da'zuo'li'xiang 极大左理想
'ji'fen'kong'zhi 积分控制
'ji'fen'suan'zi 积分算子
'ji'fen'xia'xian 积分下限
'ji'han'shu 奇函数
'ji'he'dan'chun'fu'xing 几何单纯复形
'ji'he'kui'ge 几何亏格
'ji'he'lun 集合论
'ji'hua'de'a'bei'er'cu 极化的阿贝尔簇
'ji'ji'yue'shu 积极约束
'ji'qi'wu'cha 机器误差
'ji'shi'dan'chun'ji 及时单纯集
'ji'shi'fen'jie 极式分解
'ji'shu'jie 级数解
'ji'shu'wen'ti 计数问题
'ji'suan 计算
'ji'suan'de'bu'wen'ding'xing 计算的不稳定性
'ji'suan'fu'za'xing 计算复杂性
'ji'xian'dian 极限点
'ji'xian'yang 极限鞅
'ji'xiao'dui 极小对
'ji'xiao'duo'xiang'shi 极小多项式
'ji'xiao'ji'da'ding'li 极小极大定理
'ji'xiao'jie 极小解
'ji'xie'qiu'ti'ji 机械求体积
'ji'zhi 极值
'ji'zhi'chang 极值场
'ji'zhong'kong'zhi 集中控制
'jia'fa'jie'he'lv 加法结合律
'jia'fa'xiao'qu'lv 加法消去律
'jia'quan'bu'deng'shi 加权不等式
'jia'she 假设
'jia'shu 加数
'jian 减
'jian'dan'liu 简单流
'jian'dian 尖点
'jian'hua'ji 简化迹
'jian'jin'qu'xian 渐近曲线
'jian'jin'shou'lian 渐近收敛
'jian'tu'de'biao'shi 箭图的表示
'jian'tu'de'er'ci'kong'jian 箭图的二次空间
'jian'yan'han'shu 检验函数
'jiang'lian'tiao'jian 降链条件
'jiang'wei'fa 降维法
'jiao'a'dai'shu 交换代数
'jiao'cuo'dai'shu 交错代数
'jiao'cuo'hua'zi 交错化子
'jiao'de'dui'bian 角的对边
'jiao'duo'xu 较多序
'jiao'hu'gui'hua 交互规划
'jiao'huan'ba'na'he'dai'shu 交换巴拿赫代数
'jiao'huan'dai'shu 交换代数
'jiao'huan'li'qun 交换李群
'jiao'huan'tu'biao 交换图表
'jiao'huan'zi 交换子
'jiao'ti'fang'xiang'yin'ge'shi 交替方向隐格式
'jiao'wu'qiong'fen'pei 交无穷分配
'jiao'yan'wei 校验位
'jie'chu'ding'li 接触定理
'jie'de'ji'fen'biao'shi 解的积分表示
'jie'duan'wu'cha 截断误差
'jie'gou'han'shu 结构函数
'jie'gou'she'dong'fa 结构摄动法
'jie'shi 结式
'jie'xi'han'shu'yuan'su 解析函数元素
'jie'xi'qun 解析群
'jie'xi'tong'tai 解析同态
'jie'xi'ying'she 解析映射
'jie'xian 捷线
'jie'yue'gan'rao 阶跃干扰
'jin'a'bei'er'qun 紧阿贝尔群
'jin'li'man'qu'mian 紧黎曼曲面
'jin'qun'de'qun'huan 紧群的群环
'jin'tui'gou'zao 进退构造
'jin'ying'she 紧映射
'jin'yuan 紧元
'jing'ti'qun 晶体群
'jing'yan'bei'ye'si'fang'fa 经验贝叶斯方法
'jing'yan'fen'bu'han'shu 经验分布函数
'jing'yan'guo'cheng 经验过程
'jiu'cuo'ma 纠错码
'ju'bu'biao'xian'mo 局部表现模
'ju'bu'can'shu 局部参数
'ju'bu'dai'shu 局部代数
'ju'bu'dan'lian'tong 局部单连通
'ju'bu'jie'xi'tong'gou 局部解析同构
'ju'bu'jin'kong'jian 局部紧空间
'ju'bu'jin'qun 局部紧群
'ju'bu'lei'yu'lun 局部类域论
'ju'bu'nuo'te'gai'xing 局部诺特概形
'ju'bu'shi 局部时
'ju'bu'shou'lian 局部收敛
'ju'bu'tu 局部凸
