'a'lian'gao'xiu 阿连高秀
'xiao'ye'yue'xi'chen 晓也月西沉
'xiao'yu'le'hua'shi'hou 小雨勒花时候
'xiao'yuan'hui'lang 小院回廊
'xiao'yuan'nan'tu'yun'yu'qi 小院难图云雨期
'xiao'yuan'xian'men'feng'ri'tou 小院闲门风日透
'xiao'yuan'yi'zhi'mei 小院一枝梅
'xiao'zhi'si 消滞思
'xiao'zhuang'wei'qie'mei'tian'jiu 晓妆未惬梅添就
'xie'feng'xi'yu'bu'xu'gui 斜风细雨不须归
'xie'feng'xi'yu'zhuan'chuan'tou 斜风细雨转船头
'xie'ke'chi'tang'chun'dou'wei 谢客池塘春都未
'xie'ling'yan'xiang 写凌烟像
'xie'shou'jiu'shan'gui'qu'lai 携手旧山归去来
'xie'shou'qing'yun'lu'wen 携手青云路稳
'xie'ying'guo'li'hua 斜影过梨花
'xie'zhi'yi 斜枝倚
'xie'zhu'ji'lang'lang'jiao'jiao 泻珠玑琅琅皎皎
'xie'zi'feng'liu'zui'guo 些子风流罪过
'xin'er'li 心儿里
'xin'fu'ji'tou'mei'dai'chou 新妇矶头眉黛愁
'xin'hai'yi 信还疑
'xin'lai'ceng'bei'yan'xi'chu 新来曾被眼奚搐
'xin'li'ren'ren 心里人人
'xin'nian'he'xu'chun'guang'lou 新年何许春光漏
'xin'qi'de'chu 心期得处
'xin'qing'lao'da'chi'cheng'jiu 心情老大痴成就
'xin'qing'lao'lan 心情老懒
'xin'qing'na'si'dang'nian'ri 心情那似当年日
'xin'qing'zhao'jiu'zun'lai 新晴照酒尊来
'xin'shi'xin'shi'kun'xian'shi 新诗新事困闲适
'xin'tiao'dan'lv 新条淡绿
'xin'xia'kuai'huo'zi'xing 心下快活自省
'xin'xing'jiao'chi'kong'jie'xiao 心性娇痴空解笑
'xin'you'wei'zu 心犹未足
'xin'zai'ge'bian'wu'chu 心在歌边舞处
'xin'zuo'jin'he'gong'xian'qiao 新作金荷工献巧
'xing'bu'jing'shen 行步精神
'xing'hua'ling'luo'yan'ni'xiang 杏花零落燕泥香
'xing'hun'dao'ming'yue'lun'bian 醒魂到明月轮边
'xing'jin'wu'tou'chu'wei 行尽吴头楚尾
'xing'ren'yu'shang'lai'shi'lu 行人欲上来时路
'xing'shi'dao 醒时道
'xing'xun'wu'xia 兴寻巫峡
'xiong'ci'zheng'rong 胸次峥嵘
'xiong'di'deng'qian'jia'wan'li 兄弟灯前家万里
'xiong'di'si'ren'bie'zhu 兄弟四人别住
'xiu'hen'chun'chi 休恨春迟
'xiu'jian'xiu'yuan'yang 羞见绣鸳鸯
'xiu'lei'jie'hong'jia 休泪界红颊
'xiu'shou'jiang'nan'qu 袖手江南去
'xiu'shui'nong'qing 修水浓青
'xiu'shuo'dan'guan'yu'zheng'guan 休说弹冠与整冠
'xiu'si'zou'ma'zhang'tai 休思走马章台
'xiu'su 休诉
'xiu'tui'xiao'hu 休推小户
'xiu'xiu 休休
'xiu'xiu 羞羞
'xiu'xiu'xiu 休休休
'xu'dao'heng'e'de'de'lai 须道姮娥得得来
'xu'duo'shi 许多时
'xu'guo'que'hao'shi'hao'ri 虚过却好时好日
'xu'ji 须记
'xu'tang'mi'hou'can'tong'huo 虚堂密候参同火
'xu'xi'xiao'ya'shui'bian'hua 徐熙小鸭水边花
'xu'xian'luo'yan 虚弦落雁
'xuan'ta'xiang'ying 悬榻相迎
'xuan'wei'xi'xia 宣威西夏
'xuan'xuan'xuan 玄玄玄
'xuan'xuan'yu'zhi'zhe'hong'xue 旋揎玉指着红靴
'xue'dian'bin'fan 雪点鬓繁
'xue'gong'la'mei'xiang'zhao'ying 雪共腊梅相照映
'xue'lang'qian 雪浪浅
'xue'pian'cheng'dui 雪片成堆
'xue'wan'shuang'huan'nian'ji'xiao 学绾双鬟年纪小
'xue'wu'jiao'qu 雪舞郊衢
'xue'xu'yin'feng'quan'shi'liu 雪絮因风全是柳
'xue'yue'feng'hua 雪月风花
'xun'chang'xing'chu'feng'huan'shi 寻常行处逢欢适
'xun'de'shi'liu'shuang'ye'zi 寻得石榴双叶子
'xun'fang'zai'jiu 寻芳载酒
'xun'lao'zai 勋劳在
'ya'heng'bo 压横波
'yan'ai'lou'tai'wu'cui'huan 烟霭楼台舞翠鬟
'yan'bu'lai'ti'ya'wu'shu 雁不来啼鸦无数
'yan'duan'xiang'ya 烟断香鸭
'yan'gao'jian'ru 研膏溅乳
'yan'gao'ru'bei'xiang 研膏入焙香
'yan'gu'duan 严鼓断
'yan'hua'bu'bu'mian'cha'pai 烟花部不免差排
'yan'hui'zui'mo'shu'kong 雁回醉墨书空
'yan'qian'lu'wo'kan'shou'fan 岩前鹿卧看收帆
'yan'qin'xiang'can 宴寢香残
'yan'sai'shi 烟塞事
'yan'shui'shu'nian'hun'meng 烟水数年魂梦
'yan'si'da'guo'ru'quan'ti 眼厮打过如拳踢
'yan'xi'gong'xian 燕喜公闲
'yan'ying'ting'jie 掩映厅阶
'yan'zhong'yi'xian'lai'shi'lu 烟中一线来时路
'yan'zi'gui'qi'feng'jin 燕子归栖风劲
'yang'hua'zong'ji'feng'zhong 杨花踪迹风中
'yang'liu'cang'ya 杨柳藏鸦
'yang'liu'wu'yao'feng'niao'niao 杨柳舞腰风嫋嫋
'yao'cao'yi'he'bi 瑶草一何碧
'yao'chi'xue'qin 瑶池雪沁
'yao'ding 邀定
'yao'du'nan'ling'geng'duan'chang 要渡南陵更断肠
'yao'ji'nian'shao 要及年少
'yao'jian'bu'de'jian 要见不得见
'yao'jin'bu'de'jin 要近不得近
'yao'le'chun'hui 邀勒春回
'yao'shang'ju 瑶觞举
'yao'shi'shi'jian'ping'tan'lu 要识世间平坦路
'yao'zhi'feng'yu'geng'lan'ye 遥知风雨更阑夜
'yao'zhi'ge'wan'qing 遥知隔晚晴
'ye'dai'cheng'cha'xian'qu 也待乘槎仙去
'ye'han'wei'tou'bo'luo'shang 夜寒微透薄罗裳
'ye'jin'men'shan'you'shui 谒金门山又水
'ye'lai'jiu'xing'qing'wu'meng 夜来酒醒清无梦
'ye'lai'suan'de'you'gui'qi 夜来算得有归期
'ye'lai'ying'hen'yue'qin'chuang 夜来应恨月侵床
'ye'lan'feng'xi'de'xiang'chi 夜阑风细得香迟
'ye'mi'feng'cao 野麋丰草
'ye'shen'ji'de'lin'qi'yu 夜深记得临歧语
'ye'si'ren'jian 也似人间
'ye'yong'lan'tang'xun'yin 夜永兰堂醺饮
'ye'you'shi'fen'qi'ba 也有十分七八
'yi'bei'chun'lu'mo'liu'can 一杯春露莫留残
'yi'bo'cai'dong'wan'bo'sui 一波才动万波随
'yi'chu'geng'niu'quan'sui'gong 已出耕牛劝岁功
'yi'chun'chou'si'jin'heng'bo 一春愁思近横波
'yi'dai'shui'feng'xiang 衣带水风香
'yi'dan'yan'shu'qing'zui'hou 意淡言疏情最厚
'yi'de'zhang'tai'ren'xing'liu 忆得章台人姓柳
'yi'di'jing 忆帝京
'yi'di'jing'qian'zhou'zhang'cui'sheng'ri 忆帝京黔州张倅生日
'yi'di'jing'zeng'tan'pi'pa'ji 忆帝京赠弹琵琶妓
'yi'ding'shi'zhe'hui'xiu'le 一定是这回休了
'yi'duan'jing'sha'qu 一段惊沙去
'yi'fan'shi'tai'yi'fan'xin 一番时态一番新
'yi'feng'shu 一封书
'yi'ge'bai'zhuan 夷歌百转
'yi'guan'yi'wen'qiao'shi'guan 一贯一文跷十贯
'yi'guo'hong'lou'shi'er'jian 已过红楼十二间
'yi'hu'ming'zhu'liang'xiao'huan 一斛明珠两小鬟
'yi'hua'wu'ye'qin'fen'fu 一花五叶亲分付
'yi'jian'tao'hua'can'xue'le 一见桃花参学了
'yi'jiang'ming'ding'chou'jia'jie 宜将酩酊酬佳节
'yi'jiu'jing'zhong'xiao'shou 依旧镜中销瘦
'yi'jiu'si 依旧似
'yi'jue'qiu'rong'mu 已觉秋容暮
'yi'kuan'zhi'wei'yi 衣宽只为伊
'yi'lan'gan 倚阑干
'yi'nian'zun'jiu'zan'shi'tong 一年尊酒暂时同
'yi'nong'xing'xin'xian 一弄醒心弦
'yi'pan'er'tong'zuo'chu'man 已拚儿童作楚蛮
'yi'qian'huan 忆前欢
'yi'qiang'fan'li 倚墙繁李
'yi'qu'pi'pa'qian'wan'shou 一曲琵琶千万寿
'yi'ri'feng'bo'shi'er'shi 一日风波十二时
'yi'shang'yi'yong 一觞一咏
'yi'shen'diao'ying 一身吊影
'yi'sheng'yi'zi'zong'guan'xin 一声一字总关心
'yi'shi'gao'tang'yu 疑是高唐雨
'yi'shi'you'hua'jian'you'jiu 已是有花兼有酒
'yi'shuang'he'ye'cha'yun'huan 一双和叶插云鬟
'yi'si'li 意思里
'yi'sun'rou'lan'xiu 裛损揉蓝袖
'yi'wan'dan'bu'tuo 一碗淡不拓
'yi'wei'gan'han 一味甘寒
'yi'wo'dang'nian'zui'shi'ju 忆我当年醉时句
'yi'wo'you'huan'wo 忆我又唤我
'yi'xi'yao'shan'sheng'yi'hu 忆昔药山生一虎
'yi'xi'zhe'ba'man 忆昔谪巴蛮
'yi'xia'yan'xi 夷夏宴喜
'yi'xiang'wu'yan'dan'chui'lei 一向无言但垂泪
'yi'xiang'xin'gui'chui'xiang'yu 异乡薪桂炊香玉
'yi'xiao'qian'jin 一笑千金
'yi'xiao'shi'ying'de 一笑是赢得
'yi'xue'meng'hun'ren'shi 蚁穴梦魂人世
'yi'xun'fu'yi'nen'e'huang 已醺浮蚁嫩鹅黄
'yi'ye'pian'zhou'juan'hua'lian 一叶扁舟卷画帘
'yi'yi'feng'guang'chui'cui'xiu 依倚风光垂翠袖
'yi'yi'nian'hua 依倚年华
'yi'yu'zhen 倚玉枕
'yi'zhen'bai'pin'feng 一阵白蘋风
'yi'zhi'fan'jian'dao 一枝烦剪刀
'yi'zhi'ling'suo'feng'yu 一掷灵梭风雨
'yi'zhong'feng'liu'qi'wei 一种风流气味
'yi'zhou'jian'mei'zuo 宜州见梅作
'yi'zui'jin'chai 宜醉金钗
'yi'zui'zun'lei 宜醉尊罍
'yin'ba'feng'sheng'liang'ye 饮罢风生两腋
'yin'fang'jiu'si'xian'ju'shi 淫坊酒肆闲居士
'yin'feng'chui'guo'qiang'wei 因风吹过蔷薇
'yin'ke'bu'lai'dan'zi'zhuo 饮客不来但自酌
'yin'ke'ru'dou 印窠如斗
'yin'ping'xie'yan 银瓶蟹眼
'yin'ping'xue'gun'fan'chi'lang 银瓶雪衮翻匙浪
'yin'san'deng'xi 饮散灯稀
'yin'shen'jin'xin'wu'ju 因甚近新无据
'yin'tiao'de 引调得
'yin'wei'wu'shou'yi'xian'hui 音微误首已先回
'yin'yin'mi'mi 阴阴幂幂
'yin'yin'si'zhao'yun'xing'yu 隐隐似朝云行雨
'yin'yin'wang'qing'zhong 隐隐望青冢
'yin'zhu'sheng'hua'ru'hong'dou 银烛生花如红豆
'ying'chu'yan'you 莺雏燕友
'ying'huan'ge'tan'cui'wu'xiu 应唤歌檀催舞袖
'ying'meng'chi'tang'chun'cao'ruo'wei'qing 应梦池塘春草若为情
'ying'nan'zhi'wu'hu'gui'zhao 应难指五湖归棹
'ying'shi'wu'ling'er 应是五陵儿
'ying'tao'rong'yan'yu'chi'you 樱桃荣宴玉墀游
'ying'tao'yan'li'huan'ju 樱桃艳里欢聚
'ying'tao'zhe'zi'ru'hong'dou 樱桃着子如红豆
'ying'ying'jiao'nv'si'luo'fu 盈盈娇女似罗敷
'yong'kang'you'dei'feng'liu'shou 永康又得风流守
'yong'luo'ji'qun'shou'ji'qi 永落鸡群受鸡欺
'you'bao'huang'hua'yi'fan'kai 又报黄花一番开
'you'dei'zun'qian'liao'xiao'yu 又得尊前聊笑语
'you'fen'kan'yi 有分看伊
'you'feng'liu'qian'qi 有风流千骑
'you'fu'ren'xian'jun'xiang'yu 有夫人县君相与
'you'hai'shi 又还是
'you'hua'neng'de'ji'shi'zhen 有花能得几时斟
'you'huan'hun'dai'shang'hua'shi 幽欢浑待赏花时
'you'hui'gu 犹回顾
'you'jian'xin'qing'ban 又减心情半
'you'liang'ge'ren'ren 有两个人人
'you'meng'wu'shan 犹梦巫山
'you'nan'feng 有南风
'you'neng'sun'xing'xiu'zhao'mu 忧能损性休朝暮
'you'ren'chou'yuan'shan 有人愁远山
'you'ren'gong'dui'yue'zun'lei 有人共对月尊罍
'you'ren'hua'bing'sun'xiang'ji 有人花病损香肌
'you'shang'shi'pian'yi 幽赏事偏宜
'you'shi'dang'shi'yan 犹是当时眼
'you'shi'wu'yan'zhan'luo'hua 又是无言飐落花
'you'shi'zun'qian'mei'feng'zhou 又是尊前眉峰皱
'you'wu'jie'yi'ren 尤物解宜人
'you'xu'de'zun'qian 又须得尊前
'you'xun'pen'pu'lu'shan 又寻湓浦庐山
'you'yi'jing'ji 又移旌戟
'you'zai 悠哉
'you'zen'bu'yu'wei'hua'ying'yue 又怎不遇偎花映月
'you'zhen'zhu'cheng'jie 有真珠承睫
'you'zheng'zui'zhong'hua 犹整醉中花
'you'zhong'chao'jia'shi 有中朝佳士
'you'zuo'yin'qin'bie 犹作殷勤别
'yu'chen'guang'ying 玉尘光莹
'yu'dian'dian 馀点点
'yu'duan'li'chang'yu'ji'xu 欲断离肠馀几许
'yu'gong'tao'tou'chi'jia'ping 欲共涛头赤甲平
'yu'guan'yao'zhi 玉关遥指
'yu'han'zheng'ling 馀寒争令
'yu'hou'yuan'lin'zuo'qing'ying 雨后园林坐清影
'yu'ji'yuan 欲寄远
'yu'jia'ao 渔家傲
'yu'jia'yin'zheng'zhao'zuo 玉甲银筝照座
'yu'jiang'xin'shi'ji'tian'gong 欲将心事寄天公
'yu'jiu'feng'hua'xu'yi'xiao 遇酒逢花须一笑
'yu'jiu'fu'yin'bei 玉酒覆银杯
'yu'jun'bie'ye 与君别也
'yu'jun'diao'wan'yan'han'lai 与君钓晚烟寒濑
'yu'jun'geng'ba'chang'sheng'wan 与君更把长生碗
'yu'kan'diao'long 玉槛雕笼
'yu'ke'xie'hu'shang'cui'wei 与客携壶上翠微
'yu'lang'fu'yu'shan 与郎扶玉山
'yu'lang'san'jiu'chang'an'le 庾郎三九常安乐
'yu'li'li'zhi'lv 玉醴荔枝绿
'yu'lou'chun 玉楼春
'yu'qing'feng'nuan'yan'dan 雨晴风暖烟淡
'yu'qing'jiao'ye'mian 馀清搅夜眠
'yu'ren'qian'shou'zi'mo'xiang 玉人纤手自磨香
'yu'ren'yao'wo'shao'liu'xing 玉人邀我少留行
'yu'ruan'hua'qi'zhui 玉软花欹坠
'yu'run'yan'guang 雨润烟光
'yu'san'yun'gui 雨散云归
'yu'shan'fu'qi 玉山扶起
'yu'shan'wei'tui 玉山未颓
'yu'shen'ju'ying'fu'wan'xu 萸糁菊英浮碗醑
'yu'sheng'wu'yi'yi 馀生吾已矣
'yu'shou'xiang'ji 玉瘦香肌
'yu'sun'peng'bei'li'xi'xiu 玉笋捧杯离细袖
'yu'tai'nong'fen'hua'ying'du 玉台弄粉花应妒
'yu'tang'xin 玉堂心
'yu'wei'can 玉为餐
'yu'weng'zui'zhe'wu'ren'huan 渔翁醉着无人唤
'yu'xi'lian'wai'di 雨稀帘外滴
'yu'xiao'hai'pin 欲笑还颦
'yu'yan'hao'chi 玉颜皓齿
'yu'yang'yang'xi'luo 与佯佯奚落
'yu'yi'kou'guan'jiao'mo 与一口管教磨
'yu'yu'fang'cao'xie'yang 雨馀芳草斜阳
'yu'yu'feng'ji'duan'hong'heng 雨馀风急断虹横
'yu'zhong'hua'man 雨中花慢
'yuan'bian'hua'wai 苑边花外
'yuan'jiao'qing'ying'chang'xiang'jian 愿教清影常相见
'yuan'lai'ye'jie'zhi'si'lv 元来也解知思虑
'yuan'ni'you'lian'ni 怨你又恋你
'yuan'shan'cu 远山蹙
'yuan'shan'di'jin'bu'cheng'ge 远山低尽不成歌
'yuan'shan'wei'ying'zhan'heng'bo 远山微影蘸横波
'yuan'shao'yan'huan'qia 愿少延欢洽
'yuan'ti'yun'miao 猿啼云杪
'yuan'wo'tei'ruan'jiu 冤我忒撋就
'yuan'wo'wu'xin'chu'gao'fo 冤我无心除告佛
'yuan'yang 鸳鸯
'yuan'yang'fei'cui 鸳鸯翡翠
'yuan'yang'ji'zong 鸳鸯机综
'yuan'zai'lang'xin'mo'zan'she 愿在郎心莫暂舍
'yue'ce'jin'pen'duo'shui 月侧金盆堕水
'yue'dao'chou'bian'zong'wei'zhi 月到愁边总未知
'yue'jin'ren'jian'sheng'shuai'cao 阅尽人间盛衰草
'yue'lue'zhi'chun'wei 约略知春味
'yue'tuan'xi'kua'dou'yuan'fang 月团犀胯斗圆方
'yue'xie'chuang'wai'shan 月斜窗外山
'yue'yang'qing'shen 越样情深
'yue'ying'hua'yin 月影花阴
'yue'yun'chao'you'hai'yu'mu 约云朝又还雨暮
'yue'zhong'dan'gui 月中丹桂
'yue'zhong'xiao'yu 月中笑语
'yun'biao'chang'ru'yong'zhou 云表常如永昼
'yun'dui'bi 云堆臂
'yun'fen'mian 匀粉面
'yun'gui'chu'xia'yan'yan'kun 云归楚峡厌厌困
'yun'meng'nan'zhou'feng'xiao'yu 云梦南州逢笑语
'yun'rong'cheng'rui 云容呈瑞
'yun'yang'tai'shang'yan'ru'lv 云阳台上烟如缕
'yun'yang'tai'xia 云阳台下
'yun'yu'an'wu'shan 云雨暗巫山
'yun'yue'gu'gao'gong'ye'mo 云月孤高公也莫
'yun'zao'yi'chang'fan'nao'song'ren'lai 酝造一场烦恼送人来
'zai'cheng'tao'li'wei'kai 栽成桃李未开
'zai'lai'zhong'wan'lu'nan'yin 再来重绾泸南印
'zai'yue'ming'gui 载月明归
'zan'bu'jian'sha'shi'nan'guo 暂不见霎时难过
'zan'de'zun'qian'xiao'kou'kai 暂得尊前笑口开
'zan'fen'yi'yin'guan'jiang'shan 暂分一印管江山
'zan'shi'fen'san'zong'xun'chang 暂时分散总寻常
'zan'yan'liu'mo'gu'qing'shang 暂淹留莫孤清赏
'zao'jian'le'er'fen'jiu'bing 早减了二分酒病
'zao'mei'xian'xiao'shang'kui'ling 早梅献笑尚窥龄
'zao'mi'dong'xi 早觅东西
'zao'qiu'ming'yue'xin'yuan 早秋明月新圆
'zao'wan'ju'gui'tian'xiao'fang 早晚具归田小舫
'zen'gui'de 怎归得
'zen'ju'shu 怎拘束
'zen'nai'xiang'mu'xia'xi'huang 怎奈向目下恓惶
'zen'sheng'jin'de 怎生禁得
'zen'sheng'shen'bao'hai'er 怎生申报孩儿
'zha'kan'qing'ri'nong'rou'tiao 乍看晴日弄柔条
'zha'qing'qiu'hao 乍晴秋好
'zha'ye'yong 乍夜永
'zhai'cha'ren'zi'mang 摘茶人自忙
'zhai'shan'chu'zhi'xiao'long'tuan 摘山初制小龙团
'zhai'ye'xun'zhi'xu'ban'lao 摘叶寻枝虚半老
'zhan'chun'cai'zi 占春才子
'zhan'dao'chui'lian 盏倒垂莲
'zhan'hao'shi 占好事
'zhan'shui'zhu'men 蘸水朱门
'zhan'xiu'dai'xiang'hui 沾袖带香回
'zhan'ye'wu'xun'chu 沾夜无寻处
'zhan'yi 沾衣
'zhao'huan'yu'qian'hui 招唤欲千回
'zhao'ling'yu'zi 昭陵与子
'zhao'qing'xi 照清溪
'zhao'wen'xing'lao'ren'xing'ju 照文星老人星聚
'zhao'wu'feng'hui'dai 赵舞风回带
'zhao'yun'mu'yu 朝云暮雨
'zhe'dan'niao'nian'ni'de'chu'sha'shi'lv 这訑尿黏腻得处煞是律
'zhe'xian'he'chu 谪仙何处
'zhei'li'qiao'shui'li 这里诮睡里
'zhen'ba'ni'lai'chan'zhou 镇把你来僝僽
'zhen'ge'fen'li 真个分离
'zhen'hua'xiao'cui'mie 镇花销翠灭
'zhen'kan'ren'hen 真堪人恨
'zhen'suo'li'ren'huai'bao 镇锁离人怀抱
'zhen'you'chu 真游处
'zheng'bai'yu'dao'fan 蒸白鱼稻饭
'zheng'han'yin 正酣饮
'zheng'le'zhong'he 政乐中和
'zheng'ming'zheng'li'xiu'xiu'mo 争名争利休休莫
'zheng'nai'hui'fen'shu 争奈会分疏
'zheng'nian'shao'shang'xin 正年少赏心
'zheng'shi'chou'shi'hou 政是愁时候
'zheng'shi'ren'chou'chu 正是人愁处
'zheng'xun'chuan'shi'dao'yi'nan 争寻穿石道宜男
'zheng'zhi'wo'men'li'tiao'xin 争知我门里挑心
'zheng'zhu'yi'de'ren'xiong 正注意得人雄
'zhi'chi'di'wen'tian'yu 咫尺谛闻天语
'zhi'chou'chuo'ba'shui'liu'tian 只愁啜罢水流天
'zhi'dai'yao'jin'tuo'zi'hou 直待腰金拖紫后
'zhi'dai'zhu'fan'qu'hou 直待朱幡去后
'zhi'dao'chou'xin 知道愁辛
'zhi'dao'zuo'ren'nan 直道作人难
'zhi'en'fou 知恩否
'zhi'gou'de'feng'le'zi'jia 直勾得风了自家
'zhi'hen'yin'bei'xiao 只恨银杯小
'zhi'jun'shi'ye'an'pai'qu 致君事业安排取
'zhi'kong'feng'jing'cao'dong'you'sheng'yi 只恐风惊草动又生疑
'zhi'kong'hua'shen'li 只恐花深里
'zhi'kong'wan'gui'lai 只恐晚归来
'zhi'lun'man'nian 只轮慢碾
'zhi'lv'ti'gui'cong'ling'qu 只履提归葱岭去
'zhi'pa'gui'qi'duan 只怕归期短
'zhi'pa'ni'mei'ding'xiang'he 只怕你没丁香核
'zhi'rao'xun'de'yan'fen'fu 直饶寻得雁分付
'zhi'ru'bai'yun'shen'chu 直入白云深处
'zhi'shang'you'huang'li 枝上有黄鹂
'zhi'shi'lao'ren'nan'zai'shao 只是老人难再少
'zhi'xia'hua'luo'kuang'feng'yu 指下花落狂风雨
'zhi'yao'ren'niu'wu'ji'shi'xiu'shi 直要人牛无际是休时
'zhi'you'xiang'si'shi 只有相思是
'zhi'zai'yi'chuan'li'hen'xiang'xi'zhou 只载一船离恨向西州
'zhi'zhi'er'jin 直至而今
'zhong'dai'gong'yi'xiang'jian 终待共伊相见
'zhong'de'jiang'nan 种德江南
'zhong'gan'kai 重感慨
'zhong'nian'shao 重年少
'zhong'qiu'duo'yu 中秋多雨
'zhong'qiu'wu'yu 中秋无雨
'zhong'ri'mei'er'zhou 终日眉儿皱
'zhong'ti'han'shang'jin 重题汉上襟
'zhong'xiao'wang'mei 终宵忘寐
'zhong'xun'yan'ge 重寻艳歌
'zhong'yan'jun'dan'chang 忠言君但尝
'zhong'you'mo'wei'wei'ling'xiu 中有摩围为领袖
'zhong'yuan'xiao'bi'yi'wen'qin 终愿效比翼纹禽
'zhou'lang'jiu'ke'ren 周郎旧可人
'zhou'ye'le 昼夜乐
'zhu'er'juan'xiu 诸儿娟秀
'zhu'feng'jian 竹风间
'zhu'gong'shang 诸公上
'zhu'jiang'shuo'feng'hou 诸将说封侯
'zhu'lei'ying'ying'shi'xiu'jin 珠泪盈盈湿袖襟
'zhu'li'dao'jun'xu'jin 主礼到君须尽
'zhu'lian'xiu'mu'juan'qing'shuang 珠帘绣幕卷轻霜
'zhu'lou'cai'fang 朱楼彩舫
'zhu'ren'qing'zhong'geng'liu'tang 主人情重更留汤
'zhu'si'xian'suo'qing'chuang 蛛丝闲锁晴窗
'zhu'yan'lao'jin'xin'ru'zuo 朱颜老尽心如昨
'zhu'yin'hua'wu'ceng'tong'zui 竹阴花坞曾同醉
'zhu'yu'ju'rui'nian'nian'shi 茱萸菊蕊年年事
'zhu'zhi'ge'hao'yi'chuan'jiu 竹枝歌好移船就
'zhuan'bo'ge'zhu'xian 转拨割朱弦
'zhuan'mian'jing'fan'chang'xiu 转眄惊翻长袖
'zhuang'dan'qing'shen 妆淡情深
'zhun'ni'jie'qian'zhai'li'zhi 准拟阶前摘荔枝
'zhuo'jiu'huang'hua 浊酒黄花
'zhuo'shou'ma'sa 着手摩挲
'zi'bi'yi'shen'qing'ruo'li 自庇一身青箬笠
'zi'cong'guan'bu'rong'zhen 自从官不容针
'zi'duan'ci'sheng'xiu'wen'tian 自断此生休问天
'zi'feng'shuang'nan'lao 自风霜难老
'zi'gu'wei'zai 自古危哉
'zi'gui'yan'yu 子规言语
'zi'hen'lao'lai'zeng'jiu 自恨老来憎酒
'zi'jian'lai 自见来
'zi'ju'huang'hua'feng'lu'han 紫菊黄花风露寒
'zi'qi'zhen'chu 自欹枕处
'zi'ran'jin'ri'ren'xin'bie 自然今日人心别
'zi'ran'lu'ding 自然炉鼎
'zi'tan'ren'sheng 自叹人生
'zi'xi'chen'yin 仔细沉吟
'zi'yan'jia'zhu'tian'jin 自言家住天津
'zi'yi'chuan'dou'hui 自一川都会
'zi'yu'huang'ju'fan'hua'chu 紫萸黄菊繁华处
'zi'zuo'qiu'yi 自作秋衣
'zong'bu'cheng'xing'bu 总不成行步
'zong'ling'shen'xian'lv 总领神仙侣
'zong'meng'you'ji'neng'ge'wu 宗盟有妓能歌舞
'zu'shi'chen'zui'you'kan'jing 祖师沉醉犹看镜
'zui'ai'lin'feng'di 最爱临风笛
'zui'ci'luo'yang'ren 醉此洛阳人
'zui'dao'jin'he 醉倒金荷
'zui'duan'ren'chang 最断人肠
'zui'gui'lai 醉归来
'zui'hong'qin'xue'mao 醉红侵雪毛
'zui'kan'yan'yu'sen'yin'zhu 醉看檐雨森银竹
'zui'li'tan'xiao 醉里谈笑
'zui'li'xiang'piao'shui'ya 醉里香飘睡鸭
'zui'li'zan'hua'dao'zhe'guan 醉里簪花倒着冠
'zui'luo'po'cang'yan'hua'fa 醉落魄苍颜华发
'zui'luo'po'tao'tao'wu'wu'si'shou 醉落魄陶陶兀兀四首
'zui'nan'ru'yi'wei'qing'duo 最难如意为情多
'zui'nan'wang 最难忘
'zui'peng'lai'cuan'yi'qian'ci 醉蓬莱窜易前词
'zui'peng'lai'dui'zhao'yun'ai'dai 醉蓬莱对朝云叆叇
'zui'ren'pang'guan'chao'liao'dao 醉任旁观嘲潦倒
'zui'shang'feng'tou'shi'wang'zhi 最上峰头试望之
'zui'song'yue'xian'xi'ling'qu 醉送月衔西岭去
'zui'wo'teng'yin'gai 醉卧藤阴盖
'zui'wu'xia'shan'qu 醉舞下山去
'zui'wu'yin'ge'mei 醉舞裀歌袂
'zui'xiang'lu 醉乡路
'zui'xiang'lu'shang'duo'fang'cao 醉乡路上多芳草
'zui'xiang'lu'yuan'gui'bu'de 醉乡路远归不得
'zui'xiang'qi'lu 醉乡歧路
'zui'yu'dong'xi 醉玉东西
'zui'yu'tui'shan 醉玉颓山
'zui'zhu'gong'chen'ta 醉主公陈榻
'zun'jiu'gong'tang 尊酒公堂
'zun'qian'jian 尊前见
'zun'qian'jian'zai'bu'rao'ren 尊前见在不饶人
'zun'qian'shi'wo'hua'xu'guo 尊前是我华胥国
'zun'zhong'you'jiu'qie'chou'chun 尊中有酒且酬春
'zun'zu'feng'liu'zhan'sheng 尊俎风流战胜
'zuo'jiu'shui'kong'bi 坐久水空碧
'zuo'jun'shen'ru'ya 佐郡深儒雅
'zuo'lai'sheng'pen'shuang'zhu 坐来声喷霜竹
'zuo'lai'zheng'nai 坐来争奈
'zuo'ri'zhu'ren'jin'ri'ke 昨日主人今日客
'zuo'xiang'luo'fu'shan'xia'yu'yi'qing 坐想罗浮山下羽衣轻
'zuo'xie'er'xiang'du 做些儿相度
'zuo'ye'deng'qian'jian 昨夜灯前见
'zuo'ye'dong'feng 昨夜东风
'zuo'yu'shi 坐玉石
'zuo'zhong'hai'you'shang'yin'ren 坐中还有赏音人
'zuo'zhong'zui'lao 座中最老
