'bao'jing'qun'chen'de 宝镜群臣得
'bao'lian'jin'xiu'ming 薄敛近休明
'bao'lie'can'zhen'yin 薄劣惭真隐
'bao'mao'zhong'ru'gui'guan'nei 苞茅重入归关内
'bao'meng'xin'you'ji 包蒙欣有击
'bao'qian'chi'mei'qi 爆嵌魑魅泣
'bao'rou'qi'yong'jue 饱肉气勇决
'bao'shi'fu'he'xin 饱食复何心
'bao'su'fang'ren'mian 薄俗防人面
'bao'su'nan'ke'lun 薄俗难可论
'bao'sui'jing'di'chu 暴隋竟涤除
'bao'tian'tian'wu'sheng'suo'ai 暴殄天物圣所哀
'bao'wang'huo'qian'wen 暴尪或前闻
'bao'wen'chun'qiu'pi 饱闻春秋癖
'bao'wen'jing'qu'tang 饱闻经瞿塘
'bao'wen'qi'mu'san'nian'da 饱闻桤木三年大
'bao'xiao'shen'ru'zai 报效神如在
'bao'ye'han'chan'jing 抱叶寒蝉静
'bao'yi'hao'zhi'jin 薄倚浩至今
'bao'you'xi'xi'feng'sheng'qi 薄游淅淅风生砌
'bao'yu'hui'lian'shi'bu'xi 报与惠连诗不惜
'bao'zhi'yi'wei'han 报之以微寒
'bao'zhu'er'he'chi 报主尔何迟
'bao'zhu'shen'yi'lao 报主身已老
'bao'zi'qu'lao'xian 报兹劬劳显
'bei'ban'zhao'si'yi 碑版照四裔
'bei'bu'chu'gao'xuan 北部初高选
'bei'chen'dang'yu'zhou 北辰当宇宙
'bei'chen'zheng'shi'ye 北辰征事业
'bei'cheng'bei'jia'fa 北城悲笳发
'bei'ci'gu'rou'qin 倍此骨肉亲
'bei'dao'bai'man'kai 碑到百蛮开
'bei'dou'gu'lin'qin 北斗故临秦
'bei'dou'si'hou'she 北斗司喉舌
'bei'du'bu'jing'ou 杯度不惊鸥
'bei'duan'jian'ge'yu 北断剑阁隅
'bei'dui'xi'kang'zhou 北对西康州
'bei'fei'he'zi'yi'qiong'rui 背飞鹤子遗琼蕊
'bei'fei'yu'he'dai 卑飞欲何待
'bei'feng'bei'feng'po'nan'ji 北风北风破南极
'bei'feng'chui'jian'jia 北风吹蒹葭
'bei'feng'chui'zhang'li 北风吹瘴疠
'bei'feng'fang'yi'xing 悲风方一醒
'bei'feng'huang'ye'xia 北风黄叶下
'bei'feng'qi'han'wen 北风起寒文
'bei'feng'ri'mu'duo 悲风日暮多
'bei'feng'shao'shao'fei 悲风稍稍飞
'bei'feng'sheng'wei'xiao 悲风生微绡
'bei'feng'sui'shuang'qi 北风随爽气
'bei'feng'tian'zheng'han 北风天正寒
'bei'feng'wei'wo'cong'tian'lai 悲风为我从天来
'bei'feng'wei'wo'qi 悲风为我起
'bei'gan'weng'ji'kong 杯干瓮即空
'bei'ge'bin'fa'bai 悲歌鬓发白
'bei'ge'shang'yun'ti 悲歌上云梯
'bei'ge'shi'zhe'shui 悲歌识者谁
'bei'ge'zai'yi'ting 悲歌在一听
'bei'gong'dai'xiao'han 北拱戴霄汉
'bei'gong'zhi'zhao'yao 卑宫制诏遥
'bei'guan'zhu'qing'se 悲管逐清瑟
'bei'gui'chong'yu'xue 北归冲雨雪
'bei'gui'qin'chuan'duo'gu'pi 北归秦川多鼓鼙
'bei'he'duan'zhai'bin'ru'si 被褐短窄鬓如丝
'bei'he'wei'kong'pin 被褐味空频
'bei'hou'chui'sheng'yu 背后吹笙竽
'bei'hou'he'suo'jian 背后何所见
'bei'hui'bai'di'zhao 北回白帝棹
'bei'ji'chao'ting'zhong'bu'gai 北极朝廷终不改
'bei'ji'peng'xing'chen 北极捧星辰
'bei'ji'zhuan'chou'long'hu'qi 北极转愁龙虎气
'bei'jia'shu'sheng'dong 悲笳数声动
'bei'jian'sheng'ya'bai'you'ji 悲见生涯百忧集
'bei'jie'jiu'zhi'cun 碑碣旧制存
'bei'jin'wu'ting'zhi 贝锦无停织
'bei'jiu'zhan'jin'li 杯酒沾津吏
'bei'jun'bai'yu'pan 悲君白玉盘
'bei'jun'sui'yan'que 悲君随燕雀
'bei'jun'yi'shi'shi'nian'liu 悲君已是十年流
'bei'lai'ji'gu'ku'han'qin 北来肌骨苦寒侵
'bei'lai'wang'bai'yun 悲来望白云
'bei'li'fu'xun'tian 北里富熏天
'bei'lian'zi'nv'hao 悲怜子女号
'bei'liang'chu'dai'fu 悲凉楚大夫
'bei'lin'kong'zi'hun 北林空自昏
'bei'lin'ming'fu'qi'ci'man 北邻明府岂辞满
'bei'lin'nai'ren'guo 北邻耐人聒
'bei'ming'lei'zhi'di 悲鸣泪至地
'bei'ming'si'ma'gu 悲鸣驷马顾
'bei'pan'po'lang'ji 杯盘颇狼藉
'bei'qi'pai'di'hun 悲气排帝阍
'bei'qiu'liang'feng'dong'wan'li 悲秋凉风动万里
'bei'qiu'song'yu'zhai 悲秋宋玉宅
'bei'qiu'xiang'xi'zhong 悲秋向夕终
'bei'qu'bu'yi'quan'yu'ji 被驱不异犬与鸡
'bei'qu'han'yang'chuan 北驱汉阳传
'bei'quan'gong'you'ye 悲泉共幽咽
'bei'que'geng'xin'zhu 北阙更新主
'bei'que'ren'qun'xiong 北阙任群凶
'bei'que'xin'chang'lian 北阙心长恋
'bei'que'yao'fen'man 北阙妖氛满
'bei'rao'lv'si'kuan 杯饶旅思宽
