'a'wei 阿味
'jiao'gu'lan 绞股蓝
'jiao'gu'ya 焦谷芽
'jiao'jian'qu 焦建曲
'jiao'mai'ya 焦麦芽
'jiao'shan'yao 焦山药
'jiao'shan'zha'chao 焦山楂炒
'jiao'shen'qu 焦神曲
'jiao'suan'zao'ren 焦酸枣仁
'jiao'wei'zi 焦桅子
'jiao'zhi'zi 焦栀子
'jie'geng'pian 桔梗片
'jin'deng'long 锦灯笼
'jin'fo'cao 金佛草
'jin'guo'lan 金果榄
'jin'ju'hua 金菊花
'jin'lian'hua 金莲花
'jin'meng'shi 金礞石
'jin'niu'cao 金牛草
'jin'qian'xiao'bai'hua'she 金钱小白花蛇
'jin'qiao'mai 金荞麦
'jin'yin'hua 金银花
'jin'yin'hua'tan 金银花炭
'jin'yin'teng 金银藤
'jin'ying'zi 金樱子
'jing'jie 荆芥
'jing'jie'sui 荆芥穗
'jing'jie'sui'tan 荆芥穗炭
'jing'jie'tan 荆芥炭
'jing'xiang'mo 京香墨
'jiu'bai'shao 酒白芍
'jiu'bai'shao'pian 酒白芍片
'jiu'bi'ying 救必应
'jiu'cai'zi 韭菜子
'jiu'cong'rong 酒苁蓉
'jiu'da'huang 酒大黄
'jiu'dang'gui 酒当归
'jiu'huang'qin 酒黄芩
'jiu'jie'chang'pu 九节菖蒲
'jiu'shan'yu'rou 酒山萸肉
'jiu'wu'shao'she 酒乌梢蛇
'jiu'xiang'chong 九香虫
'ju'he 桔核
'ju'hong'hua'ju'hong 桔红化橘红
'ju'hua 菊花
'ju'luo 桔络
'ju'luo 橘络
'ju'mi 菊米
'ju'sheng'zi 巨胜子
'ju'ye 桔叶
'juan'bai 卷柏
'jue'ming'zi 决明子
'kang'nai'xin 康乃馨
'ke'sha'ren 壳砂仁
'ku'ding'cha 苦丁茶
'ku'ding'xiang 苦丁香
'ku'fan 枯矾
'ku'fan'duan 枯矾煅
'ku'gua'pian 苦瓜片
'ku'lian'pi 苦楝皮
'ku'lian'zi 苦楝子
'ku'shen 苦参
'ku'shi'lian 苦石莲
'kui'shu'zi 葵树子
'kun'bu 昆布
'lao'guan'cao 老鹳草
'lei'gong'teng 雷公藤
'lei'wan 雷丸
'li'zhi'he 荔枝核
'lian'fang 莲房
'lian'fang 连房
'lian'fang'tan 莲房炭
'lian'qiao 连翘
'lian'xu 莲须
'lian'zi 莲子
'lian'zi'rou 莲子肉
'lian'zi'xin 莲子心
'liao'da'qing'ye 廖大青叶
'ling'ling'xiang 零陵香
'ling'xiao'hua 凌霄花
'ling'yang'fen 羚羊粉
'ling'yang'jiao'fen 羚羊角粉
'ling'yang'jiao'si 羚羊角丝
'ling'zhi 灵芝
'ling'zhi'bao'zi'fen 灵芝孢子粉
'ling'zhi'ding'ji 灵芝顶级
'ling'zhi'ge 灵芝个
'ling'zhi'pian 灵芝片
'ling'zhi'po'bi'bao'zi'fen 灵芝破壁孢子粉
'liu'huang 硫磺
'liu'ji'nu 刘寄奴
'liu'yi'san 六一散
'liu'yue'xue 六月雪
'long'dan'cao 龙胆草
'long'kui 龙葵
'long'li'ye 龙利叶
'long'xue'jie 龙血竭
'long'yan'rou 龙眼肉
'long'yan'rou'gui'yuan'rou 龙眼肉桂圆肉
'long'yan'rou'he 龙眼肉核
'lou'gu 蝼蛄
'lu'ba'zi 芦巴子
'lu'bian 鹿鞭
'lu'gan'shi 炉甘石
'lu'gen 芦根
'lu'han'cao 鹿含草
'lu'hui 芦荟
'lu'jiao'bang 鹿角镑
'lu'jiao'jiao 鹿角胶
'lu'jiao'pian 鹿角片
'lu'jiao'shuang 鹿角霜
'lu'jin 鹿筋
'lu'lu'tong 路路通
'lu'rong 鹿茸
'lu'rong'fen 鹿茸粉
'lu'rong'fen'pian 鹿茸粉片
'lu'rong'pian 鹿茸片
'lu'rong'pian'bai'sha'pian 鹿茸片白沙片
'lu'rong'pian'la'pian 鹿茸片蜡片
'lu'rong'san'he'yi'lu'bian'pian'bu'lao'cao'lu'rong'pian 鹿茸三合一鹿鞭片不老草鹿茸片
'lu'rong'xue'pian 鹿茸血片
'lu'tai 鹿胎
'lu'wei 鹿尾
'lu'xian'cao 鹿衔草
'lu'xue 鹿血
'luo'bu'ma'ye 罗布麻叶
'luo'han'guo 罗汉果
'luo'shi'teng 络石藤
'lv'cao 律草
'lv'fan 绿矾
'ma'bian'cao 马鞭草
'ma'bo 马勃
'ma'chi'xian 马齿苋
'ma'dou'ling 马兜铃
'ma'dou'ling'zhi 马兜铃炙
'ma'huang 麻黄
'ma'huang'gen 麻黄根
'ma'huang'mi 麻黄蜜
'ma'she'zi 马舌子
'ma'wei'lian 马尾莲
'ma'yi'hei 蚂蚁黑
'ma'yi'hong 蚂蚁红
'mai'dong 麦冬
'man'jing'zi'sheng 蔓荆子生
'man'shan'hong 满山红
'mang'xiao 芒硝
'mao'dong'qing 毛冬青
'mao'xu'cao 猫须草
'mao'yan'cao 猫眼草
'mao'zhao'cao 猫爪草
'mei'gui'hua 玫瑰花
'mei'gui'hua'fen 玫瑰花粉
'mei'gui'qie 玫瑰茄
'mei'gui'qing'cha 玫瑰清茶
'mei'hua 梅花
'mei'hua'lu'bian'pian 梅花鹿鞭片
'mei'hua'lu'rong 梅花鹿茸
'mei'hua'lu'rong'hong'fen'pian 梅花鹿茸红粉片
'mei'hua'lu'rong'pian 梅花鹿茸片
'mei'hua'lu'rong'xue'pian 梅花鹿茸血片
'mei'shi'zi 没食子
'mei'yao 没药
'meng'chong 虻虫
'mi'kuan'dong'hua 蜜款冬花
'mi'meng'hua 蜜蒙花
'mi'pi'pa'ye 蜜枇杷叶
'mi'sang'bai'pi 蜜桑白皮
'mi'xuan'fu'hua 蜜旋覆花
'mi'zi'yuan 蜜紫苑
'mian'bi'xie 绵萆薢
'mian'ma'guan'zhong 绵马贯众
'ming'tian'ma 明天麻
'mo'han'lian 墨旱莲
'mo'li'hua 茉莉花
'mu'bie'zi 木鳖子
'mu'dan'hua 牡丹花
'mu'dan'pi 牡丹皮
'mu'dan'pi'tan 牡丹皮炭
'mu'ding'xiang 母丁香
'mu'gua 木瓜
'mu'hu'die 木蝴蝶
'mu'jin'pi 木槿皮
'mu'ti'ceng'kong'jun 木蹄层孔菌
'mu'tong 木通
'mu'xiang 木香
'mu'yao'zi 木腰子
'mu'zei 木贼
'nan'gua'zi 南瓜子
'nan'sha'shen 南沙参
'nan'wu'wei'zi'zhi 南五味子炙
'nen'xiao'cao 嫩小草
'ning'meng 柠檬
'niu'bang'zi 牛蒡子
'niu'bang'zi'chao 牛蒡子炒
'niu'huang'tian'ran 牛黄天然
'niu'huang'zheng'tian'ran 牛黄整天然
'niu'jiao'kuai 牛角块
'niu'rou'liao 牛肉料
'niu'xi 牛膝
'nv'zhen'zi'jiu 女贞子酒
'ou'jie 藕节
'ou'jie'tan 藕节炭
'pang'da'hai 胖大海
'pao'jiang 炮姜
'pei'lan 佩兰
'peng'sha 硼砂
'pi'pa'ye 枇杷叶
'pian'jiang'huang 片姜黄
'ping'gai'ling'zhi 平盖灵芝
'ping'gai'ling'zhi'pian 平盖灵芝片
'pu'gong'ying 蒲公英
'pu'huang 蒲黄
'pu'huang'tan 蒲黄炭
'qi'ju'hua'cha 杞菊花茶
'qi'she 祁蛇
'qi'she 蕲蛇
'qi'ye'cao 七叶草
'qian'cao 茜草
'qian'hu 前胡
'qian'li'guang 千里光
'qian'nian'jian 千年健
'qian'ri'hong 千日红
'qian'shi 芡实
'qian'shi'fen 芡实粉
'qie'gen 茄根
'qin'jiao 秦艽
'qin'pi 秦皮
'qing'ban'xia 清半夏
'qing'dai 青黛
'qing'feng'teng 青风藤
'qing'guo 青果
'qing'hao 青蒿
'qing'meng'shi 青礞石
'qing'meng'shi 青蒙石
'qing'pi 青皮
'qing'xiang'zi 青箱子
'qing'xiang'zi 青葙子
'qiu'shi 秋石
'qiu'shi'kuai 秋石块
'qu'mai 瞿麦
'quan'can 拳参
'quan'can'cao'he'che 拳参草河车
'quan'chong'quan'xie 全虫全蝎
'quan'xie 全蝎
'quan'xie'fen 全蝎粉
'ren'dong'teng 忍冬藤
'ren'gong'niu'huang 人工牛黄
'ren'shen'hua 人参花
'ren'shen'hua'lei 人参花蕾
'ren'shen'ye 人参叶
'rou'cong'rong'zhi'da'yun 肉苁蓉炙大云
'rou'dou'kou'rou'kou 肉豆蔻肉蔻
'rou'gui 肉桂
'rou'gui'zi 肉桂子
'rui'ren 蕤仁
'san'ke'zhen 三棵针
'san'leng'cu 三棱醋
'san'qi'fen 三七粉
'san'qi'ge 三七个
'san'qi'hua 三七花
'san'qi'pian 三七片
'sang'bai'pi 桑白皮
'sang'ji'sheng 桑寄生
'sang'piao'xiao 桑螵蛸
'sang'shen 桑椹
