'ai'he'wu'di 爱河无底
'sha'di'huang'ge 沙堤黄阁
'sha'jin'piao'miao'qing'yan 纱巾缥缈轻烟
'sha'lu'xi'xin'gan 沙路喜新干
'shan'cun'shui'guan'cen'ci'lu 山村水馆参差路
'shan'kai'cui'wu 山开翠雾
'shan'lin'ding'qu'ye 山林定去也
'shan'meng'sui'zai 山盟虽在
'shan'yi'qi'liang 山驿凄凉
'shan'yi'wai 山驿外
'shang'chun'bing'si 伤春病思
'shang'fu'chu'xin 尚负初心
'shang'gan'quan 上甘泉
'shang'ji'an'tong'tuo'kong'chuang'shen 尚棘暗铜驼空怆神
'shang'ma'he'fang 上马何妨
'shang'qing'yi'xiu'zhu 赏清伊修竹
'shang'shi'shi'liu'ti'zun'qian 尚时时流涕尊前
'shang'xi'lou'jiang'tou'lv'an'hong'xi 上西楼江头绿暗红稀
'shang'xin'chu 伤心处
'shao'guang'jiang'mu 韶光将暮
'shao'guang'yan'mei 韶光妍媚
'shao'nian'mo'xiao'lao'ren'shuai 少年莫笑老人衰
'shao'nian'shi'hua 少年时话
'shao'zhuang'xiang'cong'jin'xue'bin 少壮相从今雪鬓
'shei'yu'fang'weng'wei'ban 谁与放翁为伴
'shen'bi'jin'long 深闭金笼
'shen'hou'sheng'ming'bu'zi'zhi 身后声名不自知
'shen'lao'cang'zhou 身老沧洲
'shen'luo'liu'mo'hua'cong 身落柳陌花丛
'shen'qing'huai'ban'ren'er'xi 甚情怀伴人儿戏
'shen'ru'xi'rang'du'tou'yun 身如西瀼渡头云
'shen'shi'xing'ren 身是行人
'shen'wan'li 身万里
'shen'xian'he'chu 神仙何处
'shen'xian'xin'tai'ping 身闲心太平
'shen'xian'xu'shi'xian'ren'zuo 神仙须是闲人做
'shen'yi'lao 身易老
'shen'zai'chu'shan'jiao 身在楚山角
'shen'zai'qian'zhong'yun'shui'zhong 身在千重云水中
'shen'zai'tian'ya 身在天涯
'shen'zhu'bao'lian'xiang 深炷宝奁香
'sheng'cong'long 声璁珑
'sheng'ge'wei'li 笙歌围里
'sheng'xu'huan'da 生须宦达
'sheng'zha'zi'hai'shan'he'zhu'en 生查子还山荷主恩
'sheng'zha'zi'liang'kong'yan'wei'chao 生查子梁空燕委巢
'shi'dai'yin'fan'pan'zui'dao 试戴银旛判醉倒
'shi'fan'shan'jiao'xia 石帆山脚下
'shi'fan'shan'xia'yu'kong'meng 石帆山下雨空濛
'shi'fei'rong'ru 是非荣辱
'shi'fen'leng'dan'xin'chang 十分冷淡心肠
'shi'fen'qiao'cui 十分憔悴
'shi'hui'ti 时挥涕
'shi'jian'sui'yue'qin'qin 世间岁月骎骎
'shi'jiang'feng 使江风
'shi'jie'yuan'lai'da 世界元来大
'shi'jiu'xiao'sheng'jia 诗酒消声价
'shi'jun'hong'fang 使君宏放
'shi'liao'tian'gu'he 识辽天孤鹤
'shi'lu'gu'jiu 市垆沽酒
'shi'nian'qiu'ma'jin'jiang'bin 十年裘马锦江滨
'shi'po'fu'sheng'xu'wang 识破浮生虚妄
'shi'qian'gu'jiu'qing'lou'shang 十千沽酒青楼上
'shi'ren'cuo'ba'bi'yan'guang 时人错把比严光
'shi'shi'cong'lai'guan'jian 世事从来惯见
'shi'si'liang'wang'shi 试思量往事
'shi'wang'guan'qing 事往关情
'shi'wen'sui'hua'he'xu 试问岁华何许
'shi'yan'yu'hua'gong'que 侍宴玉华宫阙
'shi'yi'shi 时易失
'shi'yu'jian'bu'dao 是鱼笺不到
'shi'zai'jiang'hu 十载江湖
'shi'zhi'qian'zhong'liang'yi 仕至千钟良易
'shou'fei'jin'shi 寿非金石
'shou'ma'xing'shuang'zhan 瘦马行霜栈
'shou'yao'qiong'tong 寿夭穷通
'shu'fa'jin'pan'sheng'yi'wo 梳发金盘剩一窝
'shu'hui'yi'shi'ming'nian'shi 书回已是明年事
'shu'huo'bian'chen 戍火边尘
'shu'kong'du'yu 书空独语
'shu'rui'you'xiang 疏蕊幽香
'shu'sheng'wen'lin'wai'mu'zhong 数声闻林外暮钟
'shu'sheng'xin'yan 数声新雁
'shu'ting'yang'guan'bu'can'yan 熟听阳关不惨颜
'shu'yan'fan'li'li 数烟帆历历
'shu'zi'du'qian'zai 叔子独千载
'shuai'bin'feng'sha 衰鬓风沙
'shuai'bing'feng'chun'dou'bu'ji 衰病逢春都不记
'shuai'weng'lao'qu'shu'rong'li 衰翁老去疏荣利
'shuang'shuang'xin'yan'fei'chun'an 双双新燕飞春岸
'shuang'tou'lian'cheng'fan'zhi'neng'dai'zhi 双头莲呈范至能待制
'shuang'tou'lian'feng'juan'zheng'chen 双头莲风卷征尘
'shui'cheng'shan'yi 水程山驿
'shui'diao'ge'tou'duo'jing'lou 水调歌头多景楼
'shui'fu'wei'dong 水浮微冻
'shui'ji'dang'nian'hao'ju 谁记当年豪举
'shui'ji'jia'yun'gu'he 谁记驾云孤鹤
'shui'jian'wu'yun'dan'zao 谁见五云丹灶
'shui'jiao'han'deng'li 睡觉寒灯里
'shui'liu'yun'san'ge'xi'dong 水流云散各西东
'shui'long'yin'chun'ri'you'mo'he'chi 水龙吟春日游摩诃池
'shui'long'yin'rong'nan'zuo 水龙吟荣南作
'shui'mian'fei'jin'jing 水面飞金镜
'shui'qian'zhong 水千重
'shui'rao'shan'wei 水绕山围
'shui'ru'kong 水如空
'shui'ting'you'chu'peng'xia'shang 水亭幽处捧霞觞
'shui'wei 谁谓
'shui'wei'qian'liu'tiao'xi'zhu 谁为倩柳条系住
'shui'xi'ni'sha'wan'dian'hong 谁惜泥沙万点红
'shui'xiang'shi'chen'shen'chu 谁向市尘深处
'shui'yang'ping'gen'feng'juan'xu 水漾萍根风卷絮
'shui'yi'jiang'cheng'qu'lu'chang 水驿江程去路长
'shui'zhi'chong'jian'chu'jiang'bin 谁知重见楚江滨
'shuo'dao'qu'duo'shi'ye 说道去多时也
'shuo'yu'jun'zhi'zhi'shi'wan 说与君知只是顽
'si'gu'ren'qing'bo 似故人情薄
'si'hao'chen'shi'bu'xiang'guan 丝毫尘事不相关
'si'meng'li'lai'dao'nan'ke 似梦里来到南柯
'si'shi'er'nian 四十二年
'si'tian'shan'qi'liang'bing'ji 似天山凄凉病骥
'si'wei'lan 似危栏
'si'yao'ming'chuan 死要名传
'si'yi'xuan'hua'jiu'shi 似忆宣华旧事
'song'chun'gui 送春归
'su'bi'qi'ya'ying'hao'zai 素壁栖鸦应好在
'su'hua'kong'dian'chun'yan 酥花空点春妍
'su'su'deng'hua'zhui 蔌蔌灯花坠
'su'wu'man'tang'an'xi'hu 苏武慢唐安西湖
'su'yi'you'qi'wu'wai 素意幽栖物外
'su'zhong'qing'dang'nian'wan'li'mi'feng'hou 诉衷情当年万里觅封侯
'su'zhong'qing'qing'shan'chu'ru'jiu'chong'cheng 诉衷情青衫初入九重城
'suan'sha'bian'ye'you'duan'hong 算沙边也有断鸿
'suan'ying'xiong'cheng'bai 算英雄成败
'suan'zhi'he'kuang'ge'zui'wu 算只合狂歌醉舞
'sui'chu'an'guan'jin 随处岸纶巾
'sui'fang'qiu 岁方秋
'sui'fen'you'yun'shan 随分有云山
'sui'fen'zuo'shan'jia 随分作山家
'sui'wan'xi'dong'gui 岁晚喜东归
'sui'yue'jing'xin 岁月惊心
'sui'yue'qin'qin 岁月骎骎
'suo'qian'shao'xiu'zhu 锁千梢修竹
'ta'shi'xiang'yu'zhi'he'chu 他时相遇知何处
'tai'ping'shi'zhu'li'fang'long'yi'jing'shen 太平时竹里房栊一径深
'tai'zhi'xian'ti'xi'shang'ju 苔纸闲题溪上句
'tan'ban'ji 叹半纪
'tan'chen'jie'sheng'si'mang'mang 叹尘劫生死茫茫
'tan'chun'cheng 叹春酲
'tan'chun'lai'zhi'you 叹春来只有
'tan'gong'ming'wu'ren'kan'xiao 叹功名误人堪笑
'tan'guan'xian'zhou'yong 叹官闲昼永
'tan'kan'yun'qi'wu'qing'luan 贪看云气舞青鸾
'tan'lei'hua'qian 弹泪花前
'tan'lian'nian'rong'zhang 叹连年戎帐
'tan'liu'nian'you'cheng'xu'du 叹流年又成虚度
'tan'lv'bin 叹绿鬓
'tan'ming'ji'jun'ma 叹名姬骏马
'tan'nian'guang'ru'xu 叹年光如许
'tan'qing'fu'ying'hua 叹轻负莺花
'tan'ren'shi 叹人事
'tan'shan'chuan'ran'ran 叹山川冉冉
'tan'shan'chuan'ru'zuo 叹山川如昨
'tan'wang'shi'bu'kan'zhong'sheng 叹往事不堪重省
'tan'wei'yao'dai'sheng 叹围腰带剩
'tan'xi'mei'xiao'xi 探溪梅消息
'tan'xi'wu'ren'fu 叹息无人付
'tan'xiao'ao 贪啸傲
'tan'xiao'xi'jin'gu'jin'chou 谈笑洗尽古今愁
'tan'xiao'zuo'cheng'feng'sui 谈笑做成丰岁
'tan'ya'jiang'shan 弹压江山
'tan'yu'sheng 叹馀生
'tan'zhu'jiu'xian'xi'bing 谈麈久闲犀柄
'tao'hua'luo 桃花落
'tao'hua'yu'nuan 桃花欲暖
'tao'yuan'yi'gu'ren'cheng'nan'zai'jiu'hang'ge'lu 桃源忆故人城南载酒行歌路
'tao'yuan'yi'gu'ren'ti'hua'shan'tu 桃源忆故人题华山图
'tao'yuan'yi'gu'ren'xie'yang'ji'li'chai'men'bi 桃源忆故人斜阳寂历柴门闭
'tao'yuan'yi'gu'ren'yi'tan'zhi'qing'fu'sheng'guo 桃源忆故人一弹指顷浮生过
'tao'yuan'yi'gu'ren'ying'ling'dao'zhong 桃源忆故人应灵道中
'te'di'mu'yun'kai 特地暮云开
'ti'ba'xi'chun'shi 题罢惜春诗
'ti'hong'mi'su 啼红密诉
'ti'que'ling'yan'xiang 替却凌烟像
'ti'shi'feng'yue'ju'xin 题诗风月俱新
'tian'di'you'xian'ren 天地有闲人
'tian'gong'miao'shou 天工妙手
'tian'jiao'cheng'fang'weng 天教称放翁
'tian'que'wu'xin'xi 天却无心惜
'tian'ruo'you'qing'zhong'yu'wen 天若有情终欲问
'tian'tai'cai'yao 天台采药
'tiao'cai'chu'xian 挑菜初闲
'tiao'hua'fu'qian'yue 条华赴前约
'tiao'qian'miao'bi 调铅妙笔
'tiao'xian'cu'zhu 调弦促柱
'tie'qi'wu'sheng'wang'si'shui 铁骑无声望似水
'ting'ti'ying'cui'xiao 听啼莺催晓
'tong'lu'niao'niao'hai'nan'chen 铜炉袅袅海南沉
'tong'tuo'jing'ji 铜驼荆棘
'tong'ye'chen'piao'qiong'ye'yu 桐叶晨飘蛩夜语
'tou'bei'qi'wu'yi'wu'ze 投杯起舞遗乌帻
'tou'hu'sheng'duan'dan'qi'ba 投壶声断弹棋罢
'tou'wei'tong 头未童
'tu'xiang'qi'lin 图像麒麟
'tu'yao'ge'ren'zhi 图要个人知
'tuo'jin'li'ming'jiang'suo 脱尽利名缰锁
'wan'jie'jin'pei'sheng'cong'long 晚街金辔声璁珑
'wan'jin'xuan'sheng'ying'hua'hai 万金选胜莺花海
'wan'li'jiang'hu'yan'ge 万里江湖烟舸
'wan'li'jiang'tian 万里江天
'wan'li'qi'liang'shui'ji'yin 万里凄凉谁寄音
'wan'qing'bo'li'yi'ye'chuan 万顷玻璃一叶船
'wan'shan'chan'juan'su'yue 纨扇婵娟素月
'wan'shi'gao'tang'guan 宛是高唐馆
'wan'shi'shou'xin'ye 万事收心也
'wan'xiang'dan'li 晚香丹荔
'wan'zao'su'pi'xiu 万灶宿貔貅
'wan'zhuan'ba'ge 宛转巴歌
'wang'hou'lou'yi 王侯蝼蚁
'wang'lai'yi'wan'san'qian'li 往来一万三千里
'wang'mei'shou'fei'jin'shi 望梅寿非金石
'wang'qin'guan'he'chu 望秦关何处
'wang'que'xin'zhuan'zi'ye'ge 忘却新传子夜歌
'wang'que'ying'chuang'liu'xie 忘却莺窗柳榭
'wang'shi'yi'sun'liu 往事忆孙刘
'wang'ying'chen'an 网萦尘暗
'wei'bu'chu 微步处
'wei'die'zhu'lan 危堞朱栏
'wei'jin'chu'cheng'xiang'chen'kuang 微近处丞相嗔狂
'wei'lou'fei'guan 危楼飞观
'wei'mang'ru'ji 微茫如荠
'wei'ren'neng'ran'bin'si'fou 为人能染鬓丝否
'wei'shi'lei'bo'shen 惟是泪波深
'wei'shuo'san'nian'chang'ji'meng'hun'jian 为说三年常寄梦魂间
'wei'yi'hou'di'man'luo'yi 为伊后滴满罗衣
'wei'you'duan'hong'yan'zhu 惟有断鸿烟渚
'wei'you'xiao'ran 惟有翛然
'wen'bin'bian'dou'you'ji'duo'si 问鬓边都有几多丝
'wen'ci'ji'bao'ren'he'shi 问此际报人何事
'wen'fu'ming'he'si'shen'qin 问浮名何似身亲
'wen'ge'gan'jiu 闻歌感旧
'wen'ji'shi'luan'tai'ao'shu 问几时鸾台鳌署
'wen'wu'chang'huo'li 问无常火里
'wen'xing'chu'he'ri'huan'bin'liao 问行厨何日唤宾僚
'wen'yuan'xie'bing 文园谢病
'wen'zhao'ding'lai 温诏鼎来
'wo'lao'yu'qiao'jun'jiang'xiang 我老渔樵君将相
'wo'xiao'dan'tai'yu'zi 我校丹台玉字
'wo'zi'shi'wu'ming'yu'fu 我自是无名渔父
'wu'bai'nian'qian'shi'zong'zhi 五百年前事总知
'wu'chu'wu'yi'hen 无处无遗恨
'wu'fang'neng'zhu'lian'shang'hong 无方能驻脸上红
'wu'fu'sheng 悟浮生
'wu'he'hen 吾何恨
'wu'hu'gui'zhao 五湖归棹
'wu'nai'zheng'che'bu'zhu 无奈征车不住
'wu'nu'shan'xia'yi'lin'dan 乌奴山下一林丹
'wu'shan'ge'shan 舞衫歌扇
'wu'sheng'geng'yu'he'zhi 吾生更欲何之
'wu'xian'shi 无限事
'wu'ye'ti'cong'huan'yuan'zhi'man'lang 乌夜啼从宦元知漫浪
'wu'ye'ti'jin'ya'yu'xiang'shang'nuan 乌夜啼金鸭馀香尚暖
'wu'ye'ti'shi'shi'cong'lai'guan'jian 乌夜啼世事从来惯见
'wu'ye'ti'su'yi'you'qi'wu'wai 乌夜啼素意幽栖物外
'wu'ye'ti'ti'han'jia'dong'tang 乌夜啼题汉嘉东堂
'wu'ye'ti'wan'shan'chan'juan'su'yue 乌夜啼纨扇婵娟素月
'wu'ye'ti'wo'xiao'dan'tai'yu'zi 乌夜啼我校丹台玉字
'wu'ye'ti'yuan'guan'qing'lin'cui'yue 乌夜啼园馆青林翠樾
'wu'yi'ku'zheng'chun 无意苦争春
'wu'yu'zhi'qi'liang 无语只凄凉
'wu'zhen'quan'mi'jue'jue'you'shen 悟真诠秘诀绝幽深
'xi'chen'jin 洗尘襟
'xi'chuang'xiao 西窗晓
'xi'feng'xie'yu'sheng'fan'lang 西风挟雨声翻浪
'xi'fu'zhong'tai'tui'du'bu 西府中台推独步
'xi'hu'xian'yuan 西湖闲院
'xi'qiao'ce 溪桥侧
'xi'ru'jin'shen'zai'hua'zhong 喜如今身在画中
'xi'si'shang'jie'duo'guan'fu 细思上界多官府
'xi'si'yi'xiang 细思一饷
'xi'wen'yuan'chu'xia 喜闻猿楚峡
'xi'xi'wan'bo'ping 细细晚波平
'xi'yang'chui'jiao'zui'guan'qing 夕阳吹角最关情
'xi'you'wei'lin 溪友为邻
'xi'yu'wai'lou'tai'wan'jia 细雨外楼台万家
'xi'zhou'cui'qu'jin'ye 西州催去近也
'xia'lin'jiang'zhu 下临江渚
'xian'bo'chen'yan 闲拨沉烟
'xian'chi'ge 闲池阁
'xian'ju'hu'chuang'zuo 闲据胡床坐
'xian'lin'tang'tie 闲临唐帖
'xian'pa'bao'dai 仙葩宝带
'xian'shu'tian'shang'zi'wu'shuang 仙姝天上自无双
'xian'ti'jin'lv 闲题金缕
'xian'ting'he'yu 闲听荷雨
'xian'xian'rou'wo 纤纤柔握
'xian'yi'su'ping 闲倚素屏
'xian'yi'wu'mao 闲敧乌帽
'xian'yu'fu'gu'tong 纤玉抚孤桐
'xian'yuan'zi'jian'cha 闲院自煎茶
'xian'zhan'dao'shu'kan 闲展道书看
'xiang'an'li'xiao'jin 向暗里消尽
'xiang'bao'jing'luan'chai 向宝镜鸾钗
'xiang'che'fei'gai 香车飞盖
'xiang'dong'feng'man 向东风满
'xiang'fei'shui'qi 湘妃睡起
'xiang'feng'gong'hua'qing'dou'jiu 相逢共话清都旧
'xiang'feng'xiu'wen'xing'ming'shui 相逢休问姓名谁
'xiang'guan'he 想关河
'xiang'hu'yan'yu'chang'chun'si 湘湖烟雨长莼丝
'xiang'jian'fang'zhou'chu'xi'lan 想见芳洲初系缆
'xiang'meng'shi'lai'zhen'shang 乡梦时来枕上
'xiang'run'shang'chao'yi 香润上朝衣
'xiang'sheng'ge 向笙歌
'xiang'wei'liang'qi'jue 香味两奇绝
'xiang'xian'chuang'shen'yuan 想闲窗深院
'xiang'yao'lu'jing'juan 向药炉经卷
'xiao'ba'fu'qiu'mei 笑把浮丘袂
'xiao'can'zhuang'zhi 消残壮志
'xiao'cao'hong'jiu 小槽红酒
'xiao'chan'kan'zhi'li 笑禅龛楖栗
'xiao'che'chu'shi'shen'yi'sou 小车处士深衣叟
'xiao'fu'sheng'rao'rao'meng'zhong 笑浮生扰扰梦中
'xiao'ge'wu'ren 小阁无人
'xiao'ge'yi'qiu'kong 小阁倚秋空
'xiao'hun'chu 消魂处
'xiao'jing'xie'xiao'xiang 小景写潇湘
'xiao'juan'dai'yu'cheng 小倦带馀酲
'xiao'lou'kong'xie'yan'xiu'ping 小楼空斜掩绣屏
'xiao'qiao'liu'shui'yi'zhi'mei 小桥流水一枝梅
'xiao'ran'yi'bao'xi'chuang'xia 翛然一饱西窗下
'xiao'ru'guan'zi'lai'duo'wu 笑儒冠自来多误
'xiao'tai'long'xiu 啸台龙岫
'xiao'tiao'bing'ji 萧条病骥
'xiao'wen'dong'jun 笑问东君
'xiao'yan'shuang'fei'shui'ji 小燕双飞水际
'xiao'yu'zhi'hua'xin 小雨知花信
'xiao'yuan'can'mian'chun'yu'lao 小院蚕眠春欲老
'xiao'yuan'lin'shi'shi'zui'dao 小园林时时醉倒
'xiao'zhi'chuan'er'ci'shi'jia 笑指船儿此是家
'xiao'zhu'xi'ling'mo'jiao'cheng 小住西陵莫较程
'xiao'zhuang'chi 晓妆迟
'xiao'zui'xian'mian 小醉闲眠
'xie'chi'chun'he'jian'hu'bian 谢池春贺监湖边
'xie'chi'chun'qi'shi'shuai'weng 谢池春七十衰翁
'xie'chi'chun'zhuang'sui'cong'rong 谢池春壮岁从戎
'xie'de'jia'shu'kong'man'zhi 写得家书空满纸
'xie'jiu'he'fang'chu'chu 携酒何妨处处
'xie'ke'he'fang'pin'zou 携客何妨频奏
'xie'she'cen'ci'yu'shi'dong 蟹舍参差渔市东
'xie'shou 携手
'xie'xiang'gu'tong'shui'jie'ting 写向孤桐谁解听
'xie'yang 斜阳
'xie'yang'fei'yuan'zhu'men'bi 斜阳废苑朱门闭
'xie'yang'ji'li'chai'men'bi 斜阳寂历柴门闭
'xin'chao'yan'ru'hua'ru'sao 新巢燕乳花如扫
'xin'chou'chang'xu'jiu'chou'sheng 新愁常续旧愁生
'xin'chou'jiu'hen'he'shi'jin 新愁旧恨何时尽
'xin'feng'ge'guan 新丰歌管
'xin'jie'xiao'mao'ci 新结小茅茨
'xin'lai'you'ge'sheng'ya'bie 新来有个生涯别
'xin'ru'tan'shui'jing'wu'feng 心如潭水静无风
'xin'shi'fu'heng'di 心事付横笛
'xin'shi'jiu'meng 新诗旧梦
'xin'shi'liang'yi'ran 心事两依然
'xin'ting'guan 新亭馆
'xin'wei'si 心未死
'xin'zai'tian'shan 心在天山
'xing'bian'tian'ya'zhen'lao'yi 行遍天涯真老矣
'xing'dui'jin'lian'gong'zhu 行对金莲宫烛
'xing'ge'gu'jiu 行歌沽酒
'xing'ge'xian'song'liu'nian 行歌闲送流年
'xing'guan'hua'yin'hen'qian 杏馆花阴恨浅
'xing'hua'tian'lao'lai'ju'xi'qin'qin'du 杏花天老来驹隙骎骎度
'xing'le'nian'nian'yi'jiu 行乐年年依旧
'xing'ren'bie'you'qi'liang'yi 行人别有凄凉意
'xing'ren'zha'yi'gu'dian 行人乍依孤店
'xing'shi'yi'zui 行时已醉
'xing'tan'ye'xue'bu'xu'yin 星坛夜学步虚吟
'xing'yan'ming'shen'jian 幸眼明身健
'xing'you'qi'ting'gu'jiu 幸有旗亭沽酒
'xing'zi'you'hu'bian'mao'she 幸自有湖边茅舍
'xiong'su'bi'yu'xiao'jian 胸酥臂玉消减
'xiu'e'wang'le'zhang'tai'yang 修蛾忘了章台样
'xiu'ge'zhu'long 绣阁珠栊
'xiu'gu 休顾
'xiu'hen'tian'ya 休恨天涯
'xiu'lian'ban'shang 绣帘半上
'xiu'lian'kai'xiang'chen'zha'qi 绣帘开香尘乍起
'xiu'ping'jing'duan'xiao'xiang'meng 绣屏惊断潇湘梦
'xiu'su 休诉
'xiu'ting'zhen'tan'ban'ji 绣停针叹半纪
'xiu'xiao'fang'yong'kuang'yan 休笑放慵狂眼
'xiu'yin'ya'ban 绣茵牙版
'xu'duo'shi'fu'gui 许多时富贵
'xu'guo'sui'jian 许国虽坚
'xu'wu'si'meng 虚无似梦
'xu'yu'bian'shi'hua'dian 须臾便是华颠
'xu'zhou'fan'ran'bu'xi 虚舟泛然不系
'xuan'shang'de'shi 轩裳得失
'xue'jian'qin'chuan 学剑秦川
'xue'nuan'su'ning 雪暖酥凝
'xue'se'jia'che'shuang'lu 雪色驾车双鹿
'xue'shuang'cong'dian'bin 雪霜从点鬓
'xue'xiao'qing'jia'luan'qi 雪晓清笳乱起
'xue'ya'qing'zhan 雪压青毡
'xun'hua'xiang'mo 寻花巷陌
'xun'jian'gu'xian'dan'zao 寻见古仙丹灶
'xun'long'xiao'xie'chen'yan'leng 熏笼消歇沉烟冷
'xun'mei'gong'yue'nian'nian 寻梅共约年年
'ya'jiang'nan'jia'li 压江南佳丽
'yan'ba'zhu'lian'ban'juan 宴罢珠帘半卷
'yan'bo'wu'ji 烟波无际
'yan'di'rong'hua'yuan'shi'meng 眼底荣华元是梦
'yan'fei'san 烟霏散
'yan'fu'ming 厌浮名
'yan'gong'hai'tang'ye'yan 燕宫海棠夜宴
'yan'gui'ying'xiao 燕归应笑
'yan'hua'gao'lou'pa'du'yi 罨画高楼怕独倚
'yan'hun'yun'can 烟昏云惨
'yan'jiang'chun'zhang 烟江春涨
'yan'jiao'fei 燕交飞
'yan'jiao'nan'yin'zhuan'ri 檐角楠阴转日
'yan'men'xi 雁门西
'yan'ni'shou'jin'can'hong 燕泥收尽残红
'yan'nong'shu'yuan 烟浓树远
'yan'shu'cen'ci'ren'wu'chang 烟树参差认武昌
'yan'ting'xiao 烟艇小
'yan'xiu'ying'du 燕羞莺妒
'yan'yan'zhong'jiu'zi'wei 恹恹中酒滋味
'yan'ying'cui'dui 延英催对
'yan'zi'kong'gui 燕子空归
'yan'zi'ru'lian'shi 燕子入帘时
'yang'guan'chang'hen'bu'kan'wen 阳关常恨不堪闻
'yang'hua'he'hen 杨花和恨
'yang'huang'ya'chu'shu 养黄芽初熟
'yang'jiu'jin'zhi'jiu'wan 养就金芝九畹
'yang'liu'yuan 杨柳院
'yao'nan'feng'long'tou'gui'qi 杳难逢陇头归骑
'yao'zhi'mei'shan'yi'dian'qing 遥指梅山一点青
'ye'ban'hu'jing'qi'shi 夜半忽惊奇事
'ye'bu'nian'leng'luo'zun'qian 也不念冷落樽前
'ye'ceng'xian'shi'dong'huang 也曾先识东皇
'ye'lang'jiang'pan 夜郎江畔
'ye'ye'chang'tiao'wu'shu 冶叶倡条无数
'ye'ye'hua'lou'yin'zhu 夜夜画楼银烛
'ye'ye'mei'zhou'lu 夜夜眉州路
'ye'yi'ran'dian'su'jian'shui 也依然点酥剪水
'ye'you'gong'gong'ci 夜游宫宫词
'ye'you'gong'ji'meng'ji'shi'bo'hun 夜游宫记梦寄师伯浑
'ye'you'gong'yan'xi 夜游宫宴席
'ye'you'xian'deng'huo 也有闲灯火
'yi'ban'ri'yue 一般日月
'yi'bie'qin'lou 一别秦楼
'yi'chen'yu'han'ni'jiu 已趁馀寒泥酒
'yi'cheng'en 忆承恩
'yi'cheng'si'guan 一城丝管
'yi'chun'chang'shi'yu'he'feng 一春常是雨和风
'yi'cong'hua'xian'shu'tian'shang'zi'wu'shuang 一丛花仙姝天上自无双
'yi'cong'hua'zun'qian'ning'zhu'man'hun'mi 一丛花樽前凝伫漫魂迷
'yi'dian'chui'yan'shi'qi 一点炊烟时起
'yi'duan'qi'ran 一段凄然
'yi'duo'ting'hong'ning'lu 一朵鞓红凝露
'yi'gan'feng'yue 一竿风月
'yi'ge'piao'ling'shen'shi 一个飘零身世
'yi'hen'an'nan'shou 遗恨黯难收
'yi'hu'chun'niang 一壶春酿
'yi'hu'ying'gu'lei 忆呼鹰古垒
'yi'huai'chou'xu 一怀愁绪
'yi'huan'xiu'xi 一欢休惜
'yi'jiang'li'hen'qia'ping'fen 一江离恨恰平分
'yi'jin'xi'ge'qing'wan 衣巾细葛轻纨
'yi'jing'bang'xi'xie 一径傍溪斜
'yi'jiu'wu'ren'wen 依旧无人问
'yi'ju'ding'ning'jun'ji'qu 一句丁宁君记取
'yi'juan'bing'shu 一卷兵书
'yi'jun'lai'chao'lu 忆君来朝路
'yi'luo'suo'man'lu'you'si'fei'xu 一落索满路游丝飞絮
'yi'luo'suo'shi'po'fu'sheng'xu'wang 一落索识破浮生虚妄
'yi'mao'chui'bian 敧帽垂鞭
'yi'mao'chui'bian'song'ke'hui 敧帽垂鞭送客回
'yi'mao'liu'qiao'feng 一帽柳桥风
'yi'mao'xian'xun'xi'rang'lu 敧帽闲寻西瀼路
'yi'nian'duo'chen'zhong 一念堕尘中
'yi'qin'e'yu'hua'cong 忆秦娥玉花骢
'yi'ran'zai 依然在
'yi'ren'qun'fang'du 一任群芳妒
'yi'se'yan'ci 倚瑟妍词
'yi'shen'ping'ji 一身萍寄
'yi'shi'bu'jian 一时不见
'yi'shi'cai'qi'chao'ran 一时才气超然
'yi'shi'huang'hun'du'zi'chou 已是黄昏独自愁
'yi'shi'wu'cheng'liang'bin'shuang 一事无成两鬓霜
'yi'shu'kuang'qu'shi'qing'chun 倚疏狂驱使青春
'yi'suo'yan'yu 一蓑烟雨
'yi'tan'zhi'qing'fu'sheng'guo 一弹指顷浮生过
'yi'wai'duan'qiao'bian 驿外断桥边
'yi'xi'yi'chen 一洗衣尘
'yi'xian'xiang'feng'wan 异县相逢晚
'yi'xiang'jian 倚香肩
'yi'ye'piao'ran'yan'yu'zhong 一叶飘然烟雨中
'yi'ye'qing'shuang 一夜清霜
'yi'ying'ying'qian'xiao 忆盈盈倩笑
'yi'zhao'hai'wu'zao 一棹还吴早
'yi'zhen'pin'feng'wu'zui 一枕蘋风午醉
'yi'zun'ci'di'xiang'zhu 一尊此地相属
'yi'zun'shei'yu'tong 一尊谁与同
'yi'zuo'shu'qian'xi 一坐数千息
'yin'chang'song 荫长松
'yin'chen'yuan 音尘远
'yin'shang'xi'chuan'lv'jin'yin 引上西川绿锦茵
'yin'shen 因甚
'yin'zhu'guang'zhong 银烛光中
'yin'zi'lai 因自来
'ying'bu'shi 应不是
'ying'dai'ren'lai 应待人来
'ying'jun'bing'you 英俊并游
'ying'sheng'wu'lai'cui'chun'qu 莺声无赖催春去
'ying'wu'bei'shen'jun'mo'su 鹦鹉杯深君莫诉
'ying'yi'suo'xin'lv 映一蓑新绿
'ying'ying'duan'wei'shui 营营端为谁
'yong'diao'ge'xi'shu 拥雕戈西戍
'yong'fang'qin 拥芳衾
'yong'fu'qi 慵服气
'yong'suo'mian 拥蓑眠
'yong'xing'fang'jing 慵行芳径
'yong'zhe'song'chun'yu 慵着送春语
'you'ba'qiao'yan'liu 有灞桥烟柳
