'a'shui'xiao'de 阿谁消得
'peng'you 朋友
'pi'pa'jue'yi 琵琶绝艺
'pi'pa'xing 琵琶行
'pi'si'dang'chu'ben'bu'lai 匹似当初本不来
'pi'zhi'ru'ri'yue 譬之如日月
'pian'pian'zhe'ren'wu'shu 片片着人无数
'pian'ran'yu'xia'hai'fei'qu 翩然欲下还飞去
'pian'xiang'lian'bian'nong 偏向脸边浓
'pian'zhou'gui'qu 扁舟归去
'pian'zhou'xia'wu'hu 扁舟下五湖
'piao'duo'ren'jian 飘堕人间
'piao'liu'jiang'hai 飘流江海
'piao'miao'fei'qiong'miao'wu 缥缈飞琼妙舞
'piao'miao'gu'hong'ying 缥缈孤鸿影
'piao'miao'hong'zhuang'zhao'qian'xi 缥缈红妆照浅溪
'piao'miao'shang'ying'liu'shui 缥缈尚萦流水
'piao'miao'wei'lou'zi'cui'jian 缥缈危楼紫翠间
'piao'miao'zhen'qi'guan 缥缈真奇观
'pin'ji'wen 频寄问
'pin'qian'nian'shei'ren 颦浅念谁人
'pin'yue'lin'mei 颦月临眉
'ping'bai'di'wei'yi'chang'duan 平白地为伊肠断
'ping'gao'tiao'yuan 凭高眺远
'ping'jiang'cao'mu'ji'wu'feng 凭将草木记吴风
'ping'jiang'qing'lei'sa'jiang'yang 凭将清泪洒江阳
'ping'jun'mo'chang'duan'yin'yuan 凭君莫唱短因缘
'ping'jun'shuo'yu'nan'rong 凭君说与南荣
'ping'jun'song'yu'xue'er'shu 凭君送与雪儿书
'ping'ling'ji'jiang'liang'xiang'cui 凭陵急桨两相催
'ping'sheng'you'huan'ai'dong'ping 平生游宦爱东平
'ping'shi'shi'yue'xing'lian'tang 平时十月幸莲汤
'ping'ta'xu 凭他续
'ping'ye'shui'yun'rong'yang 平野水云溶漾
'ping'yuan'bu'si'gao'yang'ao 平原不似高阳傲
'ping'zhang'fei'hun'zhao'chu'xie 凭仗飞魂招楚些
'ping'zhang'qing'huai 凭仗清淮
'ping'zhang'wan'hui'pan'bin'mo'jiao'qiu 凭仗挽回潘鬓莫教秋
'ping'zhang'xiang'fu 凭仗相扶
'ping'zheng'an'wu'yu 凭征鞍无语
'po'jing'chong'lai'ren'zai'fou 破镜重来人在否
'po'mao'duo'qing'que'lian'tou 破帽多情却恋头
'po'xiao'yu'ying'fen'si'zhi 破晓玉英纷似织
'po'yi'wen'zhang'ao'tong'wu 颇以文章傲同伍
'po'zhu'yan 破朱颜
'pu'die'xi'yuan'sui'ban'zou 扑蝶西园随伴走
'pu'sa'man'cheng'yu'jing'nv'he'ren'jian 菩萨蛮城隅静女何人见
'pu'sa'man'cui'huan'xie'man'yun'chui'er 菩萨蛮翠鬟斜幔云垂耳
'pu'sa'man'feng'hui'xian'yu'yun'kai'shan 菩萨蛮风回仙驭云开扇
'pu'sa'man'hua'yan'chu'gua'wan'wan'yue 菩萨蛮画檐初挂弯弯月
'pu'sa'man'huo'yun'ning'han'hui'zhu'ke 菩萨蛮火云凝汗挥珠颗
'pu'sa'man'jing'tong'shuang'zhao'xin'zhuang'leng 菩萨蛮井桐双照新妆冷
'pu'sa'man'juan'juan'qin'bin'zhuang'hen'qian 菩萨蛮娟娟侵鬓妆痕浅
'pu'sa'man'juan'juan'que'yue'xi'nan'luo 菩萨蛮娟娟缺月西南落
'pu'sa'man'liu'ting'feng'jing'ren'mian'zhou 菩萨蛮柳庭风静人眠昼
'pu'sa'man'luo'hua'xian'yuan'chun'shan'bo 菩萨蛮落花闲院春衫薄
'pu'sa'man'mai'tian'yang'xian'wu'jiang'lao 菩萨蛮买田阳羡吾将老
'pu'sa'man'qiao'nan'hong'qian'hong'mei'xiao 菩萨蛮峤南红浅红梅小
'pu'sa'man'run'zhou'he'yuan'su 菩萨蛮润州和元素
'pu'sa'man'xi'hu'song'shu'gu 菩萨蛮西湖送述古
'pu'sa'man'xi'shang'he'chen'ling'ju 菩萨蛮席上和陈令举
'pu'sa'man'xiu'lian'gao'juan'qing'cheng'chu 菩萨蛮绣帘高卷倾城出
'pu'sa'man'xue'hua'fei'nuan'rong'xiang'jia 菩萨蛮雪花飞暖融香颊
'pu'sa'man'yong'zu 菩萨蛮咏足
'pu'sa'man'yu'huan'zhui'er'huang'jin'shi 菩萨蛮玉镮坠耳黄金饰
'pu'sa'man'yu'tong'xi'ya'fu'qiu'bo 菩萨蛮玉童西迓浮丘伯
'pu'sa'man'zeng'xu'jun'you'sheng'ji 菩萨蛮赠徐君猷笙妓
'qi'chang'cai'ling'ge 齐唱采菱歌
'qi'chuang'qian 绮窗前
'qi'chuang'xue'nong 绮窗学弄
'qi'de'shan'tou'yu'nv'pen 乞得山头玉女盆
'qi'feng'han'yu'shi'qin'qin 凄风寒雨是骎骎
'qi'jiang'de'jiu'geng'he'qiu 乞浆得酒更何求
'qi'jing'lu'wen 骑鲸路稳
'qi'lai'xie'su'shou 起来携素手
'qi'ming'wei'yu 其名为禹
'qi'mo'lian'xiang'chen 绮陌敛香尘
'qi'qi'chun'ri'han 凄凄春日寒
'qi'ran'gu'ying 凄然顾影
'qi'rong'ru'bai'cao 妻容如败草
'qi'sheng'jing'zhou'mian 棋声惊昼眠
'qi'sheng'zheng'chang'lang'po'ci 齐声争唱浪婆词
'qi'shi'er'da'xian 七十二大贤
'qi'shi'yu'gui'shan 戚氏玉龟山
'qi'sui'wen'ji'xiao 七岁文姬小
'qi'tian'sheng 齐天圣
'qi'wu'nong'qing'ying 起舞弄清影
'qi'wu'pai'huai'feng'lu'xia 起舞徘徊风露下
'qi'wu'shu'gong'gong'mo'qi 起舞属公公莫起
'qi'xi'cai'zhong 绮席才终
'qi'xi'ge'yan'bu'zan'li 绮席歌筵不暂离
'qi'xue'ren'dan'yi 欺雪任单衣
'qi'yin'xiu'yuan'luan 凄音休怨乱
'qi'yuan'ao'li'ying'wu 漆园傲吏应无
'qi'zhen'chai'heng'bin'luan 欹枕钗横鬓乱
'qi'zhen'jiang'nan'yan'yu 欹枕江南烟雨
'qi'zhen'ting'ming'lu 欹枕听鸣舻
'qi'zhi'qu'qu'jiu'ji'dou 岂止区区酒几斗
'qi'zuo'bu'neng'ping 起坐不能平
'qia'shi'dang'nian'shi'ba'niang 恰是当年十八娘
'qia'si'heng'e'lian'shuang'yan 恰似姮娥怜双燕
'qian'bi'lin'lin'lu'yuan'zhou 浅碧鳞鳞露远洲
'qian'dai'heng'bo'cui'yu'liu 浅黛横波翠欲流
'qian'ding'yang'dan'sha 铅鼎养丹砂
'qian'gu'feng'liu'ren'wu 千古风流人物
'qian'gu'feng'liu'ruan'bu'bing 千古风流阮步兵
'qian'gu'hen 千古恨
'qian'gu'long'pan'bing'hu'ju 千古龙蟠并虎踞
'qian'huang'er 遣黄耳
'qian'hui'lai'rao'bai'hui'kan 千回来绕百回看
'qian'jiao'zhao'shui 千娇照水
'qian'jin'mai'cai'ling'shi'cui 千金买采菱拾翠
'qian'jun'zhong'dan'cong'tou'jian 千钧重担从头减
'qian'ke'bu'ying'chang'mei'sao 迁客不应常眊矂
'qian'ke'jin'zhao'shi'shi'gui 迁客今朝始是归
'qian'li'bu'liu'xing 千里不留行
'qian'li'gong'chan'juan 千里共婵娟
'qian'li'gu'fen 千里孤坟
'qian'li'kuai'zai'feng 千里快哉风
'qian'li'xie'yang'mu 千里斜阳暮
'qian'li'yuan'lai'huan'bu'zhu 千里远来还不住
'qian'lv'gua'yan'suo 千缕挂烟蓑
'qian'qi'juan'ping'gang 千骑卷平冈
'qian'qi'shi'chun'you 千骑试春游
'qian'qi'xi'lang'wu'qing'kong 千畦细浪舞晴空
'qian'qiu'sui'xu'zhou'chong'yang'zuo 千秋岁徐州重阳作
'qian'ren'dao'yi'sheng'chuan'yu 倩人道一声传语
'qian'sheng'wan'sheng'zhi'zai 千生万生只在
'qian'shuang'qin'lv 浅霜侵绿
'qian'shui'ting 遣谁听
'qian'tang'feng'jing'gu'jin'qi 钱塘风景古今奇
'qian'tang'jiang'shang'xu'zhong'xin 钱塘江上须忠信
'qian'zai'de'you'xin 千载德犹馨
'qian'zai'xiang'feng'you'dan'mu 千载相逢犹旦暮
'qian'zhan'ma'er'jiu'xian'shan 前瞻马耳九仙山
'qian'zhi'bao'ju 千枝宝炬
'qian'zhong'mei'jiu 千钟美酒
'qiang'li'jia'ren'xiao 墙里佳人笑
'qiang'li'qiu'qian'qiang'wai'dao 墙里秋千墙外道
'qiang'lu'hui'fei'yan'mie 樯橹灰飞烟灭
'qiang'ran'shuang'zi'fu'cui'xiu 强染霜髭扶翠袖
'qiang'rou'qing'rui'zuo'chong'yang 强揉青蕊作重阳
'qiang'tou'hong'xing'an'ru'qing 墙头红杏暗如倾
'qiang'wai'xing'ren 墙外行人
'qiao'cui'lao'qing'shan 憔悴老青衫
'qiao'men'dou'bu'ying 敲门都不应
'qiao'men'shi'wen'ye'ren'jia 敲门试问野人家
'qiao'mu'yong'qian'zhang 乔木拥千章
'qiao'nan'jiang'qian'hong'mei'xiao 峤南江浅红梅小
'qiao'shou'wang'yao'tian 翘首望尧天
'qiao'wu'ren'tong'yin'zhuan'wu 悄无人桐阴转午
'qiao'xia'liu'quan'sheng'ru'xuan 桥下流泉声如泫
'qie'can'shan'se'yin'hu'guang 且餐山色饮湖光
'qie'chen'xian'shen'wei'lao 且趁闲身未老
'qie'cheng'liu'yu'kan'hai'zhi 且乘流遇坎还止
'qie'dou'zun'qian 且斗尊前
'qie'geng'cong'rong'deng'dai'ta 且更从容等待他
'qie'gong'rou'shen'you'xi 且共肉身游戏
'qie'hu'zhang'zhang'huan'yin'xiong 且呼张丈唤殷兄
'qie'jiang'xin'huo'shi'xin'cha 且将新火试新茶
'qie'jiang'xin'ju'zhuo'qiong'ying 且将新句琢琼英
'qie'jiao'hong'fen'xiang'fu 且教红粉相扶
'qie'jin'yi'zun 且尽一尊
'qie'juan'nian'jia'he'chu'wang 挈眷辇家何处往
'qie'kang'bi'chui'yang 且糠秕吹扬
'qie'lai'hua'li'ting'sheng'ge 且来花里听笙歌
'qie'tao'tao'le'jin'tian'zhen 且陶陶乐尽天真
'qie'tu'de 且图得
'qie'xi'qu 且惜取
'qie'ying'qu'lu'chi'chi 且应去鲁迟迟
'qie'yuan'hua'zhi'zhang'zai'mo'li'pi 且愿花枝长在莫离披
'qie'zhe'jiang'mei'shang'xiao'lou 且折江梅上小楼
'qin'ceng'jian 亲曾见
'qin'huang'han'wu'yi'huang'zhong 秦皇汉武遗荒冢
'qin'qi'wu'lang'yu 亲戚无浪语
'qin'shan'yu'dian 秦山禹甸
'qin'she'hu 亲射虎
'qin'shu'zhong'you'zhen'wei 琴书中有真味
'qin'yi'gao'fei'zai'tian'wai 禽已高飞在天外
'qin'yuan'chun'gu'guan'deng'qing 沁园春孤馆灯青
'qing'chen'wo'zi'xiang'tian'zhu 清晨我自向天祝
'qing'gai'xiang'feng'pan'yi'zui 倾盖相逢拚一醉
'qing'gai'xiang'feng'sheng'bai'tou 倾盖相逢胜白头
'qing'gang'ming'mie'zhao'bei'ti 青釭明灭照悲啼
'qing'gang'tiao'yu'jin 青釭挑欲尽
'qing'ge'du'jiang'lian'ye'dao 轻舸渡江连夜到
'qing'ge'yi'qu'dao'jin'hu 清歌一曲倒金壶
'qing'guang'chang'song'ren'gui'qu 清光长送人归去
'qing'guang'pian'zhao'shuang'he'ye 清光偏照双荷叶
'qing'han'wei'wei'tou'bi'wan 轻汗微微透碧纨
'qing'han'yu'fo'tian 轻寒浴佛天
'qing'he'xian'chu'chu'xiao'hun 情何限处处消魂
'qing'hong'yan'bai 轻红酽白
'qing'hua'shuo'yu'qiao 情话说渔樵
'qing'huai'zhuo'bian 清淮浊汴
'qing'huan 清圜
'qing'jin'yu'dai'hong'xue 青巾玉带红靴
'qing'jing'wei'yan'liu 清景为淹留
'qing'jing'wu'wei 清净无为
'qing'jing'wu'xian 清景无限
'qing'lei'ban'ban 清泪斑斑
'qing'li'che'qing'chao 清唳澈晴朝
'qing'long 轻拢
'qing'long'man'nian'zong'ling'li 轻拢漫捻总伶俐
'qing'luan'ge'wu 青鸾歌舞
'qing'ming'guo'le 清明过了
'qing'ming'zai'ci'gong 清明在此躬
'qing'ou'ju 轻鸥举
'qing'ping'le'song'shu'gu'fu'nan'du 清平乐送述古赴南都
'qing'quan'liu'chi'qie'chu'chang 清泉流齿怯初尝
'qing'rou 清柔
'qing'rou 轻柔
'qing'run'pan'lang 清润潘郎
'qing'sha'bi'nuan'qiong 轻纱碧暖琼
'qing'sha'zou'ma'lu'wu'chen 轻沙走马路无尘
'qing'shan'bai'lang 青山白浪
'qing'shan'po 青衫破
'qing'shan'zhao'ti'xiang'luo'bi 轻衫罩体香罗碧
'qing'shang'bu'xia'yu'yan 清商不暇馀妍
'qing'shen'fan'yan'wu 轻身翻燕舞
'qing'sheng'liang'jin'mo'xiang'wei 情声两尽莫相违
'qing'shi'wei'jiu'bing'sheng'yan 清诗未就冰生砚
'qing'shou 轻手
'qing'shuang'an'ju'qiu 清霜暗菊球
'qing'si'yu'huai'tong 清泗与淮通
'qing'suo'huang'ruo'shang'yi 青蓑黄蒻裳衣
'qing'tian'you'ke'shang 青天犹可上
'qing'wei'jin 情未尽
'qing'xi'wu'di 清溪无底
'qing'xiang'ning'ye'yan 清香凝夜宴
'qing'xiang'shen'chu'zhu 清香深处住
'qing'xiang'wei'tu 清香未吐
'qing'xiang'xi'xi'jiao'mei'xu 清香细细嚼梅须
'qing'xiao'jin'lian'long 清晓近帘栊
'qing'ye'wu'chen 清夜无尘
'qing'yin'wei'guo'jiu'zun'liang 清阴微过酒尊凉
'qing'ying'dong'liu 清颍东流
'qing'ying'hong'lian'xiao'yao'shen 轻盈红脸小腰身
'qing'yu'wan'san'nian'zhen'shang'wu'zhong'lu 青玉案三年枕上吴中路
'qing'yun'bo'wu 轻云薄雾
'qing'yun'wei'yue 轻云微月
'qing'zhou'duan'zhao'ren'xie'heng 轻舟短棹任斜横
'qing'zhou'duan'zhao'xian'qiu'zhe 轻舟短棹先秋折
'qing'zun'zhang'shi'kai 清尊长是开
'qiong'cao'qian'mian 琼草芊绵
'qiong'ju'he'sun'xing'he'jia 穷居何损行何加
'qiong'nuan'bi'sha'qing 琼暖碧纱轻
'qiong'tu'zuo'shou 穷途坐守
'qiong'xing'ji'tai'xing'po'han 穷形极态兴颇酣
'qiong'yi'dao'yu'zhou 琼彝倒玉舟
'qiong'zhu'sui'que'yuan 琼珠碎却圆
'qiu'chi'ge 秋池阁
'qiu'duo'shao 秋多少
'qiu'feng'hu'shang'xiao'xiao'yu 秋风湖上萧萧雨
'qiu'feng'nan'pu'song'gui'chuan 秋风南浦送归船
'qiu'gao'ma'zheng'fei 秋高马正肥
'qiu'lu'zhong 秋露重
'qiu'se'jian'cui'tui 秋色渐摧颓
'qiu'shui'ban'gao'chu'mei 秋水半篙初没
'qiu'tian'wen'she'xiao'hao'ying 求田问舍笑豪英
'qiu'wei'li 秋帷里
'qiu'xiang'wan 秋向晚
'qiu'yi'bu'shang'lou 秋宜不上楼
'qiu'yin'zhong 秋阴重
'qiu'yu'qing'shi'lei'bu'qing 秋雨晴时泪不晴
'qiu'yuan'he'chu'xie'hu 秋原何处携壶
'qu'bu'zhang'shi'shan'zi'fu 趋步张师善子甫
'qu'gang'tiao'yu 曲港跳鱼
'qu'guo'shi'nian'yu'lei'xue 去国十年余泪血
'qu'lan'gan 曲栏干
'qu'nian'xiang'song 去年相送
'qu'pian'pian 去翩翩
'qu'qiong'li'kun 曲穷力困
'qu'qu'ru'ping 曲曲如屏
'qu'shui'chi'shang 曲水池上
'qu'shui'lang'di'jiao'ye'wen 曲水浪低蕉叶稳
'qu'wu'zhong 去吴中
'qu'zhong'hong'xiu'luo'shuang'chan 曲终红袖落双缠
'quan'gou 全勾
'quan'hui'hua'mao'shi'ke'bei 荃蕙化茅事可悲
'quan'jun'xiu'su'shi'fen'bei 劝君休诉十分杯
'quan'sheng'song'yu 全胜宋玉
'quan'wo'ru'xiang'shi 劝我如相识
'que'chou'mi'le'xia'sheng'chi 却愁弥勒下生迟
'que'cong'cong 却匆匆
'que'dao 却道
'que'di'mei'can'ran'bu'da 却低眉惨然不答
'que'fan'wu'yang 却返巫阳
'que'ji'hua'qian'zui 却记花前醉
'que'jian'luo'cheng'hua 却见洛城花
'que'kua'yu'hong'gui'qu 却跨玉虹归去
'que'qiao'xian'qi'xi'he'su'jian 鹊桥仙七夕和苏坚
'que'qiao'xian'qi'xi'song'chen'ling'ju 鹊桥仙七夕送陈令举
'que'ru'nong'sang'she 却入农桑社
'que'shui'yin'qin'jie'zeng'nong 却水殷勤解赠侬
'que'xian'han'mei 却羡寒梅
'que'ya'ci'zhou'ming'bai'lu 却讶此洲名白鹭
'que'yue'gua'shu'tong 缺月挂疏桐
'que'yue'xiang'ren'shu'yao'tiao 缺月向人舒窈窕
'qun'chu'ju'ke'lian 群雏剧可怜
'qun'dai'shi'liu'hong 裙带石榴红
'qun'fang'zhi'zhong'zuo'xiong'zhu 群芳之中坐雄主
'qun'hu'teng'kong 群虎腾空
'qun'hu'zhen'she'bu'dong'tan 群虎震慑不动弹
'qun'xian'xiao'wo 群仙笑我
'qun'yong'yu'zhi'han'zhu'qian 群拥禹至汉主前
'ran'de'tao'hong'si'rou'hong 染得桃红似肉红
'ran'ran'zhong'qiu'guo 苒苒中秋过
'rao'bian'hui'lang'hai'du'zuo 绕遍回廊还独坐
'rao'guo'he'hua 绕郭荷花
'rao'yun'ying'shui 绕云萦水
're'de'duo'qing 惹得多情
'ren'bu'jian 人不见
'ren'dao'shi 人道是
'ren'de'min'e'chun'xue'lang 认得岷峨春雪浪
'ren'de'zui'weng'yu 认得醉翁语
'ren'hu'jun'dan'su 人虎均胆肃
'ren'hua'zhu'shen'fei'yong'zhong 人画竹身肥拥肿
'ren'jian 人间
'ren'jian'bu'ru'tong 人贱不如铜
'ren'jian'chun'ri'chu'xie 人间春日初斜
'ren'jian'ri'si'nian 人间日似年
'ren'jian'shui'gan'geng'zheng'yan 人间谁敢更争妍
'ren'jian'yi'hong 人间一哄
'ren'jian'you'dong'fang'yan'wu 人间有洞房烟雾
'ren'jian'you'wei'shi'qing'huan 人间有味是清欢
'ren'jian'zi'you 人间自有
'ren'jiu'hua'bai 任酒花白
'ren'man'tou'hong'yu'luo'hua'fei 任满头红雨落花飞
'ren'mian'tao'hua 人面桃花
'ren'qian'shen'yi'nan'qing'su 人前深意难轻诉
'ren'sheng'dao'chu'ping'piao'bo 人生到处萍飘泊
'ren'sheng'di'shi 人生底事
'ren'sheng'he'chu'bu'er'xi 人生何处不儿嬉
'ren'sheng'hong'hong 人声轰轰
'ren'sheng'ji'du'qiu'liang 人生几度秋凉
'ren'sheng'ru'meng 人生如梦
'ren'sheng'ru'ni'lv 人生如逆旅
'ren'sheng'zhen'ke'hai 人生真可咍
'ren'shi'qi'liang 人事凄凉
'ren'shui'nian'qian'pin 人谁念浅颦
'ren'ting'yang'guan'di'si'sheng 忍听阳关第四声
'ren'wei'mian 人未眠
'ren'wei'qin 人未寝
'ren'yan'bo'piao'wu 任烟波飘兀
'ren'you'bei'huan'li'he 人有悲欢离合
'ren'you'lei 人有泪
'ren'yu'hua'gong'ju'bu'yi 人与化工俱不易
'ren'yu'mu'tian'ju'yuan 人与暮天俱远
'ren'yu'xiao 人语笑
'ren'zai'qing'liang'guo 人在清凉国
'ren'zai'yao'tai'lang'yuan 人在瑶台阆苑
'ren'zai'yu'tang'shen'chu 人在玉堂深处
'ren'zhong'ren'qing 人重人轻
'ren'zong'jian 人纵健
'reng'ba'zi'ju'zhu'yu 仍把紫菊茱萸
'reng'chuan'yu 仍传语
'reng'ge'yang'liu'chun'feng 仍歌杨柳春风
'reng'geng'shi 仍更是
'reng'shi'zhe'xian'ren 仍是谪仙人
'reng'xie'xi'zi 仍携西子
'ri'bo'hua'fang'zhan 日薄花房绽
'ri'chu'xi'shan'yu 日出西山雨
'ri'gao'ren'ke'man'si'cha 日高人渴漫思茶
'ri'gao'yong'juan'shui'jing'lian 日高慵卷水晶帘
'ri'nuan'sang'ma'guang'si'po 日暖桑麻光似泼
'ri'zhang'lian'mu'wang'huang'hun 日长帘幕望黄昏
'rong'guang'fu'dong 荣光浮动
'rong'ma'wan'fu'xiong 戎马万夫雄
'rong'tai'wen'rou'xin'xing'hui 容态温柔心性慧
'rong'wo'zun'qian'xian'duo'ze 容我尊前先堕帻
'rou'he'xing'qi 柔和性气
'ru'he'bi'an'shan 如何彼岸山
'ru'he'chun'ri'guang 如何春日光
'ru'hu'duo'ru'cao'cong'zhong 乳虎堕入草丛中
'ru'hu'li'pan'zhui 乳虎力攀追
'ru'hua'si'ye 如花似叶
'ru'huai'qing'luo'jian'man'man 入淮清洛渐漫漫
'ru'jiang'sheng 入江声
'ru'jin'qiu'bin'shu'jing'shuang 如今秋鬓数茎霜
'ru'jin'wei'jian 如今未见
'ru'mei'qing'feng'bu'po'chen 入袂轻风不破尘
'ru'meng'ling'shou'zhong'tang'qian'tao'li 如梦令手种堂前桃李
'ru'meng'ling'shui'gou'he'ceng'xiang'shou 如梦令水垢何曾相受
'ru'meng'ling'ti'huai'shan'lou 如梦令题淮山楼
'ru'meng'ling'wei'xiang'dong'po'chuan'yu 如梦令为向东坡传语
'ru'meng'ling'zi'jing'fang'neng'jing'bi 如梦令自净方能净彼
'ru'shi'tian'xia'wan'shi'chou 汝是天下万世仇
'ru'wo'yu'jun'xi 如我与君稀
'ru'xiu'han'quan'bu'shi'yi 入袖寒泉不湿衣
'ru'yan'fei'hua'wu 乳燕飞华屋
'ru'you'yi 如有意
'ruan'cao'ping'sha'guo'yu'xin 软草平莎过雨新
'ruan'lang'gui'lv'huai'gao'liu'yan'xin'chan 阮郎归绿槐高柳咽新蝉
'ruan'lang'gui'mei'hua 阮郎归梅花
'ruan'lang'gui'yi'nian'san'du'guo'su'tai 阮郎归一年三度过苏台
'ruan'si'zong 阮嗣宗
'rui'zhe'gu'cheng'tou'yue'luo'shang'ti'wu 瑞鹧鸪城头月落尚啼乌
'rui'zhe'gu'guan'chao 瑞鹧鸪观潮
'ruo'dai'de'jun'lai'xiang'ci 若待得君来向此
'ruo'dao'shi'jun'wu'ci'yi 若道使君无此意
'ruo'dao'song'jiang'hu'xiao'du 若到松江呼小渡
'ruo'hua'chuan'jiu'huan'sheng'ge 挼花传酒缓声歌
'ruo'jian'gu'ren'xu'xi'shuo 若见故人须细说
'ruo'wei'qing'xu 若为情绪
'ruo'wen'shi'jun'cai'yu'qi 若问使君才与气
'ruo'xu'dai'zui'le 若须待醉了
'sa'nian'si'yue'shi'qi'wu 卅年四月十七午
'sa'xiang'chang'he'shui 洒向长河水
'sai'le'qian'qian'bing'wan'wan 赛了千千并万万
'sai'wai'chun'lai'ku'han 塞外春来苦寒
'san'bu'le'mei'ren'ru'yue 三部乐美人如月
'san'chun'tao'li 三春桃李
'san'du'bie'jun'lai 三度别君来
'san'fen'chun'se'yi'fen'chou 三分春色一分愁
'san'ge'ming'zhu 三个明珠
'san'geng 三更
'san'geng'yue'dao'chuang 三更月到床
'san'gui 三跪
'san'guo'ping'shan'tang'xia 三过平山堂下
'san'guo'zhou'lang'chi'bi 三国周郎赤壁
'san'hua'zhou'wai'pian'fan'wei 散花洲外片帆微
'san'luan'dong'qiang'shu'zhu'ying 散乱东墙疏竹影
'san'luo'jia'ren'bai'yu'ji 散落佳人白玉肌
'san'nian'zhen'shang'wu'zhong'lu 三年枕上吴中路
'san'qian'xiao'mi'hou 三千小猕猴
'san'ru'cheng'ming 三入承明
'san'san'wu'wu'ji'li'men 三三五五棘篱门
'san'sheng 三牲
'san'shi'nian'qian 三十年前
'san'shi'san'nian 三十三年
'san'shi'yi'zhi'wu'xi'yun 三仕已之无喜愠
'san'wan'liu'qian'chang 三万六千场
'san'wan'liu'qian'er'yi 三万六千而已
'san'wu'ying'ying'hai'er'ba 三五盈盈还二八
'san'xing'dang'hu'zhao'chou'mou 三星当户照绸缪
'san'yue'feng'guang'chu'jue'mei 三月风光初觉媚
'san'zheng 三正
'san'zhi'yi 三之一
'sao'shou'fu'gui'yu 搔首赋归欤
'sha'chuang'ji'du'chun'guang'mu 纱窗几度春光暮
'sha'he'tang'li'deng'chu'shang 沙河塘里灯初上
'sha'shang'bu'wen'hong'yan'xin 沙上不闻鸿雁信
'shan'cheng'ge'wu'zhu'qi'liang 山城歌舞助凄凉
'shan'hua'neng'shu'chuan'zi'zu 善画能书传自祖
'shan'jin'chu 山尽处
'shan'qing'yi'dian'heng'yun'po 山青一点横云破
'shan'se'heng'qin'zhan'yun'xia 山色横侵蘸晕霞
'shan'se'you'wu'zhong 山色有无中
'shan'se'zong'mei'chou 山色总眉愁
'shan'seng'mo'zhou'mei 山僧莫皱眉
'shan'shou'yi'shi'si'yu 扇手一时似玉
'shan'tou'hui'shou'wang'san'wu 山头回首望三吴
'shan'tou'xie'zhao'que'xiang'ying 山头斜照却相迎
'shan'wu'shu 山无数
'shan'xia'lan'ya'duan'jin'xi 山下兰芽短浸溪
'shan'you'shi'er'tong'dian 山有时而童颠
'shan'yu'ge'mei'lian 山与歌眉敛
'shan'yu'xiao'xiao'guo 山雨潇潇过
'shan'zhao'shi 山照市
'shan'zhong'gui'lu 山中归路
'shan'zhong'you 山中友
'shang'dai'tian'feng'hai'yu 尚带天风海雨
'shang'dang'cong'lai'tian'xia'ji 上党从来天下脊
'shang'dian'yun'xiao'sheng'yu'yi 上殿云霄生羽翼
'shang'huai 伤怀
'shang'pai'huai'wei'jin'huan'yi 尚徘徊未尽欢意
'shang'piao'qing'xue 尚飘轻雪
'shang'xiang'heng'fen 尚想横汾
'shang'you'qian'ren'cuo'e 上有千仞嵯峨
'shang'yu'gu'shou'xue'shuang'zi 尚馀孤瘦雪霜姿
'shang'yue'zhuang'shi'neng'yin'hu 上曰壮士能饮乎
'shao'an'shuang'hua'jin 苕岸霜花尽
'shao'bian'shui'qi'hua'tang 哨遍睡起画堂
'shao'bian'wei'mi'zhe'yao 哨遍为米折腰
'shao'nian'you'duan'wu'zeng'huang'shou'xu'jun'you 少年游端午赠黄守徐君猷
'shao'nian'you'huan 少年忧患
'shao'nian'you'huan'shen'cang'hai 少年忧患深苍海
'shao'nian'you'qu'nian'xiang'song 少年游去年相送
'shao'nian'you'yu'ji'qian'fen'ao'qiu'shuang 少年游玉肌铅粉傲秋霜
'shao'qing'huan 少清欢
'shao'que'sha'long 少却纱笼
'shao'yao'ying'tao'liang'dou'xin 芍药樱桃两斗新
'she'shi'mei'cong 射石没鏦
'she'tian'lang 射天狼
'shei'hui'liang'mei'pin 谁会两眉颦
'shei'yu'lang'wei'yi 谁与郎为意
'shen'bei'bai'fa'xiu'ci 深杯百罚休辞
'shen'chang'jian 身长健
'shen'di'mi'bu'yu 甚低迷不语
'shen'huan'zuo'wu'qing'zhi'wai 甚唤做物情之外
'shen'lang'duo'bing'bu'sheng'yi 沈郎多病不胜衣
'shen'qian'he'du'xi 深浅合度兮
'shen'ru'fang'fei'li 深入芳菲里
'shen'shen'ting'yuan'qing'ming'guo 深深庭院清明过
'shen'shi'ming'zuo'jin'xun'long 甚时名作锦薰笼
'shen'wai'chang'lai'dou'si'meng 身外徜来都似梦
'shen'xi'jin'nian'zheng'yue'nuan 深惜今年正月暖
'shen'xian'wei'you'jiu 身闲惟有酒
'shen'xian'yi'ding 神闲意定
'shen'xian'zhi'zai'he'chu 神仙知在何处
'shen'zhou'shi'wo'wo'shen'zhou 神州是我我神州
'shen'zhou'yuan'lai'shi'chi'xian 神州原来是赤县
'sheng'chen'xian'shi'mo'si'liang 升沉闲事莫思量
'sheng'duan'ji'sheng'huan'dao'er 声断几声还到耳
'sheng'he'liu'quan 声和流泉
