'hong'jun'fei'du'yue'tian'xian 红军飞渡越天险
'hong'jun'zhi'qi'hao 红军志气豪
'hong'qi'juan'feng'lie 红旗卷风烈
'hong'qi'lie'lie 红旗猎猎
'hong'qi'yang 红旗扬
'hong'qi'zhi'zhi'bao'ta'shan 红旗直指宝塔山
'hong'qi'zhi'zhi'jin'sha'jiang 红旗直指金沙江
'hong'ri'zhao'bai'xue 红日照白雪
'hong'shi'si'jun'hui'tie'bi 红十四军挥铁臂
'hong'yun'gun'gun'dao'liang'shu 红云滚滚稻粱熟
'hou'sheng'duo'fa'ming 厚生多发明
'hou'wen'pi'gu'cheng'wei'lv 后闻鼙鼓诚为虑
'hua'can'bu'gai'huang 花残不改黄
'hua'hao'zheng'han'bao 花好正含苞
'hua'jia'hua'zhao'reng'shao'nian 花甲花朝仍少年
'huai'nan'feng'yu'hui'jia'zhang 淮南风雨惠佳章
'huan'hu'zu'zhe'zhou'xin'ding 欢呼足折轴心鼎
'huan'le'ji'xi'deng'tian'guo 欢乐极兮登天国
'huan'nan'gong'zhao'xi 患难共朝夕
'huan'qi'min'zhong'qi'fen'dou 唤起民众齐奋斗
'huan'qiu'shu'ke'tong 寰球书可同
'huan'sheng'lei'dong'tian'di'lie 欢声雷动天地裂
'huan'wo'he'shan'ren'zi'jian 还我河山任仔肩
'huan'xing'shui'shi'hou'nu'tao 唤醒睡狮吼奴涛
'huan'xing'shui'shi'qu'hu'bao 唤醒睡狮驱虎豹
'huan'yin'hua'qian'qiu'bu'lao 欢饮花前秋不老
'huang'hua'xiang'jing 黄花香径
'huang'jie'quan'gao'quan'ti'nong'gong'ge 黄杰劝告全体农工歌
'huang'jin'wo'zai'shou 黄金握在手
'huang'ping'min'xiong'xin'wan'li'chi 黄平民雄心万里驰
'huang'zhi'feng'nan'er'li'zhi'chu'xiang'guan 黄治峰男儿立志出乡关
'hui'kan'ge'ming'qi'dong'jing 会看革命起东京
'hui'shi'kang'zang'bei'fei'jiang 会师康藏北飞缰
'hui'shou'ju'lian'min'guo'tu 回首剧怜民国土
'hui'wo'zhun'zhun'jiang'kou'ping 诲我谆谆将寇平
'hui'zheng'chuan'jiang'xia 惠政传江夏
'hun'po'lian'gu'xiang 魂魄恋故乡
'huo'zhong'mei'qi'ming 惑众美其名
'huo'zhuo'zhou'yu'ying 活捉周毓英
'ji'bei'chen'xing'gong'wan'liu 极被辰星拱万流
'ji'bing'duo'mo'zhe 疾病多磨折
'ji'duo'jian'xian'jian'shu'gong 几多艰险建殊功
