'an'cheng 暗撑
'jian'quan 尖券
'jian'she'bu'ling 建设部令
'jian'she'dan'wei 建设单位
'jian'she'xiang'mu 建设项目
'jian'shi 建施
'jian'shi'tu 建施图
'jian'su'qi 减速器
'jian'tu 简图
'jian'xiu'kong 检修孔
'jian'ya 减压
'jian'ya'bi 剪压比
'jian'ya'fa 减压阀
'jian'ya'qi 减压器
'jian'yi'ji'chang 简易机场
'jian'zao'shi 建造师
'jian'zhen 减震
'jian'zhen'jie'gou 减震结构
'jian'zhen'qi 减振器
'jian'zhen'shi 减振室
'jian'zhi 简支
'jian'zhi'duan 简支端
'jian'zhi'heng'jia 减支桁架
'jian'zhi'liang 简支梁
'jian'zhong'bi 剪重比
'jian'zhu 间柱
'jian'zhu'an'quan 建筑安全
'jian'zhu'biao'zhun 建筑标准
'jian'zhu'bu'zhi'tu 建筑布置图
'jian'zhu'cai'liao 建筑材料
'jian'zhu'cai'liao'biao 建筑材料表
'jian'zhu'chu'li 建筑处理
'jian'zhu'di'ji'chu'li'ji'shu'gui'fan 建筑地基处理技术规范
'jian'zhu'di'ji'ji'chu'she'ji'gui'fan 建筑地基基础设计规范
'jian'zhu'fa 减柱法
'jian'zhu'fang'huo 建筑防火
'jian'zhu'gao'du 建筑高度
'jian'zhu'ge're 建筑隔热
'jian'zhu'gong'cheng 建筑工程
'jian'zhu'gong'si 建筑公司
'jian'zhu'guang'xue 建筑光学
'jian'zhu'gui'cheng 建筑规程
'jian'zhu'gui'fan 建筑规范
'jian'zhu'hong'xian 建筑红线
'jian'zhu'jie'gou'he'zai'gui'fan 建筑结构荷载规范
'jian'zhu'kang'zhen'she'ji'gui'fan 建筑抗震设计规范
'jian'zhu'mian'ji 建筑面积
'jian'zhu'mo'shu 建筑模数
'jian'zhu'ping'mian'tu 建筑平面图
'jian'zhu'pou'mian'tu 建筑剖面图
'jian'zhu'qi'hou'xue 建筑气候学
'jian'zhu'sheng'xue 建筑声学
'jian'zhu'shi 建筑师
'jian'zhu'tiao'jian 建筑条件
'jian'zhu'yin'yu 建筑隐喻
'jian'zhu'zhi'tu 建筑制图
'jian'zhu'zhu'ti 建筑主体
'jian'zhu'zhuang'ji'ji'shu'gui'fan 建筑桩基技术规范
'jian'zhu'zong'mian'ji 建筑总面积
'jiang'ban 降板
'jiang'cuo 礓蹉
'jiang'ya'bian'ya'qi 降压变压器
'jiang'zao'xi'shu 降噪系数
'jiao'ban'zhuang 搅拌桩
'jiao'bei 角背
'jiao'bu 胶布
'jiao'che 绞车
'jiao'di 交底
'jiao'dui 校对
'jiao'gang 角钢
'jiao'guan 浇灌
'jiao'guang 脚光
'jiao'guang'ju'guang'deng 脚光聚光灯
'jiao'han'feng 角焊缝
'jiao'he 校核
'jiao'he'ban 胶合板
'jiao'he'ban'men 胶合板门
'jiao'huan'ji 交换机
'jiao'jiao'quan 交角券
'jiao'jie 铰接
'jiao'jie'ji 胶结剂
'jiao'jin 角筋
'jiao'lian 铰链
'jiao'liang 角梁
'jiao'liu'dian 交流电
'jiao'liu'dian'dong'ji 交流电动机
'jiao'liu'dian'han'ji 交流电焊机
'jiao'liu'dian'hu'ji 交流电弧机
'jiao'liu'dian'lu 交流电路
'jiao'liu'dian'ya 交流电压
'jiao'liu'dian'yuan 交流电源
'jiao'liu'dian'zheng'liu'qi 交流电整流器
'jiao'liu'fa'dian'ji 交流发电机
'jiao'liu'pei'dian 交流配电
'jiao'mo'ji 角磨机
'jiao'mu 胶木
'jiao'shou'jia 脚手架
'jiao'shui 胶水
'jiao'ta'kai'guan 脚踏开关
'jiao'tan'zha'hun'ning'tu 焦炭渣混凝土
'jiao'tie 角铁
'jiao'tie'zhi'cheng 角铁支撑
'jiao'tong'gan'xian 交通干线
'jiao'yan 交验
'jiao'zha 焦渣
'jiao'zha'di'mian 焦渣地面
'jiao'zha'dian'ceng 焦渣垫层
'jiao'zha'hun'ning'tu 焦渣混凝土
'jiao'zha'kong'xin'zhuan 焦渣空心砖
'jiao'zha'wu'mian 焦渣屋面
'jiao'zha'zhuan'ge'duan'qiang 焦渣砖隔断墙
'jiao'zhan'ji 胶粘剂
'jiao'zhi'liu'liang'yong'dian'dong'ji 交直流两用电动机
'jiao'zhu 浇注
'jiao'zhu 浇筑
'jiao'zhu 角柱
'jiao'zhu'bu'wei 浇注部位
'jiao'zhu'hun'ning'tu 浇筑混凝土
'jiao'zhu'shi 角柱石
'jiao'zi 胶渍
'jie'chu'ban'kong'zhi'zi'dong'men 接触板控制自动门
'jie'chu'dian 接触点
'jie'chu'gu'zhang 接触故障
'jie'chu'mian'ji 接触面积
'jie'chu'mian'ya'li 接触面压力
'jie'chu'qi 接触器
'jie'di 接地
'jie'di'ban 接地板
'jie'di'bang 接地棒
'jie'di'bao'hu 接地保护
'jie'di'bao'hu'zhuang'zhi 接地保护装置
'jie'di'dian'ji 接地电极
'jie'di'dian'lu 接地电路
'jie'di'dian'zu 接地电阻
'jie'di'gan'xian 接地干线
'jie'di'gu'zhang 接地故障
'jie'di'ji 接地极
'jie'di'kai'guan 接地开关
'jie'di'luo'shuan 接地螺栓
'jie'di'mu'xian 接地母线
'jie'di'ping'mian'tu 接地平面图
'jie'di'shi'cha'tou 接地式插头
'jie'di'wang 接地网
'jie'di'xi'tong 接地系统
'jie'di'xian 接地线
'jie'di'zhuang'zhi 接地装置
'jie'dian 节点
'jie'dian'he'xin'qu 节点核心区
'jie'dian'jie'gou'xiang'tu 节点结构详图
'jie'dian'yu 节点域
'jie'duan 截断
'jie'feng'gao'di'pian'cha 接缝高低偏差
'jie'feng'ping'zhi 接缝平直
'jie'gou'bu'zhi 结构布置
'jie'gou'gong'cheng'shi 结构工程师
'jie'gou'jiao'di 结构交底
'jie'gou'ping'mian'bu'zhi'tu 结构平面布置图
'jie'gou'shi 结构师
'jie'gou'xing'shi 结构形式
'jie'gou'yan'shou 结构验收
'jie'hong'gou 截洪沟
'jie'ji'ta'bu 阶级踏步
'jie'jing'cai'liao 结晶材料
'jie'kou 截口
'jie'mian 截面
'jie'mian'mian'ji 截面面积
'jie'mian'tu 截面图
'jie'mian'xian 截面线
'jie'neng'zhang 节能章
'jie'shan'qi 接闪器
'jie'shi'tu 结施图
'jie'tou 接头
'jie'tou'mian'ji'bai'fen'lv 接头面积百分率
'jie'xian 接线
'jie'xian'ban 接线板
'jie'xian'he 接线盒
'jie'xian'tu 接线图
'jie'xian'xiang 接线箱
'jie'zhi'fa 截止阀
'jie'zhi'pin'lv 截止频率
'jin'chang 近场
'jin'chu'xian 进出线
'jin'feng'ji 进风机
'jin'feng'kou 进风口
'jin'feng'she'bei 进风设备
'jin'feng'shu'jing 进风竖井
'jin'gong 金栱
'jin'gu'luo'mu 紧固螺母
'jin'gu'luo'shuan 紧固螺栓
'jin'gu'luo'si 紧固螺丝
'jin'gu'zhuang'zhi 紧固装置
'jin'ji'bao'jing'an'niu 紧急报警按钮
'jin'ji'bi'nan'quan 紧急避难权
'jin'ji'chu'kou 紧急出口
'jin'ji'chu'kou'zhao'ming 紧急出口照明
'jin'ji'gong'dian 紧急供电
'jin'ji'kai'guan 紧急开关
'jin'ji'zhao'ming 紧急照明
'jin'jian 尽间
'jin'liao'kou 进料口
'jin'lin'xing'fen'xi 近邻性分析
'jin'ren'guan'dao 进人管道
'jin'ren'guan'gou 进人管沟
'jin'shu'bai'ye 金属百叶
'jin'shu'ban'kai'kong 金属板开孔
'jin'shu'bao'pi 金属包皮
'jin'shu'cai'liao 金属材料
'jin'shu'chuang 金属窗
'jin'shu'gou'jian 金属构件
'jin'shu'guan 金属管
'jin'shu'jiao 金属胶
'jin'shu'lu'hua'wu'deng 金属卤化物灯
'jin'shu'men 金属门
'jin'shu'nuan'qi'zhao 金属暖气罩
'jin'shu'ping'bi 金属屏蔽
'jin'shu'suan'zi 金属算子
'jin'shu'tong'feng'guan 金属通风管
'jin'shu'wu'jia 金属屋架
'jin'shu'wu'mian 金属屋面
'jin'shu'xi'yin'ban'diao'ding 金属吸引板吊顶
'jin'shu'xian'cao 金属线槽
'jin'shu'zhi'pin 金属制品
'jin'tu'mu 金土木
'jin'xian 进线
'jin'xiang'dou'di'cao 金厢斗底槽
'jin'xing'hun'ning'tu 劲性混凝土
'jin'zhu 金柱
'jin'zhuan'mian'ceng 锦砖面层
'jing'dao 井道
'jing'dian 静电
'jing'dian'gan'rao 静电干扰
'jing'dian'gan'ying 静电感应
'jing'gan'shi'gou'jia 井干式构架
'jing'gao 净高
'jing'ji're'zu 经济热阻
'jing'kua 净跨
'jing'lao'yuan 敬老院
'jing'tang 经堂
'jing'wei'yi 经纬仪
'jing'zhi'luo'shuan 精制螺栓
'jing'zhi'tu'ya'li 静止土压力
'jing'zhuang'gong'cheng 精装工程
'jing'zi'liang 井字梁
'jiu'cai 九踩
'jiu'ji'dian 九脊殿
'jiu'jia'liang 九架梁
'jiu'qing 纠倾
'ju'an'zhi 聚氨脂
'ju'an'zhi'fang 聚氨脂防
'ju'bu'deng'dian'wei 局部等电位
'ju'bu'fang'da'tu 局部放大图
'ju'bu'li'mian 局部立面
'ju'bu'ping'mian 局部平面
'ju'bu'pou'mian 局部剖面
'ju'bu'zhen'dong 局部振动
'ju'guang'deng'shi 聚光灯室
'ju'guang'zhao'ming 聚光照明
'ju'lv'ding'xi 聚氯丁烯
'ju'lv'yi'xi 聚氯乙烯
'ju'lv'yi'xi'ban 聚氯乙烯板
'ju'lv'yi'xi'guan 聚氯乙烯管
'ju'lv'yi'xi'hu'tao'tong'xin'zu'ran 聚氯乙烯护套铜芯阻燃
'ju'lv'yi'xi'jue'yuan 聚氯乙烯绝缘
'ju'lv'yi'xi'jue'yuan'dian'lan 聚氯乙烯绝缘电缆
'ju'shi 举势
'ju'xi 举析
'ju'xing 矩形
'ju'xing'jie'gou 巨型结构
'ju'xing'kuang'jia 巨型框架
'ju'yi'xi'guan 聚乙烯管
'ju'zhe 举折
'juan'lian 卷帘
'juan'lian'chuang 卷帘窗
'juan'lian'ge'duan 卷帘隔断
'juan'lian'men 卷帘门
'juan'lian'mu 卷帘幕
'juan'men 卷门
'juan'mu 卷幕
'juan'sha 卷杀
'juan'tou 卷头
'juan'wen'shi 卷纹饰
'jue'dui'biao'gao 绝对标高
'jue'dui'gao'cha 绝对高差
'jue'suan 决算
'jue'yuan 绝缘
'jue'yuan'ban 绝缘板
'jue'yuan'cai'liao 绝缘材料
'jue'yuan'ceng 绝缘层
'jue'yuan'dian'lan 绝缘电缆
'jue'yuan'dian'zu 绝缘电阻
'jue'yuan'guan 绝缘管
'jue'yuan'hou'du 绝缘厚度
'jue'yuan'jiao'bu 绝缘胶布
'jue'yuan'jiao'dai 绝缘胶带
'jue'yuan'ruan'xian 绝缘软线
'jue'yuan'shi'yan 绝缘试验
'jue'yuan'tao'guan 绝缘套管
'jue'yuan'xian 绝缘线
'jue'yuan'xian'wei'ban 绝缘纤维板
'jun'bu 均布
'jun'bu'he'zai 均布荷载
'ka'kou'deng'pao 卡口灯泡
'ka'kou'deng'zuo 卡口灯座
'kai'cao 开槽
'kai'chang'shi 开敞式
'kai'dong 开洞
'kai'guan'gui 开关柜
'kai'guan'she'bei 开关设备
'kai'guan'xiang 开关箱
'kai'jian 开间
'kai'jiao'luo'shuan 开脚螺栓
'kai'kou'bi 开口比
'kai'men'qi 开门器
'kai'zhuang'dian'lan 铠装电缆
'kai'zhuang'qian'bao'dian'lan 铠装铅包电缆
'kan'cha'bao'gao 勘察报告
'kan'qiang 槛墙
'kang'ba 抗拔
'kang'ba'zhuang 抗拔桩
'kang'ba'zhuang'kang'fu 抗拔桩抗浮
'kang'chong'qie 抗冲切
'kang'feng'zhu 抗风柱
'kang'fu 抗浮
'kang'fu'shui'wei 抗浮水位
'kang'gan'rao'zhuang'zhi 抗干扰装置
'kang'gui 抗规
'kang'hua'yi 抗滑移
'kang'jian 抗剪
'kang'jian'tong'ti 抗剪筒体
'kang'jing'dian 抗静电
'kang'jing'dian'zhuang'zhi 抗静电装置
'kang'la 抗拉
'kang'niu 抗扭
'kang'niu'zhuan 抗扭转
'kang'qing'fu 抗倾覆
'kang'shen'xing 抗渗性
'kang'ya 抗压
'kang'zhen 抗震
'kang'zhen'deng'ji 抗震等级
'kang'zhen'gui'fan 抗震规范
'kang'zhen'jia'gu 抗震加固
'kang'zhen'jian'li'qiang 抗震剪力墙
'kang'zhen'jian'zhu 抗震建筑
'kang'zhen'jie'gou 抗震结构
'kang'zhen'qiang 抗震墙
'kang'zhen'she'ji 抗震设计
'kao'qiang'fu'shou 靠墙扶手
'kao'qiang'fu'shou'tuo'jia 靠墙扶手托架
'kao'qiang'guan'zi'fu'shou 靠墙管子扶手
'kao'qiang'lou'ti 靠墙楼梯
'ke'bian'he'zai 可变荷载
'ke'chai'shi'ge'duan 可拆式隔断
'ke'ding 壳顶
'ke'guan'shi'huan're'qi 壳管式换热器
'ke'guang'qing'kuang 可光情况
'ke'han'xing 可焊性
'ke'hen'gang'si 刻痕钢丝
'ke'kao'han'jie 可靠焊接
'ke'lin'si'zhu'shi 科林斯柱式
'ke'ran'qi'ti 可燃气体
'ke'ran'qi'ti'tan'ce'qi 可燃气体探测器
'keng'dao'kou 坑道口
'kong'dong 孔洞
'kong'fu'gang'chuang 空腹钢窗
'kong'fu'gang'liang 空腹钢梁
'kong'fu'gang'long'gu 空腹钢龙骨
'kong'fu'gong 空腹拱
'kong'fu'heng'jia 空腹桁架
'kong'fu'jin'shu'chuang 空腹金属窗
'kong'fu'jin'shu'fang'huo'men 空腹金属防火门
'kong'gu 空鼓
'kong'jian'gou'tu 空间构图
'kong'jian'xi'sheng'ti 空间吸声体
'kong'jian'zu'cheng 空间组成
'kong'ling 空灵
'kong'qi'tiao'ji 空气调剂
'kong'tiao'ban 空调板
'kong'tiao'guan'dao 空调管道
'kong'tiao'ji'fang 空调机房
'kong'tiao'ji'pai'feng'zhuang'zhi 空调及排风装置
'kong'tiao'ji'zu 空调机组
'kong'tiao'qi 空调器
'kong'tiao'she'bei 空调设备
'kong'tiao'she'ji 空调设计
'kong'tiao'shi 空调室
'kong'tiao'song'feng'suan'zi 空调送风算子
'kong'tiao'xi'tong 空调系统
'kong'tiao'zhao'ming'xi'tong 空调照明系统
'kong'xi 孔隙
'kong'xin'ban 空心板
'kong'xin'di'ban 空心地板
'kong'xin'ge'qiang 空心隔墙
'kong'xin'lou'ban 空心楼板
'kong'xin'qi'kuai 空心砌块
'kong'xin'qiang 空心墙
'kong'xin'zhuan 空心砖
'kong'xin'zhuan'ge'qiang 空心砖隔墙
'kong'ya'ji 空压机
'kong'zhi'gui 控制柜
'kua'du 跨度
'kua'zhong 跨中
'kuai'liao'mian'ceng 块料面层
'kuai'su'dian'ti 快速电梯
'kuai'zhuang'guo'lu 快装锅炉
'kuai'zi'bi 筷子笔
'kuan'hou'bi 宽厚比
'kuang'jia 框架
'kuang'jia'gong'cheng 框架工程
'kuang'jia'jian'zhu 框架建筑
'kuang'jia'jie'gou 框架结构
'kuang'jia'liang 框架梁
'kuang'jia'mu'qiang 框架幕墙
'kuang'jia'qiang'ban'jian'zhu 框架墙板建筑
'kuang'jia'zhu 框架柱
'kuang'jian 框剪
'kuang'kan 框槛
'kuang'mian 矿棉
'kuang'mian'ban 矿棉板
'kuang'tong 框筒
'kuang'tong'jie'gou 框筒结构
'kuang'tong'jie'gou'ti'xi 框筒结构体系
'kuang'zha'hun'ning'tu 矿渣混凝土
'kuang'zha'hun'ning'tu'dian'ceng 矿渣混凝土垫层
'kuang'zha'shui'ni 矿渣水泥
'kuang'zhi 框支
'kuang'zhi'jian'li'qiang 框支剪力墙
'kuang'zhi'liang 框支梁
'kuang'zhi'zhu 框支柱
'kui'dian 馈电
'kui'dian'dian'lan 馈电电缆
'kui'xian 馈线
'kun'za'lao'gu 捆扎牢固
'kuo'chu 扩初
'kuo'di 扩底
'kuo'san'guang 扩散光
'kuo'san'shi 扩散室
'la'ji'dou 垃圾斗
'la'jie'jin 拉结筋
'la'jie'li 拉结力
'la'jin 拉筋
'la'li'shi'yan 拉力试验
'la'shou 拉手
'la'tong 拉通
'la'wan 拉弯
'la'xian 拉线
'la'xian'he 拉线盒
'la'xian'kai'guan 拉线开关
'lan'ban 栏板
'lan'ban 阑版
'lan'dao 缆道
'lan'suo 缆索
'lao'tu 老土
'lao'yan'fang 老檐枋
'lei'dian'bo'de'qin'ru 雷电波的侵入
'lei'gong'zhu 雷公柱
'lei'gu'gong 肋骨拱
'lei'liang'lou'gai 肋梁楼盖
'leng'dong'beng 冷冻泵
'leng'dong'ji'zu 冷冻机组
'leng'jia'gong 冷加工
'leng'ning'kong'zhi 冷凝控制
'leng'que'beng 冷却泵
'leng'que'guan'dao'xi'tong 冷却管道系统
'leng'que'she'bei'xi'tong 冷却设备系统
'leng'que'shui'chi 冷却水池
'leng'que'ta 冷却塔
'leng're'shui'xi'tong 冷热水系统
'leng'shui'guan 冷水管
'leng'shui'ji'zu 冷水机组
'leng'ya'gang'ban 冷压钢板
'leng'zha 冷轧
'leng'zha'dai'lei 冷轧带肋
'li'ban 立板
'li'fang'hao'mi 立方毫米
'li'fang'li'mi 立方厘米
'li'fang'mi 立方米
'li'gan 立杆
'li'guan'guan'jia 立管管夹
'li'guo'hao 李国豪
'li'guo'qiang 李国强
'li'guo'sheng 李国胜
'li'ju 力矩
'li'mian 立面
'li'mian'tu 立面图
'li'pou'mian 立剖面
'li'qing'fang'chao'ceng 沥青防潮层
'li'qing'fang'shui'ceng 沥青防水层
'li'qing'feng 沥青缝
'li'qing'guan'jiang 沥青灌浆
'li'qing'hun'ning'tu 沥青混凝土
'li'qing'lu 沥青路
'li'qing'lu'mian 沥青路面
'li'shen 力神
'li'shi 砾石
'li'shi'beng 立式泵
'li'shi'xiao'bian'qi 立式小便器
'li'tiao 里跳
'li'xin'shi'feng'shan 离心式风扇
'li'xin'shi'gu'feng'ji 离心式鼓风机
'li'yong'lv 利用率
'li'yong'xi'shu 利用系数
'li'zheng 理正
'li'zhu 立柱
'li'zhuan'chuang 立转窗
'lian'ban 莲瓣
'lian'dong'kai'guan 联动开关
'lian'he'ji'chu 联合基础
'lian'he'zhuang'ji 联合桩基
'lian'hua'shi'zhu 莲花式柱
'lian'jie'ban 连接板
'lian'jie'fa 连接法
'lian'jie'gan 连接杆
'lian'jie'kai'guan 连接开关
'lian'jie'luo'shuan 连接螺栓
'lian'jie'qi 连接器
'lian'jie'tao'guan 连接套管
'lian'jie'xian 连接线
'lian'liang 连梁
'lian'liang'biao 连梁表
'lian'liang'pei'jin 连梁配筋
'lian'liang'tu 连梁图
'lian'ti 连体
'lian'xu'gan 连续感
'lian'xu'he'zai 连续荷载
'lian'xu'liang 连续梁
'lian'xu'pu 连续谱
'lian'xu'tong'feng 连续通风
'lian'xu'zhao'ming 连续照明
'lian'yan 连檐
'liang'ban 梁板
'liang'ban'gou'zao 梁板构造
'liang'ban'shi 梁板式
'liang'ce 梁侧
'liang'di 梁底
'liang'di'gang'jin 梁底钢筋
'liang'ding 梁顶
'liang'du 亮度
'liang'du'ji 亮度计
'liang'fang 梁枋
'liang'gao 梁高
'liang'jie'mian 梁截面
'liang'kuan 梁宽
'liang'nei'gu'jin 梁内箍筋
'liang'nei'zong'jin 梁内纵筋
'liang'pao 两跑
'liang'pao'lou'ti 两跑楼梯
'liang'pei'jin 梁配筋
'liang'pei'jin'tu 梁配筋图
'liang'ping'fa 梁平法
'liang'qiang 梁墙
'liang'shi'lou'ti 梁式楼梯
'liang'tai 凉台
'liang'tiao 两跳
'liang'ting 凉亭
'liang'tu 梁图
'liang'xia'chui 梁下垂
'liang'xiang'san'xian'zhi 两相三线制
'liang'xiang'si'xian'zhi 两相四线制
'liang'xiang'xi'tong 两相系统
'liang'xiang'yun'xing 两相运行
'liang'xiang'zhi 两相制
'liang'zi 亮子
'lie'du 烈度
'lie'feng'kuan'du 裂缝宽度
'lie'zhu'wei'lang'shi 列柱围廊式
'lin'bian 临边
'lin'bian'fang'hu 临边防护
'lin'jie'dan'yuan 临界单元
'lin'jie'feng'su 临界风速
'lin'kong'qiang 临空墙
'lin'shi'gong'dian 临时供电
'lin'suan 磷酸
'lin'tiao 檩条
'lin'tong'yan 林同炎
'lin'tou 檩头
'lin'zhan'feng'du 临战封堵
'lin'zhong'xin'xian 檩中心线
'ling'bian'qi 令便器
'ling'qi 龄期
'ling'zi 棂子
'liu'dong 留洞
'liu'dong'tu 留洞图
'liu'li'wa 琉璃瓦
'liu'liang'ji'jing 流量计井
'liu'ming 流明
'liu'pu'zuo 六铺作
'liu'xian 流线
'liu'zhui 流坠
'long'gu 龙骨
'long'gui'ju 拢规矩
'lou'ban 楼板
'lou'ban'gou'zao 楼板构造
'lou'ban'shen'suo'feng 楼板伸缩缝
'lou'ceng 楼层
'lou'ceng'mian'ji 楼层面积
'lou'ceng'ping'mian'tu 楼层平面图
'lou'ceng'shu 楼层数
'lou'ceng'zu'zhuang 楼层组装
'lou'dian 漏电
'lou'dian'duan'lu'qi 漏电断路器
'lou'gai 楼盖
'lou'hua'qiang 漏花墙
'lou'jing 漏景
'lou'mian 楼面
'lou'ti 楼梯
'lou'ti'fu'shou 楼梯扶手
'lou'ti'jian 楼梯间
'lou'ti'jie'gou'xiang'tu 楼梯结构详图
'lou'ti'jing 楼梯井
'lou'ti'lan'gan 楼梯栏杆
'lou'ti'ping'tai 楼梯平台
'lou'ti'po'du 楼梯坡度
'lou'ti'ta'bu 楼梯踏步
'lou'ti'ting 楼梯厅
'lou'ti'tu 楼梯图
'lou'xie'dian'liu 漏泄电流
'lou'zhuang'shi'gai'zao 楼装饰改造
'lu'dou 栌斗
'lu'hua'wu'deng 卤化物灯
'lu'ming'guan'dao 露明管道
'lu'ming'jin'shu'jie'gou 露明金属结构
'lu'pai 路牌
'lu'su'dian'chi 卤素电池
'lu'wu'deng 卤钨灯
'lu'zha'zhuan 炉渣砖
'luan'shi 卵石
'lun'kuo'cao'tu 轮廓草图
'lun'kuo'chi'cun 轮廓尺寸
'lun'ya 轮压
'luo'di'xian 落地线
'luo'mao 螺帽
'luo'mu 螺母
'luo'mu'xian 裸母线
'luo'shuan 螺栓
'luo'shuan'gan 螺栓杆
'luo'shuan'gu'ding 螺栓固定
'luo'si'gu'ding 螺丝固定
'luo'xian 裸线
'luo'xuan'gu 螺旋箍
'luo'xuan'gu'jin 螺旋箍筋
'luo'xuan'kou 螺旋口
'luo'xuan'lei'gang'si 螺旋肋钢丝
'luo'xuan'lou'ti 螺旋楼梯
'luo'yang'chan'zhuang'ji'chu 洛阳铲桩基础
'lv'ban'cai 铝板材
'lv'ban'wang 铝板网
'lv'bao'dian'lan 铝包电缆
'lv'chi 滤池
'lv'dai'diao 履带吊
'lv'ding'xiang'jiao 氯丁橡胶
'lv'ge'shan 铝格栅
'lv'he'jin'ban'diao'ding 铝合金板吊顶
'lv'he'jin'chuang 铝合金窗
'lv'he'jin'long'gu 铝合金龙骨
'lv'he'jin'men 铝合金门
'lv'he'jin'xing'cai 铝合金型材
'lv'kou'ban 铝扣板
'lv'li 闾里
'lv'li'zi'han'liang 氯离子含量
'lv'mu'xian 铝母线
'lv'su'ban'an'zhuang 铝塑板安装
'lv'su'liao 铝塑料
'ma'bi'si'xiang 麻痹思想
'ma'sai'ke 马赛克
'ma'ti'xing'luo'shuan 马蹄形螺栓
'ma'tong 马桶
'ma'ya'cha 马牙槎
'mai'chong'shi'yan 脉冲试验
'mai'chong'xiang'ying 脉冲响应
'mai'chong'xin'hao 脉冲信号
'mai'hu'han 埋弧焊
'mai'jian 埋件
'mai'ru'chang'du 埋入长度
'mai'ru'shi 埋入式
'mai'ru'zhu'jiao 埋入柱脚
'mai'shen 埋深
'mai'tou'luo'shuan 埋头螺栓
'man'bu 满布
'man'dao 慢道
'man'gong 慢栱
'man'pu 满铺
'man'she'deng 漫射灯
'man'she'zhao'ming 漫射照明
'mang'gou 盲沟
'mang'gou'pai'shui'kang'fu 盲沟排水抗浮
'mao'ci 毛刺
'mao'gan'dang'tu'qiang 锚杆挡土墙
'mao'gan'kang'fu 锚杆抗浮
'mao'gu 锚固
'mao'gu'an'zhuang 锚固安装
'mao'gu'chang'du 锚固长度
'mao'gu'luo'shuan 锚固螺栓
'mao'pen 锚喷
'mao'pen'hu'bi 锚喷护壁
'mao'ru 锚入
'mao'shi 毛石
'mao'shi'hun'ning'tu 毛石混凝土
'mao'shi'qiang 毛石墙
'mao'shuan 锚栓
'mao'xi'duo'kong'ti 毛细多孔体
'mao'xian'zuo'ye 冒险作业
'mei'ceng 每层
'mei'shu'shui'mo'shi 美术水磨石
'mei'shu'shui'mo'shi'di'mian 美术水磨石地面
'men'ba 门跋
'men'bing 门柄
'men'chuang'biao 门窗表
'men'chuang'yi'lan'biao 门窗一览表
'men'ci'bao'jing 门磁报警
'men'deng 门灯
'men'ding 闷顶
'men'dong 门洞
'men'guo'liang 门过梁
'men'jia 门夹
'men'kan 门槛
'men'kuang 门框
'men'kuang'qiang 门框墙
'men'peng 门碰
'men'ting 门厅
'men'ting'qian'ta'bu 门厅前踏步
'men'xi 门吸
'men'zhen 门枕
'men'zhen'shi 门枕石
'mi'bi'men 密闭门
'mi'feng'dian'quan 密封垫圈
'mi'feng'guan'jiang 密封灌浆
'mi'huang'shi 米黄石
'mi'shui 泌水
'mian'ban 面板
'mian'ceng 面层
'mian'ceng'cai'liao 面层材料
'mian'kuo 面阔
'mian'shi'gao'ban 面石膏板
'mian'zai 面载
'mian'zhuan 面砖
'mian'zhuan'jiao 面砖胶
'miao'tu 描图
'mie'huo'ji 灭火剂
'mie'huo'she'bei 灭火设备
'mie'huo'xi'tong 灭火系统
'ming'guan 明管
'ming'jian 明间
'ming'lou'ti 明楼梯
'ming'xian 明线
'ming'xian'bu'xian 明线布线
'ming'xian'xian'lu 明线线路
'ming'zhuang 明装
'ming'zhuang'ban'ba'kai'guan 明装搬把开关
'ming'zhuang'cha'xiao 名状插销
'ming'zhuang'ying'guang'deng 明装荧光灯
'ming'zhuang'ying'guang'deng'dai 明装荧光灯带
'ming'zhuang'zhao'ming'she'bei 明装照明设备
'mo'ca'xi'shu 摩擦系数
'mo'di'ceng'hui 抹底层灰
'mo'di'shui'xian 抹滴水线
'mo'duan 末端
'mo'duan'hu'tou 末端互投
'mo'hui 抹灰
'mo'hui'bing 抹灰饼
'mo'hui'ding'peng 抹灰顶棚
'mo'hui'gong 抹灰工
'mo'hui'hou'du 抹灰厚度
'mo'jiao 抹角
'mo'liang 模量
'mo'ni'shi'yan 模拟试验
'mo'sha'bo'li 磨砂玻璃
'mo'sha'deng'pao 磨砂灯泡
'mo'shi 磨石
'mo'shi'yu'yan 模式语言
'mo'shu 模数
'mo'tou 抹头
'mo'xian'tu 墨线图
'mo'xing 模型
'mu'ban 模板
'mu'ban'qiang 木板墙
'mu'ban'tiao'diao'ding 木板条吊顶
'mu'chuang 木窗
'mu'di'ban 木地板
'mu'ge'duan 木隔断
'mu'ge'zha'lou'ban 木搁栅楼板
'mu'gou'jian 木构件
'mu'gou'zao 木构造
'mu'heng'jia 木桁架
'mu'hu'qiang 木护墙
'mu'ji'ceng 木基层
'mu'jia'zhuan'qiang'fang'wu 木架砖墙房屋
'mu'jie'gou 木结构
'mu'jie'gou'ti'xi 木结构体系
'mu'long'gu 木龙骨
'mu'long'gu'lou'ban 木龙骨楼板
'mu'lou'ban 木楼板
'mu'luo'ding 木螺钉
'mu'luo'si 木螺丝
'mu'men'kuang 木门框
'mu'qiang 幕墙
'mu'qiang'jiao 幕墙胶
'mu'ti'jiao'ban 木踢脚板
'mu'tiao'di'ban 木条地板
'mu'wa 木瓦
'mu'wang'ban 木望板
'mu'wu'ding 木屋顶
