'an'quan'dai 安全带
'tie'lu'qiao'liang'gong'cheng 铁路桥梁工程
'tie'lu'xian'lu'yang'hu 铁路线路养护
'tie'lu'xian'lu'yang'hu'ji'xie 铁路线路养护机械
'tong'hang 通航
'tong'hang'quan 通航权
'tong'hang'zha 通航闸
'tong'ji'da'xue 同济大学
'tong'ji'da'xue'tong'ji'da'xue 同济大学同済大学
'tong'shi'cun'zai'de 同时存在的
'tong'shi'cun'zai'de'shi'wu 同时存在的事物
'tong'shi'cun'zai'de'tong'shi'fa'sheng'de 同时存在的同时发生的
'tong'shi'de 同时的
'tong'shi'de'tong'shi'cun'zai'de 同时的同时存在的
'tong'yong'hou'chu'li 通用后处理
'tou'biao 投标
'tu'ce'ya'li'tu'de'ce'ya'li 土侧压力土的侧压力
'tu'ceng 土层
'tu'ceng'pou'mian'te'xing 土层剖面特性
'tu'ceng'pou'mian'tu'ceng'pou'mian 土层剖面土层剖面
'tu'li'xue 土力学
'tu'mu'gong'cheng 土木工程
'tu'mu'gong'cheng'shi 土木工程师
'tu'mu'gong'cheng'shi'xie'hui'tu'mu'gong'cheng'shi'xie'hui 土木工程师协会土木工程师协会
'tu'mu'gong'cheng'shi'xue'hui 土木工程师学会
'tu'mu'gong'cheng'xi 土木工程系
'tu'mu'jian'zhu'jie'gou'you'xian'yuan'ruan'jian 土木建筑结构有限元软件
'tu'mu'yu'huan'jing'gong'cheng'xi 土木与环境工程系
'tu'rang'jia'gu'gong'cheng 土壤加固工程
'tu'xing'hou'chu'li'qi'mo'kuai 图形后处理器模块
'tu'ya'li'bei'dong'tu'ya'li 土压力被动土压力
'tu'ya'li'zhu'dong'tu'ya'li 土压力主动土压力
'tu'zhong'li'tu'de'wu'li'xing'zhi'zhong'li'mi'du 土重力土的物理性质重力密度
'tui'la'suo 推拉索
'tui'li 推力
'tui'li'xian 推力线
'tui'li'xiao 推力销
'tuo'ban'dan'yuan 托板单元
'tuo'huan'ji'chu'gong'cheng 托换基础工程
'tuo'pan'de'shang'bu'jie'gou 托盘的上部结构
'wa'guan'han 瓦管涵
'wai'li 外力
'wai'pai'shui'xi'tong 外排水系统
'wai'qing'gang'du'xi'shu 外倾刚度系数
'wai'zhi'zuo 外支座
'wan'dao 弯道
'wan'dao'deng 弯道灯
'wan'dao'wei'xian 弯道危险
'wan'du 弯度
'wan'ju 弯矩
'wan'ju'fen'pei'fa 弯矩分配法
'wan'ju'tu 弯矩图
'wan'ju'zhong'xin 弯矩中心
'wan'qu'gang'du 弯曲刚度
'wan'qu'gang'du'kang'wan'jin'du 弯曲刚度抗弯劲度
'wan'qu'niu'zhuan'wan'qu'niu'zhuan 弯曲扭转弯曲扭转
'wang'jia'jie'gou 网架结构
'wang'jia'jie'gou'ge'gou'liang'jie'gou 网架结构格构梁结构
'wei'fen'fang'cheng'shu'zhi'jie 微分方程数值解
'wei'hang'shi'hui'tian'tu 未夯实回填土
'wei'xuan'lian'xian 伪悬链线
'wei'yan 围堰
'wei'yan'ba 围堰坝
'wei'yi 位移
'wei'yi'dai'ti 位移代替
'wei'yi'fa 位移法
'wei'yi'fang'cheng'wei'yi'fang'cheng'shi 位移方程位移方程式
'wei'yi'jiao 位移角
'wei'yi'yi'zhi 位移移置
'wen'ding'xi'shu 稳定系数
'wen'du'bian'hua'zuo'yong 温度变化作用
'wen'du'fang'fu'zuo'yong 温度防腐作用
'wen'du'he'zai 温度荷载
'wen'du'ti'du 温度梯度
'wen'du'ti'du'fa 温度梯度法
'wen'du'zuo'yong'wen'du'zuo'yong 温度作用温度作用
'wu'ding'jie'gou'xing'shi 屋顶结构形式
'wu'gong'ma'tou'gong 坞工码头工
'wu'gong'wu'gong 坞工坞工
'wu'jiao'de'kuang'jia 无铰的框架
'wu'jiao'gong 无铰拱
'wu'jiao'kuang'jia 无铰框架
'wu'liu'qi'ye'an'quan'ping'tai'zhi'cheng'ti'xi 物流企业安全平台支撑体系
'wu'nian'jie'yu'ying'li'hun'ning'tu'jie'gou 无粘结预应力混凝土结构
'wu'qiong'de 无穷的
'wu'ya'li'shi'han'dong 无压力式涵洞
'wu'ya'li'ti'du'liu'dong 无压力梯度流动
'wu'ya'li'wu'ya'li 无压力无压力
'wu'yi'qiang'qiao'tai 无翼墙桥台
'wu'ying'li'zhuang'tai 无应力状态
'wu'yue'shu'tiao'jian 无约束条件
'xi'gan'gong 系杆拱
'xi'shui'ni'jiang 稀水泥浆
'xi'tong'wu'cha 系统误差
'xi'xing'che'dao 西行车道
'xi'yin'dao'lu'mian'ceng 吸音道路面层
'xia'bu'jie'gou 下部结构
'xia'gu 峡谷
'xia'la'suo 下拉索
'xia'mu'ban 下模板
'xian'chang'guan'zhu'zhuang 现场灌注桩
'xian'lu'yang'hu 线路养护
'xian'wei'pen'she'hun'ning'tu 纤维喷射混凝土
'xian'xing 线性
'xian'xing'dai'shu 线性代数
'xian'xing'you'xian'yuan'fa 线性有限元法
'xian'zhang'fa 先张法
'xian'zhang'fa'yu'ying'li 先张法预应力
'xiang'an'bing'ya'li 向岸冰压力
'xiang'dui'mi'du 相对密度
'xiang'dui'mi'du'huan 相对密度环
'xiang'dui'mi'du'ji 相对密度计
'xiang'fan'de 相反的
'xiang'jiao'di'qu'xiang'jiao'di'qu 乡郊地区乡郊地区
'xiang'jiao'dian'quan 橡胶垫圈
'xiang'liang'xiang'liang 箱梁箱梁
'xiang'ping'heng'tiao'jian 相平衡条件
'xiang'qie'xian 向切线
'xiang'rong'zhi'liang'ju'zhen 相容质量矩阵
'xiao'bi'li'chi'hai'tu 小比例尺海图
'xiao'bi'li'chi'tu 小比例尺图
'xiao'bi'li'chi'xiao'bi'li'chi 小比例尺小比例尺
'xiao'chu'can'yu'ying'li 消除残余应力
'xiao'ding'pin'jie'ban 销钉拼接板
'xiao'ke'che 小客车
'xiao'luan'shi 小卵石
'xie'di'ban 斜底板
'xie'heng'liang 斜横梁
'xie'jiao 斜交
'xie'jiao'qiao 斜交桥
'xie'jiao'qiao'xie'qiao 斜交桥斜桥
'xie'jie'li 斜节理
'xie'la'qiao 斜拉桥
'xie'la'qiao'xie'zhang'qiao 斜拉桥斜张桥
'xie'po 斜坡
'xie'shui'guan 泄水管
'xie'shui'guan'lu 泄水管路
'xie'tiao'de 协调的
'xie'zhuang 斜桩
'xing'che'dao 行车道
'xing'che'dao'lu'mian'lu'mian'xing'che'dao 行车道路面路面行车道
'xing'cheng'ying'li'ji'zhong'de'yin'su 形成应力集中的因素
'xing'gang'gou'qiao 形刚构桥
'xing'gu'jin 形箍筋
'xing'he'chuang 型河床
'xing'xin 形心
'xing'zhuang'han'shu 形状函数
'xu'bian 徐变
'xu'gong'yuan'li 虚功原理
'xu'pian'xin'ju 虚偏心距
'xu'wei'yi'fa 虚位移法
'xu'zhi'lu 虚支路
'xuan'bi'fa'xuan'bi'pin'zhuang'fa 悬臂法悬臂拼装法
'xuan'bi'jia'she'fa 悬臂架设法
'xuan'bi'jiao'zhu'fa 悬臂浇筑法
'xuan'bi'lian'xu'liang 悬臂连续梁
'xuan'bi'liang 悬臂梁
'xuan'bi'liang'chang 悬臂梁长
'xuan'kong 悬孔
'xuan'kua'du'xuan'kong 悬跨度悬孔
'xuan'lian'xian 悬链线
'xuan'lian'xian'chang 悬链线长
'xuan'suo'gao'jia'qiao'xuan'suo'gao'jia'qiao 悬索高架桥悬索高架桥
'xuan'suo'qiao 悬索桥
'xuan'ya 悬崖
'xuan'ze'shi'ti 选择实体
'xue'ruo 削弱
'ya'ke'bi'ju'zhen 雅可比矩阵
'ya'ke'bi'ju'zhen'dao'shu'ju'zhen 雅可比矩阵导数矩阵
'ya'ke'bi'ju'zhen'fa 雅可比矩阵法
'ya'li'ji 压力计
'ya'ying'li 压应力
'yan'ba'liang'shui'yan 堰坝量水堰
'yan'ba'yan'ba 堰坝堰坝
'yan'gong'jiao 岩拱脚
'yan'huan'ji 延缓剂
'yan'jiang 岩浆
'yan'shi'li'xue 岩石力学
'yan'suan 验算
'yan'suan'gong'shi 验算公式
'yan'tu'li'xue 岩土力学
'yan'tu'li'xue'xing'zhi 岩土力学性质
'yan'yan'ba 堰堰坝
'yang'gang'qiao 杨钢桥
'yang'jie'he'li 氧结合力
'ye'jian'mo 业建模
'ye'ya'ji'jie'gou'you'hua'she'ji'ruan'jian'bao 液压机结构优化设计软件包
'yi'ji'gong'lu 一级公路
'yi'ji'gong'lu'wang 一级公路网
'yi'xian'zui'jia'she'ji 依限最佳设计
'yi'zhi'jie'dian'he'zai 一致节点荷载
'yi'zhi'lu 乙支路
'yi'zi'zhong'qiao'liang'jie'gou'yu'ying'li'fa 以自重桥梁结构预应力法
'yin'dao 引道
'yin'dao'ban 引道版
'yin'dao'po 引道坡
'ying'bian 应变
'ying'bian'ji 应变计
'ying'bian'ju'zhen 应变矩阵
'ying'bian'liang 应变量
'ying'bian'liang'ce 应变量测
'ying'bian'san'jiao'xing'dan'yuan'ti 应变三角形单元体
'ying'bian'shi'xiao 应变时效
'ying'bian'shi'xiao'gang 应变时效钢
'ying'guo'tu'mu'gong'cheng'shi'xie'hui 英国土木工程师协会
'ying'li 应力
'ying'li'dao'xiang'ying'li'bian'wei'xiang'fan'de'fang'xiang 应力倒向应力变为相反的方向
'ying'li'fang'xiang'ying'li'fang'xiang 应力方向应力方向
'ying'li'fen'xi 应力分析
'ying'li'fu'zhi'ying'li'fu'zhi 应力幅值应力幅值
'ying'li'ji'zhong 应力集中
'ying'li'ji'zhong'dian 应力集中点
'ying'li'ji'zhong'qi 应力集中器
'ying'li'ji'zhong'yin'su 应力集中因素
'ying'li'ju'zhen 应力矩阵
'ying'li'ju'zhen'ji'suan 应力矩阵计算
'ying'li'tu 应力图
'ying'li'ying'bian'guan'xi 应力应变关系
'ying'li'ying'bian'guan'xi'qu'xian 应力应变关系曲线
'ying'li'ying'bian'ju'zhen 应力应变矩阵
'ying'li'ying'bian'tu 应力应变图
'ying'li'ying'bian'tu'mian'ji 应力应变图面积
'ying'li'zeng'da'xi'shu 应力增大系数
'ying'li'zhuang'tai 应力状态
'ying'lu'jian 硬路肩
'ying'shi'gao 硬石膏
'ying'xiang'mian 影响面
'ying'xiang'xian 影响线
'ying'xiang'xian'fang'cheng 影响线方程
'yong'jiu'dong'tu 永久冻土
'yong'jiu'dong'tu'tai 永久冻土台
'yong'jiu'dong'tu'yong'jiu'dong'tu 永久冻土永久冻土
'yong'jiu'shui'zhun'ji'dian 永久水准基点
'yong'jiu'zuo'yong'biao'zhun'zhi 永久作用标准值
'yong'jiu'zuo'yong'yong'jiu'zuo'yong 永久作用永久作用
'yong'leng'ba'gang'si'qie'sui'de'jin'shu'li'gang'si'li 用冷拔钢丝切碎的金属粒钢丝粒
'you'nian'jie'yu'ying'li'hun'ning'tu'jie'gou 有粘结预应力混凝土结构
'you'shuo'fu'li'de 有说服力的
'you'shuo'fu'li'de'an'li 有说服力的案例
'you'shuo'fu'li'de'pian'zi 有说服力的骗子
'you'xian'she'zhi 优先设置
'you'xian'ying'bian'liang 有限应变量
'you'xian'yuan'fa 有限元法
'you'xian'yuan'fen'xi 有限元分析
'you'xian'yuan'fen'xi'ruan'jian 有限元分析软件
'you'xiao'nei'mo'ca'jiao 有效内摩擦角
'yu'chu'li'cheng'xu'yu'chu'li'qi 预处理程序预处理器
'yu'chu'li'qi 预处理器
'yu'chu'li'qi'qian'chu'li'qi'qian'chu'li 预处理器前处理器前处理
'yu'hun'he'liao 预混合料
'yu'jia'li 预加力
'yu'shui'guan 雨水管
'yu'tong'ji'da'xue 与同济大学
'yu'ying'li'gang'jin 预应力钢筋
'yu'ying'li'gang'jin'shu 预应力钢筋束
'yu'ying'li'gang'jin'shu'yu'ying'li'gang'jin'shu 预应力钢筋束预应力钢筋束
'yu'ying'li'gang'jin'song'chi 预应力钢筋松弛
'yu'ying'li'hun'ning'tu 预应力混凝土
'yu'ying'li'hun'ning'tu'guan 预应力混凝土管
'yu'ying'li'hun'ning'tu'jie'gou'she'ji'ruan'jian 预应力混凝土结构设计软件
'yu'ying'li'hun'ning'tu'liang 预应力混凝土梁
'yu'ying'li'zu'jian'yu'ying'li'zu'jian 预应力组件预应力组件
'yu'zhi'hun'ning'tu'ban 预制混凝土板
'yu'zhi'hun'ning'tu'chang'fang 预制混凝土厂房
'yu'zhi'xian'zhang'fa'liang 预制先张法梁
'yuan'gong'ding 圆拱顶
'yuan'mu'qiao 圆木桥
'yuan'tai'zhui'ti'yuan'zhui'song'guo 圆台锥体圆锥松果
'yuan'you'an'quan'du 原有安全度
'yuan'zhu'ti 圆柱体
'yuan'zhu'ti'liang'tong 圆柱体量筒
'yuan'zhu'ti'qi'gang'tie'tong 圆柱体汽缸铁桶
'yuan'zhui'guan'ru'yi 圆锥贯入仪
'yuan'zhui'jiao 圆锥角
'yuan'zhui'ti'qiu'guo 圆锥体球果
'yue'bing 月饼
'yue'shu'tiao'jian 约束条件
'yue'shu'tiao'jian'shi 约束条件式
'yun'dong'fang'cheng'shu'zhi'jie 运动方程数值解
'zai'he'bu 载荷步
'zai'liang'tiao'xian'de'guo'du'sheng'cheng'xian 在两条线的过渡生成线
'zai'xun'huan 再循环
'zai'xun'huan'beng 再循环泵
'zai'xun'huan'shui 再循环水
'zeng'da'xi'shu 增大系数
'zeng'qiang'ji 增强剂
'zha'zhi'gang 轧制钢
'zha'zhi'gang'cao 轧制钢槽
'zha'zhi'gang'tuo'liang 轧制钢托梁
'zhan'dao 栈道
'zhao'biao 招标
'zhao'chu'zui'xiao'zhi 找出最小值
'zhao'ze 沼泽
'zhe'jian'xi'shu 折减系数
'zhen'dang 振荡
'zhen'dang'qi 振荡器
'zhen'dao'qi 振捣器
'zhen'mu 枕木
'zhen'nei'mo'ca'jiao 真内摩擦角
'zhen'qun 震群
'zheng'chang'shi'yong'ji'xian'zhuang'tai 正常使用极限状态
'zheng'chang'shi'yong'ji'xian'zhuang'tai'yan'zheng 正常使用极限状态验证
'zheng'jiao'ge'xiang'yi'xing'de 正交各向异性的
'zheng'jiao'zhi'xian 正交直线
'zheng'jiao'zhi'xian'sao'miao 正交直线扫描
'zheng'jiao'zhi'xian'zu 正交直线组
'zheng'pu'she 正铺设
'zheng'ti'gang'du'ju'zhen 整体刚度矩阵
'zhi'cheng 支撑
'zhi'cheng'gang'xing'liang'jia'jin'liang'heng'cheng 支撑刚性梁加劲梁横撑
'zhi'cheng'gou'jian 支承构件
'zhi'cheng'jia'jin'lei 支承加劲肋
'zhi'cheng'ti'xi'zhi'cheng'ti'xi 支撑体系支撑体系
'zhi'cheng'wu 支撑物
'zhi'cheng'zhou 支撑轴
'zhi'dong'chan'zhen 制动颤振
'zhi'dong'li'xi'shu 制动力系数
'zhi'gang'jin'tiao 直钢筋条
'zhi'jing 直径
'zhi'leng'ji 致冷剂
'zhi'leng'ji'hui'lu 致冷剂回路
'zhi'li'fa 枝力法
'zhi'liang 直梁
'zhi'liang'fa 直梁法
'zhi'liang'jie'he 直梁接合
'zhi'liang'ju'zhen 质量矩阵
'zhi'liang'zuo'yong'xiao'ying 质量作用效应
'zhi'lu 支路
'zhi'xie'lu'zhi'xie'lu 直斜路直斜路
'zhi'xin 质心
'zhi'zuo 支座
'zhong'jie'gou'li'xue 重结构力学
'zhong'li'biao'zhun'zhi 重力标准值
'zhong'li'jia'su'du 重力加速度
'zhong'li'jia'su'du'chang 重力加速度场
'zhong'xin 重心
'zhong'xing'mian 中性面
'zhong'xing'mian'gao'du 中性面高度
'zhong'yang'lu'lan'zhong'yang'lu'lan 中央路栏中央路栏
'zhong'yao'dao'lu'wang 重要道路网
'zhong'yao'dao'lu'zhong'yao'dao'lu 重要道路重要道路
'zhong'yao'dao'lu'zou'lang 重要道路走廊
'zhou'dui'chen 轴对称
'zhou'guan'xing'ju 轴惯性矩
'zhou'li'zhou'li 轴力轴力
'zhou'xian 轴线
'zhou'xian'wan'qu'bing'niu'zhuan'niu'qu 轴线弯曲并扭转扭曲
'zhou'xiang'la'li 轴向拉力
'zhou'xiang'la'li'zhou'xiang'la'shen 轴向拉力轴向拉伸
'zhou'xiang'la'li'zhou'xiang'zhang'li 轴向拉力轴向张力
'zhou'xiang'li 轴向力
'zhou'zhuan'jiao 轴转角
'zhu'ce'tu'mu'gong'cheng'shi 注册土木工程师
'zhu'dong'tu'ya'li 主动土压力
'zhu'dong'tu'ya'li'xi'shu 主动土压力系数
'zhu'gang'jin 主钢筋
'zhu'ji'bao'he'mi'du 助剂饱和密度
'zhu'la'ying'li 主拉应力
'zhu'liang 主梁
'zhu'liang'jie'mian'zhu'liang'jie'mian 主梁截面主梁截面
'zhu'liang'yi 主梁翼
'zhu'lie 柱列
'zhu'sai 柱塞
'zhu'ta 主塔
'zhu'tie 铸铁
'zhu'tie'ding 铸铁锭
'zhu'tie'guan 铸铁管
'zhu'tie'yu'shui'guan 铸铁雨水管
'zhu'xiao'ying 主效应
'zhu'xiao'ying'mo'xing 主效应模型
'zhua'dou'long'men'diao 抓斗龙门吊
'zhuan'huan'ju'zhen 转换矩阵
'zhuan'huan'ju'zhen'fa 转换矩阵法
'zhuan'jiao 转角
'zhuan'men'gong'cheng'fen'bao'he'yue 专门工程分包合约
'zhuan'ti'fa'zhuan'ti'jia'qiao'fa 转体法转体架桥法
'zhuan'zi'wei'yi'jiao 转子位移角
'zhuang'cheng'tai 桩承台
'zhuang'ji'bian'zhi'zuo'yong 撞击变质作用
'zhuang'ji'chu 桩基础
'zhuang'ji'zuo'yong 撞击作用
'zhuang'mei'bian'qiao 装煤便桥
'zhuang'pai'jia 桩排架
'zhuang'pei'shi'fang'wu 装配式房屋
'zhuang'pei'shi'gang'ti 装配式钢体
'zhuang'pei'shi'yu'zhi'de 装配式预制的
'zhuang'pei'shi'yu'zhi'hun'ning'tu'huan 装配式预制混凝土环
'zhuang'pei'shi'yu'zhi'zhuang'pei'shi'yu'zhi 装配式预制装配式预制
'zhuang'pei'shi'zhuang'pei'shi'qiao 装配式装配式桥
'zhui'ban 缀板
'zhun'yong'jiu'zhi'zuo'yong'zhun'yong'jiu'zhi 准永久值作用准永久值
'zhun'zheng'jiao'ge'xiang'yi'xing'de 准正交各向异性的
'zi'jin'shi'tan'xing'jin'shu'dian'pian 自紧式弹性金属垫片
'zi'liu'shui'jing'ya'li 自流水静压力
'zi'xing'che'dao 自行车道
'zi'xing'che'dao'zhuan'gong'zi'xing'che'xing'shi'de'che'dao 自行车道专供自行车行驶的车道
'zi'xing'che'tong'xing'zi'xing'che'tong'xing 自行车通行自行车通行
'zi'you'du 自由度
'zi'zhen'pin'lv 自振频率
'zi'zhen'zhou'qi 自振周期
'zong'duan'mian 纵断面
'zong'jie'li 纵节理
'zong'liang 纵梁
'zong'liang'lian'jie'xi 纵梁联结系
'zong'ping'mian'tu 总平面图
'zong'po 纵坡
'zong'po'xian 纵坡线
'zong'shou'suo'liang 总收缩量
'zong'ti'she'ji 总体设计
'zong'ti'she'ji'gai'nian 总体设计概念
'zong'xiang'lian'jie'xi 纵向联结系
'zong'xiang'pei'jin'lv 纵向配筋率
'zong'ying'li'fen'xi 总应力分析
'zu'he'heng'zai 组合恒载
'zu'he'jie'mian 组合截面
'zu'li'xi'shu 阻力系数
'zu'ni 阻尼
'zu'ni'ju'zhen 阻尼矩阵
'zu'yuan'ji'he 组元集合
'zuan'zhu'niu'zhuan'jiao 钻柱扭转角
'zui'bu'li'fen'bu 最不利分布
'zui'da'jian'ying'bian'neng'liang'li'lun 最大剪应变能量理论
'zui'da'jian'ying'bian'neng'xue'shuo 最大剪应变能学说
'zui'da'jian'ying'bian'zui'da'jian'ying'bian 最大剪应变最大剪应变
'zui'da'jian'ying'li 最大剪应力
'zui'da'jian'ying'li'mian 最大剪应力面
'zui'da'jian'ying'li'zhi 最大剪应力值
'zui'da'kang'zhang'qiang'du'ji'xian'kang'la'qiang'du 最大抗张强度极限抗拉强度
'zui'da'wan'ju'tu 最大弯矩图
'zui'da'ying'li 最大应力
'zui'da'ying'li'fang'xiang 最大应力方向
'zui'da'ying'li'li'lun 最大应力理论
'zui'da'zhen'feng'qiang'du'de'she'ji'su'du 最大阵风强度的设计速度
'zui'da'zhi 最大值
'zui'da'zhi'yuan'li 最大值原理
'zui'gao'rong'che'liang 最高容车量
'zui'jia'she'ji 最佳设计
'zui'jia'she'ji'jiang 最佳设计奖
'zui'xiao'er'cheng'fa 最小二乘法
'zui'xiao'pei'jin'lv 最小配筋率
'zui'xiao'shi'neng'fa'yuan'li 最小势能法原理
'zui'xiao'shi'neng'yuan'li 最小势能原理
'zui'xiao'zhi 最小值
'zui'you'hua 最优化
'zui'you'xing'zhuang'han'shu 最优形状函数
'zui'zhong'wan'ju'tu 最终弯矩图
'zuo'biao'xi 坐标系
'zuo'biao'xi 座标系
'zuo'biao'xi'zuo'biao'xi'tong'tui'lun 坐标系坐标系统推论
'zuo'biao'zhuan'huan'ju'zhen 坐标转换矩阵
'zuo'yong 作用
'zuo'yong'biao'zhun'zhi 作用标准值
'zuo'yong'biao'zhun'zhi'zuo'yong'biao'zhun'zhi 作用标准值作用标准值
'zuo'yong'dai'biao'zhi 作用代表值
'zuo'yong'dai'biao'zhi'zuo'yong'dai'biao'zhi 作用代表值作用代表值
'zuo'yong'fen'xiang'xi'shu 作用分项系数
'zuo'yong'pin'yu'zhi'zuo'yong'pin'yu'zhi 作用频遇值作用频遇值
'zuo'yong'she'ji'zhi 作用设计值
'zuo'yong'xiao'ying'ji'ben'zu'he 作用效应基本组合
'zuo'yong'xiao'ying'ou'ran'zu'he 作用效应偶然组合
'zuo'yong'xiao'ying'she'ji'zhi'zuo'yong'xiao'ying'she'ji'zhi 作用效应设计值作用效应设计值
'zuo'yong'xiao'ying'zu'he'zuo'yong'xiao'ying'zu'he 作用效应组合作用效应组合
'zuo'yong'xiao'ying'zuo'yong'xiao'ying 作用效应作用效应
'zuo'yong'zhun'yong'jiu'zhi'zuo'yong'zhun'yong'jiu'zhi 作用准永久值作用准永久值
