'an'chan'zhi'du'long 安禅制毒龙
'xi'lou'wang'yue'ji'hui'yuan 西楼望月几回圆
'xi'nian'qin'you'ban'diao'ling 昔年亲友半凋零
'xi'ren'yi'cheng'huang'he'qu 昔人已乘黄鹤去
'xi'shang'dui'ou'xian 溪上对鸥闲
'xi'shi'ren'yi'mei 昔时人已没
'xi'shu'luo'hua'yin'zuo'jiu 细数落花因坐久
'xi'tui'wu'li'xu'xing'le 细推物理须行乐
'xi'wang'chang'an'bu'jian'jia 西望长安不见家
'xi'wang'yao'chi'jiang'wang'mu 西望瑶池降王母
'xi'wen'dong'ting'shui 昔闻洞庭水
'xi'yang'lian'yu'zu 夕阳连雨足
'xi'yang'xiao'gu'ji'chuan'gui 夕阳箫鼓几船归
'xi'yi'yu'he'yi 徙倚欲何依
'xi'yuan'han'mo'lin 西园翰墨林
'xia'fang'cheng'guo'jin 下方城郭近
'xia'lai'xian'chu'cong'rong'li 下来闲处从容立
'xia'yun'wu'ji'ren'xi'dong 峡云无迹任西东
'xian'feng'chui'xia'yu'lu'xiang 仙风吹下御炉香
'xian'guan'feng'huang'tiao 仙管凤凰调
'xian'kan'er'tong'zhuo'liu'hua 闲看儿童捉柳花
'xian'lai'wu'shi'bu'cong'rong 闲来无事不从容
'xian'qiao'qi'zi'luo'deng'hua 闲敲棋子落灯花
'xian'ren'zhang'shang'yu'fu'rong 仙人掌上玉芙蓉
'xian'you'shi'zhuang'zai 仙游实壮哉
'xian'yu'qian'zai'zhi'shui'shi 贤愚千载知谁是
'xian'yun'fu'ma'lai 仙云拂马来
'xian'zhi'luo'yang'cheng 先至洛阳城
'xian'zuo'ting'chun'qin 闲坐听春禽
'xian'zuo'xiao'chuang'du'zhou'yi 闲坐小窗读周易
'xiang'cun'si'yue'xian'ren'shao 乡村四月闲人少
'xiang'e'xing'yun'heng'bi'luo 响遏行云横碧落
'xiang'feng'ju'meng'jia 相逢剧孟家
'xiang'ge'dong'shan'xia 香阁东山下
'xiang'gu'wu'xiang'shi 相顾无相识
'xiang'kan'liang'bu'yan 相看两不厌
'xiang'lai'wang'fei'tui'yi'li 向来枉费推移力
'xiang'qin'xiang'jin'shui'zhong'ou 相亲相近水中鸥
'xiang'sha'ye'wang'gui 香刹夜忘归
'xiang'shu'he'you'da 乡书何由达
'xiang'song'chai'men'yue'se'xin 相送柴门月色新
'xiang'wu'kong'meng'yue'zhuan'lang 香雾空蒙月转廊
'xiang'yan'yu'bang'gun'long'fu 香烟欲傍衮龙浮
'xiao'chen'chi'xian'shou 小臣持献寿
'xiao'chuang'fen'yu'du'shu'deng 晓窗分与读书灯
'xiao'feng'can'yue'ru'hua'qing 晓风残月入华清
'xiao'kou'chai'fei'jiu'bu'kai 小扣柴扉久不开
'xiao'qian'pang'ren'wei'zheng'guan 笑倩旁人为正冠
'xiao'se'dong'han'lin 萧瑟动寒林
'xiao'sui'tian'zhang'ru 晓随天仗入
'xiao'xi'fan'jin'que'shan'xing 小溪泛尽却山行
'xiao'xiang'he'shi'deng'xian'hui 潇湘何事等闲回
'xiao'xiang'shui'bei'liu 潇湘水北流
'xiao'xiao'ban'ma'ming 萧萧班马鸣
'xiao'xiao'feng'shu'lin 萧萧枫树林
'xiao'xiao'song'yan'qun 萧萧送雁群
'xiao'yan'ri'ri'yan'fei'lai 小檐日日燕飞来
'xiao'yuan'ying'ge'xie 小苑莺歌歇
'xiao'yun'lian'mu'juan 晓云连幕卷
'xie'qu'jiu'shu'gui'jiu'yin 携取旧书归旧隐
'xie'que'hai'tang'fei'jin'xu 谢却海棠飞尽絮
'xin'su'yu'ren'hai'fan'fan 信宿渔人还泛泛
'xin'xu'feng'yao'luo 心绪逢摇落
'xing'chen'leng'luo'bi'tan'shui 星辰冷落碧潭水
'xing'jin'jiang'nan'shu'shi'cheng 行尽江南数十程
'xing'lai'jin'ri'jin'jun'huan 兴来今日尽君欢
'xing'lai'san'nong'you'huan'zi 兴来三弄有桓子
'xing'lai'shu'zi'sheng 兴来书自圣
'xing'lin'wan'hu'dong 星临万户动
'xing'sui'ping'ye'kuo 星随平野阔
'xing'wei'xiao'ran'si'ye'seng 兴味萧然似野僧
'xing'yi'shen'feng'bo 行矣慎风波
'xing'you'wei'yin'ke'xiang'xia 幸有微吟可相狎
'xing'zhou'lv'shui'qian 行舟绿水前
'xing'zhu'luan'hong'chuan'liu'xiang 兴逐乱红穿柳巷
'xiu'jiang'duan'fa'hai'chui'mao 羞将短发还吹帽
'xu'yao'zhi'nv'nong'jin'suo 须邀织女弄金梭
'xuan'deng'qian'zhang'xi 悬灯千嶂夕
'xuan'du'guan'li'tao'qian'shu 玄都观里桃千树
'xuan'jun'mu'jing'gan 悬军幕井干
'xuan'zhuo'sheng'chai'dai'ye'shao 旋斫生柴带叶烧
'xue'li'yin'xiang'nong'fen'xie 雪里吟香弄粉些
'xue'que'shu'mei'yi'duan'xiang 雪却输梅一段香
'xue'xiao'hua'yue'man'xian'tai 雪消华月满仙台
'xue'yong'lan'guan'ma'bu'qian 雪拥蓝关马不前
'xue'zhong'lou'yi'qi'neng'tao 穴中蝼蚁岂能逃
'xun'chang'yi'yang'chuang'qian'yue 寻常一样窗前月
'xun'de'tao'yuan'hao'bi'qin 寻得桃源好避秦
'yan'bo'chu'chu'chou 烟波处处愁
'yan'bo'jiang'shang'shi'ren'chou 烟波江上使人愁
'yan'han'bei'zhu'yao 烟含北渚遥
'yan'hua'xiang'wai'you 烟花象外幽
'yan'ji'cui'dai'chou 燕姬翠黛愁
'yan'jian'si'chao'quan'sheng'shi 眼见四朝全盛时
'yan'kan'chun'you'qu 眼看春又去
'yan'long'han'shui'yue'long'sha 烟笼寒水月笼沙
'yan'shi'cai'yao'qu 言师采药去
'yan'xia'ci'di'duo 烟霞此地多
'yan'ya'yan'que'yi'sheng'cheng 檐牙燕雀已生成
'yan'zhao'bei'ge'shi 燕赵悲歌士
'yan'zhong'qi'ying'dong'long'she 砚中旗影动龙蛇
'yang'cheng'han'bi'ying'lian'yi 养成寒碧映涟漪
'yang'chun'yi'qu'he'jie'nan 阳春一曲和皆难
'yang'hua'yu'jia'wu'cai'si 杨花榆荚无才思
'yao'heng'qiu'shui'yan'ling'dao 腰横秋水雁翎刀
'yao'lian'gu'yuan'ju 遥怜故园菊
'yao'ma'xiu'xiang'yan'qian'sheng 妖蟆休向眼前生
'yao'tian'jin'bai'bo 遥天浸白波
'yao'zhi'jin'qing'hua'feng'zhu 要知尽庆华封祝
'ye'ban'zhong'sheng'dao'ke'chuan 夜半钟声到客船
'ye'bang'sang'yin'xue'zhong'gua 也傍桑阴学种瓜
'ye'bo'qin'huai'jin'jiu'jia 夜泊秦淮近酒家
'ye'du'wu'ren'zhou'zi'heng 野渡无人舟自横
'ye'fang'sui'wan'bu'xu'jie 野芳虽晚不须嗟
'ye'fu'nen'lv'jiu'chu'shu 叶浮嫩绿酒初熟
'ye'gui'er'nv'xiao'deng'qian 夜归儿女笑灯前
'ye'hang'qia'shou'liang'san'ren 野航恰受两三人
'ye'he'hua'kai'xiang'man'ting 夜合花开香满庭
'ye'hua'ti'niao'yi'ban'chun 野花啼鸟一般春
'ye'huo'za'xing'hui 夜火杂星回
'ye'jiao'cha'liu'ji'nian'hua 也教插柳纪年华
'ye'lai'feng'yu'sheng 夜来风雨声
'ye'lao'yu'ren'zheng'xi'ba 野老与人争席罢
'ye'shen'sao'shou'tan'fei'peng 夜深搔首叹飞蓬
'ye'shen'wei'yu'zui'chu'xing 夜深微雨醉初醒
'ye'tian'huang'zhong'zhi'sheng'chou 野田荒冢只生愁
'ye'wen'ti'yan'sheng'xiang'si 夜闻啼雁生乡思
'ye'ying'wu'ji'bi'zheng'yao 也应无计避征徭
'yi'chi'yue'jin'zi'wei'hua 一墀月浸紫薇花
'yi'cong'mei'fen'tui'can'zhuang 一从梅粉褪残妆
'yi'di'he'ceng'dao'jiu'quan 一滴何曾到九泉
'yi'duo'hong'yun'peng'yu'huang 一朵红云捧玉皇
'yi'fan'xiao'se'jin'yan'zhong 一番萧瑟禁烟中
'yi'feng'chao'zou'jiu'chong'tian 一封朝奏九重天
'yi'gong'xi'chan'ji 义公习禅寂
'yi'guan'shen're'yu'lu'xiang 衣冠身惹御炉香
'yi'hang'bai'lu'shang'qing'tian 一行白鹭上青天
'yi'hong'qing'ke'qin'shi'pi 一泓清可沁诗脾
'yi'nian'hao'jing'jun'xu'ji 一年好景君须记
'yi'pian'hua'fei'jian'que'chun 一片花飞减却春
'yi'qu'sheng'ping'ren'gong'le 一曲升平人共乐
'yi'ran'wang'que'yi'dong'feng 依然枉却一东风
'yi'ren'wan'shan'xiang'dui'chou 一任晚山相对愁
'yi'shi'chan'gong'zhe'jiang'xian 疑是蟾宫谪降仙
'yi'shi'di'shang'shuang 疑是地上霜
'yi'shi'wu'cheng'liang'bin'si 一事无成两鬓丝
'yi'shui'hu'tian'jiang'lv'rao 一水护田将绿绕
'yi'tuan'mao'cao'luan'peng'peng 一团茅草乱蓬蓬
'yi'wei'qian'ke'qu'chang'sha 一为迁客去长沙
'yi'wo'cang'jiang'jing'sui'wan 一卧沧江惊岁晚
'yi'you'liu'wang'kui'feng'qian 邑有流亡愧俸钱
'yi'zhen'xin'liang'yi'shan'feng 一枕新凉一扇风
'yi'zhi'hong'xing'chu'qiang'lai 一枝红杏出墙来
'yi'zun'jing'ji'qing'tai'wo 一樽竟藉青苔卧
'yi'zun'liao'wei'wan'liang'kai 一樽聊为晚凉开
'yin'feng'xiang'yu'ke 因风想玉坷
'yin'guo'zhu'yuan'feng'seng'hua 因过竹院逢僧话
'yin'han'wu'sheng'zhuan'yu'pan 银汉无声转玉盘
'yin'qin'song'ke'chu'po'hu 殷勤送客出鄱湖
'yin'qin'zhu'lin'si 殷勤竹林寺
'yin'qing'zhong'he'shu 阴晴众壑殊
'yin'yin'xia'mu'zhuan'huang'li 阴阴夏木啭黄鹂
'yin'zhu'chao'tian'zi'mo'chang 银烛朝天紫陌长
'yin'zhu'qiu'guang'leng'hua'ping 银烛秋光冷画屏
'yin'zhu'tu'qing'yan 银烛吐清烟
'ying'bang'zhan'chang'kai 应傍战场开
'ying'lian'fan'shu'han 应怜范叔寒
'ying'lian'ji'chi'yin'cang'tai 应怜屐齿印苍苔
'ying'men'huai'shui'lv 映门淮水绿
'ying'ri'he'hua'bie'yang'hong 映日荷花别样红
'ying'shi'yu'cui'shi 应是雨催诗
'ying'yan'gao'di'zhao'mu'kong 萤焰高低照暮空
'ying'zhuan'huang'zhou'chun'se'lan 莺啭皇州春色阑
'you'bi'xiang'che'bu'zai'feng 油壁香车不再逢
'you'dei'fu'sheng'ban'ri'xian 又得浮生半日闲
'you'lai'shui'gong'yu 忧来谁共语
'you'lai'tian'xia'chuan 由来天下传
'you'mei'wu'xue'bu'jing'shen 有梅无雪不精神
'you'ren'wu'ling'qu 游人五陵去
'you'ren'ying'wei'mian 幽人应未眠
'you'xue'wu'shi'su'le'ren 有雪无诗俗了人
'you'you'liu'chao'seng 犹有六朝僧
'you'you'luo'yang'qu 悠悠洛阳去
'you'yue'bu'lai'guo'ye'ban 有约不来过夜半
'you'zuo'bu'yi'kan 犹作布衣看
'yu'ba'xi'hu'bi'xi'zi 欲把西湖比西子
'yu'hai'lu'chang'nan 鱼海路常难
'yu'hou'quan'wu'ye'di'hua 雨后全无叶底花
'yu'ji'wu'zhou'ji 欲济无舟楫
'yu'jie'xian'zhang'yong'qian'guan 玉阶仙仗拥千官
'yu'jun'li'bie'yi 与君离别意
'yu'lai'zhan'xi'shang 雨来沾席上
'yu'lu'diao'shang'feng'shu'lin 玉露凋伤枫树林
'yu'mei'jing'zuo'shi'fen'chun 与梅井作十分春
'yu'miao'kong'shan'li 禹庙空山里
'yu'qian'chu'jian'hua'jian'rui 雨前初见花间蕊
'yu'qiong'qian'li'mu 欲穷千里目
'yu'ren'ge'wu'wei'ceng'gui 玉人歌舞未曾归
'yu'shan'gao'bing'liang'feng'han 玉山高并两峰寒
'yu'shu'lao'yan'wu'gao'chu 欲舒老眼无高处
'yu'shu'yu'ji'he'you'da 鱼书欲寄何由达
'yu'tou'ren'chu'su 欲投人处宿
'yu'wan'sheng'lai'hu'po'guang 玉碗盛来琥珀光
'yu'xiang'zha'ru'yi 余香乍入衣
'yu'yin'liao'liang'shang'piao'kong 余音嘹亮尚飘空
'yu'zhi'shi'zhang'si'lun'mei 欲知世掌丝纶美
'yu'zu'jiao'yuan'cao'mu'rou 雨足郊原草木柔
'yuan'bian'gao'zhong'wo'qi'lin 苑边高冢卧麒麟
'yuan'jiao'qing'di'chang'wei'zhu 愿教青帝常为主
'yuan'jin'shan'he'jing 远近山河净
'yuan'shou'yu'li'wei'quan'pin 园收芋栗未全贫
'yuan'shu'zhen'zhong'he'you'da 远书珍重何由达
'yuan'xiang'liu'bu'jin 沅湘流不尽
'yue'bang'jiu'xiao'duo 月傍九霄多
'yue'bei'di'shang'si'pai'huai 月陂堤上四徘徊
'yue'gou'chu'shang'zi'wei'hua 月钩初上紫薇花
'yue'guang'ru'shui'shui'ru'tian 月光如水水如天
'yue'guo'bei'ting'han 月过北庭寒
'yue'luo'wu'ti'shuang'man'tian 月落乌啼霜满天
'yue'nv'hong'qun'shi 越女红裙湿
'yue'sheng'qie'xian'bei 乐圣且衔杯
'yue'yi'hua'ying'shang'lan'gan 月移花影上栏杆
'yue'yong'da'jiang'liu 月涌大江流
'yue'zhong'shuang'li'dou'chan'juan 月中霜里斗婵娟
'yun'bang'ma'tou'sheng 云傍马头生
'yun'biao'jin'que'jiong 云标金阙迥
'yun'dan'feng'qing'jin'wu'tian 云淡风轻近午天
'yun'ge'bo'bian'gong 云阁薄边功
'yun'heng'qin'ling'jia'he'zai 云横秦岭家何在
'yun'jian'xian'lai'ji'wu'sheng 云间仙籁寂无声
'yun'qi'sheng'xu'bi 云气生虚壁
'yun'shen'bu'zhi'chu 云深不知处
'yun'wu'bu'shu'xiang'guo'yi 云物不殊乡国异
'yun'wu'qi'liang'fu'shu'liu 云物凄凉拂曙流
'yun'xia'chu'hai'shu 云霞出海曙
'yun'xiang'yi'shang'hua'xiang'rong 云想衣裳花想容
'yun'yi'zhi'wei'kai'gong'shan 云移雉尾开宫扇
'zai'ge'chun'xing'qu 载歌春兴曲
'zan'shi'xiang'shang'mo'xiang'wei 暂时相赏莫相违
'zao'zhi'cheng'si'zai 早知乘四载
'zao'zhi'qing'jing'li 早知清净理
'zhai'jin'pi'pa'yi'shu'jin 摘尽枇杷一树金
'zhan'jin'feng'qing'xiang'xiao'yuan 占尽风情向小园
'zhan'yi'yu'shi'xing'hua'yu 沾衣欲湿杏花雨
'zhang'dian'yu'cui'wei 帐殿郁崔嵬
'zhang'jian'xing'qian'li 仗剑行千里
'zhang'li'fu'wo'guo'qiao'dong 杖藜扶我过桥东
'zhang'li'xie'jiu'kan'zhi'shan 杖藜携酒看芝山
'zhang'li'xu'bu'li'fang'zhou 杖藜徐步立芳洲
'zhao'shi'lian'cheng'bi 赵氏连城璧
'zhao'zhao'ran'han'shi'jun'wang 朝朝染翰侍君王
'zhe'qu'jun'wu'hen 谪去君无恨
'zhen'chu'qiao'can'shen'xiang'yue 砧杵敲残深巷月
'zhen'dian'reng'jiao'dao'chu'sui 枕簟仍教到处随
'zhen'sui'hui'yuan'you 真随惠远游
'zhen'yu'xian'sheng'jie'zhan'pao 朕与先生解战袍
'zheng'li'chui'shu'xiang'dong'zi 蒸藜炊黍饷东菑
'zheng'ren'hua'qian'bu'zui'gui 争忍花前不醉归
'zheng'si'man'lu'wei'gu'duo 争似满炉煨榾柮
'zheng'you'gao'tang'yan 正有高堂宴
'zhi'ba'hang'zhou'zuo'bian'zhou 直把杭州作汴州
'zhi'chi'chou'feng'yu 咫尺愁风雨
'zhi'hui'fei'zuo'bai'hu'die 纸灰飞作白蝴蝶
'zhi'jian'shi'jian'zi'chu'cheng 枝间时见子初成
'zhi'kong'feng'hua'yi'pian'fei 只恐风花一片飞
'zhi'kong'ye'shen'hua'shui'qu 只恐夜深花睡去
'zhi'liu'qian'qiao'tai'you'qing 掷柳迁乔太有情
'zhi'nv'ji'si'xu'ye'yue 织女机丝虚夜月
'zhi'ping'shi'zhen'zhu'fang'chuang 纸屏石枕竹方床
'zhi'qian'hui'tang'yan'yan'shi 直堑回塘滟滟时
'zhi'ru'yuan'lai'ying'you'yi 知汝远来应有意
'zhi'shi'ye'yuan'duo 只是夜猿多
'zhi'yi'yun'wu'ku 只疑云雾窟
'zhi'yin'wu'shi'lin'he'jing 只因误识林和靖
'zhi'you'jing'ting'shan 只有敬亭山
'zhi'you'qian'qi'zai 知有前期在
'zhi'yu'qiao'yu'guo'ci'sheng 直欲樵渔过此生
'zhi'zai'ci'shan'zhong 只在此山中
'zhi'zi'qiao'zhen'zuo'diao'gou 稚子敲针作钓钩
'zhi'zi'shen'jia'bing 之子慎佳兵
'zhong'fa'shan'tian'cai 终乏掞天才
'zhong'fang'yao'luo'du'xuan'yan 众芳摇落独暄妍
'zhong'feng'rao'rui'yan 中峰绕瑞烟
'zhong'gu'lou'zhong'ke'lou'chang 钟鼓楼中刻漏长
'zhong'niao'gao'fei'jin 众鸟高飞尽
'zhong'qing'za'sheng'ge 钟磬杂笙歌
'zhong'ri'hun'hun'zui'meng'jian 终日昏昏醉梦间
'zhong'tao'dao'shi'gui'he'chu 种桃道士归何处
'zhou'chu'yun'tian'ye'ji'ma 昼出耘田夜绩麻
'zhu'fu'jing'dong'xue 竹覆经冬雪
'zhu'li'mao'she'zi'gan'xin 竹篱茅舍自甘心
'zhu'lu'tang'fei'huo'chu'hong 竹炉汤沸火初红
'zhu'men'sui'fu'bu'ru'pin 朱门虽富不如贫
'zhu'que'qiao'bian'ye'cao'hua 朱雀桥边野草花
'zhu'ren'bu'xiang'shi 主人不相识
'zhu'shen'liu'ke'chu 竹深留客处
'zhu'wai'qiu'sheng'jian'zuo'wei 竹外秋声渐作威
'zhu'wang'tian'si'wu'jiao'qing 蛛网添丝屋角晴
'zhu'xi'bi'qiu'yi 珠系比丘衣
'zhu'yao'qing'ying'zhao'you'chuang 竹摇清影罩幽窗
'zhuang'lou'cui'huang'jiao'chun'zhu 妆楼翠幌教春住
'zhuang'shi'fa'chong'guan 壮士发冲冠
'zhun'ni'jin'chun'le'shi'nong 准拟今春乐事浓
'zi'dang'feng'yu'lu 自当逢雨露
'zi'gui'sheng'li'yu'ru'yan 子规声里雨如烟
'zi'gui'ti'che'si'geng'shi 子规啼彻四更时
'zi'gui'ye'ban'you'ti'xue 子规夜半犹啼血
'zi'jue'jian'shu'xi 自觉谏书稀
'zi'mo'hong'chen'fu'mian'lai 紫陌红尘拂面来
'zi'qu'zi'lai'liang'shang'yan 自去自来梁上燕
'zi'shi'bu'gui'gui'bian'dei 自是不归归便得
'zi'shou'zong'rong'zheng'ji'shui 紫绶纵荣争及睡
'zi'wei'hua'dui'zi'wei'lang 紫薇花对紫薇郎
'zi'yan'ban'kai'li'ju'jing 紫艳半开篱菊静
'zong'ba'xin'tao'huan'jiu'fu 总把新桃换旧符
'zong'heng'li'yue'san'qian'zi 纵横礼乐三千字
'zong'ji'da'gang'wang'can'chuan 踪迹大纲王粲传
'zu'zhang'lian'he'que 祖帐连河阙
'zui'ba'zhu'yu'zi'xi'kan 醉把茱萸仔细看
'zui'hou'yu'you'dian 醉后语尤颠
'zui'shi'cheng'huang'ju'lv'shi 最是橙黄橘绿时
'zui'shi'yi'nian'chun'hao'chu 最是一年春好处
'zuo'guan'chui'diao'zhe 坐观垂钓者
'zuo'jue'yan'chen'sao 坐觉烟尘扫
'zuo'ri'lin'jia'qi'xin'huo 昨日邻家乞新火
'zuo'ye'jiang'bian'chun'shui'sheng 昨夜江边春水生
