'mao'feng'xun'shi'yu 毛峰熏鲥鱼
'mao'xue'wang 毛血旺
'mei'cai'kou'rou 梅菜扣肉
'mei'ren'gan 美人肝
'mei'zi'pai'gu 梅子排骨
'mi'dou'yu'pian 蜜豆鱼片
'mi'zao'gui'yu 蜜枣桂鱼
'mi'zhi'chi'xiang'pai 秘制豉香排
'min'cai 闽菜
'min'sheng'guo 闽生果
'mo'yu'guo'ba'chao'rou'si 魔芋锅巴炒肉丝
'mo'yu'ya'kuai 魔芋鸭块
'nai'tang'ji'pu 奶汤鸡脯
'nai'tang'yuan'yu 奶汤元鱼
'nai'you'kao'bo'luo'shi'jin 奶油烤菠萝什锦
'nai'zhi'hui'wang'yu 奶汁回王鱼
'nan'gua'bai'he'shuang 南瓜百合爽
'nan'hu'xie'fen 南湖蟹粉
'nan'ping'wan'zhong 南瓶晚钟
'ni'qiu'zuan'dou'fu 泥鳅钻豆腐
'niu'du'huo'guo 牛肚火锅
'niu'jin'bao 牛筋煲
'niu'nan'bao'shui'zhu'niu'rou 牛腩煲水煮牛肉
'nong'zhi'an'chun'dan 浓汁鹌鹑蛋
'nuo'mi'you'su'ji 糯米油稣鸡
'pan'long'cai 蟠龙菜
'pao'jiao'xiang'luo'pian 泡椒响螺片
'pei'yang'zheng'qi'ji'kuai 培养正气鸡块
'pi'dan'hui'pai'gu 皮蛋烩排骨
'pi'jiu'jiao'ma'ji 啤酒椒麻鸡
'pi'pa'yu'du 琵琶鱼肚
'pi'tiao'shan'yu 皮条鳝鱼
'ping'guo'yang'rou 平锅羊肉
'ping'xiang'lv'rou 萍乡驴肉
'qi'lin'lu'yu 麒麟鲈鱼
'qi'you'hong'pi'zhou 杞忧烘皮肘
'qian'dao'hu'hong'shao'yu'tou 千岛湖红烧鱼头
'qiang'you'yu'juan 炝鱿鱼卷
'qiang'zao'wu'hua'rou 炝糟五花肉
'qie'zhi'ming'xia 茄汁明虾
'qie'zi'zhu'hua'jia 茄子煮花甲
'qin'huang'shao'yu'tiao 芹黄烧鱼条
'qin'huang'yu'si 芹黄鱼丝
'qing'chao'san'ding 清炒三丁
'qing'chao'xia'ren 清炒虾仁
'qing'dun'lang'shan'ji 清炖狼山鸡
'qing'dun'tu'zi 清炖兔子
'qing'dun'wu'shan'ji 清炖武山鸡
'qing'dun'xie'fen'shi'zi'tou 清炖蟹粉狮子头
'qing'tang'bao'yu 清汤鲍鱼
'qing'tang'ju'hua'yu 清汤菊花鱼
'qing'tang'liu'ye'yan'cai 清汤柳叶燕菜
'qing'tang'yin'er'su'ge'dan 清汤银耳素鸽蛋
'qing'tang'yu'dai'ji 清汤玉带鸡
'qing'zheng'dao'yu 清蒸刀鱼
'qing'zheng'gui'yu 清蒸桂鱼
'qing'zheng'he'bao'hong'li'yu 清蒸荷包红鲤鱼
'qing'zheng'huan'yu 清蒸鲩鱼
'qing'zheng'lu'yu 清蒸鲈鱼
'qing'zheng'qing'shan 清蒸青鳝
'qing'zheng'shi'yu 清蒸鲥鱼
'qing'zheng'wu'chang'yu 清蒸武昌鱼
'qing'zheng'xi'gua'ji 清蒸西瓜鸡
'qing'zheng'zi'yu 清蒸鲻鱼
'quan'jia'fu 全家富
'quan'xia'san'zuo 全虾三做
'que'chao'hei'jiao'niu'liu 雀巢黑椒牛柳
'rang'dou'fu 瓤豆腐
're'bai'dou'fu 热白豆腐
'rong'tang'guang'du 茸汤广肚
'rou'mi'yu'chun 肉米鱼唇
'rou'pu'dan'juan 肉脯蛋卷
'rou'sui'chi'jiao'chao'jiang'dou 肉碎豉椒炒豇豆
'ruan'zha'shi'ji 软炸石鸡
'rui'shi'pai'gu 瑞士排骨
'san'bei'ji 三杯鸡
'san'dong'rou'pian 三冬肉片
'san'xia'dou'fu 三虾豆腐
'sao'zi'dou'hua 臊子豆花
'sha'guo'cai'he 砂锅菜核
'sha'guo'san'wei 砂锅三味
'sha'lv'hai'xian'juan 沙律海鲜卷
'sha'wo'jiao'zhi'da'yu'tou 沙窝椒汁大鱼头
'shan'cheng'di'yi'tui 山城第一腿
'shan'dong'cai 山东菜
'shan'hu'hua'zhi'pian 珊瑚花枝片
'shan'hu'jin'gou 珊瑚金钩
'shan'xia'feng'wei'kao'yu 山峡风味烤鱼
'shan'xian'yang'rou'tang 单县羊肉汤
'shao'luo'han'mian'jin 烧罗汉面筋
'shao'san'bu'zhan 烧三不粘
'shao'yi'zi 烧臆子
'shen'xian'ya'zi 神仙鸭子
'sheng'chao'hai'bang 生炒海蚌
'sheng'qiao'shan'si 生敲膳丝
'sheng'xun'da'huang'yu 生熏大黄鱼
'shi'er'dun'ji 石耳炖鸡
'shi'hu'hua'sheng'mi 石斛花生米
'shi'jia'jiang'fang 石家酱方
'shi'jin'dong'gua'mao 什锦冬瓜帽
'shi'jin'hai'shen 什锦海参
'shi'liang'gou'rou 试量狗肉
'shi'liu'ji 石榴鸡
