'a'wei 阿魏
'pei'lan 佩兰
'pi'pa'ye 枇杷叶
'pian'jiang'huang 片姜黄
'ping'bei'mu 平贝母
'pu'gong'ying 蒲公英
'pu'huang 蒲黄
'pu'huang'tan 蒲黄炭
'qi'she 蕲蛇
'qi'she'rou 蕲蛇肉
'qian'cao 茜草
'qian'cao'tan 茜草炭
'qian'hu 前胡
'qian'jin'zi 千金子
'qian'jin'zi'shuang 千金子霜
'qian'li'guang 千里光
'qian'nian'jian 千年健
'qian'niu'zi 牵牛子
'qian'shi 芡实
'qiang'huo 羌活
'qin'jiao 秦艽
'qin'pi 秦皮
'qing'ban'xia 清半夏
'qing'dai 青黛
'qing'fen 轻粉
'qing'feng'teng 青风藤
'qing'guo 青果
'qing'hao 青蒿
'qing'ma'zi 苘麻子
'qing'meng'shi 青礞石
'qing'pi 青皮
'qing'xiang'zi 青葙子
'qing'ye'dan 青叶胆
'qu'mai 瞿麦
'quan'can 拳参
'quan'xie 全蝎
'ren'dong'teng 忍冬藤
'ren'gong'niu'huang 人工牛黄
'ren'shen 人参
'ren'shen'ye 人参叶
'rou'cong'rong 肉苁蓉
'rou'cong'rong'pian 肉苁蓉片
'rou'dou'kou 肉豆蔻
'rou'gui 肉桂
'ru'xiang 乳香
'rui'ren 蕤仁
'san'bai'cao 三白草
'san'ke'zhen 三棵针
'san'ke'zhen 三颗针
'san'leng 三棱
'san'qi 三七
'san'qi'fen 三七粉
'sang'bai'pi 桑白皮
'sang'ji'sheng 桑寄生
'sang'piao'xiao 桑螵蛸
'sang'shen 桑椹
'sang'ye 桑叶
'sang'zhi 桑枝
'sha'ji 沙棘
'sha'ren 砂仁
'sha'yuan'zi 沙苑子
'shan'ci'gu 山慈菇
'shan'dou'gen 山豆根
'shan'hu 珊瑚
'shan'mai'dong 山麦冬
'shan'nai 山柰
'shan'xiang'yuan'ye 山香圆叶
'shan'yao 山药
'shan'yin'hua 山银花
'shan'yu'rou 山萸肉
'shan'zha 山楂
'shan'zha'ye 山楂叶
'shan'zhu'yu 山茱萸
'shang'lu 商陆
'she'chuang'zi 蛇床子
'she'gan 射干
'she'tui 蛇蜕
'she'xiang 麝香
'shen'jin'cao 伸筋草
'sheng'ba'dou 生巴豆
'sheng'ban'mao 生斑蝥
'sheng'ban'xia 生半夏
'sheng'cao'wu 生草乌
'sheng'chuan'wu 生川乌
'sheng'gan'sui 生甘遂
'sheng'jiang 生姜
'sheng'lang'du 生狼毒
'sheng'ma 升麻
'sheng'ma'qian'zi 生马钱子
'sheng'pu'huang 生蒲黄
'sheng'shai'shen 生晒参
'sheng'shang'lu 生商陆
'sheng'shi'gao 生石膏
'sheng'tian'nan'xing 生天南星
'shi'cao 蓍草
'shi'chang'pu 石菖蒲
'shi'di 柿蒂
'shi'diao'lan 石吊兰
'shi'gao 石膏
'shi'hu 石斛
'shi'jue'ming 石决明
'shi'jun'zi 使君子
'shi'jun'zi'ren 使君子仁
'shi'liu'pi 石榴皮
'shi'wei 石韦
'shou'wu'teng 首乌藤
'shu'di'huang 熟地黄
'shui'fei'ji 水飞蓟
'shui'hong'hua'zi 水红花子
'shui'niu'jiao 水牛角
'shui'zhi 水蛭
'si'gua'luo 丝瓜络
'si'ji'qing 四季青
'song'hua'fen 松花粉
'su'he'xiang 苏合香
'su'mu 苏木
'suan'zao'ren 酸枣仁
'suo'luo'zi 娑罗子
'suo'yang 锁阳
'tai'zi'shen 太子参
'tan'xiang 檀香
'tang'gou'ji 烫狗脊
'tang'gu'sui'bu 烫骨碎补
'tang'shui'zhi 烫水蛭
'tao'ren 桃仁
'tao'zhi 桃枝
'ti'wai'pei'yu'niu'huang 体外培育牛黄
'tian'dong 天冬
'tian'gua'zi 甜瓜子
'tian'hua'fen 天花粉
'tian'kui'zi 天葵子
'tian'ma 天麻
'tian'nan'xing 天南星
'tian'shan'xue'lian 天山雪莲
'tian'xian'teng 天仙藤
'tian'xian'zi 天仙子
'tian'xing'ren 甜杏仁
'tian'zhu'huang 天竺黄
'tiao'ye'xuan'fu'hua 条叶旋覆花
'tie'pi'shi'hu 铁皮石斛
'ting'li'zi 葶苈子
'tong'cao 通草
'tong'guan'teng 通关藤
'tu'bei'mu 土贝母
'tu'bie'chong 土鳖虫
'tu'fu'ling 土茯苓
'tu'jing'pi 土荆皮
'tu'mu'xiang 土木香
'tu'si'zi 菟丝子
'wa'leng'zi 瓦楞子
'wa'song 瓦松
'wang'bu'liu'xing 王不留行
'wei'ling'cai 委陵菜
'wei'ling'xian 威灵仙
'wu'bei'zi 五倍子
'wu'gong 蜈蚣
'wu'jia'pi 五加皮
'wu'mei 乌梅
'wu'mei'rou 乌梅肉
'wu'mei'tan 乌梅炭
'wu'shan'yin'yang'huo 巫山淫羊藿
'wu'shao'she 乌梢蛇
'wu'shao'she'rou 乌梢蛇肉
'wu'wei'zi 五味子
'wu'yao 乌药
'wu'zhu'yu 吴茱萸
'xi'gua'shuang 西瓜霜
'xi'he'liu 西河柳
'xi'hong'hua 西红花
'xi'mi 菥蓂
'xi'qing'guo 西青果
'xi'xian'cao 豨莶草
'xi'xin 细辛
'xi'yang'shen 西洋参
'xia'ku'cao 夏枯草
'xia'tian'wu 夏天无
'xian'bai'mao'gen 鲜白茅根
'xian'he'cao 仙鹤草
'xian'lu'gen 鲜芦根
'xian'mao 仙茅
'xian'shi'hu 鲜石斛
'xian'yi'mu'cao 鲜益母草
'xian'yu'xing'cao 鲜鱼腥草
'xiang'fu 香附
'xiang'jia'pi 香加皮
'xiang'ru 香薷
'xiang'yuan 香橼
'xiao'bo'gu 小驳骨
'xiao'hui'xiang 小茴香
'xiao'ji 小蓟
'xiao'tong'cao 小通草
'xiao'ye'lian 小叶莲
'xie'bai 薤白
'xin'jiang'zi'cao 新疆紫草
'xin'jiang'zi'cao'qie'pian 新疆紫草切片
'xin'yi 辛夷
'xiong'huang 雄黄
'xiong'huang'fen 雄黄粉
'xu'chang'qing 徐长卿
'xu'duan 续断
'xu'duan'pian 续断片
'xuan'fu'hua 旋覆花
'xuan'ming'fen 玄明粉
'xuan'shen 玄参
'xue'jie 血竭
'xue'yu'tan 血余炭
'ya'dan'zi 鸦胆子
'ya'ma'zi 亚麻子
'ya'zhi'cao 鸭跖草
'yan'ba'ji'tian 盐巴戟天
'yan'bu'gu'zhi 盐补骨脂
'yan'du'zhong 盐杜仲
'yan'guan'huang'bai 盐关黄柏
'yan'hu'lu'ba 盐胡芦巴
'yan'huang'bai 盐黄柏
'yan'jiu'cai'zi 盐韭菜子
'yan'ju'he 盐橘核
'yan'tu'si'zi 盐菟丝子
'yan'wo 燕窝
'yan'yi'zhi'ren 盐益智仁
'yan'ze'xie 盐泽泻
'yan'zhi'mu 盐知母
'yang'jin'hua 洋金花
'ye'ju'hua 野菊花
'ye'ma'zhui 野马追
'ye'mu'gua 野木瓜
'ye'shan'shen 野山参
'yi'bei'mu 伊贝母
'yi'mu'cao 益母草
'yi'shan'can 移山参
'yi'shou'cao 翼首草
'yi'tang 饴糖
'yi'yi'ren 薏苡仁
'yi'zhi 益智
'yi'zhi'huang'hua 一枝黄花
'yi'zhi'ren 益智仁
'yin'chai'hu 银柴胡
'yin'chen 茵陈
'yin'xing'ye 银杏叶
'yin'yang'huo 淫羊藿
'ying'su'ke 罂粟壳
'you'song'jie 油松节
'yu'gan'zi 余甘子
'yu'huang'lian 萸黄连
'yu'jin 郁金
'yu'li'ren 郁李仁
'yu'xing'cao 鱼腥草
'yu'yu'liang 禹余粮
'yu'zhi'zi 预知子
'yu'zhou'lou'lu 禹州漏芦
'yu'zhu 玉竹
'yuan'hua 芫花
'yuan'zhi 远志
'yue'ji'hua 月季花
'yun'zhi 云芝
'zao'jiao'ci 皂角刺
'ze'lan 泽兰
'ze'xie 泽泻
'zhe'bei'mu 浙贝母
'zhe'shi 赭石
'zhen'zhu 珍珠
'zhen'zhu'fen 珍珠粉
'zhen'zhu'mu 珍珠母
'zhi'ba'ji'tian 制巴戟天
'zhi'cao'wu 制草乌
'zhi'chuan'wu 制川乌
'zhi'gan'cao 炙甘草
'zhi'he'shou'wu 制何首乌
'zhi'hong'qi 炙红芪
'zhi'huang'qi 炙黄芪
'zhi'ke 枳壳
'zhi'liu'huang 制硫黄
'zhi'mu 知母
'zhi'shi 枳实
'zhi'tian'nan'xing 制天南星
'zhi'wu'shan'yin'yang'huo 炙巫山淫羊藿
'zhi'wu'zhu'yu 制吴茱萸
'zhi'yin'yang'huo 炙淫羊藿
'zhi'yuan'zhi 制远志
'zhi'zhu'xiang 蜘蛛香
'zhi'zi 栀子
'zhong'jie'feng 肿节风
'zhong'ru'shi 钟乳石
'zhu'dan'fen 猪胆粉
'zhu'jie'can 竹节参
'zhu'ling 猪苓
'zhu'ru 竹茹
'zhu'sha 朱砂
'zhu'sha'fen 朱砂粉
'zhu'sha'gen 朱砂根
'zhu'ya'zao 猪牙皂
'zhu'zi'can 珠子参
'zi'cao 紫草
'zi'he'che 紫河车
'zi'hua'di'ding 紫花地丁
'zi'hua'qian'hu 紫花前胡
'zi'qi'guan'zhong 紫萁贯众
'zi'ran'tong 自然铜
'zi'shi'ying 紫石英
'zi'su 紫苏
'zi'su'geng 紫苏梗
'zi'su'ye 紫苏叶
'zi'su'zi 紫苏子
'zi'wan 紫菀
'zi'zhu'ye 紫珠叶
'zong'lv 棕榈
