'a'bi 阿碧
'shuang'long'qu'shui 双龙取水
'shuang'shou'hu'bo 双手互搏
'shuang'ta'bao 双塔堡
'shuang'tuo'xi'lai 双驼西来
'shui'dai 水岱
'shui'fu 水福
'shui'jian 水鉴
'shui'le'dong 水乐洞
'shui'sheng 水笙
'shui'xian'zhuang 水仙庄
'shui'yun'dao'ren 水云道人
'shun'shui'tui'zhou 顺水推舟
'shuo'bu'de 说不得
'shuo'feng'hu'qi 朔风忽起
'shuo'feng'kuang'xiao 朔风狂啸
'si'guo'ya 思过崖
'si'hai'ao'you 四海遨游
'si'kong'xuan 司空玄
'si'luo'bai'jie 丝萝百结
'si'ma'da 司马大
'si'ma'lin 司马林
'si'tu'bo'lei 司徒伯雷
'si'tu'he 司徒鹤
'si'tu'heng 司徒横
'si'tu'lei 司徒雷
'si'tu'qian'zhong 司徒千钟
'si'xiang'bu'fa 四象步法
'si'xiang'zhang'fa 四象掌法
'song'de'fang 宋德方
'song'feng'guan 松风观
'song'feng'jian'fa 松风剑法
'song'qing'shu 宋青书
'song'shan'jian'fa 嵩山剑法
'song'shan'peng 宋善朋
'song'shao'guan 松韶关
'song'tai'zu 宋太祖
'song'tao'ru'lei 松涛如雷
'song'tian'bao 宋天保
'song'wu 宋五
'song'xia'dui'yi 松下对弈
'song'xian'ce 宋献策
'song'xu'yi'zhen 嵩旭一振
'song'yang'gan'yuan 嵩阳干元
'song'yang'pai 嵩阳派
'song'yuan'qiao 宋远桥
'song'zhang'lao 宋长老
'su'fei'ya 苏菲亚
'su'gang 苏冈
'su'lu'ke 苏鲁克
'su'meng'qing 苏梦清
'su'pu 苏普
'su'quan 苏荃
'su'xi'zhi 苏习之
'su'xing'he 苏星河
'su'zhe 苏辙
'suan'ru'wen'ren 酸儒文人
'sun'bu'er 孙不二
'sun'da'shan 孙大善
'sun'fu'hu 孙伏虎
'sun'gang'feng 孙刚峰
'sun'jun 孙均
'sun'ke'tong 孙克通
'sun'lao'san 孙老三
'sun'po'po 孙婆婆
'sun'san'hui 孙三毁
'sun'si'ke 孙思克
'sun'wan'nian 孙万年
'sun'ze'you'fu 损则有孚
'sun'zhong'shou 孙仲寿
'sun'zhong'yin 孙仲尹
'suo'e'tu 索额图
'tai'bie'shan 太别山
'tai'huang'tai'hou 太皇太后
'tai'ji'jian 太极剑
'tai'ji'men 太极门
'tai'ji'quan 太极拳
'tai'lu'si 台麓寺
'tai'shan'jian'fa 泰山剑法
'tai'shan'pai 泰山派
'tai'shan'shi'ba'pan 泰山十八盘
'tai'si'fu'zhong 胎死腹中
'tai'xu'zi 太虚子
'tai'yi'pai 太乙派
'tai'yue'san'qing'feng 太岳三青峰
'tai'zu'bang 太祖棒
'tai'zu'chang'quan 太祖长拳
'tan'chu'duan 谭处端
'tan'di'ren 谭迪人
'tan'gong 谭公
'tan'po 谭婆
'tan'qing 谭青
'tan'tou'pu 潭头铺
'tan'wen'li 谭文理
'tan'zhi'feng 弹指峰
'tan'zhi'shen'tong 弹指神通
'tang'guang'xiong 唐光雄
'tang'he 汤和
'tang'liu'ye 唐六爷
'tang'nu'shan 唐努山
'tang'pei 汤沛
'tang'ruo'wang 汤若望
'tang'shi'jian'fa 唐诗剑法
'tang'wen'liang 唐文亮
'tang'yang 唐洋
'tang'zu'de 汤祖德
'tao'bai'sui 陶百岁
'tao'gan'xian 桃干仙
'tao'gen'xian 桃根仙
'tao'hong 桃红
'tao'hong'ying 陶红英
'tao'hua'dao 桃花岛
'tao'hua'ping 桃花坪
'tao'hua'xian 桃花仙
'tao'jun 陶钧
'tao'shi'fu 陶师傅
'tao'shi'xian 桃实仙
'tao'ye'xian 桃叶仙
'tao'zhai'gui 讨债鬼
'tao'zhi'xian 桃枝仙
'tao'zi'an 陶子安
'teng'yi'lei 腾一雷
'ti'hu'xiang'jie'yao 醍醐香解药
'ti'shou'shang'shi 提手上式
'ti'yuan'dian 体元殿
'ti'yun'zong 梯云纵
'tian'bo'guang 田伯光
'tian'chang'zhang'fa 天长掌法
'tian'di'tong'shou 天地同寿
'tian'gang'bei'dou'zhen 天罡北斗阵
'tian'gang'mei'hua'zhuang 天罡梅花桩
'tian'gui'nong 田归农
'tian'hong'chan'shi 天虹禅师
'tian'hua'luo'bu'jin 天花落不尽
'tian'jian'xiu 田见秀
'tian'jing 天镜
'tian'lang'zi 天狼子
'tian'long'ba'bu 天龙八部
'tian'long'di'ya'gu 天聋地哑谷
'tian'long'si 天龙寺
'tian'luo'di'wang'shi 天罗地网势
'tian'men'dao'ren 天门道人
'tian'ming'fang'zhang 天鸣方丈
'tian'qi'sha'dan'san 田七鲨胆散
'tian'qin'xia 天琴峡
'tian'qing'wen 田青文
'tian'shan'liu'yang'zhang 天山六阳掌
'tian'shan'pai 天山派
'tian'shan'tong'lao 天山童姥
'tian'shan'zhe'mei'shou 天山折梅手
'tian'shen'dao'xuan 天绅倒悬
'tian'sheng'xia 天声峡
'tian'song'dao'ren 天松道人
'tian'sun'zhi'jin 天孙织锦
'tian'wai'fei'long 天外飞龙
'tian'wai'lai'yun 天外来云
'tian'wang'bao'ming'dan 天王保命丹
'tian'wang'bu'xin'zhen 天王补心针
'tian'xia'wu'gou 天下无狗
'tian'xiang'duan'xu'jiao 天香断续胶
'tian'xin'jie'du'dan 天心解毒丹
'tian'xu 天虚
'tian'yi'dao'ren 天乙道人
'tian'yi'wu'feng 天衣无缝
'tian'zhu'fo'zhi 天竺佛指
'tian'zhu'jian'fa 天柱剑法
'tian'zhu'seng 天竺僧
'tian'zhu'seng'ren 天竺僧人
'tian'zhu'yun'qi 天柱云气
'tie'dan'zhuang 铁胆庄
'tie'fo'si 铁佛寺
'tie'gou'gong'fu 铁钩功夫
'tie'jian'men 铁剑门
'tie'jiang 铁匠
'tie'lian'zi 铁莲子
'tie'men'shuan'dao'fa 铁门闩刀法
'tie'mu'zhen 铁木真
'tie'niu'geng'di 铁牛耕地
'tie'pi'pa'shou 铁琵琶手
'tie'qi'tu'chu 铁骑突出
'tie'qin'ju 铁琴居
'tie'suo'heng'jiang 铁锁横江
'tie'xie'zi'jie'yao 铁蝎子解药
'tie'zhang 铁掌
'tie'zhang'bang 铁掌帮
'tie'zhang'feng 铁掌峰
'tie'zhi'jue 铁指诀
'tie'zhou'tui'fa 铁帚腿法
'ting'xiang'shui'xie 听香水榭
'tong'bai'xiong 童百熊
'tong'bi'quan 通臂拳
'tong'chi'dao 通吃岛
'tong'chui'shou 铜锤手
'tong'da'hai 童大海
'tong'gui'jian'fa 同归剑法
'tong'guo'gang 佟国纲
'tong'huai'dao 童怀道
'tong'jia'liu'xing'chui'fa 童家流星锤法
'tong'wa'xiang 铜瓦厢
'tong'xi'di'long'wan 通犀地龙丸
'tong'yuan'gu 通元谷
'tong'zhao'he 童兆和
'tong'zhuo'hou'sheng 同桌后生
'tong'zi 童子
'tou'gu'da'xue 透骨打穴
'tu'bi'weng 秃笔翁
'tu'er'bu'qing 图尔布青
'tu'hai'dao 图海道
'tu'ru'qi'lai 突如其来
'tui'chuang'wang'yue 推窗望月
'tuo'jian'xi'qian'heng 脱剑膝前横
'tuo'lei 拖雷
'tuo'ni'dai'shui 拖泥带水
'wa'er'la'qi 瓦尔拉齐
'wan'an'si 万安寺
'wan'da'ping 万大平
'wan'gui 万圭
'wan'guo'yang'zong'zhou 万国仰宗周
'wan'hu'dao'yi'sheng 万户捣衣声
'wan'hua'jian'fa 万花剑法
'wan'jie'gu 万劫谷
'wan'li'feng 万里风
'wan'lu'lei'ting 万路雷霆
'wan'miao'shan'zhuang 万妙山庄
'wan'qing'lan 万庆澜
'wan'she'xiong'yong 万蛇汹涌
'wan'shou'shan'zhuang 万兽山庄
'wan'yan'a'gu'da 完颜阿古打
'wan'yan'hong'lie 完颜洪烈
'wan'yan'hong'xi 完颜洪熙
'wan'yan'ping 完颜萍
'wan'yue'chao'zong 万岳朝宗
'wan'zhen'shan 万震山
'wan'zi'qian'hong 万紫千红
'wang'ba'shuai 王八衰
'wang'bao'bao 王保保
'wang'bo'fen 王伯奋
'wang'cheng 王诚
'wang'chu'yi 王处一
'wang'dao 王道
'wang'er'shu 王二叔
'wang'fu'ren 王夫人
'wang'hai'feng 望海峰
'wang'han 王罕
'wang'hao'tian 汪浩天
'wang'jia'ju 王家驹
'wang'jia'jun 王家骏
'wang'jian'jie 王剑杰
'wang'jian'ying 王剑英
'wang'jin'bao 王进宝
'wang'lao'liu 王老六
'wang'nan'gu 王难姑
'wang'pan'shan 王盘山
'wang'qi 王琪
'wang'shi'san 王十三
'wang'shi'xiong 王师兄
'wang'tan 王潭
'wang'tie'e 汪铁鹗
'wang'tie'jiang 王铁匠
'wang'wan'ren 王万仞
'wang'wan'yi 汪万翼
'wang'wei'yang 王维扬
'wang'wei'zhong 王惟忠
'wang'wu'tong 王武通
'wang'xiao'feng 汪啸风
'wang'yu'yan 王语嫣
'wang'yuan'ba 王元霸
'wang'zhang'gui 王掌柜
'wang'zhi'tan 王志坦
'wang'zhong'ping 王仲萍
'wang'zhong'qiang 王仲强
'wang'zi'si'dao 王字四刀
'wei'bi 卫璧
'wei'chun'hua 卫春华
'wei'chun'hua 韦春花
'wei'si'niang 卫四娘
'wei'tian'wang 卫天望
'wei'tuo'chu 韦陀杵
'wei'tuo'men 韦陀门
'wei'tuo'zhang 韦陀掌
'wei'xiao'bao 韦小宝
'wei'yi'xiao 韦一笑
'wei'zhen'ma'fa 威震玛法
'wei'zhou'zuo 卫周祚
'wen'cang'song 闻苍松
'wen'fang'da 温方达
'wen'fang'shan 温方山
'wen'fang'shi 温方施
'wen'fang'wu 温方悟
'wen'fang'yi 温方义
'wen'ji'gui'han 文姬归汉
'wen'ju'lou 问菊楼
'wen'jun'dang'lu 文君当炉
'wen'nan'yang 温南扬
'wen'qing 温青
'wen'ren'hou 温仁厚
'wen'tai'lai 文泰来
'wen'wan'fu 闻万夫
'wen'xian'sheng 闻先生
'wen'yi 温仪
'wen'you'dao 温有道
'wen'you'fang 温有方
'wen'zheng 温正
'wen'zui'weng 文醉翁
'wo'kuo'tai 窝阔台
'wo'ma'dian'guang'jian'yi'zi'hui'jian'men 沃玛电光剑一字慧剑门
'wu'ba'gang 五霸岗
'wu'bai'ying 吴柏英
'wu'bao'hua'mi'jiu 五宝花蜜酒
'wu'bao'yu 吴宝宇
'wu'bian'luo'mu 无边落木
'wu'chang'dan 无常丹
'wu'chang'dou'suo 无常抖索
'wu'chang'feng 吴长风
'wu'chang'gui 无常鬼
'wu'chang'suo'ming 无常锁命
'wu'chen 无尘
'wu'chen'dao'ren 无尘道人
'wu'chen'dao'zhang 无尘道长
'wu'da'peng 吴大鹏
'wu'dai'fu'jian 五大夫剑
'wu'dang'chang'quan 武当长拳
'wu'dang'pai 武当派
'wu'dao'tong 吴道通
'wu'dou'mi'shen'gong 五斗米神功
'wu'du'shen'zhang 五毒神掌
'wu'du'shen'zhang'jie'yao 五毒神掌解药
'wu'du'shi'xin'san 五毒失心散
'wu'dun'ru 武敦儒
'wu'fu 五符
'wu'gen'dao'ren 无根道人
'wu'gu 五姑
'wu'guang'sheng 吴光胜
'wu'gui'tou'cha 五鬼投叉
'wu'guo'dong 吴国栋
'wu'hu'duan'men'dao 五虎断门刀
'wu'hua'gong 五华宫
'wu'ji'xuan'gong'quan 无极玄功拳
'wu'jiao'yan'zhi'wei'juan'shu 无教艳质为眷属
'wu'jin'xia 乌金峡
'wu'jing'cao 吴劲草
'wu'kan 吴坎
'wu'lan'shan 乌兰山
'wu'lao'da 乌老大
'wu'li'shen 吴立身
'wu'liang 吴良
'wu'liang'jian 无量剑
'wu'liang'jian'fa 无量剑法
'wu'liang'shan 无量山
'wu'lie 武烈
'wu'ling'jun 吴领军
'wu'liu'po 吴六破
'wu'liu'qi 吴六奇
'wu'luo'qing'yan'zhang 五罗轻烟掌
'wu'ming 武铭
'wu'ping 吴平
'wu'qing'lie 吴青烈
'wu'qing'ying 武青婴
'wu'qing'zi 无青子
'wu'san'gui 吴三桂
'wu'san'niang 武三娘
'wu'san'tong 武三通
'wu'se 无色
'wu'se'cai'xie'jie'yao 五色彩蝎解药
'wu'se'wu'xiang 无色无相
'wu'sheng'wu'se 无声无色
'wu'shuang'wu'dui 无双无对
'wu'tai'shan'er'shi'si'lu'fu'mo'zhang 五台山二十四路伏魔杖
'wu'tai'shan'qing'liang'si 五台山清凉寺
'wu'tian'de 吴天德
'wu'wang'a'pu 乌旺阿普
'wu'xian'dui'xu 五贤对叙
'wu'xiang'an 无相庵
'wu'xiang'chan'shi 无相禅师
'wu'xiang'jie'zhi 无相劫指
'wu'xiang'yin'gang 无相音罡
'wu'xing'fen 无形粉
'wu'xing'lian'huan'quan 五行连环拳
'wu'xing'liu'he'zhang 五行六合掌
'wu'xing'zhen 五行阵
'wu'xiu'wen 武修文
'wu'ya'shan 乌鸦山
'wu'ya'zi 无崖子
'wu'ying'huan'tui 无影幻腿
'wu'ying'xiong 吴应熊
'wu'yue'dao'wei'qing 五岳倒为轻
'wu'zhen 吴祯
'wu'zhi'rong 吴之荣
'wu'zhong'chu'jian 雾中初见
'wu'zhong'sheng'you 无中生有
'wu'zhuan'you'ming 五转幽冥
'xi'ao'tu'san'shi 西奥图三世
'xi'bao 西宝
'xi'chuan'shuang'xia 西川双侠
'xi'chuang'ye'hua 西窗夜话
'xi'du'zhang'fa 西毒杖法
'xi'feng'dao'juan 西风倒卷
'xi'hua'zi 西华子
'xi'ling'dao'ren 西灵道人
'xi'men'guan'zhi 西门观止
'xi'tie'men 西铁门
'xi'xia'gong'nv 西夏宫女
'xi'xia'hui'ren 西夏回人
'xi'xing'da'fa 吸星大法
'xi'xuan'men 西玄门
'xi'yi'jian 希夷剑
'xi'yi'xia 希夷匣
'xi'zhang'lao 奚长老
'xia'gu'tian'feng 峡谷天风
'xia'guo'xiang 夏国相
'xia'ke'dao 侠客岛
'xia'ke'xing 侠客行
'xia'lao'quan'shi 夏老拳师
'xia'xue'yi 夏雪宜
'xia'yun'hui'rao 霞云回绕
'xia'zhi'dao 虾峙岛
'xia'zhou 夏胄
'xian'chou'xia 仙愁峡
'xian'du'pai 仙都派
'xian'du'shan 仙都山
'xian'fu'ju 仙福居
'xian'guo'xin'ling'yin 闲过信陵饮
'xian'jian'zhan'long 仙剑斩龙
'xian'ren'zhi'lu 仙人指路
'xian'tian'gong 先天功
'xian'yu'tong 鲜于通
'xiang'da'nian 向大年
'xiang'fei'miao 湘妃庙
'xiang'ge'lou'tai 响隔楼台
'xiang'guo'fu'ren 相国夫人
'xiang'long'shi'ba'zhang 降龙十八掌
'xiang'mo'chan'zhang 降魔禅杖
'xiang'mo'dao'fa 降魔刀法
'xiang'ru'fei'fei 想入非非
'xiang'wen'tian 向问天
'xiang'xue'ting 香雪厅
'xiang'zhang'lao 项长老
'xiao'ao'jiang'hu 笑傲江湖
'xiao'ban'he 萧半和
'xiao'bang'tou 小棒头
'xiao'cui 小翠
'xiao'feng 小凤
'xiao'gui'jiao'men 小鬼叫门
'xiao'gui'zi 小桂子
'xiao'hong 小虹
'xiao'jing'hu 小镜湖
'xiao'ju 小菊
'xiao'lian'gui 笑脸鬼
'xiao'lian'heng'chen 小怜横陈
'xiao'ling 小玲
'xiao'long'nv 小龙女
'xiao'qin'na'shou 小擒拿手
'xiao'sha'mi 小沙弥
'xiao'shi'sheng'long 箫史乘龙
'xiao'shi'sheng'long 萧史乘龙
'xiao'wang'jiang'jun 小王将军
'xiao'wu'xiang'gong 小无相功
'xiao'xiang'zi 潇湘子
'xiao'xuan'zi 小玄子
'xiao'yao'pai 逍遥派
'xiao'yao'san 逍遥散
'xiao'yao'you 逍遥游
'xiao'yao'zi 逍遥子
'xiao'ye'cha'gun 小夜叉棍
'xiao'yuan'shan 萧远山
'xiao'yuan'yi'ju 小园艺菊
'xiao'zhao 小昭
'xiao'zhong'hui 萧中慧
'xie'bu'dang 谢不当
'xie'da'gou'bei 斜打狗背
'xie'qian'gong 蟹钳功
'xie'xun 谢逊
'xie'yan'ke 谢烟客
'xin'guo'liang 辛国梁
'xin'jing'rou'tiao 心惊肉跳
'xin'ran 辛然
'xin'shuang'qing 辛双清
'xin'xi 心溪
'xin'yan 心砚
'xin'yi'qi'hun'yuan'gong 心意气混元功
'xing'chi 行痴
'xing'dian 行颠
'xing'hua'chun'yu 杏花春雨
'xing'shi'zou'rou 行尸走肉
'xing'xing'xia 星星峡
'xing'xiu'pai 星宿派
'xiong'ba'qun'shan 雄霸群山
'xiong'er'shan 熊耳山
'xiong'huang'she'yao 雄黄蛇药
'xiong'huang'yao'jiu 雄黄药酒
'xiong'huang'zhu 雄黄珠
'xiong'yuan'xian 熊元献
'xiu'li'qian'kun 袖里乾坤
'xiu'zhong'zhi 袖中指
'xu'da 徐达
'xu'ming'ba'wan 续命八丸
'xu'shi'fen'jin 虚式分金
'xu'tian'chuan 徐天川
'xu'tian'hong 徐天宏
'xu'xue'ting 许雪亭
'xu'zhang'lao 徐长老
'xu'zheng 徐铮
'xu'zhu 虚竹
'xu'zhuo'cheng 许卓诚
'xuan'bing'bi'huo'jiu 玄冰碧火酒
'xuan'ci 玄慈
'xuan'he'da'liang'cheng 煊赫大梁城
'xuan'ji 玄寂
'xuan'kong'si 悬空寺
'xuan'ku 玄苦
'xuan'ming'dao 玄冥岛
'xuan'ming'er'lao 玄冥二老
'xuan'ming'shen'zhang 玄冥神掌
'xuan'nan 玄难
'xuan'qiong'bao'dian 玄穹宝殿
'xuan'sheng 玄生
'xuan'su'zhuang 玄素庄
'xuan'tian'zhi 玄天指
'xuan'tong 玄痛
'xuan'xu'dao'fa 玄虚刀法
'xuan'xuan'dao'fa 玄玄刀法
'xuan'ye 玄烨
'xuan'zhen'dao'ren 玄真道人
'xue'dao'dao'fa 血刀刀法
'xue'dao'lao'zu 血刀老祖
'xue'dao'men 血刀门
'xue'gong'yuan 薛公远
'xue'hua'liu'chu 雪花六出
'xue'mu'hua 薛慕华
'xue'que 薛鹊
'xue'shan'fei'hu 雪山飞狐
'xue'shan'jian'fa 雪山剑法
'xue'shan'pai 雪山派
'xue'shen'wan 雪参丸
'xue'shen'yu'chan'wan 雪参玉蟾丸
'xue'yong'lan'guan 雪拥蓝关
'xue'yong'lan'qiao 雪拥蓝桥
'xue'zhong'qi'lian 雪中奇莲
'xun'lei'jian 迅雷剑
'ya'ba 哑巴
'ya'po'po 哑婆婆
'ya'shao'gong 哑梢公
'yan'bo'qian 言伯乾
'yan'da'ping 言达平
'yan'hang'dao 雁行刀
'yan'hang'qing'gong 雁行轻功
'yan'heng 颜恒
'yan'hui'tian'nan 雁回天南
'yan'hui'zhu'rong 雁回祝融
'yan'ji 阎基
'yan'jia'quan 言家拳
'yan'jiao'si 演教寺
'yan'ma'ma 严妈妈
'yan'men'tuo'bo 沿门托钵
'yan'po'jiu'chong 雁破九重
'yan'qing 燕青
'yan'qing'quan 燕青拳
'yan'qing'si 延庆寺
'yan'san'xing 严三星
'yan'shi'kui 阎世魁
'yan'shi'zhang 阎世章
'yan'suo'wu'long 烟锁雾拢
'yan'wang'dian'ming 阎王点名
'yan'wang'zhi'bi 阎王掷笔
'yan'yan'gong 炎炎功
'yan'zhi'gao 胭脂膏
'yan'zi'wu 燕子坞
'yang'bin 杨宾
'yang'bu'hui 杨不悔
'yang'cheng'xie 杨成协
'yang'ding'tian 阳顶天
'yang'fu'ren 杨夫人
'yang'guang 杨光
'yang'guo 杨过
'yang'jia'qiang 杨家枪
'yang'jie'jie 杨姐姐
'yang'jing'ting 杨景亭
'yang'kang 杨康
'yang'lao'ling'gong 杨老令公
'yang'lian'ting 杨莲亭
'yang'peng'ju 杨鹏举
'yang'shan'die'die 阳山迭迭
'yang'tie'xin 杨铁心
'yang'wu'jian 养吾剑
'yang'xiao 杨逍
'yang'xing'dian 养性殿
'yang'yi'zhi 杨溢之
'yang'zhong'hui 杨中慧
'yao'bi'da 姚必达
'yao'bing 药饼
'yao'bo'dang 姚伯当
'yao'chun 姚春
'yao'qing'quan 姚清泉
'yao'tian'jin'bai'bo 遥天浸白波
'yao'wang'yuan 药王院
'ye'ban'feng'yan 夜半烽烟
'ye'chang'qing 叶长青
'ye'dou'feng 业斗峰
'ye'er'niang 叶二娘
'ye'lv'chu'cai 耶律楚材
'ye'lv'hong'ji 耶律洪基
'ye'lv'jin 耶律晋
'ye'lv'mo'ge 耶律莫哥
'ye'lv'nie'lu'gu 耶律涅鲁古
'ye'lv'qi 耶律齐
'ye'lv'yan 耶律燕
'ye'lv'zhong'yuan 耶律重元
'ye'ma'ben'chi 野马奔驰
'ye'xiu'yuan'yang 夜绣鸳鸯
'yi'chang'miao 异娼庙
'yi'da'biao 易大彪
'yi'deng'da'shi 一灯大师
'yi'guan'bai'mian'liu 衣冠拜冕旒
'yi'guo'zi 易国梓
'yi'he 仪和
'yi'hun'da'fa 移魂大法
'yi'ji 易吉
'yi'jian'feng'mo 一剑封魔
'yi'jin'duan'gu'pian 易筋煅骨篇
'yi'jin'jing 易筋经
'yi'lin 仪琳
'yi'pai'liang'san 一拍两散
'yi'qi'su'ni'sheng 意气素霓生
'yi'qing 仪清
'yi'qing'yuan 怡情院
'yi'san'niang 易三娘
'yi'sheng 义生
'yi'shi'ba'lu'deng'tang'quan 一十八路登堂拳
'yi'shi'er'lu'ru'shi'quan 一十二路入室拳
'yi'shi'ye 易师爷
'yi'tang'zhu 易堂主
'yi'tian'tu'long'bi'fa 倚天屠龙笔法
'yi'tian'tu'long'ji 倚天屠龙记
'yi'wei'ting 一苇亭
'yi'xiao'feng'sheng 一啸风生
'yi'yang'zhi 一阳指
'yi'yi'dai'lao 以逸待劳
'yi'zi'dian'jian 一字电剑
'yin'feng'dao 阴风刀
'yin'feng'hou 阴风吼
'yin'he'heng'kong 银河横空
'yin'hen'tun'sheng 饮恨吞声
'yin'ji 殷吉
'yin'jin 殷锦
'yin'ke'xi 尹克西
'yin'li 殷离
'yin'li'ting 殷梨亭
'yin'ping'zha'po 银瓶乍破
'yin'shan'zhang'da'jiu'shi 阴山掌大九式
'yin'su'su 殷素素
'yin'suo'jin'ling'suo'fa 银索金铃索法
'yin'tian'zheng 殷天正
'yin'tuo'luo'zhua 因陀罗抓
'yin'wu'fu 殷无福
'yin'wu'lu 殷无禄
'yin'wu'shou 殷无寿
'yin'yang'bao'shan'da'xue'gong'fu 阴阳宝扇打穴功夫
'yin'yang'he'he'san 阴阳和合散
'yin'yang'jue 阴阳诀
'yin'ye'wang 殷野王
'yin'zhang'gai 尹章垓
'yin'zhi'ping 尹志平
'yin'zhong'xiang 殷仲翔
'ying'bai'luo 英白罗
'ying'e 英颚
'ying'gu 瑛姑
'ying'hua'dian 英华殿
'ying'she'sheng'si'bo 鹰蛇生死搏
'ying'song 应松
'ying'xiong'san'zhao 英雄三招
'ying'zhang'lao 英长老
'ying'zhao'gong 鹰爪功
'ying'zhao'li 鹰爪力
'ying'zhao'qin'na'shou 鹰爪擒拿手
'ying'zhao'shou 鹰爪手
'ying'zhao'yan'hang'men 鹰爪雁行门
'yong'quan'si 涌泉寺
'yong'ren'zi'rao 庸人自扰
'yong'shou'gong 永寿宫
'yong'yi'xia'yao 庸医下药
'you'cao 幽草
'you'de'sheng 尤得胜
'you'feng'lai'yi 有凤来仪
'you'ji 游骥
'you'ju 游驹
'you'lan'jian 幽兰涧
'you'long'tan'zhao 游龙探爪
'you'sheng'gong 佑圣宫
'you'sheng'guan 佑圣观
'you'shu'tong 右书僮
'you'suo'bu'wei'xuan 有所不为轩
'you'tan'zhi 游坦之
'you'xun 游迅
'yu'ba 于八
'yu'bi'shan'zhuang 玉笔山庄
'yu'cang'hai 余沧海
'yu'chao'feng 俞朝奉
'yu'chi'lian 尉迟连
'yu'da'fei'hua'jian'fa 雨打飞花剑法
'yu'dai'wei'yao 玉带围腰
'yu'dai'yan 俞岱岩
'yu'dong'hei'shi'dan 玉洞黑石丹
'yu'fan'tou'zi 鱼贩头子
'yu'feng'jiang 玉蜂浆
'yu'feng'zhen'jie'yao 玉蜂针解药
'yu'guan'jia 于管家
'yu'guang'biao 郁光标
'yu'guang'hao 于光豪
'yu'hua'ge 雨花阁
'yu'ji'wan 玉肌丸
'yu'ji'zi 玉玑子
'yu'jin'tian'chi 玉进天池
'yu'lei'feng 玉垒峰
'yu'lian'zhou 俞连舟
'yu'lin 玉林
'yu'ling'dao'ren 玉灵道人
'yu'ling'san 玉灵散
'yu'long'su'he'san 玉龙苏合散
'yu'nv'ci 玉女祠
'yu'nv'jian'fa 玉女剑法
'yu'nv'jian'shi'jiu'shi 玉女剑十九式
'yu'nv'su'xin'jian 玉女素心剑
'yu'nv'su'xin'jian'fa 玉女素心剑法
'yu'nv'xin'jing 玉女心经
'yu'po'po 余婆婆
'yu'qing'chi 玉清池
'yu'qing'zi 玉磬子
'yu'ren 渔人
'yu'ren'hao 于人豪
'yu'ren'yan 余人彦
'yu'ru'yi 玉如意
'yu'sao 于嫂
'yu'sou'gou'fa 渔叟钩法
'yu'sui'kun'gang 玉碎昆冈
'yu'wan'ting 于万亭
'yu'xiao'jian'fa 玉箫剑法
'yu'xiao'jian'fa 玉萧剑法
'yu'xu'dong 玉虚洞
'yu'xu'guan 玉虚观
'yu'yi'dao 羽衣刀
'yu'yin'zi 玉音子
'yu'yu'tong 余鱼同
'yu'yue'yu'yuan 鱼跃于渊
'yu'zhao'xing 余兆兴
'yu'zhen'san 玉真散
'yu'zhen'zi 玉真子
'yu'zhong'zi 玉钟子
'yuan'bei 元悲
'yuan'cheng'dao'ren 元澄道人
'yuan'cheng'zhi 袁承志
'yuan'fu'ren 袁夫人
'yuan'gen 缘根
'yuan'guan'nan 袁冠南
'yuan'guang'bo 元广波
'yuan'hun'chan'zu 怨魂缠足
'yuan'ling 沅陵
'yuan'mei 袁枚
'yuan'shang 元伤
'yuan'shi'xiao 袁士宵
'yuan'shi'xiao 袁士霄
'yuan'tong 元痛
'yuan'xin 圆心
'yuan'yang'dao 鸳鸯刀
'yuan'yang'hu 鸳鸯湖
'yuan'ye 圆业
'yuan'yi'fang 元义方
'yuan'yin 圆音
'yuan'zhen 圆真
'yuan'zi'yi 袁紫衣
'yue'bu'qun 岳不群
'yue'hua'feng 月华峰
'yue'jia'san'shou'si'men'quan'fa 岳家散手四门拳法
'yue'lao'san 岳老三
'yue'ling'shan 岳灵珊
'yue'luo'xi'shan 月落西山
'yue'nv'jian'fa 越女剑法
'yun'dao'zhu 云岛主
'yun'he 云鹤
'yun'heng'qin'ling 云横秦岭
'yun'heng'xi'ling 云横西岭
'yun'jin'lou 云锦楼
'yun'qi'si 云栖寺
'yun'qiang'dao 云强盗
'yun'shou 云手
'yun'su'mei 云素梅
'yun'zhong'he 云中鹤
'yun'zhou'qin'jia'zhai 云州秦家寨
'zeng'rou 曾柔
'zha'mu'he 札木合
'zhai'xing'zi 摘星子
'zhan'chun 詹春
'zhan'fei 展飞
'zhan'jiao'quan 斩蛟拳
'zhan'yi'shi'ba'die 沾衣十八跌
'zhan'zi'jue 粘字诀
'zhang'a'sheng 张阿生
'zhang'an'guan 张安官
'zhang'bang'long'tou 掌棒龙头
'zhang'bo'long'tou 掌钵龙头
'zhang'chao'tang 张朝唐
'zhang'chun'jiu 张春九
'zhang'cui'shan 张翠山
'zhang'dan'yue 张淡月
'zhang'er'shu 张二叔
'zhang'fei'xiong 张飞雄
'zhang'fu'ren 张夫人
'zhang'guan'jia 张管家
'zhang'jin 章进
'zhang'jin'ao 张金鏊
'zhang'jiu 张九
'zhang'jun'bao 张君宝
'zhang'kang 张康
'zhang'kang'nian 张康年
'zhang'lao'san 章老三
'zhang'ma 张妈
'zhang'quan'xiang 张全祥
'zhang'ruo'gu 张若谷
'zhang'san 张三
