'ai'dui'le 哀对乐
'yan'qian'jiu'ke'ri'dan'han 筵前酒客日耽酣
'yan'qian'wu'ji 筵前舞妓
'yan'qing'long'an'liu 烟轻笼岸柳
'yan'que'dui'peng'kun 燕雀对鹏鹍
'yan'shi'kong'zi'wen'xin'zhai 颜师孔子问心斋
'yan'suo'dui'yu'li 烟蓑对雨笠
'yan'tiao'chu 燕调雏
'yan'ting'gan 沿庭柑
'yan'wo'di'xiong 燕我弟兄
'yan'wu'dui'xiu'wen 偃武对修文
'yan'wu'dui'ying'fei 燕舞对莺飞
'yan'xiang'lou 颜巷陋
'yan'yu'fei 燕于飞
'yan'zi'dui'ying'er 燕子对莺儿
'yang'che'dui'he'jia 羊车对鹤驾
'yang'dui'zhan 仰对瞻
'yang'gong'de'da 羊公德大
'yang'hua'dui'gui'ye 杨花对桂叶
'yang'jiao'feng'yao'gu'jiu'pei 羊角风摇沽酒旆
'yang'ju'shi'shan'gong'zhi'zhi 养狙是山公之智
'yang'liu'an 杨柳岸
'yang'liu'he'yan'peng'ze'xian 杨柳和烟彭泽县
'yang'liu'lv'zhe'wu'liang'zhai 杨柳绿遮无亮宅
'yang'liu'zhou'mian'chi 杨柳昼眠迟
'yang'zi'kou'zhong'fei'bai'feng 扬子口中飞白凤
'yao'che'dui'yi'qi 轺车对驿骑
'yao'dui'shun 尧对舜
'yao'dui'song 姚对宋
'yao'lin'wan'qing'yan'bo 遥临万倾烟波
'yao'lu'cha'ding 药炉茶鼎
'yao'pu'dui'hua'cun 药圃对花村
'yao'shi'jie'pan'chang'xiang'mi 尧时阶畔长祥蓂
'yao'tian'dui'shun'ri 尧天对舜日
'yao'tiao'qing'cheng'nv 窈窕倾城女
'ye'ban'gao'zhe'qian'li'yue 夜半高遮千里月
'ye'chu'dui'cun'chong 野杵对村舂
'ye'dian'ji'jia 野店几家
'ye'du'yan'chuan'yang'liu'yu 野渡燕穿杨柳雨
'ye'fu'dui'gong'pin 野妇对宫嫔
'ye'fu'wu'can'sao 野妇务蚕缫
'ye'gong'long 叶公龙
'ye'jiang'lan 夜将阑
'ye'qin'shi'chen'xing 夜寝时晨兴
'ye'shao'yan'teng'hong'shuo'shuo 野烧焰腾红烁烁
'ye'shou'dui'shan'qin 野兽对山禽
'ye'sou'dui'xi'tong 野叟对溪童
'ye'wai'rong'rong'ruan'cao 野外茸茸软草
'ye'yan'dui'chun'you 夜宴对春游
'ye'yin'dui'chen'can 夜饮对晨餐
'ye'yin'yi'yan'yan 夜饮已厌厌
'ye'yue'feng'tai'xiao 夜月凤台箫
'ye'yue'you'ti'wu 夜月有啼乌
'yi'chuan'shu'she'xiao 一椽书舍小
'yi'di'yang'liu'lv 一堤杨柳绿
'yi'dui'nan 易对难
'yi'dui'tong 异对同
'yi'geng'dui'yan'chan 议鲠对言谗
'yi'jia'bai'tu'mi 一架白荼蘼
'yi'jian'guo'jia'long'zhi 已见国家隆治
'yi'jiao'chen'zhu 意骄陈主
'yi'kan'song'jun'tong'ao'sui 倚槛松筠同傲岁
'yi'ke'qian'jin 一刻千金
'yi'li'chun'yu'shen'zhi'shi 一犁春雨甚知时
'yi'lun'qiu'ye'yue 一轮秋夜月
'yi'lun'yue'jing 一轮月镜
'yi'min'shi'zhi 逸民适志
'yi'nian'hao'jing 一年好景
'yi'ping'jue'sheng 一枰决胜
'yi'qi'dui'san'jian 一启对三缄
'yi'qi'yu'shu'shao'ping'gua 一畦雨熟邵平瓜
'yi'que'wang'tong 诣阙王通
'yi'ren'shu'duo'lei'zhi'bei 邑人竖堕泪之碑
'yi'ri'dui'qian'nian 一日对千年
'yi'shan'dui'jun'jing 移山对浚井
'yi'shuang'xi'chi 一双鸂鶒
'yi'suo'yan'yu 一蓑烟雨
'yi'wan'lv'shui'yu'cun'xiao 一湾绿水渔村小
'yi'xing'qi'zhi'e'er'jin 逸兴岂知俄尔尽
'yi'yan'dui'qiu'yu 弋雁对求鱼
'yi'yan'dui'shuang'fu 一雁对双凫
'yi'yong'bing'xi'han'guo'shui 已咏冰兮寒过水
'yi'you'cang'hong'ci'bei'sai 已有苍鸿辞北塞
'yi'yuan'chun'yu'xing'hua'hong 一园春雨杏花红
'yi'zan'bai'yan'zhi'chai 宜簪白燕之钗
'yi'zhen'dui'feng'ya 蚁阵对蜂衙
'yi'zhi'kui 一只夔
'yi'zun'jiu'dai'gu'ren'qing 一樽酒待故人倾
'yin'cheng'shang'yue'zhi'dai 吟成赏月之待
'yin'e'dui'feng'yong 吟哦对讽咏
'yin'hu'zhuo'jiu'shang'tao'qian 引壶酌酒尚陶潜
'yin'jiu'qi'zhi'qi'zui'mao 饮酒岂知欹醉帽
'yin'li'bai'yi'hu'zhi'jiu 饮李白一壶之酒
'yin'lu'dui'tong'tuo 银鹿对铜驼
'yin'sheng'wen'pu'shang 淫声闻濮上
'ying'huang'dui'die'ban 莺簧对蝶板
'ying'peng'dui'yan'you 莺朋对燕友
'ying'ti'dui'que'zao 莺啼对鹊噪
'ying'wu'dui'ji'ling 鹦鹉对鹡鸰
'ying'xian'han'di 迎仙汉帝
'ying'xian'huan 莺睍睆
'ying'zhi'chuang'wai'gui'shen'jing 应知窗外鬼神惊
'ying'zhuan'yuan'can'chun 莺啭怨残春
'yong'ba'yuan'yang'wen'zuo'zhen 慵把鸳鸯文作枕
'yong'he'bo'ya 永和博雅
'yong'nan'xun 咏南薰
'you'dui'lie 优对劣
'you'dui'shang 犹对尚
'you'dui'xian 幽对显
'you'feng'chu'zi'zheng'pi'jin 有风楚子正披襟
'you'guan'qing'si'shui 有官清似水
'you'jiu'ruan'diao'xi'yong'jie 有酒阮貂奚用解
'you'ruo'dui'xiang'ru 有若对相如
'you'si'xun'seng 幽寺寻僧
'you'ying'dui'wu'sheng 有影对无声
'you'zi'ai'liang'xiao'guang'jing 游子爱良宵光景
'yu'ban'ma'chang'si 虞坂马长嘶
'yu'chang'tai'hen'qin'bi'qi 雨长苔痕侵壁砌
'yu'cong'cheng 玉瑽琤
'yu'da'cun'chong'xin'mu'li 雨打村重新牧笠
'yu'da'dui'feng'chui 雨打对风吹
'yu'di'zi'hui'qin 虞帝自挥琴
'yu'dui'lie 渔对猎
'yu'dui'tang 禹对汤
'yu'huo'dui'chan'deng 渔火对禅灯
'yu'jia'dui'yin'gang 玉斝对银釭
'yu'jing'jiu'qiu'lian 玉井九秋莲
'yu'lin'ling 雨淋铃
'yu'lv'dui'jin'ke 玉律对金科
'yu'mei'fei 雨梅肥
'yu'mian'mian 雨绵绵
'yu'nuan'shang'chun'bing 鱼暖上春冰
'yu'qi'lin 玉麒麟
'yu'qian'ting'yi'nao 雨前庭蚁闹
'yu'qing'jiu'huan'fu 雨晴鸠唤妇
'yu'sai'dui'lan'ya 榆塞对兰崖
'yu'she'qing'you'lin'shui'an 渔舍清幽临水岸
'yu'shun'dui'xi'nong 禹舜对羲农
'yu'tu'dui'jin'niao 玉兔对金鸟
'yu'tu'dui'yin'chan 玉兔对银蟾
'yu'wang'qu'fa'yi'chen'chou 禹王取法以陈畴
'yu'xie'fan 玉屑饭
'yu'xue'dui'feng'lei 雨雪对风雷
'yu'xue'dui'lei'ting 雨雪对雷霆
'yu'yan'dui'ti'jiu 语燕对啼鸠
'yu'you'chi'mian'shui 鱼游池面水
'yu'you'he'ye'zhao 鱼游荷叶沼
'yu'yu'dui'jin'jing 玉宇对金茎
'yu'yu'yu 鱼圉圉
'yu'yue'zhao 鱼跃沼
'yu'zhen'dui'jin'sheng 玉振对金声
'yu'zhou'yi'yun'tun 雨骤以云屯
'yu'zhou'zheng'xiang'xue'zhong'yi 渔舟正向雪中移
'yuan'an'dui'wei'di 远岸对危堤
'yuan'jin'dui'gao'di 远近对高低
'yuan'li'zhou'zhong'xie'guo'tai 元礼舟中携郭泰
'yuan'liang'nan'chuang'jin'ri'ao 元亮南窗今日傲
'yuan'xiao'ku'ai'ba'di'yue 猿啸苦哀巴地月
'yue'bang'dui'feng'fan 月榜对风帆
'yue'dui'wu 越对吴
'yue'liu'xi 月流西
'yue'man'yu'lou 月满庾楼
'yue'xie'dui'feng'ting 月榭对风亭
'yue'yi'mei'ying'shang'chuang'sha 月移梅影上窗纱
'yun'bin'hua'yan 云鬓花颜
'yun'dui'yu 云对雨
'yun'jiang'zuo'yu 云将作雨
'yun'xiao'wan'li 云霄万里
'zai'hua'dui'zhong'zhu 栽花对种竹
'zai'yong'di'tang'wei'wei 载咏棣棠韡韡
'zao'chao'chu'tui 早朝初退
'zao'hang'yuan'ke 早行远客
'zao'lv'li'ai'qin'fa'ku 造律吏哀秦法酷
'zao'mi'you'qian'yu 藻密有潜鱼
'zao'mu'dui'han'xuan 早暮对寒暄
'zao'wan'qi'chan 噪晚齐蝉
'zeng'dui'sun 增对损
'zhai'dui'kuan 窄对宽
'zhai'xiao'hao'pan'long 斋小号蟠龙
'zhan'shi'yao'gong 战士邀功
'zhan'zhan'chun'bo'qian'qing'jing 湛湛春波千顷净
'zhang'jun'ceng'wei'huai'shu'fu 张骏曾为槐树赋
'zhang'tu'wang 张兔网
'zhang'xiu'mu 张绣幕
'zhao'gong'zhou'tai'bao 召公周太保
'zhao'lu'zhui'zhu'ji 朝露缀珠玑
'zhao'se'dui'yu'shao 赵瑟对虞韶
'zhao'shu'che'yin'yi'nang'ying 照书车胤一囊萤
'zhao'yao'ba'huang 照耀八荒
'zhen'dui'qian 震对乾
'zhen'jing'bai'li 震惊百里
'zhen'man'song'chun'zhi'jiu 斟满送春之酒
'zhen'shang'dao'ge'xin'zhou'zhan 阵上倒戈辛纣战
'zheng'qian'zhan 郑虔毡
'zheng'quan'jin'tu'yi'gua'fen 争权晋土已瓜分
'zheng'wei'wu'gong 郑为武公
'zhi'bo'en'shen 智伯恩深
'zhi'cheng'dui'yan'sai 雉城对雁塞
'zhi'di'jin'sheng'sun'chuo'fu 掷地金声孙绰赋
'zhi'dui'shuang 只对双
'zhi'dui'yu 智对愚
'zhi'hao'chu'xian'sheng 纸号楮先生
'zhi'ji'dui'peng'hao 枳棘对蓬蒿
'zhi'jin'zhu'suo'cheng'wu'feng 织锦逐梭成舞凤
'zhi'jiu'dui'jia'yao 旨酒对嘉肴
'zhi'ju'qian'xun'yun'ling 直踞千寻云岭
'zhi'min'yi'deng'yin'weng'gui 治民异等尹翁归
'zhi'shao'shu'er'chang'hao'duan 枝梢倏尔长毫端
'zhi'xi'yue'duo 只悉月堕
'zhi'yin'ren'shuo'zheng'sheng'wa 知音人说郑声哇
'zhi'yong'chao'san 止用朝三
'zhi'zhong'zhan'ji'xing'wei'pang 治中展骥姓惟庞
'zhong'chen'bao'guo 忠臣报国
'zhong'chou'dui'gu'yan 众丑对孤妍
'zhong'dui'qing 重对轻
'zhong'dui'shi 终对始
'zhong'dui'wai 中对外
'zhong'gu'xiang'chuang'chuang 钟鼓响摐摐
'zhong'ju'you'xian'qian'shu'shao 种橘犹嫌千树少
'zhong'qiu'jia'jie'yue'chan'juan 中秋佳节月婵娟
'zhong'xin'an'she'ji 忠心安社稷
'zhong'you'guan 仲由冠
'zhou'chao'he'yong'pan'san'jian 周朝何用叛三监
'zhou'gong'shi'shuo'tuo'chi'xiao 周公诗说托鸱鸮
'zhou'gong'shi'si'zuo'jin'teng 周公誓死作金滕
'zhou'yin'xiang'tai 周因巷台
'zhou'yu'bu'zhong'chao 骤雨不终朝
'zhou'zhao'hu 周召虎
'zhou'zhen'da'ding'yi'rong'yi 周臻大定一戎衣
'zhu'bu'qi'luan'ming'you'lan 主簿栖鸾名有览
'zhu'cheng'wen 竹成文
'zhu'dao'de'wu'qian'yan 著道德五千言
'zhu'dui'jin'liang 铢对钅两
'zhu'jian'dui'mao'zhui 竹简对毛锥
'zhu'jiu'dui'peng'cha 煮酒对烹茶
'zhu'lian'dui'hua'dong 朱帘对画栋
'zhu'lian'qian'duo'bai 渚莲千朵白
'zhu'mie'dui'xiang'xiao 烛灭对香消
'zhu'sen'sen 竹森森
'zhu'tai'xu'lei'tu 筑台须垒土
'zhu'ting'you'ke 竹亭有客
'zhu'wang'gua'xu'yan 蛛网挂虚檐
'zhu'ye'dui'song'shao 竹叶对松梢
'zhu'yi'dui'chen'lao 主逸对臣劳
'zhu'ying'du'shu'zhai 竹映读书斋
'zhu'zhou'xi'fen'xu 煮粥惜焚须
'zhu'zhui'hua'shao 珠缀花梢
'zhuang'ba'zhong'jiang'jin'cha'bin 妆罢重将金插鬓
'zhuang'zhou'huo'fu 庄周活鲋
'zhuo'xiang'lao 酌香醪
'zi'dui'sun 子对孙
'zi'han'yu 子罕玉
'zi'hu'dui'cang'ying 紫鹄对苍鹰
'zi'li'zhai'qu'cong'shan'bei 紫梨摘去从山北
'zi'sheng'wan'wu 滋生万物
'zi'shou'dui'fei'pao 紫绶对绯袍
'zi'yan'dui'huang'li 紫燕对黄鹂
'zi'yun'chao 子云嘲
'zi'zhang'yan'xing'gui'shu'shen 子张言行贵书绅
'zong'jiao'dui'chui'tiao 总角对垂髫
'zui'dan'dui'yin'hun 醉胆对吟魂
'zui'dui'xing 醉对醒
'zui'hou'dui'shi'shi 醉侯对诗史
'zui'si'lu'jiu'tuo'tao'jin 醉思漉酒脱陶巾
'zui'zhong'yan'ting'guan'xian'sheng 醉中厌听管弦声
'zuo'fu'dui'guan'shu 作赋对观书
'zuo'jiu'gu'nan'wang'qu'nie 作酒固难忘曲蘖
'zuo'shang'man'zhen'san'ya'jue 座上满斟三雅爵
'zuo'si'wen'zu'fu'san'du 左思文足赋三都
