'a'mu'chang'ren'ce 阿母常仁恻
'jun'ai'lian'yao'yao'yu'cheng 君爱炼药药欲成
'jun'bu'jian'dong'chuan'jie'du'bing'ma'xiong 君不见东川节度兵马雄
'jun'bu'jian'jin'dai'wei'pei'jiang'yu'xiao 君不见近代韦裴蒋与萧
'jun'bu'jian'ke'lian'tong'bai'shang 君不见可怜桐柏上
'jun'bu'jian'peng'yue'hai'han'xin'zu 君不见彭越醢韩信俎
'jun'bu'jian'shi'fan'zhu'tian'shou'yi'gai 君不见释梵诸天寿亿垓
'jun'bu'jian'sui'chao'long'tou'lao 君不见隋朝陇头姥
'jun'bu'jian'yang'xia'feng'yun'hui'long'hu 君不见阳夏风云会龙虎
'jun'bu'ke'xi'qian'yi 君不可兮褰衣
'jun'bu'xing'xi'he'dai 君不行兮何待
'jun'bu'yong'tao'ta 君不用讨他
'jun'bu'yu'xi'ri'jiang'wan 君不御兮日将晚
'jun'cheng'zhi'shang'yu'yao'chi'zhi'shang'xi 君乘之觞于瑶池之上兮
'jun'du'he'wei'xi'shou'can'ji 君独何为兮守残籍
'jun'du'jing'hei'yi'shang'xin 君独静嘿以伤心
'jun'gu'wu'you'quan'jiao'tu 俊鹘无由拳狡兔
'jun'he'jie'jie 君何嗟嗟
'jun'he'wei'xi'kong'gu 君何为兮空谷
'jun'he'wei'xi'yan'jian 君何为兮偃蹇
'jun'he'you'yan 君何有焉
'jun'hou'bu'huang'chu 君侯不遑处
'jun'jia'shan'tou'song'shu'feng 君家山头松树风
'jun'jin'du'xing'shei'yu'yan 君今独醒谁与言
'jun'kan'ye'ye'dang'chuang'yue 君看夜夜当窗月
'jun'ma'ting'qu'xi'ji'qian'li 骏马停驱兮几千里
'jun'ning'bu'jian'ju'feng'fan'hai'huo'liao'yuan 君宁不见飓风翻海火燎原
'jun'ning'bu'yin'kai'jun'yan 君宁不饮开君颜
'jun'qi'si'ye 均其私耶
'jun'qi'ting'zai 君其听哉
'jun'wei'wo'shou'xi'le'wei'xiu 君为我守兮乐未休
'jun'wei'xiao'shao'shuo'feng'qi 骏尾萧梢朔风起
'jun'you'qi'fei'xi'guan'cheng'hou 君友漆妃兮管城侯
'jun'zai'you'xi'fu'he'shi 君再游兮复何时
'jun'zhi'lai'xi'wu'chu'chu 君之来兮毋除除
'jun'zhu'yu'yi 君著玉衣
'jun'zi'shou'lv 君子授律
'kai'chang'he'xi'lin'yu'tang 开阊阖兮临玉堂
'kai'li'zhi'yuan 开利之源
'kai'yuan'men 开远门
'kan'kan'ji'gu 坎坎击鼓
'kan'kan'you'li 坎坎有厉
'kan'si'huang'xi'shi'tian'yin 瞰四荒兮视天垠
'ke'ku'xiong'ma'chang 可刳凶蟆肠
'ke'lian'shu'shang'bai'niao'er 可怜树上百鸟儿
'ke'lian'wei'zhi'ci'nu'li 可怜位置次奴隶
'ke'lian'ya'que'mu'xing'shan 可怜鸦鹊慕腥膻
'ke'nai'he'xi'zhong'nai'he 可奈何兮终奈何
'ke'wei'ming'yan 可为明焉
'ke'xi'guan'cang'wu'xian'su 可惜官仓无限粟
'ke'yi'bao'shen 可以保身
'ke'yi'hua'ren 可以化人
'ke'you'diao'zhi'zhe'yue 客有吊之者曰
'kong'chang'bai'mao'ying'hong'rou 空长白毛映红肉
'kong'duan'chang'xi'si'yin'yin 空断肠兮思愔愔
'kong'qing'sui'zhi'sui'qiu 恐青岁之遂遒
'kong'xian'bei'jia'xi'wei'jiao'she 控弦被甲兮为骄奢
'kong'yin'xu'xi'hu'fang'ying 空阴虚兮户芳迎
'kong'zuo'ang'cang'yi'zhang'fu 空作昂藏一丈夫
'kou'zhong'wei'sheng'wu'ni'zi 口中未省无泥滓
'ku'he'ku'er'jiu'chu 哭何苦而救楚
'ku'wo'yuan'qi'xi'hao'yu'chang'kong 苦我怨气兮浩于长空
'ku'wu'sheng'xi'qi'jiang'yan 哭无声兮气将咽
'ku'yu'pen'mo'jiu'chi'fan 枯鱼喷沫救池燔
'kuang'hui'se'zhi'zeng'fen 况蕙色之增芬
'kuang'jin'she'xing'da'jiang'quan 况今摄行大将权
'kuang'man'shi'xi'tong'zhi 况满室兮童稚
'kuang'song'li'sao'xi'wei'jun'yu 狂诵离骚兮为君娱
'kuang'wo'piao'zhuan'wu'ding'suo 况我飘转无定所
'kuang'xi'he'xi'bu'zhi 况西河兮不知
'kuang'zhong'miao'zhi'wu'qiong 况众妙之无穷
'kui'bu'cai'xi'fang'xian 愧不才兮妨贤
'kui'long'wu 夔龙舞
'kui'xin'qing'xi'he'xiang 葵心倾兮何向
'kun'lun'wei'tou'lu 昆仑为头颅
'lai'bing'jie'hu'qiang 来兵皆胡羌
'lai'bu'yan'xi'yi'bu'chuan 来不言兮意不传
'lai'shi'bie'er'xi'si'man'man 来时别儿兮思漫漫
'lan'han'da'du'zao'yi'bao 婪酣大肚遭一饱
'lan'qi'su'xi'yan'cui'ming 岚气肃兮岩翠冥
'lang'ba'bie'nan 郎罢别囝
'lao'fu'fu'yu'dong'nan'zheng 老夫复欲东南征
'lao'fu'hao'yin'xi'qiang'dong 老夫好隐兮墙东
'lao'yu'chi'bie 老与齿别
'lao'zei'hua'jia'fei'lai'qu 老贼花甲飞来去
'le'jiu'shao'xi'ren'shen'gan 乐九韶兮人神感
'le'ren'xing'xi'tan'qin'zheng 乐人兴兮弹琴筝
'le'tian'zhi'ming'xi'shou'yan'dong 乐天知命兮守岩洞
'le'wei'yi 乐未已
'lei'jing'yu'sa'yi'shi'su 雷惊雨洒一时苏
'lei'yu'yun'qi 垒与云齐
'leng'feng'xi'zhen'ming'he 冷风兮镇冥壑
'li'bai'ming'gao'ge'song'cen'zheng'jun 李白鸣皋歌送岑征君
'li'bu'neng'gao'fei'zhu'zou'peng 力不能高飞逐走蓬
'li'er'wang'zhi 立而望之
'li'fu'zao 砺釜凿
'li'ji'fen'di'jun'ning'jue 骊姬坟地君宁觉
'li'jin'ji'qiong'yin'xiang'qi 力尽计穷音响凄
'li'mi'chang'ge'xing 李泌长歌行
'li'tian'yu'he'tu'han'fei 戾天羽翮徒翰飞
'li'tong'kui 历通逵
'li'wu'cao 历无草
'li'xian'zu'xi'zhi'qiang'man 历险阻兮之羌蛮
'li'zhua'yi'hui'mao'xue'luo 利爪一挥毛血落
'lian'heng'wen'zhang'zhen'wu'zhi'yu 连横闻张振武之狱
'lian'jin'hua'yu'yu'tang'xi 连金华与玉堂兮
'lian'wo'lao'bing'zeng'liang'jing 怜我老病赠两茎
'lian'wu'lei'dong'shao'cheng'hui 连屋累栋烧成灰
'liang'feng'sa'xing 凉风飒兴
'liang'gui'da'ti'shang 两鬼大惕伤
'liang'gui'ge'jie'wen 两鬼各借问
'liang'gui'sui'ji'hui'dao'pi 两鬼随即挥刀铍
'liang'gui'yi'zi'xiang'gu'xiao 两鬼亦自相顾笑
'liang'gui'zi'cong'tian'shang'bie 两鬼自从天上别
'liang'guo'jiao'huan'xi'ba'bing'ge 两国交欢兮罢兵戈
'liang'pai'zhang'xian'xi'xian'yu'jue 两拍张弦兮弦欲绝
'liang'ren'zao'mo'zhu'gu'chi 良人早殁诸孤痴
'liang'yan'xiang'zhu'zou'bu'xie 两眼相逐走不歇
'liang'you'wan'wan'xi'yue'cheng'guang 良游晼晚兮月呈光
'liao'dong'jin'er'qian'sui'ren 辽东尽尔千岁人
'liao'shang'jun'xi'gao'lou 聊上君兮高楼
'liao'xie'zhong'chang 聊写衷肠
'liao'yi'zhou'yong 缭以周墉
'lie'hua'zhu'xi 烈华烛兮
'lie'huo'man'lin 烈火满林
'lie'lie'yan'qiu 烈烈严秋
'lie'ye'wei'cheng'yi 猎野围城邑
'lin'bo'mu'xi'chan'sheng'yuan 林薄暮兮蝉声远
'lin'chang'lu'xi'juan'suo'sheng 临长路兮捐所生
'lin'li'wei'wo'se'chou'chang 邻里为我色惆怅
'lin'lian'qing'cui'xi'di'fan'ji 磷涟清淬兮涤烦矶
'lin'tan'yu 临坛宇
'lin'xi'feng'xi 麟兮凤兮
'lin'xu'yao 临须摇
'lin'yang'mang'xi'bei'qing'ying 临泱漭兮背青荧
'lin'yi'mu'xi'niao'qun'fei 林已暮兮鸟群飞
'lin'yuan'wei'wo'ti'qing'zhou 林猿为我啼清昼
'ling'guan'cheng'tuo'ying'yi'chu'xi 令管城脱颖以出兮
'ling'ji'pan'bo'xi'liu'ben'cuo'shu 灵矶盘礴兮溜奔错漱
'ling'lie'dao'ce'xiang'tang'cheng 翎鬣倒侧相搪撑
'ling'lun'feng'lv'luan'gong'shang 伶伦凤律乱宫商
'ling'qi'you'xi 灵其有喜
'ling'shuang'zhi'hua 陵霜之华
'ling'shuang'zhi'hua'xi 陵霜之华兮
'ling'wo'fu'nv'wu'yan'se 令我妇女无颜色
'ling'xian'jing'xi'ren'zhi'gui 灵仙境兮仁智归
'ling'ze'ke'wang 令则可忘
'ling'zhi'sheng'xi'qing'yun'jian 灵芝生兮庆云见
'ling'zhi'xiong'jue'jing'ji'duo 灵芝夐绝荆棘多
'ling'zi'yan'jing'cang'jin'ru 铃子眼睛苍锦襦
'liu'che'hu'zi'ge'er'shou 刘彻瓠子歌二首
'liu'che'hua'ye'ye 刘彻华晔晔
'liu'che'li'fu'ren'ge 刘彻李夫人歌
'liu'che'luo'ye'ai'chan'qu 刘彻落叶哀蝉曲
'liu'che'si'feng'che'zi'hou'ge 刘彻思奉车子侯歌
'liu'che'tian'di 刘彻天地
'liu'che'tian'ma'er'shou 刘彻天马二首
'liu'che'tian'ma'ge 刘彻天马歌
'liu'che'xi'ji'tian'ma'ge 刘彻西极天马歌
'liu'hua'luo'di'hai'xiao'xie 榴花落地还销歇
'liu'ji'er'gui 刘基二鬼
'liu'li'cheng'bi'jian 流离成鄙贱
'liu'pai'bei'lai'xi'yu'ba'dan 六拍悲来兮欲罢弹
'liu'qi'bu'yu 六气不渝
'liu'yue'luo'xue'bing'tian'kui 六月落雪冰天逵
'liu'zhong'xi'xie'liu'bian'cheng 六钟翕协六变成
'long'men'shang'ji'lei'yu'ben 龙门上激雷雨奔
'long'wei'you 龙为友
'long'zang'xi'er'tu'yun 龙藏溪而吐云
'long'zhi'mei 龙之媒
'lou'gong'bu'yu'song'gong'yu 娄公不语宋公语
'lu'he'sui'guang'xi'shou'zhi'ying'bu'rong 六合虽广兮受之应不容
'lu'hong'yi'song'shan'shi'zhi'shi'shou 卢鸿一嵩山十志十首
'lu'lian'mian'xi'shu'shi'jian 路连绵兮树石间
'lu'qian'shui'ji 陆迁水济
'lu'tong'yi'jin'e'shan 卢仝忆金鹅山
'lu'xun'ji'shu'shen'wen 鲁迅祭书神文
'lu'you'bi'wei'gui'shen'duo 路幽必为鬼神夺
'lu'zhao'lin'huai'xian'yin 卢照邻怀仙引
'lu'zhao'lin'ming'yue'yin 卢照邻明月引
'lu'zhao'lin'shi'ji'wen'san'ge 卢照邻释疾文三歌
'lu'zhao'lin'yu'zhong'xue'sao'ti 卢照邻狱中学骚体
'luan'ge'feng'wu'xi'chui'cen'ci 鸾歌凤舞兮吹参差
'luan'ge'feng'wu'xi'qi'xian'deng 鸾歌凤舞兮期仙磴
'lun'wang'shi'fan'zuo'he'yin 轮王释梵作何因
'luo'fan'jiu 骆反厩
'luo'jiang'qu 骆将去
'luo'li'you'zhuang 骆力犹壮
'luo'lie'diao'long'kai'dong'fang 罗列雕笼开洞房
'luo'mei'xi'wu'sheng 罗袂兮无声
'luo'mi'wu'xi'pai'bi'li 罗蘼芜兮拍薜荔
'luo'ming'ming'xi'xian'fen'fen 萝冥冥兮霰纷纷
'luo'tuo'lei'wei'chui'xuan'xiong 骆驼礨峞垂玄熊
'luo'ye'yi'yu'zhong'jiong 落叶依于重扃
'luo'zai'shen'ni'shui'fu'lian 落在深泥谁复怜
'lv'huai'cen'ci'xi'che'ma 绿槐参差兮车马
'lv'ji'you'cong 旅棘有丛
'lv'jing'kai'zi'xia 绿景开紫霞
'lv'pin'xie'xi'diao'zhu'yan 绿蘋歇兮凋朱颜
'lv'zheng'zhi 履正直
'ma'bian'xuan'nan'tou 马边悬男头
'ma'bu'neng'yan'xi'chang'ming'er'que'gu 马不能言兮长鸣而却顾
'ma'hou'zai'fu'nv 马后载妇女
'ma'shang'yin'hu'qi'zhan'zheng 马上喑呼起战征
'ma'wei'li'chi'chu 马为立踟蹰
'ma'zhi'qing'ye 马之情也
'mai'miao'peng'peng'xi'qiang'geng'fei 麦苗芃芃兮鶬鹒飞
'mai'yan'chang 迈延长
'man'sheng'liu'di 曼声流睇
'man'tang'bin'ke'jie'tan'xi 满堂宾客皆叹息
'man'yan'zhan'ju'jie'sang'qi 满眼战局皆丧气
'mang'ruo'yun 莽若云
'mang'yan'jing'jing'wu'xian'xia 盲眼镜净无纤瑕
'mao'lin'luo'jie'ru'zheng'ning 毛鳞裸介如鬇鬡
'mao'wei'lv'piao'liang'er'huang 毛为绿缥两耳黄
'mao'yi'ruan'cui'xin'xing'rou 毛衣软毳心性柔
'mao'yu'duan'chang'xin'bing'zhai 毛羽短长心并窄
'mei'le'qi 没了期
'mei'qi'de'xi'tian'di'qing 美七德兮天地清
'mei'ren'ji'li'xi'he'shi'xian 美人寂历兮何时闲
'meng'ren'zhan'zhi 梦人占之
'meng'zhong'zhi'shou'xi'yi'xi'yi'bei 梦中执手兮一喜一悲
'mi'er'you'xi'zhen'ke'ji 秘而幽兮真可吉
'mi'wu'bi'li'xi'cheng'cao'tang 蘼芜薜荔兮成草堂
'mian'song'yang'xi'shu'ying'liu 眠松阳兮漱颍流
'mian'yin'bu'xiu 湎淫不修
'miao'chou'chang'xi'si'jun 眇惆怅兮思君
'miao'guang'nong'ying'dang'yun'han 描光弄影荡云汉
'miao'miao'mo'liang'gui 眇眇末两鬼
'miao'miao'xi'zhu'hai 渺渺兮注海
'miao'qiong'tian'xi'bu'fan 邈穷天兮不返
'miao'tang'bu'ken'yong'gan'ge 庙堂不肯用干戈
'miao'xian'shan'zhi'jun'ji'xi 邈仙山之峻极兮
'mie'ji'yu'jun'shan'hu'shang'zhi'qing'feng 灭迹于君山湖上之青峰
'min'er'zhi'sheng 敏尔之生
'min'li'de'zhi 闽吏得之
'min'ren'zhi'du'ye 悯人之毒耶
'min'zu'liu'wang'xi'gong'ai'bei 民卒流亡兮共哀悲
'ming'chao'you'shang'yuan 明朝游上苑
'ming'dang'qin'xi'bu'neng'an 冥当寝兮不能安
'ming'huang'hai'he'jia 螟蝗害禾稼
'ming'jing'xiu'kui'xi'xiang'shi'nian 明镜羞窥兮向十年
'ming'lu'ban 命鲁般
'ming'nian'xi'zhi 明年息枝
'ming'qin'yu'se'hui'xuan'zhu 鸣琴竽瑟会轩朱
'ming'qing'feng'xi'pi'fu'yun 命清风兮披浮云
'ming'yue'de'de'han'tan'zhong 明月的的寒潭中
'ming'yue'jie'lin'yu'yu'yi 名曰结璘与郁仪
'ming'yue'liu'guang 明月流光
'mo'bu'bian'er'hui'chang 莫不变而回肠
'mo'bu'jing'mi 莫不静谧
'mo'dai'xiao'feng'chui 莫待晓风吹
'mo'du'san'shi'liu'bu'da'dong'jing 莫读三十六部大洞经
'mo'he'jiu'zhuan'da'huan'dan 莫合九转大还丹
'mo'jiang'liang'wu'wei'ti'mu 莫将梁武为题目
'mo'jiao'tu'chu'long'luo'wai 莫教突出笼络外
'mo'liu'zhe 沫流赭
'mo'mu'yi'jin 嫫母衣锦
'mo'qian'hui'guang'shen'zhao'ni 莫遣辉光深照泥
'mo'shang'ren'xi'ru'gu 陌上人兮如故
'mo'sui'yu'xi'hao'chang'yao 默谇语兮浩长谣
'mo'wo'gao'yao 莫我告繇
'mo'zhi'qi'ji 莫知其极
'mo'zhi'suo'kuang 莫知所贶
'mou'zhi'bu'neng'xing 谋之不能行
'mu'cong'zi'zou'zhe'wei'shui 母从子走者为谁
'mu'juan'juan'xi'qiong'yan 目眷眷兮琼筵
'mu'pi'yi'xue'chong'zai'xin 木皮已穴虫在心
'mu'qian'sheng'zhi'jiu'qing'si 幕前生致九青兕
'mu'qiong'qiong'xi'qing'gan 目琼琼兮情感
'mu'shi'zhi'fan'xi 木实之繁兮
'mu'wei'zhu'zhi'xiang'li'chou 母为逐之乡里丑
'mu'wen'bu'yan'he'tai'jiu 母问不言何太久
'mu'wo'du'de'gui 慕我独得归
'mu'ye'huang'luo'long'zheng'zhe 木叶黄落龙正蛰
'mu'zhong'qiu'shi'chang'bu'zu 木中求食常不足
'nai'di'nai'shen 乃帝乃神
'nai'he'bu'gu'si 奈何不顾思
'nai'jue'qi'yang 乃绝其阳
'nai'meng'cheng'che 乃梦乘车
'nai'meng'cheng'zhou 乃梦乘舟
'nai'ming'zhi'jiu'qin'se 乃命旨酒琴瑟
'nai'mu'su'xi'su'xi 乃目素兮素兮
'nai'shu'nai'tun 乃舒乃屯
'nai'xi'ji'li 乃熂蒺藜
'nai'yan'bai'pin 乃掩白蘋
'nai'yao'bi'qu'zhi 乃繇彼曲直
'nai'yi'jing'ji 乃夷荆棘
'nai'yi'ri'yue'wei'liang'yan 乃以日月为两眼
'nai'you'fu'tian 乃有甫田
'nai'yue'geng'wu 乃曰庚午
'nai'zao'ci'e'huo 乃遭此厄祸
'nai'zhi'huang'quan 乃至黄泉
'nan'bie'lang'ba 囝别郎罢
'nan'er'sheng'bu'cheng'ming'shen'yi'lao 男儿生不成名身已老
'nan'er'shi'ye'xu'zi'qi 男儿事业须自奇
'nan'fang'yan'yan'xi'huo'zhi'suo'zhai 南方炎炎兮火之所宅
'nan'jing'qun'chou'ku'wu'ji 南京群丑苦无计
'nan'shan'zhi'pu'shui'xi 南山之瀑水兮
'nan'shen'nv'yin'si'bi'jing 男呻女吟四壁静
'nan'sheng'min'fang 囝生闽方
'nan'you'long'xi'zai'shan'qiu 南有龙兮在山湫
'nao'nao'xiang'yin'mang 呶呶向瘖盲
'nei'wai'xing'guan'ge'zhi'zhi 内外星官各职职
'ni'hou'di'er'zhi'lan'yi'zhi'bu'sheng 溺厚地而芝兰以之不生
'nian'bie'wu'hui'qi 念别无会期
'nian'ci'ri'yue'zhe 念此日月者
'nian'duo'wu'hua'kong'xing'ying 年多物化空形影
'nian'sui'tui 年虽颓
'nian'wan'gu'zhi'fen'luo 念万古之纷罗
'nian'wo'chu'fu'zi 念我出腹子
'niao'bu'gan'fei'ming 鸟不敢飞鸣
'niao'pian'pian'xi'ji'fei 鸟翩翩兮疾飞
'nie'fu'yun 籋浮云
'nie'sang'fu'xi'huai'si'man 啮桑浮兮淮泗满
'ning'zhao'shu'pi'xi'lai'shi'qiu 宁召书癖兮来诗囚
'niu'yang'man'ye'xi'ju'ru'feng'yi 牛羊满野兮聚如蜂蚁
'nong'qi'shu'xi'ge'yue'cen 弄琪树兮歌越岑
'nue'bao'yu'ren 虐暴于人
'nv'chang'ci'lao 女长辞姥
'nv'wu'jin 女巫进
'nv'yu'ci'shi'ruo'shi'ri 女于此时若食日
'pa'han'suo'jing 怕寒缩颈
'pa'sha'jiao'shou'dun 杷沙脚手钝
'pai'huai'gu'cheng'xi'ren'xin 徘徊古城系人心
'pai'yu'fang 排玉房
'pan'bai'shi'xi'zuo'su'yue 盘白石兮坐素月
'pan'jiu'bi'er'wu'ju 攀旧壁而无据
'pan'mu'tian'ji'wu'shi'jie 盘木天鸡误时节
'pan'yun'yao'tiao'xi'shang'ji'xuan'feng 攀云窈窕兮上跻悬峰
'pang'ren'xiang'kuan'da 旁人相宽大
'pei'shi'you 沛施佑
'pei'sui'xiang'xi'ye'wen 珮随香兮夜闻
'peng'lai'gong'dao'shui'mei'mei 蓬莱宫倒水没楣
'peng'yang'shi'rou'kou'wen'liu'gao'zhi 烹羊食肉口吻流膏脂
'pi'gu'xuan'xi'cong'ye'da'ming 鼙鼓喧兮从夜达明
'pi'hui'zhang'xi'cu'luo'yan 披蕙帐兮促萝筵
'pi'jian'hu 披涧户
'pi'rang'qun'yin'xi'zhong'you'zhao'ming 披攘群阴兮重幽昭明
'pi'zhu'hu'xi'wang'hua'xuan 辟朱户兮望华轩
'pian'he'shan'shan'qi'lai'chi 偏何姗姗其来迟
'pian'pian'chui'wo'yi 翩翩吹我衣
'pian'ru'zhu'chao'tan'zhong'chu 偏入诸巢探众雏
'pian'xuan'bai'wan'tu'jing'zao 翩翾百万徒惊噪
'pian'zhou'yu'wang'jian'man'yan 扁舟欲往箭满眼
'pian'zhuo'deng'lin'qiu'yi'chong 偏啄邓林求一虫
'piao'ran'shi'wei'yi'lao'weng 飘然时危一老翁
'pie'ran'fei'xia'ren'bu'zhi 瞥然飞下人不知
'ping'bu'ping'xi'you'shi 平不平兮有时
'ping'ming'du'hai'chao'wei'shi 平明度海朝未食
'ping'tu'ren'cui'ruo 平土人脆弱
'ping'wu'lv'xi'qian'li 平芜绿兮千里
'ping'xie'qi 屏邪欹
'pu'fu'ming'jia'xi 仆夫命驾兮
'pu'ye'li'pi'yan'hong'si 蒲叶离披艳红死
'qi'bu'zhi'jun'yin'ci'xin'hen 岂不知君饮此心恨
'qi'ci'ye'ku 其辞也苦
'qi'di'tian'xia'chun'chun'mang 启迪天下蠢蠢氓
'qi'fei'jiao'huang 岂非骄荒
'qi'fu'xi'xing'ming 岂复惜性命
'qi'fu'you'hai'shi 岂复有还时
'qi'hao'qi 契颢气
'qi'jiao'jia'lie'shen'yi'gan 鳍燋甲裂身已干
'qi'ke'yu'li'fen 其可与理分
'qi'le'duo'xie 其乐多些
'qi'li'nai'bo 其利乃博
'qi'luan'yi'feng'lai'pei'sui 骑鸾翳凤来陪随
'qi'mao'gu 其貌古
'qi'mao'wei'san 旗旄卫毵
'qi'mian'gou'he'chang'piao'piao 岂免沟壑常漂漂
'qi'ming'ye'ai 其鸣也哀
'qi'neng'de'ye 启能德耶
'qi'pai'liu'hen'xi'e'ju'yu'ci 七拍流恨兮恶居于此
'qi'qi'rang'ye 岂其让耶
'qi'ta'ta 骑沓沓
'qi'tao'qian'nian 其桃千年
'qi'tian'he'xi'dong'ling'xin 启天和兮洞灵心
'qi'tian'xiong'xi'shui'shi'qu 气填胸兮谁识曲
'qi'wai'si'yue'wei'si'zhi 其外四岳为四肢
'qi'xi'ta'ran'shuang'chi'chui 气息榻然双翅垂
'qi'xia'liao'yu'nian'xi'fu'ji 岂暇料馀年兮复几
'qi'xin'you 其心幽
'qi'xue'yang'tou'xi'su'cang'cang 泣血仰头兮诉苍苍
'qi'yi'chong'jie 墄以崇阶
'qi'zhi'dong'yao'geng'jia'ju 岂知动摇更加剧
'qi'zhi'nei'yu'han 岂止馁与寒
'qi'zhi'zhong'de'xi'ru'chang'an 岂知重得兮入长安
'qi'zhu'jun'du'wu'qing'zai 岂主君独无情哉
'qi'zhui'xi'er'bie'yu'xi 弃骓兮而别虞兮
'qian'chang'jiao'xi'zhan'mei'yu 搴长筊兮湛美玉
'qian'cong'cong'xi'wei'ban 前漎漎兮未半
'qian'dang'yong'xu 前当墉洫
'qian'fang'zhou'xi'xiao'dong'ting 牵方舟兮小洞庭
'qian'fei'yi'xiang'xi'yun'huang'lan'he 骞飞以翔兮煇煌烂赫
'qian'gang'dao'ya'kun'wei'xuan 乾纲倒轧坤维旋
'qian'jiang'rui'xi'kun'jiang'zhen 乾降瑞兮坤降珍
'qian'lian'mai'luo'xi'zi'fu'sun 牵连脉络兮子复孙
'qian'liang'qi 褰两旗
'qian'ling'wan'dai'yi'lai'you 千龄万代一来游
'qian'liu'huan'xiang'ge 钱镠还乡歌
'qian'liu'mei'le'qi'ge 钱镠没了期歌
'qian'nian'bu'si'ban'ling'gui 千年不死伴灵龟
'qian'qu'hou'lai'geng'bi'po 前去后来更逼迫
'qian'shen'zui'xi'qian'nu'mang 钱神醉兮钱奴忙
'qian'sheng'qi'zhi'shi'liang'tu 千生气志是良图
'qian'shi'shi'guo 前世失国
'qian'tiao'xi'yi'chun 前眺兮宜春
'qian'tong'luo'wu'cheng'ba'yi 千童罗舞成八溢
'qian'yu'jue'zhi 潜喻厥旨
'qian'zai'shao'si'zhu'yun'ren 千载少似朱云人
'qiang'hu'dao'wu'xi'gong'ou'ge 羌胡蹈舞兮共讴歌
'qiao'dan'ken'xi'he'xiu'zheng 翘丹恳兮荷休征
'qiao'kong'shan'er'chou'ren 愀空山而愁人
'qiao'ran'wei'zuo'xin'bu'ping 悄然危坐心不平
'qiao'su'bu'cuan'xi'qing'tan'yi 樵苏不爨兮清谈已
'qie'mai'wang'xi'jia'du'yu 挈脉望兮驾蠹鱼
'qie'yan'ling'xi'wei'zhi 且延陵兮未至
'qie'you'hen'yu'huang'tian 窃有恨于皇天
'qie'yue 且曰
'qin'huang'yao'shun'ju'fu'gu 秦皇尧舜俱腐骨
'qin'lue'yuan'zhu'suo'gao'li 侵略援助索高利
'qin'sao'qi'lei 秦扫其类
'qin'se'zai'tang 琴瑟在堂
'qin'shou'yi'bi'shi'qi'ba 禽兽已毙十七八
'qin'song'feng'xi'ji'wan'he 琴松风兮寂万壑
'qin'wang'xue'shi'shi'nan'xian 秦王学士时难羡
'qin'yi'he'ji 勤亦何极
'qin'yi'zhi'yi 勤亦至矣
'qing'chen'he'wei'bu'zhou'tong 清晨合围步骤同
'qing'chen'huan'shang'fu'sang'zhi 清晨还上扶桑枝
'qing'chun'xi'bu'ke'feng 青春兮不可逢
'qing'ci'bu'de'xu 情词不得叙
'qing'jin'zhou'zi'kun'ni'tu 青衿胄子困泥涂
'qing'jun'kan'qu'bai'nian'shi 请君看取百年事
'qing'jun'su'lai'zhu'wo'xi 请君速来助我喜
'qing'kong'zao'chu'huang'jin'dui 清空凿出黄金堆
'qing'qing'lu'he 清倾六合
'qing'shan'bai'yun'tu'er'wei 青山白云徒尔为
'qing'song'you'you'yin'jing'feng 青松幽幽吟劲风
'qing'tai'jing'xi'lv'pin'xie 青苔竟兮绿蘋歇
'qing'tong'shang'xuan 情通上玄
'qing'xia'miao'xi'zi'yun'chui 青霞杪兮紫云垂
'qing'ya'yin'xi'yue'jian'qu 青崖阴兮月涧曲
'qing'yi'chong'chong'xi'meng'jiang'sha 轻衣重重兮蒙绛纱
'qing'yi'yi'xuan 请以意宣
'qing'yun'gai'xi'zi'shuang'qiu 青云盖兮紫霜裘
'qing'yun'ji 庆云集
'qiong'qiong'dui'gu'jing 茕茕对孤景
'qiong'san'xiu'xi'kuang'yi'guan 穷三休兮旷一观
'qiong'tian'yao'cao 琼田瑶草
'qiu'feng'xi'chui'yi 秋风兮吹衣
'qiu'qing'jin'gu 璆磬金鼓
'qiu'she'qu'jiang'qian'kong'li 秋社驱将嵌孔里
'qiu'su'shuang'xi'su'yue'gao 秋宿霜溪素月高
'qiu'yi'xi'yi'man 秋意兮已满
'qiu'ying'beng'zhu'shuang'gu'yuan 秋鹰迸逐霜鹘远
'qiu'ying'che'duan'jia'shang'suo 秋鹰掣断架上索
'qiu'ying'qi'xiao'xian'bu'shi 秋鹰欺小嫌不食
'qu'cai'qing'tian'zhi 去采青田芝
'qu'di'jian'gao'ren'yan'luan 去地渐高人眼乱
'qu'er'zhao'shu 去尔兆庶
'qu'fu'qu'xi'yan'zhuang'sui 曲复曲兮烟庄邃
'qu'jin'ru'shou 取金蓐收
'qu'qu'ge'qing'lian 去去割情恋
'qu'qu'qu'lai'chang'xin'feng 驱去驱来长信风
'qu'ren'zhi'yang'zhe 取人之仰者
'qu'shi'huai'tu'xi'xin'wu'xu 去时怀土兮心无绪
'qu'zhu'liang'qing'xi'nan'ju'chen 去住两情兮难具陈
'quan'bi'xi'lan'qi 荃壁兮兰砌
'quan'he'wei'xi'du'wang 荃何为兮独往
'quan'jun'bu'yong'deng'xian'shou'shan 劝君不用登岘首山
'quan'jun'deng'shang'shan 劝君登商山
