'an'xiang'si 暗相思
'yu'gou'qian'cui'mu 玉钩褰翠幕
'yu'guan'yin'xin'xi 玉关音信稀
'yu'hou'que'xie'yang 雨后却斜阳
'yu'hu'die'qiu'feng'qi'qie'shang'li 玉胡蝶秋风凄切伤离
'yu'jia'ao'fan'di'san'ci'da'wei'jiao 渔家傲反第三次大围剿
'yu'jie'hua'lu'di 玉阶花露滴
'yu'jiu'qie'he'he 遇酒且呵呵
'yu'lang'bo'xing'qu'wu'zong 玉郎薄幸去无踪
'yu'le'diao'an'he'chu 玉勒雕鞍何处
'yu'lian'huan 玉连环
'yu'liu'ru'si'ying'jiu'chong 御柳如丝映九重
'yu'lou'chun'ri'zhao'yu'lou'hua'si'jin 玉楼春日照玉楼花似锦
'yu'lou'ming'yue'chang'xiang'yi 玉楼明月长相忆
'yu'lou'xiang'wang'jiu 玉楼相望久
'yu'lu'xiang 玉炉香
'yu'meng'meng 雨濛濛
'yu'qian'chu'bao'ming 玉签初报明
'yu'qing'hong'man'zhi 雨晴红满枝
'yu'qing'ye'he'ling'long'yue 雨晴夜合玲珑月
'yu'qu'you'yi'yi 欲去又依依
'yu'rong'chou'chang'zhuang'bo 玉容惆怅妆薄
'yu'rong'qiao'cui're'wei'hong 玉容憔翠惹微红
'yu'shang'qiu'qian'si'ti'yong 欲上秋千四体慵
'yu'sheng'di 玉绳低
'yu'xian'dan'chu'zhen'zhu'luo 玉纤弹处真珠落
'yu'xiao'wu'fu'li'ni'chang 玉箫无复理霓裳
'yu'xiao'xiao 雨萧萧
'yuan'meng'ge'xing'qiao 鸳梦隔星桥
'yuan'shan'mei'dai'lv 远山眉黛绿
'yuan'wang'sun'jin'li 怨王孙锦里
'yuan'yang'chou'xiu'shuang'ke 鸳鸯愁绣双窠
'yuan'ying'zheng'fan'jin'fu'di 远映征帆近拂堤
'yuan'zhen'ying'ping'shan 鸳枕映屏山
'yue'gu'ming 月孤明
'yue'huan'luan'jing'li 约鬟鸾镜里
'yue'long'ming 月胧明
'yue'luo'chun'shui'lv 越罗春水绿
'yue'luo'xiang'an'xiao 越罗香暗销
'yue'luo'xing'chen 月落星沉
'yue'ming'hua'man'zhi 月明花满枝
'yue'ming'san'wu'ye 月明三五夜
'yue'pai'huai 月徘徊
'yue'zhao'gu'tong'jin'jing 月照古铜金井
'yun'dan'shui'ping'yan'shu'cu 云淡水平烟树簇
'yun'ji'zhui 云髻坠
'yun'jie'you'qing'hua'jie'yu 云解有情花解语
'yun'man'lu 云满路
'yun'yu'bie'lai'yi'dong'xi 云雨别来易东西
'zan'lai'huan'bie'li 暂来还别离
'zao'mei'xiang'man'shan'guo 早梅香满山郭
'zao'qiu'xian 早求仙
'zao'wan'cheng'luan'qu 早晚乘鸾去
'zao'wan'de'tong'gui'qu 早晚得同归去
'zen'nai'chang'an'lu'yuan 怎奈长安路远
'zhan'bi'jin'feng'xie 战篦金凤斜
'zhang'ce'yi'xiang'sui 杖策以相随
'zhao'hua'qian'hou'jing 照花前后镜
'zhe'han'mei 折寒梅
'zhe'yu'hui'qing'shan 遮语回轻扇
'zhen'han'qi 枕函欹
'zhen'pan'lang 枕潘郎
'zhen'shang'fen'ming'meng'jian 枕上分明梦见
'zhen'shang'ping'shan'yan 枕上屏山掩
'zhen'zhong'yi 珍重意
'zhen'zhong'zhu'ren'xin 珍重主人心
'zheng'kan'he'chong'tian 争看鹤冲天
'zheng'shi'fang'fei'yu'du 正是芳菲欲度
'zheng'shi'luo'hua'shi'jie 正是落花时节
'zheng'shi'qu'nian'jin'ri 正是去年今日
'zheng'shi'yu'ren'chang'jue'chu 正是玉人肠绝处
'zheng'xiang'si 正相思
'zhi'chi'hua'tang'shen'si'hai 咫尺画堂深似海
'zhi'de'yuan'ji'yu'zhi'ji 只得远寄与知己
'zhi'dian'mu'dan'chu'zhan'duo 指点牡丹初绽朵
'zhi'jin'ji'bian'ying'yu'pin 织锦机边莺语频
'zhi'jin'you're'yu'lu'xiang 至今犹惹御炉香
'zhi'wo'yi 知我意
'zhong'chao 终朝
'zhong'gu'han 钟鼓寒
'zhong'gu'xie 钟鼓歇
'zhong'gu'zheng'shi'huang'hun 钟鼓正是黄昏
'zhong'lian'qiao'qiao'wu'ren'yu 重帘悄悄无人语
'zhong'ri'liang'xiang'si 终日两相思
'zhong'ri'xing'ren'zi'pan'zhe 终日行人恣攀折
'zhu'chun'wei'dong 朱唇未动
'zhu'feng'qing'dong'ting'chu'leng 竹风轻动庭除冷
'zhu'jin'xiang'can'lian'ban'juan 烛烬香残帘半卷
'zhu'lian'yue'shang'ling'long'ying 珠帘月上玲珑影
'zhu'ma'xi'wang'xiao'hun 驻马西望销魂
'zhu'xiang'che 逐香车
'zhu'zai'lv'huai'yin'li 住在绿槐阴里
'zhuan'ling'ren'yi'shang 转令人意伤
'zhuan'mian'ru'bo'yan 转眄如波眼
'zhuang'cheng'bu'hua'e'mei 妆成不画蛾眉
'zhuang'cheng'bu'zheng'jin'dian 妆成不整金钿
'zhuang'qian'jiu'mei'bo 妆浅旧眉薄
'zhui'hua'qiao 坠花翘
'zhuo'xiang'che 卓香车
'zi'gui'ti'po'xiang'si'meng 子规啼破相思梦
'zi'yan'huang'li'you'sheng 紫燕黄鹂犹生
'zong'bei'wu'qing'qi 纵被无情弃
'zong'you'chui'yang'wei'jue'chun 纵有垂杨未觉春
'zu'feng'liu 足风流
'zui'ru'hua'cong'su 醉入花丛宿
'zun'qian'mo'hua'ming'chao'shi 尊前莫话明朝事
'zuo'kan'luo'hua'kong'tan'xi 坐看落花空叹息
'zuo'ye'ye'ban 昨夜夜半
'zuo'yuan'yang 作鸳鸯
