'an'mei 暗煤
'sheng'chan'qing'shui'chi 生产清水池
'sheng'chan'shui'chi 生产水池
'sheng'chan'yong'shui 生产用水
'sheng'huo'yong'shui 生活用水
'sheng'lun 绳轮
'sheng'suo'xie'liao 绳索卸料
'shi'cun'shui'fen 湿存水分
'shi'fa'shai'fen 湿法筛分
'shi'gong'tu 施工图
'shi'gong'tu'she'ji 施工图设计
'shi'gu'chi 事故池
'shi'gu'fang'liao'chi 事故放料池
'shi'gu'lao'keng 事故捞坑
'shi'gu'nong'suo'ji 事故浓缩机
'shi'ji'chan'lv 实际产率
'shi'mei 湿煤
'shi'mei 石煤
'shi'shi 湿式
'shi'shi'zhen'kong'beng 湿式真空泵
'shi'wu'liao 湿物料
'shi'ya 示压
'shi'yan'zhi'shu 实验指数
'shou'dao'ji 收到基
'shou'dao'ji'shui'fen 收到基水分
'shou'dong'dan'ce'li'shi'xie'liao'qi 手动单侧犁式卸料器
'shou'dong'dan'gui'xiao'che 手动单轨小车
'shou'dong'dan'liang'qi'zhong'ji 手动单梁起重机
'shou'dong'luo'xuan'qian'jin'ding 手动螺旋千斤顶
'shou'dong'ping'zha'men 手动平闸门
'shou'dong'qian'jin'ding 手动千斤顶
'shou'dong'shuang'ce'li'shi'xie'liao'qi 手动双侧犁式卸料器
'shou'dong'tiao'tai'ji 手动跳汰机
'shou'dong'you'ya'qian'jin'ding 手动油压千斤顶
'shou'gao 手镐
'shou'jiao'mei 瘦焦煤
'shou'jing'mei 瘦精煤
'shou'la'hu'lu 手拉葫芦
'shou'liao 受料
'shou'mei 受煤
'shou'mei 瘦煤
'shou'mei'cang 受煤仓
'shou'mei'che'jian 受煤车间
'shou'mei'keng 受煤坑
'shou'mei'she'shi 受煤设施
'shou'qi'fei'mei 瘦气肥煤
'shou'xuan 手选
'shou'xuan'dai 手选带
'shou'xuan'dai'shi'shu'song'ji 手选带式输送机
'shou'xuan'gan'shi'jiao'dai'shu'song'ji 手选矸石胶带输送机
'shou'xuan'pi'dai 手选皮带
'shu'kong'feng'fa 数控风阀
'shu'liang'xiao'lv 数量效率
'shu'shui'kuang'wu 疏水矿物
'shu'song'dai 输送带
'shu'song'dou'shi'ti'sheng'ji 输送斗式提升机
'shu'song'liang 输送量
'shu'song'she'bei 输送设备
'shu'zhi'liang'liu'cheng'tu 数质量流程图
'shuang'che'fan'che'ji 双车翻车机
'shuang'chi'gun'po'sui'ji 双齿辊破碎机
'shuang'gai'ban 双盖板
'shuang'gai'ban'feng'fa 双盖板风阀
'shuang'gong'neng 双功能
'shuang'gui 双轨
'shuang'gun 双辊
'shuang'gun'tong'ci'xuan'ji 双滚筒磁选机
'shuang'heng'xian 双横线
'shuang'kong 双孔
'shuang'kong'tuo'shui'zha'men 双孔脱水闸门
'shuang'lian'shi 双联式
'shuang'lian'shi'wang'fu'gei'liao'ji 双联式往复给料机
'shuang'liang 双梁
'shuang'liang'qiao'shi'qi'zhong'ji 双梁桥式起重机
'shuang'mian'xie'liao 双面卸料
'shuang'mian'xie'liao'shi 双面卸料式
'shuang'shan'xing'zha'men 双扇形闸门
'shuang'tai'mian 双台面
'shuang'tai'mian'wei'ji'gui'dao'heng 双台面微机轨道衡
'shuang'xiang'gei'liao'ji 双向给料机
'shuang'zhou'zhen'dong'shai 双轴振动筛
'shuang'zhui 双锥
'shuang'zhui'xing 双锥型
'shuang'zhui'xing'fen'xuan'ji 双锥型分选机
'shuang'zuo'yong 双作用
'shui'beng'fang 水泵房
'shui'cai 水采
'shui'cai'mei'ni 水采煤泥
'shui'cai'yuan'mei 水采原煤
'shui'cao 水槽
'shui'chong'liu'cao 水冲溜槽
'shui'fen'bi 水分比
'shui'fen'ce'liang'yi 水分测量仪
'shui'fen'yi 水分仪
'shui'feng'chi 水封池
'shui'huan'shi 水环式
'shui'huan'shi'zhen'kong'beng 水环式真空泵
'shui'huan'zhen'kong'beng 水环真空泵
'shui'jie 水介
'shui'jie'xuan'liu'qi 水介旋流器
'shui'jie'zhi 水介质
'shui'li'fen'ji 水力分级
'shui'li'xuan'liu'qi 水力旋流器
'shui'liang'ping'heng'biao 水量平衡表
'shui'ni'hui'zhuan'yao 水泥回转窑
'shui'ping'dai'shi'zhen'kong'guo'lv'ji 水平带式真空过滤机
'shui'ping'yuan'pan'guo'lv'ji 水平圆盘过滤机
'shui'wen'di'zhi'zi'liao 水文地质资料
'shui'wen'zi'liao 水文资料
'shui'wu'di'chen'qi 水雾涤尘器
'shui'xi'jing'mei 水洗精煤
'shui'yun'liu'cao 水运溜槽
'shun'liu'shi 顺流式
'si'chi'gun'po'sui'ji 四齿辊破碎机
'si'gun 四辊
'si'kong'tuo'shui'zha'men 四孔脱水闸门
'si'qu 死区
'si'tan 丝炭
'si'zhi'zu 丝质组
'song'kai'lv'ban 松开滤板
'song'san'gun 松散辊
'song'san'lun 松散轮
'su'du'bian'huan'qi 速度变换器
'su'du'xi'shu 速度系数
'sui'xuan'xing 碎选性
'suo'he'fang'xiang'he 缩合芳香核
'suo'he'xing 缩合型
'suo'zhi 缩制
'tan'huang'qing'sao'qi 弹簧清扫器
'tan'xing'yuan'jian 弹性元件
'tao'tong'shi 套筒式
'te'da'kuai 特大块
'te'di'hui'mei 特低灰煤
'te'di'liu 特低硫
'te'di'liu'mei 特低硫煤
'te'gao're'zhi'mei 特高热值煤
'te'qiang'nian'jie 特强粘结
'te'qiang'nian'jie'mei 特强粘结煤
'ti'ba 提耙
'ti'ba'zhuang'zhi 提耙装置
'ti'sheng'ban 提升板
'ti'sheng'kong 提升孔
'tiao'feng 条缝
'tiao'feng'shai 条缝筛
'tiao'feng'shai'ban 条缝筛板
'tiao'feng'shai'mian 条缝筛面
'tiao'jiang 调浆
'tiao'jiang'she'bei 调浆设备
'tiao'jie'guan 调节罐
'tiao'tai 跳汰
'tiao'tai'chang 跳汰厂
'tiao'tai'che'jian 跳汰车间
'tiao'tai'fen'xuan 跳汰分选
'tiao'tai'ji 跳汰机
'tiao'tai'xi'mei 跳汰洗煤
'tiao'tai'xuan 跳汰选
'tiao'tai'xuan'mei 跳汰选煤
'tiao'tai'xuan'mei'chang 跳汰选煤厂
'tiao'tai'zai'xi 跳汰再洗
'tiao'tai'zai'xuan 跳汰再选
'tiao'tai'zhu'xi 跳汰主洗
'tiao'tai'zhu'xuan 跳汰主选
'tiao'xing'ji'chu 条形基础
'tiao'yan'gou 挑檐沟
'tiao'zheng'gun 调整辊
'tiao'zheng'ji 调整剂
'tong'biao 筒表
'tong'ceng'wei 同层位
'tong'feng'ji 通风机
'tong'guo'liang 通过量
'tong'guo'shi 通过式
'tong'shi'ci'xuan'ji 筒式磁选机
'tong'wei'su'hui'fen'yi 同位素灰分仪
'tong'wei'su'liu'fen'yi 同位素硫分仪
'tou'ban 头板
'tou'bu'liu'cao 头部溜槽
'tou'jia 头架
'tou'jie 头节
'tou'lun 头轮
'tou'shai 透筛
'tou'shai'wu 透筛物
'tou'shai'wu'liao 透筛物料
'tou'zi'gu'suan 投资估算
'tou'zi'ji'hui'yan'jiu 投资机会研究
'tu'hu 凸弧
'tu'hu'duan 凸弧段
'tu'jian'shi'gong'tu 土建施工图
'tu'jian'zhuan'ye 土建专业
'tui'ci'qi 退磁器
'tui'ci'xian'quan 退磁线圈
'tui'li'ban 推力板
'tui'mei 推煤
'tui'tu'ji 推土机
'tui'tu'ji'fang 推土机房
'tuo'jie 脱介
'tuo'jie'shai 脱介筛
'tuo'jie'zuo'ye 脱介作业
'tuo'lun 托轮
'tuo'ni 脱泥
'tuo'ni'shai 脱泥筛
'tuo'ni'zuo'ye 脱泥作业
'tuo'shui 脱水
'tuo'shui'cang 脱水仓
'tuo'shui'fen'ji'shai 脱水分级筛
'tuo'shui'hui'shou'shi'yan 脱水回收试验
'tuo'shui'mei'cang 脱水煤仓
'tuo'shui'qu 脱水区
'tuo'shui'shai 脱水筛
'tuo'shui'shai'fen 脱水筛分
'tuo'shui'ti'sheng'ji 脱水提升机
'tuo'shui'tuo'jie'shai 脱水脱介筛
'tuo'shui'zha'men 脱水闸门
'wa'qu'she'bei 挖取设备
'wai'lv 外滤
'wai'lv'shi 外滤式
'wan'xiang'jiao'lian 万向铰链
'wang'dai 网带
'wang'fu'gei'liao'ji 往复给料机
'wang'fu'shi'gei'liao'ji 往复式给料机
'wang'fu'shi'kong'qi'ya'suo'ji 往复式空气压缩机
'wang'zhuang'si'bu 网状丝布
'wei'ban 尾板
'wei'bo'ce'shui'yi 微波测水仪
'wei'che 尾车
'wei'ji'chu'li'dian'zi'gui'dao'heng 微机处理电子轨道衡
'wei'ji'chu'li'shuang'tai'mian'dian'zi'gui'dao'heng 微机处理双台面电子轨道衡
'wei'ji'chu'li'wu'ji'keng'dian'zi'gui'dao'heng 微机处理无基坑电子轨道衡
'wei'ji'gui'dao'heng 微机轨道衡
'wei'ji'zhai'gui'kuang'che'heng 微机窄轨矿车衡
'wei'jia 尾架
'wei'jie 尾节
'wei'kuang 尾矿
'wei'kuang'cao 尾矿槽
'wei'kuang'chi 尾矿池
'wei'kuang'ya'lv'ji 尾矿压滤机
'wei'lun 尾轮
'wei'mei 尾煤
'wei'mei'cao 尾煤槽
'wei'mei'liang 尾煤量
'wei'mei'nong'suo'ji 尾煤浓缩机
'wei'mei'xian 尾煤线
'wei'mei'ya'lv'ji 尾煤压滤机
'wei'nian'jie'mei 微粘结煤
'wei'zhi'chuan'gan'qi 位置传感器
'wen'du'bian'song'qi 温度变送器
'wen'du'chuan'gan'qi 温度传感器
'wen'jing 稳静
'wen'liu'tong 稳流筒
'wo'shi'feng'fa 卧式风阀
'wo'shi'li'xin 卧式离心
'wo'shi'zhen'dong 卧式振动
'wu'cang'ge'shi'cao'xing'feng'kou'cang 无仓格式槽形缝口仓
'wu'ge'guo'lv'ji 无格过滤机
'wu'ge'shi'zhen'kong'guo'lv'ji 无格式真空过滤机
'wu'hua'ji'gou 雾化机构
'wu'hui'ji 无灰基
'wu'hui'ji'mei 无灰基煤
'wu'huo'sai'tiao'tai'ji 无活塞跳汰机
'wu'ji'keng'wei'ji'gui'dao'heng 无基坑微机轨道衡
'wu'ji'sheng'jiao'che'diao'che 无极绳绞车调车
'wu'ji'xu'ning'ji 无机絮凝剂
'wu'shui'beng 污水泵
'wu'ya 无压
'wu'ya'gei'liao 无压给料
'wu'ya'san'chan'pin 无压三产品
'wu'ya'san'chan'pin'zhong'jie'xuan'liu'qi 无压三产品重介旋流器
'wu'yan'mei 无烟煤
'xi'chuo 吸啜
'xi'da'kuai 洗大块
'xi'di'shui'xiang 洗涤水箱
'xi'fen'mei 洗粉煤
'xi'fu'shui 吸附水
'xi'gan 洗矸
'xi'hun'kuai 洗混块
'xi'hun'mei 洗混煤
'xi'hun'mei'cang 洗混煤仓
'xi'hun'zhong'kuai 洗混中块
'xi'jie 稀介
'xi'jie'beng 稀介泵
'xi'jie'duan 稀介段
'xi'jie'tong 稀介桶
'xi'jie'zhi 稀介质
'xi'jie'zhi'tong 稀介质桶
'xi'jing'mei 洗精煤
'xi'li'mei 洗粒煤
'xi'li'mei 细粒煤
'xi'mei'chang 洗煤厂
'xi'mei'fang'fa 洗煤方法
'xi'mei'gong'yi 洗煤工艺
'xi'mei'ni 细煤泥
'xi'mei'she'bei 洗煤设备
'xi'mo 细磨
'xi'mo'mei 洗末煤
'xi'shi'shui 稀释水
'xi'shui'bi'lu'xun'huan 洗水闭路循环
'xi'shui'jing'hua 洗水净化
'xi'shui'mai'dong 洗水脉动
'xi'sui 细碎
'xi'te'da'kuai 洗特大块
'xi'xiao'kuai 洗小块
'xi'xuan'chang 洗选厂
'xi'xuan'gong'yi 洗选工艺
'xi'xuan'jia'gong 洗选加工
'xi'xuan'li'du 洗选粒度
'xi'yuan'mei 洗原煤
'xi'zhong'kuai 洗中块
'xi'zhong'mei 洗中煤
'xia'tuo'gun 下托辊
'xian'qi 现砌
'xian'shang 限上
'xian'shang'lv 限上率
'xian'xia 限下
'xian'xia'lv 限下率
'xiang'cha 详查
'xiang'jiao'shai 香蕉筛
'xiang'jiao'shai'mian 橡胶筛面
'xiang'mu'fu'ze'ren 项目负责人
'xiang'mu'jian'yi'shu 项目建议书
'xiang'mu'shi'shi'ji'hua 项目实施计划
'xiang'shi'ya'lv'ji 箱式压滤机
'xiang'xi'ke'xing'xing'yan'jiu 详细可行性研究
'xiang'xing'ji'chu 箱型基础
'xiao'che'shi 小车式
'xiao'fang'yong'shui 消防用水
'xiao'kuai 小块
'xiao'shou'mei'yang'shi 销售煤样室
'xiao'xiu 小修
'xie'bing 卸饼
'xie'cao 斜槽
'xie'cao'fen'xuan'ji 斜槽分选机
'xie'cha'ban'shi'zha'men 斜插板式闸门
'xie'che'ji 卸车机
'xie'jing 斜井
'xie'kuai 楔块
'xie'liao'che 卸料车
'xie'liao'gun 卸料辊
'xie'liao'xiao'che 卸料小车
'xie'liao'zha'men 卸料闸门
'xie'lun 斜轮
'xie'lun'fen'xuan'ji 斜轮分选机
'xie'mei 卸煤
'xie'mei'ji 卸煤机
'xie'mei'she'bei 卸煤设备
'xie'po'shi 斜坡式
'xie'tie 楔铁
'xin'jie'zhi 新介质
'xin'zhou 心轴
'xing'jiao 型焦
'xing'kuai 型块
'xing'mei 型煤
'xing'xing'gei'liao'ji 星形给料机
'xing'xing'pai'liao'ji 星形排料机
'xu'neng'qi 蓄能器
'xu'ning'ji 絮凝剂
'xu'ning'ji'beng 絮凝剂泵
'xu'yong 许用
'xuan'bi'lun'dou'shi 悬臂轮斗式
'xuan'chui'ci'tie'qi 悬垂磁铁器
'xuan'fu'ye 悬浮液
'xuan'fu'ye'mi'du'kong'zhi'xi'tong 悬浮液密度控制系统
'xuan'fu'ye'tong 悬浮液桶
'xuan'fu'yu're'qi'yao 悬浮预热器窑
'xuan'gan 选矸
'xuan'gan'che'jian 选矸车间
'xuan'gan'ji 选矸机
'xuan'gan'zuo'ye 选矸作业
'xuan'hui'po'sui'ji 旋回破碎机
'xuan'kuang'chang 选矿厂
'xuan'liu 选硫
'xuan'liu'fen'xuan 旋流分选
'xuan'liu'gong'yi 选硫工艺
'xuan'liu'liu'cheng 选硫流程
'xuan'liu'nong'suo 旋流浓缩
'xuan'liu'qi 旋流器
'xuan'liu'qi'zu 旋流器组
'xuan'liu'shai 旋流筛
'xuan'mei 选煤
'xuan'mei'chan'pin 选煤产品
'xuan'mei'chang 选煤厂
'xuan'mei'fa 选煤法
'xuan'mei'fang'fa 选煤方法
'xuan'mei'gong'ye'xing'shi'yan 选煤工业性试验
'xuan'mei'gong'yi 选煤工艺
'xuan'mei'gong'yi'she'ji 选煤工艺设计
'xuan'mei'gong'zuo'zhe 选煤工作者
'xuan'mei'gui'fan 选煤规范
'xuan'mei'she'bei 选煤设备
'xuan'mei'shou'ce 选煤手册
'xuan'mei'xiao'lv 选煤效率
'xuan'mei'yong 选煤用
'xuan'mei'zhuan'jia 选煤专家
'xuan'mei'zhuan'ye 选煤专业
'xuan'ze'xing'po'sui'ji 选择性破碎机
'xuan'zhuan'feng'fa 旋转风阀
'xuan'zhuan'gai'lv'shai 旋转概率筛
'xun'huan'guan'shi'gan'zao'ji 循环管式干燥机
'xun'huan'jie'zhi 循环介质
'xun'huan'shui 循环水
'xun'huan'shui'beng 循环水泵
'xun'huan'shui'xian 循环水线
'xun'huan'wu'liao 循环物料
'ya'ban 压板
'ya'feng'ji 压风机
'ya'jin'lv'ban 压紧滤板
'ya'li'bian'song'qi 压力变送器
'ya'li'chuan'gan'qi 压力传感器
'ya'li'qing'mei 亚沥青煤
'ya'lv'beng 压滤泵
'ya'lv'che'jian 压滤车间
'ya'lv'ji 压滤机
'ya'lv'mei'ni 压滤煤泥
'ya'lv'sha'beng 压滤砂泵
'ya'lv'tuo'shui 压滤脱水
'ya'lv'xi'tong 压滤系统
'ya'lv'xun'huan 压滤循环
'ya'lv'ye'chi 压滤液池
'ya'ru'shi'fu'xuan'ji 压入式浮选机
'ya'suo'ji 压缩机
'ya'suo'kong'qi'fang 压缩空气房
'ya'suo'qu 压缩区
'ya'tie 压铁
'ya'yan'mei 亚烟煤
'yan'mei 烟煤
'yan'xiang 岩相
'yang'jie 氧解
'yao'bi'shi 摇臂式
'yao'bi'shi'yuan'xing'liao'chang'dui'qu'liao'ji 摇臂式圆形料场堆取料机
'yao'chuang 摇床
'yao'dong'shai 摇动筛
'yao'ji'beng 药剂泵
'yao'ji'guan 药剂罐
'yao'ji'ku 药剂库
'yao'ji'xian 药剂线
'yao'wai'fen'jie'yao 窑外分解窑
'ye'ban 叶板
'ye'gu'bi 液固比
'ye'hua'yong'mei 液化用煤
'ye'lian'jiao 冶炼焦
'ye'lun'gei'liao'ji 叶轮给料机
'ye'lun'shi'gei'liao'ji 叶轮式给料机
'ye'wei'ji 液位计
'ye'ya'beng 液压泵
'ye'ya'zhan 液压站
'yi'dian'zhuang'che 一点装车
'yi'dong'wang'fu'gei'liao'ji 移动往复给料机
'yi'duan'ci'xuan 一段磁选
'yi'liu'cao 溢流槽
'yi'liu'chuang 溢流窗
'yi'liu'duan 溢流段
'yi'liu'guan 溢流管
'yi'liu'jing'mei 溢流精煤
'yi'liu'mei'cang 溢流煤仓
'yi'liu'shi 溢流室
'yi'liu'xing 溢流型
'yi'liu'yan 溢流堰
'yi'xuan 易选
'yi'xuan'mei 易选煤
'yin'feng'ji 引风机
'ying'zui'shi 鹰嘴式
'yong'ci'tong'shi'ci'xuan'ji 永磁筒式磁选机
'yong'hu'xing 用户型
'yong'hu'xuan'mei'chang 用户选煤厂
'yong'jiu'ci'tie 永久磁铁
'yong'tian'shi 永田式
'you'beng 油泵
'you'dao 油道
'you'ge'guo'lv'ji 有格过滤机
'you'ge'shi'zhen'kong'guo'lv'ji 有格式真空过滤机
'you'ji'xu'ning'ji 有机絮凝剂
'you'leng'shi 油冷式
'you'li'shui 游离水
'you'liu'liang'ji 油流量计
'you'lu 油路
'you'lv 油滤
'you'shi 右式
'you'shi'dan'kong'tuo'shui'zha'men 右式单孔脱水闸门
'you'xiao'xi'li 有效吸力
'you'ya 有压
'you'ya'gei'liao 有压给料
'you'ya'liang'chan'pin 有压两产品
'you'ya'san'chan'pin 有压三产品
'you'zhi'ku 油脂库
'yu'jiao 预搅
'yu're'qi'yao 预热器窑
'yu'shai'fen 预筛分
'yu'tuo'shui 预脱水
'yu'xian'fen'ji'shai 预先分级筛
'yu'xian'shai'fen 预先筛分
'yu'xian'tuo'ni 预先脱泥
'yu'xian'tuo'shui 预先脱水
'yu'xuan'gan 预选矸
'yu'zhi'zhuang'ji'chu 预制桩基础
'yuan'cang 圆仓
'yuan'huan'lian 圆环链
'yuan'liao'mei 原料煤
'yuan'liao'xi'tong 原料系统
'yuan'mei 原煤
'yuan'mei'cang 原煤仓
'yuan'mei'chang 原煤场
'yuan'mei'chu'mei'chang 原煤储煤场
'yuan'mei'fen'ji 原煤分级
'yuan'mei'fen'ji'shai 原煤分级筛
'yuan'mei'huan'chong'cang 原煤缓冲仓
'yuan'mei'po'sui'ji 原煤破碎机
'yuan'mei'shai 原煤筛
'yuan'mei'tuo'ni'shai 原煤脱泥筛
'yuan'mei'xi'tong 原煤系统
'yuan'mei'zhu'mei'chang 原煤贮煤场
'yuan'mei'zhun'bei 原煤准备
'yuan'mei'zhun'bei'che'jian 原煤准备车间
'yuan'pan'gei'liao'ji 圆盘给料机
'yuan'pan'guo'lv'ji 圆盘过滤机
'yuan'pan'shi'gei'liao'ji 圆盘式给料机
'yuan'pan'shi'zhen'kong'guo'lv'ji 圆盘式真空过滤机
'yuan'pan'zhen'kong'guo'lv'ji 圆盘真空过滤机
'yuan'tong'cang 圆筒仓
'yuan'tong'duan 圆筒段
'yuan'tong'fen'xuan 圆筒分选
'yuan'tong'shi'zhen'kong'guo'lv'ji 圆筒式真空过滤机
'yuan'tong'xing 圆筒型
'yuan'tong'xuan'liu'qi 圆筒旋流器
'yuan'tong'yuan'zhui'duan 圆筒圆锥段
'yuan'tong'zhen'kong'guo'lv'ji 圆筒真空过滤机
'yuan'ze'liu'cheng'tu 原则流程图
'yuan'zhen'dong'shai 圆振动筛
'yuan'zhui'ding'jiao 圆锥顶角
'yuan'zhui'po'sui'ji 圆锥破碎机
'yuan'zhui'xing 圆锥型
'yun'mei 运煤
'yun'shu'xian 运输线
'za'wu 杂物
'za'zhi 杂质
'zai'xi 再洗
'zai'xi'tiao'tai 再洗跳汰
'zai'xi'zhong'jie 再洗重介
'zai'xi'zuo'ye 再洗作业
'zai'xian'ce'hui'yi 在线测灰仪
'zai'xian'fen'xi'yi 在线分析仪
'zai'xuan 再选
'zai'xuan'tiao'tai 再选跳汰
'zai'xuan'yao'chuang 再选摇床
'zai'xuan'zhong'jie 再选重介
'zai'xuan'zuo'ye 再选作业
'zao'li 造粒
'zao'li'fen'xuan'ji 造粒分选机
'zeng'tuo'tai'cheng 增砣台秤
'zeng'zhan 增粘
'zha'ban 闸板
'zha'ban'pai'liao 闸板排料
'zha'jiang 渣浆
'zha'jiang'beng 渣浆泵
'zha'men 闸门
'zha'men'pai'liao 闸门排料
'zhai'gou'ping'tai 摘钩平台
'zhai'gui 窄轨
'zhai'gui'fan'che'ji 窄轨翻车机
'zhai'gui'gui'dao'heng 窄轨轨道衡
'zhai'gui'jian'che'ku 窄轨检车库
'zhai'gui'kuang'che 窄轨矿车
'zhai'ji'bie 窄级别
'zhan'ben'ji 占本级
'zhan'kai'tu 展开图
'zhan'kuang'pao'mo'cao 粘矿泡沫槽
'zhan'mei 粘煤
'zhan'quan'yang 占全样
'zhang'jin'gun 张紧辊
'zhe'dai'shi 折带式
'zhe'dai'shi'zhen'kong'guo'lv'ji 折带式真空过滤机
'zhe'dai'xie'liao 折带卸料
'zhen'ci 振次
'zhen'dong'bang'tiao'shai 振动棒条筛
'zhen'dong'gei'liao'ji 振动给料机
'zhen'dong'hu'xing'shai 振动弧形筛
'zhen'dong'pai'liao 振动排料
'zhen'dong'pai'liao'qi 振动排料器
'zhen'dong'qi 振动器
'zhen'dong'shai 振动筛
'zhen'dong'xie'liao 振动卸料
'zhen'dong'zhuang 振动桩
'zhen'kong'beng 真空泵
'zhen'kong'guo'lv'ji 真空过滤机
'zhen'kong'guo'lv'tuo'shui 真空过滤脱水
'zheng'che'ji'liang 整车计量
'zhi'cheng'gun'lun 支承滚轮
'zhi'cheng'zhuang 支撑桩
'zhi'dong'qi 制动器
'zhi'jie'ci'xuan 直接磁选
'zhi'jie'fu'xuan 直接浮选
'zhi'tui 支腿
'zhi'tui'yuan'pan 止推圆盘
'zhi'xian'deng'hou'shai 直线等厚筛
'zhi'xian'zhen'dong'shai 直线振动筛
'zhi'yang 制样
'zhi'yang'ban 制样板
'zhi'yang'shi 制样室
'zhi'zuo 支座
'zhong'che 重车
'zhong'che'tie'niu 重车铁牛
'zhong'deng'ke'xuan 中等可选
'zhong'deng'ke'xuan'mei 中等可选煤
'zhong'deng'pian'qiang'nian'jie'mei 中等偏强粘结煤
'zhong'deng'pian'ruo'nian'jie'mei 中等偏弱粘结煤
'zhong'di'hui 中低灰
'zhong'di're'zhi'mei 中低热值煤
'zhong'gao'hui 中高灰
'zhong'gao'hui'fa'fen 中高挥发分
'zhong'gao'hui'mei 中高灰煤
'zhong'gao'liu'mei 中高硫煤
'zhong'gao're'zhi'mei 中高热值煤
'zhong'guo'kuang'ye'da'xue 中国矿业大学
'zhong'hui'fa'fen 中挥发分
'zhong'hui'fen'mei 中灰分煤
'zhong'hui'mei 中灰煤
'zhong'jian'jia 中间架
'zhong'jian'jie 中间节
'zhong'jian'mei 中间煤
'zhong'jian'mei'han'liang'fa 中间煤含量法
'zhong'jian'mi'du'ji 中间密度级
'zhong'jie 重介
'zhong'jie'chang 重介厂
'zhong'jie'che'jian 重介车间
'zhong'jie'fen'xuan 重介分选
'zhong'jie'fen'xuan'ji 重介分选机
'zhong'jie'jing'mei 重介精煤
'zhong'jie'li'lun'fen'xuan'ji 重介立轮分选机
'zhong'jie'pai'gan 重介排矸
'zhong'jie'xi'mei 重介洗煤
'zhong'jie'xi'tong 重介系统
'zhong'jie'xie'lun'fen'xuan'ji 重介斜轮分选机
'zhong'jie'xuan 重介选
'zhong'jie'xuan'liu 重介旋流
'zhong'jie'xuan'liu'qi 重介旋流器
'zhong'jie'xuan'mei 重介选煤
'zhong'jie'xuan'mei'chang 重介选煤厂
'zhong'jie'ye 重介液
'zhong'jie'zai'xi 重介再洗
'zhong'jie'zai'xuan 重介再选
'zhong'jie'zhi 重介质
'zhong'jie'zhi'fen'xuan'ji 重介质分选机
'zhong'jie'zhi'pai'gan'che'jian 重介质排矸车间
'zhong'jie'zhi'xuan'gan'ji 重介质选矸机
'zhong'jie'zhi'xuan'liu'qi 重介质旋流器
'zhong'jie'zhi'xuan'mei 重介质选煤
'zhong'jie'zhu'xi 重介主洗
'zhong'jie'zhu'xuan 重介主选
'zhong'kuai 中块
'zhong'kuang 中矿
'zhong'kuang'wu 重矿物
'zhong'kuang'xiang 中矿箱
'zhong'kuang'zai'mo 中矿再磨
'zhong'li'tuo'shui 重力脱水
'zhong'li'xuan'kuang 重力选矿
'zhong'li'xuan'kuang'fa 重力选矿法
'zhong'li'xuan'mei 重力选煤
'zhong'liu'fen'mei 中硫分煤
'zhong'liu'mei 中硫煤
'zhong'mei 中煤
'zhong'mei'cang 中煤仓
'zhong'mei'duan 中煤段
'zhong'mei'fen'ji'shai 中煤分级筛
'zhong'mei'fen'ji'tuo'shui'shai 中煤分级脱水筛
'zhong'mei'he'jie'tong 中煤合介桶
'zhong'mei'liu'cao 中煤溜槽
'zhong'mei'po'sui'ji 中煤破碎机
'zhong'mei'shai 中煤筛
'zhong'mei'shi 中煤室
'zhong'mei'tuo'jie'shai 中煤脱介筛
'zhong'mei'tuo'jie'tuo'shui'shai 中煤脱介脱水筛
'zhong'mei'tuo'shui'shai 中煤脱水筛
'zhong'mei'tuo'shui'tuo'jie'shai 中煤脱水脱介筛
'zhong'mei'xi'jie'tong 中煤稀介桶
'zhong'mei'zhong'jie 中煤重介
'zhong'nian'jie 中粘结
'zhong're'zhi'mei 中热值煤
'zhong'shi 中式
'zhong'shi'tou'jia 中式头架
'zhong'su'gei'liao 中速给料
'zhong'sui 中碎
'zhong'xin'chuan'dong 中心传动
'zhong'xin'chuan'dong'shi 中心传动式
'zhong'xin'gei'liao'guan 中心给料管
'zhong'xin'guan 中心管
'zhong'xin'xing 中心型
'zhong'xin'xuan'mei'chang 中心选煤厂
'zhong'xiu 中修
'zhong'ye 重液
'zhong'zhan'mei 中粘煤
'zhou'bian'chi'tiao'chuan'dong 周边齿条传动
'zhou'bian'chuan'dong 周边传动
'zhou'bian'chuan'dong'shi 周边传动式
'zhou'bian'gun'lun'chuan'dong 周边辊轮传动
'zhou'ji'liang 轴计量
'zhou'wa 轴瓦
'zhu'chang'fang 主厂房
'zhu'dong'gun 主动辊
'zhu'jiao 铸胶
'zhu'jiao'gun'tong 铸胶滚筒
'zhu'jing 主井
'zhu'kuai'la'kai'lv'ban'xie'bing 逐块拉开滤板卸饼
'zhu'liang 主梁
'zhu'liao'chang 贮料场
'zhu'lv'ji 助滤剂
'zhu'mei 贮煤
'zhu'mei'cang 贮煤仓
'zhu'sai 柱塞
'zhu'shi 铸石
'zhu'shi'cao'xiang'gua'ban'shu'song'ji 铸石槽箱刮板输送机
'zhu'xi 主洗
'zhu'xi'tiao'tai 主洗跳汰
'zhu'xi'xi'tong 主洗系统
'zhu'xi'zhong'jie 主洗重介
'zhu'xi'zuo'ye 主洗作业
'zhu'xiao 柱销
'zhu'xiao'lian'zhou'qi 柱销联轴器
'zhu'xuan 主选
'zhu'xuan'tiao'tai 主选跳汰
'zhu'xuan'xi'tong 主选系统
