'jie'shang'xin'shi 皆伤心史
'jie'wen'jun'qu'he'fang 借问君去何方
'jie'wen'wen'shen'yu'he'wang 借问瘟神欲何往
'jie'you'tiao'li 皆有条理
'jie'zai'qing'huang 介在青黄
'jin'ci'yi'shang 尽此一觞
'jin'hou'fen'qi'qian'jun'bang 金猴奋起千钧棒
'jin'ri'chang'ying'zai'shou 今日长缨在手
'jin'ri'de'kuan'yu 今日得宽馀
'jin'ri'huan'hu'sun'da'sheng 今日欢呼孙大圣
'jin'ri'wu'jiang'jun 今日武将军
'jin'ri'xiang'he'fang 今日向何方
'jin'sha'shui'pai'yun'ya'nuan 金沙水拍云崖暖
'jin'ye'yan'chang 今也言长
'jin'you'chong'yang 今又重阳
'jin'ze'yu'yan 今则欲言
'jin'zhao'geng'hao'kan 今朝更好看
'jin'zhao'shuang'zhong'dong'men'lu 今朝霜重东门路
'jing'hui'shou 惊回首
'jing'qi'fen 旌旗奋
'jing'qian'dai'biao'lin'zu'han 敬遣代表林祖涵
'jing'qin'da'hai 精禽大海
'jing'shen'tong'ku 精神痛苦
'jing'tao'bai'gu'lei'san'zao 精逃白骨累三遭
'jing'wu'zheng'jun 经武整军
'jiu'guo'liang'fang 救国良方
'jiu'mao'bian'xin'yan 旧貌变新颜
'jiu'si'yi'sheng'ru'zuo 九死一生如昨
'jiu'wan'li 九万里
'jiu'yi'shan'shang'bai'yun'fei 九嶷山上白云飞
'jiu'you'ling'yun'zhi 久有凌云志
'ju'fu'shi 拒腐蚀
'ju'ran'er'si 遽然而死
'ju'wang'yi 俱往矣
'ju'zi'zhou'tou 橘子洲头
'juan'ji'shen'wu'nen 倦极身无恁
'jun'dai'bao'ji 均待报赍
'jun'fa'chong'kai'zhan 军阀重开战
'jun'jiao'gong'nong'ge'ming 军叫工农革命
'jun'jin'bu'xing'li'ren'shi 君今不幸离人世
'jun'min'tuan'jie'ru'yi'ren 军民团结如一人
'jun'shi'hao 军事好
'jun'xing'wu'wei'fa'hao'ge 君行吾为发浩歌
'kai'ce'ci'xiang 恺恻慈祥
'kai'tian'pi'di'jun'zhen'jian 开天辟地君真健
