'a'bi'de'nv'xing'ya'mu'qin 阿必的女性亚母亲
'wo'de'nv'er 我的女儿
'wo'he'chun'tian'you'ge'yue'hui 我和春天有个约会
'wo'men'de'xiao'zhen 我们的小镇
'wo'ren'shi'de'gui'zi'bing 我认识的鬼子兵
'wo'yu'cheng'ke 我与乘客
'wo'zai'tian'tang'deng'ni 我在天堂等你
'wu'bing'shen'yin 无病呻吟
'wu'chong'qing 雾重庆
'wu'dan 武旦
'wu'di 吴棣
'wu'dian'po 五典坡
'wu'fu'xing 武福星
'wu'gang'lun 吴刚伦
'wu'guan'zheng'qian 五官争谦
'wu'hong'xia 武红霞
'wu'jin'fu 吴金富
'wu'jing'chun 吴景春
'wu'kui'hai 武魁海
'wu'kui'hai 武奎海
'wu'kui'qiao 五奎桥
'wu'lin 吴林
'wu'ming'ying'xiong 无名英雄
'wu'pen'ji 乌盆记
'wu'ping 吴苹
'wu'qi'yu'ren 武器与人
'wu'qiong'de'sui'yue 无穷的岁月
'wu'sheng 武生
'wu'shi 武士
'wu'shi'sheng'fei 无事生非
'wu'shi'zi 五十子
'wu'song'da'hu 武松打虎
'wu'wai'you're'liu 屋外有热流
'wu'wei'shen 吴伟申
'wu'wen'long 吴文龙
'wu'xi'er 五喜儿
'wu'xin'an 吴新安
'wu'yuan'sha'fu 伍员杀府
'wu'yun'lin 吴云林
'wu'ze'tian 武则天
'wu'zhao'nan 吴兆南
'wu'zhui'zi 武坠子
'wu'zu'qing'zhong'de'nv'ren 无足轻重的女人
'xi'bo'lv'tuo'si 希波吕托斯
'xi'de 熙德
'xi'ha'nuo 西哈诺
'xi'he 夕鹤
'xi'ju'yu'fang'yan 戏剧与方言
'xi'ju'za'tan 戏剧杂谈
'xi'le 席勒
'xi'niu 犀牛
'xi'qu'za'tan 戏曲杂谈
'xi'shi 西施
'xi'xiang'feng 喜相逢
'xi'xiang'ji 西厢记
'xi'xiang'yuan 席香远
'xi'xiao'bo 奚啸伯
'xi'xing'sheng 熙醒生
'xi'zheng'meng 西征梦
'xia'fu'yi 夏福义
'xia'he'dong 下河东
'xia'jing'hua 夏景华
'xia'le'yi'zhi'yan 瞎了一只眼
'xia'wan'fu 夏万福
'xia'wen'hua 夏文化
'xia'wen'sheng 夏文升
'xia'yan 夏衍
'xia'zhi'heng 夏志恒
'xian'di'tu 献地图
'xian'heng'jiu'dian 咸亨酒店
'xian'hou 仙后
'xiang'ma'chuan 响马传
'xiang'ma'ping 响马平
'xiang'sheng 相声
'xiang'sheng'de'mei'li 相声的魅力
'xiang'sheng'ming'duan 相声名段
'xiang'sheng'ming'jia 相声名家
'xiao'bing 肖炳
'xiao'bo'na 萧伯纳
'xiao'guo'guang 肖国光
'xiao'jing'hu'tong 小井胡同
'xiao'lin 笑林
'xiao'ruo'lan 肖若兰
'xiao'sa'nv'hai 潇洒女孩
'xiao'sheng 小生
'xiao'sheng'hu 肖声虎
'xiao'tie'di'dao'ren 小铁笛道人
'xiao'wei 萧巍
'xiao'yu'ling 肖玉玲
'xiao'zhen'feng'qing 小镇风情
'xie'dou 械斗
'xie'rui'zhi 谢芮芝
'xie'shu'sen 谢树森
'xie'tian'rong 谢天荣
'xie'tian'shun 谢天顺
'xie'yao'huan 谢瑶环
'xin'bai'lin 辛白林
'xin'bao'shan 辛宝珊
'xin'bian'kong'yi'ji 新编孔乙己
'xin'bian'nv'qi'jie 新编女起解
'xin'chao'shang'ren 新潮商人
'xin'cun'zheng 新村正
'xin'di'li'tu 新地理图
'xin'fang 心防
'xin'hai'chao 辛亥潮
'xin'ju'zhang'dao'lai'zhi'qian 新局长到来之前
'xin'song'bin 辛松斌
'xin'tao'hua'yuan'ji 新桃花园记
'xin'wen'tao 辛文涛
'xin'wen'zheng 辛文正
'xin'yan'men'guan 新雁门关
'xing'bing'tao 邢炳涛
'xing'di'hai 邢迪海
'xing'wen'bo 邢文伯
'xing'wen'zhao 邢文召
'xu'bao'ku 徐保库
'xu'bao'yu 徐宝瑜
'xu'ce'pao'cheng 徐策跑城
'xu'chang'fu 徐长福
'xu'de'gui 绪得贵
'xu'de'kui 徐德奎
'xu'di'jian 徐迪建
'xu'jing'xin 徐景信
'xu'mao'chang 徐茂昌
'xu'pai 徐派
'xu'rui'hai 徐瑞海
'xu'song'lin 徐松林
'xu'wen'yue 许文跃
'xu'xiu'lin 许秀林
'xu'yong'gang 徐永刚
'xu'zu'guo 徐祖国
'xue'da'gu 学大鼓
'xue'fang'yan 学方言
'xue'jiao'huan 学叫唤
'xue'jing'ju 学京剧
'xue'mo'te 学模特
'xue'ping'gui 薛平贵
'xue'qiu'pai 学裘派
'xue'tong 雪童
'xue'yan'ri'ben'xi 学演日本戏
'xue'yue'ju 学越剧
'xue'zhi'xiu 薛志秀
'xue'zhui'zi 学坠子
'xun'han'ji 驯悍记
'xun'hui'sheng 荀慧生
'xun'tu 训徒
'ya'dian'de'tai'men 雅典的泰门
'ya'ju 哑剧
'ya'nv'gao'zhuang 哑女告状
'ya'po 压迫
'yan'bo'shan 阎伯山
'yan'jin'cheng 阎金城
'yan'ju'peng 言菊朋
'yan'lan'xiao'pu 燕兰小谱
'yan'ming 阎明
'yan'qing'yang 言庆洋
'yan'shao'peng 言少朋
'yan'shou'chen 彦授辰
'yan'xiao'ru 阎笑儒
'yan'xing'peng 言兴朋
'yan'yang'tian 艳阳天
'yan'yu'lin 严玉林
'yan'zhen'su 阎振俗
'yang'bao'sen 杨宝森
'yang'bao'zhang 杨宝璋
'yang'bo'ying 杨伯英
'yang'chang'ming 杨长鸣
'yang'chang'zhou 杨常州
'yang'di'zhong 杨迪中
'yang'gui'tian 杨贵田
'yang'hai'quan 杨海荃
'yang'hong'bin 杨洪滨
'yang'jin'ming 杨进明
'yang'jin'sheng 杨金声
'yang'jing'ting 杨静亭
'yang'lu 杨禄
'yang'men'nv'jiang 杨门女将
'yang'nai'peng 杨乃彭
'yang'ning 杨宁
'yang'ping'guan 阳平关
'yang'rui'ku 杨瑞库
'yang'shao'hua 杨少华
'yang'shao'kui 杨绍奎
'yang'shao'peng 杨少彭
'yang'shi'long 杨世龙
'yang'shi'zhang 杨世章
'yang'si'qi 杨四奇
'yang'song'lin 杨松临
'yang'tai 阳台
'yang'tian'li 杨天立
'yang'tian'mao 杨天茂
'yang'wei 杨威
'yang'wen'feng 杨文峰
'yang'wen'hua 杨闻华
'yang'wen'yi 杨文义
'yang'ya'song 杨雅松
'yang'yan'yi 杨燕毅
'yang'ying'cai 杨英彩
'yang'zhen'hua 杨振华
'yang'zhi'gang 杨志刚
'yang'zhi'guang 杨志光
'yang'zhi'min 杨稚敏
'yang'zi'yang 杨紫阳
'yang'zu'yao 杨祖尧
'yao'cui'guan 姚翠官
'yao'dan 姚旦
'yao'wen'hu 姚文虎
'yao'xin'guang 姚新光
'yao'yu'ming 姚玉明
'ye'jie'ping 叶杰平
'ye'jing'lin 叶景林
'ye'li'zhong 叶立中
'ye'ren 野人
'ye'se'mi'ren 夜色迷人
'ye'shang'hai 夜上海
'ye'shao'chen 叶少臣
'ye'sheng 叶声
'ye'sheng'lan 叶盛兰
'ye'shou'ting 叶寿亭
'ye'tai'zhen 叶太珍
'ye'tao 夜逃
'ye'wen'jie 叶文杰
'ye'xing'ji 夜行记
'ye'ya 野鸭
'ye'yong 叶涌
'yi 伊
'yi'bao'huan'yi'bao 一报还一报
'yi'bu'sheng 易卜生
'yi'chu'meng'de'xi'ju 一出梦的戏剧
'yi'fei'ge'na'ya'zai'yi'si 伊菲格纳亚在伊斯
'yi'fei'ge'na'ya'zai'yi'si'hao'cai'feng 伊菲格纳亚在伊斯郝彩凤
'yi'fei'lai'nie'ya 伊菲莱涅亚
'yi'fu'xi'shen 一幅喜神
'yi'ge'he'ba'ge 一个和八个
'yi'ge'nv'ren'he'yi'tiao'gou 一个女人和一条狗
'yi'ge'si'zhe'dui'sheng'zhe'de'fang'wen 一个死者对生者的访问
'yi'ge'tui'xiao'yuan 一个推销员
'yi'jiang'nan 忆江南
'yi'pian'ai'guo'xin 一片爱国心
'yi'ren'duo'jiao 一人多角
'yi'sheng'de'liang'nan'xuan'ze 医生的两难选择
'yi'su'she 易俗社
'yi'suo 伊索
'yi'tan'huang'jin 一坛黄金
'yi'weng 伊翁
'yi'zhi 一致
'yi'zhi'ma'feng 一只马蜂
'yin'da'zi 银达子
'yin'liang'su 尹良俗
'yin'mou'yu'ai'qing 阴谋与爱情
'yin'pai 尹派
'yin'pei'tian 殷培田
'yin'shou'shan 尹寿山
'yin'wen'shuo 殷文硕
'yin'xiao'sheng 尹笑声
'yin'yang'jian 阴阳鉴
'yin'zhen'jiang 殷振江
'yin'zhuo'lin 尹卓林
'ying'shi'ge'mi 影视歌迷
'ying'tao'yuan 樱桃园
'ying'tao'yuan 樱桃圆
'ying'xi'kao 影戏考
'ying'xiong'de'zhen'di 英雄的阵地
'you'gui'shan 游龟山
'you'ji'xiao'zhan'shi 游击小战士
'you'lan'nv'shi 幽兰女士
'you'nie'si'ku 尤涅斯库
'you'yi'song 友谊颂
'you'yi'zhong'du'yao 有一种毒药
'you'zui'de'mu'qin 有罪的母亲
'yu 鱼
'yu'bao'lin 于宝林
'yu'chang'jian 鱼肠剑
'yu'chun'ming 于春明
'yu'chun'zao 于春藻
'yu'de'long 裕德隆
'yu'er'fu 裕二福
'yu'er'wen'da 鱼儿问答
'yu'hai'hui'xia 雨还会下
'yu'hu'zhui 玉虎坠
'yu'hua'min 于化民
'yu'ju 豫剧
'yu'jun'bo 于俊波
'yu'ke'zhi 于克志
'yu'kuai'de'xi'ju'ji 愉快的戏剧集
'yu'kui'zhi 于魁智
'yu'lai'zi 玉来子
'yu'lian'zhong 于连仲
'yu'qian 于谦
'yu'ren 鱼人
'yu'shi'de 于世德
'yu'shi'you 于世猷
'yu'shu'tun'feng'qing 榆树屯风情
'yu'shu'xia'de'yu'wang 榆树下的欲望
'yu'shu'yan 余叔岩
'yu'tang'chun 玉堂春
'yu'wang'hao'jie'che 欲望号街车
'yu'wen'guang 余文光
'yu'wen'hai 于文海
'yu'wu'sheng'chu 于无声处
'yu'xiao'lan 于笑澜
'yu'xiao'ting 玉小亭
'yu'you'fu 于佑福
'yu'zhou'feng 宇宙锋
'yu'zhou'pai'xiang'yan 宇宙牌香烟
'yuan'chun'qi 元春起
'yuan'ke'qin 袁克勤
'yuan'men'zhan'zi 辕门斩子
'yuan'pai 袁派
'yuan'pei'lou 袁佩楼
'yuan'shi'hai 袁世海
'yuan'song'qi 袁松麒
'yuan'ye 原野
'yuan'zong'han 贠宗汉
'yue'han'wang 约翰王
'yue'ju 越剧
'za'tan'di'fang'xi 杂谈地方戏
'za'yin'bo'shi 杂音博士
'zai'hui'ba'xiang'gang 再会吧香港
'zai'kang'bu'er'cao'yuan'shang 在康布尔草原上
'zai'lu'shang 在路上
'zai'luo'ma 在罗马
'zai'tao'luo'ren'li'de'yi'fei'ge'na 在陶洛人里的伊菲格纳
'zai'tao'luo'ren'li'de'yi'fei'ge'na'ya 在陶洛人里的伊菲格纳亚
'zai'xin'shi'wu'de'mian'qian 在新事物的面前
'zang'hong 臧洪
'zao'tang 澡堂
'zao'yao'dan 造谣丹
'zao'yao'xue'xiao 造谣学校
'zei'shuo'hua 贼说话
'zha'mei'an 铡美案
'zha'pan'guan 铡判官
'zhan'bai'pao 斩白袍
'zhan'bei'yuan 战北原
'zhan'chang 站唱
'zhan'chang'sha 战长沙
'zhan'dan'tong 斩单童
'zhan'dou'de'xia'tian 战斗的夏天
'zhan'dou'li'cheng'zhang 战斗里成长
'zhan'huang'pao 斩黄袍
'zhan'jing'tang 斩经堂
'zhan'li'guang 斩李广
'zhan'ma'su 斩马谡
'zhan'qin'ying 斩秦英
'zhan'shu'ri 战暑日
'zhan'shuo 站说
'zhan'tai'ping 战太平
'zhan'xian'nan'yi 战线南移
'zhan'yao'qi 斩姚期
'zhang 张
'zhang'bao'ming 张保明
'zhang'bao'ru 张宝如
'zhang'bao'zhen 张宝珍
'zhang'bao'zhu 张宝珠
'zhang'bo'hua 张伯华
'zhang'bo'jun 张伯俊
'zhang'bo'tao 张伯涛
'zhang'bo'xun 张伯勋
'zhang'chong 张充
'zhang'chun'hua 张春华
'zhang'chun'kui 张春奎
'zhang'chun'sheng 张春生
'zhang'chun'wang 张春旺
'zhang'cun'zhu 张存珠
'zhang'da'li 张大礼
'zhang'de'jun 张德俊
'zhang'de'qi 张德起
'zhang'de'quan 张德泉
'zhang'ding'wang 张鼎望
'zhang'dong'bo 张东波
'zhang'fu'xiang 张福祥
'zhang'guang 张光
'zhang'guang'fa 张广发
'zhang'hong'bin 张鸿滨
'zhang'huo'ding 张火丁
'zhang'ji 张继
'zhang'ji'xian 张继贤
'zhang'ji'ying 张继英
'zhang'jia'li 张嘉利
'zhang'jian'guo 张建国
'zhang'jian'zhong 张建忠
'zhang'jie'yao 张杰尧
'zhang'jin'yu 张金玉
'zhang'ke 张克
'zhang'kui'qing 张奎清
'zhang'lan'qin 张兰秦
'zhang'li'lin 张立林
'zhang'li'sen 张立森
'zhang'lian'mai'bu 张连卖布
'zhang'lu 张鲁
'zhang'mao'qi 张茂起
'zhang'mei'ying 张梅英
'zhang'men'yao 掌门妖
'zhang'ming'xin 张明新
'zhang'nai'qin 张乃勤
'zhang'pan 张盘
'zhang'pei'ru 张佩如
'zhang'qian 张千
'zhang'qing'ji 张庆济
'zhang'qing'sen 张庆森
'zhang'san'lu 张三禄
'zhang'shan'ceng 张善曾
'zhang'shao'qing 张少清
'zhang'shao'tang 张绍堂
'zhang'shi'fang 张世芳
'zhang'shou'chen 张寿臣
'zhang'shu'mao 张树茂
'zhang'shu'xin 张书新
'zhang'song'qing 张松青
'zhang'ting'xuan 张庭萱
'zhang'wen'de 张闻得
'zhang'wen'fu 张文甫
'zhang'wen'hui 张文辉
'zhang'wen'ming 张文明
'zhang'wen'qi 张文琪
'zhang'wen'ru 张文茹
'zhang'wen'xi 张文习
'zhang'wen'xia 张文霞
'zhang'wen'xiang'ci'ma 张文祥刺马
'zhang'wen'xue 张文学
'zhang'xi'lin 张喜林
'zhang'xiao'liang 张小亮
'zhang'xiao'qin 张笑勤
'zhang'xing'hai 张兴海
'zhang'xing'han 张兴汉
'zhang'xing'hua 张兴华
'zhang'xue'yan 张学彦
'zhang'ya'cheng 张雅成
'zhang'ya'lu 张雅璐
'zhang'ya'sheng 张雅升
'zhang'yi'qin 张义勤
'zhang'yong'gan 张勇敢
'zhang'yong'jiu 张永久
'zhang'yong'xi 张永熙
'zhang'yu'qi 张玉琪
'zhang'yu'tang 张玉堂
'zhang'yun'wu 张云武
'zhang'zhen'qi 张振圻
'zhang'zhi'kuan 张志宽
'zhang'zhi'qiang 张志强
'zhang'zi'zhong 张自忠
'zhao'ai'ru 赵霭如
'zhao'bao'cheng 赵保成
'zhao'bao'gui 赵宝贵
'zhao'bao'le 赵保乐
'zhao'bao'xiu 赵葆秀
'zhao'bei'ting 赵辈亭
'zhao'bin 赵斌
'zhao'chuan'zhang 赵传璋
'zhao'chuan'zhen 赵传真
'zhao'chun'tian 赵春田
'zhao'de'liang 赵得亮
'zhao'di'xing 赵迪兴
'zhao'fu'yu 赵福玉
'zhao'guang'shan 赵广山
'zhao'heng 赵恒
'zhao'jin'sheng 赵津生
'zhao'jing 赵晶
'zhao'jiu'jiu 找舅舅
'zhao'lan'ting 赵兰亭
'zhao'li'wu 赵立梧
'zhao'lian'gong 赵连功
'zhao'lian'sheng 赵连升
'zhao'liang 赵亮
'zhao'pei'ru 赵佩茹
'zhao'shan 找山
'zhao'shi'gu'er 赵氏孤儿
'zhao'shi'zhong 赵世忠
'zhao'shou'fang 赵寿舫
'zhao'tang 找糖
'zhao'tang'hui 找堂会
'zhao'tian'shou 赵天寿
'zhao'wei'zhou 赵伟洲
'zhao'wen 赵文
'zhao'wen'hao 赵文浩
'zhao'wen'lan 赵文岚
'zhao'wen'qi 赵文启
'zhao'wen'zeng 赵稳增
'zhao'xiao'lan 赵小兰
'zhao'xiao'lin 赵小林
'zhao'xin'min 赵心敏
'zhao'xiu'jun 赵秀君
'zhao'yan 赵炎
'zhao'you'qiao 赵幼樵
'zhao'yu'gui 赵玉贵
'zhao'zhen'duo 赵振铎
'zhe'bai 浙百
'zhe'bu'guo'shi'chun'tian 这不过是春天
'zhe'gui'fu 折桂斧
'zhe'li'de'li'ming'jing'qiao'qiao 这里的黎明静悄悄
'zhe'li'de'nuo'fu 这里的诺夫
'zhe'zi'xi 折子戏
'zhen'cheng'zui'yao'jin 真诚最要紧
'zhen'jing 甄靖
'zhen'qi 甄奇
'zhen'xiang'bi'lu 真相毕露
'zheng'fu'shan 郑福山
'zheng'song'tao 郑松涛
'zheng'wen'kun 郑文昆
'zheng'wen'xi 郑文喜
'zheng'xiang'tai 郑祥泰
'zheng'xiao'shan 郑小山
'zheng'zai'xiang 正在想
'zheng'zhong'heng 郑仲衡
'zhi'ban'yi'sheng 值班医生
'zhi'qu'sheng'chen'gang 智取生辰纲
'zhi'xian'jian'xun'fu 知县见巡抚
'zhi'yuan'xin'chang 支援新厂
'zhi'zhe'qian'lv'bi'you'yi'shi 智者千虑必有一失
'zhong'cheng'juan'shu 终成眷属
'zhong'guo'meng 中国梦
'zhong'shen'da'shi 终身大事
'zhong'tai'hui 重台会
'zhong'xia'ye'zhi'meng 仲夏夜之梦
'zhou'de'shan 周德山
'zhou'en'lai'jun 周恩来君
'zhou'fu'guo 周辅国
'zhou'gui'lin 周桂林
'zhou'hong'ru 周洪儒
'zhou'qi 周琪
'zhou'ren'hui'fu 周仁回府
'zhou'wei 周伟
'zhou'wen'you 周文游
'zhou'yin'jin 周印金
'zhou'zhi'guang 周志光
'zhu'bu'sheng'ji 逐步升级
'zhu'feng'shan 朱凤山
'zhu'fu 祝福
'zhu'jing'quan 祝景荃
'zhu'jun'gui 朱君贵
'zhu'kuo'quan 朱阔泉
'zhu'pai 竺派
'zhu'qi 朱琦
'zhu'qing'shan 朱庆山
'zhu'qu'ti 主曲体
'zhu'shao'wen 朱绍文
'zhu'wen'xian 朱文先
'zhu'wen'zheng 朱文正
'zhu'xiang'chen 朱相臣
'zhu'yong'fu 朱永福
'zhu'yong'yi 朱永义
'zhu'zhen'fu 朱贞富
'zhu'zhou'yi 朱周义
'zhua'zhuang'ding 抓壮丁
'zhuang'pei'chen 庄佩臣
'zhuang'xiao'zui 装小嘴
'zhuang'yuan'mei 状元媒
'zhuang'zhou'shi'qi 庄周试妻
'zhui'bai'qiu 缀白裘
'zhuo'dao'ren 捉刀人
'zhuo'fang'cao 捉放曹
'zhuo'wen'jun 卓文君
'zi'di'bing'he'lao'bai'xing 子弟兵和老百姓
'zi'jin'zan 紫金簪
'zi'peng 自烹
'zou'de'jiang 邹德江
'zou'xue 走雪
'zu'ye'ye'de'fan'nao 祖爷爷的烦恼
'zui'cha'xian'sheng 最差先生
'zui'hou'de'sheng'li 最后的胜利
'zui'hou'yi'mu 最后一幕
'zui'jiu'de'nv'ren 醉酒的女人
'zuo'chang 坐唱
'zuo'chun'lai 左春来
'zuo'da'gua 做大褂
'zuo'shuo 坐说
