'ai'hao 爱好
'pei'fang'bei'shu 配方倍数
'pei'fang'dai'ma 配方代码
'pei'fang'lei'xing 配方类型
'pei'fang'ming'xi 配方明细
'pei'fang'zong'biao 配方总表
'pei'huo'cha'yi'dan 配货差异单
'pei'huo'cha'yi'dan'ming'xi 配货差异单明细
'pei'huo'cha'yi'dan'ri'zhi 配货差异单日志
'pei'huo'cha'yi'tong'zhi'dan 配货差异通知单
'pei'huo'cha'yi'tong'zhi'dan'ming'xi 配货差异通知单明细
'pei'huo'cheng'ben 配货成本
'pei'huo'chi 配货池
'pei'huo'chi'ri'zhi 配货池日志
'pei'huo'chi'sheng'cheng'dan'ju'biao 配货池生成单据表
'pei'huo'chi'sheng'cheng'dan'ju'ri'zhi 配货池生成单据日志
'pei'huo'chi'zong'biao 配货池总表
'pei'huo'chu'huo'dan 配货出货单
'pei'huo'dan'hang'hao 配货单行号
'pei'huo'dan'hao 配货单号
'pei'huo'dan'wei 配货单位
'pei'huo'e 配货额
'pei'huo'fang'shi 配货方式
'pei'huo'fang'shi'tiao'zheng'dan 配货方式调整单
'pei'huo'fang'shi'tiao'zheng'dan'ming'xi 配货方式调整单明细
'pei'huo'fang'shi'tiao'zheng'dan'ri'zhi 配货方式调整单日志
'pei'huo'fang'shi'tiao'zheng'dan'sheng'xiao'dan'wei'ming'xi 配货方式调整单生效单位明细
'pei'huo'gui'ge 配货规格
'pei'huo'han'shui'jin'e 配货含税金额
'pei'huo'jia 配货价
'pei'huo'jia'ji'suan'gong'shi 配货价计算公式
'pei'huo'jia'jin'jia'bi 配货价进价比
'pei'huo'jie'shu'shi'jian 配货结束时间
'pei'huo'kai'shi'shi'jian 配货开始时间
'pei'huo'ku'cun'shi'tu 配货库存视图
'pei'huo'lei'xing 配货类型
'pei'huo'ren 配货人
'pei'huo'ri'qi 配货日期
'pei'huo'shi'jian 配货时间
'pei'huo'shu 配货数
'pei'huo'shu'liang 配货数量
'pei'huo'tiao'zheng'e 配货调整额
'pei'huo'tiao'zheng'zong'e 配货调整总额
'pei'huo'tong'zhi'dan 配货通知单
'pei'huo'tong'zhi'dan'ming'xi 配货通知单明细
'pei'huo'tui'huo'cheng'ben 配货退货成本
'pei'huo'tui'huo'e 配货退货额
'pei'huo'tui'huo'shen'qing'dan 配货退货申请单
'pei'huo'tui'huo'shen'qing'dan'ming'xi 配货退货申请单明细
'pei'huo'tui'huo'shen'qing'dan'ming'xi'ming'xi 配货退货申请单明细明细
'pei'huo'tui'huo'shen'qing'dan'ri'zhi 配货退货申请单日志
'pei'huo'tui'huo'shu 配货退货数
'pei'huo'yuan'yin 配货原因
'pei'huo'zeng'pin'xie'yi 配货赠品协议
'pei'huo'zeng'pin'xie'yi'ming'xi 配货赠品协议明细
'pei'huo'zeng'pin'xie'yi'ri'zhi 配货赠品协议日志
'pei'huo'zeng'pin'xie'yi'sheng'xiao'men'dian'ming'xi 配货赠品协议生效门店明细
'pei'huo'zeng'pin'xie'yi'zeng'pin'ming'xi 配货赠品协议赠品明细
'pei'huo'zeng'pin'xie'yi'zhu'shang'pin'ming'xi 配货赠品协议主商品明细
'pei'huo'zeng'pin'xin'xi 配货赠品信息
'pei'huo'zeng'pin'xin'xi'ming'xi 配货赠品信息明细
'pei'huo'zhong'xin 配货中心
'pei'jian'zong'e 配件总额
'pei'ru'e 配入额
'pei'ru'he'shou'e 配入核售额
'pei'ru'he'suan'e 配入核算额
'pei'ru'qu'shui'e 配入去税额
'pei'ru'qu'shui'he'suan'e 配入去税核算额
'pei'ru'shu 配入数
'pei'ru'shui'e 配入税额
'pei'ru'tui'huo'qu'shui'e 配入退货去税额
'pei'ru'tui'huo'qu'shui'he'suan'e 配入退货去税核算额
'pei'ru'tui'huo'shui'e 配入退货税额
'pei'song'dan'jia 配送单价
'pei'song'fang'an 配送方案
'pei'song'fang'an'ming'xi 配送方案明细
'pei'song'fang'shi 配送方式
'pei'song'shi'jian 配送时间
'pei'song'zhong'xin 配送中心
'pei'wang'dan'wei 配往单位
'pei'zhi'fang'an 配置方案
'pei'zhi'fang'an'ming'xi 配置方案明细
'pei'zhi'xiang 配置项
'pei'zhi'xiang'dai'ma 配置项代码
'pei'zhi'xiang'ke'xuan'zhi 配置项可选值
'pei'zhi'xiang'ming 配置项名
'pei'zhi'xiang'shuo'ming 配置项说明
'pei'zhi'xiang'zhi 配置项值
'pei'zhi'xiang'zhi'lei'xing 配置项值类型
'pei'zhi'xiang'zhi'shuo'ming 配置项值说明
'pei'zi'dan'wei 配自单位
'pi'ci 批次
'pi'ci'biao'zhi 批次标志
'pi'ci'lu'xian 批次路线
'pi'fa'cu'xiao'jia 批发促销价
'pi'fa'cu'xiao'jin'jia'e 批发促销进价额
'pi'fa'dan'hao 批发单号
'pi'fa'e 批发额
'pi'fa'gui'ge 批发规格
'pi'fa'he'shou'e 批发核售额
'pi'fa'he'suan'e 批发核算额
'pi'fa'jia 批发价
'pi'fa'jia'cu'xiao'dan 批发价促销单
'pi'fa'jia'cu'xiao'dan'men'dian 批发价促销单门店
'pi'fa'jia'cu'xiao'dan'ming'xi 批发价促销单明细
'pi'fa'jia'cu'xiao'dan'ri'zhi 批发价促销单日志
'pi'fa'jin'jia'e 批发进价额
'pi'fa'lei'xing 批发类型
'pi'fa'qu'shui'e 批发去税额
'pi'fa'qu'shui'he'suan'e 批发去税核算额
'pi'fa'ri'qi 批发日期
'pi'fa'shu 批发数
'pi'fa'shu'liang 批发数量
'pi'fa'shui'e 批发税额
'pi'fa'tui'huo'cu'xiao'jin'jia'e 批发退货促销进价额
'pi'fa'tui'huo'e 批发退货额
'pi'fa'tui'huo'he'shou'e 批发退货核售额
'pi'fa'tui'huo'he'suan'e 批发退货核算额
'pi'fa'tui'huo'jin'jia'e 批发退货进价额
'pi'fa'tui'huo'qu'shui'e 批发退货去税额
'pi'fa'tui'huo'qu'shui'he'suan'e 批发退货去税核算额
'pi'fa'tui'huo'shu 批发退货数
'pi'fa'tui'huo'shu'liang 批发退货数量
'pi'fa'tui'huo'shui'e 批发退货税额
'pi'fa'ying'shou'zong'e 批发应收总额
'pi'fa'yu'e'kong'zhi 批发余额控制
'pi'hao 批号
'pi'pei'ci'shu 匹配次数
'pi'zhun'dan'jia 批准单价
'pi'zhun'dan'wei 批准单位
'pi'zhun'ren 批准人
'pi'zhun'ri'qi 批准日期
'pi'zhun'shi'jian 批准时间
'pi'zhun'shu'liang 批准数量
'pi'zhun'xiang'shu 批准箱数
'piao'ju'hao 票据号
'piao'ju'jin'e 票据金额
'piao'ju'lei'xing 票据类型
'piao'shu'ju 票数据
'piao'yi'shi'jian 漂移时间
'pin'lei'biao 品类表
'pin'lei'dai'ma 品类代码
'pin'lei'ding'yi'ji'te'dian 品类定义及特点
'pin'lei'fa'song'lie'biao 品类发送列表
'pin'lei'jue'ce'yin'su 品类决策因素
'pin'lei'men'dian'lei'xing 品类门店类型
'pin'lei'men'dian'ming'xi 品类门店明细
'pin'lei'shang'pin'jue'ce'yin'su'zhi 品类商品决策因素值
'pin'lei'shang'pin'ming'xi 品类商品明细
'pin'lei'xiu'gai'ri'zhi 品类修改日志
'pin'pai 品牌
'pin'pai'ceng'ji'ma 品牌层级码
'pin'pai'dai'ma 品牌代码
'pin'pai'lei'bie 品牌类别
'pin'xiang'shu 品项数
'ping'jun'xiao'shou'liang 平均销售量
'ping'ming'cheng 平名称
'ping'tai 平台
'ping'tai'dai'ma 平台代码
'ping'tai'huo'dong'ma 平台活动码
'ping'tai'ming'cheng 平台名称
'ping'xian'guang'gao'yu 屏显广告语
'pu'wei'zu'jin 铺位租金
'qi'chu'cheng'ben 期初成本
'qi'chu'cheng'ben'cha'e 期初成本差额
'qi'chu'diao'chu'e 期初调出额
'qi'chu'diao'chu'he'shou'e 期初调出核售额
'qi'chu'diao'chu'he'suan'e 期初调出核算额
'qi'chu'diao'chu'shu 期初调出数
'qi'chu'diao'ru'e 期初调入额
'qi'chu'diao'ru'he'shou'e 期初调入核售额
'qi'chu'diao'ru'he'suan'e 期初调入核算额
'qi'chu'diao'ru'shu 期初调入数
'qi'chu'he'shou'tiao'jia'e 期初核售调价额
'qi'chu'he'suan'tiao'jia'e 期初核算调价额
'qi'chu'hou'tai'you'hui'e 期初后台优惠额
'qi'chu'jia'gong'he'shou'e 期初加工核售额
'qi'chu'jia'gong'he'suan'e 期初加工核算额
'qi'chu'jia'gong'jin'e 期初加工金额
'qi'chu'jia'gong'shu'liang 期初加工数量
'qi'chu'jin'e 期初金额
'qi'chu'jin'huo'e 期初进货额
'qi'chu'jin'huo'shu 期初进货数
'qi'chu'jin'huo'tui'huo'e 期初进货退货额
'qi'chu'jin'huo'tui'huo'he'shou'e 期初进货退货核售额
'qi'chu'jin'huo'tui'huo'he'suan'e 期初进货退货核算额
'qi'chu'jin'huo'tui'huo'shu 期初进货退货数
'qi'chu'ku'cun'cheng'ben'e 期初库存成本额
'qi'chu'ku'cun'e 期初库存额
'qi'chu'ku'cun'ji'suan'shi'jian 期初库存计算时间
'qi'chu'ku'cun'qu'shui'e 期初库存去税额
'qi'chu'ku'cun'shu 期初库存数
'qi'chu'ku'cun'shu'ju'fa'song'jie'guo 期初库存数据发送结果
'qi'chu'ling'shou'e 期初零售额
'qi'chu'ling'shou'he'shou'e 期初零售核售额
'qi'chu'ling'shou'he'suan'e 期初零售核算额
'qi'chu'ling'shou'shu 期初零售数
'qi'chu'ling'shou'tui'huo'e 期初零售退货额
'qi'chu'ling'shou'tui'huo'he'shou'e 期初零售退货核售额
'qi'chu'ling'shou'tui'huo'he'suan'e 期初零售退货核算额
'qi'chu'ling'shou'tui'huo'shu 期初零售退货数
'qi'chu'pei'chu'e 期初配出额
'qi'chu'pei'chu'he'shou'e 期初配出核售额
'qi'chu'pei'chu'he'suan'e 期初配出核算额
'qi'chu'pei'chu'shu 期初配出数
'qi'chu'pei'chu'tui'huo'e 期初配出退货额
'qi'chu'pei'chu'tui'huo'he'shou'e 期初配出退货核售额
'qi'chu'pei'chu'tui'huo'he'suan'e 期初配出退货核算额
'qi'chu'pei'chu'tui'huo'shu 期初配出退货数
'qi'chu'pei'ru'e 期初配入额
'qi'chu'pei'ru'he'shou'e 期初配入核售额
'qi'chu'pei'ru'he'suan'e 期初配入核算额
'qi'chu'pei'ru'shu 期初配入数
'qi'chu'pi'fa'e 期初批发额
'qi'chu'pi'fa'he'shou'e 期初批发核售额
'qi'chu'pi'fa'he'suan'e 期初批发核算额
'qi'chu'pi'fa'shu 期初批发数
'qi'chu'pi'fa'tui'huo'e 期初批发退货额
'qi'chu'pi'fa'tui'huo'he'shou'e 期初批发退货核售额
'qi'chu'pi'fa'tui'huo'he'suan'e 期初批发退货核算额
'qi'chu'pi'fa'tui'huo'shu 期初批发退货数
'qi'chu'qian'tai'zhe'kou'e 期初前台折扣额
'qi'chu'shu'liang 期初数量
'qi'chu'sun'yi'he'shou'e 期初损溢核售额
'qi'chu'sun'yi'he'suan'e 期初损溢核算额
'qi'chu'sun'yi'shu 期初损溢数
'qi'chu'wei'jie'huo'kuan 期初未结货款
'qi'chu'wei'jie'jin'e 期初未结金额
'qi'chu'xiao'shou'e 期初销售额
'qi'chu'xiao'shou'fen'pei'tiao'zheng'e 期初销售分配调整额
'qi'chu'xiao'shou'fen'pei'tiao'zheng'shu 期初销售分配调整数
'qi'chu'xiao'shou'jin'e 期初销售金额
'qi'chu'xiao'shou'jin'jia'e 期初销售进价额
'qi'chu'xiao'shou'shu 期初销售数
'qi'chu'yi'jie'e 期初已结额
'qi'chu'yi'jie'jin'e 期初已结金额
'qi'chu'yi'jie'shu 期初已结数
'qi'chu'yi'jie'xiao'shou'e 期初已结销售额
'qi'chu'ying'jie'e 期初应结额
'qi'chu'ying'jie'jin'e 期初应结金额
'qi'chu'ying'jie'shu 期初应结数
'qi'chu'ying'jie'tiao'zheng'e 期初应结调整额
'qi'chu'ying'jie'tiao'zheng'shu 期初应结调整数
'qi'chu'ying'kui'he'shou'e 期初盈亏核售额
'qi'chu'ying'kui'he'suan'e 期初盈亏核算额
'qi'chu'ying'kui'shu 期初盈亏数
'qi'chu'yu'e 期初余额
'qi'chu'zhuan'chu'e 期初转出额
'qi'chu'zhuan'chu'he'shou'e 期初转出核售额
'qi'chu'zhuan'chu'he'suan'e 期初转出核算额
'qi'chu'zhuan'chu'shu 期初转出数
'qi'chu'zhuan'ru'e 期初转入额
'qi'chu'zhuan'ru'he'shou'e 期初转入核售额
'qi'chu'zhuan'ru'he'suan'e 期初转入核算额
'qi'chu'zhuan'ru'shu 期初转入数
'qi'chu'zi'ying'e 期初自营额
'qi'chu'zi'ying'he'shou'e 期初自营核售额
'qi'chu'zi'ying'he'suan'e 期初自营核算额
'qi'chu'zi'ying'shu 期初自营数
'qi'ding'jin'e 起定金额
'qi'ding'shu'liang 起定数量
'qi'hao 期号
'qi'ji'jin'e 起积金额
'qi'mo'cheng'ben 期末成本
'qi'mo'cheng'ben'jia 期末成本价
'qi'mo'jin'e 期末金额
'qi'mo'ku'cun'cheng'ben'e 期末库存成本额
'qi'mo'ku'cun'e 期末库存额
'qi'mo'ku'cun'qu'shui'e 期末库存去税额
'qi'mo'ku'cun'shu 期末库存数
'qi'mo'shu 期末数
'qi'mo'shu'liang 期末数量
'qi'mo'wei'jie'huo'kuan 期末未结货款
'qi'shi'biao'zhi 起始标志
'qi'shi'gou'mai'e 起始购买额
'qi'shi'gou'mai'tiao'jian 起始购买条件
'qi'shi'hao'ma 起始号码
'qi'shi'jin'e 起始金额
'qi'shi'ri 起始日
'qi'shi'ri'qi 起始日期
'qi'shi'shi'jian 起始时间
'qi'shi'tiao'jian 起始条件
'qi'shi'zeng'song'shu'liang 起始赠送数量
'qi'ta 其它
'qi'ta'biao'zhi 其它标志
'qi'ta'fei'yong 其他费用
'qi'ta'tiao'jian'miao'shu 其他条件描述
'qi'ta'ye'wu'zong'e 其它业务总额
'qi'ta'ying'shou'kuan 其他应收款
'qi'ta'zhe'kou 其他折扣
'qi'ye'fa'ren 企业法人
'qi'ye'xing'zhi 企业性质
'qi'yong'biao'zhi 启用标志
'qi'yong'ling'pai'guan'li 启用令牌管理
'qi'yong'ri'qi 启用日期
'qian'chu'shi'jian 签出时间
'qian'dao'dong'zuo 签到动作
'qian'dao'men'dian'hao 签到门店号
'qian'dao'ren 签到人
'qian'dao'ri'qi 签到日期
'qian'dao'shi'jian 签到时间
'qian'hou'tai'jiao'huan'zhuang'tai'biao 前后台交换状态表
'qian'shou'dan 签收单
'qian'shou'dan'dan'hao 签收单单号
'qian'shou'dan'sheng'cheng'shi'jian 签收单生成时间
'qian'tai'cao'zuo'ji'lu 前台操作记录
'qian'tai'dui'huan'dan'hao 前台兑换单号
'qian'tai'guang'gao'yu'sheng'xiao'biao 前台广告语生效表
'qian'tai'guang'gao'yu'wei'hu'dan 前台广告语维护单
'qian'tai'guang'gao'yu'wei'hu'dan'ri'zhi 前台广告语维护单日志
'qian'tai'guang'gao'yu'wei'hu'sheng'xiao'dan'wei 前台广告语维护生效单位
'qian'tai'shang'pin'biao'ji'dan 前台商品标记单
'qian'tai'shang'pin'biao'ji'dan'ming'xi 前台商品标记单明细
'qian'tai'shang'pin'biao'ji'dan'ri'zhi 前台商品标记单日志
'qian'tai'shang'pin'biao'ji'li'shi'biao 前台商品标记历史表
'qian'tai'shang'pin'biao'ji'sheng'xiao'dan'wei 前台商品标记生效单位
'qian'tai'xiao'fei'zhuang'tai 前台消费状态
'qian'tai'you'hui'e 前台优惠额
'qian'tai'zhe'kou'e 前台折扣额
'qian'yue'ren 签约人
'qian'yue'ri'qi 签约日期
'qian'zhi'mao'li 前置毛利
'qiang'zhi'biao'zhi 强制标志
'qiang'zhi'jie'shou 强制接收
'qiang'zhi'shen'he 强制审核
'qiang'zhi'shen'he'biao'zhi 强制审核标志
'qiang'zhi'xie'ru 强制写入
'qiang'zhi'xie'ru'biao'zhi 强制写入标志
'qing'chu'ku'cun 清除库存
'qing'chu'ku'cun'ming'xi 清除库存明细
'qing'dan'hao 清单号
'qing'dan'lei'bie 清单类别
'qing'dan'lei'xing 清单类型
'qing'dan'ming'cheng 清单名称
'qing'kong'zai'dan'liang'biao'zhi 清空在单量标识
'qing'qiu'ren'zheng'gong'si'dai'ma 请求认证公司代码
'qing'suan'ri'qi 清算日期
'qing'suan'xing'xing'hao 清算行行号
'qu'dao 渠道
'qu'dao'dai'ma 渠道代码
'qu'dao'lei'xing 渠道类型
'qu'dao'lei'xing'dai'ma 渠道类型代码
'qu'shui'dan'jia 去税单价
'qu'shui'jin'e 去税金额
'qu'shui'zhe'kou'jin'e 去税折扣金额
'qu'xian 区县
'qu'yu 区域
'qu'yu'dai'ma 区域代码
'qu'zheng'fang'shi 取整方式
'quan'xian 权限
'quan'xian'ji'bie 权限级别
'que'huo'kou'kuan'dan'jia 缺货扣款单价
'que'ren 确认
'que'ren'ren 确认人
'que'ren'ri'qi 确认日期
'que'ren'shi'jian 确认时间
'que'ren'shu'liang 确认数量
'que'sheng'cai'dan'jie'gou 缺省菜单结构
'que'sheng'cang'wei 缺省仓位
'que'sheng'gong'ying'shang 缺省供应商
'que'sheng'zhi 缺省值
'ren'wu'bei'zhu 任务备注
'ren'wu'bian'hao 任务编号
'ren'wu'can'shu 任务参数
'ren'wu'dan'hao 任务单号
'ren'wu'hao 任务号
'ren'wu'wan'cheng'qing'kuang 任务完成情况
'ren'wu'zhuang'tai 任务状态
'ren'zheng'chu'cuo'ci'shu 认证出错次数
'ri'jie'cheng'xu'zhu'ce'biao 日结程序注册表
'ri'qi 日期
'ri'qi'jie'xian 日期界限
'ri'zhi'bei'zhu 日志备注
'ri'zhi'shi'jian'fa'sheng'yuan 日志事件发生源
'ri'zhi'shi'jian'lei'xing 日志事件类型
'ru'cang'zhe'kou 入仓折扣
'shan'chu 删除
'shan'chu'biao'ji 删除标记
'shan'chu'biao'zhi 删除标志
'shan'chu'shi'jian 删除时间
'shan'chu'yu'ju 删除语句
'shang'biao 商标
'shang'ci'da'yin'shi'jian 上次打印时间
'shang'ci'fa'song'ren 上次发送人
'shang'ci'fa'song'ri'qi 上次发送日期
'shang'ci'fa'song'shi'jian 上次发送时间
'shang'ci'jiao'huan'shi'jian 上次交换时间
'shang'ci'jiao'huan'shi'ke 上次交换时刻
'shang'ci'jie'shou'shi'jian 上次接受时间
'shang'ci'jie'shou'shi'jian 上次接收时间
'shang'ci'ren'zheng'tong'guo'shi'jian 上次认证通过时间
'shang'ci'shen'he'shi'fou'pi'zhun 上次审核是否批准
'shang'ci'xia'zai'pian'yi'liang 上次下载偏移量
'shang'dian 商店
'shang'ji'bu'men'dai'ma 上级部门代码
'shang'ji'dai'ma 上级代码
'shang'ji'kong'zhi 上级控制
'shang'ji'zu'zhi 上级组织
'shang'jia'fen'tan'jin'e 商家分摊金额
'shang'jia'lv 上架率
'shang'pin 商品
'shang'pin'ban'ben 商品版本
'shang'pin'bao'zhuang 商品包装
'shang'pin'bao'zhuang'gui'ge 商品包装规格
'shang'pin'bei'zhu 商品备注
'shang'pin'biao'ji 商品标记
'shang'pin'biao'ji'biao 商品标记表
'shang'pin'cai'jia'biao 商品采价表
'shang'pin'cang'wei'ku'cun 商品仓位库存
'shang'pin'cang'wei'ku'cun'shang'xia'xian'dang'qian'zhi 商品仓位库存上下限当前值
'shang'pin'chang'du 商品长度
'shang'pin'cheng'ben'tiao'zheng'dan 商品成本调整单
'shang'pin'cheng'ben'tiao'zheng'dan'ming'xi 商品成本调整单明细
'shang'pin'chu'huo'nian'bao 商品出货年报
'shang'pin'chu'huo'ri'bao 商品出货日报
'shang'pin'chu'huo'ri'bao'qi'chu'zhi 商品出货日报期初值
'shang'pin'chu'huo'yue'bao 商品出货月报
'shang'pin'dai'ma 商品代码
'shang'pin'dan'jia 商品单价
'shang'pin'dan'wei 商品单位
'shang'pin'fan'wei 商品范围
'shang'pin'fan'wei'miao'shu 商品范围描述
'shang'pin'fu'wu'fei'jia'ge'cu'xiao'dan 商品服务费价格促销单
'shang'pin'fu'wu'fei'jia'ge'cu'xiao'dan'dang'qian'zhi 商品服务费价格促销单当前值
'shang'pin'fu'wu'fei'jia'ge'cu'xiao'dan'ming'xi 商品服务费价格促销单明细
'shang'pin'fu'wu'fei'jia'ge'cu'xiao'dan'ri'zhi 商品服务费价格促销单日志
'shang'pin'fu'wu'fei'jia'ge'tiao'zheng'dan 商品服务费价格调整单
'shang'pin'fu'wu'fei'jia'ge'tiao'zheng'dan'dang'qian'zhi 商品服务费价格调整单当前值
'shang'pin'fu'wu'fei'jia'ge'tiao'zheng'dan'ming'xi 商品服务费价格调整单明细
'shang'pin'fu'wu'fei'jia'ge'tiao'zheng'dan'ri'zhi 商品服务费价格调整单日志
'shang'pin'fu'wu'fei'shu'xing'biao 商品服务费属性表
'shang'pin'gao'du 商品高度
'shang'pin'gui'ge'biao 商品规格表
'shang'pin'gui'ge'shuo'ming 商品规格说明
'shang'pin'hang'hao 商品行号
'shang'pin'hui'yuan'jia 商品会员价
'shang'pin'hui'yuan'jia'gui'ze 商品会员价规则
'shang'pin'hui'yuan'jia'gui'ze'cao'zuo'ri'zhi 商品会员价规则操作日志
'shang'pin'hui'yuan'jin'e 商品会员金额
'shang'pin'hui'yuan'xiao'shou'dan'shu'xing'biao 商品会员销售单属性表
'shang'pin'ji'fen 商品积分
'shang'pin'jian'jie 商品简介
'shang'pin'jin'e 商品金额
'shang'pin'jin'huo'nian'bao 商品进货年报
'shang'pin'jin'huo'ri'bao 商品进货日报
'shang'pin'jin'huo'yue'bao 商品进货月报
'shang'pin'jing'ying'shi'ti 商品经营实体
'shang'pin'ka'ban'shu'biao 商品卡板数表
'shang'pin'ka'ban'shu'shi'tu 商品卡板数视图
'shang'pin'kuan'du 商品宽度
'shang'pin'kun'bang'biao 商品捆绑表
'shang'pin'kuo'zhan 商品扩展
'shang'pin'kuo'zhan'shu'xing'biao 商品扩展属性表
'shang'pin'kuo'zhan'shu'xing'lei'xing'ding'yi 商品扩展属性类型定义
'shang'pin'lei'bie'biao 商品类别表
'shang'pin'lei'bie'biao'qian 商品类别标签
'shang'pin'ma 商品码
'shang'pin'ming'xi'shu 商品明细数
'shang'pin'qing'dan 商品清单
'shang'pin'qing'dan'dan'lei'bie 商品清单单类别
'shang'pin'qing'dan'dan'ming'xi 商品清单单明细
'shang'pin'qing'dan'sheng'xiao'dan'wei'ming'xi 商品清单生效单位明细
'shang'pin'que'huo'ji'lu 商品缺货记录
'shang'pin'que'sheng'gong'ying'shang'tiao'zheng'dan 商品缺省供应商调整单
'shang'pin'que'sheng'gong'ying'shang'tiao'zheng'dan'ming'xi 商品缺省供应商调整单明细
'shang'pin'que'sheng'gong'ying'shang'tiao'zheng'dan'ri'zhi 商品缺省供应商调整单日志
'shang'pin're'jian 商品热键
'shang'pin'shai'xuan'tiao'jian 商品筛选条件
'shang'pin'sheng'xian'ma 商品生鲜码
'shang'pin'shi'tu 商品视图
'shang'pin'shu 商品数
'shang'pin'shu'liang 商品数量
'shang'pin'shu'ru'ma 商品输入码
'shang'pin'sun'hao'fei 商品损耗费
'shang'pin'suo'shu'cang'wei 商品所属仓位
'shang'pin'ti'cheng'jin'e 商品提成金额
'shang'pin'tiao'jia'biao 商品调价表
'shang'pin'tiao'jian 商品条件
'shang'pin'tiao'jian'shuo'ming 商品条件说明
'shang'pin'tiao'ma 商品条码
'shang'pin'tui'huo'tong'zhi'dan'hao 商品退货通知单号
'shang'pin'xiao'shou'ti'xing'lei'xing 商品销售提醒类型
'shang'pin'xiao'shou'ti'xing'xin'xi 商品销售提醒信息
'shang'pin'xin'xi'lin'shi'shu'ru 商品信息临时输入
'shang'pin'ying'xiao'fang'shi'dang'qian'zhi'biao 商品营销方式当前值表
'shang'pin'ying'xiao'fang'shi'tiao'zheng'dan 商品营销方式调整单
'shang'pin'ying'xiao'fang'shi'tiao'zheng'dan'ming'xi 商品营销方式调整单明细
'shang'pin'ying'xiao'fang'shi'tiao'zheng'dan'ri'zhi 商品营销方式调整单日志
'shang'pin'ying'xiao'fang'shi'tiao'zheng'dan'zhang'kuan'ming'xi 商品营销方式调整单账款明细
'shang'pin'ying'xiao'fang'shi'tiao'zheng'li'shi'ji'lu 商品营销方式调整历史记录
'shang'pin'zeng'ji'mi'cu'xiao'dan 商品赠吉米促销单
'shang'pin'zeng'ji'mi'cu'xiao'dan'ming'xi 商品赠吉米促销单明细
'shang'pin'zeng'ji'mi'cu'xiao'dan'ri'zhi 商品赠吉米促销单日志
'shang'pin'zeng'ji'mi'cu'xiao'dan'sheng'xiao'dan'wei'ming'xi 商品赠吉米促销单生效单位明细
'shang'pin'zhu'ma 商品主码
'shang'pin'zhuan'huan'biao 商品转换表
'shang'pin'zi'liao'shen'qing'dan 商品资料申请单
'shang'pin'zi'liao'shen'qing'dan'ming'xi 商品资料申请单明细
'shang'pin'zi'liao'shen'qing'dan'ri'zhi 商品资料申请单日志
'shang'pin'zi'liao'shen'qing'dan'shang'pin'shu'ru'ma 商品资料申请单商品输入码
'shang'pin'zi'liao'shen'qing'dan'sheng'xiao'men'dian'ming'xi 商品资料申请单生效门店明细
'shang'pin'zi'liao'shen'qing'dan'xiu'gai'shu'xing 商品资料申请单修改属性
'shang'pin'zong'biao 商品总表
'shang'pin'zong'biao'shi'tu 商品总表视图
'shang'pin'zong'e 商品总额
'shang'pin'zong'shu 商品总数
'shang'pin'zu 商品组
'shang'xian 上限
'shang'yue'cun'jia 上月存价
'shang'yue'ku'cun'jia 上月库存价
'she'bei 设备
'she'bei'bian'ma 设备编码
'she'bei'biao'zhi 设备标识
'she'bei'dai'ma 设备代码
'she'bei'duan'kou 设备端口
'she'bei'guan'li 设备管理
'she'bei'ka'hao 设备卡号
'she'bei'lei'xing 设备类型
'she'bei'ming'cheng 设备名称
'she'ru'suan'fa 舍入算法
'she'zhi'xin'xi 设置信息
'shen'du 深度
'shen'fen'zheng 身份证
'shen'fen'zheng'di'zhi 身份证地址
'shen'fen'zheng'hao 身份证号
'shen'fen'zheng'hao'ma 身份证号码
'shen'he'biao'zhi 审核标志
'shen'he'ji'bie 审核级别
'shen'he'ren 审核人
'shen'he'ri'qi 审核日期
'shen'he'shi'he'suan'jin'jia 审核时核算进价
'shen'he'shi'he'suan'shou'jia 审核时核算售价
'shen'he'shi'jian 审核时间
'shen'he'shi'sheng'xiao 审核时生效
'shen'he'zhuang'tai 审核状态
'shen'ling'dan'wei 申领单位
'shen'ling'ren 申领人
'shen'ling'shi'jian 申领时间
'shen'pi'biao'zhi 审批标志
'shen'pi'dan'wei 审批单位
'shen'pi'ren 审批人
'shen'pi'shi'jian 审批时间
'shen'qing'dan'jia 申请单价
'shen'qing'fang'shi 申请方式
'shen'qing'lai'yuan 申请来源
'shen'qing'men'dian 申请门店
'shen'qing'mo'shi 申请模式
'shen'qing'ren 申请人
'shen'qing'ri'qi 申请日期
'shen'qing'shu'liang 申请数量
'shen'qing'xiang'shu 申请箱数
'sheng'chan'chang'jia 生产厂家
'sheng'chan'shang 生产商
'sheng'cheng'bai'fen'bi 生成百分比
'sheng'cheng'chu'huo'dan'hao 生成出货单号
'sheng'cheng'chu'huo'dan'ming'xi'bei'zhu 生成出货单明细备注
'sheng'cheng'dan'hao 生成单号
'sheng'cheng'dan'ju 生成单据
'sheng'cheng'dan'ju'ji'lu 生成单据记录
'sheng'cheng'dan'ju'lei'xing 生成单据类型
'sheng'cheng'dan'ju'zhuang'tai 生成单据状态
'sheng'cheng'dan'wei 生成单位
'sheng'cheng'de'dan'ju'dan'hao 生成的单据单号
'sheng'cheng'de'dan'ju'lei'xing 生成的单据类型
'sheng'cheng'fang'shi 生成方式
'sheng'cheng'hang'hao 生成行号
