'an'gou 暗沟
'qiao'han'jing'kua'jing 桥涵净跨径
'qiao'han'lei'xing 桥涵类型
'qiao'han'she'ji 桥涵设计
'qiao'han'shi'gong 桥涵施工
'qiao'han'shui'wen 桥涵水文
'qiao'liang 桥梁
'qiao'liang'cheng'zai'li'ping'gu 桥梁承载力评估
'qiao'liang'he'zai'shi'yan 桥梁荷载试验
'qiao'liang'ji'shu'zhuang'kuang'ping'gu 桥梁技术状况评估
'qiao'liang'ji'suan'kua'jing 桥梁计算跨径
'qiao'liang'jian'zhu'gao'du 桥梁建筑高度
'qiao'liang'jie'gou'feng'xian 桥梁结构风险
'qiao'liang'jie'gou'feng'xian'ping'gu 桥梁结构风险评估
'qiao'liang'jie'gou'jian'kang'jian'ce 桥梁结构健康监测
'qiao'liang'jie'gou'wen'ding'shi'yan 桥梁结构稳定试验
'qiao'liang'jing'kua'jing 桥梁净跨径
'qiao'liang'mo'xing'feng'dong'shi'yan 桥梁模型风洞试验
'qiao'liang'mo'xing'shi'yan 桥梁模型试验
'qiao'liang'quan'chang 桥梁全长
'qiao'liang'shi'gong'kong'zhi 桥梁施工控制
'qiao'mian'jing'kong 桥面净空
'qiao'mian'pai'shui'xi'tong 桥面排水系统
'qiao'mian'pu'zhuang 桥面铺装
'qiao'mian'shen'suo'zhuang'zhi 桥面伸缩装置
'qiao'mian'xi 桥面系
'qiao'tai 桥台
'qiao'tou'da'ban 桥头搭板
'qiao'tou'ta'ban 桥头塔板
'qiao'tou'yin'dao 桥头引道
'qiao'wei 桥位
'qiao'xia'jing'kong 桥下净空
'qiao'xia'yi'ban'chong'shua 桥下一般冲刷
'qiao'zhou'xian'zong'duan'mian'ce'liang 桥轴线纵断面测量
'qie'xian'chang 切线长
'qin'shi 侵蚀
'qin'xian 侵限
'qing'sao'che 清扫车
'qing'xing'qiao'tai 轻型桥台
'qing'zhi'cai'liao'lu'di 轻质材料路堤
'qing'zhi'hun'ning'tu 轻质混凝土
'qu'hua'jiao'tong 渠化交通
'qu'hua'she'ji 渠化设计
'qu'jian'su'du 区间速度
'qu'tu'chang 取土场
'qu'tu'keng 取土坑
'qu'xian'chang 曲线长
'quan'duan'mian'fa 全断面法
'quan'duan'mian'kai'wa'fa 全断面开挖法
'quan'feng'bi'fu'he'chen'qi 全封闭复合衬砌
'quan'feng'bi'zhu'jiang 全封闭注浆
'quan'heng'xiang'tong'feng 全横向通风
'quan'neng'fa'ce'tu 全能法测图
'quan'qiu'wei'xing'ding'wei'xi'tong 全球卫星定位系统
'quan'xin'huo'dong'duan'lie 全新活动断裂
'quan'zhan'yi 全站仪
'quan'zhong 权重
'quan'zhong'xiang'liang 权重向量
'rao'xing'gong'lu 绕行公路
're'ban'fa 热拌法
're'pu'fa 热铺法
're'wen'xing 热稳性
'ren'gong'sha 人工砂
'ren'kou'shi'gu'lv 人口事故率
'ren'xing'dao 人行道
'ren'xing'dao'yang'hu 人行道养护
'ren'xing'di'dao 人行地道
'ren'xing'heng'dao 人行横道
'ren'xing'heng'dong 人行横洞
'ren'xing'qiao 人行桥
'ren'xing'tian'qiao 人行天桥
'rong'jie'du 溶解度
'rong'xian'xing 融陷性
'rong'xu'chen'jiang 容许沉降
'rong'xu'cheng'zai'li 容许承载力
'rong'xu'wan'chen 容许弯沉
'rou'xing'dun 柔性墩
'rou'xing'ji'ceng 柔性基层
'rou'xing'lu'mian 柔性路面
'ru'hua'li'qing 乳化沥青
'ru'jing'jiao'tong 入境交通
'ru'kou'duan 入口段
'ru'kou'za'dao 入口匝道
'ruan'hua'dian 软化点
'ruan'lian'jiao'sha'qiang'du'shi'yan 软练胶砂强度试验
'ruan'ruo'di'ji 软弱地基
'ruan'ruo'wei'yan 软弱围岩
'ruan'shi'tou'shui'guan 软式透水管
'ruan'tu 软土
'ruan'tu'di'qu 软土地区
'rui'dian'tiao'fen'fa 瑞典条分法
'rui'li'mian'bo'kan'tan 瑞利面波勘探
'sa'bu'ji 撒布机
'sa'shui'che 洒水车
'san'bian'ce'liang 三边测量
'san'gun'zhou'zheng'ping'ji 三辊轴整平机
'san'ji'gong'lu 三级公路
'san'ji'mo'hu'zong'he'ping'jia 三级模糊综合评价
'san'jiao'ce'liang 三角测量
'san'jiao'gao'cheng'ce'liang 三角高程测量
'san'wei'dong'tai'shi'ju 三维动态视距
'san'wei'wang'dian'zhi'bei'fang'hu 三维网垫植被防护
'san'zhou'shi'yan 三轴试验
'san'zhou'ya'suo'shi'yan 三轴压缩试验
'san'zhou'yi 三轴仪
'san'zhuang'shui'ni'yun'shu'che 散装水泥运输车
'sha'hai 沙害
'sha'jiang'beng 砂浆泵
'sha'jiang'chou'du'yi 砂浆稠度仪
'sha'jing 沙井
'sha'jing 砂井
'sha'lei'tu 砂类土
'sha'li 沙砾
'sha'li 砂砾
'sha'lv 砂率
'sha'tong 砂筒
'sha'tu 砂土
'sha'yao'shai'ji 砂摇筛机
'shai'fen 筛分
'shan'dian 闪点
'shan'dian'yi 闪点仪
'shan'ji'xian 山脊线
'shan'ling'qu 山岭区
'shan'ling'sui'dao 山岭隧道
'shan'ling'zhong'qiu'qu 山岭重丘区
'shan'po'xian 山坡线
'shan'yao'xian 山腰线
'shang'bu'jie'gou 上部结构
'shang'cheng'shi'qiao 上承式桥
'shang'kua'shi'li'ti'jiao'cha 上跨式立体交叉
'she'ji 设计
'she'ji'che'su 设计车速
'she'ji'di'zhen'dong'can'shu 设计地震动参数
'she'ji'feng'liang 设计风量
'she'ji'feng'su 设计风速
'she'ji'gao'cheng 设计高程
'she'ji'he'zai 设计荷载
'she'ji'hong'shui'pin'lv 设计洪水频率
'she'ji'jiang'yu'chong'xian'qi 设计降雨重现期
'she'ji'jiao'tong'liang 设计交通量
'she'ji'jing'liu'liang 设计径流量
'she'ji'liu'liang 设计流量
'she'ji'liu'su 设计流速
'she'ji'shen'liu'liang 设计渗流量
'she'ji'shi'yong'nian'xian 设计使用年限
'she'ji'shui'wei 设计水位
'she'ji'su'du 设计速度
'she'ji'tong'xing'neng'li 设计通行能力
'she'ji'wan'chen'zhi 设计弯沉值
'she'ji'xiao'shi'jiao'tong'liang 设计小时交通量
'she'ji'xiao'shi'xi'shu 设计小时系数
'she'ji'zhou'zai 设计轴载
'she'ji'zhuang'kuang 设计状况
'she'liu'feng'ji'zong'xiang'tong'feng 射流风机纵向通风
'she'shi'dai 设施带
'she'ying'ce'liang 摄影测量
'she'ying'hang'gao 摄影航高
'shen'ceng'jiao'ban'fa 深层搅拌法
'shen'ceng'tu'jia'gu 深层土加固
'shen'gou 渗沟
'shen'jing 渗井
'shen'lou 渗漏
'shen'lou'liang 渗漏量
'shen'lou'shui 渗漏水
'shen'lou'shui'yan'sheng'bing'hai 渗漏水衍生病害
'shen'lu'qian 深路堑
'shen'mai'sui'dao 深埋隧道
'shen'shui'jing 渗水井
'shen'shui'sui'dong 渗水隧洞
'shen'shui'xi'shu 渗水系数
'shen'shui'zhuang'tai 渗水状态
'shen'suo'feng 伸缩缝
'shen'tou'xi'shu 渗透系数
'shen'xian'hu'lu 神仙葫芦
'sheng'bo'tan'ce 声波探测
'sheng'dao 省道
'sheng'gan'xian'gong'lu 省干线公路
'shi'bie'ju'li 识别距离
'shi'bie'shi'ju 识别视距
'shi'fa'pen'bo 湿法喷播
'shi'fu'gong'qiao 实腹拱桥
'shi'gong 施工
'shi'gong'ce'liang 施工测量
'shi'gong'feng 施工缝
'shi'gong'fu'zhu'tong'dao 施工辅助通道
'shi'gong'he'zai 施工荷载
'shi'gong'jian'ce 施工监测
'shi'hua 湿化
'shi'hui'ji'liang 石灰剂量
'shi'hui'sha'jiang 石灰砂浆
'shi'hui'wen'ding'tu'ji'ceng 石灰稳定土基层
'shi'hui'zhuang 石灰桩
'shi'ji'hou'du'lv 实际厚度率
'shi'ji'qiang'du'lv 实际强度率
'shi'ji'tong'xing'neng'li 实际通行能力
'shi'jian'jian'ce 事件检测
'shi'jian'ping'jun'su'du 时间平均速度
'shi'ju 视距
'shi'ju'san'jiao'xing 视距三角形
'shi'kua'bi 矢跨比
'shi'kua'jing 矢跨径
'shi'kuai'lu'mian 石块路面
'shi'liao'mo'guang'zhi 石料磨光值
'shi'long 石笼
'shi'long'fang'hu 石笼防护
'shi'long'shi'dang'tu'qiang 石笼式挡土墙
'shi'pen 湿喷
'shi'pin'zhuang 试拼装
'shi'qiao 石桥
'shi'ti'qiao'dun 实体桥墩
'shi'xian'gao'du 视线高度
'shi'xian'xing'huang'tu 湿陷性黄土
'shi'xie 石屑
'shi'yan 试验
'shi'ye 视野
'shi'you'li'qing 石油沥青
'shi'zhen'du'ce'shi 失真度测试
'shi'zheng'dao'lu 市政道路
'shi'zhou 湿周
'shi'zi'ban'jian'qie'shi'yan 十字板剪切试验
'shi'zi'shai 石子筛
'shi'zi'xing'jiao'cha 十字形交叉
'shou'fei'fang'shi 收费方式
'shou'fei'gong'lu 收费公路
'shou'fei'xi'tong 收费系统
'shou'fei'zhan 收费站
'shou'fei'zhi'shi 收费制式
'shou'fu'shi'dan'lun'ya'lu'ji 手扶式单轮压路机
'shou'ji'kong'zhi'wang 首级控制网
'shou'la'hu'lu 手拉葫芦
'shou'suo 收缩
'shu'gen'zhuang 树根桩
'shu'jing 竖井
'shu'jing'song'pai'shi'zong'xiang'tong'feng 竖井送排式纵向通风
'shu'ju'cai'ji'she'bei 数据采集设备
'shu'ju'fen'xi'she'bei 数据分析设备
'shu'ju'ku 数据库
'shu'ju'xian'shi'she'bei 数据显示设备
'shu'niu'li'jiao 枢纽立交
'shu'qu'xian 竖曲线
'shu'song 疏松
'shu'song'ji 输送机
'shu'xiang'ya'ying'bian 竖向压应变
'shu'zi'di'mian'mo'xing 数字地面模型
'shu'zi'hua'ce'tu 数字化测图
'shuang'ce'bi'dao'keng'fa 双侧壁导坑法
'shuang'ceng'shi'hun'ning'tu'lu'mian 双层式混凝土路面
'shuang'qu'gong'qiao 双曲拱桥
'shuang'tong'shi'mo'hao'shi'yan'ji 双筒式磨耗试验机
'shuang'xiang'za'dao 双向匝道
'shui'beng 水泵
'shui'cheng'mo'pao'mo 水成膜泡沫
'shui'hua 水化
'shui'hua'xian'xiang 水滑现象
'shui'hui 水毁
'shui'hui'bi 水灰比
'shui'jiao'bi 水胶比
'shui'jie'sui'shi'lu'mian 水结碎石路面
'shui'ku'lu'ji 水库路基
'shui'li'ban'jing 水力半径
'shui'li'ji'suan 水力计算
'shui'mian'bi'jiang 水面比降
'shui'ni'an'ding'xing'shi'yan 水泥安定性试验
'shui'ni'bi'biao'mian'ji'yi 水泥比表面积仪
'shui'ni'biao'hao 水泥标号
'shui'ni'fen'mei'hui'sui'shi'zhuang 水泥粉煤灰碎石桩
'shui'ni'hun'ning'tu 水泥混凝土
'shui'ni'hun'ning'tu'ban'huo'she'bei 水泥混凝土拌和设备
'shui'ni'hun'ning'tu'biao'hao 水泥混凝土标号
'shui'ni'hun'ning'tu'hua'mo'tan'pu'ji 水泥混凝土滑模摊铺机
'shui'ni'hun'ning'tu'hun'he'liao 水泥混凝土混合料
'shui'ni'hun'ning'tu'hun'he'liao'ban'huo'she'bei 水泥混凝土混合料拌和设备
'shui'ni'hun'ning'tu'hun'he'liao'beng 水泥混凝土混合料泵
'shui'ni'hun'ning'tu'hun'he'liao'jiao'ban'yun'shu'che 水泥混凝土混合料搅拌运输车
'shui'ni'hun'ning'tu'hun'he'liao'tan'pu'ji 水泥混凝土混合料摊铺机
'shui'ni'hun'ning'tu'hun'he'liao'zheng'mian'ji 水泥混凝土混合料整面机
'shui'ni'hun'ning'tu'lu'mian 水泥混凝土路面
'shui'ni'hun'ning'tu'lu'mian'ju'feng'ji 水泥混凝土路面锯缝机
'shui'ni'hun'ning'tu'lu'mian'qie'feng'ji 水泥混凝土路面切缝机
'shui'ni'hun'ning'tu'lu'mian'qing'feng'ji 水泥混凝土路面清缝机
'shui'ni'hun'ning'tu'pei'he'bi 水泥混凝土配合比
'shui'ni'hun'ning'tu'she'ji'qiang'du'deng'ji 水泥混凝土设计强度等级
'shui'ni'hun'ning'tu'tan'pu'ji 水泥混凝土摊铺机
'shui'ni'ji'liang 水泥剂量
'shui'ni'kang'ya'qiang'du'deng'ji 水泥抗压强度等级
'shui'ni'kang'zhe'qiang'du'deng'ji 水泥抗折强度等级
'shui'ni'ru'hua'li'qing 水泥乳化沥青
'shui'ni'sha'jiang 水泥砂浆
'shui'ni'shai 水泥筛
'shui'ni'tu'jiao'ban'fa 水泥土搅拌法
'shui'ni'wen'ding'tu'ji'ceng 水泥稳定土基层
'shui'tou 水头
'shui'wei 水位
'shui'wen'ce'liang 水文测量
'shui'wen'di'zhi'tiao'jian 水文地质条件
'shui'wen'diao'cha 水文调查
'shui'wen'ji'suan 水文计算
'shui'wen'xing 水稳性
'shui'ying'xing 水硬性
'shui'yu'di'zhen'bo'kan'tan 水域地震波勘探
'shui'zhun'ce'liang 水准测量
'shui'zhun'dian 水准点
'shui'zhun'yi 水准仪
'shun'ba 顺坝
'shun'bian'dian'ci'fa 瞬变电磁法
'si'ji'gong'lu 四级公路
'song'dong'bao'po 松动爆破
'song'feng'kou 送风口
'song'pu'hou'du 松铺厚度
'song'pu'xi'shu 松铺系数
'song'san'ya'li 松散压力
'song'tu'ji 松土机
'song'tu'jiao'ban'ji 松土搅拌机
'su'du'cha 速度差
'su'du'jian'ce'qi 速度检测器
'su'du'li'san'xing 速度离散性
'su'liao'pai'shui'guan 塑料排水管
'su'xian 塑限
'su'xing'zhi'shu 塑性指数
'sui'dao 隧道
'sui'dao'bian'xing 隧道变形
'sui'dao'di'bu'xiang'shang'de'long'qi 隧道底部向上的隆起
'sui'dao'fang'shui 隧道防水
'sui'dao'fang'shui'ge'li'ceng 隧道防水隔离层
'sui'dao'gong'cheng 隧道工程
'sui'dao'huo'zai 隧道火灾
'sui'dao'jia'gu 隧道加固
'sui'dao'jian'ce'yu'jian'ce 隧道监测与检测
'sui'dao'jian'zhu'xian'jie 隧道建筑限界
'sui'dao'jie'gou 隧道结构
'sui'dao'jing'kong'duan'mian 隧道净空断面
'sui'dao'lei'xing 隧道类型
'sui'dao'qun 隧道群
'sui'dao'she'ji 隧道设计
'sui'dao'shi'gong 隧道施工
'sui'dao'tan'fang 隧道坍方
'sui'dao'tong'feng 隧道通风
'sui'dao'yong'shui 隧道涌水
'sui'dao'zhao'ming 隧道照明
'sui'dao'zhi'cheng 隧道支撑
'sui'luo 碎落
'sui'luo'tai 碎落台
'sui'shi 碎石
'sui'shi'dian'ceng 碎石垫层
'sui'shi'hua'she'bei 碎石化设备
'sui'shi'ji 碎石机
'sui'shi'li'qing'hun'ning'tu 碎石沥青混凝土
'sui'shi'lu'mian 碎石路面
'sui'shi'sa'bu'ji 碎石撒布机
'sui'shi'tan'pu'ji 碎石摊铺机
'sui'shi'tu 碎石土
'sun'shang 损伤
'suo'an 索鞍
'suo'feng 缩缝
'suo'ta 索塔
'suo'xian 缩限
'ta'fang 塌方
'ta'kan 踏勘
'ta'luo'du 塌落度
'ta'luo'du'yuan'zhui'yi 塌落度圆锥仪
'tai'di 台地
'tai'kou'shi'lu'ji 台口式路基
'tai'mao 台帽
'tai'shen 台身
'tan'fang 坍方
'tan'hua 碳化
'tan'luo'du 坍落度
'tan'luo'du'yuan'zhui'tong 坍落度圆锥筒
'tan'pu 摊铺
'tan'xian'wei 碳纤维
'tan'xing'ceng'zhuang'ti'xi'li'lun 弹性层状体系理论
'tan'xing'mo'liang 弹性模量
'tan'xing'mo'liang'shi'yan 弹性模量试验
'tao'gong 套拱
'tao'gong'jia'gu 套拱加固
'tao'guan 套管
'te'da'qiao 特大桥
'te'shu'jian'ce 特殊检测
'te'shu'lu'ji 特殊路基
'te'shu'tu 特殊土
'te'shu'xing'yan'tu 特殊性岩土
'ti'sheng'ji 提升机
'tian'fang 填方
'tian'feng'liao 填缝料
'tian'ran'di'ji 天然地基
'tian'ran'li'qing 天然沥青
'tian'ran'li'qing'he'shi'you'li'qing'de'zong'cheng 天然沥青和石油沥青的总称
'tian'shi'lu'di 填石路堤
'tian'shi'shen'gou 填石渗沟
'tiao'zhi'gou'zao'wu 调治构造物
'tie'lu'li'ti'jiao'cha 铁路立体交叉
'ting'che'chang 停车场
'ting'che'che'dao 停车车道
'ting'che'dai 停车带
'ting'che'qu 停车区
'ting'che'shi'ju 停车视距
'tong'bu'sui'shi'feng'ceng 同步碎石封层
'tong'bu'sui'shi'feng'ceng'ji 同步碎石封层机
'tong'dao'kong'zhi 通道控制
'tong'feng'dao 通风道
'tong'feng'gou'zao'wu 通风构造物
'tong'feng'jing 通风井
'tong'feng'she'shi 通风设施
'tong'hang'shui'wei 通航水位
'tong'li'jing'ji'liao 同粒径集料
'tong'xiang'qu'xian 同向曲线
'tong'xing'neng'li 通行能力
'tong'yong'shu'yu 通用术语
'tou'ceng 透层
'tou'shui'lu'di 透水路堤
'tou'shui'lu'mian 透水路面
'tou'shui'xing'shi'yan 透水性试验
'tu'de'shen'tou'xing 土的渗透性
'tu'ding'zhi'hu 土钉支护
'tu'fang'tiao'pei 土方调配
'tu'fang'tiao'pei'jing'ji'yun'ju 土方调配经济运距
'tu'fang'tiao'pei'tu 土方调配图
'tu'gong'ge'shan 土工格栅
'tu'gong'ge'shi 土工格室
'tu'gong'mo'dai 土工膜袋
'tu'gong'zhi'wu 土工织物
'tu'gong'zhi'wu'ruan'ti'chen'pai 土工织物软体沉排
'tu'ji'xian'chang'shi'yan 土基现场试验
'tu'li'bi'zhong 土粒比重
'tu'lu'jian 土路肩
'tu'mian'jing 凸面镜
'tu'qi'lu'biao 突起路标
'tu'rang'gu'hua'ji 土壤固化剂
'tu'shi'fang'bao'po 土石方爆破
'tu'shi'fang'gong'cheng 土石方工程
'tu'shi'fang'tiao'pei 土石方调配
'tu'shi'fang'tiao'pei'tu 土石方调配图
'tu'xing'shu'qu'xian 凸形竖曲线
'tu'zhi'sui'dao 土质隧道
'tui'jian'xing'biao'zhun 推荐性标准
'tui'tu'ji 推土机
'tui'yi'shi'hua'po 推移式滑坡
'tui'yi'zhi 推移质
'tuo'kuan'lu'kou'shi'jiao'cha'kou 拓宽路口式交叉口
'tuo'tou'che 拖头车
'wa'fang 挖方
'wa'gou'ji 挖沟机
'wa'jue'ji 挖掘机
'wa'shi'da'hang'ji 蛙式打夯机
'wa'si 瓦斯
'wa'si'bao'zha 瓦斯爆炸
'wa'si'nong'du 瓦斯浓度
'wai'ce'che'dao 外侧车道
'wai'chan'ji 外掺剂
'wai'he'zai'zuo'yong 外荷载作用
'wai'jia'ji 外加剂
'wai'ju 外距
'wai'shi'ju 外矢距
'wan'che'shi'gu'si'wang'lv 万车事故死亡率
'wan'chen'shi'yan 弯沉试验
'wan'dao'fan'guang'jing 弯道反光镜
'wan'dao'jia'kuan 弯道加宽
'wan'la'qiang'du'bian'yi'xi'shu 弯拉强度变异系数
'wan'la'qiang'du'she'ji'biao'zhun'zhi 弯拉强度设计标准值
'wan'neng'gan'jian 万能杆件
'wan'neng'shi'yan'ji 万能试验机
'wan'qiao 弯桥
'wei'biao'chu 微表处
'wei'biao'chu'tan'pu'ji 微表处摊铺机
'wei'bo'chou'du 维勃稠度
'wei'bo'chou'du'yi 维勃稠度仪
'wei'bo'gong'zuo'du'yi 维勃工作度仪
'wei'fen'fa'ce'tu 微分法测图
'wei'hu 维护
'wei'peng'zhang'hun'ning'tu 微膨胀混凝土
'wei'pian'ce'liang 卫片测量
'wei'qiu'qu 微丘区
'wei'xing'zhuang 微型桩
'wei'xiu 维修
'wei'yan 围堰
'wei'yan 围岩
'wei'yan'fen'ji 围岩分级
'wei'yan'ji'ben'zhi'liang'zhi'biao 围岩基本质量指标
'wei'yan'nei'bu'wei'yi 围岩内部位移
'wei'yan'xiu'zheng'zhi'liang'zhi'biao 围岩修正质量指标
'wei'yan'ya'li 围岩压力
'wei'yan'zhu'jiang 围岩注浆
'wei'yi 位移
'wen'ban'fa 温拌法
'wen'ban'li'qing'hun'he'liao'lu'mian 温拌沥青混合料路面
'wen'cha'ying'li 温差应力
'wen'ding'tu'ban'he'ji 稳定土拌和机
'wen'ding'tu'ji'ceng 稳定土基层
'wen'ding'tu'li'liao 稳定土粒料
'wen'ding'xing 稳定性
'wen'du'ce'shi 温度测试
'wen'du'ti'du 温度梯度
'wen'du'ying'li'xi'shu 温度应力系数
'wen'du'ying'li'zhe'jian'xi'shu 温度应力折减系数
'wu'feng'ceng 雾封层
'wu'gong'fang'hu 圬工防护
'wu'gong'qiao 圬工桥
'wu'ji'jie'he'wu 无机结合物
'wu'ji'liao 无机料
'wu'ji'liao'wen'ding'tu'ji'ceng 无机料稳定土基层
'wu'lun'ping'zheng'du'ce'ding'yi 五轮平整度测定仪
'wu'lun'yi 五轮仪
'wu'sha'hun'ning'tu'shen'gou 无砂混凝土渗沟
'wu'sun'jian'ce 无损检测
'wu'tan'fa 物探法
'wu'xian'chuan'shu 无线传输
'wu'ya'li'shi'han'dong 无压力式涵洞
'xi'du 细度
'xi'du'mo'shu 细度模数
'xi'gan 系杆
'xi'gan'gong'qiao 系杆拱桥
'xi'jiang'feng'ceng 稀浆封层
'xi'jiang'feng'ceng'ji 稀浆封层机
'xi'jing'ji'pen'bu'che 洗净剂喷布车
'xi'li'tu 细粒土
'xi'tong'mao'gan 系统锚杆
'xi'tong'xiang'ying'shi'jian 系统响应时间
'xia'bu'jie'gou 下部结构
'xia'cheng'ceng 下承层
'xia'cheng'shi'qiao 下承式桥
'xia'chuan'shi'li'ti'jiao'cha 下穿式立体交叉
'xia'gu 峡谷
'xian'chang'ding'xian 现场定线
'xian'chang're'zai'sheng'shi'gong'she'bei 现场热再生施工设备
'xian'dao 县道
'xian'gong'lu 县公路
'xian'kong'zhi 线控制
'xian'liu'bing 涎流冰
'xian'lu'ping'mian'ni'he 线路平面拟合
'xian'lu'zong'mian'ni'he 线路纵面拟合
'xian'pai'fu'he'chen'qi 限排复合衬砌
'xian'wei'fu'he'cai'liao 纤维复合材料
'xian'wei'hun'ning'tu 纤维混凝土
'xian'wei'hun'ning'tu'lu'mian 纤维混凝土路面
'xian'wei'kang'la'qiang'du'shi'yan'ji 纤维抗拉强度试验机
'xian'xing 线形
'xian'xing'fan'wei 线性范围
'xian'xing'she'ji 线形设计
'xian'xing'xie'tiao'xing 线形协调性
'xian'xing'yao'su 线形要素
'xian'xing'yi'zhi'xing 线形一致性
'xian'zhang'fa 先张法
'xiang'cun'dao'lu 乡村道路
'xiang'dao 乡道
'xiang'dui'han'shui'lv 相对含水率
'xiang'dui'mi'du 相对密度
'xiang'dui'mi'shi'du 相对密实度
'xiang'dui'shi'gu'lv 相对事故率
'xiang'gong'lu 乡公路
'xiang'han 箱涵
'xiang'jiao 橡胶
'xiang'jiao'li'qing'lu'mian 橡胶沥青路面
'xiang'pian'fen'bian'lv 像片分辨率
'xiang'pian'kong'zhi'ce'liang 像片控制测量
'xiang'pian'kong'zhi'dian 像片控制点
'xiang'pian'suo'yin'tu 相片索引图
'xiang'pian'tiao'hui 像片调绘
'xiang'pian'xiang'qian'tu 像片镶嵌图
'xiang'pian'xiang'qian'tu 相片镶嵌图
'xiang'wei'cha 相位差
'xiang'xi'kan'cha 详细勘察
'xiang'xian'jiao 象限角
'xiao'dao'guan'zhu'jiang 小导管注浆
'xiao'fang'she'shi 消防设施
'xiao'jing'ju'sui'dao 小净距隧道
'xiao'ke'che'zhuan'yong'che'dao 小客车专用车道
'xiao'qiao 小桥
'xiao'xiu'bao'yang 小修保养
'xie'ce'yi 斜测仪
'xie'jiao'cha 斜交叉
'xie'jiao'qiao 斜交桥
'xie'jing 斜井
'xie'la'qiao 斜拉桥
'xie'la'suo 斜拉索
'xie'po'shi'lu'di 斜坡式路堤
'xie'qiao 斜桥
'xie'shui'neng'li 泄水能力
'xie'tui'gang'gou'qiao 斜腿刚构桥
'xie'zuo'ti'xi'qiao 协作体系桥
'xin'ao'fa 新奥法
'xin'gou'zao'yun'dong 新构造运动
'xin'hao'xiang'wei 信号相位
'xin'hao'zhou'qi 信号周期
'xing'bian'ya'li 形变压力
'xing'che'dao 行车道
'xing'gang'gou'qiao 形刚构桥
'xing'jia'qiao 行架桥
'xing'jiao'cha 形交叉
'xing'jin'liu'su 行近流速
'xing'qiao'tai 形桥台
'xing'qu'xian 型曲线
'xing'shi'su'du 行驶速度
'xing'zhuan'wan'she'shi'za'dao 型转弯设施匝道
'xiu'fu 修复
'xiu'shi 锈蚀
'xu'bian 徐变
'xu'feng'liang 需风量
'xu'jiao'dian 虚交点
'xu'jiao'xian 虚交线
'xuan'bi'jiao'zhu'fa 悬壁浇筑法
'xuan'bi'jiao'zhu'fa 悬臂浇筑法
'xuan'bi'liang 悬壁梁
'xuan'bi'liang 悬臂梁
'xuan'bi'liang'qiao 悬臂梁桥
'xuan'bi'pin'zhuang'fa 悬壁拼装法
'xuan'bi'pin'zhuang'fa 悬臂拼装法
'xuan'bi'shi'dang'tu'qiang 悬臂式挡土墙
'xuan'suo'qiao 悬索桥
'xuan'wu'yan'xian'wei 玄武岩纤维
'xuan'xian 选线
'xuan'yi'zhi 悬移质
'xue'beng 雪崩
'xue'hai 雪害
'xun'hui'yang'hu 巡回养护
'ya'kou 垭口
'ya'li'shi'han'dong 压力式涵洞
'ya'lu'ji 压路机
'ya'shi 压实
'ya'shi'biao'zhun 压实标准
'ya'shi'du 压实度
'ya'shi'du'shi'yan 压实度试验
'ya'shi'hou'du 压实厚度
'ya'sui'lv'shi'mo 压碎率试模
'ya'sui'zhi 压碎值
'ya'suo'mo'liang 压缩模量
'ya'suo'xi'shu 压缩系数
'yan'bao 岩爆
'yan'ceng 岩层
'yan'chen'she'ji'nong'du 烟尘设计浓度
'yan'du 延度
'yan'dui 岩堆
'yan'li'qing 岩沥青
'yan'rong 岩溶
'yan'shi 岩石
'yan'shi'dan'zhou'kang'ya'qiang'du 岩石单轴抗压强度
'yan'shi'sui'dao 岩石隧道
'yan'shi'zhi'liang'zhi'biao 岩石质量指标
'yan'ti'jie'gou 岩体结构
'yan'tu'gong'cheng 岩土工程
'yan'wu 延误
'yan'xi'qu 沿溪区
'yan'xi'xian 沿溪线
'yan'xian'she'shi 沿线设施
'yan'zhang 盐胀
'yan'zhang'lv 盐胀率
'yan'zhu'sui'dao 堰筑隧道
'yan'zi'tu 盐渍土
'yang'gong 仰拱
'yang'hu 养护
'yang'hu'deng'ji 养护等级
'yang'hu'ji'shu 养护技术
'yang'hu'lei'xing 养护类型
'yang'hu'xi'shu 养护系数
'yang'hu'zhi'liang'zong'he'zhi 养护质量综合值
'yang'hua'li'qing 氧化沥青
'yang'lu'dao'ban 养路道班
'yang'lu'fei 养路费
'yang'xie'shi'pai'shui'kong 仰斜式排水孔
'yang'zu'nian 羊足碾
'yang'zu'ya'lu'ji 羊足压路机
'yao'hui 窑灰
'ye'hua 液化
'ye'ti'li'qing 液体沥青
'ye'xian 液限
'ye'xing'zhi'shu 液性指数
'yi'ban'li'jiao 一般立交
'yi'dong'mo'jia'zhu'kua'shi'gong'fa 移动模架逐跨施工法
'yi'dong'yang'hu'zuo'ye 移动养护作业
'yi'dong'zhi'jia'zhu'kua'shi'gong'fa 移动支架逐跨施工法
'yi'ji'gong'lu 一级公路
'yi'ji'mo'hu'zong'he'ping'jia 一级模糊综合评价
'yi'qiang 翼墙
'yi'qiang'shi'dong'men 翼墙式洞门
'yi'yang'hua'tan'she'ji'nong'du 一氧化碳设计浓度
'yi'zi'xing'qiao'tai 一字形桥台
'yin'qiao 引桥
'ying'bian'yi 应变仪
'ying'hua 硬化
'ying'ji'chu'zhi 应急处置
'ying'ji'jiu'yuan 应急救援
'ying'ji'shu'san 应急疏散
