'ban'deng'shang'ge'ji'li'zuo'bu'wen'zuo'bu'zhu 板凳上搁蒺藜坐不稳坐不住
'ban'deng'shang'shui'jiao'nan'fan'shen'fan'bu'liao'shen 板凳上睡觉难翻身翻不了身
'ban'deng'shang'zuan'ku'long'you'ban'yan'you'ban'you'yan 板凳上钻窟窿有板眼有板有眼
'ban'diao'zi'de'yi'ban'er'bai'wu 半吊子的一半二百五
'ban'fang'li'de'ya'yi'ting'chai'de 班房里的衙役听差的
'ban'ge'tong'qian'bu'cheng'fang'yuan 半个铜钱不成方圆
'ban'jie'zhuan'tou'shuai'le 半截砖头甩了
'ban'jin'fang'zai'si'liang'shang'qiao'de'gao 半斤放在四两上翘得高
'ban'jiu'bao'wo'xuan'dan 斑鸠抱窝悬蛋
'ban'kong'de'yun'cai'bian'hua'duo'duan 半空的云彩变化多端
'ban'kong'zhong'da'ba'shi'zai'ge'da'gen'tou 半空中打把势栽个大跟头
'ban'kong'zhong'de'huo'ba'gao'ming 半空中的火把高明
'ban'kong'zhong'de'ren'ba'gao'ming 半空中的人把高明
'ban'kong'zhong'fang'bao'zhu'xiang'xiang'de'gao 半空中放爆竹想响得高
'ban'kong'zhong'gai'fang'zi'mei'chu'luo'jiao'luo'bu'de'jiao 半空中盖房子没处落脚落不得脚
'ban'kong'zhong'gan'sheng'kou'lou'ma'jiao 半空中赶牲口露马脚
'ban'kong'zhong'gua'ji'you'feng'feng'ci 半空中刮蒺莠讽风刺
'ban'kong'zhong'gua'jian'dao'gao'cai'cai 半空中挂剪刀高才裁
'ban'kong'zhong'qi'ma'teng'yun'jia'wu'lu'le'ti 半空中骑马腾云驾雾露了蹄
'ban'kong'zhong'shu'zhi'tou'suan'de'gao 半空中数指头算得高
'ban'la'gua'zi'bu'suan'ge'ren'ren 半拉瓜子不算个人仁
'ban'lan'zi'xi'que'ji'ji'zha'zha 半篮子喜鹊唧唧喳喳
'ban'lu'kai'xiao'chai'you'shi'wu'zhong 半路开小差有始无终
'ban'lu'shang'de'xin'wen'dao'ting'tu'shuo 半路上的新闻道听途说
'ban'lu'shang'diu'suan'pan'shi'suan'le 半路上丢算盘失算了
'ban'lu'shang'liu'ke'kou'shang're'nao'zui'shang're'qing 半路上留客口上热闹嘴上热情
'ban'ma'de'nao'dai'tou'tou'shi'dao 斑马的脑袋头头是道
'ban'men'shang'tie'men'shen'yi'ge'xiang'dong'yi'ge'xiang'xi 板门上贴门神一个向东一个向西
'ban'ping'zi'cu'luan'huang'dang 半瓶子醋乱晃荡
'ban'shan'ya'de'guan'yin'lao'shi'shi'ren 半山崖的观音老实石人
'ban'shan'yao'dao'e'shui'hua'shui'xia'liu 半山腰倒恶水滑水下流
'ban'shang'de'ni'qiu'wu'di'rong'shen'wu'chu'cang'shen 板上的泥鳅无地容身无处藏身
'ban'shang'qiao'ding'zi'wen'zha'wen'da 板上敲钉子稳扎稳打
'ban'tian'yun'li'cai'gang'si'ti'xin'diao'dan 半天云里踩钢丝提心吊胆
'ban'tian'yun'li'chu'liang'xing'ji'xing'gao'zhao 半天云里出亮星吉星高照
'ban'tian'yun'li'chui'suo'na'xiang'xiang'de'gao 半天云里吹唢呐想响得高
'ban'tian'yun'li'diao'kou'dai'zhuang'feng'feng 半天云里吊口袋装疯风
'ban'tian'yun'li'fan'zhang'bu'suan'de'gao 半天云里翻帐簿算得高
'ban'tian'yun'li'kan'si'sha'xiu'shou'pang'guan 半天云里看厮杀袖手旁观
'ban'tian'yun'li'la'jia'chang'kong'tan 半天云里拉家常空谈
'ban'tian'yun'li'piao'qi'qiu'gao'gao'zai'shang'mei'zhuo'luo 半天云里飘气球高高在上没着落
'ban'tian'yun'li'qi'xian'he'yuan'zou'gao'fei 半天云里骑仙鹤远走高飞
'ban'tian'yun'li'zuo'yi'fu'gao'cai'cai 半天云里做衣服高才裁
'ban'tian'yun'zhong'pai'ba'zhang'gao'shou 半天云中拍巴掌高手
'ban'ye'chi'huang'gua'mo'bu'zhao'tou'wei 半夜吃黄瓜摸不着头尾
'ban'ye'chi'shao'ji'si'si'xiang'xiang'si'si'xiang'xiang 半夜吃烧鸡思思想想撕撕响响
'ban'ye'ji'jiao'bu'xiao'luan'le'shi'chen 半夜鸡叫不晓乱了时辰
'ban'ye'jiao'da'gu'niang'de'men'lai'zhe'bu'shan 半夜叫大姑娘的门来者不善
'ban'ye'li'de'bei'wo'zheng're'hu 半夜里的被窝正热乎
