'a'hou'zai'he'chu 阿侯在何处
'jue'jue'ru'quan'na'zu'shi 玃玃如拳那足食
'jue'qi'yan'di'ma 觉骑燕地马
'jun'chui'ya'lu'yan 军吹压芦烟
'jun'gu'zhe'xi'feng 骏骨折西风
'jun'jian'ru'sheng'nao 俊健如生猱
'jun'kan'mu'sun'shi'long'cai 君看母笋是龙材
'jun'lian'chui'chi'ke 君怜垂翅客
'jun'ping'jiu'bu'fan 君平久不返
'jun'wang'jin'jie'jian 君王今解剑
'jun'wang'ruo'yan'qu 君王若燕去
'jun'zhu'qian'nian'lao'bu'si 筠竹千年老不死
'jun'zhuang'gong'ji'sao'e'qian 军装宫妓扫蛾浅
'jun'zhuang'wu'ji'sheng'lang'dang 军装武妓声琅珰
'kai'chou'ge 开愁歌
'kai'guan'xie'fu'mu 开贯泻蚨母
'kai'men'lan'yong'shui'heng'qian 开门烂用水衡钱
'kan'jian'qiu'mei'huan'xin'lv 看见秋眉换新绿
'kan'qu'fu'yun'fei 看取拂云飞
'kan'suo'qian'nian'bai'ri'chang 堪锁千年白日长
'kan'ying'yong'ye'qi 看鹰永夜栖
'kan'yu'feng'yao'ji 看雨逢瑶姬
'kang'bo'dun'guo'lu 康伯遁国路
'ke'hu'ceng'wu'zhao 刻鹄曾无兆
'ke'ke'yin'gui'yao'bai'ma 磕磕银龟摇白马
'ke'lian'ri'mu'yan'xiang'luo 可怜日暮嫣香落
'ke'yin'bei'zhong'jiu 客饮杯中酒
'ke'yin'hu'zhong'jiu 渴饮壶中酒
'ke'you 客游
'ke'zhang'meng'feng'hou 客帐梦封侯
'ke'zhen'you'dan'kan'chun'lao 客枕幽单看春老
'ken'shi'peng'zhong'ying 肯拾蓬中萤
'kong'guang'tie'tuo'shui'ru'tian 空光贴妥水如天
'kong'guang'yuan'liu'lang 空光远流浪
'kong'jiang'han'yue'chu'gong'men 空将汉月出宫门
'kong'jiang'jian'shang'liang'xing'shu 空将笺上两行书
'kong'liu'san'chi'jian 空留三尺剑
'kong'shan'ning'yun'tui'bu'liu 空山凝云颓不流
'kong'sui'xing'chu'jin 恐随行处尽
'kong'tong'xu'bie'chang'ru'tian 崆峒叙别长如天
'kong'xiu'yi'zuo'yun'xiu'gui'lu'yi'zuo'qiu'lu 空秀一作云秀桂露一作秋露
'kong'yan'kuan'wan'he'zu'yun 孔砚宽顽何足云
'kong'yuan'yi'zuo'gu'yuan 空园一作故园
'kong'yun'xian'pai'huai 空云闲徘徊
'kong'zhi'you'shan'xiang 空知有善相
'kou'yin'she'hua'cheng'nv'lang 口吟舌话称女郎
'ku'huang'dui'ke'yin'ge'tong 苦篁对客吟歌筒
'ku'huang'tiao'xiao'yin 苦篁调啸引
'ku'jie'qing'yang'zhou 苦节青阳皱
'ku'nie'yi'ran'yi 苦蘖已染衣
'ku'rong'bu'deng'chen'tian'gong 枯荣不等嗔天公
'ku'tang'wo'zhe'lian 枯塘卧折莲
'ku'zhou'duan 苦昼短
'kuai'ma'zhu'fu'yuan 快马逐服辕
'kuai'zou'ta'qing'qiu 快走踏清秋
'kuang'shi'qing'chun'ri'jiang'mu 况是青春日将暮
'kun'qiu'yi'zuo'kun'lun 昆丘一作昆仑
'kun'shan'yu'sui'feng'huang'jiao 昆山玉碎凤凰叫
'kuo'jin'shan'zhong'yi 廓尽山中意
'la'cai'yi'zuo'jiang'cai'luo'rui'yi'zuo'luo'di 蜡彩一作绛采落蕊一作落蒂
'la'chun'xi'cao'yuan 腊春戏草苑
'la'guang'gao'xuan'zhao'sha'kong 蜡光高悬照纱空
'la'lei'chui'lan'jin 蜡泪垂兰烬
'la'yue'cao'gen'tian 腊月草根甜
'lai'chang'an 来长安
'lai'gan'chang'an'qiu 来感长安秋
'lai'jian'ren'shou 来煎人寿
'lan'feng'gui'lu'sa'you'cui 兰风桂露洒幽翠
'lan'gui'chui'nong'xiang 兰桂吹浓香
'lan'lian'bie'chun'ti'mo'mo 兰脸别春啼脉脉
'lan'xi'shui'qi'wu'qing'bai 蓝溪水气无清白
'lan'xi'zhi'shui'yan'sheng'ren 蓝溪之水厌生人
'lan'xiang'shen'nv'miao 兰香绅女庙
'lang'shi'li'yu'wei 郎食鲤鱼尾
'lang'yin'yi'zuo'luan'wu 浪饮一作乱舞
'lao'bai'ru'jian'dao 老柏如建纛
'lao'fu'cai'yu'ge 老夫采玉歌
'lao'fu'ji'han'long'wei'chou 老夫饥寒龙为愁
'lao'guang'cai 劳光彩
'lao'jing'chen'zhong'wu'jing'fei 老景沉重无惊飞
'lao'ke'yin 醪可饮
'lao'lao'hu'yan'yuan'han'chun 劳劳胡燕怨酣春
'lao'lao'shui'shi'lian'jun'zhe 劳劳谁是怜君者
'lao'lao'yi'cun'xin 劳劳一寸心
'lao'lao'yi'zuo'lao'ku 劳劳一作劳苦
'lao'long'qu'bu'gui 捞拢去不归
'lao'luo'chang'an'xin 牢落长安心
'lao'ping'dao'jin'jiang'yang'zhi 酪瓶倒尽将羊炙
'lao'qu'bei'ti'zhan 老去悲啼展
'lao'qu'xi'tou'zuo'diao'weng 老去溪头作钓翁
'lao'sha'ru'duan'zu 老莎如短镞
'lao'tong'cuo'gan'qing'long'chou 老桐错干青龙愁
'lao'tu'han'chan'qi'tian'se 老兔寒蟾泣天色
'lao'yu'tiao'bo'shou'jiao'wu 老鱼跳波瘦蛟舞
'lao'zuo'ping'yuan'ke 老作平原客
'lei'hen'zhan'qin'zhang 泪痕沾寝帐
'lei'shi'hong'lun'zhong 泪湿红轮重
'lei'yan'kan'hua'ji 泪眼看花机
'leng'cui'zhu 冷翠烛
'leng'hong'qi'lu'jiao'ti'se 冷红泣露娇啼色
'leng'hua'han'lu'zi 冷花寒露姿
'leng'jia'dui'an'qian 楞伽堆案前
'li'bu'gan'ting 吏不敢听
'li'fu'ren'ge 李夫人歌
'li'ge'rao'nuo'xian 离歌绕懦弦
'li'gong'san'ying'tian'si'shui 离宫散萤天似水
'li'hua'luo'jin'cheng'qiu'yuan 梨花落尽成秋苑
'li'jie'nai'xiang'qu 礼节乃相去
'li'luan'bie'feng'yan'wu'zhong 离鸾别凤烟梧中
'li'ma'yin'qing'zi 立马印青字
'li'ping'kong'hou'yin 李凭箜篌引
'li'ping'zhong'guo'dan'kong'hou 李凭中国弹箜篌
'li'sheng'shi'tai'hua 李生师太华
'li'su'zu'feng'yi 里俗祖风义
'li'yang'hu'bo'da'ru'shan 历阳湖波大如山
'li'yu'feng'qi'fu'rong'lao 鲤鱼风起芙蓉老
'li'zi'bie'shang'guo 李子别上国
'lian'dai'ping'pu'chui'bu'qi 练带平铺吹不起
'lian'feng'qi 莲风起
'lian'jing'you'feng'chen 奁镜幽凤尘
'lian'nei'shu'ying'xie 帘内树影斜
'lian'wai'yan'shuang'jie'dao'fei 帘外严霜皆倒飞
'lian'wai'yue'guang'tu 帘外月光吐
'lian'xiang'xun'song'que 练香熏宋鹊
'lian'ying'zhu'hua'qi 帘影竹华起
'lian'zhi'wei'chang'qin'heng'lao 莲枝未长秦蘅老
'liang'feng'yan'ti'tian'zai'shui 凉风雁啼天在水
'liang'gong'zi 梁公子
'liang'guang'ru'jian'an 凉光入涧岸
'liang'kuang'chui'fu'mei 凉旷吹浮媚
'liang'ma'ba'ti'ta'lan'yuan 两马八蹄踏兰苑
'liang'shi'xiang'shui'dao 两事向谁道
'liang'tai'gu'chou 梁台古愁
'liang'wang'lao'qu'luo'yi'zai 梁王老去罗衣在
'liang'wang'tai'zhao'kong'zhong'li 梁王台沼空中立
'liang'wang'yu'wu'di 梁王与武帝
'liang'ye'bo'jian'yin'gu'long 凉夜波间吟古龙
'liang'yuan'xu'ting'kong'dan'bai 凉苑虚庭空澹白
'liang'yue'sheng'qiu'pu 凉月生秋浦
'liao'liao'shi'gu'sheng 嘹嘹湿蛄声
'liao'luo'ye'huang'qiu'man'bai 寥落野湟秋漫白
'lie'dian'pai'kong'xing 列点排空星
'lie'jiao'zhu'se'luo 鬣焦珠色落
'lie'pei'ru'song 列旆如松
'lin'qi'ji'jian'sheng'tong'hou 临岐击剑生铜吼
'lin'xiong'bu'xiang'chu 邻凶不相杵
'ling'jiu'bu'de'ben 令久不得奔
'ling'lun'cai'zhi'zi'kun'qiu 伶伦采之自昆丘
'ling'lun'cai'zhu'er'shi'si 伶伦采竹二十四
'ling'lun'yi'zhi'zheng'yin'lv 伶伦以之正音律
'ling'luo'qi'chi'yi'bei'jiu 零落栖迟一杯酒
'ling'ou'chang'shen'shen 菱藕长莘莘
'ling'ren'xi'ping'sheng 令人惜平生
'ling'shu'feng'zi'qi 陵树风自起
'ling'si'ying'du'jian 菱丝萦独茧
'ling'tai'jing'luo'xuan'chun'xian 灵台经络悬春线
'ling'ting'ji'dai 菱汀系带
'liu'bei'ren 留北人
'liu'chang'ru'xian 柳长如线
'liu'che'mao'ling'duo'zhi'gu 刘彻茂陵多滞骨
'liu'duan'wu'er'yao 柳断舞儿腰
'liu'gong'bu'yu'yi'sheng'xian 六宫不语一生闲
'liu'hua'jing'xue'pu 柳花惊雪浦
'liu'hua'pian'da'nei'jia'xiang 柳花偏打内家香
'liu'jie'ma'ti'hao'wu'zhu 六街马蹄浩无主
'liu'jun'wu'jiao'er 六郡无剿儿
'liu'lai'chang'qing'pen 流来长倾盆
'liu'li'die'shan'hong 琉璃叠扇烘
'liu'li'zhong 琉璃钟
'liu'lian'ban'mian'cheng'xiang'shu 柳脸半眠丞相树
'liu'shu'qu'cong'cong 飂叔去匆匆
'liu'yan'man'cheng'qu 柳烟满城曲
'liu'yuan'ya'ti'gong'zhu'zui 柳苑鸦啼公主醉
'liu'yuan'yi'zuo'liu'hua'hui'lan'yi'zuo'hui'yuan 柳苑一作柳花蕙兰一作蕙园
'liu'yue 六月
'liu'yun'cheng'ma'gui 柳恽乘马归
'liu'zhu'han'ri'hun 柳渚含日昏
'liu'zhui'chang'piao'dai 柳缀长缥带
'long'dong'wo'sui'man'feng'yu 陇东卧穗满风雨
'long'ji'tie'lian'qian 龙脊贴连钱
'long'mei'yi'zuo'liang'mei 笼媒一作良媒
'long'men'qi'duan'yan 龙门起断烟
'long'mu'you'you'shu'yu'hu 陇亩油油黍与葫
'long'pi'xiang'pai'jia 龙皮相排戛
'long'qiu'jin'jue'za'hua'guang 龙裘金玦杂花光
'long'qiu'tuo'guang'sui 垄秋拖光穗
'long'shui'chang'dong'xi 陇水长东西
'long'tou'xie'jiu'yao'jiu'xing 龙头泻酒邀酒星
'long'xi'chang'ji'cui'tui'ke 陇西长吉摧颓客
'long'yang'hen'you'yu 龙阳恨有余
'long'zhang'zhe'xiao'mei 龙帐着魈魅
'long'zhou'wu'mu'nu 龙洲无木奴
'lou'cui'shui'yan'yu'chan'chu 漏催水咽玉蟾蜍
'lou'lian'wei'kai'dui'chao'ming 露脸未开对朝暝
'lou'qian'liu'shui'jiang'ling'dao 楼前流水江陵道
'lou'sheng'xiang'jiang'wu'duan'jue 漏声相将无断绝
'lou'tai'yue'ming'yan'ye'yu 楼台月明燕夜语
'lou'tou'qu'yan'xian'ren'yu 楼头曲宴仙人语
'lu'cu'hu'ma'ti 趢趗胡马蹄
'lu'di'pan'zhong'yuan 露滴盘中圆
'lu'fang'zhuo'dai'yan 鲈鲂斫玳筵
'lu'guang'qi'can'hui 露光泣残蕙
'lu'guang'yi'zuo'guang'lu'bai'ma'yi'zuo'shou'ma 露光一作光露白马一作瘦马
'lu'hua'fei'fei'feng'cao'cao 露花飞飞风草草
'lu'hua'lan'ye'cen'ci'guang 露华兰叶参差光
'lu'hua'sheng'sun'jing 露华生笋径
'lu'jiao'xie'fei'shi'han'tu 露脚斜飞湿寒兔
'lu'lang'qu'yi'cheng'ban'zhui 陆郎去矣乘班骓
'lu'ling'jin'xi'jiu 醁醽今夕酒
'lu'lu'yi'ya'zhuan'ming'yu 辘轳咿哑转鸣玉
'lu'sun'chou'dan'zi 芦笋抽丹渍
'lu'xia'qi'meng'meng 露下旗蒙蒙
'lu'ya'yan'ti'qian'wan'zhi 露压烟啼千万枝
'lu'yin'han'jian'xia 鹿饮寒涧下
'lu'yu'qian'tou'jiu'bai'hu 鲈鱼千头酒百斛
'lu'zhe'yi'zhi'lan 露折一枝兰
'lu'zhi'tai'cheng'jiong 路指台城迥
'lu'zhong'jin'ni'leng 露重金泥冷
'lu'zhou'ke'yan'bao'chun'lai 芦洲客雁报春来
'luan'bi'duo'de'bu'hai'ren 鸾篦夺得不还人
'luan'ju'feng'dai'xing'yan'zhong 鸾裾凤带行烟重
'luan'pei'xiang'feng'gui'xiang'mo 鸾佩相逢桂香陌
'luan'xi'ding'xiang'shao 乱系丁香梢
'luan'xiao'beng'shi'ling 乱筱迸石岭
'luan'xiu'jiao'gan'guan'er'wu 乱袖交竿管儿舞
'luan'you'di'qin'ge 乱忧抵覃葛
'luo'an'bei'tong'tuo 洛岸悲铜驼
'luo'feng'song'ma'ru'chang'guan 洛风送马入长关
'luo'fu'shan'ren'yu'ge'pian 罗浮山人与葛篇
'luo'hua'qi'zuo'hui'feng'wu 落花起作回风舞
'luo'jiao'wu'zu'dou 洛郊无俎豆
'luo'mei'zhen'zhu 洛妹真珠
'luo'mo'shui'jia'zi 落莫谁家子
'luo'nan'jin'yi'yuan 洛南今已远
'luo'po'san'yue'ba 落魄三月罢
'luo'qi'xiang'gan'jin'hua'ye 罗旗香干金画叶
'luo'qun'jie'duan'feng 罗裙结短封
'luo'rui'ku'xiang'shu'fen'zai 落蕊枯香数分在
'luo'wei'wu'ye'chou 罗帷午夜愁
'luo'wei'xiu'mu'wei'xiang'feng 罗帏绣幕围香风
'luo'wei'yi'zuo'luo'ping'xiang'feng'yi'zuo'chun'feng 罗帏一作罗屏香风一作春风
'luo'xiu'cong'huai'xiang 罗袖从徊翔
'luo'xun'ku'zhe'xiang 罗薰裤褶香
'luo'yang'cheng'wai'bie'huang'fu'san'shi 洛阳城外别皇甫氵是
'luo'yang'chui'bie'feng 洛阳吹别风
'luo'yi'shang'dou'ji 罗衣尚斗鸡
'luo'yuan'xiang'feng'fei'chuo'chuo 洛苑香风飞绰绰
'luo'zhao'fei'e'wu 落照飞蛾舞
'lv'bin'nian'shao'jin'chai'ke 绿鬓年少金钗客
'lv'bo'jin'ye'man'nong'guang 绿波浸叶满浓光
'lv'cao'chui'shi'jing 绿草垂石井
'lv'ci'juan'yin'ni 绿刺罥银泥
'lv'duan'hu'han'jing 屡断呼韩颈
'lv'fan'bei'shui'qu 绿蘩悲水曲
'lv'fen'sao'tian'chou'lu'shi 绿粉扫天愁露湿
'lv'gai'du'chuan'xiang'jing'gui 绿盖独穿香径归
'lv'ge'lv'dan'jia 旅歌屡弹铗
'lv'jiang'jun 吕将军
'lv'jiang'jun'ge 吕将军歌
'lv'jiu'qin'chou'fei 旅酒侵愁肺
'lv'pu'gui'fan'shao 绿浦归帆少
'lv'shu'yang'han'feng 绿树养韩冯
'lv'shui'ci 绿水词
'lv'wang'zhui'jin'ling 绿网缒金铃
'lv'xiang'xiu'zhang'he'shi'xie 绿香绣帐何时歇
'lv'yan'jiang'jun'hui'tian'yi 绿眼将军会天意
'lv'yi'zuo'ao'lu'luo'nan'yi'zuo'luo'yang 绿一作艹录洛南一作洛阳
'lv'zhang'feng'shi 绿章封事
'lv'zhang'feng'shi'zi'yuan'fu 绿章封事咨元父
'ma'qing'jia'ye'pin 马卿家业贫
'ma'ru'fei 马如飞
'ma'shi'er'shi'san'shou 马诗二十三首
'ma'shou'ming'jin'huan 马首鸣金环
'ma'si'qing'zhong'bai 马嘶青冢白
'ma'ti'bai'pian'pian 马蹄白翩翩
'ma'ti'yin'er'sheng'long'long 马蹄隐耳声隆隆
'ma'xiang'sha'chang'qu 马向沙场去
'ma'yi'hei'fei'chong'bei'feng 麻衣黑肥冲北风
'mai'bing'fang'xia'ying 买冰防夏蝇
'mai'mang'ru'hui'shu'ru'su 麦芒如彗黍如粟
'mai'si'xiu'zuo'ping'yuan'jun 买丝绣作平原君
'mai'yao'wen'ba'cong 买药问巴賨
'mai'yu'zhang'xi'tian 麦雨涨溪田
'man'lan'hua'xiang'xi 满栏花向夕
'man'nao'huang'jin'zhong 满脑黄金重
'man'niang'yin'nong'man'han'kong 蛮娘吟弄满寒空
'man'qian'hui'xie'qu'zi'rong 曼倩诙谐取自容
'mang'dang'yun'duan'bao'tian'hui 芒砀云端抱天回
'mang'mai'ping'bai'jing 芒麦平百井
'mao'ling'gui'wo'tan'qing'pin 茂陵归卧叹清贫
'mao'ling'liu'lang'qiu'feng'ke 茂陵刘郎秋风客
'mei'mei'an'ze'she 没没暗齰舌
'mei'ren'lan'tai'yan'zhi'chou 美人懒态燕脂愁
'mei'ren'shu'tou'ge 美人梳头歌
'mei'ren'zui'yu'yuan'zhong'yan 美人醉语园中烟
'men'pu'zhui'bai'tong 门铺缀白铜
'men'wai'man'che'ma 门外满车马
'men'yan'xing'hua'cong 门掩杏花丛
'men'you'you 门幽幽
'meng'hu'xing 猛虎行
'meng'qi'sheng'bai'tou 梦泣生白头
'meng'ru'jia'men'shang'sha'zhu 梦入家门上沙渚
'meng'ru'shen'shan'jiao'shen'yu 梦入神山教神妪
'meng'tian 梦天
'meng'zai'chu'xi'chuan 梦载楚溪船
'meng'zhong'xiang'ju'xiao 梦中相聚笑
'mi'fa'xu'huan'fei 密发虚鬟飞
'mi'ju'qian'zhi'lan 蜜炬千枝烂
'mi'mi'yan'xia'guang 谧谧厌夏光
'mi'shu'ti'dou'kou 密书题豆蔻
'mi'zhuang'yao'ting'ge'yu'fang 密装腰鞓割玉方
'mian'ai'xing'er'shou'song'xiao'ji'zhi'lu'shan 勉爱行二首送小季之庐山
'ming'chao'feng'shu'lao 明朝枫树老
'ming'chao'gui'qu'shi'yuan'gong 明朝归去事猿公
'ming'chao'xia'yuan'fu'xi'dao 明朝下元复西道
'ming'liu'zou'xiang'yun 鸣流走响韵
'ming'xing'lan'lan'dong'fang'chui 明星烂烂东方陲
'ming'yue'luo'shi'di 明月落石底
'ming'yue'yu'zuo'er'bian'dang 明月与作耳边珰
'ming'zou'ci'feng'yuan 鸣驺辞凤苑
'mo'chou'lian'zhong'xu'he'huan 莫愁帘中许合欢
'mo'duo'lou'zi 摩多楼子
'mo'jiao'zhao'jian'chun'fang'zi 莫教照见春坊字
'mo'mo'ci'jin'yu 脉脉辞金鱼
'mo'shou'su'wu'xiang'tian'hui 莫受俗物相填豗
'mo'suo'zhu'yu'xia 莫锁茱萸匣
'mo'wang'zuo'ge'ren'xing'li 莫忘作歌人姓李
'mo'xian'jin'jia'zhong 莫嫌金甲重
'mo'xin'long'mei'long'xi'qu 莫信笼媒陇西去
'mo'zhi'xiang'yang'dao 莫指襄阳道
'mo'zhong'shu 莫种树
'mo'zu'guan'tong'shou 墨组贯铜绶
'mo'zuo'xian'shang'jian 莫作弦上箭
'mou'shen'ku'bu'zao 谋身苦不早
'mu'chen'qi 暮尘起
'mu'chuang'yin'ji'hua 木窗银迹画
'mu'dan'zhong'qu 牡丹种曲
'mu'sheng'long'long'cui'yue'chu 暮声隆隆催月出
'mu'tian'zi 穆天子
'mu'xian'jian'guang'leng 暮嫌剑光冷
'mu'xian'qing'tong'lao 木藓青桐老
'mu'ye'ti'feng'yu 木叶啼风雨
'na'bu'zhong'zu 那不中足
'na'zhi'shu'dou'xiang'cao'cao 那知竖都相草草
'nai'er'shuo'shi 奈尔铄石
'nai'er'yi'zuo'nai'he 奈尔一作奈何
'nan'cheng'ba'dao'zhen 南城罢捣砧
'nan'chuang'yi'zuo'nan'chuang 南床一作南窗
'nan'er'he'bu'dai'wu'gou 男儿何不带吴钩
'nan'er'qu'qiong'xin'bu'qiong 男儿屈穷心不穷
'nan'feng'chui'shan'zuo'ping'di 南风吹山作平地
'nan'gong'gu'lian'an 南宫古帘暗
'nan'hu'ba'pu'gen 南湖拔蒲根
'nan'hu'yi'qing'ling'hua'bai 南湖一顷菱花白
'nan'mo'dong'cheng'ma'shang'er 南陌东城马上儿
'nan'pu'fu'rong'ying 南浦芙蓉影
'nan'shan'gui'shu'wei'jun'si 南山桂树为君死
'nan'shan'he'qi'bei 南山何其悲
'nan'shan'kong'tong'chun 南山崆峒春
'nan'shan'tian'zhong'xing 南山田中行
'nan'tang'lian'zi'shu 南塘莲子熟
'nan'wang'qu 难忘曲
'nan'yuan'ji'ye'feng 南原几夜风
'nan'yuan'shi'san'shou 南园十三首
'nan'yun'bei'yun'kong'mai'duan 南云北云空脉断
'nang'yong'jiang'sha'feng 囊用绛纱缝
'nao'gong 恼公
'nei'ma'ci'gong'ren 内马赐宫人
'nei'wu'shen'ping'sheng'se'hua 内屋深屏生色画
'nei'zi'pan'qi'shu 内子攀琪树
'neng'chi'jian'xiang'ren 能持剑向人
'neng'jiao'ke'shi'ping'zi'jin 能教刻石平紫金
'ni'jia'ning'hua'yun 腻颊凝花匀
'ni'xiang'chun'fen'hei'li'li 腻香春粉黑离离
'ni'ye'pan'hua'zhao'qu'men 腻叶蟠花照曲门
'nian'lai'chi'jing'po'you'xu 年来持镜颇有须
'nian'shao'yi'zuo'shao'nian 年少一作少年
'nian'zhong'shi 年重时
'niao'niao'qing'li'dao 袅袅青栎道
'niao'niao'shen'shui'yan 袅袅沈水烟
'niao'zhong'yi'zhi'ru'jiu'zun 鸟重一枝入酒樽
'ning'neng'suo'wu'kou 宁能锁吾口
'ning'se'qiu'zi'xu 狞色虬紫须
'niu'ai'bu'ping 牛哀不平
'niu'tou'gao'yi'chi 牛头高一尺
'nong'die'he'qing'yan 弄蝶和轻妍
'nong'e'die'liu'xiang'chun'zui 浓蛾叠柳香唇醉
'nong'mei'long'xiao'chun 浓眉笼小唇
'nong'xiao'shu'kong'zuo'tang'zi 浓笑书空作唐字
'nong'yue'liao'ming'ya 弄月聊鸣哑
'nong'zhu'jing'han'yan 弄珠惊汉燕
'nuan'pu'sha'shang'yin 暖蒲沙上饮
'nuan'wu'qu'yun'pu'tian'di 暖雾驱云扑天地
'nv'niu'du'tian'he 女牛渡天河
'nv'niu'yi'zuo'shi'zi'e'mao'yi'zuo'he'mao 女牛一作石子鹅毛一作鹤毛
'nv'wa'lian'shi'bu'tian'chu 女娲炼石补天处
'nv'wu'jiao'jiu'yun'man'kong 女巫浇酒云满空
'nv'yuan'qi'wu'qi 女垣栖乌起
'nv'yuan'su'yue'jiao'yi'yi 女垣素月角咿咿
'ou'hua'liang'lu'shi 藕花凉露湿
'pai'huai'bai'feng'sui'jun'wang 徘徊白凤随君王
'pai'huai'yan'shi'xun 徘徊沿石寻
'pai'yi'zuo'jie 排一作解
'pai'yin'cai'sheng'qiang'huan'duan 排引才升强絙断
'pan'ling'zai'he'yang 潘令在河阳
'pan'long'cu'deng'lin 盘龙蹙蹬鳞
'pang'gu'wu'cun'xun 旁古无寸寻
'pang'gu'yi'zuo'pang'ku'bu'lian'yi'zuo'bu'yan 旁古一作旁苦不怜一作不言
'pang'mei'ru'ku'yin 庞眉入苦吟
'pang'mei'shu'ke'gan'qiu'peng 庞眉书客感秋蓬
'pao'zhi'ren'xiao'lu 抛掷任枭卢
'pei'fu'shu'shuang'dian'qiu'yu 帔拂疏霜簟秋玉
'pei'ma'ding'ling'ta'sha'lu 佩马钉铃踏沙路
'peng'long'pao'feng'yu'zhi'qi 烹龙炮凤玉脂泣
'peng'zu'wu'xian'ji'hui'si 彭祖巫咸几回死
'pi'di'chou'sen'xiu 劈地抽森秀
'pi'he'ju'zu'dou 披褐鉏俎豆
'pi'ma'fei'peng'jian 疲马飞蓬间
'pi'pa'dao'ji'xiong 琵琶道吉凶
'pi'shu'an'jiang'xiu 披书案将朽
'pi'shu'gu'yun'fu 披书古芸馥
'pi'ti'cui'hua'bai'xian'wei 鸊鹈淬花白鹇尾
'pi'zhu'chu'cuan'er 批竹初攒耳
'pian'lian'gui'hua'zhui'qiu'yue 翩联桂花坠秋月
'pian'yan'za'shu'zhui 骈岩杂舒坠
'piao'fen'hu'zhong'shen'hu'po 缥粉壶中沈琥珀
'piao'xuan'nong'tian'ying 漂旋弄天影
'ping'cheng'xia 平城下
'ping'feng'qu 屏风曲
'ping'xuan'yi'shuang'lei 凭轩一双泪
'ping'yang'hua'wu 平阳花坞
'ping'zhong'nong'chang'cui 瓶中弄长翠
'po'bu'fu'yi'zuo'po'gua'hou 破不复一作破瓜后
'po'de'chun'feng'hen 破得春风恨
'po'tuo'shu'bi'feng 陂陀梳碧凤
'pu'ru'jiao'jian'feng'ru'xun 蒲如交剑风如薰
'pu'xuan'chu'lian'pei 瀑悬楚练帔
'qi'chang'yi'zuo'qi'wu 起唱一作起舞
'qi'chi'tu 骑赤兔
'qi'er 其二
'qi'gong'qie'jia'bian 齐宫妾驾鞭
'qi'gu'ye'ying'chao 旗鼓夜迎潮
'qi'gui'ren 七贵人
'qi'hui'gu'mo'dan'shui'sha 漆灰骨末丹水沙
'qi'jie'you'xiang'qing 岂解有乡情
'qi'ju'ying'xin'ren 漆炬迎新人
'qi'jun'wu'shao'nian 奇俊无少年
'qi'liang'zhi'zi'luo 凄凉栀子落
'qi'ma'pei'zhu'chang 骑马佩珠长
'qi'ming'yu'fu'xin 岂命余负薪
'qi'neng'tuo'fu'dan 岂能脱负担
'qi'neng'wang'jiu'lu 岂能忘旧路
'qi'qi'chen'shu'sheng 凄凄陈述圣
'qi'qi'gu'xue'sheng'tong'hua 凄凄古血生铜花
'qi'qi'si'yue'lan 凄凄四月阑
'qi'qi'yi'zuo'qi'liang 凄凄一作凄凉
'qi'ren'zhi'wang'ru'su'kong 齐人织网如素空
'qi'ru'hong'ni 气如虹霓
'qi'ru'qiu'tan'shui'yi'zuo'ye'qi'ru'tan'shui 骑入秋潭水一作夜骑入潭水
'qi'san 其三
'qi'shi'er'hou'hui'huan'tui 七十二候回环推
'qi'shi'jin'ling'zhong 旗湿金铃重
'qi'si 其四
'qi'ting'xia'ma'jie'qiu'yi 旗亭下马解秋衣
'qi'wu 其五
'qi'wu'shang'jing'liang 栖乌上井梁
'qi'xi 七夕
'qi'xing'gua'cheng'wen'lou'ban 七星挂城闻漏板
'qi'xing'guan'duan'chang'e'si 七星贯断嫦娥死
'qi'xuan'ri'yue'di 旗悬日月低
'qi'yue 七月
'qi'yue'yi'ri'xiao'ru'tai'hang'shan 七月一日晓入太行山
'qi'zhi'ru'duan'geng 弃之如断梗
'qian'hua'xiao'qie'pin'qing'e 铅华笑妾颦青蛾
'qian'hua'zhi'shui'xi'jun'gu 铅华之水洗君骨
'qian'li'yi'shi'lv 千里一时绿
'qian'nian'zhong'hua'yu'jing'tu 千年重化玉井土
'qian'qu'jie'jiang'jun 牵去借将军
'qian'shan'nong'lv'sheng'yun'wai 千山浓绿生云外
'qian'shang'wu'zhe'yan 千觞无赭颜
'qian'shou'que'pan'lao'ya'se 纤手却盘老鸦色
'qian'si'shen'shui'ru'yun'ying 茜丝沈水如云影
'qian'sui'shi'chuang'ti'gui'gong 千岁石床啼鬼工
'qian'sui'sui'feng'piao 千岁随风飘
'qian'tang'jie'feng'yu 钱塘阶凤羽
'qian'tang'su'xiao'xiao 钱塘苏小小
'qian'yun'ye'xue'liu'lu'lang 牵云曳雪留陆郎
'qiang'er'zou'luo'mei 羌儿奏落梅
'qiang'jin'jiu 将进酒
'qiang'xing'dao'dong'she 强行到东舍
'qiang'yin'zhuo 强饮啄
'qiao'cui'ru'chu'gou 憔悴如刍狗
'qiao'nan'duo'ma'ke 桥南多马客
'qiao'tou'zhang'lao'xiang'ai'nian 桥头长老相哀念
'qie'chi'gan'chou'hun 且持感愁魂
'qie'jia'zhu'heng'tang 妾家住横塘
'qie'qu'zhuo'piao'feng 且去捉飘风
'qie'shi'xing'xing'chun 妾食猩猩唇
