'ai'ai'feng'yan'wan 暧暧风烟晚
'han'shui'lin'xiang'yang 汉水临襄阳
'han'suan'yi'tong'ku 含酸一恸哭
'han'xiu'chu'bu'qian 含羞出不前
'han'yuan'lian'shuang'e 含怨敛双蛾
'han'yuan'yi'lan'cong 含怨倚兰丛
'han'yue'zhao'xie'hui 寒月照斜晖
'han'yue'zheng'nan'yuan 汉月正南远
'han'zhan'qi'cheng'gong 酣战祈成功
'han'zu'man'kua'lou'jing'ce 汉祖谩夸娄敬策
'hao'bian'qi'fan'luan 号变旗幡乱
'hao'chang'fa'rong'yu 浩唱发容与
'hao'chi'hai'ru'bei'se'han 皓齿还如贝色含
'hao'gu'xiao'liu'su 好古笑流俗
'hao'ran'lei'yun'jin'lai'huan 浩然泪陨今来还
'hao'ran'yu'ming'xing'tong'ke 浩然与溟涬同科
'hao'ru'chu'jiang'yue 皓如楚江月
'he'bu'bian'jiao'xiang'jue'jue 何不便教相决绝
'he'bu'que'ci'shang'di'xia'xia'tu 何不却辞上帝下下土
'he'chu'chun'jiang'wu'yue'ming 何处春江无月明
'he'chu'qi'lang'you 何处期郎游
'he'chu'xiang'si'ming'yue'lou 何处相思明月楼
'he'chu'zuo'xin'en 何处作新恩
'he'dian'en'zhong'jue 合殿恩中绝
'he'fu'xiao'cheng'gong 荷负晓成功
'he'hua'shen'chu'xiao'chuan'tong 荷花深处小船通
'he'kan'shang'ma'ci 何堪上马辞
'he'kuang'qu'zhen'bu'neng'shen'qiao'zhi 何况曲针不能伸巧指
'he'kuang'zhuang'shi'dang'qun'xiong 何况壮士当群雄
'he'lao'jing'li'kan 何劳镜里看
'he'lian'bo'bo'cheng 河连勃勃城
'he'liu'qing'qie'ji 河流清且急
'he'ming'zuo'mo'chou 何名作莫愁
'he'nan'ping 河难凭
'he'ren'ci'cheng'li 何人此城里
'he'ri'ping'hu'lu 何日平胡虏
'he'ri'wang'dao'ping 何日王道平
'he'ru'jiang'shang'cai'lian'hua 何如江上采莲花
'he'shi'chang'men'bi 何事长门闭
'he'shi'fu'cai'ling 何时复采菱
'he'shi'jian'yang'chun 何时见阳春
'he'shi'zuo'fu'cheng 何时作赋成
'he'si'en'guang'zhao'xi'xin 何似恩光朝夕新
'he'xia'zan'xiang'yue 何暇暂相悦
'he'xu'sheng'ru'yu'men'guan 何须生入玉门关
'he'xu'zui'guan'ren 何许最关人
'he'yan'bie'chou'lv 何言别俦侣
'he'ye'luo'qun'yi'se'cai 荷叶罗裙一色裁
'he'ye'ying'shen'zhai'lian'zi 荷叶映身摘莲子
'he'yi'bian'zhen'xing 何以变真性
'he'yong'jiang'shen'zi'qi'juan 何用将身自弃捐
'he'yu'huai'zhi'du'jie 何余怀之独结
'he'zhi'zhang'cai'lian'qu 贺知章采莲曲
'hei'yun'ya'cheng'cheng'yu'cui 黑云压城城欲摧
'hen'bu'liang'xiang'si 恨不两相思
'hen'duo'kai'jing'zhao'hai'bei 痕多开镜照还悲
'hen'zi'chou'hong'man'ping'ye 恨紫愁红满平野
'heng'bo'qiao'neng'xiao 横波巧能笑
'heng'di'duan'jun'chang 横笛断君肠
'heng'xing'yin'shan'ce 横行阴山侧
'hong'fen'shi'ti'hen 红粉湿啼痕
'hong'lei'xuan'xiao'qing'guo'tai 红泪旋销倾国态
'hong'lian'yao'ming'zhu 红脸耀明珠
'hong'luo'zhang'li'you'deng'guang 红罗帐里有灯光
'hong'qiao'bo'ye'cheng 虹桥薄夜成
'hong'sha'man'gui'xiang 红纱满桂香
'hong'tao'wei'bo'yang 洪涛为簸扬
'hong'yan'chang'fei'guang'bu'du 鸿雁长飞光不度
'hong'yan'sui'sui'lao'jin'wei 红颜岁岁老金微
'hong'zhuang'bai'ri'xian 红妆白日鲜
'hou'gong'duo'yao'tiao 后宫多窈窕
'hou'jia'yu'zhu'di 侯家与主第
'hou'you'keng 后有坑
'hou'zhu'huang'gong'you'xiao'ying 后主荒宫有晓莺
'hu'bao'ai'hao'you'kan'ji 虎豹哀号又堪记
'hu'bing'ba'zhang'yi'gong'dao 胡兵拔帐遗弓刀
'hu'chen'qing'yu'sai 胡尘清玉塞
'hu'cong'jin'cheng'dong 扈从金城东
'hu'duo'yi'shi 狐掇蚁拾
'hu'er'sao'zhong'tang 呼儿扫中堂
'hu'feng'chui'dai'ma 胡风吹代马
'hu'feng'lue'di'shao'lian'shan 胡风略地烧连山
'hu'guan'xue'fu'ping 胡关雪复平
'hu'hu'nan'fei'fan 忽忽南飞返
'hu'jiang'ban'cheng'tu 壶浆半成土
'hu'ke'bo 虎可搏
'hu'lu'ru'jin'wu'hu'lu 胡虏如今勿胡虏
'hu'ma'yi'he'jiao 胡马一何骄
'hu'sha'lie'lie'chui'ren'mian 胡沙猎猎吹人面
'hu'shang'feng'yue'chang 湖上风月长
'hu'shang'shui'miao'man 湖上水渺漫
'hu'tian'ye'cao'jian 呼天野草间
'hu'ting'sha'zheng'fei 胡庭沙正飞
'hu'wei'shou'kong'gui 胡为守空闺
'hu'wei'xiao'ren 胡为销人
'hu'wei'zuo'zi'ku 胡为坐自苦
'hu'wen'chang'le'zhong 忽闻长乐钟
'hu'wen'tian'zi'yi'e'mei 忽闻天子忆蛾眉
'hu'wu'ren 胡无人
'hu'zhong'qie'du'cun 胡中妾独存
'hua'dai'shuang'hua'wei'jun'jie 画带双花为君结
'hua'fa'wu'cheng'lou 花发五城楼
'hua'fang'yan'zhong'qian 画舫烟中浅
'hua'gai'chui'xia'jie 华盖垂下睫
'hua'ge'shuang'cao'jin'wei'lan 画舸双艚锦为缆
'hua'hong'qiang'ru'jia 花红强如颊
'hua'jian'yu'xiao'sheng 花间语笑声
'hua'kai'da'di'nuan 花开大堤暖
'hua'kai'zi'liu'shu 花开子留树
'hua'long'pan'pan'shang'zi'yun 花龙盘盘上紫云
'hua'luo'huang'hun'kong'yan'men 花落黄昏空掩门
'hua'luo'que'rao'shu 花落却绕树
'hua'luo'zhao'yang'shui'gong'nian 花落昭阳谁共辇
'hua'que'ou'gen'se 花缺藕根涩
'hua'qun'cui'cai'bu'qiu'chen 花裙綷縩步秋尘
'hua'song'ren'lao'jin 花送人老尽
'hua'tang'ying'wu'niao 画堂鹦鹉鸟
'hua'ting'hu'zuo'qing'wu'guo 花庭忽作青芜国
'hua'wei'lang'yu'chai 化为狼与豺
'hua'xian'su'guan'sheng'qian'fan 画弦素管声浅繁
'hua'xing'ci'ming'mie 华星次明灭
'hua'yan'xiao'chun'hong 花颜笑春红
'hua'ye'gong'chu'li 画野功初立
'hua'ye'he'zhong'die 花叶何重迭
'hua'zhan'jia'yi'chuang'qian'zhang 花粘甲乙床前帐
'huai'jun'bu'ke'yu 怀君不可遇
'huai'nan'you'ke'ma'lian'si 淮南游客马连嘶
'huan'shan'zhi'qin'bie'li'ku 桓山之禽别离苦
'huang'cun'gu'zhong'wu'ren'ji 荒村古冢无人迹
'huang'en'nong'xing'yu'tang'zhong 皇恩弄幸玉堂中
'huang'feng'bei'jiu'zhou 皇风被九州
'huang'fu'ran'jie'yu'yuan 皇甫冉婕妤怨
'huang'he'che'di 黄河彻底
'huang'he'jiu'qu'bing'xian'he 黄河九曲冰先合
'huang'he'nu'lang'lian'tian'lai 黄河怒浪连天来
'huang'he'xi'lai'jue'kun'lun 黄河西来决昆仑
'huang'he'zhi'fei'shang'bu'de 黄鹤之飞尚不得
'huang'hua'gai'ye'tian 黄花盖野田
'huang'hua'shu'shang'yan'chang'fei 黄花戍上雁长飞
'huang'hun'du'zi'li'zhong'lang 黄昏独自立重廊
'huang'hun'ru'xia'xie 黄昏入狭斜
'huang'hun'sai'bei'wu'ren'yan 黄昏塞北无人烟
'huang'jin'bu'ti'yu'bu'qi 黄金不啼玉不泣
'huang'jin'luo'shuang'niu 黄金络双牛
'huang'jin'quan'quan'liang'bin'hong 黄金拳拳两鬓红
'huang'jin'shui'wei'da'xiang'ru 黄金谁为达相如
'huang'jin'si'wu'qi'qiu'chen 黄金四屋起秋尘
'huang'jin'zuo'pan'tong'zuo'jing 黄金作盘铜作茎
'huang'ni'zhi'xia'wu'qing'tian 黄泥直下无青天
'huang'tian'ruo'rong'yi 皇天若容易
'huang'yi'yi'rong'yi 荒裔一戎衣
'huang'yun'can'wu'yan 黄云惨无颜
'huang'yun'cheng'bian'wu'yu'qi 黄云城边乌欲栖
'huang'yun'fu'zi'liu 黄云拂紫骝
'huang'yun'wan'li'chou 黄云万里愁
'hui'cao'jiao'hong'e 蕙草娇红萼
'hui'cao'sheng'xian'di 蕙草生闲地
'hui'chuan'chou'lang'shen 回船愁浪深
'hui'fang'zheng'jiao'xiao 蕙芳正娇小
'hui'gu'meng'en 蟪蛄蒙恩
'hui'guang'zhu'wei'gong 回光烛微躬
'hui'he'qing'ming'wan'ren'shan 回合青冥万仞山
'hui'hui'bu'li'jiu'qi'chu 回回不离旧栖处
'hui'kan'di'zi'zhu 回看帝子渚
'hui'lai'yin'ma'chang'cheng'ku 回来饮马长城窟
'hui'lou'du'wo'pin'du'chun 蕙楼独卧频度春
'hui'shen'qi'xiang'liao'tian'yue 回身泣向寥天月
'hui'shou'jiang'fan'xia 回首降幡下
'hui'shou'nong'bai'ri 挥手弄白日
'hui'shou'wei'qiao'dong 回首渭桥东
'hui'shou'wen'heng'tang 回首问横塘
'hui'su'jing'qian'li 洄溯经千里
'hui'ying'dong'pu'qing 回映洞浦清
'hui'zhou'bu'dai'yue 回舟不待月
'hun'chu'zi'mu'cheng 魂处自目成
'hun'xiao'shang'kui'jin'lu'jin 魂销尚愧金炉烬
'huo'ban'xiang'le'fu 伙伴相勒缚
'huo'bu're'zhen'yu 火不热真玉
'huo'fa'long'shan'bei 火发龙山北
'huo'lu'ri'jian'bing 货赂日兼并
'huo'piao'yao 霍嫖姚
'huo'shao'bai'yu'fei'yin'dian 火烧白玉非因玷
'huo'you'meng'lai'shi 或有梦来时
'ji'cheng'tong'han'bei 蓟城通汉北
'ji'ci'wan'gu'hen 积此万古恨
'ji'de'wei'hou'di 积德为厚地
'ji'fei'shu'di'hun 既非蜀帝魂
'ji'ge'chuang'jin'sui'niu'wei 击革摐金燧牛尾
'ji'gong'yuan'yang'mian 几共鸳鸯眠
'ji'huan'feng'fu'san 髻鬟风拂散
'ji'ji'cang'tai'man 寂寂苍苔满
'ji'ji'chang'men'xi 寂寂长门夕
'ji'liao'bao'dong'xin 寂寥抱冬心
'ji'mi'tong'xin'lv 既觅同心侣
'ji'ming'han'gu'ke'ru'wu 鸡鸣函谷客如雾
'ji'mu'wang'kong'kuo 极目望空阔
'ji'nian'chui'lei'ting 几年垂泪听
'ji'ren'de'zhong'lao 几人得终老
'ji'ren'mo'jian'yi 寄人莫翦衣
'ji'ri'dao'lin'tao 几日到临洮
'ji'shan'ba'wu'yu'cuo'e 稽山罢雾郁嵯峨
'ji'sheng'shi'hu'dian 棘生石虎殿
'ji'shi'gong'ming'li 纪石功名立
'ji'shi'zu'yun'duan 积石阻云端
'ji'shui'jian'gu'zu 汲水涧谷阻
'ji'wei'da'chuan'kai 急为打船开
'ji'xian'shun'hua'mu 寄羡蕣华木
'ji'yan'dang'dai'zhu'shao'nian 寄言当代诸少年
'ji'yan'quan'sheng'hong'yan'zi 寄言全盛红颜子
'ji'yin'ling'lu'jiang 饥饮零露浆
'ji'yu'lin'qiong'ke 寄语临邛客
'ji'yu'nian'shao'qi'mo'ai 寄语年少妻莫哀
'ji'yu'zhao'chuan'lang 寄语棹船郎
'ji'zhong'zhi'jin'qin'chuan'nv 机中织锦秦川女
'jia'an'sheng'chun'cao 夹岸生春草
'jia'chuan'sui'ji'shi'huang'jin 甲穿虽即失黄金
'jia'dao'kai'dong'men 夹道开洞门
'jia'de'qu'tang'jia 嫁得瞿塘贾
'jia'gu'xiang'jie'wen 夹毂相借问
'jia'guang'xiang'yue'jin'lin'kai 甲光向月金鳞开
'jia'jia'zhu'lou'lin'guang'mo 家家竹楼临广陌
'jia'ke'deng'xia'qi 贾客灯下起
'jia'ke'wu'ding'you 贾客无定游
'jia'lai'hu'di'e 嫁来胡地恶
'jia'lu'ming'huan'shang'yu'chi 夹路鸣环上玉墀
'jia'qi'bu'ke'zhu 佳期不可驻
'jia'qi'da'di'xia 佳期大堤下
'jia'qi'yang'qing'yin 假器扬清音
'jia'ren'ba'zhu'chu'dong'hu 家人把烛出洞户
'jia'ren'bu'zi'qi 佳人不兹期
'jia'ren'duan'xin'xi 佳人断信息
'jia'sheng'shi'ba'cheng'cai'zi 贾生十八称才子
'jia'yi'shi'shu'sheng 贾谊是书生
'jia'yu'nong'chao'er 嫁与弄潮儿
'jia'yuan'duo'qin'wu'jun'bing 家远多亲五郡兵
'jia'zhu'luo'qiao'tou 家住洛桥头
'jian'chuang'shu'wei'he 箭创殊未合
'jian'ci'chi'chu'kong'duan'chang 见此踟蹰空断肠
'jian'di'mi'feng'hou 箭底觅封侯
'jian'duan'jiao'xiao'po'chun'bi 翦断鲛绡破春碧
'jian'er'zhan'si'shui'feng'hou 健儿战死谁封侯
'jian'ge'zheng'rong'er'cui'wei 剑阁峥嵘而崔嵬
'jian'hua'qiu'lian'guang'chu'xia 剑花秋莲光出匣
'jian'jian'fu'zhong'qian'rao'zhi 健剑刜钟铅绕指
'jian'jue'luo'shang'zhu'lu'nong 渐觉罗裳珠露浓
'jian'qie'cai'wan'shan 贱妾裁纨扇
'jian'qie'e'mei'bu'zhong'gu 贱妾蛾眉不重顾
'jian'qie'ru'tao'li 贱妾如桃李
'jian'que'you'neng'sheng'zi'qi 剑缺犹能生紫气
'jian'ren'qie'fei'gan 见人切肺肝
'jian'shu'dai'hai'shi 缄书待还使
'jian'yi'wei'bi'gui 翦衣未必归
'jian'yuan'du'long'lin 缄怨度龙鳞
'jian'zhang'xi'gong'huan'ruo'shen 建章西宫焕若神
'jian'zhen'jiao'xi'yue 荐枕娇夕月
'jiang'bei'zi'xiang'wen 江北自相闻
'jiang'cheng'ri'mu'hao'xiang'yao 江城日暮好相邀
'jiang'chuan'yuan'xing'yi 将船远行役
'jiang'chun'han'bai'yu 绛唇含白玉
'jiang'cun'hai'ri'zhang'wei'shi 江村亥日长为市
'jiang'gui'wen'fu'xu 将归问夫婿
'jiang'hua'lu'wei'xi 江花露未晞
'jiang'hua'wei'shui'fa 江花为谁发
'jiang'jun'ji'li'shu'xun 将军既立殊勋
'jiang'jun'jian'ling'huo'piao'yao 将军兼领霍嫖姚
'jiang'jun'lou'ge'hua'shen'xian 将军楼阁画神仙
'jiang'jun'mo'chou'chang 将军莫惆怅
'jiang'jun'reng'yuan'tu 将军仍远图
'jiang'jun'xi'shu'shi 将军昔戍师
'jiang'jun'xuan'ma'yi 将军旋马邑
'jiang'lin'ji'ji'cheng'ya'ti 江林寂寂城鸦啼
'jiang'liu'wan'zhuan'rao'fang'dian 江流宛转绕芳甸
'jiang'nan'cai'lian'jin'yi'mu 江南采莲今已暮
'jiang'nan'feng'tu'huan'le'duo 江南风土欢乐多
'jiang'nan'nong 江南弄
'jiang'nan'ren'jia'duo'ju'shu 江南人家多橘树
'jiang'ou'yue'chui'xiang'si'ku 江讴越吹相思苦
'jiang'pan'chun 江畔春
'jiang'pan'he'ren'chu'jian'yue 江畔何人初见月
'jiang'qie'tiao'tiao'dong'lu'chui 将妾迢迢东路陲
'jiang'shang'qing'cao'wei'shui'lv 江上青草为谁绿
'jiang'shang'tuan'tuan'tie'han'yu 江上团团帖寒玉
'jiang'shui'liu'chun'qu'yu'jin 江水流春去欲尽
'jiang'tan'luo'yue'fu'xi'xie 江潭落月复西斜
'jiang'tian'yi'se'wu'xian'chen 江天一色无纤尘
'jiang'tou'zha'shu'xiang 江头楂树香
'jiang'xin'tuo'ming'yue 将心托明月
'jiang'yan'shi'yu'jiao'xiao'ruan 江烟湿雨鲛绡软
'jiang'yue'he'nian'chu'zhao'ren 江月何年初照人
'jiang'yue'nian'nian'wang'xiang'si 江月年年望相似
'jiang'zhong'lv'wu'qi'liang'bo 江中绿雾起凉波
'jiang'zhong'mi'xiang'yu 江中密相遇
'jiao'ai'fan'bei'zhu'ning'yu 娇爱翻悲逐佞谀
'jiao'ai'yi'qiu'feng 娇爱已秋风
'jiao'chi'jin'zui'xi'jun'xue'gan 蛟螭尽醉兮君血干
'jiao'fu'lian'yao'pei 交甫怜瑶佩
'jiao'guan'shao'jiao'jia 交关少交假
'jiao'he'bing'yi'jie 交河冰已结
'jiao'he'shi'jian'xi 交河使渐稀
'jiao'jia'ben'sheng'qing 交假本生轻
'jiao'jiao'kong'zhong'gu'yue'lun 皎皎空中孤月轮
'jiao'ke'zhi'mu'ben'tong'xing 交柯之木本同形
'jiao'long'nie'shi'yu'shi'xue 蛟龙啮尸鱼食血
'jiao'ran'chang'men'yuan 皎然长门怨
'jiao'ri'bu'liu'jing 皎日不留景
'jiao'rong'ji'duo'zhao'yang'dian 娇容几夺昭阳殿
'jiao'shen'que'cheng'chou 娇甚却成愁
'jiao'sheng'man'tian'qiu'se'li 角声满天秋色里
'jiao'wu'shi'duo 矫诬实多
'jiao'xun'si'li'mian'ru'yang 徼巡司隶眠如羊
'jie'bai'mo'wei'zhi'shang'xue 洁白莫为枝上雪
'jie'fa'zao'yi'tian 结发早移天
'jie'nian'luo'zhang'zhong 结念罗帐中
'jie'qiu'tai'xian'huang 阶秋苔藓黄
'jie'ru'si'sheng'bie 借如死生别
'jie'shang'lv'tai'qin 阶上绿苔侵
'jie'shi'xiao'xiang'wu'xian'lu 碣石潇湘无限路
'jie'wen'shui'jia'di 借问谁家地
'jie'wen'shui'jia'jia'zhu'yuan 借问谁家家住远
'jie'wen'song'zhe'shui 借问送者谁
'jie'wen'yue'zhong'ren 借问月中人
'jie'wen'zong'dang'jian 借问宗党间
'jin'an'sai'bei'zhuang 金鞍塞北装
'jin'an'shao'nian'ceng'bu'gu 金鞍少年曾不顾
'jin'an'yao'zhu'lun 金鞍曜朱轮
'jin'bian'wei'ji'ling 尽变为鹡鸰
'jin'bian'wei'tian'jing 尽变为田荆
'jin'bian'yao'zhi'dian 金鞭遥指点
'jin'chen'yi'chui'si 金陈翳垂丝
'jin'cheng'sui'yun'le 锦城虽云乐
'jin'dan'man'wo 金丹满握
'jin'dian'ming'han'yue 金钿明汉月
'jin'dian'ren'sheng'jue 金殿人声绝
'jin'duo'zhong'zhong'wei'shang'ke 金多众中为上客
'jin'fan'chong'lang'shi 锦帆冲浪湿
'jin'gan'jing'jian'hu'ma'jiao 筋干精坚胡马骄
'jin'ge'wo'bu'nuan 金革卧不暖
'jin'he'huang'zhai'zhu 浸河荒寨柱
'jin'he'lu'ji'qian 金河路几千
'jin'hu'zhang'wo 烬胡帐幄
'jin'jian'jin'lu'meng'zheng'chang 锦荐金炉梦正长
'jin'jiang'lao'you'cang'qi'jian 尽将老幼藏其间
'jin'jing'wu'tong'qiu'ye'huang 金井梧桐秋叶黄
'jin'jing'xie'jiu'ru'fei'quan 金鲸泻酒如飞泉
'jin'lai'ci'qu'juan 今来此去捐
'jin'lai'fan'xiang'wu 今来反相误
'jin'ling'xiang'xi'jia'ke'duo 金陵向西贾客多
'jin'long'qing'lou'jin 金龙倾漏尽
'jin'lu'yu'zhen'wu'yan'se 金炉玉枕无颜色
'jin'luan'yu'shi'yao'ding'dong 金鸾玉轼摇丁冬
'jin'lv'hua'men'mei 金缕画门楣
'jin'nian'bai'di'xue'zai'di 今年白帝雪在地
'jin'nian'hua'luo'yan'se'gai 今年花落颜色改
'jin'nian'shen'ru'yu'bu'mao 今年深入于不毛
'jin'nian'wei'shui'si 今年为谁死
'jin'pu'shi'er'jia 近浦是儿家
'jin'qia'hu'er'hei'ru'qi 锦袷胡儿黑如漆
'jin'qin'yu'luo'wei 锦衾与罗帏
'jin'qu'na'bi'jin'chang'jia 今渠那必尽倡家
'jin'ren'hai'dui'luo'hua'feng 今人还对落花风
'jin'ren'he'chu'ting'bu'zu 今人何处听不足
'jin'ri'bai'fa'cui 今日白发催
'jin'ri'chang'pu'hua 今日菖蒲花
'jin'ri'jin'hua'luo 今日槿花落
'jin'ri'zai'chang'men 今日在长门
'jin'ri'zui'bao 今日醉饱
'jin'shi'xiang'sui'cong 尽室相随从
'jin'shui'dong'bei'liu 锦水东北流
'jin'shui'dong'liu'bi 锦水东流碧
'jin'suo'yao'dou'mou 金锁耀兜鍪
'jin'tang'shui'bi'liu 金塘水碧流
'jin'tian'zhi'xi 金天之西
'jin'tui'cheng'xing 进退成行
'jin'wei'bei'shang'nao 尽为悲伤恼
'jin'wei'feng'xiao'tu'chi 尽为风消土吃
'jin'wei'lu'yi'tong 金微路已通
'jin'wo'sheng'ren'yi 尽我生人意
'jin'wu'wang'chen'sheng 金屋网尘生
'jin'wu'wu'ren'ying'huo'liu 金屋无人萤火流
'jin'xiang'tian'shang'xian'gong'xian'chu'zuo 尽向天上仙宫闲处坐
'jin'xiu'ji'ying'yi 襟袖既盈溢
'jin'ye'cai'feng'ying'yi'fei 今夜裁缝萤已飞
'jin'yi'luo'mei'zhu'chun'feng 锦衣罗袂逐春风
'jin'yi'mu 今已暮
'jin'yi'ru'xin'feng 锦衣入新丰
'jin'yu'si'san'qu 金玉四散去
'jin'yu'zhi'qiu'feng 今与值秋风
'jin'yu'zhong'men'xian 近于中门限
'jin'yuan'chun'feng'qi 禁苑春风起
'jin'zhao'jue'ming'qing 今朝觉命轻
'jin'zhao'yi'dao'bu'xiang'yi 今朝已道不相宜
'jin'zhe'fang'ge'xing 今者放歌行
'jin'zhi'bu'ke'jian 巾栉不可见
'jin'zuo'xi'she'dao 今作西舍道
'jing'bu'yan'hou'qi 竟不言后期
'jing'chun'long'shang'han 经春陇尚寒
'jing'cui'duan'si'duo 经脆断丝多
'jing'gan'shi'mei'yu 精感石没羽
'jing'hu'san'bai'li 镜湖三百里
'jing'hua'yao'ji'ri 镜花摇芰日
'jing'ji'xuan'sheng 荆棘旋生
'jing'ling'jing'he'neng 精灵竟何能
'jing'nian'bu'jian'jun'wang'mian 经年不见君王面
'jing'qi'shan'shan'yao'tian'mo 旌旗闪闪摇天末
'jing'qi'shi'qun'fei'luo'shu 惊栖失群飞落树
'jing'qian'hong'fen'xie 镜前红粉歇
'jing'sha'bei'yuan'xi 惊沙被原隰
'jing'shui'wu'feng'ye'zi'bo 镜水无风也自波
'jing'wei'fei'mu'shi 精卫费木石
'jing'yan'san'hu'tian 惊雁散胡天
'jing'ying'tian'xia'bian 经营天下遍
'jing'zhong'ren'zhi'pan'zhe 竞众人之攀折
'jiong'shu'wei'feng'huo 迥戍危烽火
'jiu'ai'bai'liang'tai 旧爱柏梁台
'jiu'bao'feng'huang 九苞凤凰
'jiu'bei'ruo'ye'lu 酒杯若叶露
'jiu'bu'jian'zhi'xi'xiang'shui'mang'mang 久不见之兮湘水茫茫
'jiu'chu'yu'long'jie'xi'wu 旧处鱼龙皆细物
'jiu'jiu'zhuo'long'peng 啾啾啅龙鹏
'jiu'li'ru'jin'gui'wei'de 旧里如今归未得
'jiu'long'zhuan'wu'jue 旧垄转芜绝
'jiu'ma'he'neng'nie'fang'cao 厩马何能啮芳草
'jiu'quan'ji'mo'zang'qiu'chong 九泉寂寞葬秋虫
'jiu'shi'qing'sha'rou'si'ya 酒湿青莎肉饲鸦
'jiu'yu'shi'wu'chen 久雨始无尘
'jiu'zhong'dao'wo'nan'shan'lv 酒中倒卧南山绿
'jiu'zhou'shi'can'ma 九州始蚕麻
'ju'jiao'chen'guang'xi'hun 讵教晨光夕昏
'ju'shi'cai'lian'xin 讵识采莲心
'ju'zu'ta'zi'wei 举足蹋紫微
'juan'pei'sheng'feng'xi'qi'xin 卷旆生风喜气新
'juan'yi'lian'chun'feng 卷衣恋春风
'jue'mo'gan'ge'ji 绝漠干戈戢
'jue'yan'duan'gu'na'xia'bu 绝咽断骨那下补
'jun'bu'jian'gao'yang'jiu'tu'qi'cao'zhong 君不见高阳酒徒起草中
'jun'bu'jian'li'shan'mao'ling'jin'hui'mie 君不见骊山茂陵尽灰灭
'jun'bu'jian'yi'chun'yuan'zhong'jiu'hua'dian 君不见宜春苑中九华殿
'jun'bu'jian'zhao'ge'tu'sou'ci'ji'jin 君不见朝歌屠叟辞棘津
'jun'en'bu'ke'jian 君恩不可见
'jun'en'bu'ke'zai 君恩不可再
'jun'en'hu'duan'jue 君恩忽断绝
'jun'en'na'bu'xi 君恩那不惜
'jun'en'xi'wei'ping 君恩昔未平
'jun'en'yi'qu'ruo'zai'fan 君恩已去若再返
'jun'fang'you'huan'cong'chen'ru 君方游宦从陈汝
'jun'ge'yang'pan'er 君歌杨叛儿
'jun'gu'shou'di'pian 军孤受敌偏
'jun'huai'na'de'zhi 君怀那得知
'jun'jia'a'na'bian 君家阿那边
'jun'jia'shu'tou'duo'hao'zhi 君家树头多好枝
'jun'kan'shi'mang'dang 君看石芒砀
'jun'lei'ru'luo'jin 君泪濡罗巾
'jun'men'pin'na'shou'xiang'shu 军门频纳受降书
'jun'mo'xian'chou'fu 君莫嫌丑妇
'jun'qian'shui'shi'bai'nian'ren 君前谁是百年人
'jun'qing'ji'jue'jue 君情既决绝
'jun'ruo'bu'yin'jiu 君若不饮酒
'jun'ruo'wu'ding'yun 君若无定云
'jun'shu'fa'shang'jun 军书发上郡
'jun'shu'yi'jian'chuan 军书一箭传
'jun'wang'chun'ai'xie 君王春爱歇
'jun'wang'ci'yan'se 君王赐颜色
'jun'wang'en'xing'shu 君王恩幸疏
'jun'wang'hao'chang'xiu 君王好长袖
'jun'wang'hu'ran'chong 君王忽然宠
'jun'wang'kan'wu'xi 君王看舞席
'jun'wang'ruo'sui'shi 君王若岁时
'jun'wang'wang'yue'xi'shan'tou 君王望月西山头
'jun'wang'xian'qie'du 君王嫌妾妒
'jun'wang'xuan'yu'shai 君王选玉色
'jun'wang'yan'de'bu'wang'xin 君王厌德不忘新
'jun'wang'zong'you'qing 君王纵有情
'jun'wang'zuo'ye'zhou'zhong'su 君王昨夜舟中宿
'jun'wei'long'xi'ke 君为陇西客
'jun'xin'hu'duan'he'shi'lai 君心忽断何时来
'jun'yan'liang'xi'duo 君颜良洗多
'jun'zui'liu'qie'jia 君醉留妾家
'kai'ge'xuan'ma'yi 凯歌旋马邑
'kai'guo'he'mang'ran 开国何茫然
'kai'hua'ye'zheng'yuan 开花叶正圆
'kai'keng'ge'jia'sheng'lao'cao 揩铿戈甲声劳嘈
'kai'lu'xiang'dui'yi'jiang'zhu 开炉相对依江渚
'kai'yan'du'tian'guang 开颜睹天光
'kan'chun'du'bu'yan 看春独不言
'kan'hua'ruo'you'qing 看花若有情
'kan'kan'ji'gu 坎坎击鼓
'kan'long'bu'ji'xun'long'nao 看笼不记熏龙脑
'kan'qu'fu'rong'hua 看取芙蓉花
'kan'qu'jia'qu'che 看渠驾去车
'kan'que'bei'feng'chui 看却被风吹
'kan'zhuang'duo'yu'zan 看妆堕玉簪
'kang'kai'tu'qing'yin 慷慨吐清音
'kang'lao'hu'chu 康老胡雏
'ke'chong'gong'yuan 柯崇宫怨
'ke'lian'chun'ban'bu'huan'jia 可怜春半不还家
'ke'lian'li'bie'shui'jia'zi 可怜离别谁家子
'ke'lian'lou'shang'yue'pei'hui 可怜楼上月裴回
'ke'lian'ming'jing'lai'xiang'xiang 可怜明镜来相向
'ke'lian'yang'ye'fu'yang'hua 可怜杨叶复杨花
'ke'xin'ben'ming'xia 客心本明黠
'ke'yi'deng'zhi'you 可以登之游
'ke'yi'heng'jue'e'mei'dian 可以横绝峨眉巅
'ke'you'shu'wei'fan 客游殊未返
'kong'cheng'bai'hen'nong 空成百恨浓
'kong'chuang'yue'yan'ren 空床月厌人
'kong'de'men'qian'yi'duan'chang 空得门前一断肠
'kong'dui'shuang'che'lun 空对双车轮
