'ai'ai'ding'men'wai 蔼蔼鼎门外
'he'ling'hu'xiang'gong'nan'zhai'xiao'yan'ting'ruan'xian 和令狐相公南斋小宴听阮咸
'he'ling'hu'xiang'gong'yan'huai'ji'he'zhong'yang'shao'yin 和令狐相公言怀寄河中杨少尹
'he'liu'shou'ling'hu'xiang'gong'da'bai'bin'ke 和留守令狐相公答白宾客
'he'liu'tian'ma'jia 河流添马颊
'he'na'qu'ci'er'shou 纥那曲词二首
'he'nan'di'shu'ping'lu'jun 河南地属平卢军
'he'pu'ye'niu'xiang'gong'chun'ri'xian'zuo'jian'huai 和仆射牛相公春日闲坐见怀
'he'ren'bu'yuan'jie'zhu'ying 何人不愿解珠璎
'he'ren'cheng'yu'zhi 何人承玉趾
'he'ren'shi'qian'fang 何人事搴芳
'he'ren'wan'li'neng'xiang'yi 何人万里能相忆
'he'ren'wei'diao'ke 何人为吊客
'he'ren'zhai'shi'jian'chui'zhu 何人摘实见垂珠
'he'shi'ce'ma'tong'gui'qu 何时策马同归去
'he'shi'du'shang'huai 何事独伤怀
'he'shi'lian'nian'yue'zhuo'fei 何事连年鸑鷟飞
'he'shi'qiu'qing'yong 何事秋卿咏
'he'shi'shen'xian'jiu'tian'shang 何事神仙九天上
'he'shi'tian'ji'lai 何时天际来
'he'tan'er'shou 鹤叹二首
'he'wu'ling'nong'xian 何物令侬羡
'he'wu'zhong'cheng'qiu'ri'ji'huai'jian'zhu'liao'gu 和武中丞秋日寄怀简诸僚故
'he'xi'chuan'li'shang'shu'shang'kong'que'ji'xue'tao'zhi'shen 和西川李尚书伤孔雀及薛涛之什
'he'xing'fei'yong'bing 合姓非用兵
'he'xing'xiang'zhao'tong'zui'chu 何幸相招同醉处
'he'xu'xiang'feng'lv'yang'lu 何许相逢绿杨路
'he'xuan'wu'ling'hu'xiang'gong'jun'zhai'dui'xin'zhu 和宣武令狐相公郡斋对新竹
'he'yun'zhou'ling'hu'xiang'gong'chun'wan'dui'hua 和郓州令狐相公春晚对花
'he'zai'zeng'cheng'a'lao'jia 合在增城阿姥家
'hen'bu'tong'shi'bian'fu'ying 恨不同时便服膺
'hen'wei'yi'xi'ke 恨为一夕客
'heng'jiang'pei'yao'de 恒将配尧德
'heng'kui'fei'suo'yong 横溃非所壅
'heng'wu'yi'huan'zhi 衡巫屹环峙
'heng'yang'yu'meng'de'fen'lu'zeng'bie 衡阳与梦得分路赠别
'heng'yue'xin'cui'tian'zhu'feng 衡岳新摧天柱峰
'hong'bo'han'dan'fu'xiong'pi 洪波涵淡浮熊罴
'hong'hu'qu'bu'fan 鸿鹄去不返
'hong'lu'zuo'gao'shan 洪炉作高山
'hong'ru'bian'shi'ku'qie'yao 轰如鞭石矻且摇
'hong'xia'ying'shu'zhe'gu'ming 红霞映树鹧鸪鸣
'hong'xiu'hua'yu'ran 红袖花欲然
'hong'yan'yuan'cheng'xia 红焰远成霞
'hong'yun'fa'hua'zhong 洪韵发华钟
'hou'jia'xiao'er'neng'bi'li 侯家小儿能筚篥
'hou'li'li'sha'ji 候吏立沙际
'hou'men'you'ren'yi 侯门有仁义
'hou'ting'hua'yi'qu 后庭花一曲
'hu'chen'xi'qi'ji'bei'men 胡尘昔起蓟北门
'hu'cong'qiao'cui'you'sheng'yi 忽从憔悴有生意
'hu'feng'cheng'ma'ke 忽逢乘马客
'hu'feng'pi'li'yi'sheng'hua'wei'shi 忽逢霹雳一声化为石
'hu'guang'qiu'yue'liang'xiang'he 湖光秋月两相和
'hu'jing'jin'yin'jia'zhu'fan 忽惊金印驾朱轓
'hu'jing'mu'jin'piao'ling'jin 忽惊暮槿飘零尽
'hu'jing'yuan'he'shi'er'zai 忽惊元和十二载
'hu'ling'bu'shu'you'tai'xue 忽领簿书游太学
'hu'luo'wei'xin'zai 濩落唯心在
'hu'ma'xi'nan'wu 胡马西南骛
'hu'ping'yue'shang'tian'di'kong 湖平月上天地空
'hu'ran'jie'shu'ru'qiu'peng 忽然结束如秋蓬
'hu'ran'yu'xiao'ban'tian'shang 忽然语笑半天上
'hu'shang'wei'qian'xi 壶觞慰迁徙
'hu'si'zheng'dao'hua'ping'sha 忽思争道画平沙
'hu'tan'you'ming'yi 忽叹幽明异
'hu'wen'ji'wu'yi'zao'ju 忽闻饥乌一噪聚
'hu'xing'you'jing'po'mei'tai 忽行幽径破莓苔
'hu'xue'de'zi'ren'jie'jing 虎穴得子人皆惊
'hu'yi'qian'yan'geng'chou'chang 忽忆前言更惆怅
'hua'biao'ban'kong'jing'pi'li 华表半空经霹雳
'hua'e'lou'qian'chu'zhong'shi 花萼楼前初种时
'hua'han'yu'yu'yi 花含欲语意
'hua'hong'yi'shuai'si'lang'yi 花红易衰似郎意
'hua'jian'shu'zhan'jiu 花间数盏酒
'hua'jiao'jin'nao'dan'xi'chui 画角金铙旦夕吹
'hua'kai'shi'jie'dong'jing'cheng 花开时节动京城
'hua'lin'shuang'ye'hong'xia'wan 华林霜叶红霞晚
'hua'lin'wei'qu'xun 花林委曲巡
'hua'mu'shou'zai'pian'you'xing 花木手栽偏有兴
'hua'qian'yue'di'feng'jun'wang 花前月底奉君王
'hua'ran'jin'he'jian'jing'ji 砉然劲翮剪荆棘
'hua'shan'ge 华山歌
'hua'shi'tian'si'zui 花时天似醉
'hua'shu'man'kong'mi'chu'suo 花树满空迷处所
'hua'tang'liu'ke'kan'jing'hong 华堂留客看惊鸿
'hua'wei'gu'shi'ku'xiang'si 化为孤石苦相思
'hua'xiang'nuan'sui'qing'wu'die 花巷暖随轻舞蝶
'hua'yan'qu'ba'ci'gui'qu 华筵曲罢辞归去
'hua'yan'wu'yu'yan 华筵舞玉颜
'hua'ye'zi'xiang'cui 花叶自相催
'hua'zuo'yuan'yang'yi'zhi'fei 化作鸳鸯一只飞
'huai'an'gu'di'yong'zhou'shi 淮安古地拥州师
'huai'hua'dian'yu'gou 槐花点御沟
'huai'jiu'kong'yin'wen'di'fu 怀旧空吟闻笛赋
'huai'nan'gui'shu'xiao'shan'ci 淮南桂树小山词
'huai'ren'jing'yi'xiang 怀人敬遗像
'huai'ren'lei'kong'chui 怀人泪空垂
'huai'shi'zhu'sheng'ye'dui'shu 槐市诸生夜对书
'huai'shui'dong'bian'jiu'shi'yue 淮水东边旧时月
'huai'shui'qiu'feng'sheng 淮水秋风生
'huai'xi'ji'shi'ping'an'de 淮西既是平安地
'huai'yin'xing'wu'shou 淮阴行五首
'huan'qing'ji'si'gong'qi'qi 宦情羁思共凄凄
'huan'ran'zhen'si'mei 欢然臻四美
'huan'sheng'xi'qi'man'wu'zhou 欢声喜气满吴州
'huan'ta'zhu'ye'shi'fen'bei 换他竹叶十分杯
'huan'tu'sui'bie'jiu'qing'qin 宦途虽别旧情亲
'huan'yi'dai'hua'kai 欢意待花开
'huang'chen'ma'wei'yi 黄尘马嵬驿
'huang'ci'gu'mu'dui'jing'zhen 荒祠古墓对荆榛
'huang'cun'wen'quan'xi 荒村闻犬稀
'huang'di'di'zi'wei'jia'qu 皇帝弟子韦家曲
'huang'he'yi'qu'dang'cheng'xia 黄河一曲当城下
'huang'jie'qian'shen'zhe 荒街浅深辙
'huang'li'tun'sheng'yan'wu'yu 黄鹂吞声燕无语
'huang'quan'wang'fu'hai 黄犬往复还
'huang'ruo'jing'jun'gu 恍若惊麏顾
'huang'shan'qiu'ri'wu 荒山秋日午
'huang'tai'ce'sheng'shu 荒台侧生树
'huang'ying'ye'cao'qiu 荒营野草秋
'huang'zhi'chu'shu'mei'ri'wen 黄纸除书每日闻
'hui'cao'xiang'shu'dian 蕙草香书殿
'hui'chang'ying'shen'san'liang'sheng 回唱迎神三两声
'hui'feng'dan'xi'zhi 回风旦夕至
'hui'feng'yi'xiao'se 回风一萧瑟
'hui'guan'ying'xin'lv 灰琯应新律
'hui'huan'xuan'di'li 回环宣地理
'hui'kan'tian'ji'xia'zhong'liu 回看天际下中流
'hui'ling'di'shu'fu 麾令递束缚
'hui'mou'qing'geng'shen 回眸情更深
'hui'mou'xuan'huang'bie'qun'yu 回眸炫晃别群玉
'hui'ru'he'na'pi'lv'luo 回入纥那披绿罗
'hui'shou'shang'ru'he 回首伤如何
'hui'shou'ting'zhong'kan'wu'qiang 回首庭中看舞枪
'hui'shu'tuan'shan'shang 会书团扇上
'hui'xia'xiang'yi'qing 麾下相敧倾
'hui'xiang'suo'chuang'wang 会向琐窗望
'hui'you'zhi'bing'zhe 会有知兵者
'hun'cheng'fei'yi'shui 混成非一水
'hun'hei'shen'yuan'lu 昏黑慎原陆
'hun'hun'lian'qin'zhen 昏昏恋衾枕
'hun'shi'zhong'zhai'mu'dan 浑侍中宅牡丹
'hun'yin'tong'mu'ke 婚姻通木客
'huo'cai'zu'fei'lin 货财足非吝
'huo'min'shang'hun'mai 火旻尚昏霾
'huo'ru'huang'ling'hua'bao'yi 火入荒陵化宝衣
'huo'xing'hu'nan'jian 火星忽南见
'huo'xing'zheng'xi'liu 火星正西流
'huo'zhong'kai'shan'ji 火种开山脊
'ji'bing'ming'gu'luan 疾病命固乱
'ji'ci'xi'hai'ri 及此西还日
'ji'de'yun'jian'di'yi'ge 记得云间第一歌
'ji'du'chao'hui'yi'zi'hang 几度朝回一字行
'ji'du'yu'gui'qu 几度欲归去
'ji'fu'zhen'ke'xi 肌肤真可惜
'ji'gu'zhan'nian'bai'shui'shen 鸡骨占年拜水神
'ji'hui'zhong'ye'xi'yuan'long 几回中夜惜元龙
'ji'ji'zhong'ji'ji 寂寂重寂寂
'ji'jing'shu'han'chi 汲井漱寒齿
'ji'ku'an'ke'ren 集枯安可任
'ji'li'xiao'zhi'ci 计吏笑致辞
'ji'liao'sou'shan'zhi 积潦搜山趾
'ji'liao'zhao'jing'tai 寂寥照镜台
'ji'ming'cun'xiang'bai 鸡鸣村巷白
'ji'mo'fan'hua'jin 寂寞繁花尽
'ji'mo'jiang'he'yan 寂寞将何言
'ji'mo'lv'hun'zhao'bu'gui 寂寞旅魂招不归
'ji'mo'yi'shuang'he 寂寞一双鹤
'ji'nan'ge 纪南歌
'ji'niao'lai'chan'huan'xuan'mu 饥鸟来觇桓玄目
'ji'qin'xiang'you'gu 羁禽响幽谷
'ji'qu'qian'zhi'wen 疾驱前致问
'ji'ren'lian'ta'zhu'ge'hai 几人连踏竹歌还
'ji'ren'yi'chang'gu'peng'peng 鸡人一唱鼓蓬蓬
'ji'ri'dao'qin'yuan 几日到秦原
'ji'shan'zi'yu'qi'shan'bie 稽山自与岐山别
'ji'sheng'quan'sheng'yao'xiang'wen 鸡声犬声遥相闻
'ji'shu'shi'yan'xi 鸡黍事筵席
'ji'sui'bei'nan'guo 几岁悲南国
'ji'sui'kai'hua'wen'pen'xue 几岁开花闻喷雪
'ji'tang'zhou'yang'ba'gui'hou 寄唐州杨八归厚
'ji'ting'wu'liu'xin 寂听无流心
'ji'tong'jin'ma'men 籍通金马门
'ji'wei'heng 寄韦珩
'ji'wu'yao'nan'ji 积雾杳难极
'ji'xi'mo'yu'tong 即席莫与同
'ji'xie'ji'zhong'san 寄谢嵇中散
'ji'xie'yin'qin'jiu'tian'lv 寄谢殷勤九天侣
'ji'xing'ye'zuo'she'fang'lue 饥行夜坐设方略
'ji'yan'gan'li'qun 寄砚感离群
'ji'yan'qian'jin'zi 寄言千金子
'ji'yang'ba'shi'yi 寄杨八拾遗
'ji'yang'ba'shou'zhou 寄杨八寿州
'ji'yi'zhua'shou'sheng'xiao'xiao 罽衣髽首声哓哓
'ji'zhang'fu'he'ming 几杖复何铭
'ji'zhang'zai'san'qiu 积涨在三秋
'ji'zhi'ying'ri'dong 戟枝迎日动
'ji'zhong'wei'jue'ji'wen'duo 集中唯觉祭文多
'ji'zhu'kong'yi'bi 机杼空倚壁
'jia'chuan'zhen'qu'feng 家传枕曲风
'jia'gu'zuo'he'fen 嘉谷坐熇焚
'jia'he'yi'hou'lian'qiang'zhu 嘉禾驿后联墙住
'jia'jia'chun'jiu'man'yin'bei 家家春酒满银杯
'jia'jia'zhi'zhan'qiang'yin'nei 家家只占墙阴内
'jia'jia'zhu'lou'lin'guang'mo 家家竹楼临广陌
'jia'shan'jian'chu'yue 家山见初月
'jia'shou'yi'gao'wo 假守亦高卧
'jia'zhu'cheng'du'wan'li'qiao 家住成都万里桥
'jian'dao'han'jian'yin 见盗寒涧阴
'jian'jia'xi'li'han'qiu'wu 蒹葭淅沥含秋雾
'jian'jian'shu'you'shi 溅溅漱幽石
'jian'jie'dong'xing'shi'jiu'you 建节东行是旧游
'jian'jin'guan'xi'wei'bei'chun 见尽关西渭北春
'jian'jun'ti'zi'hu'qiu'shan 见君题字虎丘山
'jian'ni'yi'ju'zuo'lin'li 见拟移居作邻里
'jian'shi'yin'he'xie 见是银河泻
'jian'tou'hua'hua'sheng'xiang'si 箭头砉划声相似
'jian'tou'yu'hu'xue 箭头余鹄血
'jian'ying'han'guang'rang'zhao'ri 剑影含光让朝日
'jiang'cheng'yue'xie'lou'ying'chang 江城月斜楼影长
'jiang'ling'zhai 江令宅
'jiang'liu'qu'si'jiu'hui'chang 江流曲似九回肠
'jiang'liu'zhao'fei'meng 江流照飞甍
'jiang'lue'bing'ji'ming'shi'xiong 将略兵机命世雄
'jiang'nan'jiang'bei'wang'yan'bo 江南江北望烟波
'jiang'ru'xian'yang'shi 将入咸阳市
'jiang'shang'zhu'lou'xin'yu'qing 江上竹楼新雨晴
'jiang'sheng'you'ya'man'zhong'liu 桨声幽轧满中流
'jiang'shi'chu'shan'hui 江势触山回
'jiang'tou'shu'ke'zhu'lan'rao 江头蜀客驻兰桡
'jiang'xiang'zhong'liu'pi'wan'xia 将向中流疋晚霞
'jiang'xue 江雪
'jiang'yan'duo'za'ni 江淹多杂拟
'jiang'zeng'xing'ren'zhi'bu'zhi 将赠行人知不知
'jiao'jie'qing'yun'shi 交结青云士
'jiao'long'de'yu'qi'lie'dong 蛟龙得雨鬐鬣动
'jiao'qing'dan'ru'ci 交情淡如此
'jiao'ren'chu'ting'ting'xiao'suo 鲛人出听停绡梭
'jiao'ren'nong'ji'zhu 鲛人弄机杼
'jiao'si'fei'suo'wen 交私非所闻
'jie'chao'zheng'rong 捷超峥嵘
'jie'gan'ming'jue'fen'xiong'ci 揭竿命爵分雄雌
'jie'gen'bu'de'yao'lu'jin 结根不得要路津
'jie'gou'de'qi'shi 结构得奇势
'jie'guang'ru'ke'ba 洁光如可把
'jie'jing'de'xing'fang'xiao'yao 介鲸得性方逍遥
'jie'qi'lin'chun'shi'zui'she 结绮临春事最奢
'jie'wen'chi'tai'zhu 借问池台主
'jie'wen'feng'qian'jian'yue'xia 借问风前兼月下
'jie'wen'zhi'gong'shui'yin'ke 借问至公谁印可
'jie'yan'xing'shu'shi 皆言幸蜀时
'jie'yi'xiang'feng'ru'ou'yu 阶蚁相逢如偶语
'jie'zi'jin'li'shi 竭兹筋力事
'jin'bei'sang'guo'hua 今悲丧国华
'jin'chu'geng'zhang'huang 晋楚更张皇
'jin'dai'qiu'hao'ta'xue'ya 锦带酋豪蹋雪衙
'jin'feng'sheng'jun'yu'feng'shan 今逢圣君欲封禅
'jin'feng'si'hai'wei'jia'ri 今逢四海为家日
'jin'gu'yuan'zhong'ying'luan'fei 金谷园中莺乱飞
'jin'huai'you'yu'qing 襟怀有余清
'jin'jia'fa'li'qiao 金笳发丽谯
'jin'jia'ru'mu'ying'qing'shang 金笳入暮应清商
'jin'lai'jian'you'lin'chi'xing 近来渐有临池兴
'jin'lai'shi'shi'qing'xian'bei 近来时世轻先辈
'jin'lai'shu'hang'lei 今来数行泪
'jin'lai'zhong'chui'lei 今来重垂泪
'jin'li'jin'yan'zhou 筋力尽炎洲
'jin'li'xian'ding'fu 筋力羡丁夫
'jin'ling'huai'gu 金陵怀古
'jin'ling'wang'qi'an'ran'shou 金陵王气黯然收
'jin'ling'wu'ti 金陵五题
'jin'lou'chen'zhong'sheng'yu'jue 禁漏晨钟声欲绝
'jin'lu'xing'pen'deng'hua'fa 金炉星喷灯花发
'jin'mei 尽美
'jin'men'tong'ji'zhen'duo'shi 金门通籍真多士
'jin'nian'fang'yu'lai'xiao'gui 今年访予来小桂
'jin'nian'shi'du'de'huo'ji 今年噬毒得霍疾
'jin'nian'xing'shao'feng 今年幸少丰
'jin'qi'su'su'kai'xing'chan 金气肃肃开星躔
'jin'ri'hua'qian'yin 今日花前饮
'jin'ri'jian'jun'jie'jiu'zhi 今日荐君嗟久滞
'jin'ri'kan'shu'zui'chou'chang 今日看书最惆怅
'jin'ri'ting'jun'ge'yi'qu 今日听君歌一曲
'jin'ri'xiang'feng'yi'xiao'wang 今日相逢忆孝王
'jin'ri'you'zhuang'yin 今日油幢引
'jin'ri'zhi'yin'yi'liu'ting 今日知音一留听
'jin'ri'zhuan'chuan'tou 今日转船头
'jin'ru'cun'mou'zhong 尽入寸眸中
'jin'shan'jiu'you'si 金山旧游寺
'jin'shi'liu'lang'qu'hou'zai 尽是刘郎去后栽
'jin'shi'sha'zhong'lang'di'lai 尽是沙中浪底来
'jin'shu'yi'san'fu 金数已三伏
'jin'shu'zhu'yao'yi 尽输助徭役
'jin'ting'xuan'chan'wo'que'hui 今听玄蝉我却回
'jin'wan'lu'sheng'cu 津晚橹声促
'jin'wu'rong'se'zai 金屋容色在
'jin'wu'zhi'xi'bei 金乌指西北
'jin'xia'xin'xin'jian'dong'shang 金霞昕昕渐东上
'jin'xiao'di'cheng'yue 今宵帝城月
'jin'ye'chu'wen'chang'le'zhong 今夜初闻长乐钟
'jin'yin'luo'jian'cheng'qing'bu 锦茵罗荐承轻步
'jin'yuan'ling'chen'chu 禁苑凌晨出
'jin'zhao'bei'ke'si'gui'qu 今朝北客思归去
'jin'zhao'bu'yong'lin'he'bie 今朝不用临河别
'jin'zhao'fu'bei'zheng 今朝赋北征
'jin'zhao'hua'wo'guan'xian'ying 今朝华幄管弦迎
'jin'zhao'hui'jing'man 今朝会荆蛮
'jin'zhao'jian'yan'se 今朝见颜色
'jin'zhao'liang'xiang'shi 今朝两相视
'jin'zhao'tian'zi'sheng'shen'wu 今朝天子圣神武
'jin'zhao'ting'wu'ma 今朝停五马
'jin'zhao'wu'yi'su'li'bei 今朝无意诉离杯
'jin'zhao'you'shang'lai 今朝又上来
'jin'zi'tong'you'shui'de'ru 金紫同游谁得如
'jing'bing'yuan'zhu'li'qing'che 精兵愿逐李轻车
'jing'chi'qian'yu'duo 径尺千余朵
'jing'chou'che'gong'jian'ji'er'shou 敬酬彻公见寄二首
'jing'cun'you'yu'yin 径寸有余阴
'jing'deng'lin'xiao'si'zhuang'tai 镜灯临晓似妆台
'jing'du'qu 竞渡曲
'jing'feng'luan'zhan'fu'rong'shui 惊风乱飐芙蓉水
'jing'fu'bo'shen'ci 经伏波神祠
'jing'guai'ren'jian'ri'yi'xie 惊怪人间日易斜
'jing'hun'zai'san'chi 兢魂再三褫
'jing'jing'zhi'yan'duan 晶晶掷岩端
'jing'jue'bai'lian'jin 精绝百炼金
'jing'jun'shi'ju'tiao 惊麏时跼跳
'jing'jun'zou'qie'gu 惊麏走且顾
'jing'kan'feng'jiao'hui 静看蜂教诲
'jing'lang'mi'jin'si 惊浪迷津涘
'jing'lian'chen'an'tong'xin'jie 镜奁尘暗同心结
'jing'pei'fu'qing'hong 旌旆拂晴虹
'jing'po'jing'yan'ru 精魄竟焉如
'jing'qi'yuan'yang'chu'lang'hua 惊起鸳鸯出浪花
'jing'qi'zu'shou'ying'xiang'jiao 旌旗组绶影相交
'jing'shi'hai'an'shi 经事还谙事
'jing'shi'han'deng'ming 静室寒灯明
'jing'tan'dao'ji'gu'lei 经檀道济故垒
'jing'tuan'cu'bo'han'er'jiao 惊湍蹙波悍而骄
'jing'wang'yi'qing'si 荆王殪青兕
'jing'wu'hao'bei'lin 惊乌号北林
'jing'wu'mo'mo'chuan'shen'yu 荆巫脉脉传神语
'jing'yi'jiu'you'lao'meng'xiang 京邑旧游劳梦想
'jing'yi'qun'dong'xi 景移群动息
'jing'zhi'yu'qiu'shi 景值欲秋时
'jing'zhou'dao'huai'gu 荆州道怀古
'jiong'po'lin'yan'chu 迥破林烟出
'jiong'wang'jie'xu'wu 迥望接虚无
'jiong'xiu'chang'zai'wu'ren'jing 迥秀长在无人境
'jiu'ceng'yun'wai'yi'lan'gan 九层云外倚栏杆
'jiu'chong'shen'chu'wu'ren'jian 九重深处无人见
'jiu'chu'wei'feng'ming'zhao'yang 九雏威凤鸣朝阳
'jiu'dui'qing'shan'yue 酒对青山月
'jiu'hou'ren'dao'kuang 酒后人倒狂
'jiu'hu'ming'yi'wan 九扈鸣已晚
'jiu'hua'shan 九华山
'jiu'hua'shan'ge 九华山歌
'jiu'lai'ci'ke'duo'wu'wei 旧来词客多无位
'jiu'li'ban'han'chou'yi'san 酒力半酣愁已散
'jiu'li'chan'chan'shi 久立潺潺石
'jiu'liu'xian'ke'hua 久留闲客话
'jiu'ma'pian'pian'jin'wai'feng 厩马翩翩禁外逢
'jiu'mo'ren'ren'zou'ma'kan 九陌人人走马看
'jiu'qi'xiang'wang'da'di'tou 酒旗相望大堤头
'jiu'qu'che'ma'hong'cheng'lei 九衢车马轰成雷
'jiu'qu'che'ma'hun'hun'liu 九衢车马浑浑流
'jiu'qu'huang'he'wan'li'sha 九曲黄河万里沙
'jiu'ren'wei'shu'mi'jia'rong 旧人唯数米嘉荣
'jiu'ren'wei'you'he'kan'zai 旧人唯有何戡在
'jiu'she'qi'ting'ci'di'kai 酒舍旗亭次第开
'jiu'shi'wang'xie'tang'qian'yan 旧时王谢堂前燕
'jiu'tian'kai'mi'zhi 九天开秘祉
'jiu'tian'zhi'hou'yuan'chen'gui 九天祗候远臣归
'jiu'tuo'song'xin'qi 旧托松心契
'jiu'wei'zan'zu'lei 久为簪组累
'jiu'weng'xin'chen'jie 酒瓮新陈接
'jiu'xue'san'dong'jin'zhuan'fu 旧学三冬今转富
'jiu'xue'wen'zhang'han'bai'feng 久学文章含白凤
'jiu'yi'nan'mian'shi 九疑南面事
'jiu'ying'ji'ji'chong'huang'liang 就影汲汲舂黄粱
'jiu'yuan'you'ji'ruo'tang'feng 九原犹寄若堂封
'ju'huo'juan'qian'jin 居货捐千金
'ju'mu'feng'yan'fei'jiu'shi 举目风烟非旧时
'ju'mu'pian'jing'lv'ke'chuan 飓母偏惊旅客船
'ju'ren'shao'bai'tou 居人少白头
'ju'shu'sha'zhou'an 橘树沙洲暗
'ju'tou'zi'yin'ren 举头自引刃
'ju'wen'yao 聚蚊谣
'ju'you'ling'long'tou'xi'yang 橘柚玲珑透夕阳
'ju'zhou'bang'ke'zhi 橘洲傍可指
'ju'zhu'xiao'feng'mie 俱逐晓风灭
'juan'qi'sha'dui'si'xue'dui 卷起沙堆似雪堆
'jue'jing'liang'shi'nan'zai'bing 绝景良时难再并
'jue'wen'fan'lu'zhui 觉闻繁露坠
'jun'ba'zai'liao'kuo 峻拔在寥廓
'jun'bu'jian'jing'ting'zhi'shan'huang'suo'mo 君不见敬亭之山黄索漠
'jun'cheng'nan'xia'jie'tong'jin 郡城南下接通津
'jun'cheng'xi'qi'che'qing'ming 军城喜气彻青冥
'jun'en'ying'shang'yin'gui'qu 君恩郢上吟归去
'jun'fan'zhuan'shan'mie 君帆转山灭
'jun'hou'ji'ji'shi 君侯既即世
'jun'jia'nong'ding'an 君家侬定谙
'jun'jia'zhu'ning'xing 军家诛佞幸
'jun'jin'ci'huan'gui 君今赐环归
'jun'jin'ku'ku'you'cuan'zhu 君今矻矻又窜逐
'jun'kan'du'kou'tao'sha'chu 君看渡口淘沙处
'jun'kan'er'san'nian 君看二三年
'jun'kan'yan'qian'guang'jing'cu 君看眼前光景促
'jun'lai'bu'yong'fei'shu'bao 君来不用飞书报
'jun'nei'shu'qing'xian'pei'shi'zhong'liu'shou 郡内书情献裴侍中留守
'jun'ping'lian'xia'tu'xiang'wen 君平帘下徒相问
'jun'qu'xi'qin'geng'xiang'xi 君去西秦更向西
'jun'ren'ji'ting'yi'man'shuang 郡人寂听衣满霜
'jun'ren'wei'shi'wen'yao'yong 郡人未识闻谣咏
'jun'ren'zhong'de'huang'cheng'xiang 郡人重得黄丞相
'jun'shan'huai'gu 君山怀古
'jun'shou'zi'dan'jian 捃收自担肩
'jun'shu'wen'feng'su 君书问风俗
'jun'wang'hua'mei'chu 君王画眉处
'jun'yan'cui'wo'lao 君言催我老
'jun'you'jin'gu'di'shang 君游金谷堤上
'kai'hu'lin'xi'yuan 开户临西园
'kai'yan'yi'xiao'xiang'he'ren 开颜一笑向何人
'kai'yan'zuo'nei'cui'fei'zhan 开颜坐内催飞盏
'kai'yuan'huang'di'dong'feng'shi 开元皇帝东封时
'kai'yuan'tian'zi'wan'shi'zu 开元天子万事足
'kan'hua'chang'lang'bian 看画长廊遍
'kan'kan'gua'shi'yu'dao 看看瓜时欲到
'kan'kua'zao'chao'ke 堪夸早朝客
'kan'shu'yu'jin'shi 看书欲尽时
'kan'yue'wei'cheng'qi 看月未成栖
'kang'kai'zhang'xu'zhou 慷慨张徐州
'ke'dao'ru'you'hu'du'jian 客到如游鄠杜间
'ke'e'bian'shang'ke 轲峨艑上客
'ke'e'da'bian'luo'fan'lai 轲峨大艑落帆来
'ke'lian'guang'jing'he'shi'jin 可怜光景何时尽
'ke'lian'ping'yang'di 可怜平阳第
'ke'lian'tao'yu'li 可怜桃与李
'ke'lian'wu'ma'feng'liu'de 可怜五马风流地
'ke'qing'hao'dang'feng'xiang'yu 客情浩荡逢乡语
'ke'you'gu'yuan'si 客有故园思
'ke'you'hua'bian'zhou'xin'zheng'shu'shi'ji'ling'hu'xiang'gong 客有话汴州新政书事寄令狐相公
'ke'zhi'cha'yan'qi 客至茶烟起
'ke'zhong'bei'pan'chi 客重杯盘侈
'kong'cheng'dong'wu'yin 空成东武吟
'kong'dai'guan'yuan'ren 空待灌园人
'kong'huai'ji'shi'an'ren'lue 空怀济世安人略
'kong'jian'ling'bo'wa 空见陵波袜
'kong'jiang'han'ji'hui 空江涵霁晖
'kong'kui'shou'ling'bu 空愧寿陵步
'kong'rong'shu'jiu'ba'nian'duo 孔融书就八年多
'kong'suo'yi'chi'chun 空锁一池春
'kong'xie'shi'juan'fu'gan'tang 空携诗卷赴甘棠
'kong'ying'du'yuan'hong 空影度鹓鸿
'kong'you'jiao'long'hu 恐有蛟龙护
'kong'zhai'ji'ji'bu'sheng'chen 空斋寂寂不生尘
'ku'jiao'he'shang'ling'zhu'hou 苦教河上领诸侯
'ku'ku'jiang'xin'qiu'jing'tu 矻矻将心求净土
'ku'lv'heng'zhou 哭吕衡州
'ku'yang'ying'zhang'shui 枯杨映漳水
'kuan'kuan'xiao'zhong'xin 款款效忠信
'kuang'ci'lin'fang'sui 况此临芳岁
'kuang'feng'qi'de'zhi 狂风岂得知
'kuang'nai'yong'qi'liang 况乃用其良
'kuang'sha'chang'an'shao'nian'er 狂杀长安少年儿
'kuang'shi'qing'qiu'xian'fu'jian 况是清秋仙府间
'kuang'tong'mian'fu'deng'jian'che 狂童面缚登槛车
'kuang'yin'man'zuo'ting 狂吟满坐听
'kun'peng'yi'bian'hua 鹍鹏疑变化
'la'xue'ban'kong'xiao 腊雪半空消
'lai'ci'xin'shen'xing 来此心神醒
'lai'wang'bu'feng'ren 来往不逢人
'lai'wu'wei'gong'qian 来舞魏宫前
'lai'zhan'xi'jiang'ming'yue'tian 来占西江明月天
'lai'zi'chang'ling'xiao'shi'dong 来自长陵小市东
'lan'gai'jiu'di'hua'cai'jie 兰陔旧地花才结
'lan'ke'shan'xia'jiu'xian'lang 烂柯山下旧仙郎
'lan'yi'zhong'ye'qi 揽衣中夜起
'lan'zai'you'lin'yi'zi'fang 兰在幽林亦自芳
