'ai'san'ba 艾三把
'gan'sui'ban'xia'tang'zhu'zhi 甘遂半夏汤主之
'gan'sui'da'zhe'san'mei 甘遂大者三枚
'gan'sui'er'liang 甘遂二两
'gan'xu'ze'yong'ci'fa 肝虚则用此法
'gan'zhe 肝着
'gan'zhong'feng'zhe 肝中风者
'gan'zhong'han'zhe 肝中寒者
'gao'fa'jian'dao'zhi 膏发煎导之
'gao'fa'jian'fang'jian'huang'dan'zhong 膏发煎方见黄疸中
'ge'bie'chu'shai 各别杵筛
'ge'gen'san'liang 葛根三两
'ge'gen'si'liang 葛根四两
'ge'gen'tang'fang 葛根汤方
'ge'gen'tang'zhu'zhi 葛根汤主之
'ge'jian'you'shui 膈间有水
'ge'jian'zhi'yin 膈间支饮
'ge'qu'wu'shi 割去勿食
'ge'qu'xue 割取血
'ge'san'liang 各三两
'ge'shang'bing'tan 膈上病痰
'ge'su'zhe'shi'ye 隔宿者是也
'ge'sui'qi'suo'bu'xi'zhe'wei'bing 各随其所不喜者为病
'ge'sui'zheng'zhi'zhi 各随证治之
'ge'xia'zhe'xie'chu 膈下者泻出
'ge'yi'bai'zhuang 各一百壮
'ge'yi'qi'bu'chu'zhi 各以其部处之
'ge'you'fa'du 各有法度
'geng'fu 更服
'geng'jian'zhi 更煎之
'geng'jiao'di'huang'zhi 更绞地黄汁
'geng'neng'wu'fan'wang'fa'qin'shou'zai'shang 更能无犯王法禽兽灾伤
'geng'qu 更取
'geng'shang'huo'wei'yi'er'fei 更上火微一二沸
'geng'shang'wei'huo'xiao'jie 更上微火消解
'geng'yi'cu'jiang'shui'fu'zhi 更以醋浆水服之
'geng'yi'quan'shui'er'sheng 更以泉水二升
'geng'yu'san'wan 更与三丸
'geng'zhu'qu'yi'sheng 更煮取一升
'geng'zuo 更作
'gou'quan'qi'sheng 苟全其生
'gou'shi'yi'wan 狗屎一丸
'gou'wen'sheng'di'bang'wu'ta'cao 钩吻生地傍无他草
'gou'wen'yu'qin'cai'xiang'si 钩吻与芹菜相似
'gu'bi'se 故鼻塞
'gu'bu'nei'zhi 故不内之
'gu'cheng'jue'yang 故称厥阳
'gu'da'bian'nan 故大便难
'gu'dan'zhi'wei'bing 谷疸之为病
'gu'de'zhi 故得之
'gu'fan 故烦
'gu'ji 古籍
'gu'ji'ren'bu'ke'shi'xiong'rou 痼疾人不可食熊肉
'gu'jie'jian'bing 骨节间病
'gu'jie'teng'fan 骨节疼烦
'gu'jin'lu'yan 古今录验
'gu'jin'lu'yan'xu'ming'tang 古今录验续命汤
'gu'jing'er'si'ye 故静而死也
'gu'ling'bing'jing 故令病痉
'gu'ling'bing'shui 故令病水
'gu'ling'ke'ye 故令渴也
'gu'ling'yu'mao 故令郁冒
'gu'neng'yi'er 故能噫耳
'gu'qi'bu'xiao 谷气不消
'gu'qi'bu'xing 谷气不行
'gu'ruo'ji'fu'sheng 骨弱肌肤盛
'gu'shang'ze'wei 骨伤则痿
'gu'shi'pi 故实脾
'gu'shi'ru'nue'zhuang 故使如疟状
'gu'shi'wen'wang 古诗文网
'gu'tou'han'chu 故头汗出
'gu'yang'shang'chu 孤阳上出
'gu'you'hui'chong 故有蛔虫
'gu'yue'li'jie 故曰历节
'gu'zhi'ci'bing 故致此病
'gu'zhi'you'su'shi 故知有宿食
'gu'zhi'zhi 故知之
'gua'ban'ban'sheng 瓜瓣半升
'gua'di'er'shi'ge 瓜蒂二十个
'gua'di'san'fang 瓜蒂散方
'gua'di'tang 瓜蒂汤
'gua'di'yi'fen'ao'huang 瓜蒂一分熬黄
'gua'lou'gen 栝蒌根
'gua'lou'gen'er'liang 栝蒌根二两
'gua'lou'gen'si'liang 栝蒌根四两
'gua'lou'gui'zhi'tang'fang 栝蒌桂枝汤方
'gua'lou'gui'zhi'tang'zhu'zhi 栝蒌桂枝汤主之
'gua'lou'mu'li'san'fang 栝蒌牡蛎散方
'gua'lou'qu'mai'wan'fang 栝蒌瞿麦丸方
'gua'lou'qu'mai'wan'zhu'zhi 栝蒌瞿麦丸主之
'gua'lou'shi'yi'mei 栝蒌实一枚
'gua'lou'shi'yi'mei'dao 栝蒌实一枚捣
'gua'lou'xie'bai'bai'jiu'tang'fang 栝蒌薤白白酒汤方
'gua'lou'xie'bai'bai'jiu'tang'zhu'zhi 栝蒌薤白白酒汤主之
'gua'lou'xie'bai'ban'xia'tang'fang 栝蒌薤白半夏汤方
'gua'lou'xie'bai'ban'xia'tang'zhu'zhi 栝蒌薤白半夏汤主之
'gua'zi'ban'sheng 瓜子半升
'guan'bi'zhong 灌鼻中
'guan'chui'nei'bi'zhong 管吹内鼻中
'guan'jie'teng'tong'er'fan 关节疼痛而烦
'guan'ling'ru'hou'li'qi 灌令入喉立起
'guan'ling'xia'yan 灌令下咽
'guan'shang'ji'zai'qi'pang 关上积在脐旁
'guan'shang'xiao'jin'shu 关上小紧数
'gui'bie'rou'bu'ke'he'xian'cai'shi'zhi 龟鳖肉不可合苋菜食之
'gui'jiang'cao'zao'huang'xin'fu'zi'tang'fang 桂姜草枣黄辛附子汤方
'gui'jiu'ge'shi'fen 鬼臼各十分
'gui'ling'wu'wei'gan'cao'qu'gui'jia'jiang'xin'xia'tang'fang 桂苓五味甘草去桂加姜辛夏汤方
'gui'ling'wu'wei'gan'cao'tang'fang 桂苓五味甘草汤方
'gui'mu'ku'shen'jiu'zhu'zhi 归母苦参九主之
'gui'qu'pi'san'liang 桂去皮三两
'gui'rou'bu'ke'he'jiu'guo'zi'shi'zhi 龟肉不可合酒果子食之
'gui'yu'si'zhi 归于四肢
'gui'zhi 桂枝
'gui'zhi'ban'liang 桂枝半两
'gui'zhi'er'fen'qu'pi 桂枝二分去皮
'gui'zhi'er'liang 桂枝二两
'gui'zhi'er'liang'qu'pi 桂枝二两去皮
'gui'zhi'fu'ling'wan'fang 桂枝茯苓丸方
'gui'zhi'fu'zi'tang'fang 桂枝附子汤方
'gui'zhi'fu'zi'tang'zhu'zhi 桂枝附子汤主之
'gui'zhi'ge'san'liang 桂枝各三两
'gui'zhi'huo'ling'wan'zhu'zhi 桂枝获苓丸主之
'gui'zhi'jia'gui'tang'fang 桂枝加桂汤方
'gui'zhi'jia'huang'qi'tang'fang 桂枝加黄芪汤方
'gui'zhi'jia'huang'qi'tang'zhu'zhi 桂枝加黄芪汤主之
'gui'zhi'jia'long'gu'mu'li'tang'fang 桂枝加龙骨牡蛎汤方
'gui'zhi'jia'long'gu'mu'li'tang'zhu'zhi 桂枝加龙骨牡蛎汤主之
'gui'zhi'jiu'ni'tang'fang 桂枝救逆汤方
'gui'zhi'liu'liang 桂枝六两
'gui'zhi'qu'pi'ge'si'fen 桂枝去皮各四分
'gui'zhi'qu'shao'yao'jia'ma'xin'fu'zi'tang'zhu'zhi 桂枝去芍药加麻辛附子汤主之
'gui'zhi'san'fen 桂枝三分
'gui'zhi'san'liang 桂枝三两
'gui'zhi'san'liang'qu'pi 桂枝三两去皮
'gui'zhi'san'qian 桂枝三钱
'gui'zhi'shao'yao'zhi'mu'tang'fang 桂枝芍药知母汤方
'gui'zhi'shao'yao'zhi'mu'tang'zhu'zhi 桂枝芍药知母汤主之
'gui'zhi'sheng'jiang'zhi'shi'tang'fang 桂枝生姜枳实汤方
'gui'zhi'sheng'jiang'zhi'shi'tang'zhu'zhi 桂枝生姜枳实汤主之
'gui'zhi'si'liang 桂枝四两
'gui'zhi'si'liang'qu'pi 桂枝四两去皮
'gui'zhi'tang'fang 桂枝汤方
'gui'zhi'tang'zhu'zhi'fang'jian'li'zhong 桂枝汤主之方见利中
'gui'zhi'wu'liang 桂枝五两
'gui'zhi'yi'fen 桂枝一分
'gui'zhi'yi'liang 桂枝一两
'guo'shi'cai'gu'jin'ji'bing'zhi'er'shi'wu 果实菜谷禁忌并治二十五
'guo'zi'luo'di'jing'su 果子落地经宿
'guo'zi'sheng'shi'sheng'chuang 果子生食生疮
'hai'ren 害人
'hai'ze'cheng'ji 害则成疾
'han'bu'chu 汗不出
'han'chu 汗出
'han'chu'bi'e'shang'xian 汗出必额上陷
'han'chu'duan'qi 汗出短气
'han'chu'e'feng'zhe 汗出恶风者
'han'chu'e'han 汗出恶寒
'han'chu'er'men 汗出而闷
'han'chu'fu'fan'zhe 汗出复烦者
'han'chu'ji'yu 汗出即愈
'han'chu'nai'yu 汗出乃愈
'han'chu'ru'shui'zhong 汗出入水中
'han'chu'yi'zhe'qing'zhe 汗出已辄轻者
'han'chu'yu 汗出愈
'han'chu'ze'han'su'er'zhen 汗出则寒粟而振
'han'chu'ze'jing 汗出则痉
'han'chu'ze'yu 汗出则愈
'han'da'chu'zhe 汗大出者
'han'da'xie 汗大泄
'han'duo'zhe 汗多者
'han'duo'zhe'jia'sheng'jiang'zhi'ban'jin 寒多者加生姜至半斤
'han'ling'mai'ji 寒令脉急
'han'mu'chu 汗目出
'han'qi'bu'zu 寒气不足
'han'qi'jue'ni 寒气厥逆
'han're'bu'shi 寒热不食
'han're'lei'shou'zhe 寒热羸瘦者
'han're'zhe 寒热者
'han'shan'fu'zhong'tong 寒疝腹中痛
'han'shan'rao'qi'tong 寒疝绕脐痛
'han'shang'jing'luo 寒伤经络
'han'shi'xiang'de 寒湿相得
'han'shui'shi 寒水石
'han'shui'xiang'bo 寒水相搏
'han'xu'xiang'bo 寒虚相搏
'han'xu'xiang'qu 寒虚相去
'han'yu'zhi 含与之
'han'zhan'yi 汗沾衣
'han'zhi'bing'bu'yu'zhe 汗之病不愈者
'han'zhong'yu'mu 寒中于暮
'he'ba'wei 合八味
'he'cong'de'wei'zhi 何从得为之
'he'fen'zai'fu 和分再服
'he'fu'fang'cun'bi 和服方寸匕
'he'fu'zhi 和服之
'he'gao'zhong'jian'zhi 和膏中煎之
'he'li'le'wei 诃黎勒煨
'he'ling'xiang'de 和令相得
'he'mu'yu'mian 合目欲眠
'he'pi'shu'yan'yong 合皮熟研用
'he'qi'er'chi'zhe 核起而赤者
'he'san'yi'qian'bi 和散一钱匕
'he'wei'jiu'shi'bing 合为九十病
'he'wei'ye 何谓也
'he'wei'yi'bai'ba'bing 合为一百八病
'he'yao'ling'xiang'de 和药令相得
'he'ye 何也
'he'yi'bie'zhi 何以别之
'he'yi'gu 何以故
'he'yi'zhi'ci'wei'fei'yong 何以知此为肺痈
'he'yi'zhi'zhi 何以知之
'he'zhi'yi'qian'chu 合治一千杵
'he'zhi'zhi 合治之
'he'zhi'zhi'wei'san 合治之为散
'he'zhu'qu'san'sheng 合煮取三升
'he'zhu'qu'yi'sheng 合煮取一升
'he'zhu'rou'shi'zhi 合猪肉食之
'hong'lan'hua'jiu'fang'yi'fei'zhong'jing'fang 红蓝花酒方疑非仲景方
'hong'lan'hua'jiu'zhu'zhi 红蓝花酒主之
'hong'lan'hua'yi'liang 红蓝花一两
'hong'ze'wei'qi 洪则为气
'hou'duan'san'yue'xia'xue'ye 后断三月下血也
'hou'geng'fu 后更服
'hou'he'he'zhong'jian 后合和重煎
'hou'hui'he 后会和
'hou'jiu'jin'yi'ban 候酒尽一半
'hou'nai'zhi'qi'gu'ji'ye 后乃治其痼疾也
'hou'pu'ba'liang 厚朴八两
'hou'pu'ban'jin 厚朴半斤
'hou'pu'ban'jin'qu'pi 厚扑半斤去皮
'hou'pu'ban'jin'zhi'qu'pi 厚朴半斤炙去皮
'hou'pu'da'huang'tang'fang 厚朴大黄汤方
'hou'pu'da'huang'tang'zhu'zhi 厚朴大黄汤主之
'hou'pu'ge'er'fen 厚朴各二分
'hou'pu'ge'san'liang 厚朴各三两
'hou'pu'ma'huang'tang'fang 厚朴麻黄汤方
'hou'pu'ma'huang'tang'zhu'zhi 厚朴麻黄汤主之
'hou'pu'qi'wu'tang'fang 厚朴七物汤方
'hou'pu'qi'wu'tang'zhu'zhi 厚朴七物汤主之
'hou'pu'san'fen 厚朴三分
'hou'pu'san'liang 厚朴三两
'hou'pu'san'wu'tang'fang 厚朴三物汤方
'hou'pu'san'wu'tang'zhu'zhi 厚朴三物汤主之
'hou'pu'si'liang 厚朴四两
'hou'pu'wu'liang 厚朴五两
'hou'pu'yi'chi 厚朴一尺
'hou'shen'ti'teng'tong 后身体疼痛
'hou'shi'hei'san 侯氏黑散
'hou'yan'sai'ye 喉咽塞噎
'hou'zhong'se 喉中涩
'hou'zhong'shui'ji'sheng 喉中水鸡声
'hou'zhong'tu'zhi 后重吐之
'hou'zuo'bei'shang 后坐被上
'hu'huo'bing'zhe 狐惑病者
'hu'huo'zhi'wei'bing 狐惑之为病
'hu'qi'bu'ru 呼气不入
'hu'shi'zhi'fu'ren'bao'dong 胡氏治妇人胞动
'hu'sui'jiu'shi'zhi 胡荽久食之
'hu'tao'bu'ke'duo'shi 胡桃不可多食
'hu'xi'dong'yao'zhen'zhen'zhe 呼吸动摇振振者
'hu'xi'yan'kai 呼吸眼开
'hua'shi 滑石
'hua'shi'bai'yu'san'fang 滑石白鱼散方
'hua'shi'bai'yu'san'fu'ling'rong'yan'tang'bing'zhu'zhi 滑石白鱼散茯苓戎盐汤并主之
'hua'shi'dai'zhe'tang'fang 滑石代赭汤方
'hua'shi'dai'zhe'tang'zhu'zhi 滑石代赭汤主之
'hua'shi'er'fen 滑石二分
'hua'shi'san'fen 滑石三分
'hua'shi'san'liang 滑石三两
'hua'shi'san'liang'sui 滑石三两碎
'hua'ze'gu'qi'shi 滑则谷气实
'hua'ze'wei'qi 滑则为气
'huai'ren'chi 坏人齿
'huai'shen'fu'man 怀身腹满
'huai'shen'qi'yue 怀身七月
'huan'hun'tang'zhu'zhi'fang 还魂汤主之方
'huan'ze'wei'bi 缓则为痹
'huan'ze'wei'xu 缓则为虚
'huan'zhong'bu'xu 缓中补虚
'huang'bai 黄柏
'huang'bai'liu'liang 黄柏六两
'huang'bei'chi'jing'zhe'wu'shi'zhi 黄背赤茎者勿食之
'huang'bo'xie 黄蘗屑
'huang'cong'xiao'bian'qu'ye 黄从小便去也
'huang'dan'bing 黄疸病
'huang'dan'bing'mai'zheng'bing'zhi'shi'wu 黄疸病脉证并治十五
'huang'dan'fu'man 黄疸腹满
'huang'dan'zhi'bing 黄疸之病
'huang'gua'shi'zhi 黄瓜食之
'huang'han 黄汗
'huang'han'chu 黄汗出
'huang'han'zhi'bing 黄汗之病
'huang'han'zhi'wei'bing 黄汗之为病
'huang'jia'ri'bu'suo'fa're 黄家日晡所发热
'huang'lian 黄连
'huang'lian'fen'zhu'zhi 黄连粉主之
'huang'lian'yi'jin 黄连一斤
'huang'lian'yi'liang 黄连一两
'huang'qi'er'liang 黄芪二两
'huang'qi'ge'san'liang 黄芪各三两
'huang'qi'gui'zhi'wu'wu'tang'fang 黄芪桂枝五物汤方
'huang'qi'gui'zhi'wu'wu'tang'zhu'zhi 黄芪桂枝五物汤主之
'huang'qi'jian'zhong'tang'zhu'zhi 黄芪建中汤主之
'huang'qi'san'fen 黄芪三分
'huang'qi'san'liang 黄芪三两
'huang'qi'shao'gui'ku'jiu'tang'fang 黄芪芍桂苦酒汤方
'huang'qi'wu'liang 黄芪五两
'huang'qi'yi'liang'yi'fen 黄芪一两一分
'huang'qi'yi'liang'yi'fen'qu'lu 黄芪一两一分去芦
'huang'qin 黄芩
'huang'qin'er'fen 黄芩二分
'huang'qin'er'liang 黄芩二两
'huang'qin'ge'san'liang 黄芩各三两
'huang'qin'san'fen 黄芩三分
'huang'qin'san'liang 黄芩三两
'huang'qin'wu'fen 黄芩五分
'huang'qin'yi'liang 黄芩一两
'huang'tu'tang'fang'yi'zhu'tu'xie'nv'xue 黄土汤方亦主吐血衄血
'huang'tu'tang'zhu'zhi 黄土汤主之
'hui'chong'zhi'wei'bing 蛔虫之为病
'hui'fan 秽饭
'hui'jue'zhe 蛔厥者
'hui'shang'ru'ge 蛔上入膈
'hui'wen'shi'chou'chu 蛔闻食臭出
'hui'zhe 哕者
'hun'po'wang'xing 魂魄妄行
'huo'bing'er'shi'ri 或病二十日
'huo'bing'si'wu'ri'er'chu 或病四五日而出
'huo'bu'xia 或不下
'huo'cong'bian'nan 或从便难
'huo'cong'han'chu 或从汗出
'huo'cong'ou'tu 或从呕吐
'huo'cong'xia'jiao'shi'qi'gang 或从下焦蚀其肛
'huo'cong'xiao'ke 或从消渴
'huo'dan'bi'bu'sui'zhe 或但臂不遂者
'huo'dan'han'bu're 或但寒不热
'huo'dong'xia'fang 或洞下方
'huo'fa'xin'nue 或发心疟
'huo'huang 或黄
'huo'jie're'zhong 或结热中
'huo'jiu'bu'dong 火灸不动
'huo'jiu'shang'qu'leng'suo'zhi'ye 或久伤取冷所致也
'huo'ju'ji 或拘急
'huo'ku'shao'fu'zhong'ji 或苦少腹中急
'huo'liang'xie'teng'tong 或两胁疼痛
'huo'mu'chi 或目赤
'huo'ni'shang'qi 火逆上气
'huo'nong'zhu'chi'zhi'yin'zhi 或浓煮豉汁饮之
'huo'qu'ru'she'xing'zhe 或曲如蛇行者
'huo'shen'wei'zhong'zhe 或身微肿者
'huo'shi'suan 或食蒜
'huo'tu'xia'bai'mo 或吐下白沫
'huo'tu'xie 或吐血
'huo'wu're 或无热
'huo'xie'zhe 火邪者
'huo'xiong'man 或胸满
'huo'yi'jiang'ye'zhi'yin'zhi'yi'sheng 或以姜叶汁饮之一升
'huo'yi'shui'zhu'yi'de 或以水煮亦得
'huo'yi'wu'mai 或已无脉
'huo'yi'yue'wei'jian'zhe 或一月微见者
'huo'yin'di'jiang 或饮地浆
'huo'yin'yao'ji 或引腰脊
'huo'you'bu'yong'wen'shi'chou'shi 或有不用闻食臭时
'huo'you'yu'can 或有郁惨
'huo'yue'shui'lai'guo'duo 或月水来过多
'huo'zuo'huo'you 或左或右
'ji'bu'ke'gong'hu'suan'shi'zhi 鸡不可共葫蒜食之
'ji'bu'shi'ren 即不识人
'ji'chen'jing'qi 疾疢竞起
'ji'cheng'bing 即成病
'ji'chu'wu'dou 即出乌豆
'ji'dan'zhu'rou 忌啖猪肉
'ji'dang'jiu'biao'ye 急当救表也
'ji'dang'jiu'li 急当救里
'ji'dang'san'ye 即当散也
'ji'dao'yin'tu'na'zhen'jiu'gao'mo 即导引吐纳针灸膏摩
'ji'e'han 即恶寒
'ji'e'han'shen 即恶寒甚
'ji'er'bu'yu'shi 饥而不欲食
'ji'fu'bu'ren 肌肤不仁
'ji'fu'jia'cuo 肌肤甲错
'ji'fu'zhong'xue'qi'ci'tong 及腹中血气刺痛
'ji'gan'ji'xue 鸡肝及血
'ji'gui'zhi'tang 即桂枝汤
'ji'han'shang'jing 极寒伤经
'ji'huo 即活
'ji'ji'ran 几几然
'ji'jia'mu'li'san'fen 悸加牡蛎三分
'ji'jiao'di'fen'qi'zhe 及浇地坟起者
'ji'jiao'li'huang'wan'fang 己椒苈黄丸方
'ji'jing'xia'shi'zhi 及经夏食之
'ji'kou'ru'chang'fa 忌口如常法
'ji'liao'fei'xu'sun'bu'zu 及疗肺虚损不足
'ji'ni'ba'liang 荠苨八两
'ji'qu'san'he 即取三合
'ji're'shang'luo 极热伤络
'ji'ruo'yu'lin 肌若鱼鳞
'ji'shao'zhi 及稍止
'ji'sheng'kui 及生葵
'ji'shi'bai 鸡屎白
'ji'shi'bai'san'fang 鸡屎白散方
'ji'shi'bai'san'zhu'zhi 鸡屎白散主之
'ji'shi'shan 及使扇
'ji'shi'shu'fu'bing'zou'pi'zhong 即是术附并走皮中
'ji'si 即死
'ji'teng'tong'ru'che 即疼痛如掣
'ji'tou'mian'chi'er'xia'zhong 即头面赤而下重
'ji'tu'xia'bian'cha 即吐下便差
'ji'wei'han'shan 即为寒疝
'ji'wei'shui'yi 即为水矣
'ji'wei'xiao'ke 即为消渴
'ji'wu'bu'zhi 即勿补之
'ji'xiao'gu'yin'shi 即消谷引食
'ji'xie'tong'li'ji'zhe 及胁痛里急者
'ji'xie'xia'ju'ji'er'tong 即胁下拘急而痛
'ji'xiong'bi'er'tong 即胸痹而痛
'ji'xiong'zhong'tong 即胸中痛
'ji'xu'yi'wei'lao 极虚亦为劳
'ji'ya'xia'you'wang'zi'xing'zhe 及压下有王字形者
'ji'yan'zhi 及盐汁
'ji'yang'sheng'zhe 及仰生者
'ji'yi'ni'shi'bian 即遗溺失便
'ji'yi'zhi'zhi 即医治之
'ji'you'liu'he'si'ju'zhe 鸡有六翮四距者
'ji'yu 即愈
'ji'yu'bu'ke'he'hou'zhi'rou'shi'zhi 鲫鱼不可合猴雉肉食之
'ji'yu'xue'ye 即瘀血也
'ji'zai'hou'zhong 积在喉中
'ji'zai'qi'chong 积在气冲
'ji'zai'shao'fu 积在少腹
'ji'zai'xin'xia 积在心下
'ji'zai'you 积在右
'ji'zai'zhong'yang 积在中央
'ji'zai'zuo 积在左
'ji'zhe 积者
'ji'zhi'qi'bu'lai 及至期不来
'ji'zhi'zhi 急治之
'ji'zhi'zhi'fang 急治之方
'ji'zhong'bu'sheng 即重不胜
'ji'zi'huang'yi'mei 鸡子黄一枚
'jia'ban'xia'ban'sheng'xi 加半夏半升洗
'jia'bei'wei'feng 加被微风
'jia'da'huang'yi'li'zhi 加大黄以利之
'jia'di'huang'liu'liang'e'jiao'er'liang 加地黄六两阿胶二两
'jia'duan'qi 加短气
'jia'fu'ling'yi'liang'ban 加茯苓一两半
'jia'fu'zi'yi'mei 加附子一枚
'jia'gan'jiang'xi'xin 加干姜细辛
'jia'ju'pi'er'liang'bai'zhu'yi'liang 加橘皮二两白术一两
'jia'ling'bu'yu'zhe 假令不愈者
'jia'ling'fa're 假令发热
'jia'ling'gan'wang'se'qing 假令肝旺色青
'jia'ling'mai'fu 假令脉浮
'jia'ling'ren'shen'fu'zhong'tong 假令妊娠腹中痛
'jia'ling'shou'ren'qi'xia'you'ji 假令瘦人脐下有悸
'jia're'wu're 加热无热
'jia'ru'xiao'bian'zi'li 假如小便自利
'jia'shao'yao 加芍药
'jia'sheng'jiang'zhe 加生姜者
'jia'tu'xia'zhe 加吐下者
'jia'wen'zhen 加温针
'jia'xi'xin'yi'liang'ban'xia'da'zhe'er'shi'mei 加细辛一两半夏大者二十枚
'jia'xing'ren'zhu'zhi 加杏仁主之
'jia'yi'tang'liu'liang 加饴糖六两
'jia'zhi'er'shi'wu'wan 加至二十五丸
'jia'zhi'san'shi'wan 加至三十丸
'jia'zhi'san'wan 加至三丸
'jia'zhi'shi'wan 加至十丸
'jia'zi'ye'ban'shao'yang'qi 甲子夜半少阳起
'jian'ba'fen 煎八分
'jian'bai'zhu'gong'liu'wei 减白朮共六味
'jian'bu'zu'yan 减不足言
'jian'cheng'tang 煎成汤
'jian'er'sheng 减二升
'jian'gan'zhi'bing 见肝之病
'jian'jia 渐加
'jian'jian'ban 煎减半
'jian'jian'neng'yan 渐渐能咽
'jian'ling'shui'qi'jin 煎令水气尽
'jian'liu'sheng 减六升
'jian'nv 兼衄
'jian'qi'fen 煎七分
'jian'qian'jin'si'kong'pei'xiu'wei'san'yong'yi'ke 见千金司空裴秀为散用亦可
'jian'qian'jin'yi 见千金翼
'jian'qu'ba'fen 煎取八分
'jian'qu'ba'he 煎取八合
'jian'qu'beng'zhong'qu'xue 兼取崩中去血
'jian'qu'qi'sheng 煎取七升
'jian'qu'yi'sheng 煎取一升
'jian'qu'yi'sheng'wu'he 煎取一升五合
'jian'ru'bo'zhou 煎如薄粥
'jian'san'wu'fei 煎三五沸
'jian'shu'xiang'bo 坚数相搏
'jian'shui'zi'dong'zhe 见水自动者
'jian'tang'yu 煎汤浴
'jian'wai'tai'zhou'hou'mu 见外台肘后目
'jian'wei'wan 煎为丸
'jian'wu'fen 煎五分
'jian'xi 肩息
'jian'yang'gong'yin 见阳攻阴
'jian'yao'tang'qu'mo 煎药汤去沫
'jian'yi'wan 煎一丸
'jian'yin'gong'yang 见阴攻阳
'jian'yu'han 见玉函
'jian'ze'wei'han 减则为寒
'jian'zhi'ba'fen 煎至八分
'jian'zhi'cu'zhong'e 兼治卒中恶
'jian'zhi'mu 煎知母
'jian'zhi'yin'zhi 煎汁饮之
'jian'zhou'hou'fang 见肘后方
'jiang'shui'fu'fang'cun'bi 浆水服方寸匕
'jiang'wu'pian 姜五片
'jiao'ai'tang'zhu'zhi 胶艾汤主之
'jiao'jiang'tang'zhu'zhi 胶姜汤主之
'jiao'ku'ru'xin 焦苦入心
'jiao'ling'he 搅令和
'jiao'luan'ji 脚挛急
'jiao'mu 椒目
'jiao'qi'yi'feng'yin'tang 脚气宜风引汤
'jiao'qu'zhi 绞取汁
'jiao'qu'zhi'yi'guan'zhi 绞取汁以灌之
'jiao'yi'yi'sheng 胶饴一升
'jiao'yun 搅匀
'jiao'zhong'ru'tuo 脚肿如脱
'jie'bing'ren 皆病人
'jie'bu'de'yi'chu'mu'sang'mu'zheng'zhi 皆不得以楮木桑木蒸炙
'jie'bu'ke'fa'han 皆不可发汗
'jie'cai'bu'ke'gong'tu'rou'shi'zhi 芥菜不可共兔肉食之
'jie'cong'jing'fa'de'zhi 皆从惊发得之
'jie'cong'jing'kong'de'zhi 皆从惊恐得之
'jie'da'xia'hou'shan'xu 皆大下后善虚
'jie'dang'bing 皆当病
'jie'fa'huang 皆发黄
'jie'geng 桔梗
'jie'geng'ba'fen 桔梗八分
'jie'geng'er'fen 桔梗二分
'jie'geng'qi'fen 桔梗七分
'jie'geng'san'liang 桔梗三两
'jie'geng'tang'fang'yi'zhi'xue'bi 桔梗汤方亦治血痹
'jie'geng'tang'zhu'zhi 桔梗汤主之
'jie'geng'yi'liang 桔梗一两
'jie'han'wei'dong 结寒微动
'jie'jie'zhuang'ru'yao'zhe 洁洁状如摇者
'jie'si 皆死
'jie'tong 皆同
'jie'wei'lao'de'zhi 皆为劳得之
'jie'wei'zheng'bing 结为症病
'jie'yi'si 皆疫死
'jie'zai'bang'tai'ye 结在膀肽也
'jie'zai'guan'yuan 结在关元
'jie'zhi'fang 解之方
'jie'zhu'zhi 皆主之
'jin'bing'zhe'jing'er'fu'shi'fan 今病者静而复时烦
'jin'chuang'chan'fu 金疮产妇
'jin'fan'bu'ke 今反不渴
'jin'fan'bu'li 今反不利
'jin'fan'jin 今反紧
'jin'fan'shu 今反数
'jin'fu'zhi 尽服之
'jin'hui 浸灰
'jin'jiao'liang 浸脚良
'jin'pi'zhi'zai'zhong'feng 今脾只载中风
'jin'qi'bu'xing 金气不行
'jin'qu'ze'yu 紧去则愈
'jin'ren'bing'lin'li'han're'bing 今人病淋沥寒热病
'jin'shang'ze'huan 筋伤则缓
'jin'sheng'leng'hua'chou'deng'shi 禁生冷滑臭等食
'jin'tang'li'ming'zhong 浸汤沥明中
'jin'wei'han 紧为寒
'jin'xiao'fang'shu'fu'tang 近效方术附汤
'jin'yang'xu'zhi'zai'shang'jiao 今阳虚知在上焦
'jin'ye'bu'sheng 津液不生
'jin'yi'fu 进一服
'jin'yi'qie'yu'rou'da'suan 禁一切鱼肉大蒜
'jin'yi'tun'zhi 尽以吞之
'jin'yin'chuang 浸淫疮
'jin'ze'bu'yu'shi 紧则不欲食
'jin'ze'wei'han 紧则为寒
'jin'ze'wei'tong 紧则为痛
'jin'zhi'yi'xiu 浸之一宿
'jin'zhi'ze'tong'ju 近之则痛剧
'jing'bing'ye 痉病也
'jing'duan'wei'ji'san'yue 经断未及三月
'jing'hou'bu'yun 经候不匀
'jing'hua'shui'san'sheng 井花水三升
'jing'jia'qi'mai'fu'jian 痉家其脉伏坚
'jing'leng 胫冷
'jing'luo'shou'xie 经络受邪
'jing'mi'ban'sheng 粳米半升
'jing'mi'er'he 粳米二合
'jing'mi'lu'he 粳米六合
'jing'mi'san'he 粳米三合
'jing'qi'qing'leng'yi'zuo'leng 精气清冷一作冷
'jing'ri'bu'yu'yin'shi 经日不欲饮食
'jing'shi'he'bing'mai'zheng'di'er 痉湿喝病脉证第二
