'ai'bian'sha 矮扁莎
'hui'xiang 茴香
'hui'ye 灰叶
'hui'ye'ba'qia 灰叶菝葜
'huo'hui'shan'fan 火灰山矾
'huo'suo'ma 火索麻
'huo'tan'mu 火炭母
'huo'tong'shu 火筒树
'huo'xiang'ji 藿香蓟
'huo'yan'cao 火焰草
'huo'yan'lan 火焰兰
'ji'cai 荠菜
'ji'cai 蕺菜
'ji'chun'shi'dou'lan 戟唇石豆兰
'ji'gu'xiang 鸡骨香
'ji'guan'yun'ye'lan 鸡冠云叶兰
'ji'ji'shu 基及树
'ji'li 蒺藜
'ji'li'cao 蒺藜草
'ji'mao'song 鸡毛松
'ji'miao 姬苗
'ji'sheng'sha'luo'mang 寄生莎萝莽
'ji'sheng'teng 寄生藤
'ji'shi'shu 鸡屎树
'ji'shi'teng 鸡屎藤
'ji'shu'niu'jiao'lan 集束牛角兰
'ji'su'cao 吉粟草
'ji'xin'teng 鸡心藤
'ji'xin'teng 寄心藤
'ji'xue'cao 积雪草
'ji'xue'teng 鸡血藤
'ji'ye'fen'teng 戟叶粉藤
'ji'ye'jin'cai 戟叶堇菜
'ji'ye'liao 戟叶蓼
'ji'ying'su 蓟罂粟
'ji'yu'cao 鲫鱼草
'ji'yu'dan 鲫鱼胆
'ji'yu'teng 鲫鱼藤
'ji'zai'mu 鸡仔木
'ji'zhua'le 鸡爪簕
'ji'zhua'qi 鸡爪槭
'ji'zi'cao 虮子草
'ji'zuo'qing'gang 基座青冈
'jia'bai'niu'dan 假白牛胆
'jia'bo'cai 假菠菜
'jia'cao'su 假糙苏
'jia'chai'long'shu 假柴龙树
'jia'chi'nan 假赤楠
'jia'ci'shu 嘉赐树
'jia'da'qing'lan 假大青蓝
'jia'di'dou 假地豆
'jia'di'lan 假地蓝
'jia'du'juan 假杜鹃
'jia'gui'diao'zhang 假桂钓樟
'jia'hua'ruo'zhu 假华箬竹
'jia'huang'pi 假黄皮
'jia'jian'cao 假剑草
'jia'jiu'jie 假九节
'jia'ju 假蒟
'jia'lan 嘉兰
'jia'lan'dian 假蓝靛
'jia'le'bi'song 加勒比松
'jia'ling'hua 嘉陵花
'jia'ma'bian 假马鞭
'jia'ma'chi'xian 假马齿苋
'jia'ma'ti 假马蹄
'jia'mu'dou 假木豆
'jia'na'da'peng 加拿大蓬
'jia'peng 假蓬
'jia'ping'po 假苹婆
'jia'que'shen'shu 假鹊肾树
'jia'shan'luo 假山萝
'jia'shan'lv'dou 假山绿豆
'jia'she'wei'cao 假蛇尾草
'jia'shi'mu'jiang'zi 假柿木姜子
'jia'xie'ye'rong 假斜叶榕
'jia'yan'ye'shu 假烟叶树
'jia'ye'gu 假野菰
'jia'yi'zhi 假益智
'jia'ying'zhao 假鹰爪
'jia'yu'gui 假玉桂
'jia'ze'lan 假泽兰
'jia'zhu 甲竹
'jia'zi'wan'nian'qing 假紫万年青
'jian'ban 尖瓣
'jian'ban'hua 尖瓣花
'jian'ban'lan 尖瓣榄
'jian'bao'dong'ye 尖苞冬叶
'jian'chi'chou'mo'li 尖齿臭茉莉
'jian'e'shan'huang'pi 尖萼山黄皮
'jian'e'shan'zhu'cai 尖萼山猪菜
'jian'e'zi'zhu 尖萼紫珠
'jian'feng'cu'ye'mu 尖峰粗叶木
'jian'feng'pu'tao 尖峰蒲桃
'jian'feng'run'nan 尖峰润楠
'jian'feng'zhu'shi'dou 尖峰猪屎豆
'jian'fu'cao 尖稃草
'jian'guo'mu'cao 尖果母草
'jian'hua'teng 尖花藤
'jian'hui'ge'ju'lan 尖喙隔距兰
'jian'lan 建兰
'jian'mai'mu'jiang'zi 尖脉木姜子
'jian'pu'zhai'zi'lian'shu 柬埔寨子楝树
'jian'shuang'huang 见霜黄
'jian'tou'diao'zhong'hua 尖头吊钟花
'jian'wei'feng 尖尾枫
'jian'wei'yu 尖尾芋
'jian'xing'yan'jie'cao 间型沿阶草
'jian'xue'feng'hou 见血封喉
'jian'ye'chui'guo'teng 尖叶槌果藤
'jian'ye'dong'qing 剑叶冬青
'jian'ye'dou'fu'chai 尖叶豆腐柴
'jian'ye'du'jing'shan 尖叶杜茎山
'jian'ye'gong'guo'shu 尖叶弓果黍
'jian'ye'hai'yu 箭叶海芋
'jian'ye'huang'san'feng 尖叶幌伞枫
'jian'ye'mu'jiang'zi 剑叶木姜子
'jian'ye'mu'lan 尖叶木蓝
'jian'ye'qing'feng'teng 尖叶清风藤
'jian'ye'san'bao'mu 剑叶三宝木
'jian'ye'shan'zhi'ma 剑叶山芝麻
'jian'ye'shi'hu 剑叶石斛
'jian'ye'suo'luo 剑叶梭罗
'jian'ye'tie'zai 尖叶铁仔
'jian'ye'yu'jiu'hua 箭叶雨久花
'jian'zi'teng 尖子藤
'jiang'du 茳芏
'jiang'guo'xian 浆果苋
'jiang'xi'jin'cai 江西堇菜
'jiang'xiang'tan 降香檀
'jiao'gu'lan 绞股蓝
'jiao'guo'mu 胶果木
'jiao'guo'mu 角果木
'jiao'hua'hu'tui'zi 角花胡颓子
'jiao'hua'wu'lian'mei 角花乌蔹莓
'jiao'mu 蕉木
'jie'bao'biao'cao 节苞藨草
'jie'gu'cao 接骨草
'jie'jie'cai 节节菜
'jie'jie'hong 节节红
'jie'jing'teng'cao 节茎藤草
'jie'li 节藜
'jie'mao'chi'guo'cao 睫毛齿果草
'jie'mao'wu'lian'mei 节毛乌蔹莓
'jin'cao 金草
'jin'dai'hua 锦带花
'jin'di'luo 锦地罗
'jin'feng'hua 金风花
'jin'gan 金柑
'jin'gang'zuan 金刚钻
'jin'gua 金瓜
'jin'he'huan 金合欢
'jin'hua'yuan'zhi 金花远志
'jin'jin'xiang 金锦香
'jin'lian'mu 金莲木
'jin'mao 金茅
'jin'mao'wei 金猫尾
'jin'niu'kou 金纽扣
'jin'qian'bao 金钱豹
'jin'qian'cao 金钱草
'jin'se'gou'wei'cao 金色狗尾草
'jin'si'cao 金丝草
'jin'su'lan 金粟兰
'jin'sui'ye'gu'cao 紧穗野古草
'jin'xu'mao 金须茅
'jin'yao'jian 金腰箭
'jin'ye'shu 金叶树
'jin'yin'lian'hua 金银莲花
'jin'yuan'e 金缘萼
'jin'zhan'yin'pan 金盏银盘
'jing'gen'hong'si'xian 茎根红丝线
'jing'hua'ya'pa'teng 茎花崖爬藤
'jing'hua'zhu 茎花苎
'jing'hua'zhui'hua 茎花锥花
'jing'lie'zhang 景烈樟
'jing'zi'tai'cao 镜子苔草
'jiu'bing'jin 酒饼筋
'jiu'chi'dou'kou 九翅豆蔻
'jiu'ding'shu 九丁树
'jiu'jie 九节
'jiu'jie'long 九节龙
'ju'ban'dou 距瓣豆
'ju'hua'bai'he'teng 聚花白鹤藤
'ju'hua'cao 聚花草
'ju'hua'hai'tong 聚花海桐
'ju'hua'shan'jiang 距花山姜
'ju'hua'shu 距花黍
'ju'hua'xuan'gou'zi 巨花悬钩子
'ju'li'dou 巨黎豆
'ju'nan'ge'teng 趄南葛藤
'ju'qin 菊芹
'ju'shi'hu 聚石斛
'ju'shu 蒟薯
'juan'bian'dong'qing 卷边冬青
'juan'hua'dan 卷花丹
'juan'mao'du'ying 绢毛杜英
'juan'mao'mu'lan 绢毛木兰
'juan'mao'piao'fu'cao 绢毛飘拂草
'jue'chuang 爵床
'jue'ye'ren'zi'guo 蕨叶人字果
'jue'ye'tai'cao 蕨叶苔草
'ka'fei'huang'kui 咖啡黄葵
'kang'ji 糠稷
'ke'ai'hua 可爱花
'ke'jie'run'nan 刻节润楠
'ke'teng 榼藤
'kong'que'bai 孔雀稗
'kong'xin'lian'zi'cao 空心莲子草
'kou'shu 扣树
'ku'ju'cai 苦苣菜
'ku'kan'lan 苦槛蓝
'ku'lang'shu 苦郎树
'ku'lian 苦楝
'ku'shu 苦树
'ku'xuan'shen 苦玄参
'ku'zi 苦梓
'kuan'ban'da'li'su'xin 宽瓣大理素馨
'kuan'bao'mao'gao'lai 宽苞茅膏莱
'kuan'e'mao'ren 宽萼毛稔
'kuan'sui'bian'sha 宽穗扁莎
'kuan'sui'hong'lin'bian'sha 宽穗红鳞扁莎
'kuan'yao'qing'teng 宽药青藤
'kuan'ye'que'bai 宽叶雀稗
'kuan'ye'yan'jie'cao 宽叶沿阶草
'kun'ming'yu 昆明榆
'kuo'ban'tian'liao'mu 阔瓣天料木
'kuo'bao'ju 阔苞菊
'kuo'sui'suo'cao 阔穗莎草
'kuo'ye'ba'jiao'feng 阔叶八角枫
'kuo'ye'dai'chun'lan 阔叶带唇兰
'kuo'ye'feng'hua'cao 阔叶丰花草
'kuo'ye'mi'hou'tao 阔叶猕猴桃
'kuo'ye'ni'du'jing'shan 阔叶拟杜茎山
'kuo'ye'pu'tao 阔叶蒲桃
'kuo'ye'sheng'teng 阔叶省藤
'kuo'ye'wu'ceng'long 阔叶五层龙
'kuo'ye'xiao'lan 阔叶肖榄
'kuo'ye'zhao'lan 阔叶沼兰
'kuo'ye'zhu'jing'lan 阔叶竹茎兰
'la'jiao 辣椒
'la'li'mu 剌篱木
'la'li'teng 癞痢藤
'la'liao 辣蓼
'la'zhi'zhang 辣汁樟
'la'zhu'guo 蜡烛果
'lai'zhou'ya'jiao'teng 莱州崖角藤
'lan'er'cao 蓝耳草
'lan'guo'yue'ju 蓝果越橘
'lan'hua'huang'qin 蓝花黄芩
'lan'hua'jiao 兰花蕉
'lan'hua'shen 蓝花参
'lan'li 榄李
'lan'liao 蓝蓼
'lan'lv'ba'dou 榄绿巴豆
'lan'mu'zhu 烂目竹
'lan'ren'shu 榄仁树
'lan'shu 蓝树
'lan'xing'feng'che'zi 榄形风车子
'lan'ye'teng 蓝叶藤
'lang'san'mu 郎伞木
'lang'se'mu 榔色木
'lang'wei'cao 狼尾草
'lang'ye'shu 锒叶树
'lao'shu'le 老鼠簕
'le'dang'hua'jiao 簕檔花椒
'le'dong'huang'qin 乐东黄芩
'le'dong'lian'zhu'teng 乐东链珠藤
'le'dong'ni'dan'xing'mu'lan 乐东拟单性木兰
'le'dong'qing'gang 乐东青冈
'le'dong'shi'dou'lan 乐东石豆兰
'le'dong'teng 乐东藤
'le'dong'wei'mao 乐东卫矛
'le'dong'xi'fan'lian 乐东西番莲
'le'dong'you'guo'zhang 乐东油果樟
'le'dong'yu'ye'jin'hua 乐东玉叶金花
'le'ge'wang 了哥王
'le'gu'zi 簕古子
'le'hui'run'nan 乐会润楠
'lei'gong'qing'gang 雷公青冈
'lei'yuan'ci'zi'guan 类缘刺子莞
'leng'e'mu'cao 棱萼母草
'leng'fan'tuan 冷饭团
'leng'guo'gu'mu 棱果谷木
'leng'zhi'dong'qing 棱枝冬青
'leng'zhi'hu'ji'sheng 棱枝槲寄生
'li'an'gao'zhu 黎庵高竹
'li'ba'ke 犁耙柯
'li'ban'ji'sheng 离瓣寄生
'li'chang 鳢肠
'li'dou'teng 栗豆藤
'li'gen'xiang 离根香
'li'guo'ke 梨果柯
'li'guo'xian'ren'zhang 梨果仙人掌
'li'ji'mai'leng'shui'hua 离基脉冷水花
'li'ji'sheng 栗寄生
'li'lan'wang 篱栏网
'li'po'hua 黎婆花
'li'run'nan 梨润楠
'li'shuo 黧蒴
'li'tou'jian 犁头尖
'li'wei'cao 狸尾草
'li'ye'xuan'gou'zi 梨叶悬钩子
'li'zhi'ye'hong'dou 荔枝叶红豆
'li'zhuang'ma'tang 粒状马唐
'li'zi'qing'gang 栎子青冈
'lian'bian'dou 镰扁豆
'lian'chi'yang'er'suan 镰翅羊耳蒜
'lian'gui 莲桂
'lian'jia'dou 链荚豆
'lian'ye'wu'yu 楝叶吴萸
'lian'zi'cao 莲子草
'lian'zi'teng 帘子藤
'lian'zuo'zi'jin'niu 莲座紫金牛
'liang'er'cao 两耳草
'liang'fen'cao 凉粉草
'liang'guang'gua'lou 两广栝楼
'liang'guang'suo'luo 两广梭罗
'liang'guang'tan 两广檀
'liang'guang'xi'lan'teng 两广锡兰藤
'liang'guang'zi 两广紫
'liang'lie'xia'ji'lan 两列虾脊兰
'liang'mian'zhen 两面针
'liang'qi'piao'fu'cao 两歧飘拂草
'liang'se'san'qi'cao 两色三七草
'liang'ye'han'xiao 亮叶含笑
'liang'ye'hou'er'huan 亮叶猴耳环
'liang'ye'qing'gang 亮叶青冈
'liang'ye'shan'xiang'yuan 亮叶山香圆
'liang'ye'suo'xin 亮叶索馨
'liang'ye'ya'dou'teng 亮叶崖豆藤
'lie'bao'sheng'teng 裂苞省藤
'lie'chun'yang'er'suan 裂唇羊耳蒜
'lie'e'shui'yu'zan 裂萼水玉簪
'lie'e'zi'zhu 裂萼紫珠
'lie'la 鬣剌
'lie'ye'lin'rui'teng 裂叶鳞蕊藤
'lie'ye'qiu'hai'tang 裂叶秋海棠
'lie'ye'xuan'gou'zi 裂叶悬钩子
'lie'ying'mao 裂颖茅
'lie'zhang'rong 裂掌榕
'lin'di'xian 林地苋
'lin'ge'jin 鳞隔堇
'lin'guo'cao 鳞果草
'lin'hua'cao 鳞花草
'lin'hua'mu 鳞花木
'lin'jing'zhuan'zi'miao 鳞茎砖子苗
'lin'pian'shui'ma 鳞片水麻
'lin'rui'teng 鳞蕊藤
'lin'sheng'cu'ye'mu 林生粗叶木
'lin'zai'zhu 林仔竹
'lin'zi'sha 鳞籽莎
'ling'chun'mao'lan 菱唇毛兰
'ling'guo'yang'ti'jia 菱果羊蹄甲
'ling'luo'mai 岭罗麦
'ling'nan'qi 岭南槭
'ling'nan'qing'gang 岭南青冈
'ling'nan'shan'zhu'zi 岭南山竹子
'ling'nan'si'lao'zhu 岭南思劳竹
'ling'shui'an'luo 陵水暗罗
'ling'shui'hu'jiao 陵水胡椒
'ling'xiang'jia'wei'mao 灵香假卫矛
'ling'ye'shan'fan 柃叶山矾
'liu'e'mu 留萼木
'liu'guo'cu'ye'mu 瘤果粗叶木
'liu'guo'hu'ji'sheng 瘤果槲寄生
'liu'guo'ke 瘤果柯
'liu'jiao'du'juan 六角杜鹃
'liu'leng'ju 六棱菊
'liu'li'fan'lv 琉璃繁缕
'liu'pi'suan'teng'zi 瘤皮酸藤子
'liu'su'bei'mu'lan 流苏贝母兰
'liu'su'jin'shi'hu 流苏金石斛
'liu'su'shi'hu 流苏石斛
'liu'su'wei'mao 流苏卫矛
'liu'su'zhi'zhu'bao'dan 流苏蜘蛛抱蛋
'liu'sui'gong'guo'shu 瘤穗弓果黍
'liu'ye'mi'hua'shu 柳叶密花树
'liu'ye'run'nan 柳叶润楠
'liu'ye'shan'huang'pi 柳叶山黄皮
'liu'ye'shi'nan 柳叶石楠
'liu'ye'shu 柳叶薯
'liu'ye'shui'si'li 柳叶水丝梨
'liu'zhi'wu'ceng'long 柳枝五层龙
'long'dan'mu 龙胆木
'long'shi'cao 龙师草
'long'xu'teng 龙须藤
'long'yan 龙眼
'long'yan'jing 龙眼睛
'long'zhu'guo 龙珠果
'long'zhua'mao 龙爪茅
'lou'lu 娄芦
'lu'di'ju 卤地菊
'lu'dou'cao 露兜草
'lu'dou'le 露兜簕
'lu'huo 鹿藿
'lu'jiao'cao 鹿角草
'lu'jun'song 陆均松
'lu'rong'mu 鹿茸木
'lu'ti'cao 鹿蹄草
'lu'zhu 芦竹
'lu'zi'cao 露籽草
'luan'e'mao'she'xiang 卵萼毛麝香
'luan'hua'peng'qi'ju 孪花蟛蜞菊
'luan'sui'tai'cao 卵穗苔草
'luan'ye'er'cao 卵叶耳草
'luan'ye'hai'sang 卵叶海桑
'luan'ye'ke 卵叶柯
'luan'ye'li'guo'ji'sheng 卵叶梨果寄生
'luan'ye'ling 卵叶柃
'luan'ye'shi'bi'mu 卵叶石笔木
'luan'ye'xi'yan'cao 卵叶喜盐草
'luan'ye'zhang 卵叶樟
'lun'huan'wa'er'teng 轮环娃儿藤
'lun'ye'ji 轮叶戟
'lun'ye'mu'jiang'zi 轮叶木姜子
'lun'ye'zi'jin'niu 轮叶紫金牛
'luo'ban'duan'zhu'cha 落瓣短柱茶
'luo'bo'ken'huang'kui'hua 萝卜裉黄葵花
'luo'di'sheng'gen 落地生根
'luo'fu'kao 罗浮栲
'luo'fu'mu 萝芙木
'luo'fu'shi 罗浮柿
'luo'han'guo 罗汉果
'luo'han'song 罗汉松
'luo'hua'shui'zhu'cao 裸花水竹草
'luo'hua'zi'zhu 裸花紫珠
'luo'jing'su'mi'cao 裸茎粟米草
'luo'le 罗勒
'luo'san'shu 罗伞树
'luo'shi 络石
'luo'xuan'lin'bi'qi 螺旋鳞荸荠
'luo'yan 落檐
'luo'zhi'teng 罗志藤
'luo'zhu'ju 裸柱菊
'lv'bei'gui'hua 绿背桂花
'lv'hua'an'lan 绿花安兰
'lv'hua'yang'er'suan 绿花羊耳蒜
'lv'she'gen'cao 绿蛇根草
'lv'sui'suo'cao 绿穗莎草
'lv'yu'shu 绿玉树
'lv'zhi'shan'fan 绿枝山矾
'ma'bian'cao 马鞭草
'ma'chi'xian 马齿苋
'ma'die'er 马瓞儿
'ma'feng'cheng 马蜂橙
'ma'feng'shu 麻风树
'ma'jia'zi 马甲子
'ma'lan 马兰
'ma'lan'teng 马兰藤
'ma'li 麻栎
'ma'lian 麻楝
'ma'ling'zhu 马岭竹
'ma'ning'yu'feng'hua 马宁玉凤花
'ma'song'zi 马松子
'ma'ti'jin 马蹄金
'ma'ye'tie'xian'cai 麻叶铁苋菜
'ma'ying'dan 马缨丹
'mai'er'cao 脉耳草
'mai'hua'cao 麦花草
'mai'ma'teng 买麻藤
'mai'sui'mao'gen 麦穗茅根
'mai'yang'er'suan 脉羊耳蒜
'mai'zhu'zi 麦珠子
'man'cao'chong'dou 蔓草虫豆
'man'chi'che 蔓赤车
'man'jing 蔓荆
'man'jing'shuan'guo'ju 蔓茎栓果菊
'man'jing'yan'jie'cao 蔓茎沿阶草
'man'san'qi'cao 蔓三七草
'man'xing'gan'jin'ba 蔓性干斤拔
'mang'guo 杧果
'mang'jian'xia'sui'cao 芒尖狭穗草
'mang'sui'ya'zui'cao 芒穗鸭嘴草
'mao'ba'ji'tian 毛巴戟天
'mao'ba'jiao'feng 毛八角枫
'mao'bian'juan'ban'lan 毛边卷瓣兰
'mao'cao'long 毛草龙
'mao'cha 毛茶
'mao'cheng'guang'hua 毛橙广花
'mao'chun'yu'lan 毛唇芋兰
'mao'ci'shuo'ma 毛刺蒴麻
'mao'da'ding'cao 毛大丁草
'mao'dong'qing 毛冬青
'mao'du'zhong'teng 毛杜仲藤
'mao'e'hou'ke'shu 毛萼厚壳树
'mao'e'li'lan 毛萼李榄
'mao'e'qing'feng'teng 毛萼清风藤
'mao'e'su'ying 毛萼素罂
'mao'e'wu'kou'shu 毛萼乌口树
'mao'e'zi'wei 毛萼紫薇
'mao'er'gua 帽儿瓜
'mao'feng'dou'cao 毛蜂斗草
'mao'gen 茅根
'mao'gu'jing'cao 毛谷精草
'mao'gua 茅瓜
'mao'gua'fu'mu 毛瓜腹木
'mao'guan'wu'kou'shu 毛冠乌口树
'mao'guo'bian'dan'gan 毛果扁担杆
'mao'guo'ke 毛果柯
'mao'guo'ling 毛果柃
'mao'guo'suan'pan'zi 毛果算盘子
'mao'guo'wang'zi'cao 毛果网籽草
'mao'hua 帽花
'mao'hua'ma'ling'ju'tai 毛花马铃苣苔
'mao'huang'rou'nan 毛黄肉楠
'mao'ji'gu'cao 毛鸡骨草
'mao'ji'shi'teng 毛鸡屎藤
'mao'jia'jue'ming 毛荚决明
'mao'jian'cao 毛俭草
'mao'jiang'hua 毛姜花
'mao'jin'du'juan 毛锦杜鹃
'mao'jin'xiang'cao 毛锦香草
'mao'ju 毛蒟
'mao'ju'qian 毛咀签
'mao'liang'mian'zhen 毛两面针
'mao'liao 毛蓼
'mao'lin'qiu'zhu'cao 毛鳞球柱草
'mao'ma'tang 毛马唐
'mao'mai'qing'gang 毛脉青冈
'mao'mai'shui'tuan'hua 毛脉水团花
'mao'mai'ya'pa'teng 毛脉崖爬藤
'mao'mai'zi'jin'niu 毛脉紫金牛
'mao'mei 茅莓
'mao'mu'lan 毛木蓝
'mao'nang'tai'cao 毛囊苔草
'mao'pai'qian'cao 毛排钱草
'mao'po'bu'ye 毛破布叶
'mao'pu'tao 毛葡萄
'mao'qiao'qing'li'zhu 毛鞘青篱竹
'mao'qie 毛茄
'mao'ren 毛稔
'mao'ru'dou 毛乳豆
'mao'rui'ji'xue'teng 毛蕊鸡血藤
'mao'shan'huang'pi 毛山黄皮
'mao'shan'zhu'lai 毛山猪莱
'mao'she'xiang 毛麝香
'mao'shi 毛柿
'mao'shui'zhu 毛水竹
'mao'su'bao'dou 毛宿苞豆
'mao'sui'ya'zui'cao 毛穗鸭嘴草
'mao'teng'zhu 毛藤竹
'mao'tian'liao'mu 毛天料木
'mao'wei'cao 猫尾草
'mao'wei'mu 猫尾木
'mao'xian'e'mu 毛腺萼木
'mao'xu'rou'shi 毛序肉实
'mao'ye'bai'fen'teng 毛叶白粉藤
'mao'ye'ding'gong'teng 毛叶丁公藤
'mao'ye'dong'qing 毛叶冬青
'mao'ye'gou'ya'hua 毛叶狗牙花
'mao'ye'hu'die'cao 毛叶蝴蝶草
'mao'ye'jia'ci'shu 毛叶嘉赐树
'mao'ye'lun'huan'teng 毛叶轮环藤
'mao'ye'mao'lan 毛叶毛兰
'mao'ye'qing'gang 毛叶青冈
'mao'ye'shu 毛叶黍
'mao'ye'tong 毛叶桐
'mao'ye'yi'mu'huan 毛叶异木患
'mao'ye'ying'zhao'hua 毛叶鹰爪花
'mao'yi'hua'cao 毛异花草
'mao'yin'chai 毛银柴
'mao'ying'cao 毛颖草
'mao'zhan'biao'cao 毛毡藨草
'mao'zhan'cao 毛毡草
'mao'zhi'cu'ye'mu 毛枝粗叶木
'mao'zhi'huang'yang 毛枝黄杨
'mao'zhou'shan'wo'ju 毛轴山莴苣
'mao'zhou'suo'cao 毛轴莎草
'mei'cao 霉草
'mei'ding'hua 美丁花
'mei'guan'lan 美冠兰
'mei'gui'mao'lan 玫瑰毛兰
'mei'gui'mu 玫瑰木
'mei'hua'lan 美花兰
'mei'li'hua'mei'cao 美丽画眉草
'mei'li'mi'hou'tao 美丽猕猴桃
'mei'li'wu'tong 美丽梧桐
'mei'li'xin'mu'jiang 美丽新木姜
'mei'li'zhang'ya'cai 美丽樟牙菜
'mei'mai'cu'ye'mu 美脉粗叶木
'mei'ye'cai'dou'shu 美叶菜豆树
'mei'ye'dong'qing 梅叶冬青
'mei'ye'zhao'lan 美叶沼兰
'meng'gao'zi 蒙高子
'meng'jia'la'zhuan'zi'miao 孟加拉砖子苗
'meng'yan 虻眼
'mi'bao'yuan'wei'lan 密苞鸢尾兰
'mi'guo'lu'huo 密果鹿藿
'mi'hua'di'bao'lan 密花地宝兰
'mi'hua'dong'qing 密花冬青
'mi'hua'du'ruo 密花杜若
'mi'hua'he'guo'mu 密花核果木
'mi'hua'jie'jie'cai 密花节节菜
'mi'hua'lun'huan'teng 密花轮环藤
'mi'hua'ma'qian 密花马钱
'mi'hua'shi'hu 密花石斛
'mi'hua'shu 密花树
'mi'hua'teng 密花藤
'mi'hua'xia'ji'lan 密花虾脊兰
'mi'hua'yu'ceng'long 密花玉层龙
'mi'hua'yu'teng 密花鱼藤
'mi'jiao 米椒
'mi'lin'zi'jin'niu 密鳞紫金牛
'mi'mai'pu'tao 密脉蒲桃
'mi'mao'hong'si'xian 密毛红丝线
'mi'mao'wu'kou'shu 密毛乌口树
'mi'sui'zhuan'zi'miao 密穗砖子苗
'mi'ye'wan'dai'lan 密叶万带兰
'mi'zai'lan 米仔兰
'mi'zhu'yu 蜜茱萸
'mi'zi'dou 密子豆
'mian'mao'pu'tao 绵毛葡萄
'min'yue'shi'nan 闽粤石楠
'mo'e'teng 膜萼藤
'mo'fu'cao 膜稃草
'mo'lan 墨兰
'mo'mu'xu 墨苜蓿
'mo'pan'cao 磨盘草
'mo'shang'cai 陌上菜
'mo'ye'ci'rui'cao 膜叶刺蕊草
'mo'ye'jia'ci'shu 膜叶嘉赐树
'mo'ye'wu'jiu 膜叶乌桕
'mo'ye'yu'ye'jin'hua 膜叶玉叶金花
'mu'bie'zi 木鳖子
'mu'cao 母草
'mu'di'lang'wei'cao 牧地狼尾草
'mu'dou 木豆
'mu'fang'ji 木防己
'mu'guo'zhang 木果樟
'mu'hao 牡蒿
'mu'hu'die 木蝴蝶
'mu'jia'hong'dou 木荚红豆
'mu'jing 牡荆
'mu'lan 木蓝
'mu'lan 木榄
'mu'lan'ji'sheng 木兰寄生
'mu'long'kui 木龙葵
'mu'mian 木棉
'mu'tian'jing 木田菁
'mu'you'tong 木油桐
'mu'zei'zhuang'bi'qi 木贼状荸荠
'na'da'zi'yu'pan 那大紫玉盘
'na'gao'run'nan 纳槁润楠
'na'hua'ma'qian 拿花马钱
'nan'cao 楠草
'nan'dao'qing'gang 南岛青冈
'nan'fang'jian'peng 南方碱蓬
'nan'fang'tu'si'zi 南方菟丝子
'nan'fang'xia'ji'lan 南方虾脊兰
'nan'hua'du'juan 南华杜鹃
'nan'ling'tan 南岭檀
'nan'ling'zuo'mu 南岭柞木
'nan'shan'teng 南山藤
'nan'she'peng 南蛇捧
'nan'suan'zao 南酸枣
'nan'teng 楠藤
'nan'tou'gu'jing'cao 南投谷精草
'nan'ya'bai'la'mu 南亚柏拉木
'nan'ya'ji 南亚稷
'nan'ya'song 南亚松
'nan'yan'zi'cai 南眼子菜
'nan'zhu 南烛
'nang'ban'mu 囊瓣木
'nang'e'shi 囊萼柿
'nang'she'lan 囊舌兰
'nang'ying'cao 囊颖草
'ni'ai'na'xiang 拟艾纳香
'ni'bo'er'shu'li 尼泊尔鼠李
'ni'du'jing'shan 拟杜茎山
'ni'hu'lai 泥胡莱
'ni'hua'cao 泥花草
'ni'lan 拟兰
'ni'mang'jin'cao 匿芒荩草
'ni'mao'zhan'cao 拟毛毡草
'ni'mi'hua'shu 拟密花树
'ni'rong'ye'dong'qing 拟榕叶冬青
'ni'teng 泥藤
'ni'xia'xu'e'bai'lan 拟虾须莪白兰
'ni'xian'ke'hua'jiao 拟蚬壳花椒
'ni'zhu 坭竹
'nian'zhu'teng 念珠藤
'niao'hui'ban'ye'lan 鸟喙斑叶兰
'niao'shi 鸟柿
'niu'chi'lan 牛齿兰
'niu'da'li 牛大力
'niu'du'teng 扭肚藤
'niu'e'cao 牛轭草
'niu'er'feng 牛耳枫
'niu'fan'lv 牛繁缕
'niu'jiao'gua 牛角瓜
'niu'jin'cao 牛筋草
'niu'jin'guo 牛筋果
'niu'jin'teng 牛筋藤
'niu'jiu'wu'yu 牛纠吴萸
'niu'ma'guo 纽马果
'niu'qie'zi'dian'qie 牛茄子颠茄
'niu'rong 纽榕
'niu'shi'cao 牛虱草
'niu'shi'guo 牛矢果
'niu'shuan'teng 牛栓藤
'niu'ti'ma 牛蹄麻
'niu'wei'cai 牛尾菜
'niu'xi 牛膝
'niu'yan'ma'qian 牛眼马钱
'niu'zi'gua 钮子瓜
'niu'zi'hua 纽子花
'nong'zi'shi'li 浓子屎莉
'nuo'mi'tuan 糯米团
'pai'qian'cao 排钱草
'pan'bao'qian'niu 盘苞牵牛
'pan'jing'gou'teng 攀茎钩藤
'pan'yuan'chou'huang'jing 攀援臭黄荆
'pao'guo'qing 泡果苘
'pao'ye'long'chuan'hua 泡叶龙船花
'pei'lan 佩兰
'pen'jia'shu 盆架树
'peng'lai'zhu 蓬莱竹
'peng'qi'ju 蟛蜞菊
'pi'li'tai'cao 霹雳苔草
'pi'pa'ye'shan'long'yan 枇杷叶山龙眼
'pi'zhen'sui'piao'fu'cao 披针穗飘拂草
'pi'zhen'ye'shan'fan 披针叶山矾
'pi'zhen'ye'xiao'qian'niu 披针叶小牵牛
'pi'zhen'ye'zi'zhu 披针叶紫珠
