'a'er'ni 阿尔尼
'wu'chen'dao'zhang 无尘道长
'wu'da'fu'jian 五大夫剑
'wu'da'peng 吴大鹏
'wu'dang'chang'quan 武当长拳
'wu'dao'tong 吴道通
'wu'dou'mi'shen'gong 五斗米神功
'wu'du'shen'zhang 五毒神掌
'wu'dun'ru 武敦儒
'wu'fu 五符
'wu'gen'dao'ren 无根道人
'wu'gu 五姑
'wu'guang'sheng 吴光胜
'wu'gui'tou'cha 五鬼投叉
'wu'ji'xuan'gong'quan 无极玄功拳
'wu'jiao'yan'zhi'wei'juan'shu 无教艳质为眷属
'wu'jie'fei'sheng 无劫飞升
'wu'ju'xuan 吴菊轩
'wu'kan 吴坎
'wu'lei'guan'ding 五雷灌顶
'wu'li'shen 吴立身
'wu'liang'jian 无量剑
'wu'liang'jian'fa 无量剑法
'wu'lie 武烈
'wu'liu'po 吴六破
'wu'luo'qing'yan'zhang 五罗轻烟掌
'wu'ming 武铭
'wu'qing'lie 吴青烈
'wu'qing'ying 武青婴
'wu'qing'zi 无青子
'wu'ru'xian 巫如咸
'wu'san'niang 武三娘
'wu'san'tong 武三通
'wu'se'wu'xiang 无色无相
'wu'sheng'zhe 无生者
'wu'shuang'wu'dui 无双无对
'wu'tai'shan'qing'liang'si 五台山清凉寺
'wu'tian'de 吴天德
'wu'wang'a'pu 乌旺阿普
'wu'xian'dui'xu 五贤对叙
'wu'xiang'chan'shi 无相禅师
'wu'xiang'jie'zhi 无相劫指
'wu'xiang'yin'gang 无相音罡
'wu'xing'jing 悟星境
'wu'xing'jing'di 悟星境第
'wu'xing'lian'huan'quan 五行连环拳
'wu'xing'lu'he'zhang 五行六合掌
'wu'xiu'wen 武修文
'wu'ye'lan'hua 午夜兰花
'wu'ying'huan'tui 无影幻腿
'wu'you'zhen'ren 无忧真人
'wu'zhi'rong 吴之荣
'wu'zhong'chu'jian 雾中初见
'wu'zhuan'you'ming 五转幽冥
'xi'ao'tu'san'shi 西奥图三世
'xi'chuan'shuang'xia 西川双侠
'xi'chuang'ye'hua 西窗夜话
'xi'du'zhang'fa 西毒杖法
'xi'feng'dao'juan 西风倒卷
'xi'hua'zi 西华子
'xi'ling'dao'ren 西灵道人
'xi'men'chui'xue 西门吹雪
'xi'men'guan'zhi 西门观止
'xi'shi 西失
'xi'sui'jing 洗髓经
'xi'xia'gong'nv 西夏宫女
'xi'xia'hui'ren 西夏回人
'xi'yi'jian 希夷剑
'xi'zhang'lao 奚长老
'xia'gu'tian'feng 峡谷天风
'xia'guo'xiang 夏国相
'xia'ke'xing 侠客行
'xia'lao'quan'shi 夏老拳师
'xia'shao 侠少
'xia'yi'wu'fan'jin 侠以武犯禁
'xia'yun'hui'rao 霞云回绕
'xia'zhou 夏胄
'xian'bi 仙闭
'xian'di 仙帝
'xian'ding 仙定
'xian'du'pai 仙都派
'xian'feng 仙封
'xian'gu 仙固
'xian'guo'xin'ling'yin 闲过信陵饮
'xian'hou'ling'zhe 仙后令者
'xian'jian'zhan'long 仙剑斩龙
'xian'jie 仙解
'xian'jin 仙禁
'xian'ling'wei'ya'jie'jie 仙灵威压结界
'xian'po 仙破
'xian'qi'fang 仙器坊
'xian'yu'tong 鲜于通
'xiang'da'nian 向大年
'xiang'ge'lou'tai 响隔楼台
'xiang'guo'fu'ren 相国夫人
'xiang'long'shi'ba'zhang 降龙十八掌
'xiang'mo'dao'fa 降魔刀法
'xiang'zhang'lao 项长老
'xiao'ao'jiang'hu 笑傲江湖
'xiao'ban'he 萧半和
'xiao'gui'jiao'men 小鬼叫门
'xiao'gui'zi 小桂子
'xiao'lian'gui 笑脸鬼
'xiao'lian'heng'chen 小怜横陈
'xiao'qin'na'shou 小擒拿手
'xiao'shao'ying 萧少英
'xiao'shi'sheng'long 萧史乘龙
'xiao'shi'sheng'long 箫史乘龙
'xiao'shi'yi 萧石逸
'xiao'wang'jiang'jun 小王将军
'xiao'wu'xiang'gong 小无相功
'xiao'xiang'dao'zhang 萧湘道长
'xiao'yao'jian'zong 逍遥剑宗
'xiao'yao'you 逍遥游
'xiao'yao'zhang 逍遥掌
'xiao'yao'zi 逍遥子
'xiao'ye'cha'gun 小夜叉棍
'xiao'yuan'yi'ju 小园艺菊
'xiao'zhong'hui 萧中慧
'xie'bu'dang 谢不当
'xie'da'gou'bei 斜打狗背
'xie'keng 谢铿
'xie'qian'gong 蟹钳功
'xie'xun 谢逊
'xie'yan'ke 谢烟客
'xin'dong'qi 心动期
'xin'guo'liang 辛国梁
'xin'ran 辛然
'xin'xi 心溪
'xin'yan 心砚
'xin'yi'qi'hun'yuan'gong 心意气混元功
'xing'chen'lie 星辰裂
'xing'chen'po'sui 星辰破碎
'xing'chen'zi 星辰子
'xing'chi 行痴
'xing'dian 行颠
'xing'dun 星盾
'xing'guang'hui'ying 星光辉映
'xing'kong'tou'ying 星空投影
'xing'li'fa'zhen 星力法阵
'xing'po 星破
'xing'yan'shang'ren 星演上人
'xiong'ba'qun'shan 雄霸群山
'xiong'mao'er 熊猫儿
'xiong'niang'zi 雄娘子
'xiong'yuan'xian 熊元献
'xiu'luo'qi'pan'cheng 修罗棋盘城
'xiu'mo'wu'dao'zhe 修魔悟道者
'xiu'zhong'zhi 袖中指
'xu'mo 虚魔
'xu'shi'fen'jin 虚式分金
'xu'tian'chuan 徐天川
'xu'tian'hong 徐天宏
'xu'wu'zong 虚无宗
'xu'xue'ting 许雪亭
'xu'zhang'lao 徐长老
'xu'zheng 徐铮
'xu'zhuo'cheng 许卓诚
'xuan'fu'fei'che 悬浮飞车
'xuan'he'da'liang'cheng 煊赫大梁城
'xuan'hui 玄慧
'xuan'ji'zi 玄机子
'xuan'jue 玄觉
'xuan'kong 玄空
'xuan'ku 玄苦
'xuan'ming'er'lao 玄冥二老
'xuan'mo'ji'bie 玄魔级别
'xuan'tian'zhi 玄天指
'xuan'tie'jian'fa 玄铁剑法
'xuan'tong 玄痛
'xuan'tong'zi 玄通子
'xuan'wu'tian'jun 玄武天君
'xuan'wu'yi 轩无翼
'xuan'xu'dao'fa 玄虚刀法
'xuan'xuan'dao'fa 玄玄刀法
'xuan'yi 玄衣
'xuan'zhen'dao'ren 玄真道人
'xue'dao'dao'fa 血刀刀法
'xue'dao'men 血刀门
'xue'fu'ren 薛夫人
'xue'gong'yuan 薛公远
'xue'mu'hua 薛慕华
'xue'ou'shang'ren 雪欧上人
'xue'que 薛鹊
'xue'shan'fei'hu 雪山飞狐
'xue'shan'jian'fa 雪山剑法
'xue'yong'lan'qiao 雪拥蓝桥
'xue'zhong'qi'lian 雪中奇莲
'xun'lei'jian 迅雷剑
'ya'po'po 哑婆婆
'ya'shao'gong 哑梢公
'yan'bo'qian 言伯乾
'yan'da'ping 言达平
'yan'ge 燕歌
'yan'hang'dao 雁行刀
'yan'hang'qing'gong 雁行轻功
'yan'hui'tian'nan 雁回天南
'yan'hui'zhu'rong 雁回祝融
'yan'ji 阎基
'yan'jia'quan 言家拳
'yan'ma'ma 严妈妈
'yan'po'jiu'chong 雁破九重
'yan'qi 燕七
'yan'san'xing 严三星
'yan'shi'kui 阎世魁
'yan'shi'san 燕十三
'yan'shi'zhang 阎世章
'yan'suo'wu'long 烟锁雾拢
'yan'wang'dian'ming 阎王点名
'yan'wang'zhi'bi 阎王掷笔
'yan'yan'gong 炎炎功
'yan'zhi'yu 焉知鱼
'yang'cheng'xie 杨成协
'yang'jie'jie 杨姐姐
'yang'jing'ting 杨景亭
'yang'lao'ling'gong 杨老令公
'yang'peng'ju 杨鹏举
'yang'qiao'mai 阳跷脉
'yang'shan'die'die 阳山迭迭
'yang'wei'mai 阳维脉
'yang'wu'jian 养吾剑
'yang'yi'zhi 杨溢之
'yang'zhong'hui 杨中慧
'yao'bi'da 姚必达
'yao'bo'dang 姚伯当
'yao'chun 姚春
'yao'qing'quan 姚清泉
'yao'tian'jin'bai'bo 遥天浸白波
'ye'ban'feng'yan 夜半烽烟
'ye'chang'qing 叶长青
'ye'lv'jin 耶律晋
'ye'lv'nie'lu'gu 耶律涅鲁古
'ye'lv'yan 耶律燕
'ye'lv'zhong'yuan 耶律重元
'ye'ma'ben'chi 野马奔驰
'ye'meng'se 叶梦色
'ye'xiu'yuan'yang 夜绣鸳鸯
'yi'bing'zhi'ji 疑兵之计
'yi'chen'tian 易尘天
'yi'chong'tian 易重天
'yi'da'biao 易大彪
'yi'guo'zi 易国梓
'yi'he 仪和
'yi'ji 易吉
'yi'jian'feng'mo 一剑封魔
'yi'jin'duan'gu'pian 易筋煅骨篇
'yi'jin'jing 易筋经
'yi'qi'su'ni'sheng 意气素霓生
'yi'qing 仪清
'yi'san'niang 易三娘
'yi'sheng 义生
'yi'shi'ba'lu'deng'tang'quan 一十八路登堂拳
'yi'shi'er'lu'ru'shi'quan 一十二路入室拳
'yi'shi'ye 易师爷
'yi'shui'tian 易水天
'yi'tang'zhu 易堂主
'yi'tian'tu'long'bi'fa 倚天屠龙笔法
'yi'tian'tu'long'ji 倚天屠龙记
'yi'xiao'feng'sheng 一啸风生
'yi'yang'zhi 一阳指
'yi'zi'dian'jian 一字电剑
'yin'feng'dao 阴风刀
'yin'feng'hou 阴风吼
'yin'he'heng'kong 银河横空
'yin'hu'zu 隐狐族
'yin'ji 殷吉
'yin'jin 殷锦
'yin'ke'xi 尹克西
'yin'li 殷离
'yin'mo'yi'zu 隐魔一族
'yin'qiao'mai 阴跷脉
'yin'shan'gui'shuai 阴山鬼帅
'yin'shan'zhang'da'jiu'shi 阴山掌大九式
'yin'suo'jin'ling'suo'fa 银索金铃索法
'yin'tian'zheng 殷天正
'yin'tuo'luo'zhua 因陀罗抓
'yin'wei'mai 阴维脉
'yin'wu'fu 殷无福
'yin'wu'lu 殷无禄
'yin'wu'shou 殷无寿
'yin'yang'jue 阴阳诀
'yin'ye'wang 殷野王
'yin'zhang'gai 尹章垓
'yin'zhong'xiang 殷仲翔
'ying'bai'luo 英白罗
'ying'e 英颚
'ying'she'sheng'si'bo 鹰蛇生死搏
'ying'song 应松
'ying'xiong'san'zhao 英雄三招
'ying'zhang'lao 英长老
'ying'zhao'li 鹰爪力
'ying'zhao'qin'na'shou 鹰爪擒拿手
'ying'zhao'yan'hang'men 鹰爪雁行门
'yong'ci 永慈
'yong'heng'shi'jue'mo'shui 永恒视觉墨水
'yong'yi'xia'yao 庸医下药
'you'de'sheng 尤得胜
'you'ji 游骥
'you'ju 游驹
'you'ke'li'ling 优客李玲
'you'long'tan'zhao 游龙探爪
'you'sheng'zhe 优生者
'you'shu'tong 右书僮
'you'xun 游迅
'you'yuan'bao'yuan 有冤报冤
'yu'ba 于八
'yu'chao'feng 俞朝奉
'yu'chi'lian 尉迟连
'yu'da'fei'hua'jian'fa 雨打飞花剑法
'yu'dai'wei'yao 玉带围腰
'yu'dai'yan 俞岱岩
'yu'fan'tou'zi 鱼贩头子
'yu'guan'jia 于管家
'yu'guang'biao 郁光标
'yu'guang'hao 于光豪
'yu'hu'hua 余护花
'yu'jin'tian'chi 玉进天池
'yu'lian'zhou 俞连舟
'yu'ling'dao'ren 玉灵道人
'yu'nv'jian'fa 玉女剑法
'yu'nv'jian'shi'jiu'shi 玉女剑十九式
'yu'nv'su'xin'jian 玉女素心剑
'yu'nv'su'xin'jian'fa 玉女素心剑法
'yu'pei'yu 俞佩玉
'yu'qing'zi 玉磬子
'yu'ren'hao 于人豪
'yu'ren'yan 余人彦
'yu'sao 于嫂
'yu'shou'shi 驭兽师
'yu'sou'gou'fa 渔叟钩法
'yu'sui'kun'gang 玉碎昆冈
'yu'wan'ting 于万亭
'yu'xia'bu'yan 御下不严
'yu'xiao'jian'fa 玉萧剑法
'yu'xiao'jian'fa 玉箫剑法
'yu'yi'dao 羽衣刀
'yu'yin'zi 玉音子
'yu'yu'tong 余鱼同
'yu'yue'yu'yuan 鱼跃于渊
'yu'zhao'xing 余兆兴
'yu'zhen'zi 玉真子
'yu'zhong'zi 玉钟子
'yu'zi'jia'zu 羽字家族
'yuan'bei 元悲
'yuan'cheng'dao'ren 元澄道人
'yuan'fu'ren 袁夫人
'yuan'gen 缘根
'yuan'guan'nan 袁冠南
'yuan'guang'bo 元广波
'yuan'hun'chan'zu 怨魂缠足
'yuan'shang 元伤
'yuan'shi'xiao 袁士霄
'yuan'shi'xiao 袁士宵
'yuan'sui'yun 原随云
'yuan'ting'yue'zhi 渊停岳峙
'yuan'tong 元痛
'yuan'yang'dao 鸳鸯刀
'yuan'ye 圆业
'yuan'yi'fang 元义方
'yuan'ying 元婴
'yuan'zhen 圆真
'yue'er'sheng 月二圣
'yue'nv'jian'fa 越女剑法
'yue'yang 岳扬
'yue'zhou 粤州
'yun'dao'zhu 云岛主
'yun'heng'xi'ling 云横西岭
'yun'qiang'dao 云强盗
'yun'ruo'qing 云若卿
'yun'ruo'xu 云若虚
'yun'su'mei 云素梅
'yun'tian'kong 云天空
'yun'zheng 云铮
'yun'zhong'he 云中鹤
'yun'zhou'qin'jia'zhai 云州秦家寨
'zang'zu'mu'min 藏族牧民
'zha'xi'jia'cuo 扎西嘉措
'zhan'bai 展白
'zhan'chun 詹春
'zhan'fei 展飞
'zhan'jiao'quan 斩蛟拳
'zhan'meng'bai 展梦白
'zhan'tan 毡毯
'zhan'zi'jue 粘字诀
'zhang'a'sheng 张阿生
'zhang'an'guan 张安官
'zhang'bang'long'tou 掌棒龙头
'zhang'bo'long'tou 掌钵龙头
'zhang'chao'tang 张朝唐
'zhang'chun'jiu 张春九
'zhang'dan'yue 张淡月
'zhang'er'shu 张二叔
'zhang'fei'xiong 张飞雄
'zhang'guan'jia 张管家
'zhang'ji'lin 张继麟
'zhang'jie'jie 张洁洁
'zhang'jin'ao 张金鏊
'zhang'jiu 张九
'zhang'kang'nian 张康年
'zhang'lao'san 章老三
'zhang'ma 张妈
'zhang'ruo'gu 张若谷
'zhang'shi'wu 张十五
'zhang'song'xi 张松溪
'zhang'sun'hong 长孙红
'zhang'xing'lao'zhe 张姓老者
'zhang'yi'mang 张一氓
'zhang'zhao'zhong 张召重
'zhang'zhi'guang 张志光
'zhang'zong'guan 张总管
'zhao'ge'zhong'liu 棹歌中流
'zhao'qi'xian 赵齐贤
'zhao'xu 照虚
'zhao'xun 赵洵
'zhao'yi'shang 赵一伤
'zhao'zhi'jing 赵志敬
'zhe'dong'qi'jia 浙东祁家
'zhe'le'mi 者勒米
'zhe'luo'xing 哲罗星
'zhen'hun'shu 镇魂术
'zhen'shan'zi 震山子
'zhen'tian'san'shi'zhang 震天三十掌
'zhen'tian'tie'zhang 震天铁掌
'zheng'biao'tou 郑镖头
'zheng'feng 郑丰
'zheng'guang'zhi 郑光芝
'zheng'qi'mie 郑七灭
'zheng'qi'yun 郑起云
'zheng'san'niang 郑三娘
'zheng'zhang'lao 郑长老
'zhi'fa'zhang'lao 执法长老
'zhi'nv'chuan'yi 织女穿衣
'zhi'qing 止清
'zhong'a'si 钟阿四
'zhong'chong'jian 中冲剑
'zhong'dong'fang'jia'zu 中东方家族
'zhong'gu'qi'ming 钟鼓齐鸣
'zhong'hua'lian'meng 中华联盟
'zhong'hua'yuan 中华元
'zhong'ji'cai'jue 终极裁决
'zhong'jie'shou'yi 重节守义
'zhong'kui'jue'mu 锺馗抉目
'zhong'nan'quan'zhen'jian'zong 中南全真剑宗
'zhong'nian'wu'shi 中年武师
'zhong'si'sao 钟四嫂
'zhong'xiao'er 钟小二
'zhong'yuan'yi'dian'hong 中原一点红
'zhong'zhao'neng 钟兆能
'zhong'zhao'wen 钟兆文
'zhong'zhao'ying 钟兆英
'zhong'zhen 钟镇
'zhong'zhi'ling 钟志灵
'zhou'a'san 周阿三
'zhou'bo'tong 周伯通
'zhou'da'nai'nai 周大奶奶
'zhou'gong'jian 周公剑
'zhou'gu'tong 周孤桐
'zhou'long 周隆
'zhou'mu 周牧
'zhou'qi 周圻
'zhou'qi 周绮
'zhou'tie'he 周铁鹤
'zhou'wei'xin 周威信
'zhou'wu'shu 周五输
'zhou'ying'jie 周英杰
'zhou'yun'yang 周云阳
'zhou'zhong'ying 周仲英
'zhu'an'guo 朱安国
'zhu'bao'kun 诸保昆
'zhu'biao'tou 祝镖头
'zhu'chang'ling 朱长龄
'zhu'cong 朱聪
'zhu'hong 褚轰
'zhu'hong'bai 褚红柏
'zhu'hong'liu 褚红柳
'zhu'jiu'zhen 朱九真
'zhu'lei'er 朱泪儿
'zhu'qi'qi 朱七七
'zhu'que'tian'jun 朱雀天君
'zhu'rong'jian'fa 祝融剑法
'zhu'suo'gong'fu 蛛索功夫
'zhu'ting 朱停
'zhu'wan'chun 褚万春
'zhu'xin'shi 诛心使
'zhu'yuan 褚圆
'zhu'zhen'yi 朱贞仪
'zhu'zi'liu 朱子柳
'zhu'zu'yin 朱祖荫
'zhuan'pian'yi 赚便宜
'zhuan'xu'mo'zun 颛魖魔尊
'zhuang'fu'ren 庄夫人
'zhuang'ting'long 庄廷龙
'zhuang'yun'cheng 庄允城
'zhuang'zheng 庄铮
'zhui'hun'duo'ming'jian 追魂夺命剑
'zhui'shen'shi 追神使
'zhuo'bu'fan 卓不凡
'zhuo'tian'xiong 卓天雄
'zhuo'ying'shi 捉影式
'zi'cong 子聪
'zi'gai'jian'fa 紫盖剑法
'zi'long'zi 紫龙子
'zi'mu'tie'dan 子母铁胆
'zi'xia'gong 紫霞功
'zi'xu'ju'ding 子胥举鼎
'zi'zhu'gong'ding 紫筑宫丁
'zong'jue'shi 总诀式
'zong'wei'xia 宗维侠
'zong'xiong 宗雄
'zuo'leng'chan 左冷禅
'zuo'shu'tong 左书僮
'zuo'xie'shi 左协侍
