'a'la'tan'wu'wei'wan 阿拉坦五味丸
'sheng'bai'ke'li'kou'fu'ye'he'ji 生白颗粒口服液合剂
'sheng'hua'wan 生化丸
'sheng'ji'ba'bao'san 生肌八宝散
'sheng'ji'yu'hong'gao 生肌玉红膏
'sheng'mai'jiao'nang'ke'li 生脉胶囊颗粒
'sheng'mai'pian'ke'li'dang'shen'fang 生脉片颗粒党参方
'sheng'mai'yin 生脉饮
'sheng'mai'yin'dang'shen'fang 生脉饮党参方
'sheng'mai'yin'kou'fu'ye 生脉饮口服液
'sheng'mai'yin'ren'shen'fang 生脉饮人参方
'sheng'mai'zhu'she'ye 生脉注射液
'sheng'xue'bao'ke'li'he'ji 生血宝颗粒合剂
'sheng'xue'ning'pian 生血宁片
'sheng'xue'xiao'ban'jiao'nang 升血小板胶囊
'shi'dao'ping'san 食道平散
'shi'di'shui 十滴水
'shi'hu'ming'mu'wan 石斛明目丸
'shi'hu'ye'guang'ke'li 石斛夜光颗粒
'shi'hu'ye'guang'wan 石斛夜光丸
'shi'hui'san'wan 十灰散丸
'shi'jiao'cao'ke'chuan'ke'li 石椒草咳喘颗粒
'shi'liu'bu'xue'tang'jiang 石榴补血糖浆
'shi'liu'jian'wei'wan'pian'jiao'nang'san 石榴健胃丸片胶囊散
'shi're'bi'pian'jiao'nang'ke'li 湿热痹片胶囊颗粒
'shi'run'shao'shang'gao 湿润烧伤膏
'shi'wei'di'da'jiao'nang 十味蒂达胶囊
'shi'wei'hei'bing'pian'wan 十味黑冰片丸
'shi'wei'long'dan'hua'jiao'nang'ke'li 十味龙胆花胶囊颗粒
'shi'wei'yu'quan'pian'jiao'nang 十味玉泉片胶囊
'shi'wu'wei'chen'xiang'wan 十五味沉香丸
'shi'wu'wei'hei'yao'wan 十五味黑药丸
'shi'wu'wei'long'dan'hua'wan 十五味龙胆花丸
'shi'xiang'fan'sheng'wan 十香返生丸
'shi'yi'wei'shen'qi'pian'jiao'nang 十一味参芪片胶囊
'shu'dan'pian'jiao'nang 舒胆片胶囊
'shu'er'jing'pian'jiao'nang'ke'li 舒尔经片胶囊颗粒
'shu'feng'ding'tong'wan 疏风定痛丸
'shu'feng'huo'luo'wan'pian 疏风活络丸片
'shu'feng'jie'du'jiao'nang 疏风解毒胶囊
'shu'gan'jian'wei'wan 舒肝健胃丸
'shu'gan'jie'yu'jiao'nang 舒肝解郁胶囊
'shu'gan'ning'zhu'she'ye 舒肝宁注射液
'shu'gan'wan'san'pian'ke'li 舒肝丸散片颗粒
'shu'gan'xiao'ji'wan 舒肝消积丸
'shu'gan'zhi'tong'wan 舒肝止痛丸
'shu'jin'huo'xue'wan'pian'jiao'nang 舒筋活血丸片胶囊
'shu'jin'tong'luo'ke'li 舒筋通络颗粒
'shu'mi'tong'jiao'nang 舒泌通胶囊
'shu'mian'pian'jiao'nang 舒眠片胶囊
'shu'qing'ke'li 疏清颗粒
'shu'xin'kou'fu'ye 舒心口服液
'shu'xue'ning'zhu'she'ye 舒血宁注射液
'shu'xue'tong'zhu'she'ye 疏血通注射液
'shuang'dan'ming'mu'jiao'nang 双丹明目胶囊
'shuang'dan'pian'jiao'nang'ke'li 双丹片胶囊颗粒
'shuang'dong'jiao'nang 双冬胶囊
'shuang'hu'qing'gan'ke'li 双虎清肝颗粒
'shuang'huang'lian'di'yan'ji 双黄连滴眼剂
'shuang'huang'lian'pian'jiao'nang'ke'li'he'ji'kou'fu'ye 双黄连片胶囊颗粒合剂口服液
'shuang'huang'lian'zhu'she'ye 双黄连注射液
'shuang'liao'hou'feng'san 双料喉风散
'shuang'ling'zhi'xie'kou'fu'ye 双苓止泻口服液
'shuang'shi'tong'lin'jiao'nang 双石通淋胶囊
'si'ji'kang'bing'du'he'ji 四季抗病毒合剂
'si'jun'zi'wan'ke'li 四君子丸颗粒
'si'miao'wan 四妙丸
'si'mo'tang'kou'fu'ye 四磨汤口服液
'si'ni'san'ke'li 四逆散颗粒
'si'ni'tang 四逆汤
'si'shen'wan'pian 四神丸片
'si'wei'tu'mu'xiang'san 四味土木香散
'si'wu'pian'jiao'nang'ke'li 四物片胶囊颗粒
'song'ling'xue'mai'kang'jiao'nang 松龄血脉康胶囊
'su'he'xiang'wan 苏合香丸
'su'huang'zhi'ke'jiao'nang 苏黄止咳胶囊
'su'xiao'jiu'xin'wan 速效救心丸
'su'xiao'niu'huang'wan 速效牛黄丸
'su'xiao'xin'tong'di'wan 速效心痛滴丸
'su'xiao'ya'tong'ning'ding 速效牙痛宁酊
'su'zi'jiang'qi'wan 苏子降气丸
'suo'quan'wan'jiao'nang 缩泉丸胶囊
'tan're'qing'zhu'she'ye 痰热清注射液
'tang'chuang'you 烫疮油
'tang'mai'kang'pian'jiao'nang'ke'li 糖脉康片胶囊颗粒
'tang'shang'you 烫伤油
'teng'huang'jian'gu'wan'pian'jiao'nang 藤黄健骨丸片胶囊
'ti'du'san 提毒散
'tian'dan'tong'luo'pian'jiao'nang 天丹通络片胶囊
'tian'he'zhui'feng'gao 天和追风膏
'tian'huang'hou'zao'san 天黄猴枣散
'tian'ju'nao'an'jiao'nang 天菊脑安胶囊
'tian'ma'gou'teng'ke'li 天麻钩藤颗粒
'tian'ma'wan'pian'jiao'nang 天麻丸片胶囊
'tian'ma'xing'nao'jiao'nang 天麻醒脑胶囊
'tian'ma'zhuang'gu'wan 天麻壮骨丸
'tian'mai'xiao'ke'pian 天麦消渴片
'tian'meng'jiao'nang'kou'fu'ye 甜梦胶囊口服液
'tian'qi'jiang'tang'jiao'nang 天芪降糖胶囊
'tian'qi'tong'jing'jiao'nang 田七痛经胶囊
'tian'shu'pian'jiao'nang 天舒片胶囊
'tian'wang'bu'xin'dan 天王补心丹
'tian'wang'bu'xin'wan'pian 天王补心丸片
'tian'zhi'ke'li 天智颗粒
'tiao'jing'huo'xue'pian'jiao'nang 调经活血片胶囊
'tiao'yuan'da'bu'er'shi'wu'wei'tang'san 调元大补二十五味汤散
'tong'bi'pian'jiao'nang 通痹片胶囊
'tong'bian'ling'jiao'nang 通便灵胶囊
'tong'bian'ning'pian 通便宁片
'tong'feng'ding'pian'jiao'nang 痛风定片胶囊
'tong'feng'shu'pian 痛风舒片
'tong'guan'teng'zhu'she'ye'xiao'ai'ping'zhu'she'ye 通关藤注射液消癌平注射液
'tong'jing'bao'ke'li 痛经宝颗粒
'tong'luo'gu'zhi'ning'gao 通络骨质宁膏
'tong'luo'kai'bi'pian 通络开痹片
'tong'luo'qu'tong'gao 通络祛痛膏
'tong'mai'yang'xin'wan 通脉养心丸
'tong'qiao'bi'yan'pian'jiao'nang'ke'li 通窍鼻炎片胶囊颗粒
'tong'qiao'er'long'wan 通窍耳聋丸
'tong'sai'mai'pian'jiao'nang'ke'li 通塞脉片胶囊颗粒
'tong'shu'pian'jiao'nang 痛舒片胶囊
'tong'tian'kou'fu'ye 通天口服液
'tong'xie'ning'ke'li 痛泻宁颗粒
'tong'xin'luo'pian'jiao'nang 通心络片胶囊
'tong'xin'shu'jiao'nang 通心舒胶囊
'tong'xuan'li'fei'kou'fu'ye 通宣理肺口服液
'tong'xuan'li'fei'wan'pian'jiao'nang'ke'li 通宣理肺丸片胶囊颗粒
'tong'xue'kang'jiao'nang 痛血康胶囊
'tong'zhi'su'run'jiang'pian'jiao'nang 通滞苏润江片胶囊
'tou'feng'tong'wan'jiao'nang 头风痛丸胶囊
'tou'tong'ning'jiao'nang 头痛宁胶囊
'tui're'qing'yan'ke'li 退热清咽颗粒
'wai'yong'kui'yang'san 外用溃疡散
'wai'yong'ying'ji'ruan'gao 外用应急软膏
'wai'yong'zi'jin'ding 外用紫金锭
'wan'shi'niu'huang'qing'xin'wan'pian 万氏牛黄清心丸片
'wan'tong'jin'gu'pian 万通筋骨片
'wan'ying'jiao'nang 万应胶囊
'wang'bi'pian'jiao'nang'ke'li 尪痹片胶囊颗粒
'wang'shi'bao'chi'wan 王氏保赤丸
'wei'chang'an'wan 胃肠安丸
'wei'fu'chun'pian'jiao'nang 胃复春片胶囊
'wei'kang'jiao'nang 胃康胶囊
'wei'kang'ling'wan'pian'jiao'nang'ke'li 胃康灵丸片胶囊颗粒
'wei'li'kang'ke'li 胃力康颗粒
'wei'ling'gu'ci'gao 威灵骨刺膏
'wei'mai'ning'jiao'nang 威麦宁胶囊
'wei'pi'xiao'ke'li 胃痞消颗粒
'wei'su'ke'li 胃苏颗粒
'wei'tong'ning'pian 胃痛宁片
'wei'xue'ning'ke'li'he'ji 维血宁颗粒合剂
'wen'wei'shu'pian'jiao'nang'ke'li 温胃舒片胶囊颗粒
'wen'xin'pian'jiao'nang'ke'li 稳心片胶囊颗粒
'weng'li'tong'pian'jiao'nang'ke'li 翁沥通片胶囊颗粒
'wu'fu'hua'du'wan'pian 五福化毒丸片
'wu'hai'ying'liu'wan 五海瘿瘤丸
'wu'huang'gao 五黄膏
'wu'ji'bai'feng'ke'li 乌鸡白凤颗粒
'wu'ji'bai'feng'wan'pian'jiao'nang 乌鸡白凤丸片胶囊
'wu'jia'sheng'hua'jiao'nang 五加生化胶囊
'wu'lan'shi'san'wei'tang'san 乌兰十三味汤散
'wu'li'hui'chun'wan 五粒回春丸
'wu'ling'jiao'nang 乌灵胶囊
'wu'ling'jiao'nang 五灵胶囊
'wu'ling'san'pian'jiao'nang 五苓散片胶囊
'wu'mei'wan 乌梅丸
'wu'she'zhi'yang'wan 乌蛇止痒丸
'wu'wei'ku'shen'chang'rong'jiao'nang 五味苦参肠溶胶囊
'wu'wei'she'xiang'wan 五味麝香丸
'wu'zhi'wan'pian'jiao'nang'ke'li 五酯丸片胶囊颗粒
'xi'fei'ning'pian 矽肺宁片
'xi'hong'hua'zong'gan'pian 西红花总苷片
'xi'huang'wan'jiao'nang 西黄丸胶囊
'xi'lei'san 锡类散
'xi'pa'yi'gu'yin'ye 西帕依固龈液
'xi'xian'tong'shuan'jiao'nang 豨莶通栓胶囊
'xi'yan'ping'zhu'she'ye 喜炎平注射液
'xia'ku'cao'gao'pian'jiao'nang'ke'li'kou'fu'ye 夏枯草膏片胶囊颗粒口服液
'xia'li'qi'jiao'nang 夏荔芪胶囊
'xia'tian'wu'di'yan'ye 夏天无滴眼液
'xian'ling'gu'bao'jiao'nang 仙灵骨葆胶囊
'xian'ling'gu'bao'pian'ke'li 仙灵骨葆片颗粒
'xian'yi'mu'cao'jiao'nang 鲜益母草胶囊
'xian'yu'jiao'nang 痫愈胶囊
'xiang'dan'zhu'she'ye 香丹注射液
'xiang'fu'tiao'jing'zhi'tong'wan 香附调经止痛丸
'xiang'ju'pian'jiao'nang 香菊片胶囊
'xiang'lian'hua'zhi'wan'pian 香连化滞丸片
'xiang'lian'wan'pian'jiao'nang 香连丸片胶囊
'xiang'sha'li'zhong'wan 香砂理中丸
'xiang'sha'liu'jun'wan 香砂六君丸
'xiang'sha'ping'wei'wan'san'ke'li 香砂平胃丸散颗粒
'xiang'sha'yang'wei'ruan'jiao'nang 香砂养胃软胶囊
'xiang'sha'yang'wei'wan'pian'jiao'nang'ke'li 香砂养胃丸片胶囊颗粒
'xiao'ai'ping'jiao'nang'tong'guan'teng'jiao'nang 消癌平胶囊通关藤胶囊
'xiao'ai'ping'ke'li'tong'guan'teng'ke'li 消癌平颗粒通关藤颗粒
'xiao'ai'ping'kou'fu'ye'tong'guan'teng'kou'fu'ye 消癌平口服液通关藤口服液
'xiao'ai'ping'pian'tong'guan'teng'pian 消癌平片通关藤片
'xiao'ai'ping'wan 消癌平丸
'xiao'bai'du'gao 小败毒膏
'xiao'bai'ruan'gao 消白软膏
'xiao'chai'hu'pian'jiao'nang'ke'li 小柴胡片胶囊颗粒
'xiao'chai'hu'tang'wan 小柴胡汤丸
'xiao'chuan'wan 哮喘丸
'xiao'er'bai'shou'wan 小儿百寿丸
'xiao'er'bao'an'wan 小儿保安丸
'xiao'er'bao'tai'kang'ke'li 小儿宝泰康颗粒
'xiao'er'bi'yan'pian 小儿鼻炎片
'xiao'er'chai'gui'tui're'ke'li'kou'fu'ye 小儿柴桂退热颗粒口服液
'xiao'er'chang'wei'kang'ke'li 小儿肠胃康颗粒
'xiao'er'chi'qiao'qing're'ke'li 小儿豉翘清热颗粒
'xiao'er'dao'chi'pian 小儿导赤片
'xiao'er'ding'chuan'kou'fu'ye 小儿定喘口服液
'xiao'er'fei'ke'ke'li 小儿肺咳颗粒
'xiao'er'fei're'ke'chuan'ke'li'kou'fu'ye 小儿肺热咳喘颗粒口服液
'xiao'er'fei're'qing'ke'li 小儿肺热清颗粒
'xiao'er'fu'xie'ning 小儿腹泻宁
'xiao'er'fu'xie'san 小儿腹泻散
'xiao'er'fu'xie'tie 小儿腹泻贴
'xiao'er'gan'mao'ke'li 小儿感冒颗粒
'xiao'er'gan'mao'shu'ke'li 小儿感冒舒颗粒
'xiao'er'gan'mao'tui're'tang'jiang 小儿感冒退热糖浆
'xiao'er'guang'pu'zhi'xie'kou'fu'ye 小儿广朴止泻口服液
'xiao'er'hua'du'san'jiao'nang 小儿化毒散胶囊
'xiao'er'hua'shi'wan'kou'fu'ye 小儿化食丸口服液
'xiao'er'huang'long'ke'li 小儿黄龙颗粒
'xiao'er'jin'dan'xiao'er'jin'dan'pian 小儿金丹小儿金丹片
'xiao'er'ke'chuan'ke'li 小儿咳喘颗粒
'xiao'er'ke'chuan'ling'ke'li'kou'fu'ye'he'ji 小儿咳喘灵颗粒口服液合剂
'xiao'er'ke'sou'ning'tang'jiang 小儿咳嗽宁糖浆
'xiao'er'ma'gan'ke'li 小儿麻甘颗粒
'xiao'er'qi'xing'cha'ke'li'kou'fu'ye'tang'jiang 小儿七星茶颗粒口服液糖浆
'xiao'er'qing'qiao'ke'li'xiao'er'jin'qiao'ke'li 小儿青翘颗粒小儿金翘颗粒
'xiao'er'qing're'gan'mao'pian 小儿清热感冒片
'xiao'er'qing're'li'fei'kou'fu'ye 小儿清热利肺口服液
'xiao'er'qing're'ning'ke'li 小儿清热宁颗粒
'xiao'er'qing're'xuan'fei'tie'gao 小儿清热宣肺贴膏
'xiao'er'qing're'zhi'ke'kou'fu'ye'he'ji'tang'jiang 小儿清热止咳口服液合剂糖浆
'xiao'er're'ke'kou'fu'ye 小儿热咳口服液
'xiao'er're'su'qing'ke'li'kou'fu'ye'tang'jiang 小儿热速清颗粒口服液糖浆
'xiao'er'sheng'xue'tang'jiang 小儿生血糖浆
'xiao'er'shi'kou'san 小儿石蔻散
'xiao'er'shu'gan'ning'tang'jiang 小儿暑感宁糖浆
'xiao'er'shuang'jie'zhi'xie'ke'li 小儿双解止泻颗粒
'xiao'er'shuang'qing'ke'li 小儿双清颗粒
'xiao'er'tui're'he'ji'kou'fu'ye 小儿退热合剂口服液
'xiao'er'xiang'ju'wan 小儿香橘丸
'xiao'er'xiao'ji'zhi'ke'ke'li 小儿消积止咳颗粒
'xiao'er'xiao'ji'zhi'ke'kou'fu'ye 小儿消积止咳口服液
'xiao'er'xiao'shi'pian'ke'li 小儿消食片颗粒
'xiao'er'xie'su'ting'ke'li 小儿泻速停颗粒
'xiao'er'xuan'fei'zhi'ke'ke'li 小儿宣肺止咳颗粒
'xiao'er'yan'bian'ke'li 小儿咽扁颗粒
'xiao'er'yan'shi'ke'li 小儿厌食颗粒
'xiao'er'zhi'bao'wan 小儿至宝丸
'xiao'er'zhu'po'san'zhu'po'hou'zao'san 小儿珠珀散珠珀猴枣散
'xiao'feng'zhi'yang'ke'li 消风止痒颗粒
'xiao'huo'luo'wan'pian 小活络丸片
'xiao'ji'jie'bai'wan 消积洁白丸
'xiao'jian'zhong'pian'jiao'nang'ke'li 小建中片胶囊颗粒
'xiao'jie'an'jiao'nang 消结安胶囊
'xiao'jin'wan'pian'jiao'nang 小金丸片胶囊
'xiao'ke'chuan'pian'jiao'nang'ke'li 消咳喘片胶囊颗粒
'xiao'ke'chuan'tang'jiang 消咳喘糖浆
'xiao'ke'kang'ke'li 消渴康颗粒
'xiao'ke'qing'ke'li 消渴清颗粒
'xiao'ke'wan 消渴丸
'xiao'meng'yan'gao 消朦眼膏
'xiao'qing'long'jiao'nang'ke'li 小青龙胶囊颗粒
'xiao'ru'san'jie'jiao'nang 消乳散结胶囊
'xiao'shuan'ke'li'chang'rong'jiao'nang 消栓颗粒肠溶胶囊
'xiao'shuan'tong'luo'pian'jiao'nang'ke'li 消栓通络片胶囊颗粒
'xiao'shuan'zai'zao'wan 消栓再造丸
'xiao'tong'tie'gao 消痛贴膏
'xiao'xuan'zhi'yun'pian 消眩止晕片
'xiao'yan'li'dan'fen'san'pian 消炎利胆分散片
'xiao'yan'li'dan'pian'jiao'nang'ke'li 消炎利胆片胶囊颗粒
'xiao'yan'li'dan'ruan'jiao'nang 消炎利胆软胶囊
'xiao'yan'zhi'tong'gao 消炎止痛膏
'xiao'yao'wan'ke'li 逍遥丸颗粒
'xiao'yin'pian'jiao'nang'ke'li 消银片胶囊颗粒
'xiao'zheng'wan 消癥丸
'xiao'zhi'ling'zhu'she'ye 消痔灵注射液
'xiao'zhi'shuan'ruan'gao 消痔栓软膏
'xiao'zhi'wan 消痔丸
'xiao'zhong'zhi'tong'ding 消肿止痛酊
'xie'sai'tong'zhu'she'ye 血塞通注射液
'xie'ting'jiao'nang 泻停胶囊
'xin'an'jiao'nang 心安胶囊
'xin'bao'wan 心宝丸
'xin'da'kang'pian'jiao'nang 心达康片胶囊
'xin'fu'fang'lu'hui'jiao'nang 新复方芦荟胶囊
'xin'huang'pian 新癀片
'xin'ke'ning'jiao'nang 心可宁胶囊
'xin'ke'shu'pian 心可舒片
'xin'ke'shu'wan'jiao'nang'ke'li 心可舒丸胶囊颗粒
'xin'mai'long'zhu'she'ye 心脉隆注射液
'xin'mai'tong'pian'jiao'nang 心脉通片胶囊
'xin'nao'kang'pian'jiao'nang 心脑康片胶囊
'xin'nao'ning'jiao'nang 心脑宁胶囊
'xin'nao'shu'tong'pian'jiao'nang 心脑舒通片胶囊
'xin'nao'xin'pian'jiao'nang 心脑欣片胶囊
'xin'qin'ke'li 辛芩颗粒
'xin'qin'pian 辛芩片
'xin'qing'ning'jiao'nang 新清宁胶囊
'xin'qing'ning'pian 新清宁片
'xin'sheng'hua'pian'ke'li 新生化片颗粒
'xin'su'ning'jiao'nang 心速宁胶囊
'xin'tong'ke'li'kou'fu'ye 心通颗粒口服液
'xin'xing'gou'pi'gao 新型狗皮膏
'xin'xue'ning'pian'jiao'nang 心血宁片胶囊
'xin'xue'pian'jiao'nang'ke'li 新雪片胶囊颗粒
'xin'yi'bi'yan'wan 辛夷鼻炎丸
'xin'yuan'jiao'nang 心元胶囊
'xin'yue'jiao'nang 心悦胶囊
'xing'bei'zhi'ke'ke'li 杏贝止咳颗粒
'xing'ling'fen'san'pian 杏灵分散片
'xing'nao'jing'zhu'she'ye 醒脑静注射液
'xing'nao'zai'zao'wan'jiao'nang 醒脑再造丸胶囊
'xing'pi'jiao'nang 醒脾胶囊
'xing'pi'yang'er'ke'li 醒脾养儿颗粒
'xing'su'zhi'ke'ke'li'tang'jiang'kou'fu'ye 杏苏止咳颗粒糖浆口服液
'xiong'dan'di'yan'ye 熊胆滴眼液
'xiong'dan'shu'gan'li'dan'jiao'nang 熊胆舒肝利胆胶囊
'xiong'ju'shang'qing'wan'pian'ke'li 芎菊上清丸片颗粒
'xu'han'ting'jiao'nang'ke'li 虚汗停胶囊颗粒
'xu'han'wei'tong'jiao'nang'ke'li 虚寒胃痛胶囊颗粒
'xuan'fei'zhi'sou'he'ji 宣肺止嗽合剂
'xuan'mai'gan'ju'jiao'nang'ke'li 玄麦甘桔胶囊颗粒
'xuan'shi'yao'shui 癣湿药水
'xuan'yun'ning'pian'ke'li 眩晕宁片颗粒
'xue'fu'zhu'yu'ke'li'kou'fu'ye 血府逐瘀颗粒口服液
'xue'fu'zhu'yu'wan'pian'jiao'nang 血府逐瘀丸片胶囊
'xue'niao'an'pian'jiao'nang 血尿安片胶囊
'xue'ping'pian 血平片
'xue'shan'jin'luo'han'zhi'tong'tu'mo'ji 雪山金罗汉止痛涂膜剂
'xue'shuan'tong'jiao'nang 血栓通胶囊
'xue'shuan'tong'zhu'she'ye 血栓通注射液
'xue'shuan'xin'mai'ning'pian'jiao'nang 血栓心脉宁片胶囊
'xue'zhi'kang'jiao'nang 血脂康胶囊
'xue'zhi'kang'pian 血脂康片
'xue'zhi'ping'jiao'nang 血脂平胶囊
'xue'zhi'tong'jiao'nang 血滞通胶囊
'ya'dan'zi'you'ru'zhu'she'ye 鸦胆子油乳注射液
'ya'dan'zi'you'ruan'jiao'nang'kou'fu'ru'ye 鸦胆子油软胶囊口服乳液
'yan'can'jian'wei'jiao'nang 延参健胃胶囊
'yan'dan'jiao'nang 延丹胶囊
'yan'li'shuang'kou'han'di'wan 咽立爽口含滴丸
'yan'lu'ru'kang'pian'jiao'nang 岩鹿乳康片胶囊
'yan'ning'tang'jiang 炎宁糖浆
'yan'xiao'di'na'er'tang'jiang 炎消迪娜儿糖浆
'yang'he'jie'ning'gao 阳和解凝膏
'yang'wei'pian'ke'li 养胃片颗粒
'yang'wei'shu'jiao'nang'pian'ke'li'ruan'jiao'nang 养胃舒胶囊片颗粒软胶囊
'yang'xin'da'wa'yi'mi'xi'ke'mi'gao 养心达瓦依米西克蜜膏
'yang'xin'ding'ji'jiao'nang'ke'li 养心定悸胶囊颗粒
'yang'xin'sheng'mai'ke'li 养心生脉颗粒
'yang'xin'shi'pian 养心氏片
'yang'xue'an'shen'pian'ke'li 养血安神片颗粒
'yang'xue'qing'nao'wan'ke'li 养血清脑丸颗粒
'yang'xue'rong'jin'wan 养血荣筋丸
'yang'xue'yin'kou'fu'ye 养血饮口服液
'yang'yin'qing'fei'wan'gao'ke'li'kou'fu'ye'tang'jiang 养阴清肺丸膏颗粒口服液糖浆
'yang'yin'sheng'xue'he'ji 养阴生血合剂
'yang'yin'tong'mi'jiao'nang 养阴通秘胶囊
'yang'zheng'he'ji 养正合剂
'yang'zheng'xiao'ji'jiao'nang 养正消积胶囊
'yao'bi'tong'jiao'nang 腰痹通胶囊
'yao'shen'gao 腰肾膏
'yao'tong'ning'jiao'nang 腰痛宁胶囊
'ye'ju'hua'shuan 野菊花栓
'yi'dan'pian'jiao'nang 益胆片胶囊
'yi'dan'shu'jiao'nang'ke'li 胰胆舒胶囊颗粒
'yi'fei'qing'hua'gao 益肺清化膏
'yi'gan'jian'pian 乙肝健片
'yi'gan'ling'pian'jiao'nang 益肝灵片胶囊
'yi'gan'ning'pian'ke'li 乙肝宁片颗粒
'yi'gan'qing're'jie'du'pian'jiao'nang'ke'li 乙肝清热解毒片胶囊颗粒
'yi'mu'cao'gao'pian'jiao'nang'ke'li 益母草膏片胶囊颗粒
'yi'mu'cao'zhu'she'ye 益母草注射液
'yi'nao'pian'jiao'nang 益脑片胶囊
'yi'nian'jin'yi'nian'jin'jiao'nang 一捻金一捻金胶囊
'yi'qi'fu'mai'jiao'nang'ke'li 益气复脉胶囊颗粒
'yi'qi'he'wei'jiao'nang 益气和胃胶囊
'yi'qi'tong'bian'ke'li 益气通便颗粒
'yi'qi'wei'xue'pian'jiao'nang'ke'li 益气维血片胶囊颗粒
'yi'qing'pian'jiao'nang'ke'li 一清片胶囊颗粒
'yi'shen'hua'shi'ke'li 益肾化湿颗粒
'yi'shen'juan'bi'wan 益肾蠲痹丸
'yi'shen'shi'qi'wei'wan 益肾十七味丸
'yi'xin'ba'di'ran'ji'bu'ya'ke'li 益心巴迪然吉布亚颗粒
'yi'xin'ning'shen'pian 益心宁神片
'yi'xin'shu'wan'pian'jiao'nang'ke'li 益心舒丸片胶囊颗粒
'yi'xin'wan'jiao'nang'ke'li 益心丸胶囊颗粒
'yi'xue'sheng'pian'jiao'nang 益血生片胶囊
'yin'chen'tui'huang'jiao'nang 茵陈退黄胶囊
'yin'chen'wu'ling'wan 茵陈五苓丸
'yin'dan'xin'nao'tong'ruan'jiao'nang 银丹心脑通软胶囊
'yin'dan'xin'tai'di'wan 银丹心泰滴丸
'yin'hua'mi'yan'ling'pian 银花泌炎灵片
'yin'huang'pian'jiao'nang'ke'li 银黄片胶囊颗粒
'yin'huang'wan'kou'fu'ye 银黄丸口服液
'yin'lian'qing'gan'ke'li'he'ji 茵莲清肝颗粒合剂
'yin'pu'jie'du'pian 银蒲解毒片
'yin'qi'gan'fu'ke'li 茵芪肝复颗粒
'yin'qiao'jie'du'wan'pian'jiao'nang'ke'li 银翘解毒丸片胶囊颗粒
'yin'qiao'jie'du'ye'he'ji'ruan'jiao'nang 银翘解毒液合剂软胶囊
'yin'xie'jiao'nang'ke'li 银屑胶囊颗粒
'yin'xing'er'tie'nei'zhi'pu'an'zhu'she'ye 银杏二萜内酯葡胺注射液
'yin'xing'nei'zhi'zhu'she'ye 银杏内酯注射液
'yin'xing'tong'zhi'pian'ke'li'jiao'nang'di'wan'fen'san'pian 银杏酮酯片颗粒胶囊滴丸分散片
'yin'xu'wei'tong'pian'jiao'nang'ke'li 阴虚胃痛片胶囊颗粒
'yin'zhan'xin'mai'di'wan 银盏心脉滴丸
'yin'zhi'huang'ke'li'kou'fu'ye 茵栀黄颗粒口服液
'yin'zhi'huang'pian'jiao'nang 茵栀黄片胶囊
'yin'zhi'huang'zhu'she'ye 茵栀黄注射液
'you'gui'wan'jiao'nang 右归丸胶囊
'yu'feng'ning'xin'wan'pian'jiao'nang'ke'li'di'wan 愈风宁心丸片胶囊颗粒滴丸
'yu'jin'yin'xie'pian 郁金银屑片
'yu'ping'feng'jiao'nang 玉屏风胶囊
'yu'ping'feng'ke'li 玉屏风颗粒
'yu'quan'wan'jiao'nang'ke'li 玉泉丸胶囊颗粒
'yu'shang'ling'jiao'nang 愈伤灵胶囊
'yu'shu'san 玉枢散
'yu'xin'tong'jiao'nang 愈心痛胶囊
'yu'xing'cao'di'yan'ye 鱼腥草滴眼液
'yu'xing'cao'zhu'she'ye 鱼腥草注射液
'yu'xue'bi'pian'jiao'nang'ke'li 瘀血痹片胶囊颗粒
'yu'ye'jie'du'ke'li 玉叶解毒颗粒
'yu'zhi'she'xiang'bao'xin'wan 榆栀麝香保心丸
'yuan'hu'zhi'tong'kou'fu'ye 元胡止痛口服液
'yuan'hu'zhi'tong'pian'jiao'nang'ke'li'di'wan 元胡止痛片胶囊颗粒滴丸
'yue'ju'bao'he'wan 越鞠保和丸
'yue'ju'wan 越鞠丸
'yun'kang'ke'li'kou'fu'ye 孕康颗粒口服液
'yun'nan'bai'yao 云南白药
'yun'nan'bai'yao'ding'gao'qi'wu'ji 云南白药酊膏气雾剂
'yun'nan'bai'yao'pian'jiao'nang 云南白药片胶囊
'yun'nan'hong'yao'jiao'nang 云南红药胶囊
'zai'zao'sheng'xue'pian'jiao'nang 再造生血片胶囊
'zai'zao'wan 再造丸
'zao'ren'an'shen'jiao'nang'ke'li'ye 枣仁安神胶囊颗粒液
'ze'gui'long'shuang'pian'jiao'nang 泽桂癃爽片胶囊
'zha'chong'shi'san'wei'wan 扎冲十三味丸
'zhan'jiang'she'yao 湛江蛇药
'zhan'jin'huo'xue'san 展筋活血散
'zhang'yan'ming'pian'jiao'nang 障眼明片胶囊
'zhen'bao'wan 珍宝丸
'zhen'huang'an'gong'pian 珍黄安宫片
'zhen'ju'jiang'ya'pian 珍菊降压片
'zhen'ke'ning'jiao'nang'ke'li'kou'fu'ye'tang'jiang 镇咳宁胶囊颗粒口服液糖浆
'zhen'nao'ning'jiao'nang 镇脑宁胶囊
'zhen'qi'fu'zheng'pian'jiao'nang'ke'li 贞芪扶正片胶囊颗粒
'zhen'tong'huo'luo'ding 镇痛活络酊
'zhen'yuan'pian'jiao'nang 振源片胶囊
'zhen'zhu'ming'mu'di'yan'ye 珍珠明目滴眼液
