'ai'jiang'tou 哀江头
'hui'kan'xue'lei'xiang'he'liu 回看血泪相和流
'hui'mou'yi'xiao'bai'mei'sheng 回眸一笑百媚生
'hui'ri'lou'tai'fei'jia'zhang 回日楼台非甲帐
'hui'shou'lei'zhan'jin 挥手泪沾巾
'hui'shou'zi'zi'qu 挥手自兹去
'hui'tou'xia'wang'ren'huan'chu 回头下望人寰处
'hui'xiang'ou'shu 回乡偶书
'hui'xu'yi'yin'san'bai'bei 会须一饮三百杯
'hui'ya'ta'zhang'ling'cang'cang 回崖沓障凌苍苍
'hui'zhou'bu'dai'yue 回舟不待月
'hun'fan'guan'sai'hei 魂返关塞黑
'hun'lai'feng'lin'qing 魂来枫林青
'hun'po'bu'ceng'lai'ru'meng 魂魄不曾来入梦
'hun'tuo 浑脱
'hun'yu'bu'sheng'zan 浑欲不胜簪
'huo'cong'shi'wu'bei'fang'he 或从十五北防河
'huo'kong'shi'tong'xiang 或恐是同乡
'huo'qi'qi'lin'yi'feng'huang 或骑麒麟翳凤凰
'huo'ru'yi'she'jiu'ri'luo 霍如羿射九日落
'huo'wei'di'huang'zu'yao'guai 火维地荒足妖怪
'ji'bian 既辨
'ji'bo'yu'qiong'nian 羁泊欲穷年
'ji'ci'xian'xian'yi 即此羡闲逸
'ji'cong'ba'xia'chuan'wu'xia 即从巴峡穿巫峡
'ji'du'ge'shan'chuan 几度隔山川
'ji'gong'sun'ke'zhi'yi 即公孙可知矣
'ji'han'jian'yi 寄韩谏议
'ji'hang'gui'sai'jin 几行归塞尽
'ji'ji'jiang'shan'yao'luo'chu 寂寂江山摇落处
'ji'ji'jing'he'dai 寂寂竟何待
'ji'jin'er'qu 几尽而去
'ji'jin'piao'bo'gan'ge'ji 即今漂泊干戈际
'ji'jing'shu'han'chi 汲井漱寒齿
'ji'li'dan'yuan'xi 寄李儋元锡
'ji'li'xi'ni'gu'rou'yun 肌理细腻骨肉匀
'ji'lv'chang'kan'zui 羁旅长堪醉
'ji'ming'zi'mo'shu'guang'han 鸡鸣紫陌曙光寒
'ji'mo'shen'hou'shi 寂寞身后事
'ji'mo'yang'can'sheng 寂寞养残生
'ji'quan'jiao'shan'zhong'dao'shi 寄全椒山中道士
'ji'ri'dao'lin'tao 几日到临洮
'ji'shang'fu'liang'da'xiong 寄上浮梁大兄
'ji'shen'qie'xi'cang'zhou'jin 寄身且喜沧洲近
'ji'shi'bei'zhong'ba 几时杯重把
'ji'shu'chang'bu'da 寄书长不达
'ji'wai'gong'feng 洎外供奉
'ji'wei'wan'li'shen 羁危万里身
'ji'wo'jiao'fei'jiu 寄卧郊扉久
'ji'xue'fu'yun'duan 积雪浮云端
'ji'ye'zhuan'xi'he 际夜转西壑
'ji'yu'kong'lin'yan'huo'chi 积雨空林烟火迟
'ji'yu'wang'chuan'zhuang'zuo 积雨辋川庄作
'ji'yu'yan'cheng'guan'gong'sun'shi'wu'jian'qi 记于郾城观公孙氏舞剑器
'ji'zhi'cheng'xian'sui'bu'hai 及至成仙遂不还
'ji'zhi'jin'men'yuan 既至金门远
'ji'zhi'xing'xiu'yi'xi'e 掎摭星宿遗羲娥
'ji'zhong'jin'zi'lun'chang'hen 机中锦字论长恨
'ji'zhou'ba'dai'zheng'zhan'ba 继周八代争战罢
'ji'zhou'zhao'bo'zhi'gan'tang 即周召伯之甘棠
'ji'zi'qi'you'jue 及兹契幽绝
'ji'zuo'sheng'du'shi'yi 寄左省杜拾遗
'jia'bin'fu'man'tang 嘉宾复满堂
'jia'dao 贾岛
'jia'de'qu'tang'jia 嫁得瞿塘贾
'jia'lin'jiu'jiang'shui 家临九江水
'jia'ren 佳人
'jia'shi'kui'lian'han'yuan'shao 贾氏窥帘韩掾少
'jia'shu'dao'ge'nian 家书到隔年
'jia'shu'di'wan'jin 家书抵万金
'jia'tong'sao'luo'jing 家童扫萝径
'jia'yi'shang'shu'you'han'shi 贾谊上书忧汉室
'jia'yu'nong'chao'er 嫁与弄潮儿
'jia'zai'ha'ma'ling'xia'zhu 家在虾蟆陵下住
'jia'zhu'ceng'cheng'lin'han'yuan 家住层城邻汉苑
'jian'bie'wang'shi'yi'nan'you 饯别王十一南游
'jian'de'fei'wu'tu 建德非吾土
'jian'di'shu'jing'xin 涧底束荆薪
'jian'er'dang'he'qiu 见尔当何秋
'jian'ge'zheng'rong'er'cui'wei 剑阁峥嵘而崔嵬
'jian'guan'ying'yu'hua'di'hua 间关莺语花底滑
'jian'he'feng'ji'xue'pian'kuo 剑河风急雪片阔
'jian'nan'ku'hen'fan'shuang'bin 艰难苦恨繁霜鬓
'jian'ri'qi'shu'zhong 贱日岂殊众
'jian'shi'fu'li'ji'xia'gui'fu'di'mei 兼示符离及下圭阝弟妹
'jian'wai'hu'chuan'shou'ji'bei 剑外忽传收蓟北
'jian'xuan'zhuan'ke'liu'shan'e 拣选撰刻留山阿
'jian'ye'mu'zhong'shi 建业暮钟时
'jian'yu'gu'rou'yuan 渐与骨肉远
'jian'zhu'tai'miao'bi'gao'ding 荐诸太庙比郜鼎
'jiang'chong'xiang'bei'yu'qian'ting'jie'hu'sheng'yi'dong'rong 将虫响悲於前听嗟乎声以动容
'jiang'chun'ru'jiu'nian 江春入旧年
'jiang'chun'zhu'xiu'liang'ji'mo 绛唇珠袖两寂寞
'jiang'cun'du'gui'chu 将村独归处
'jiang'deng'tai'hang'xue'man'shan 将登太行雪满山
'jiang'feng'yu'huo'dui'chou'mian 江枫渔火对愁眠
'jiang'han'ceng'wei'ke 江汉曾为客
'jiang'hu'duo'feng'bo 江湖多风波
'jiang'hu'qiu'shui'duo 江湖秋水多
'jiang'huai'du'han'shi 江淮度寒食
'jiang'jia'jiu'yu'mai 将家就鱼麦
'jiang'jing'chao'chu'luo 江静潮初落
'jiang'jun'de'ming'san'shi'zai 将军得名三十载
'jiang'jun'hua'shan'gai'you'shen 将军画善盖有神
'jiang'jun'jiao'gong'bu'de'kong 将军角弓不得控
'jiang'jun'jin'jia'ye'bu'tuo 将军金甲夜不脱
'jiang'jun'wei'wu'zhi'zi'sun 将军魏武之子孙
'jiang'jun'xia'bi'kai'sheng'mian 将军下笔开生面
'jiang'jun'ye'yin'gong 将军夜引弓
'jiang'lao'shen'fan'lei 将老身反累
'jiang'liu'gong'feng'yan 江柳共风烟
'jiang'liu'qu'si'jiu'hui'chang 江流曲似九回肠
'jiang'liu'shi'bu'zhuan 江流石不转
'jiang'liu'tian'di'wai 江流天地外
'jiang'nan'feng'li'gui'nian 江南逢李龟年
'jiang'nan'qu 江南曲
'jiang'nan'you'dan'ju 江南有丹橘
'jiang'nan'zhang'li'di 江南瘴疠地
'jiang'pan'zhou'ru'yue 江畔洲如月
'jiang'qing'yue'jin'ren 江清月近人
'jiang'ru'da'huang'liu 江入大荒流
'jiang'shan'gu'zhai'kong'wen'zao 江山故宅空文藻
'jiang'shan'liu'sheng'ji 江山留胜迹
'jiang'shang'ji'ren'zai'tian'ya'gu'zhao'hai 江上几人在天涯孤棹还
'jiang'shang'yue'ming'hu'yan'guo 江上月明胡雁过
'jiang'shui'jiang'hua'qi'zhong'ji 江水江花岂终极
'jiang'tou'gong'dian'suo'qian'men 江头宫殿锁千门
'jiang'wang'fu'xuan'ru'you'qing 将往复旋如有情
'jiang'xiang'gu'ren'ou'ji'ke'she 江乡故人偶集客舍
'jiang'xue 江雪
'jiang'yin'wo'bing'jie'chao'yi 将因卧病解朝衣
'jiang'ze'ji'ren'song'xiao'chou 绛帻鸡人送晓筹
'jiang'zhou'si'ma'qing'shan'shi 江州司马青衫湿
'jiang'zhou'zhong'bie'xue'liu'liu'ba'er'yuan'wai 江州重别薛六柳八二员外
'jiao'fang'a'jian'qing'e'lao 椒房阿监青娥老
'jiao'jiao'zhen'mu'dian 矫矫珍木巅
'jiao'long'chu'mo'xing'wu'hao 蛟龙出没猩鼯号
'jiao'qie'ruo'wei'rong 教妾若为容
'jiao'ru'qun'di'can'long'xiang 矫如群帝骖龙翔
'jiao'zhu'xie'gong'ji 脚著谢公屐
'jie'er'yuan'dao'zhi'ren 嗟尔远道之人
'jie'hou'kan'ying'wan 节候看应晚
'jie'hu'shi'zhu'zhong'wu'lai 羯胡事主终无赖
'jie'jun'ci'bie'yi'he'ru'zhu'ma'xian'bei'wen'zhe'ju 嗟君此别意何如驻马衔杯问谪居
'jie'shi'san'he'mu'nian'shao 节使三河募年少
'jie'wen'ku'xin'ai'zhe'shui 借问苦心爱者谁
'jie'wen'lu'bang'ming'li'ke 借问路傍名利客
'jie'xiang'sha'chang'lao 皆向沙场老
'jie'yu'chuan'zhao'cai'ren'suo 婕妤传诏才人索
'jie'yu'ci'tu'jin'gu'tong 皆与此图筋骨同
'jie'yu'hao'gu'sheng'ku'wan 嗟予好古生苦晚
'jie'yu'ting'gu'ying'guan'qu 嗟余听鼓应官去
'jie'zai'wu'dang'er'san'zi 嗟哉吾党二三子
'jin'an'zai 今安在
'jin'bian'duan'zhe'jiu'ma'si 金鞭断折九马死
'jin'chan'nie'suo'shao'xiang'ru 金蟾啮锁烧香入
'jin'chang'xu 金昌绪
'jin'cheng'liu'lei'quan 今成流泪泉
'jin'cheng'sui'yun'le 锦城虽云乐
'jin'de'gui'jing'yi 近得归京邑
'jin'fan'ying'shi'dao'tian'ya 锦帆应是到天涯
'jin'jian'gong'ming'sheng'gu'ren 今见功名胜古人
'jin'jiang'chun'se'lai'tian'di 锦江春色来天地
'jin'kan'liang'ying'dian 今看两楹奠
'jin'kou'ting'zhou'du'bu'de 津口停舟渡不得
'jin'kua'zi'liu'hao 矜夸紫骝好
'jin'lai'dian'si'jun 今来典斯郡
'jin'lei'wu'gan'tu 近泪无干土
'jin'li'shu'zhong'guan'she'wan 禁里疏钟官舍晚
'jin'ling'jiu'si'liu'bie 金陵酒肆留别
'jin'ling'wang'qi'an'ran'shou 金陵王气黯然收
'jin'ling'zi'di'lai'xiang'song 金陵子弟来相送
'jin'nian'huan'xiao'fu'ming'nian 今年欢笑复明年
'jin'piao'lun'qiao'cui 今漂沦憔悴
'jin'que'qian'kai'er'feng'chang 金阙前开二峰长
'jin'que'xi'xiang'kou'yu'jiong 金阙西厢叩玉扃
'jin'que'xiao'zhong'kai'wan'hu 金阙晓钟开万户
'jin'ren'duo'bu'tan 今人多不弹
'jin'ri'chui'yang'sheng'zuo'zhou 今日垂杨生左肘
'jin'ri'feng'qian'guo'shi'wan 今日俸钱过十万
'jin'ri'hua'kai'you'yi'nian 今日花开又一年
'jin'ri'jun'wang'kan'bu'zu 尽日君王看不足
'jin'ri'long'zhong'ren'gong'lao 今日龙钟人共老
'jin'ri'zhi'ri'duo'fan'you 今日之日多烦忧
'jin'ru'qian'jia'san'hua'zhu 近入千家散花竹
'jin'se 锦瑟
'jin'se'wu'duan'wu'shi'xian 锦瑟无端五十弦
'jin'shan'xi'jian'yan'chen'fei 金山西见烟尘飞
'jin'shang'yue'yang'lou 今上岳阳楼
'jin'sheng'tie'suo'suo'niu'zhuang 金绳铁索锁钮壮
'jin'shi'guo'jia'shi'zi'hua 近时郭家狮子花
'jin'shi'ke'hua'chen'neng'wei 金石刻画臣能为
'jin'su'dui'qian'mu'yi'gong 金粟堆前木已拱
'jin'su'dui'qian'song'bai'li 金粟堆前松柏里
'jin'wei'qiang'di'chu'sai'sheng 今为羌笛出塞声
'jin'wo'bu'le'si'yue'yang 今我不乐思岳阳
'jin'wo'you'ming'ming 今我游冥冥
'jin'wu'qi'qi'cun'qi'ci 今无其器存其辞
'jin'xi'fu'he'xi 今夕复何夕
'jin'xiang'qing'geng'qie 近乡情更怯
'jin'xing'zhuang'cheng'jiao'shi'ye 金星妆成娇侍夜
'jin'ye'lu'fu'zhou'yue 今夜鹿阝州月
'jin'ye'pian'zhi'chun'qi'nuan 今夜偏知春气暖
'jin'ye'wen'jun'pi'pa'yu 今夜闻君琵琶语
'jin'zhao'chong'xi'zi'fei 今朝虫喜子飞
'jin'zhao'dou'dao'yan'qian'lai 今朝都到眼前来
'jin'zhao'jun'zhai'leng 今朝郡斋冷
'jin'zhao'wei'ci'bie 今朝为此别
'jin'zhi'xin'tu'you'er'ma 今之新图有二马
'jin'zhong'li'bian'ju 近种篱边菊
'jin'zun'qing'jiu'dou'shi'qian 金樽清酒斗十千
'jing'dong'fu'li'chun 经冬复立春
'jing'dong'you'lu'lin 经冬犹绿林
'jing'feng'luan'feng'zhan'fu'rong'shui 惊风乱风占芙蓉水
'jing'hu're'zhong'chang 惊呼热中肠
'jing'hu'san'bai'li 镜湖三百里
'jing'li'jiu'yuan'qi'wu'tuo 经历久远期无佗
'jing'li'le'ke'wu 净理了可悟
'jing'luo'feng'chun'yi 京洛缝春衣
'jing'men'jiu'pai'tong 荆门九派通
'jing'pei'wei'yi'jie'shi'jian 旌旆逶迤碣石间
'jing'po'ni'shang'yu'yi'qu 惊破霓裳羽衣曲
'jing'qi'wu'guang'ri'se'bo 旌旗无光日色薄
'jing'shui'you'chang'qi 井税有常期
'jing'ting'song'feng'han 静听松风寒
'jing'wen'su'ke'zheng'lai'ji 惊闻俗客争来集
'jing'xi'qi'xiang'si 竟夕起相思
'jing'xi'zi'bei'qiu 竟夕自悲秋
'jing'ye'si'wu'lin 静夜四无邻
'jing'yin'huan'jia'wen'du'yi 竞引还家问都邑
'jing'zou'lu'ji'kong'zi'er'tan'zhi 经邹鲁祭孔子而叹之
'jiong'li'chang'he'sheng'zhang'feng 迥立阊阖生长风
'jiong'ruo'han'kong'za'yan'xue 迥若寒空杂烟雪
'jiu'chong'cheng'que'yan'chen'sheng 九重城阙烟尘生
'jiu'chu'ming'feng'luan'jiu'jiu 九雏鸣凤乱啾啾
'jiu'fang'fan'fan'ran 酒舫泛泛然
'jiu'guo'jian'qing'shan 旧国见青山
'jiu'hao'ge'liang'yuan 旧好隔良缘
'jiu'hua'zhang'li'meng'hun'jing 九华帐里梦魂惊
'jiu'jiu'qi'niao'guo 啾啾栖鸟过
'jiu'ling'jin'pu'gu 鹫翎金仆姑
'jiu'ri'deng'wang'xian'tai'cheng'liu'ming'fu 九日登望仙台呈刘明府
'jiu'tian'chang'he'kai'gong'dian 九天阊阖开宫殿
'jiu'tu'li'li'zuo'zhou'niao 酒徒历历坐洲鸟
'jiu'wei'pian'pian'fei'hua'suo 九微片片飞花琐
'jiu'wei'zan'zu'lei 久为簪组累
'jiu'ye'yi'sui'zheng'zhan'jin 旧业已随征战尽
'jiu'yue'han'zhen'cui'mu'ye 九月寒砧催木叶
'jiu'yue'jiu'ri'yi'shan'dong'xiong'di 九月九日忆山东兄弟
'jiu'zhong'yun'mu'jiao'fang'qin 就中云幕椒房亲
'ju'bei'xiao'chou'chou'geng'chou 举杯销愁愁更愁
'ju'bei'yao'ming'yue 举杯邀明月
'ju'hu'an 据湖岸
'ju'huai'yi'xing'zhuang'si'fei 俱怀逸兴壮思飞
'ju'jiu'yu'yin'wu'guan'xian 举酒欲饮无管弦
'ju'ken'gan'ji'tu'yan'you'shang'yi'heng'gai'wei'he'e 讵肯感激徒妍右上一横改为合婀
'ju'qi'yu'zhong'yu'zhe'shao 句奇语重喻者少
'ju'ren'gong'zhu'wu'ling'yuan 居人共住武陵源
'ju'ren'wei'gai'qin'yi'fu 居人未改秦衣服
'ju'tou'wang'ming'yue 举头望明月
'ju'xian'shi'zi'qian 居闲始自遣
'ju'xin'yue'yi'gan'en'fen 剧辛乐毅感恩分
'juan'er 卷二
'juan'gong'le'cheng'gao'wan'shi 镌功勒成告万世
'juan'liu 卷六
'juan'san 卷三
'juan'si 卷四
'juan'wei'wang'yue'kong'chang'tan 卷帷望月空长叹
'juan'wu 卷五
'juan'yi 卷一
'jue'dai'you'jia'ren 绝代有佳人
'jue'dao'zi'wu'qiong 觉道资无穷
'jue'ding'yi'mao'ci 绝顶一茅茨
'jue'yu'cang'mang'geng'he'you 绝域苍茫更何有
'jue'zi'ru'gui'niao 决眦入归鸟
'jun'bu'jian 君不见
'jun'bu'jian'sha'chang'zheng'zhan'ku 君不见沙场征战苦
'jun'bu'jian'zou'ma'chuan'xing'xue'hai'bian 君不见走马川行雪海边
'jun'bu'wen 君不闻
'jun'chen'xiang'gu'jin'zhan'yi 君臣相顾尽沾衣
'jun'chen'yi'yu'shi'ji'hui 君臣已与时际会
'jun'chong'yi'jiao'tai 君宠益娇态
'jun'ge'qie'xiu'ting'wo'ge 君歌且休听我歌
'jun'ge'sheng'suan'ci'qie'ku 君歌声酸辞且苦
'jun'jia'he'chu'zhu 君家何处住
'jun'jin'zai'luo'wang 君今在罗网
'jun'lian'wu'shi'fei 君怜无是非
'jun'mo'ting 君莫停
'jun'wang'yan'mian'jiu'bu'de 君王掩面救不得
'jun'wen'qiong'tong'li 君问穷通理
'jun'yan'bu'de'yi 君言不得意
'jun'yi'fu'qian'pu 郡邑浮前浦
'jun'zhai'yu'zhong'yu'zhu'wen'shi'yan'ji 郡斋雨中与诸文士燕集
'jun'zi'gu'xiang'lai 君自故乡来
'jun'zi'yi'ru'he 君子意如何
'kai'guo'he'mang'ran 开国何茫然
'kai'wei'yue'chu'tu 开帷月初吐
'kai'xuan'lan'wu'hua 开轩览物华
'kai'xuan'mian'chang'pu 开轩面场圃
'kai'xuan'wo'xian'chang 开轩卧闲敞
'kai'yuan'er'shi'liu'nian 开元二十六年
'kai'yuan'san'zai 开元三载
'kai'yuan'zhi'zhong'chang'yin'jian 开元之中常引见
'kan'ke'zhi'de'yi'jing'man 坎轲只得移荆蛮
'ke'cong'dong'fang'lai 客从东方来
'ke'lian'guang'cai'sheng'men'hu 可怜光彩生门户
'ke'lian'gui'li'yue 可怜闺里月
'ke'lian'hou'zhu'hai'ci'miao 可怜后主还祠庙
'ke'lian'jiu'ma'zheng'shen'jun 可怜九马争神骏
'ke'lian'wang'sun'qi'lu'yu 可怜王孙泣路隅
'ke'lu'qing'shan'wai 客路青山外
'ke'qu'bo'ping'kan 客去波平槛
'ke'ru'qing'tong'gen'ru'shi 柯如青铜根如石
'ke'xin'xi'liu'shui 客心洗流水
'ke'yi'heng'jue'e'mei'dian 可以横绝峨眉巅
'ke'yi'jian'jia'ke 可以荐嘉客
'ke'you'cong'yu'shi'da'fu'zhang'gong'chu'sai'er'hai'zhe 客有从御史大夫张公出塞而还者
'ke'zhi 客至
'ken'shu'ye'xia'huang'xu'er 肯数邺下黄须儿
'ken'yu'lin'weng'xiang'dui'yin 肯与邻翁相对饮
'kong'cheng'dan'yue'hua 空城澹月华
'kong'fei'ping'sheng'hun 恐非平生魂
'kong'jian'pu'tao'ru'han'jia 空见葡萄入汉家
'kong'ling'sui'yue'yi'cuo'tuo 空令岁月易蹉跎
'kong'ming'miao'qian'you'lao'bai 孔明庙前有老柏
'kong'shan'bai'niao'san'hai'he 空山百鸟散还合
'kong'shan'bu'jian'ren 空山不见人
'kong'shan'song'zi'luo 空山松子落
'kong'shan'xin'yu'hou 空山新雨后
'kong'shi'han'dai'han'zhang'liang 恐是汉代韩张良
'kong'xiang'qiu'bo'ku'shi'chuan 空向秋波哭逝川
'kong'yi'xie'jiang'jun 空忆谢将军
'kong'you'xian'yu'qing 空有羡鱼情
'kong'yuan'bai'lu'di 空园白露滴
'kong'zhi'fan'jiu'lin 空知返旧林
'kong'zhong'wen'tian'ji 空中闻天鸡
'kong'zi'xi'xing'bu'dao'qin 孔子西行不到秦
'kou'guan'wu'tong'pu 扣关无僮仆
'kou'jue'liu'mo'you'shou'zhi 口角流沫右手胝
'kou'men'wu'quan'fei 扣门无犬吠
'ku'dao'lai'bu'yi 苦道来不易
'ku'hen'nian'nian'ya'jin'xian 苦恨年年压金线
'ku'sang'lao'bai'han'sou'feng'liu 枯桑老柏寒飕风留
'ku'sheng'zhi'shang'gan'yun'xiao 哭声直上干云霄
'ku'song'dao'gua'yi'jue'bi 枯松倒挂倚绝壁
'ku'xin'qi'mian'rong'lou'yi'xiang'ye'zhong'jing'su'luan'feng 苦心岂免容蝼蚁香叶终经宿鸾凤
'kua'ma'chu'jiao'shi'ji'mu 跨马出郊时极目
'kuai'jian'kan'duan'sheng'jiao'tuo 快剑砍断生蛟鼍
'kuang'fu'fu'gui'zai'qing'chun 狂夫富贵在青春
'kuang'fu'qin'bing'nai'ku'zhan 况复秦兵耐苦战
'kuang'ge'wu'liu'qian 狂歌五柳前
'kuang'nai'wei'xiu'bing 况乃未休兵
'kuang'shi'cai'jia'qin 况是蔡家亲
'kuang'yu'bai'shou'jin'zi'di'zi'yi'fei'sheng'yan 况余白首今兹弟子亦匪盛颜
'kui'jun'xiang'fang'pin 愧君相访频
'kui'jun'you'qian'shen'feng'bo 愧君犹遣慎风波
'kui'shi'wei'an'ji 窥室惟案几
'la'ju'cheng'hui'lei'shi'gan 蜡炬成灰泪始干
'la'zhao'ban'long'jin'fei'cui 蜡照半笼金翡翠
'lai'cong'chu'guo'you 来从楚国游
'lai'dui'bai'tou'yin 来对白头吟
'lai'qu'jiu'jiang'ce 来去九江侧
'lai'ri'qi'chuang'qian 来日绮窗前
'lai'ru'lei'ting'shou'zhen'nu 来如雷霆收震怒
'lai'shi'kong'yan'qu'jue'zong 来是空言去绝踪
'lai'tu'ruo'meng'xing 来途若梦行
'lai'wang'bu'feng'ren 来往不逢人
'lai'wu'wei'gong'qian 来舞魏宫前
'lai'zi'tuo'ling'men 赖兹托令门
'lan'tian'ri'nuan'yu'sheng'yan 蓝田日暖玉生烟
'lan'ye'chun'wei'rui 兰叶春葳蕤
'lan'yi'tui'zhen'qi'pai'huai 揽衣推枕起徘徊
'lang'qi'zhu'ma'lai 郎骑竹马来
'lao'bing'you'gu'zhou 老病有孤舟
'lao'da'jia'zuo'shang'ren'fu 老大嫁作商人妇
'lao'fu'bu'zhi'qi'suo'wang 老夫不知其所往
'lao'jiang'xing 老将行
'lao'qu'lian'ming'shi 老去恋明时
'lao'zhi'ju'ren'xia 老至居人下
'le'ji'ai'lai'yue'dong'chu 乐极哀来月东出
'le'you'xin'lv'zhi 乐幽心屡止
'lei'gu'dong'shan'chuan 雷鼓动山川
'li'bai 李白
'li'bei'xi'gong'chuan 离杯惜共传
'li'bie'zheng'kan'bei 离别正堪悲
'li'duan 李端
'li'duan'gong 李端公
'li'gong'gao'chu'ru'qing'yun 骊宫高处入青云
'li'guang'wu'gong'yuan'shu'qi 李广无功缘数奇
'li'hua'yi'zhi'chun'dai'yu 梨花一枝春带雨
'li'hui'shi'fei'qian 理会是非遣
'li'jin'guan'shan'wei'jie'wei 力尽关山未解围
'li'li'yuan'shang'cao 离离原上草
'li'pin 李频
'li'qi 李颀
'li'ren'xing 丽人行
'li'shang'yin 李商隐
'li'she'ju'zhong'nian 吏舍局终年
'li'shen'lin'xi'jing'ceng'dian 栗深林兮惊层巅
'li'yi 李益
'li'yuan'zi'di'bai'fa'xin 梨园子弟白发新
'li'yuan'zi'di'san'ru'yan 梨园子弟散如烟
'li'zhou'nan'du 利洲南渡
'lian'bu'qu'dan'bi 联步趋丹陛
'lian'dong'xia'yu'zhou 莲动下渔舟
'lian'feng'qu'tian'bu'ying'chi 连峰去天不盈尺
'lian'jun'he'shi'dao'tian'ya 怜君何事到天涯
'lian'shan'jie'hai'yu 连山接海隅
'lian'shan'ruo'bo'tao 连山若波涛
'lian'wai'chun'han'ci'jin'pao 帘外春寒赐锦袍
'liang'an'tao'hua'jia'gu'jin 两岸桃花夹古津
'liang'an'yuan'sheng'ti'bu'zhu 两岸猿声啼不住
'liang'bie'qi'bu'xiu 两别泣不休
'liang'chao'kai'ji'lao'chen'xin 两朝开济老臣心
'liang'chu'mang'mang'jie'bu'jian 两处茫茫皆不见
'liang'feng'qi'tian'mo 凉风起天末
'liang'fu'yin'cheng'hen'you'yu 梁父吟成恨有馀
'liang'ren'ba'yuan'zheng 良人罢远征
'liang'ren'yu'le'cheng'cong'ma 良人玉勒乘骢马
'liang'ren'zuo'ye'qing 良人昨夜情
'liang'si 凉思
'liang'xiang'tou'shang'jin'xian'guan 良相头上进贤冠
'liang'xiao'wu'xian'cai 两小无嫌猜
'liang'zhou'ci 凉州词
'liang'zhou'hu'ren'wei'wo'chui 凉州胡人为我吹
'liao'chi'bao'jian'dong'xing'wen 聊持宝剑动星文
'liao'dao'xin'ting'zhuo'jiu'bei 潦倒新停浊酒杯
'liao'dong'xiao'fu'nian'shi'wu 辽东小妇年十五
'liao'luo'gu'xing'gong 寥落古行宫
'liao'luo'han'shan'dui'xu'you 寥落寒山对虚牖
'liao'shu'suo'huai 聊书所怀
'liao'wei'jian'qi'xing 聊为剑器行
'liao'zhi'duan'bing'bu'gan'jie 料知短兵不敢接
'lie'jun'ou'ge'xi 列郡讴歌惜
'lie'nv'cao 烈女操
'lie'que'pi'li 裂缺霹雳
'lin'an'cao'jing'feng 林暗草惊风
'lin'biao'ming'ji'se 林表明霁色
'lin'bie'yin'qin'chong'ji'ci 临别殷勤重寄词
'lin'feng'ting'mu'chan 临风听暮蝉
'lin'gan'hu'nan'shou 临感忽难收
'lin'hun'zhang'bu'kai 林昏瘴不开
'lin'qiong'dao'shi'hong'dou'ke 临邛道士鸿都客
'lin'wo'chou'chun'jin 林卧愁春尽
'lin'xing'mi'mi'feng 临行密密缝
'lin'ying'mei'ren'zai'bai'di 临颍美人在白帝
'lin'yue'di'xiang'hou 林月低向后
'ling'bi'zheng'lian'zhe 令彼征敛者
'ling'lei'yuan'ying'liu 零泪缘缨流
'ling'ling'qi'xian'shang 泠泠七弦上
'ling'long'wang'qiu'yue 玲珑望秋月
'ling'luo'yi'cao'mu 零落依草木
'ling'shu'zhong'zhe'qian'li'mu 岭树重遮千里目
'ling'wai'yin'shu'jue 岭外音书绝
'ling'yan'gong'chen'shao'yan'se 凌烟功臣少颜色
'ling'yuan'tong'dan'mu 岭猿同旦暮
'liu'bian'ren'xie'dai'chuan'gui 柳边人歇待船归
'liu'bie'wang'shi'yu'wei 留别王侍御维
'liu'chang'qing 刘常卿
'liu'chang'qing 刘长卿
'liu'chuan'han'di'qu'zhuan'qi 流传汉地曲转奇
'liu'fang'ping 刘方平
'liu'fu'jing'qi'lu'wei'gan 柳拂旌旗露未干
'liu'gong'fen'dai'wu'yan'se 六宫粉黛无颜色
'liu'ji'xu 刘脊虚
'liu'jun'bu'fa'wu'nai'he 六军不发无奈何
'liu'lang'yi'hen'peng'shan'yuan 刘郎已恨蓬山远
'liu'li'dun'cuo 浏漓顿挫
'liu'luo'zheng'nan'jiang 流落征南将
'liu'nian'xi'gu'kong'yin'e 六年西顾空吟哦
'liu'shui'ru'you'yi 流水如有意
'liu'shui'shi'nian'jian 流水十年间
'liu'yu'xi 刘禹锡
'liu'zong'yuan 柳宗元
'liu'zui'yu'shan'weng 留醉与山翁
'long'chi'liu'se'yu'zhong'shen 龙池柳色雨中深
'long'chi'shi'ri'fei'pi'li 龙池十日飞霹雳
'long'mei'qu'jin'niao'hu'feng 龙媒去尽鸟呼风
'long'shang'yang'gui'sai'cao'yan 陇上羊归塞草烟
'long'yin'hu'xiao'yi'shi'fa 龙吟虎啸一时发
'long'zhong'zi'yu'chang'ren'shu 龙种自与常人殊
'lou'ge'ling'long'wu'yun'qi 楼阁玲珑五云起
'lou'ru'bian'shi'bu'shou'ru 陋儒编诗不收入
'lou'shang'hua'zhi'xiao'du'mian 楼上花枝笑独眠
'lu'cao'fu'han'chong 露草覆寒虫
'lu'chai 鹿柴
'lu'chu'han'yun'wai 路出寒云外
'lu'cong'jin'ye'bai 露从今夜白
'lu'ji'xiong'cai'qi'zi'bao'li'si'shui'jia'ku'bu'zao 陆机雄才岂自保李斯税驾苦不早
'lu'jia'shao'fu'yu'jin'xiang 卢家少妇郁金香
'lu'lun 卢纶
'lu'men'yue'zhao'kai'yan'shu 鹿门月照开烟树
