'a'jiu 阿舅
'qi'bao'jiu'long'chuang 七宝九龙床
'qi'dian'ba'dao 七颠八倒
'qi'duan'ba'xu 七断八续
'qi'li'bu'jia 气力不加
'qi'li'wan 七里湾
'qi'ma'jun 骑马军
'qi'mei'duan'bang 齐眉短棒
'qi'mei'gun 齐眉棍
'qi'mo'nu 漆抹弩
'qi'qing 乞请
'qi'qiu 气毬
'qi'shi'jian 七事件
'qi'shou 稽首
'qi'su 七宿
'qi'sun'ba'shang 七损八伤
'qi'xian 祁县
'qi'xian 祈县
'qi'xing 七星
'qi'xing'bao'jian 七星宝剑
'qi'xing'hao'qi 七星号旗
'qi'xing'zhen 七星阵
'qi'yun'she 齐云社
'qia'cai 恰才
'qian'bao'jin'hua'zhong 嵌宝金花钟
'qian'bao'shi'man'dai 嵌宝狮蛮带
'qian'bin 钱傧
'qian'bu'lang 千步廊
'qian'hu'men 钱湖门
'qian'hua'an 嵌花鞍
'qian'lao'er 钱老儿
'qian'liu 钱镠
'qian'niao'tou 乾鸟头
'qian'po 虔婆
'qian'shu 佥书
'qian'tang'jiang 钱塘江
'qian'tang'men 钱塘门
'qian'wang 钱王
'qian'yi 钱仪
'qian'zhe'hou'yong 前遮后拥
'qian'zhen'peng 钱振鹏
'qiang'bang 枪棒
'qiang'bang'jiao'tou 枪棒教头
'qiang'gan'ling 枪竿岭
'qiang'jiang'ru'lai 抢将入来
'qiang'jin'kai'jia 戗金铠甲
'qiang'ru'lai 抢入来
'qiang'zhu 戗柱
'qiao'dao'qing 乔道清
'qiao'lie 乔冽
'qiao'song 乔松
'qiao'yun'ge 乔郓哥
'qiao'zhe 樵者
'qiao'zheng 乔正
'qie'qi'shu'zui 切乞恕罪
'qie'ting'xia'hui'fen'jie 且听下回分解
'qie'yu 且与
'qin'fang'la 擒方腊
'qin'jie'qi'fu 亲解其缚
'qin'jun'zhi'hui'shi 亲军指挥使
'qin'ming 秦明
'qin'sheng 秦升
'qin'shui 沁水
'qin'tong'zhi 秦统制
'qin'ying 秦英
'qin'yu 亲与
'qin'yu'lan 秦玉兰
'qin'yuan 沁源
'qin'yuan'xian 沁源县
'qin'zong 钦宗
'qing'bei 擎杯
'qing'bo'men 清波门
'qing'cao'she 青草蛇
'qing'dao'ren 清道人
'qing'dao'shou 擎刀手
'qing'di 青帝
'qing'di'mu'xing 青帝木星
'qing'fan'zao'gai 青幡皂盖
'qing'feng'shan 清风山
'qing'feng'zhai 清风寨
'qing'feng'zhen 清风镇
'qing'he 清河
'qing'he'xian 清河县
'qing'he'zhen 清河镇
'qing'hu'pi 青狐皮
'qing'hua'weng'jiu 青花瓮酒
'qing'jiang 清江
'qing'jie 轻捷
'qing'jin'xian 青锦祆
'qing'long'bai'hu'qi 青龙白虎旗
'qing'long'dao 青龙刀
'qing'long'tou 青龙头
'qing'mian'shou 青面兽
'qing'ping'shi'jie 清平世界
'qing'qi 轻骑
'qing'shi'bao'ta 青石宝塔
'qing'shi'yu 青石峪
'qing'shu'yuan'bi 轻舒猿臂
'qing'shui'hao'mian 清水好绵
'qing'tian'shen 擎天神
'qing'tian'zhu 擎天柱
'qing'ting'dian'shui'shi 蜻蜓点水势
'qing'tong'dao 青铜刀
'qing'xi 清溪
'qing'xi'xian 清溪县
'qing'yan'hu 青眼虎
'qing'yi 青衣
'qing'yu'zan'er 青玉簪儿
'qing'zhe 擎着
'qing'zhong'zu'shi 清忠祖师
'qing'zhou 青州
'qing'zong'ma 青鬃马
'qiong'shi'zu 琼矢镞
'qiong'xian'feng 琼先锋
'qiong'yao 琼妖
'qiong'yao'na'yan 琼妖纳延
'qiong'ying 琼英
'qiu'dao'ren 丘道人
'qiu'lin'du 秋林渡
'qiu'lin'shan 秋林山
'qiu'xiang 丘翔
'qiu'xiao'yi 丘小乙
'qiu'yue 丘岳
'qu'de 觑得
'qu'ge'po'zhan 觑个破绽
'qu'li'chu'qing 曲利出清
'qu'lu 取路
'qu'tang'xia 瞿塘峡
'qu'xie'dian 驱邪殿
'qu'xie'gui'zheng 去邪归正
'qu'xu 屈戌
'qu'zhe 觑着
'quan'yu 全羽
'que'cai 却才
'que'hua'gong 雀画弓
'que'hua'gong 鹊画弓
'que'you'zuo'guai 却又作怪
'que'yu 却与
'que'zai'li'hui 却再理会
'que'zao 却早
'que'zhu 阙翥
'qun'dao'shou 群刀手
'ren'fu 人夫
'ren'jun'qi 认军旗
'ren'kun'ma'fa 人困马乏
'ren'rou'zuo'fang 人肉作坊
'ren'rou'zuo'fang 人肉作房
'ren'tui 人腿
'ren'yuan 任原
'ren'zong 仁宗
'ri'yue'shuang'dao 日月双刀
'ru'bo 入钹
'ru'long'da'mang 如龙大蟒
'ru'nan 汝南
'ru'ning'jun'dou'tong'zhi 汝宁郡都统制
'ru'ning'zhou 汝宁州
'ru'qu 入去
'ru'yi'zi 如意子
'ru'yun'long 入云龙
'ru'zhou 洳州
'ruan'sha'tang'jin 软纱唐巾
'ruan'shi'san'xiong 阮氏三雄
'ruan'xiao'er 阮小二
'ruan'xiao'qi 阮小七
'ruan'xiao'wu 阮小五
'rui'long'zhen 瑞龙镇
'rui'si'dian 睿思殿
'run'zhou 润州
'sa'jia 洒家
'sai'bo'dang 赛伯当
'sai'ren'gui 赛仁贵
'sai'shen'hui 赛神会
'san'bei'jian 三背间
'san'cai'jiu'yao'qi 三才九曜旗
'san'cun'ding'gu'shu'pi 三寸丁谷树皮
'san'da'wang 三大王
'san'du'ji'bu'shi'chen 三都缉捕使臣
'san'gai'shan 伞盖山
'san'gu'cha 三股叉
'san'gu'chi 潵骨池
'san'guan'dian 三官殿
'san'jian'liang'ren'dao 三尖两刃刀
'san'jin'shan'chuan'tu 三晋山川图
'san'mei'shen'shui 三昧神水
'san'mei'shen'shui'de'fa 三昧神水的法
'san'qing'dian 三清殿
'san'wan'bu'guo'gang 三碗不过冈
'san'xian'tang 三贤堂
'san'ya'tai'wei 三衙太尉
'san'ya'yan'kou'zi'xu 三牙掩口髭须
'sang'jia'wa 桑家瓦
'sang'jia'zhi'gou 丧家之狗
'sang'men'jian 丧门剑
'sang'men'shen 丧门神
'sang'ying 桑英
'se'yi'shuang'jue 色艺双绝
'seng'xie 僧鞋
'sha'jiang'chu'lai 杀将出来
'sha'jiang'lai 杀将来
'sha'jiang'ru'lai 杀将入来
'sha'men'dao 沙门岛
'sha'mo 沙漠
'sha'niu'zai'ma 杀牛宰马
'sha'qi'cong'zhong 杀气丛中
'sha'wei'bang 杀威棒
'sha'xiao'sheng 沙小生
'shai'jiu 筛酒
'shai'luo 筛锣
'shan'dong 山东
'shan'dou'jian 山都监
'shan'huo 煽惑
'shan'jiang'ru'lai 闪将入来
'shan'li'si 山里寺
'shan'nan 山南
'shan'shi'qi 山士奇
'shan'xi 陕西
'shan'zhou 陕州
'shang'dang 上党
'shang'guan'yi 上官义
'shang'jie'ao'er 上截袄儿
'shang'jin'xian 上津县
'shang'qing'gong 上清宫
'shang'shu 尚书
'shang'ying 上应
'shang'ying'tian'xing 上应天星
'shao'bang 哨棒
'shao'gong 梢公
'shao'gong 艄公
'shao'hua'shan 少华山
'shao'jun 邵俊
'shao'long'jun 邵龙君
'shao'lu 哨路
'shao'ma 哨马
'shao'po 艄婆
'she'hu'jian 射虎箭
'she'huo'dui 社火队
'she'jian'wei'shi 折箭为誓
'she'li 阇黎
'she'zhang 社长
'she'zhe 奢遮
'she'zhou 歙州
'she'zhu'zhen'jiao 射住阵脚
'shen'an 沈安
'shen'bi'jiang'jun 神臂将军
'shen'bian 沈抃
'shen'bing'fa 神兵法
'shen'chu 神厨
'shen'ci 神祠
'shen'da'wen'shu 申达文书
'shen'gang 沈刚
'shen'huo'jiang 神火将
'shen'huo'jiang'jun 神火将军
'shen'ji 沈骥
'shen'ji'jun'shi 神机军师
'shen'jian'jiang'jun 神箭将军
'shen'jiang 神将
'shen'ju'zi 神驹子
'shen'me 甚么
'shen'me'niao 甚么鸟
'shen'nong'miao 神农庙
'shen'pai 申牌
'shen'shou 沈寿
'shen'shui 沈水
'shen'shui'yan 神水眼
'shen'suan'zi 神算子
'shen'xing 神行
'shen'xing'fa 神行法
'shen'xing'tai'bao 神行太保
'shen'yi 神医
'shen'ze 沈泽
'shen'zong 神宗
'sheng'ben 盛本
'sheng'chen'gang 生辰纲
'sheng'shou'shu'sheng 圣手书生
'sheng'shui'jiang 圣水将
'sheng'shui'jiang'jun 圣水将军
'sheng'tie'fo 生铁佛
'sheng'tie'wang'yuan'wai 生铁王员外
'sheng'yao'pu 生药铺
'sheng'yuan'guan 省院官
'shi'ba'ban'wu'yi 十八般武艺
'shi'bao 石宝
'shi'cao 市曹
'shi'da'lang 史大郎
'shi'ding 史定
'shi'en 施恩
'shi'guan'ying 施管营
'shi'huan 事环
'shi'huo'zhu 室火猪
'shi'jia'cun 史家村
'shi'jia'zhuang 史家庄
'shi'jiang'jun 石将军
'shi'jie 石碣
'shi'jie'cun 石碣村
'shi'jie'du 十节度
'shi'jin 史进
'shi'jing 石敬
'shi'jun 施俊
'shi'lang 侍郎
'shi'li'pai 十里牌
'shi'li'qu 屎里蛆
'shi'mian'mai'fu'zhi'ji 十面埋伏之计
'shi'pan'shan 石盘山
'shi'pao 石炮
'shi'qian 时迁
'shi'qiang'nong'bang 使枪弄棒
'shi'shi'shan 石室山
'shi'shu'tie'quan 誓书铁券
'shi'tai'gong 史太公
'shi'tou'bu'hao 势头不好
'shi'wen'bin 时文彬
'shi'wen'gong 史文恭
'shi'xin'feng 失心风
'shi'xiu 石秀
'shi'xun 石逊
'shi'ye 是夜
'shi'yi'yao'da'jiang 十一曜大将
'shi'yong 石勇
'shi'zhe 侍者
'shi'zi 狮子
'shi'zi'jie 狮子街
'shi'zi'kou 狮子口
'shi'zi'kui 狮子盔
'shi'zi'lou 狮子楼
'shi'zi'po 十字坡
'shi'zi'qiao 狮子桥
'shou'cheng'jun'shi 守城军士
'shou'chun 寿春
'shou'gao 首告
'shou'lian'xiong 瘦脸熊
'shou'lu 手炉
'shou'ming'pu 守命扑
'shou'xiao'de 收小的
'shou'zhang 寿张
'shou'zhang'xian 寿张县
'shou'zuo 首座
'shu'chu 舒出
'shu'e 熟鹅
'shu'ji 书记
'shu'ji 熟鸡
'shu'juan'shui'kun 熟绢水裈
'shu'mi 枢密
'shu'mi'guan 枢密官
'shu'mi'shi 枢密使
'shu'mi'yuan 枢密院
'shu'mi'yuan'tong'zhi 枢密院同知
'shu'niu'rou 熟牛肉
'shu'pi'ma'jia 熟皮马甲
'shu'pi'xue 熟皮靴
'shu'yao 暑药
'shu'yao'jin'dai 束腰金带
'shu'yu 输与
'shuai'fu'zhang'shi 帅府长史
'shuai'zi'qi 帅字旗
'shuang'bian 双鞭
'shuang'dao 双刀
'shuang'feng'jian 霜锋剑
'shuang'lin'zhen 双林镇
'shuang'qiang'jiang 双枪将
'shuang'wei'xie 双尾蝎
'shui'gao 水篙
'shui'hu 水浒
'shui'hu'zhai 水浒寨
'shui'huo'gun 水火棍
'shui'huo'keng 水火坑
'shui'jun'du'du 水军都督
'shui'jun'zong'guan 水军总管
'shui'lu'bing'jin 水陆并进
'shui'lu'ju'bei 水陆俱备
'shui'lu'tong'jun 水路统军
'shui'men 水门
'shui'mo 水磨
'shui'mo'bian 水磨鞭
'shui'ping'qiang 水平枪
'shui'shen 水神
'shui'shou 水手
'shun'shou'gao 顺受高
'shuo'feng'qing 说风情
'shuo'shen'me 说甚么
'shuo'yan'wei'liao 说言未了
'shuo'you'wei'le 说犹未了
'shuo'yu'ni 说与你
'si'dou'wu'fang'qi 四斗五方旗
'si'hai'zhi'nei 四海之内
'si'han'tian'shi 嗣汉天师
'si'huan'tou 四换头
'si'jia 死枷
'si'leng'jian 四棱简
'si'li'shan 寺里山
'si'liu'cun 四柳村
'si'men'dou'di'zhen 四门斗底阵
'si'pai 巳牌
'si'sheng'guan 四圣观
'si'shui 汜水
'si'shui 泗水
'si'tian'jian 司天监
'si'tian'tai'jian 司天太监
'si'wei'jiang 四威将
'si'xing'fang 司行方
'si'yu'si 司狱司
'si'zhou 泗州
'song'an'ping 宋安平
'song'bing 宋兵
'song'gao'zong 宋高宗
'song'gong'ming 宋公明
'song'he'xuan 松鹤轩
'song'hui'zong 宋徽宗
'song'jia'cun 宋家村
'song'jia'zhuang 宋家庄
'song'jian 宋鉴
'song'jiang 宋江
'song'jiang 松江
'song'jun 宋军
'song'lao'er 宋老儿
'song'qin'zong 宋钦宗
'song'qing 宋清
'song'ren'zong 宋仁宗
'song'san'lang 宋三郎
'song'shan 嵩山
'song'shen'zong 宋神宗
'song'shi 宋氏
'song'shu'hua'ren 松树化人
'song'si'lang 宋四郎
'song'tai'gong 宋太公
'song'wan 宋万
'song'wen'gu'ding'jian 松文古定剑
'song'xian'feng 宋先锋
'song'xing'zhu 宋星主
'song'ya'si 宋押司
'song'ying'zong 宋英宗
'song'you'lie 宋有烈
'song'yu'lian 宋玉莲
'song'zhe'zong 宋哲宗
'song'zhen 宋阵
'song'zhou 嵩州
'sou'di 飕地
'su'ding 苏定
'su'gong'di 苏公堤
'su'ji 苏吉
'su'jing 苏泾
'su'luo'pao 素罗袍
'su'se'luo'pao 素色罗袍
'su'shi 苏轼
'su'tai'wei 宿太尉
'su'xian 粟县
'su'yuan'jing 宿元景
'su'zhou 苏州
'su'zhuan 素馔
'suan'ni 狻猊
'suan'tiao'jin 蒜条金
'suan'zao'men 酸枣门
'sui'bi 岁币
'sui'zhi 随直
'sui'zhou 睢州
'sun'an 孙安
'sun'ding 孙定
'sun'er'niang 孙二娘
'sun'fo'er 孙佛儿
'sun'li 孙立
'sun'lin 孙琳
'sun'ma 摌马
'sun'qi 孙琪
'sun'ru'hu 孙如虎
'sun'ti'xia 孙提辖
'sun'wu 孙五
'sun'xin 孙新
'sun'zhong 孙忠
'suo'chao 索超
'suo'xian 索贤
'suo'zi'huang'jin'jia 锁子黄金甲
'suo'zi'jia 锁子甲
'ta'bai'ma'jun 踏白马军
'ta'nu 踏弩
'ta'tou 塔头
'tai'an 泰安
'tai'an'zhou 泰安州
'tai'bai 太白
'tai'bai'jin'xing 太白金星
'tai'bai'shen 太白神
'tai'cang 太仓
'tai'gong 太公
'tai'hang 太行
'tai'hu 太湖
'tai'hu'jiao 太湖蛟
'tai'ping'che'zi 太平车子
'tai'ping'jun 太平军
'tai'shi 太师
'tai'shi'fu 太师府
'tai'shi'yuan'si'tian'jian 太史院司天监
'tai'shou 太守
'tai'sui'shen 太岁神
'tai'wei 太尉
'tai'wei'fu 太尉府
'tai'yang'xing 太阳星
'tai'yi'dian 太乙殿
'tai'yi'gong 泰乙宫
'tai'yi'hun'tian'xiang'zhen 太乙混天象阵
'tai'yi'san'cai 太乙三才
'tai'yi'san'cai'zhen 太乙三才阵
'tai'yi'yuan 太乙院
'tai'yi'yuan 太医院
'tai'yi'zhen'jun 太乙真君
'tai'yin'xing 太阴星
'tai'yuan 太原
'tai'yuan'fu 太原府
'tai'yuan'xian 太原县
'tai'zhen'fu'ma 太真驸马
'tai'zhen'xu'qing 太真胥庆
'tai'zhi 台旨
'tan'gao 谭高
'tan'yue 檀越
'tan'zhou 檀州
'tan'zhou 潭州
'tang'bin 唐斌
'tang'chang 唐昌
'tang'er'ge 唐二哥
'tang'feng'shi 汤逢士
'tang'huo 倘或
'tang'jia'wa 唐家瓦
'tang'long 汤隆
'tang'niu 唐牛
'tang'niu'er 唐牛儿
'tang'tang'yi'biao 堂堂一表
'tang'xian 唐显
'tang'you'shu'shi 倘有疏失
'tang'zhen'lu 汤镇路
'tang'zhi'zhai 汤知寨
'tang'zhou 唐州
'tao'fang'la 讨方腊
'tao'hua'cun 桃花村
'tao'hua'shan 桃花山
'tao'hua'zhuang 桃花庄
'tao'suo 套索
'tao'yuan'ling 桃源岭
'tao'zong'wang 陶宗旺
'teng'dian 藤簟
'teng'fu'yin 滕府尹
'teng'kan 滕戡
'teng'kui 滕戣
'teng'tiao 藤条
'teng'zhou 滕州
'ti'dian 提点
'ti'gu'jian'dao 剔骨尖刀
'ti'ji'ren 体己人
'ti'sha'yang 踢杀羊
'ti'shi'si'jian 提事司监
'ti'tian'xing'dao 替天行道
'ti'xia 提辖
'ti'xue'wu'zhui 踢雪乌骓
'ti'xue'wu'zhui'ma 踢雪乌骓马
'tian'an'xing 天暗星
'tian'bai'xing 天败星
'tian'bao 田豹
'tian'bao'xing 天暴星
'tian'biao 田彪
'tian'cheng 田塍
'tian'chi 天池
'tian'chi'ling 天池岭
'tian'ding 田定
'tian'fu 天浮
'tian'fu'xing 天富星
'tian'gang 天罡
'tian'gang'xing 天罡星
'tian'gu'xing 天孤星
'tian'gui'xing 天贵星
'tian'han'qiao 天汉桥
'tian'han'zhou'qiao 天汉州桥
'tian'hu 田虎
'tian'hui'xing 天慧星
'tian'ji'xing 天机星
'tian'jian'xing 天剑星
'tian'jie'xing 天捷星
'tian'jiu'xing 天究星
'tian'ke'lian'jian 天可怜见
'tian'kong'xing 天空星
'tian'ku'xing 天哭星
'tian'kui'xing 天魁星
'tian'lao'xing 天牢星
'tian'li'xing 天立星
'tian'man'xing 天满星
'tian'men'kai 天门开
'tian'meng'xing 天猛星
'tian'mu'jiang 天目将
'tian'ping'xing 天平星
'tian'qiao'xing 天巧星
'tian'sha'xing 天杀星
'tian'shan'yong 天山勇
'tian'shang'xing 天伤星
'tian'shi 天使
'tian'shi 天师
'tian'shi 田实
'tian'shou'gong'zhu 天寿公主
'tian'shou'xing 天寿星
'tian'shui 天水
'tian'su'xing 天速星
'tian'sun'xing 天损星
'tian'tai'shan 天台山
'tian'tui'xing 天退星
'tian'wang'tang 天王堂
'tian'wei'xing 天威星
'tian'wei'xing 天微星
'tian'xia'wu'dui 天下无对
'tian'xian'xing 天闲星
'tian'xiong'xing 天雄星
'tian'yi'xing 天异星
'tian'ying'xing 天英星
'tian'yong'xing 天勇星
'tian'you'xing 天佑星
'tian'zhong'jie 天中节
'tian'zui'xing 天罪星
'tiao'jian'hu 跳涧虎
'tiao'jiang'xia'lai 跳将下来
'tiao'mi 粜米
'tie'bang 铁棒
'tie'bi'bo 铁臂膊
'tie'chu 铁锄
'tie'di'xian 铁笛仙
'tie'gao 铁篙
'tie'gua'chui 铁瓜锤
'tie'hu'lu 铁葫芦
'tie'ji'li 铁蒺藜
'tie'jiang'pu 铁匠铺
'tie'jiao'zi 铁叫子
'tie'jie'chi 铁界尺
'tie'li'zhu'chong 铁里蛀虫
'tie'mian'kong'mu 铁面孔目
'tie'niu 铁牛
'tie'pao 铁炮
'tie'qi 铁骑
'tie'qi'ma'jun 铁骑马军
'tie'sao'zhou 铁扫帚
'tie'shan'zi 铁扇子
'tie'shu'hou'si 贴书后司
'tie'suan'zi 铁算子
'tie'tai'gong 铁胎弓
'tie'yan'xin 铁掩心
'tie'zuan'mu'gao 铁钻木篙
'ting'qi 挺起
'tong'bi'yuan 通臂猿
'tong'bian 铜鞭
'tong'di'shan 铜鞮山
'tong'fo'si 铜佛寺
'tong'ge'xing'ming 通个姓名
'tong'guan 童贯
'tong'jiao'xiu 童娇秀
'tong'jun 统军
'tong'jun'da'jiang 统军大将
'tong'jun'ti'xia 统军提辖
'tong'li'he 童里合
'tong'lian 铜链
'tong'ling 统领
'tong'ling'shi 统领使
'tong'lu 桐庐
'tong'lu'xian 桐庐县
'tong'meng 童猛
'tong'pan 通判
'tong'shi 童贳
'tong'shu'mi 童枢密
'tong'wei 童威
'tong'yun 彤云
'tong'zhi 同知
'tong'zhi 统制
'tong'zhi'guan 统制官
'tong'zi'huang'di 童子皇帝
'tou'mian 头面
'tou'ming'zhuang 投名状
'tou'ping'xiang 透瓶香
'tou'shi'bu'hao 头势不好
'tou'tuo 头陀
'tu'bing 土兵
'tu'bu'dai 土布袋
'tu'di'da'wang'miao 土地大王庙
'tu'ge'men'hu 吐个门户
'tu'lao 土牢
'tu'qi 突骑
'tuan'lian 团练
'tuan'lian'shi 团练使
'tui'bei'tu 推背图
'tui'beng'hu'xi 腿绷护膝
'tui'bing 腿絣
'tui'bing'hu'xi 腿絣护膝
'tui'guan 推官
'tui'jin'shan 推金山
'tun'xiang'wan'she 吞象顽蛇
'tun'zha 屯扎
'tun'zhu 屯驻
'tuo'di 托地
'tuo'gu 鼍鼓
'tuo'ta'tian'wang 托塔天王
'wa'guan'zhi'si 瓦罐之寺
'wa'li'chang 瓦砾场
'wan'fu 万福
'wan'fu'bu'dang'zhi'yong 万夫不当之勇
'wan'qing'chi 万顷池
'wan'shi'jie'xiu 万事皆休
'wan'shou'men 万寿门
'wan'song'lin 万松林
'wan'xin'jian'dao 剜心尖刀
'wan'xin'wang 剜心王
'wan'yan'liang 完颜亮
'wan'zhou 宛州
'wan'zi'cheng 宛子城
'wan'zi'tou'jin 万字头巾
'wang'ai'hu 王矮虎
'wang'ban'zhi 王班直
'wang'bing 王禀
'wang'dao'ren 王道人
'wang'ding 王定
'wang'ding'liu 王定六
'wang'du'wei 王都尉
'wang'fu 王黼
'wang'gong 王公
'wang'guan'cha 王观察
'wang'guan'ying 王管营
'wang'hua 王砉
'wang'huan 王焕
'wang'ji 王吉
'wang'ji 王绩
'wang'jia'ke'dian 王家客店
'wang'jiang 王江
'wang'jiao'jiao 王娇娇
'wang'jiao'tou 王教头
'wang'jin 王瑾
'wang'jin 王进
'wang'jing 王景
'wang'kong'mu 王孔目
'wang'lei'yan 尪羸眼
'wang'lun 王伦
'wang'po 王婆
'wang'qing 王庆
'wang'ren 王仁
'wang'she'zhang 王社长
'wang'shen 王诜
'wang'sheng 王升
'wang'si 王四
'wang'tai'gong 王太公
'wang'tai'shou 王太守
'wang'wen'bin 王文斌
'wang'wen'de 王文德
'wang'xiao'er 王小二
'wang'ya'si 王押司
'wang'yan'zhang 王彦章
'wang'yi 王义
'wang'yin 王寅
'wang'ying 王英
'wang'you'jin 王有金
'wang'yuan 王远
'wang'yuan'wai 王员外
'wang'zheng 王正
'wang'zi 望子
'wei'ding 未定
'wei'ding'guo 魏定国
'wei'he 卫河
'wei'he 卫鹤
'wei'he 渭河
'wei'heng 卫亨
'wei'huo'hu 尾火虎
'wei'li 委吏
'wei'na 维那
'wei'pai 未牌
'wei'qiao 渭桥
'wei'shang'shu 伪尚书
'wei'sheng 威胜
'wei'sheng'cheng 威胜城
'wei'sheng'zhou 威胜州
'wei'shou 伪授
'wei'si 尉司
'wei'tu'zhi 胃土雉
'wei'yue'yan 危月燕
'wei'zhi'zun'yi 未知尊意
'wei'zhong 卫忠
'wei'zhou 卫州
'wei'zhou 渭州
'wen'an 文安
'wen'can'mou 闻参谋
'wen'da 闻达
'wen'da'dao 闻大刀
'wen'de'dian 文德殿
'wen'huan'zhang 闻焕章
'wen'ke'rang 温克让
'wen'miao 文庙
'wen'ren'shi'chong 闻人世崇
'wen'shang'xian 汶上县
'wen'shu'si 文殊寺
'wen'wen'bao 温文宝
'wen'wu'shuang'sui'tao 文武双穗绦
'wen'yan'bo 文彦博
'wen'yi 瘟疫
'wen'zhong'rong 文仲容
'weng'fei 翁飞
'weng'kui 翁奎
'wo'gong 窝弓
'wo'ju 蜗居
'wo'pu 窝铺
'wo'qie 我且
'wu'bing'yi 吴秉彝
'wu'cheng 吴成
'wu'da 武大
'wu'da'lang 武大郎
'wu'de'dai'fu 武德大夫
'wu'du'tou 武都头
'wu'er 武二
'wu'fan'hu'wei 误犯虎威
'wu'fang'qi 五方旗
'wu'fu 邬福
'wu'gang'zhen 武冈镇
'wu'gong'dai'fu 武功大夫
'wu'gong'ling 蜈蚣岭
'wu'gong'pai'fang 武功牌坊
'wu'gu'cha 五股叉
'wu'guo'jiu 邬国舅
'wu'hou'ba'zhen'tu 武侯八阵图
'wu'hu 五虎
'wu'hu'jiang 五虎将
'wu'hu'kao'shan'zhen 五虎靠山阵
'wu'hua'du'die 五花度牒
'wu'jiang 吴江
'wu'jiao'shou 吴教授
'wu'jie'jiang'jun 武节将军
'wu'lei'tian'gang'zheng'fa 五雷天罡正法
'wu'li 邬梨
'wu'li'ke'an 乌利可安
'wu'long'da'wang 乌龙大王
'wu'long'ling 乌龙岭
'wu'long'shan 五龙山
'wu'long'shen'miao 乌龙神庙
'wu'long'tui'gu'zhi'fa 乌龙蜕骨之法
'wu'lun 五轮
'wu'neng 武能
'wu'pai 午牌
'wu'que'qiao 乌鹊桥
'wu'san'bu'guo'wang 无三不过望
'wu'shan 吴山
'wu'she 武涉
'wu'sheng 吴升
'wu'sheng 武胜
'wu'sheng'jun 武胜军
'wu'shi 兀是
'wu'shi 武师
'wu'shun 武顺
'wu'song 武松
'wu'su 伍肃
'wu'tai'fu'di 五台福地
'wu'tai'shan 五台山
'wu'wei'jun 无为军
'wu'xi'xian 无锡县
'wu'xiang 武乡
'wu'xiang'xian 武乡县
'wu'xing'zhe 武行者
'wu'xue'jiu 吴学究
'wu'xue'yu 武学谕
'wu'yan 兀颜
'wu'yan'guang 兀颜光
'wu'yan'tong'jun 兀颜统军
'wu'yan'yan'shou 兀颜延寿
'wu'yao'zi 五幺子
'wu'yi'lang 武奕郎
'wu'yi'shi 无移时
'wu'yin'shan 五阴山
'wu'ying'dian 武英殿
'wu'ying'xing 伍应星
'wu'yong 吴用
'wu'you'dui'qian'kai'jia 乌油对嵌铠甲
'wu'you'jia 乌油甲
'wu'you'lv 无忧履
'wu'yue'lou 五岳楼
'wu'yun'shan 五云山
'wu'zhen 吴珍
'wu'zhi 吴值
'wu'zhui'ma 乌骓马
'wu'zi 兀自
'wu'zi 杌子
'wu'zuo 仵作
'xi'chuan 西川
'xi'hua'men 西华门
'xi'jing 西京
'xi'ling'qiao 西陵桥
'xi'men'da'guan'ren 西门大官人
'xi'men'da'lang 西门大郎
'xi'men'qing 西门庆
'xi'que 喜雀
'xi'ruan'zhi'wu 细软之物
'xi'shan 西山
'xi'sheng 奚胜
'xi'wa'zi 西瓦子
'xi'xi'cun 西溪村
'xi'zhu'long 戏珠龙
'xia'chuang 匣床
'xia'hou'cheng 夏侯成
'xia'jiang 峡江
'xia'ma'bei 下马杯
'xian'bang 限棒
'xian'che 陷车
'xian'dao'shen 险道神
'xian'feng 先锋
'xian'feng'shi 先锋使
'xian'han 闲汉
'xian'jiu 仙酒
'xian'liang'guan 闲凉官
'xian'luo'guo 暹罗国
'xian'ma'keng 陷马坑
'xian'wei 县尉
'xian'yao 纤腰
'xian'yu 献与
'xian'yu'lei'xie 陷于缧绁
'xian'zai 陷在
'xian'zao 仙枣
'xiang'ban 象板
'xiang'chong 项充
'xiang'fan 相烦
'xiang'fu'xian 祥符县
'xiang'gong 相公
'xiang'guan 厢官
'xiang'guan 象管
'xiang'guo'si 相国寺
'xiang'hua'deng'zhu 香花灯烛
'xiang'jian 响箭
'xiang'jin'jun 厢禁军
'xiang'lin'wa 香林洼
'xiang'pu 相扑
'xiang'qun 湘裙
'xiang'shui 襄水
'xiang'yuan 襄垣
'xiang'yuan'cheng 襄垣城
'xiang'yuan'xian 襄垣县
'xiang'yuan'zhen 项元镇
'xiang'zhong 项忠
'xiang'zhou 襄州
'xiao'ao'shan 小鳌山
'xiao'ba'wang 小霸王
'xiao'biao'jiang 小彪将
'xiao'da'guan 萧大观
'xiao'dan 萧憺
'xiao'gu'shan 小孤山
'xiao'hang'shan 小行山
'xiao'hou'zi 小猴子
'xiao'hu'sun 小猢狲
'xiao'hua'guang 小华光
'xiao'huang'men 小黄门
'xiao'jia'sui 萧嘉穗
'xiao'jiang 骁将
'xiao'jie'ji 小节级
'xiao'jin'zhang 销金帐
'xiao'jin'zhang'zi 销金帐子
'xiao'jun 小军
'xiao'lang'jun 小郎君
'xiao'lao'zi 小牢子
'xiao'le'yuan'ben 笑乐院本
'xiao'li 小吏
