'a'bu'feng 阿部丰
'zhong'hua'jie'yu'zhong'de'si'ceng'xiang'shi 中华街雨中的似曾相识
'zhong'sen'jing'guan 中森警官
'zhong'sen'qing'zi 中森青子
'zhong'sen'yin'san 中森银三
'zhong'song'ming'nan 重松明男
'zhong'tou'jiang 中头奖
'zhong'yao'de'ren 重要的人
'zhong'yao'xian'yi'ren 重要嫌疑人
'zhu'bao'man'xiong 猪保满雄
'zhu'di 朱蒂
'zhui'luo'de'shi'ti 坠落的尸体
'zhui'luo'shi'jian'de'yin'qing 坠落事件的隐情
'zhui'zhu'sheng'yin 追逐声音
'zhui'zong'mu'biao 追踪目标
'zi'fu'er'xing'xing 兹夫尔行星
'zi'hong'zhi'zhao 紫红之爪
'zong'he'bing'yuan'sha'ren'shi'jian 综合病院杀人事件
'zong'huo'kuang 纵火狂
'zou'tou'wu'lu'de'ming'zhen'tan 走头无路的名侦探
'zou'tou'wu'lu'de'ming'zhen'tan'lian'xu'liang'da'sha'ren'shi'jian 走投无路的名侦探连续两大杀人事件
'zu'qiu'xuan'shou'kong'he'shi'jian 足球选手恐吓事件
'zu'zhou'mian'ju'de'leng'xiao 诅咒面具的冷笑
'zui'chu'de'zhao'hu 最初的招呼
'zui'hou'de'ke'neng'xing 最后的可能性
'zui'hou'de'shan'guang 最后的闪光
'zui'hou'de'wang'pai 最后的王牌
'zui'hou'de'xin 最后的心
'zui'hou'de'yi'yan 最后的遗言
'zui'hou'yi'jian 最后一箭
'zui'zai'sa'mo'de'xiao'wu'lang 醉在萨摩的小五郎
'zui'zhong'bo'ying'sha'ren'shi'jian 最终播映杀人事件
'zui'zhong'shou'duan 最终手段
'zuo'meng'de'di'fang 作梦的地方
'zuo'shan'ming'zi 佐山明子
'zuo'teng'de'gan'qing 佐藤的感情
'zuo'teng'de'sheng'suan 佐藤的胜算
'zuo'teng'de'xin'yi 佐藤的心意
'zuo'teng'jing'guan 佐藤警官
'zuo'teng'mei'he'zi 佐藤美和子
'zuo'teng'xiang'qin 佐藤相亲
'zuo'zuo'mu'cang'zhi'jie 佐佐木藏之介
