'ai'min'ru'zi 爱民如子
'xi'lin'nong'jia'yuan'yuan'chun 喜临农家院院春
'xi'long'yi 袭龙衣
'xi'mang'mang'kong'kuo'wu'bian 喜茫茫空阔无边
'xi'qing'nian'tou'shou'shan'chuan 喜庆年头寿山川
'xi'que'yi'sheng'ying'chun'lai 喜鹊一声迎春来
'xi'rong'xing'fu'ren'jia 喜融幸福人家
'xi'yu'jia'qin'zhuan'hou'si 细羽家禽砖后死
'xi'yuan'han'mo'lin 西园翰墨林
'xi'zhu'ling'yi 西翥灵仪
'xi'zi'zi'ying'xin'chun 喜滋滋迎新春
'xi'zuo'yue'lao'qian'hong'xian 喜作月老牵红线
'xia'ding'shang'yi'chuan'liu'qian'gu 夏鼎商彝传流千古
'xian'chu'lu'shan'zhen'mian'mu 现出庐山真面目
'xian'chu'xiong'di'jie'mei'qing 献出兄弟姐妹情
'xian'chu'xu'mei'dou'huo'po 现出须眉都活泼
'xian'chuan'zhen'zhen'yin'xian 线穿针针引线
'xian'cong'xiao'yue'huan'si'lun 先从晓月焕丝纶
'xian'feng'er'xian'zhui 线缝而线缀
'xian'qu'chong'er'zuo'feng 衔去虫而作凤
'xian'ren'mian'jin'xian'ren'jin 闲人免进贤人进
'xian'zhong'can'miao'li 弦中参妙理
'xiang'fen'hua'shang'lu 香分花上露
'xiang'han'xi'lou'chuan 想汉习楼船
'xiang'kan'wan'li'ren 相看万里人
'xiang'mei'han'bao'nu'fang 香梅含苞怒放
'xiang'sheng'yi'wo'feng 香生一握风
'xiang'shui'chi'zhong'chi'shui'xiang 响水池中池水响
'xiang'shui'yi'fen'fang 香水溢芬芳
'xiang'song'chun'feng'ling'shen'shuang 香送春风令神爽
'xiang'yang'men'di'chun'chang'zai 向阳门第春常在
'xiang'you'ru'yan'xian'lai 香由乳燕衔来
'xiao'di'zhong'xin'li'yi'lian 孝弟忠信礼义廉
'xiao'fei'jun'mo'xi 小费君莫惜
'xiao'hou'zi'ye'gan'dui'ju 小猴子也敢对锯
'xiao'pin'kan'zhi'zhuo'yi 小品堪制桌椅
'xiao'ren'quan'zhang'da'ren'zhe 小人全仗大人遮
'xiao'rong'chang'zai'xiao'kou'chang'kai 笑容常在笑口常开
'xiao'shu'fen'ye'zhu'zuo'cheng'lin 校书分叶著作成林
'xiao'xi'jie'liu'tong'bao'dao'mei'hua'wu'yang 消息借流通报道梅花无恙
'xiao'yin'feng'nian'jiu'yi'bei 笑饮丰年酒一杯
'xiao'ying'ying'ci'jiu'sui 笑盈盈辞旧岁
'xiao'ying'ying'ying'gu'ke 笑盈盈迎顾客
'xiao'ying'yuan'ke'an'ju 笑迎远客安居
'xiao'yuan'fei'teng'chun'lai'zao 校园沸腾春来早
'xie'qu'huang'li'pin'song'yun 解趣黄鹂频送韵
'xie'tian'xie'di'xie'jun'wang 谢天谢地谢君王
'xie'xiao'qi'da'nai'wei'jian 屑小欺大乃谓尖
'xin'jian'yun'bi'lu'tang'shi 新笺匀碧录唐诗
'xin'neng'shou'zheng'wu'si'wu'pian 心能守正无私无偏
'xin'nian'xin'sui'xin'jing 新年新岁新景
'xin'si'cao'chao 心思槽巢
'xin'sui'xin'chun'xin'ren 新岁新春新人
'xin'xue'qin'jiao'dong'liang'cai 心血勤浇栋梁材
'xin'yue'ru'gong 新月如弓
'xing'jie'jian'hua 行节俭画
'xing'lu'wu'lao'san'gai'zhang 行路无劳伞盖张
'xing'xing'qie'zhi 行行且止
'xing'xing'xing 行行行
'xing'xing'xing'xing'xing'xing'xing 行行行行行行行
'xiong'ji'san'chang'song'la'qu 雄鸡三唱送腊去
'xiong'luo'wan'xiang'xiu'cheng'shang'yuan'qi'pa 胸罗万象绣成上苑奇葩
'xiong'zhong'ju'cheng'zhu 胸中具成竹
'xiu'cheng'feng'cai'zi'cheng'wen 绣成凤彩自成文
'xiu'chu'cao'mu'hua 绣出草木花
'xiu'jiu'shi'fan'xin'qi'xiang 修就是番新气象
'xiu'qu'pan'ling'bi'liu'fei'qian'li 修渠攀岭碧流飞千里
'xiu'zhuan'bao'chong'xiu'zhuan'fu 馐馔饱充修撰腹
'xiu'zhuan'jin'xiu 修撰进馐
'xu'du'wu'che'shu 须读五车书
'xu'ri'chu'lin'ke'zao'lai 旭日初临客早来
'xu'ri'heng'kong'chu'shi 旭日横空出世
'xu'ri'rong'he'kai'liu'yan 旭日融和开柳眼
'xu'xin'cheng'da'qi 虚心成大器
'xuan'jiang'xiao'ri'yue 悬将小日月
'xue'bu'zi'man'qiu'chuang'xin 学不自满求创新
'xue'hai'wu'ya'qin'ke'du 学海无涯勤可渡
'xue'hua'zi'run'ze 雪花资润泽
'xue'jia'xin'zhi'qiao 薛家新制巧
'xue'piao'mei'ling 雪飘梅岭
'xue'ping'shan'ling'pu'da'dao 削平山岭铺大道
'xue'wu'hong'mei'yuan'duo'xiang 雪舞红梅院多祥
'xue'xiu'yang'ban'shi'yi'si'bu'gou 学修养办事一丝不苟
'xue'ying'feng'shou'guo 雪映丰收果
'xue'zhong'song'tan'jia'jia'nuan 雪中送炭家家暖
'yan'fan'yu'jian'chuan'hong'yu 燕翻玉剪穿红雨
'yan'qian'yan 檐前燕
'yan'qu'zi'qing'xin 咽去自清心
'yan'shen'cun'xie 言身寸谢
'yan'si'wu 烟似雾
'yan'suo'chi'tang'liu 烟锁池塘柳
'yan'wang'kong'ming 眼望孔明
'yan'wu'ying'ge'xi'ying'zai'di 燕舞莺歌喜盈在地
'yan'xi'shan'guo'wu'xi 阎锡山过无锡
'yan'yang'zhao'da'di 艳阳照大地
'yan'yun'qiu'he'zhe'zhi'er'cheng 烟云邱壑着纸而成
'yan'zhi'run'se'piao'piao'yu'xian 燕脂润色飘飘欲仙
'yan'zhu'zi'bi'kong'zi 眼珠子鼻孔子
'yang'guang'pu'zhao'yuan'ding'xin'kan'chun'yi'nuan 阳光普照园丁心坎春意暖
'yang'ken'yang'zhi 羊啃杨枝
'yao'pu'wu'fan'cao 药圃无凡草
'yi'chuan'feng'yue'liu'han'yin 一川风月留酣饮
'yi'chun'wei'ti'yi'jing'wei'yong 以纯为体以静为用
'yi'dian'gong'xin'qiu'yue'ming 一点公心秋月明
'yi'dian'shui 一点水
'yi'dian'yi'zhang'ge'xian'shen'tong 一点一漳各显神通
'yi'ding'zhi'guo'fang'zhen 议定治国方针
'yi'duo'bu'shao'zuo'shuang'jian 移多补少作双间
'yi'er'san'si'wu'liu'qi 一二三四五六七
'yi'jian'tian'wai 倚剑天外
'yi'liu'shu'chuan'si'hai 以六书传四海
'yi'ma'xian'zu'wu'ni'nei 一马陷足污泥内
'yi'ming'fen'ri'yue 一明分日月
'yi'mo'sheng'ya'liang'gong'xian'ji 一抹生涯良工献技
'yi'ou'you'yi'ou'you 一瓯油一鸥游
'yi'pian'cai'xia'ying'xu'ri 一片彩霞迎旭日
'yi'piao'yun'wu'wai 意飘云物外
'yi'shan'luo'xi'shan'xi'shan'yi'shan 衣衫落西山惜善衣衫
'yi'shi'chang'ning'zhu'bao'guang 一室常凝珠宝光
'yi'sui'chuan'liu'bu'xi 一岁川流不息
'yi'tu'quan'ren 意图全任
'yi'xi'huo'shui'fei'zhu'long'tuan 一溪活水沸煮龙团
'yi'xiang'zheng'xian'zi'xiao'feng 异香争羡紫霄峰
'yi'xin'shou'dao'dao'wu'qiong 一心守道道无穷
'yi'yi'yi'tong'tong'shang'yue 移椅倚桐同赏月
'yi'zhen'qing'shuang 一枕清霜
'yi'zhi'chun'nuan'guan'cheng'hua 一枝春暖管城花
'yin'ba'tao'hua'shang'lian'hong 饮罢桃花上脸红
'yin'he'er'de'ou 因荷而得藕
'yin'he'er'de'ou 因何而得偶
'yin'hua'ru'zhan'die'yi'fei 银花如绽蝶疑飞
'yin'huo'cheng'yan'xi'xi'duo 因火成烟夕夕多
'yin'jian'ran'chu'dan'yun'sheng 银笺染处淡云生
'yin'liu'hu'bai'san'du'gui 银流鹄白三都贵
'yin'shui'shang'shan'yin'he'luo'jiu'tian 引水上山银河落九天
'yin'ying'tong'ren'yue 印影同人月
'yin'yue'jing 印月井
'yin'yue'jing'zhong'yin'yue'ying 印月井中印月影
'yin'yue'ying 印月影
'ying'dong'ban'lun'yue 影动半轮月
'ying'gan'chun'feng'bai'zhuan'ming 莺感春风百啭鸣
'ying'ge'lv'liu'lou 莺歌绿柳楼
'ying'ge'lv'liu'lou'qian 莺歌绿柳楼前
'ying'ge'yan'wu'chun'feng 莺歌燕舞春风
'ying'qian'jin'gu'xiao 莺迁金谷晓
'ying'ti'yang'liu'feng 莺啼杨柳风
'ying'wu'zhou 鹦鹉洲
'ying'xin'chun'man'yuan'sheng'hui 迎新春满院生辉
'ying'xiong'er'nv'shi 英雄儿女事
'ying'ying'yan'yan 莺莺燕燕
'ying'zhi'jin'suo'po'lv'yan 莺掷金梭破绿烟
'ying'zhuan'fang'lin'bao'hao'yin 莺啭芳林报好音
'yong'da'hai'zuo'liang'tian 拥大海作良田
'you'cai'jie'zhong'xuan 有材皆中选
'you'ji'ke'xun'mo'chuan'mo'ben 有迹可寻模传墨本
'you'jia'yao'zui'you'jiu 有佳肴醉有酒
'you'jun'wu'zi'zeng'sheng'jia 右军五字增声价
'you'shui'you'shan'you'wu'you'ren 有水有山有物有人
'you'tian'jie'li'ri 有天皆丽日
'you'xi'hu'ti'xi'hu 游西湖提锡壶
'you'xi'shan'na'yi'shan 游西山拿衣衫
'you'xing'bu'xu'mei 有幸不须媒
'you'xing'bu'xu'mei 有杏不须梅
'yu'da'sha'tan 雨打沙滩
'yu'dai'chun'hua'ming'jin'xiu 欲待春花明锦绣
'yu'diao'diao'yu'yu'hai'diao 鱼钓钓鱼鱼骇钓
'yu'ge'chang'ping'qian'qing'lang 渔歌唱平千顷浪
'yu'ge'xiao'ying'hong'ri'chu 渔歌晓迎红日出
'yu'jing'qiu'xiang'qing'quan'ke'niang 玉井秋香清泉可酿
'yu'long'tu'bao'qing'ji'ri 玉龙吐宝庆吉日
'yu'lu'mo'lai'nong'wu'qi 玉露磨来浓雾起
'yu'lu'zi'run'tao'li'zhi'tou'bei'lei'hong 雨露滋润桃李枝头蓓蕾红
'yu'qi'tao'hua'wan'shu'hong 雨泣桃花万树红
'yu'qi'xia'qi 与妻下棋
'yu'qu'yong'lian 渔区用联
'yu'quan'cheng'wang'bian'shi'kuang 愚犬称王便是狂
'yu'ri'yue'zheng'guang'hui 与日月争光辉
'yu'shu'chang'han'wan'li'feng 玉树长含万里风
'yu'xi'xing'hua'hong'yu'di 雨洗杏花红欲滴
'yu'zhi'qian'gu'shi 欲知千古事
'yu'zhi'shi'shang'si'lun'mei 欲知世上丝纶美
'yuan'bi'mi'tu 远避迷途
'yuan'jiang'wei'shi'nan'lv'bu 怨江围实难旅步
'yuan'jin'mo'hu'jie'deng'kuai'jing 远近模糊皆登快境
'yuan'kua'ge'nang 元跨革囊
'yuan'qiu'hai'nei'zhen'cang'ben 远求海内珍藏本
'yuan'ting'bu'da'ju'cai'fu 院庭不大聚财富
'yuan'tou'huo'shui 源头活水
'yuan'wai'jing 员外静
'yuan'wai'jing 园外净
'yuan'wai'sao'yuan'wai 员外扫园外
'yuan'yi'ke'zhi'qian'jin 愿一刻值千金
'yue'guang'ru'shui 月光如水
'yue'jing'wan'nian 月井万年
'yue'ying'wan'nian 月影万年
'yue'yue'yue'yuan'feng'yue'ban 月月月圆逢月半
'yue'zhao'sha'chuang 月照纱窗
'yun'chu'gao'shan'liu'shui 韵出高山流水
'yun'ji'sheng'ping'ren'gong'le 运际升平人共乐
'yun'jian'yan 云间雁
'yun'lai'yun'qu 云来云去
'yun'nai'zi 孕乃子
'yun'xia'fen'wu'se 云霞分五色
'zan'jin'ying'chu'qian'hang'jin 錾金映出千行锦
'zao'hang'jie'jian'shi 早行节俭事
'zao'lin'zhi'shang'qian'zhong'ling 造林直上千重岭
'zao'tang'yu'shi'yong'lian 澡堂浴室用联
'ze'ren'zhi'jia'qi'xing'fu'qiao 责任制架起幸福桥
'zen'cheng'yi'duan'feng'mang 怎成一段锋芒
'zeng'jin'ren'min'jian'kang 增进人民健康
'zhai'bian'wu'jiao'gua'huang'cai'lv 宅边屋角瓜黄菜绿
'zhan'mo'cai'ti'mei'si'xue 沾墨才题梅似雪
'zhan'qu'you'yun'jie'xian'rui 栈曲有云皆献瑞
'zhan'shi'xiong'qian'ying'xiong'guang 战士胸前英雄光
'zhan'xin'sui'yue'chun'tian'de 崭新岁月春天地
'zhang'chang'gong 张长弓
'zhang'chang'zhang'chang'zhang'chang'chang 长长长长长长长
'zhang'sheng'qiu'hong'niang 张生求红娘
'zhang'wo'qian'si'zhi'jiu'zhong'tian'mei'jin 掌握千丝织就中天美锦
'zhao'chao'zhao'chao'zhao'zhao'chao 招潮招潮招招潮
'zhao'che'da'qian'kun 照澈大乾坤
'zhao'xia'si'jin 朝霞似锦
'zhao'zhao'zhao'zhao'zhao'zhao'chao 朝朝朝朝朝朝朝
'zhen'yi'zhu 阵一渚
'zhen'zhen'yu'ge'juan'chun'feng 阵阵渔歌卷春风
'zheng'hu'kai'yuan 政户开元
'zheng'zheng'fan'fan 正正反反
'zhi'cheng'yun'xia'jin 织成云霞锦
'zhi'chun'qiu'bi'bao'bian'wu'si 执春秋笔褒贬无私
'zhi'dian'jiang'shan'chun'guang'man'mu 指点江山春光满目
'zhi'fa'ru'shan 执法如山
'zhi'fen'jiao'ye'he'yan'duan 质分蕉叶和烟断
'zhi'hong'zhen'guan 治宏贞观
'zhi'hui'fei'shang'zhi'hui'tou 纸灰飞上指挥头
'zhi'hui'shao'zhi 指挥烧纸
'zhi'jun'jia'ji'xing'gao'zhao 知君家吉星高照
'zhi'ke'yuan'lai'zhi'fang'feng 纸壳原来只防风
'zhi'liang'you'xian'sheng'chan'jie'bao'pin'chuan 质量优先生产捷报频传
'zhi'qi'xu'gu'wai'qiao'nei'jian 制器须固外巧内坚
'zhi'qing'lv'liu'jian'tuo'si 知情绿柳渐拖丝
'zhi'tian'lu'run'peng'dao'hua'nong 芝田露润蓬岛花浓
'zhi'ying'de 只赢得
'zhi'zai'tun'wu 志在吞吴
'zhi'zi'chou'ya'wen'ming'bo'zhong 植字抽芽文明播种
'zhong'nian'dao'yun'shao'you'yu'cai 终年倒运少有余财
'zhou'dong'zhou'wei'dong 舟动洲未动
'zhou'ting'zhou 洲停舟
'zhou'xia'zhou 州下舟
'zhu'ba'heng'zu'wan'qing'bo 筑坝横阻万顷波
'zhu'dao'xin'tou 注到心头
'zhu'fu'wan'hu'geng'xin 祝福万户更新
'zhu'ge'san'jun'ting'zhi'hui 诸葛三军听指挥
'zhu'lan'zhuang'sun'mu'huai'er 竹篮装笋母怀儿
'zhu'shu'lou'tai'tan'zhi'ji'xian 竹树楼台弹指即现
'zhu'shu'zi'rao'qian'gu'se 珠树自绕千古色
'zhu'shui'yang'lai'qing'yu'an 贮水养来清玉案
'zhu'yi'wei'sheng'yan'nian'yi'shou 注意卫生延年益寿
'zhu'yu'guang'hui'liu'li'shi'jie 珠玉光辉琉璃世界
'zhu'zi'hai'ju'kong'zi'shang 珠子还居孔子上
'zhuo'lai'zhu'ye'ning'huai'lv 酌来竹叶凝怀绿
'zhuo'sa'hua'jian 酌洒花间
'zhuo'shou'cheng'chun 着手成春
'zi'gu'zhong'xiao'nan'yu'liang'quan 自古忠孝难于两全
'zi'ju'you'nv'ju'zuo 子居右女居左
'zi'wu'zi 子戊子
'zi'yan'jian'chun'feng 紫燕剪春风
'zi'zhu'quan'da'tong'fu'yu'lu 自主权打通富裕路
'zong'er'yan'zhi 总而言之
'zong'tan'zhong'wai'shi 纵谈中外事
'zou'nan'fang 走南方
'zu'guo'feng'guang'ying'ge'yan'wu 祖国风光莺歌燕舞
'zu'guo'yi'ren'gong'liu'si'hai 足国宜人功留四海
'zui'shi'yi'nian'chun'hao'chu 最是一年春好处
'zun'shi'ai'sheng'feng'shang'mei 尊师爱生风尚美
'zuo'bei'chao'nan 坐北朝南
'zuo'ye'chun'feng'cai'ru'hu 昨夜春风才入户
'zuo'ye'chun'feng'ru'hu 昨夜春风入户
'zuo'zuo'he'fang 坐坐何防
'zuo'zuo'you'you 左左右右
'zuo'zuo'zuo 坐坐坐
