'a'can 阿餐
'you'wu'wei'da'jiang'jun 右武卫大将军
'you'wu'wei'jiang'jun 右武卫将军
'you'xiao'wei 右骁卫
'you'xiao'wei'da'jiang'jun 右骁卫大将军
'you'xiao'wei'jiang'jun 右骁卫将军
'you'xiu'zhi'lang 右修职郎
'you'xuan'jiao'lang 右宣教郎
'you'xuan'yi'lang 右宣义郎
'you'yin'qing'guang'lu'dai'fu 右银青光禄大夫
'you'yu'lin'jiang'jun 右羽林将军
'you'zan'shan'dai'fu 右赞善大夫
'you'zheng'yan 右正言
'you'zheng'yi'dai'fu 右正议大夫
'you'zhong'da'fu 右中大夫
'you'zhong'feng'dai'fu 右中奉大夫
'you'zhong'san'da'fu 右中散大夫
'yu'bu'lang'zhong 虞部郎中
'yu'bu'yuan'wai'lang 虞部员外郎
'yu'lin'jun 羽林军
'yu'qian'mou'jun'dou'tong'zhi 御前某军都统制
'yu'qian'zhu'jun'dou'tong'zhi 御前诸军都统制
'yu'shi 御史
'yu'shi'da'fu 御史大夫
'yu'shi'tai'cha'yuan'yuan 御史台察院掾
'yu'shi'tai'dou'shi 御史台都事
'yu'shi'tai'jian'fa'guan 御史台检法官
'yu'shi'tai'shi'yu'shi 御史台侍御史
'yu'shi'tai'tui'zhi'guan 御史台推直官
'yu'shi'tai'zhi'shu'shi'yu'shi 御史台治书侍御史
'yu'shi'tai'zhu'bu 御史台主簿
'yu'shi'zhong'cheng 御史中丞
'yuan'ma'si'qing 苑马寺卿
'yuan'ma'si'shao'qing 苑马寺少卿
'yuan'shuai 元帅
'yuan'wai'lang 员外郎
'yuan'wai'san'qi'shi'lang 员外散骑侍郎
'yuan'wai'zhi'tong'zheng'yuan 员外置同正员
'yun'hui'jiang'jun 云麾将军
'yun'qi'wei 云骑尉
'yun'shi 运使
'yun'si'pan'guan 运司判官
'zai'xiang 宰相
'zan'shan'dai'fu 赞善大夫
'zan'zhi'yin 赞治尹
'zhai'lang 斋郎
'zhan'shi'fu'si'zhi 詹事府司直
'zhan'shi'fu'you'chun'fang'you'yu'de 詹事府右春坊右谕德
'zhan'shi'fu'zhan'shi 詹事府詹事
'zhang'gong'zhu 长公主
'zhang'ji'si 帐籍司
'zhang'quan'zhen'dao'jiao'shi 掌全真道教事
'zhang'shang'zuo'guo'yi 长上左果毅
'zhang'shi 长史
'zhang'zhan'shi'fu'shi 掌詹事府事
'zhao'fu'shi 招抚使
'zhao'fu'shi'si'dou'tong'zhi 招抚使司都统制
'zhao'mo 照磨
'zhao'tao'shi 招讨使
'zhao'wen'guan'da'xue'shi 昭文馆大学士
'zhao'wen'guan'xue'shi 昭文馆学士
'zhao'wu'xiao'wei 昭武校尉
'zhao'xin'xiao'wei 昭信校尉
'zhao'xuan'shi 昭宣使
'zhao'yi 昭仪
'zhao'yi'jun 昭义军
'zhao'yong'jiang'jun 昭勇将军
'zhao'yong'jiang'jun'zhi'hui'shi 昭勇将军指挥使
'zhe'chong 折冲
'zhe'chong'du'wei 折冲都尉
'zhen'fu 镇抚
'zhen'fu'shi 镇抚使
'zhen'jiang 镇将
'zhen'ren 真人
'zheng'feng'dai'fu 正奉大夫
'zheng'jian'da'fu 正谏大夫
'zheng'jiang 正将
'zheng'ke 正科
'zheng'qian'hu 正千户
'zheng'shi'lang 征仕郎
'zheng'shu 正术
'zheng'si'pin 正四品
'zheng'xing'qian'hu 征行千户
'zheng'xing'wan'hu 征行万户
'zheng'yan 正言
'zheng'yi'dai'fu 正议大夫
'zheng'zhi'qing 正治卿
'zheng'zhi'shang'qing 正治上卿
'zhi'bao'mo'ge 直宝谟阁
'zhi'bao'wen'ge 直宝文阁
'zhi'bao'zhang'ge 直宝章阁
'zhi'bei'jing'liu'shou'si'shi 知北京留守司事
'zhi'chang 直长
'zhi'chi'yuan'wu'fang'tang'hou'guan 制敕院五房堂后官
'zhi'da'zong'zheng'si'cheng'shi 知大宗正司丞事
'zhi'da'zong'zheng'si'shi 知大宗正司事
'zhi'du'fu'shi 支度副使
'zhi'fang 职方
'zhi'fang'lang'zhong 职方郎中
'zhi'fang'si'lang'zhong 职方司郎中
'zhi'fang'si'yuan'wai'lang 职方司员外郎
'zhi'fang'yuan'wai'lang 职方员外郎
'zhi'fu 知府
'zhi'fu'wen'ge 直敷文阁
'zhi'gong'ju 知贡举
'zhi'han'lin'yi'guan'yuan 直翰林医官院
'zhi'he'men'shi 知合门事
'zhi'hong'wen'guan 直弘文馆
'zhi'hua'wen'ge 直华文阁
'zhi'huan'zhang'ge 直焕章阁
'zhi'hui 指挥
'zhi'hui'qian'shi 指挥佥事
'zhi'hui'shi 指挥使
'zhi'hui'tong'zhi 指挥同知
'zhi'hui'you'ge 直徽猷阁
'zhi'ji'xian'yuan 直集贤院
'zhi'jian'yuan 知谏院
'zhi'jiang 直讲
'zhi'jun 知军
'zhi'jun'shi 知军事
'zhi'li'bu'gong'ju 知礼部贡举
'zhi'li'bu'gong'ju'shi 知礼部贡举事
'zhi'li'bu'xuan'shi 知吏部选事
'zhi'lin'an'jun'fu'shi 知临安军府事
'zhi'long'tu'ge 直龙图阁
'zhi'lu'shi'can'jun'shi 知录事参军事
'zhi'mi'ge 直秘阁
'zhi'mou'fu'jun'fu'shi 知某府军府事
'zhi'mou'jian'shi 知某监事
'zhi'mou'jun'shi 知某军事
'zhi'mou'xian'shi 知某县事
'zhi'mou'zhou'jun'zhou'shi 知某州军州事
'zhi'nan'jing'liu'shou'si'shi 知南京留守司事
'zhi'nan'wai'zong'zheng'shi 知南外宗正事
'zhi'ran'ju'fu'shi 织染局副使
'zhi'she'ren'yuan 直舍人院
'zhi'shen'guan'yuan'shi 知审官院事
'zhi'shen'xing'yuan'shi 知审刑院事
'zhi'shi 知事
'zhi'shi'guan 直史馆
'zhi'shi'guan'shi 知史官事
'zhi'shu'mi'yuan'shi 知枢密院事
'zhi'shu'shi'yu'shi 治书侍御史
'zhi'tai'chang'li'yuan 知太常礼院
'zhi'xi'jing'liu'shou'si'shi 知西京留守司事
'zhi'xi'wai'zong'zheng'shi 知西外宗正事
'zhi'xian 知县
'zhi'xian'cheng'shi 知县丞事
'zhi'xian'mo'ge 直显谟阁
'zhi'xian'shi'jian'jun'shi 知县事兼军使
'zhi'xue 直学
'zhi'xue'shi 直学士
'zhi'xue'shi'yuan 直学士院
'zhi'yin 知印
'zhi'yuan 知院
'zhi'za'shi'yu'shi 知杂侍御史
'zhi'zhai 知砦
'zhi'zhao'wen'guan 直昭文馆
'zhi'zhi'da'shi 制置大使
'zhi'zhi'fu'shi 制置副使
'zhi'zhi'gao 知制诰
'zhi'zhi'shi 制置使
'zhi'zhi'shi'si'can'mou'guan 制置使司参谋官
'zhi'zhi'shi'si'can'yi'guan 制置使司参议官
'zhi'zhi'shi'si'gan'ban'gong'shi 制置使司干办公事
'zhi'zhi'shi'si'zhu'guan'ji'yi'wen'zi 制置使司主管机宜文字
'zhi'zhong 治中
'zhi'zhou 知州
'zhong'da'fu 中大夫
'zhong'feng'dai'fu 中奉大夫
'zhong'ji'dian'da'xue'shi 中极殿大学士
'zhong'lang'jiang 中郎将
'zhong'san'da'fu 中散大夫
'zhong'shu'jian'jiao 中书检校
'zhong'shu'lang'zhong 中书郎中
'zhong'shu'ling 中书令
'zhong'shu'men'xia'sheng'jian'zheng'zhu'fang'gong'shi 中书门下省检正诸房公事
'zhong'shu'she'ren 中书舍人
'zhong'shu'sheng'can'zheng 中书省参政
'zhong'shu'sheng'ping'zhang'zheng'shi 中书省平章政事
'zhong'shu'sheng'shi 中书省事
'zhong'shu'sheng'you'cheng'xiang 中书省右丞相
'zhong'shu'sheng'you'si'dou'shi 中书省右司都事
'zhong'shu'sheng'you'si'lang'zhong 中书省右司郎中
'zhong'shu'sheng'you'si'yuan'wai'lang 中书省右司员外郎
'zhong'shu'sheng'yuan 中书省掾
'zhong'shu'sheng'zuo'cheng'xiang 中书省左丞相
'zhong'shu'sheng'zuo'si'dou'shi 中书省左司都事
'zhong'shu'sheng'zuo'si'lang'zhong 中书省左司郎中
'zhong'shu'sheng'zuo'si'yuan'wai'lang 中书省左司员外郎
'zhong'shu'shi'lang 中书侍郎
'zhong'shun'dai'fu 中顺大夫
'zhong'xian'dai'fu 中宪大夫
'zhong'xun'lang 忠训郎
'zhong'yi'dai'fu 中议大夫
'zhong'yi'lang 忠翊郎
'zhong'zheng'yuan'shi 中政院使
'zhou'bie'jia 州别驾
'zhou'bing'cao'can'jun 州兵曹参军
'zhou'bing'ma'dou'jian 州兵马都监
'zhou'bing'ma'jian'ya 州兵马监押
'zhou'bing'ma'qian'xia 州兵马钤辖
'zhou'cang'cao'can'jun 州仓曹参军
'zhou'ci'shi 州刺史
'zhou'cong'shi 州从事
'zhou'da'du'du 州大都督
'zhou'da'lu'hua'chi 州达鲁花赤
'zhou'dou'mu 州都目
'zhou'du'du'fu'si'ma 州都督府司马
'zhou'gong'cao'can'jun 州功曹参军
'zhou'jie'du'pan'guan 州节度判官
'zhou'li'mu 州吏目
'zhou'lu'shi'can'shi 州录事参事
'zhou'mu 州牧
'zhou'pan'guan 州判官
'zhou'ru'xue'jiao'shou 州儒学教授
'zhou'si'bing 州司兵
'zhou'si'bing'can'jun 州司兵参军
'zhou'si'cang'can'jun 州司仓参军
'zhou'si'fa'can'jun 州司法参军
'zhou'si'gong'can'jun 州司功参军
'zhou'si'hu'can'jun'shi 州司户参军事
'zhou'si'ma 州司马
'zhou'si'qian'hu 州司千户
'zhou'ti'kong'an'du 州提控案牍
'zhou'tong'zhi 州同知
'zhou'tuan'lian'shi 州团练使
'zhou'wan'hu 州万户
'zhou'wang 周王
'zhou'wen'xue 州文学
'zhou'xue'bo'shi 州学博士
'zhou'xue'guan 州学官
'zhou'xue'lu 州学录
'zhou'xue'xun'dao 州学训导
'zhou'xue'zheng 州学正
'zhou'yin 州尹
'zhou'yuan 州掾
'zhou'zhang'guan 州长官
'zhou'zhang'shi 州长史
'zhou'zhi'shi 州知事
'zhou'zhong'zheng 州中正
'zhou'zhu'jun'shi 州诸军事
'zhou'zong'guan 州总管
'zhu'bo'bing'ma'qian'xia 驻泊兵马钤辖
'zhu'bu 主簿
'zhu'bu'yu'shi'tai'zhu'si'jian 主簿御史台诸寺监
'zhu'chi'si'guan'gong 住持寺观宫
'zhu'dao'yan'tie'zhuan'yun'shi 诸道盐铁转运使
'zhu'guan'an'fu'si'gong'shi 主管安抚司公事
'zhu'guan'cheng'du'fu'yu'ju'guan 主管成都府玉局观
'zhu'guan'gong'guan 主管宫观
'zhu'guan'guan'gao'yuan 主管官告院
'zhu'guan'jing'lue'an'fu'shi'si'gong'shi 主管经略安抚使司公事
'zhu'guan'san'xing'shu'mi'yuan'jia'ge'wen'zi 主管三省枢密院架阁文字
'zhu'guan'shang'shu'sheng'hu'bu'jia'ge'wen'zi 主管尚书省户部架阁文字
'zhu'guan'shang'shu'sheng'li'bing'bu'jia'ge'wen'zi 主管尚书省礼兵部架阁文字
'zhu'guan'shang'shu'sheng'li'bu'jia'ge'wen'zi 主管尚书省吏部架阁文字
'zhu'guan'tai'zhou'chong'dao'guan 主管台州崇道观
'zhu'guo 柱国
'zhu'jiao 助教
'zhu'kao'guan 主考官
'zhu'ke'lang'zhong 主客郎中
'zhu'ke'yuan'wai'lang 主客员外郎
'zhu'lu'zong'guan'fu'ru'xue'jiao'shou 诸路总管府儒学教授
'zhu'lu'zong'guan'fu'ru'xue'xun'dao 诸路总管府儒学训导
'zhu'lu'zong'guan'fu'tui'guan 诸路总管府推官
'zhu'lu'zong'guan'fu'xue'lu 诸路总管府学录
'zhu'lu'zong'guan'fu'yi'xue'jiao'shou 诸路总管府医学教授
'zhu'lu'zong'guan'fu'yi'xue'lu 诸路总管府医学录
'zhu'lu'zong'guan'fu'yi'xue'zheng 诸路总管府医学正
'zhu'lu'zong'guan'fu'zhi'shi 诸路总管府知事
'zhu'lu'zong'guan'fu'zhi'zhong 诸路总管府治中
'zhu'lu'zong'guan'fu'zong'guan 诸路总管府总管
'zhu'shi 主事
'zhu'wang 诸王
'zhu'wang'gong'da'xiao'xue'jiao'shou 诸王宫大小学教授
'zhu'wei'shang'jiang'jun 诸卫上将军
'zhu'zuo'lang 著作郎
'zhu'zuo'zuo'lang 著作佐郎
'zhuan'yun'fu'shi 转运副使
'zhuan'yun'liu'hou 转运留后
'zhuan'yun'shi 转运使
'zhuan'yun'shi'jian'an'cha'shi 转运使兼按察使
'zhuan'yun'shi'si 转运使司
'zhuan'yun'si'gan'ban'gong'shi 转运司干办公事
'zhuan'yun'si'guan'gou'wen'zi 转运司管勾文字
'zhuan'yun'si'pan'guan 转运司判官
'zhuan'yun'si'zhu'guan'wen'zi 转运司主管文字
'zhuan'yun'yan'shi'si'fu'shi 转运盐使司副使
'zhuang'zhai'fu'shi 庄宅副使
'zhuang'zhai'shi 庄宅使
'zhun'bei'chai'qian 准备差遣
'zi'de'dai'fu 资德大夫
'zi'shan'dai'fu 资善大夫
'zi'shan'tang'zhi'jiang 资善堂直讲
'zi'yi'can'jun 咨议参军
'zi'zheng'dai'fu 资政大夫
'zi'zheng'dian'da'xue'shi 资政殿大学士
'zi'zheng'dian'xue'shi 资政殿学士
'zi'zhi'shao'yin 资治少尹
'zi'zhi'yin 资治尹
'zong'guan 总管
'zong'guan'fu'zhang'shi 总管府长史
'zong'ling 总领
'zong'ling'guan 总领官
'zong'ling'suo'gan'ban'gong'shi 总领所干办公事
'zong'qi 总旗
'zong'shi 宗师
'zong'zheng'cheng 宗正丞
'zong'zheng'qing 宗正卿
'zong'zheng'shao'qing 宗正少卿
'zong'zheng'si'cheng 宗正寺丞
'zong'zheng'si'shao'qing 宗正寺少卿
'zong'zheng'si'zhu'bu 宗正寺主簿
'zong'zi'bo'shi 宗子博士
'zong'zi'xue'yu 宗子学谕
'zou'cha 奏差
'zou'ma'cheng'shou'gong'shi 走马承受公事
'zuo'ban'dian'zhi 左班殿直
'zuo'bu'que 左补阙
'zuo'bu'zheng'shi 左布政使
'zuo'can'yi 左参议
'zuo'can'zheng 左参政
'zuo'cang'ku'fu'shi 左藏库副使
'zuo'cang'ku'shi 左藏库使
'zuo'chao'feng'dai'fu 左朝奉大夫
'zuo'chao'feng'lang 左朝奉郎
'zuo'chao'qing'dai'fu 左朝请大夫
'zuo'chao'qing'lang 左朝请郎
'zuo'chao'san'dai'fu 左朝散大夫
'zuo'chao'san'lang 左朝散郎
'zuo'chao'yi'dai'fu 左朝议大夫
'zuo'cheng 左丞
'zuo'cheng'shi'lang 左承事郎
'zuo'cheng'xiang 左丞相
'zuo'cheng'yi'lang 左承议郎
'zuo'cong'shi'lang 左从事郎
'zuo'di'gong'lang 左迪功郎
'zuo'du'yu'shi 左都御史
'zuo'fang'fu'shi 作坊副使
'zuo'fang'shi 作坊使
'zuo'feng'yi'lang 左奉议郎
'zuo'feng'zhi'dai'fu 左奉直大夫
'zuo'fu'dou'yu'shi 左副都御史
'zuo'fu'dou'yuan'shuai 左副都元帅
'zuo'guang'lu'dai'fu 左光禄大夫
'zuo'guo'yi'du'wei 左果毅都尉
'zuo'ji'shi'zhong 左给事中
'zuo'jian'jun 左监军
'zuo'jian'men'wei'da'jiang'jun 左监门卫大将军
'zuo'jian'men'wei'jiang'jun 左监门卫将军
'zuo'jian'yi'da'fu 左谏议大夫
'zuo'jin'wu'wei'da'jiang'jun 左金吾卫大将军
'zuo'ling'jun'wei'da'jiang'jun 左领军卫大将军
'zuo'ling'jun'wei'jiang'jun 左领军卫将军
'zuo'long'wu'jun'da'jiang'jun 左龙武军大将军
'zuo'pu'ye 左仆射
'zuo'qi'ji'shi 左骐骥使
'zuo'qian'niu 左千牛
'zuo'qian'niu'wei'da'jiang'jun 左千牛卫大将军
'zuo'qian'niu'wei'jiang'jun 左千牛卫将军
'zuo'qin'wei 左亲卫
'zuo'san'qi'chang'shi 左散骑常侍
'zuo'shen'wu'jun'da'jiang'jun 左神武军大将军
'zuo'shi'jin 左侍禁
'zuo'shi'lang 左侍郎
'zuo'shi'yi 左拾遗
'zuo'shu'zi 左庶子
'zuo'si'jian 左司谏
'zuo'si'ma 左司马
'zuo'si'yuan'wai'lang 左司员外郎
'zuo'tai'jian'cha'yu'shi 左台监察御史
'zuo'tai'zhong'da'fu 左太中大夫
'zuo'tong'yi'dai'fu 左通议大夫
'zuo'tun'wei 左屯卫
'zuo'tun'wei'da'jiang'jun 左屯卫大将军
'zuo'wei'da'jiang'jun 左卫大将军
'zuo'wei'jiang'jun 左卫将军
'zuo'wei'lv'fu'bing'cao'can'jun 左卫率府兵曹参军
'zuo'wei'shang'jiang'jun 左卫上将军
'zuo'wei'wei 左威卫
'zuo'wei'zhang'shi 左卫长史
'zuo'wu'dai'fu 左武大夫
'zuo'wu'wei 左武卫
'zuo'wu'wei'da'jiang'jun 左武卫大将军
'zuo'wu'wei'jiang'jun 左武卫将军
'zuo'wu'wei'zhang'shi 左武卫长史
'zuo'xiao'wei'da'jiang'jun 左骁卫大将军
'zuo'xiao'wei'jiang'jun 左骁卫将军
'zuo'xiao'wei'shang'jiang'jun 左骁卫上将军
'zuo'xuan'feng'dai'fu 左宣奉大夫
'zuo'xuan'jiao'lang 左宣教郎
'zuo'xuan'yi'lang 左宣义郎
'zuo'xun'wei 左勋卫
'zuo'yi'wei 左翊卫
'zuo'yin'qing'guang'lu'dai'fu 左银青光禄大夫
'zuo'you'pu'ye 左右仆射
'zuo'yu'de 左谕德
'zuo'yu'lin'da'jiang'jun 左羽林大将军
'zuo'yu'lin'jiang'jun 左羽林将军
'zuo'zhang'shi 左长史
'zuo'zheng'yan 左正言
'zuo'zheng'yi'dai'fu 左正议大夫
'zuo'zhong'da'fu 左中大夫
'zuo'zhong'feng'dai'fu 左中奉大夫
'zuo'zhong'san'da'fu 左中散大夫
'zuo'zhu'guo 左柱国
