'a'bi'de 阿比德
'huai'lian'cheng'xi'pei'ming'yue 怀连城兮佩明月
'huai'nan'bai'zong'jing'xing'chu 淮南百宗经行处
'huai'wo'qin'xi'si'gu'ren 怀我亲兮思故人
'huai'yu'qing'er'zhong'gu'xi 怀余情而终古兮
'huai'zai'huai'zai 怀哉怀哉
'huai'zhen'que'zhi'cao'xing'xi 怀贞悫之操行兮
'huan'di'zhai 环帝宅
'huan'du'xi'lan'you 环堵兮兰幽
'huan'hou'zhi'ji'chu'wu'zheng 桓侯之疾初无證
'huan'qu'zhang'hou'lai'ping'zhang 唤取张侯来平章
'huan'zuo'yi'jia'hu'hai'shi 唤作医家湖海士
'huang'chen'an'tian'dao'lu'chang 黄尘暗天道路长
'huang'du'chi'chi'xing'ping'chou 黄犊叱叱行平畴
'huang'he'bing'he'yu'long'si 黄河冰合鱼龙死
'huang'hu'guai'dan'bai'chu'nan'qiong'qi 恍惚怪诞百出难穷期
'huang'li'bu'jue'bao'chun'shen 黄鹂不觉报春深
'huang'liang'hei'shu'shen'zi'chong 黄粱黑黍身自舂
'huang'long'jia'zhou'wen'bu'jing 黄龙夹舟稳不惊
'huang'lu'zhu'que'jie'zai'hou 黄卢朱雀皆在后
'huang'ruo'qian'li'bu'liu'xing 恍若千里不留行
'huang'sha'ye'mo'wei'qi'zhai 黄沙野漠为其宅
'huang'shan'di'yuan'xi'yong'bo 黄山涤源溪涌波
'huang'song'fu'gui'zhui'zhen'xiang'zhong 皇宋扶珪缀真相种
'huang'ting'jian'bao'bao'jiu'er'zhang 黄庭坚薄薄酒二章
'huang'ting'jian'chang'duan'xing'ge 黄庭坚长短星歌
'huang'ting'jian'da'cao'zi'fang'za'yan 黄庭坚答曹子方杂言
'huang'ting'jian'da'he'fu'lu'quan'shui 黄庭坚答和甫卢泉水
'huang'ting'jian'da'ming'lue 黄庭坚答明略
'huang'ting'jian'dao'wang 黄庭坚悼往
'huang'ting'jian'he'cao'zi'fang'za'yan 黄庭坚和曹子方杂言
'huang'ting'jian'hua'mu'niu'zan 黄庭坚画牧牛赞
'huang'ting'jian'hua'zhang'yuan'hou'huan'zan 黄庭坚画獐猿猴獾赞
'huang'ting'jian'hui'bi 黄庭坚毁璧
'huang'ting'jian'jian'han'lin'su'gong 黄庭坚见翰林苏公
'huang'ting'jian'juan'he'tu'zan 黄庭坚倦鹤图赞
'huang'ting'jian'lian'xi'shi 黄庭坚濂溪诗
'huang'ting'jian'lin'zhi'zan 黄庭坚麟趾赞
'huang'ting'jian'liu'min'tan 黄庭坚流民叹
'huang'ting'jian'lu'meng'pian 黄庭坚录梦篇
'huang'ting'jian'ming'yue'pian 黄庭坚明月篇
'huang'ting'jian'mu'zhi'bin'bin 黄庭坚木之彬彬
'huang'ting'jian'pu'tuan'zuo'zan 黄庭坚蒲团座赞
'huang'ting'jian'qing'chun'jiu'song 黄庭坚清醇酒颂
'huang'ting'jian'qiong'zhu'song 黄庭坚筇竹颂
'huang'ting'jian'qiong'zhu'zhang'zan 黄庭坚筇竹杖赞
'huang'ting'jian'san'xiao'tu'zan 黄庭坚三笑图赞
'huang'ting'jian'shou'sheng'guan'dao'shi 黄庭坚寿圣观道士
'huang'ting'jian'song'chen'xiao'xian 黄庭坚送陈萧县
'huang'ting'jian'song'wang'lang 黄庭坚送王郎
'huang'ting'jian'ting'dai'dao'shi'tan'qin 黄庭坚听戴道士弹琴
'huang'ting'jian'tu'zan 黄庭坚图赞
'huang'ting'jian'tui'tang'song 黄庭坚退堂颂
'huang'ting'jian'wang'hua'xiang'zan 黄庭坚王画像赞
'huang'ting'jian'wei'jiao'qiao'ju'shi'zuo 黄庭坚为茭桥居士作
'huang'ting'jian'xi'ti 黄庭坚戏题
'huang'ting'jian'xi'zeng'zhang'shu'fu 黄庭坚戏赠张叔甫
'huang'ting'jian'xie'yu'zhen'qing'zi'zan 黄庭坚写予真请自赞
'huang'ting'jian'xin'liang'shi'tong'xue 黄庭坚新凉示同学
'huang'ting'jian'xu'piao'piao 黄庭坚虚飘飘
'huang'ting'jian'yu'jing'xuan 黄庭坚玉京轩
'huang'ting'jian'yun'gai'zhi'he'shang'zhen'zan 黄庭坚云盖智和尚真赞
'huang'ting'jian'zai'he'za'yan 黄庭坚再和杂言
'huang'ting'jian'zeng'huang'cong'shan 黄庭坚赠黄从善
'huang'ting'jian'zeng'wu'jiu'wen'qian 黄庭坚赠无咎文潜
'huang'ting'jian'zeng'yuan'fa'di'fang'yan 黄庭坚赠元发弟放言
'huang'ting'jian'zhi'le'ci 黄庭坚至乐词
'huang'ting'jian'zhong'qiu'yue'yong'huai 黄庭坚中秋月咏怀
'huang'ting'jian'zou'cao 黄庭坚邹操
'huang'xu'hu'shen'zai 皇恤乎身灾
'huang'xu'ye'xia'cao'jiang'jun 黄须邺下曹将军
'huang'zhi'wu'yi'lai'san'fu 黄支乌弋来三辅
'hui'bi'xi'yun'zhu 毁璧兮陨珠
'hui'bu'dang'nian'tiao'dong'hai 悔不当年跳东海
'hui'chou'xi'quan'chuang 惠帱兮荃床
'hui'dao'bu'ru'mi'meng'tian 挥刀不入迷濛天
'hui'feng'yuan'xiu'xiang'ming'mie 回峰远岫相明灭
'hui'gong'ji'xi'kong'chi 会公疾兮孔炽
'hui'kan'ban'kong'fan'gu'chui 会看半空翻鼓吹
'hui'lang'yao'tiao'yue'hao'bai'xi 回廊窈窕月皓白兮
'hui'li'yu'zhi'shui'zhi'yuan 会理於止水之渊
'hui'qin'dian'se'tian'ji'ming 回琴点瑟天机鸣
'hui'wang'gui'gong'yi'dian'wu 回望桂宫一点雾
'hui'yao'xi'jiao'jiang 蕙肴兮椒浆
'hui'ye'yi'yi'zi'zhi'ming'yu 回也抑亦子之命欤
'hui'yu'hui'yu 回欤回欤
'hun'hun'yuan'liu'zi'fu'zi 混混源流自夫子
'hun'po'ge'zhuo 魂魄割斫
'hun'ting'ting'xi'shi'du 魂廷廷兮失度
'hun'zhao'bu'lai'chang'tan'xi 魂招不来长叹息
'hun'zhao'bu'lai'feng'xi'xi 魂招不来风习习
'hun'zhao'bu'lai'gui'gu'xiang 魂招不来归故乡
'hun'zhao'bu'lai'he'suo'cong 魂招不来何所从
'hun'zhao'bu'lai'lei'liu'xue 魂招不来泪流血
'hun'zhao'bu'lai'lei'ying'ju 魂招不来泪盈掬
'hun'zhao'bu'lai'mo'chou'chang 魂招不来默惆怅
'hun'zhao'bu'lai'xin'bi'suan 魂招不来心鼻酸
'hun'zhao'bu'lai'zai'he'suo 魂招不来在何所
'huo'bu'zai'xin 祸不在心
'huo'huang'lian'zhi'du'hu'lang'xiong 或黄连之毒虎狼凶
'huo'ji'yu'suo'hu 祸集於所忽
'huo'mo'shen'yu'xin'you'jian 祸莫深於心有见
'huo'ren'shou'duan'liang'ke'qi 活人手段良可奇
'huo'ren'shou'yu'wen'gong'tong 活人手与温公同
'huo'ren'wu'shu'bu'yan'gong 活人无数不言功
'huo'ru'feng'cao'cong'qi'qiang 或如风草从其强
'huo'ru'hao'qi'kai'qiong'long 或如颢气开穹窿
'huo'ru'jia'bing'xiao'chi 或如甲兵宵驰
'huo'ru'kua'fu'zhu'san'zu 或如夸父逐三足
'huo'ru'shen'gui'zhou'lu 或如神鬼昼露
'huo'ru'tan'huang'kang'yu'ji 或如弹簧抗愈亟
'huo'ru'tian'ma'chi'feng'zong 或如天马驰风鬃
'huo'ru'xuan'yuan'zhu'jiu'ding 或如轩辕铸九鼎
'huo'ru'zhi'nv'tuo'su'lian 或如织女拖素练
'huo'ru'zhong'tai'bao'hun'dun 或如重胎抱混沌
'huo'shi'tai'duo'shi 火食太多事
'huo'xie'duan'jian'yin'hong'chen 或携短剑隐红尘
'huo'yin'xi'fen'yang 获印兮汾阳
'huo'zai'liu'xing'gu'wu'shi 祸灾流行固无时
'huo'zhi'tuo'ye 祸之橐也
'ji'bian'guan'jun'shou'zhan'chang 极边官军守战场
'ji'bu'shi'ju'gong'zhi'xiang'zi 饥不拾狙公之橡子
'ji'cang'ben'xi'jian'yu'yi'he'wang 迹苍奔兮蹇余以何往
'ji'chen'gui'lai'ku'wang'she 羁臣归来哭亡社
'ji'ci'mao'hao'se'qing'cong 及此貌好色青葱
'ji'da'gu 击大鼓
'ji'du'shi'jie'ru'fei'zhou 基督世界如飞舟
'ji'du'zhi'jiao'gu'wei'xun 基督之教古未驯
'ji'fen'yu'sheng'jin'neng'bao 齑粉馀生仅能保
'ji'feng'lue'zong'fei'yun'yang 急风掠鬃飞云扬
'ji'fu'kong'li'yi'he'yong 即浮空立亦何庸
'ji'gao'zhu'yi'gu'li 寄槁竹以孤唳
'ji'ge'piao'ling'zai'wai'tou 几个飘零在外头
'ji'he'er'bu'dai'ye 几何而不殆也
'ji'ji'yong'ye 寂寂永夜
'ji'jia'fu'fu'tong'luo'zhang 几家夫妇同罗帐
'ji'jia'huan'le'ji'jia'chou 几家欢乐几家愁
'ji'jin'shi'er'shi'zhong 即今十二时中
'ji'liao'wu'peng'xi'qu'dao'ru'zhi 寂寥无朋兮去道如咫
'ji'mu'sen'xiu'han'cang'liang 极目森秀涵苍凉
'ji'pan'fen'cun'lie'luo'que 跻攀分寸猎荦确
'ji'qing'tu'hua'yuan'fei'zhen 季卿图画元非真
'ji'shang'you'yu'bu 机上有余布
'ji'shi'bei'shan'zhi'wei'jue 饥食北山之薇蕨
'ji'tan'xi'dun'bo 激贪兮敦薄
'ji'tu'wei'gu'kuai'wei'fu 积土为鼓块为桴
'ji'wo'mu'niu'song 寄我牧牛颂
'ji'wo'rou'gu 击我肉骨
'ji'xiao'bu'dang 积小不当
'ji'ye'dan'chui'sheng'li'yi 击擫弹吹声逦迤
'ji'yu'shi'xi'tian'tuo'qi'ying 畸於世兮天脱其撄
'ji'yu'yu'xi'shuang'jue 藉予玉兮双瑴
'ji'yuan'zhan'chi'duo'ceng'qiong 饥鸢跕翅堕曾穹
'ji'zhi'gong'gao'le'wei'cheng 极知功高乐未称
'ji'zou'huang'shan'han'ru'yu 饥走荒山汗如雨
'jia'fu'zhu'ren'bai'bu'neng 跏趺主人百不能
'jia'jie'jing'xi'yu'xiu 假截径兮予羞
'jia'qun'xiao'er'wo'jing'xi 贾群嚣而我静兮
'jia'ren'xi'jie'qi 佳人兮洁齐
'jia'ruo'ren'xi'shen'hao'xiu 嘉若人兮甚好修
'jia'shi'tian'xi'chang'ji 稼石田兮长饥
'jia'wang'guo'po'shen'piao'dang 家亡国破身漂荡
'jia'zai'si'ren'xi'shui'yun'zhi'xian 佳哉斯人兮水云之仙
'jian'an'zhi'jun'chu'you'xi 茧庵知君出游戏
'jian'bing'ying'qi'ju'yi'ren 间禀英气俱异人
'jian'bu'gang 坚不刚
'jian'cha'jiu'fa'chu'xi'shu 煎茶旧法出西蜀
'jian'chen'shu'yuan'an'gan'yan 贱臣疏远安敢言
'jian'ci'bei'mian'lu 鉴此杯面渌
'jian'ci'ling'miao'dang'da'jing 见此灵苗当大惊
'jian'dao'zhi'xi'nan'xing 蹇道直兮难行
'jian'fu'gou'mian'sheng'han'guang 湔拂垢面生寒光
'jian'li'zhu'sui'jing'hun'xiao 渐离筑碎荆魂消
'jian'qi'kun'qian'zhi'ren'ye 见其髠箝之人也
'jian'ren'jin'yu'man'tang'er'bu'tan 见人金玉满堂而不贪
'jian'shi'yi'ming'xing'ri'chui 茧室遗名星日垂
'jian'tan'qiao'pan'qiu'he'lao 剑潭桥畔秋荷老
'jian'yan'liu'er'chang'huang 蹇淹留而惝恍
'jian'yu'ma'xi'jiang'gao 蹇予马兮江皋
'jian'zhao'yao'zhi'fei'qi 建招摇之飞旗
'jian'zhong'pen'er'wei'mo'xue 肩踵喷而为沫血
'jian'zi'jue'lin'ao'yi'suo 坚姿绝邻傲一所
'jiang'bo'liu'feng'mi'er'nai'he 将波流风靡而奈何
'jiang'ci'di'qiu'zhi'mie'xi'dan'xi 将此地球之灭兮旦夕
'jiang'he'qi'yi'qi'shang'shang 江河泣以其汤汤
'jiang'hu'zhi'shang'ke'xiang'wang 江湖之上可相忘
'jiang'jia'jiu'yu'mi 将家就鱼米
'jiang'jun'liao'di'you'dan'lue 将军料敌有胆略
'jiang'jun'tu'shou'you'bo'zhan 将军徒手犹搏战
'jiang'liu'qi'jian 江流其间
'jiang'shan'qian'li'ju'tou'bai 江山千里俱头白
'jiang'shan'yu'ren'duan'you'zhu 江山于人端有助
'jiang'shi'heng'cao'wu'bu'shi 僵尸横草乌不食
'jiang'xi'shan'shui'zeng'guai'qi 江西山水增怪奇
'jiang'xiao'yao'lu'chui'zhi'wai'xi 将逍遥炉锤之外兮
'jiang'yi'yi'xi'suo'si 将以遗兮所思
'jiang'yuan'tiao'er'qu'zhi 将远跳而去之
'jiao'de'ni'chang'yi'qu'cheng 教得霓裳一曲成
'jiao'duan'wei'cun'er'shi'wu 角端围寸二十五
'jiao'hua'qiao'xiao'jiu'ji'liao 娇花巧笑久寂寥
'jiao'jiao'xi'yi'xing 皎皎兮懿行
'jiao'jiao'zi'xian 皦皦自鲜
'jiao'jun'xiong'zhong'guo'qin'lun 浇君胸中过秦论
'jiao'long'suo'gong 蛟龙所宫
'jiao'nu'suo'fan'ji'wu'can 叫怒索饭饥无餐
'jiao'qu'bang'mu'qiu'xu'hui 交衢谤木求胥诲
'jiao'ren'fei'jin'xian'xin'li 教人费尽闲心力
'jiao'sheng'zheng'chu'zhu'hou'bi 角声正出诸侯壁
'jiao'xin'yi'xun'li'xi 矫心以循理兮
'jiao'yi'shi'zhi'ming'xian 交一世之名贤
'jiao'yu'wu'zhe'shen'cu 交於物者甚粗
'jie'bang'er'gong'li'bu'ke 结邦而攻力不克
'jie'dao'cheng'jiang'jing'ru'lian 解道澄江静如练
'jie'er'hou'zhi'jiang'he'hu 嗟尔后至将何怙
'jie'jun'cai'bi'fu'jun'shi 借君彩笔赋君诗
'jie'jun'shen'shang'yi 解君身上衣
'jie'liang'hu'zheng 解两虎争
'jie'mao'xi'xiang'zhi'gang 结茆兮湘之岗
'jie'min'xiang'ruo'xin'xiang'ji 嗟民向弱心向激
'jie'ren'dao'zhi'duo'huan 嗟人道之多患
'jie'ri'yue'yi'shi'si'fang'xi 揭日月以适四方兮
'jie'shi'zhong'yuan'shi'feng'lin 解使中原识凤麟
'jie'tai'yi'zhi'chang'gan'xi 揭太乙之长竿兮
'jie'wen'jiang'jin'chui'bai'sou 借问江津垂白叟
'jie'ying'cong'wo'zhuo'cang'lang 解缨从我濯沧浪
'jie'yu'pei'xi'shou'yu'guan 解予佩兮授予馆
'jie'yu'sheng'zhi'duo'jian'xi 嗟予生之多艰兮
'jie'zhi'yi'fu'weng'qing'xian 借之以涪翁清闲
'jin'bu'gan'chen'xi'jun'nu 噤不敢陈兮君怒
'jin'da'di'ren'fu'bu'qi 尽大地人扶不起
'jin'dao'yin'he'xi'you'huan 尽倒银河洗忧患
'jin'di'zhuo'he'tian'shang'liu 金堤浊河天上流
'jin'feng'yu'lu'cheng'xiang'wei 金风玉露澄象纬
'jin'hu'wang'feng'tong'kui'ben 今胡望风同溃奔
'jin'hua'mu'yang'er 金华牧羊儿
'jin'ling'qing'wan'chi'lan'bian 金铃轻绾赤阑边
'jin'luan'ling'hai'deng'you'xi 金銮岭海等游戏
'jin'nian'fu'sheng'sun 今年复生孙
'jin'nian'wu'yue'zhi'su'zhou 今年五月至苏州
'jin'qin'jiao'zhen'mian'nan'an 锦衾角枕眠难安
'jin'quan'li'peng 金圈栗蓬
'jin'ren'wei'shui'qi'xing'xin 今人为谁其姓辛
'jin'ri'che'hu'nai'wu'di 今日车戽乃无地
'jin'ri'jiang'ou'zuo'fan'zhi 今日江鸥作樊雉
'jin'ri'jing'shan'yuan'fu'shi 近日径山缘赋诗
'jin'ri'ming'ri'xiang'xun'lai 今日明日相寻来
'jin'ru'wu'bai'yi'shi'cong'tian'heng 劲如五百义士从田横
'jin'se'wu'duan'xian'wu'shi 锦瑟无端弦五十
'jin'sheng'er'yu'jie 金声而玉节
'jin'shi'xiang'lai'xing'le'shi 尽是向来行乐事
'jin'su'ru'lai'ju'shi'shen 金粟如来居士身
'jin'ti'yu'xie'duo'qie'mei 金题玉躞多且美
'jin'wo'rou'ruo'mei'qie'feng 今我柔弱美且丰
'jin'wu'he'shi'zhu'a'jiao 金屋何时贮阿娇
'jin'you'zhou'xi'dang'you'lian 津有舟兮荡有莲
'jin'zhao'que'zuo'ying'er'nong 今朝却作婴儿弄
'jin'zhe'bu'le'jun'fa'bai 今者不乐君发白
'jin'zhi'li'bu'yu'gu'tong 今之理不与古同
'jin'zhi'ren 今之人
'jin'zuo'ban'yi'lao'lai'zi 今作斑衣老莱子
'jing'ding'shi'lei'hai'bei'shang 惊定拭泪还悲伤
'jing'fei'ji'huo'ming'yu'yu 荆扉绩火明煜煜
'jing'guan'shi'dao'zhi'ri'gui'xi 静观世道之日诡兮
'jing'ji'dun'zuo'fu'bu'wan 荆棘蹲坐肤不完
'jing'ji'yi'ti'di'qiu'cun 经济一体地球村
'jing'lei'po'lang'fei'fan'lin 惊雷破浪非凡鳞
'jing'li'zhi'xing 镜里之形
'jing'ni'can'zao'xun'yi'si 鲸鲵参藻熏以死
'jing'quan'hai'shi'ju'you'guai 惊泉骇石聚幽怪
'jing'she'wo'yi'zhui'zong'lei 净社我亦追宗雷
'jing'shui'yi'dan'ni'shu'dou 泾水一石泥数斗
'jing'sui'ming 镜虽明
'jing'ting'pen'xue'zhong'sui'sheng'ji'zhuang 惊霆喷雪终岁声击撞
'jing'wei'sheng'si'zai'qing'ke 竟谓生死在顷刻
'jing'ying'ji'hua'wu'zuo'xi 经营计画无作息
'jing'zhu'ren'zhi'yan'yi'jin'huo 惊主人之雁以近祸
'jing'zhuan'zhuan'er'du'wang 精专专而独往
'jiong'ci'nian'er'an'min'xi 炯此念而安民兮
'jiong'jiong'yu'ping'shang 炯炯御屏上
'jiu'ba'wang'ran'gui'qu'shi 酒罢惘然归去时
'jiu'er'bu'sheng'qi'tan'yin 久而不胜其叹音
'jiu'han'hu'zhuan'shang'sheng'ji 酒酣忽转商声急
'jiu'jiao'xiong'ci'zhi'lei'kuai 酒浇胸次之磊块
'jiu'jue'hou'diao'xi'ji'yu'bu'jing 究厥后凋兮基于不竞
'jiu'nian'mian'bi 九年面壁
'jiu'pai'que'zhuan'xun'yang'cheng 九派却转浔阳城
'jiu'quan'jian'mu'wu'yan'ze 九泉见母无言责
'jiu'she'xiang'fu'cheng'jin'jia 九蛇相辅成晋家
'jiu'shi'guang'ye'wu'cheng'chu 旧时广野无城处
'jiu'sui'mei 酒虽美
'jiu'wan'li'ze'feng'si'zai'xia 九万里则风斯在下
'jiu'xian'bie'hou'feng'chui'xing 酒嫌别后风吹醒
'jiu'ye'ming'ming'an'feng'yu 九野冥冥暗风雨
'jiu'yi'bu'wen'de'ren'zhi'yan'xi 久矣不闻德人之言兮
'jiu'yi'nan'xun'miao'lian'luo 九疑难寻眇联络
'jiu'yue'gou 九月狗
'jiu'zhe'bi'er'xin'dao 九折臂而信道
'jiu'zhe'tu'zao'tui'ya'huo 救者徒遭颓压祸
'jiu'zhong'zui'ai'ni'chang'wu 就中最爱霓裳舞
'ju'bai'ti'er'qi'zhi 举百体而弃之
'ju'bi'fan'jiu'deng'hua'tang 讵必泛酒登华堂
'ju'bo'ru'shan'qu'huo'lun 巨舶如山驱火轮
'ju'feng'zhou'juan'yin'yun'hun 飓风昼卷阴云昏
'ju'he'xia'yin'ke'si'hong 巨壑下饮渴死虹
'ju'lian'chang'zhu'liu'mian'piao 剧怜常逐柳绵飘
'ju'mo'mo'er'sheng'shen 聚墨墨而生身
'ju'nan'qiong'bai'pan'lao'cang 巨楠穷柏蟠老苍
'ju'pao'yi'zhen'cheng'yan'chen 巨炮一震成烟尘
'ju'qu'zhu'bing'tan'zhu'tang 菊曲煮饼探注汤
'ju'sha'tan'die 巨厦坍跌
'ju'shi'shi'wu'wu'fei'jun 居士识吾吾非君
'ju'shi'shu'bu'meng'qi'xiu 举世孰不蒙其羞
'ju'shu'mu'jian'fei'wang'chuan 具书目见非妄传
'ju'tou'qian'lv'lian'tian'miao 举头前绿连天渺
'ju'wu'zhi'ji'xi 居物之忌兮
'ju'xiao'man'shan'gu 聚啸满山谷
'ju'yi'pei'er'shen'huang 遽瘗佩而沈璜
'ju'zhi'duan'shi'zhi'tui'ling 菊制短世之颓龄
'juan'lian'zuo'mu'de'xin'liang 卷帘昨暮得新凉
'juan'wo'min'zi'ben'wai'guo 捲我民赀奔外国
'juan'wu'che'er'you'ni 眷吾车而有柅
'juan'xiu'qu'yao'shuang'xi'zhe 捲袖屈腰双膝折
'jue'keng'gai'tu'song'zi'zhong 掘坑盖土送子终
'jue'sai'qian'shan'duan'xing'li 绝塞千山断行李
'jue'sheng'yong'xia'chu'shen'zeng 绝胜永夏处深甑
'jue'shi'qiu'shi'e'you'sheng 抉石求尸俄有声
'jun'bu'ceng'san'zhe'gong 君不曾三折肱
'jun'bu'jian 君不见
'jun'bu'jian'bu'tuo'da'shi'hai'fu'shan 君不见补陀大士海复山
'jun'bu'jian'chang'shan'tai'shou'ma'jie'nu 君不见常山太守骂羯奴
'jun'bu'jian'gao'cheng'e'e'ru'yu'lin 君不见高城齾齾如鱼鳞
'jun'bu'jian'gu'zhe'fang'chuan'bu'jin'kou 君不见古者防川不禁口
'jun'bu'jian'huang'he'zhi'shui'tian'shang'xia 君不见黄河之水天上下
'jun'bu'jian'jing'ke'jian'qi'ling'bai'hong 君不见荆轲剑气凌白虹
'jun'bu'jian'min'zhong'cha'pin'tian'xia'gao 君不见闽中茶品天下高
'jun'bu'jian'qu'nian'san'dong'wu'yi'bai 君不见去年三冬无一白
'jun'bu'jian'qu'ping'fang'zhu'nan'ci'chu 君不见屈平放逐南辞楚
'jun'bu'jian'shui'jing'pin'di'tian'xia'shui 君不见水经品第天下水
'jun'bu'jian'song'ji'yi'zu'chun'qiu'bei 君不见宋姬一卒春秋悲
'jun'bu'jian'wen'gong'nian'fang'tiao'chen'shi 君不见温公年方髫龀时
'jun'bu'jian'wu'an'qian'tang'li'qu'zhan 君不见武安前堂立曲旃
'jun'bu'jian'xian'nian'chun'han'niu'yu'yi 君不见先年春旱牛遇疫
'jun'bu'jian'yu'zhong'cun'yin'qing'chi'bi 君不见禹重寸阴轻尺璧
'jun'bu'jian'zhi'jin'song'yu'chuan'bei'qiu 君不见至今宋玉传悲秋
'jun'bu'jian'zhui'weng'tui'yin'zhen'huang'shi 君不见赘翁退隐真皇时
'jun'bu'lai'xi'yu'chou 君不来兮予愁
'jun'du'he'wei'zhi'yu'ci 君独何为至于此
'jun'gu'wu'sheng'ru'ji'fou 军鼓无声如击缶
'jun'he'guo'er'mo'qiu 君何国而莫求
'jun'ji'wei'chang'shi'wu'hui 君饥未尝食乌喙
'jun'jia'shui'le'zhen'you'yu 君家水乐真有余
'jun'jia'xiong'di'ru'liang'xie 君家兄弟如两谢
'jun'jiang'hang'yi'wo'shang'liu 君将行矣我尚留
'jun'jin'yi'chu'fen'zheng'wai 君今已出纷争外
'jun'jing'cheng'xi'wei'lie'xing 君精诚兮为列星
'jun'jing'de'zhi'quan'geng'mei 浚井得之泉更美
'jun'ju'jiu 君举酒
'jun'kan'kuang'da'shi'liu'ling 君看旷达是刘伶
'jun'kan'shen'jun'sui'shi'yang'si'wan 君看神君岁食羊四万
'jun'ke'wei'chang'yin'zhen'yu 君渴未尝饮鸩羽
'jun'nai'he'xi'gui'lai'shuang 君柰何兮归来双
'jun'nian'jin'cai'er'shi'wu 君年今才二十五
'jun'ren'ming'zhi'suo'yu 均人命之所与
'jun'shi'cong'rong'ting'wo'yu 君试从容听我语
'jun'wu'yi 君勿疑
'jun'wu'zuo'jiu'gao'zhi'ming'he 君勿作九皋之鸣鹤
'jun'yan'ci'wu'nan'de'ren 君言此舞难得人
'jun'yan'zhu'fo'wu'xiang 君言诸佛无相
'jun'yi'chang'ju'dong'hai'zou 君亦长居东海陬
'jun'yu'wo'xi 君与我兮
'jun'yuan'yi'nan'xi'wo'yuan'yi'bei 君辕以南兮我辕以北
'kai'bai'nian'zhi'wei'ban'xi 慨百年之未半兮
'kai'shi'yun'zhi'bu'qiu 慨时运之不逑
'kai'yi'yin'zhi'ji'liao 慨遗音之寂寥
'kai'zhi'he'wei'jiu'xi 开之何未久兮
'kan'jun'bu'he'chang'pin'jian 看君不合长贫贱
'kan'kan'xi'ci'zhi'xia 坎坎兮祠之下
'kan'lan'yi'guan'xi 坎壈一官兮
'kan'ren'feng'ge'luan'tai'er'bu'du 看人凤阁鸾台而不妒
'kan'xiao'qi'jian'you'yi'niu 堪笑其间有一牛
'kang'kai'bei'zhuang'ru'cao'liu 慷慨悲壮如曹刘
'kang'kai'mo'wang'cang'sheng'you 慷慨莫忘苍生忧
'kang'wang'gu'zhong'quan'di'yi 康王谷中泉第一
'kao'gong'you'shi'ming'bu'mo 考功右史名不磨
'ke'bian'dou'ze'luo'ze'xie 可笾豆则捋则撷
'ke'dou'sheng'jue 科斗生角
'ke'fan'geng'xi'zhuo'ying 可饭羹兮濯缨
'ke'gong'shi'ze'zhan'ze'fa 可宫室则斩则伐
'ke'huo'zhen'zhi'yue 客或箴之曰
'ke'ji'ai'zeng 渴饥爱憎
'ke'jia'yi'fu'yue'zhi'zhu 可加以鈇钺之诛
'ke'ju'you'guan'ci 恪居有官次
'ke'lian'guo'shi'wu'ma'ge 可怜裹尸无马革
'ke'peng'yu'chen'shi'chun'se 可烹玉尘试春色
'ke'shou'sheng'si'tuo 可受生死托
'ke'sui'yi'bian'pu'zhi'lu 可随以鞭朴之戮
'ke'wu'suo'tuo 客无所托
'ke'xing'dao'ci'zhen'cuo'tuo 客行到此真蹉跎
'ke'yi'bu'wu'ju 可以卜吾居
'ke'yi'wang'you'wei'you'jiu 可以忘忧惟有酒
'ke'yi'wei'wu'you 可以为吾友
'kong'bu'ji'dang'shi'zhi'cong'rong 恐不及当时之从容
'kong'cheng'gu'suo'an 空城姑所安
'kong'chuang'si'fu'gan'xiao'xiao 空床思妇感蠨蛸
'kong'gang'yi'yang'huang'he'qing 空缸一仰黄河倾
'kong'kan'qing'jian'bei'mao'fa 空看青鉴悲毛发
'kong'meng'xing'shi'ri'gao'gao 孔孟行世日杲杲
'kong'ming'wei'shi'tai'cang'mi 空名未食太仓米
'kong'qing'nv'xi'xing'qiu 恐青女兮行秋
'kong'shan'ju'hua'shou'ru'ji 空山菊花瘦如棘
'kong'shan'nu'xiao'bao'hou'hu 空山怒哮饱后虎
'kong'shi'chuan'wen'zhang 空使传文章
'kong'shi'fu'pian'ci 恐是妇偏辞
'kong'tang'hu'deng'zhao'ji'xi 空堂呼灯照几席
'kong'you'lu'lian'xin'du'zai 空有鲁连心独在
'kong'yu'shi'jiu'xing'bu'qian 空馀诗酒兴不浅
'kong'zhong'zhan'che'yi'yi'xiang 空中战车翼以翔
'ku'wu'guan'kuang'mo'lai'xiu 苦无官况莫来休
'ku'xue'chi'song'hai'wei'miao 苦学赤松还未妙
'kuai'xie'yu'chuan'jing'xi'chuan 快泻玉船鲸吸川
'kuai'yin'tian'lu'xi'tan'long 快饮天露吸潭泷
'kuan'zao'hou'huan'zhe 宽燥厚缓者
'kuang'ci'si'fu'chui'hua'tang 况此四幅垂华堂
'kuang'de'shu'zi'fa'jia'xing 况得数子发嘉兴
'kuang'di'qiu'yi'bu'guo'yi'wen'meng 况地球亦不过一蚊蠓
'kuang'fu'huang'kou'fa'xiu'han 况复黄口乏修翰
'kuang'ge'bu'bi'zhong'qu 狂歌不必终曲
'kuang'gong'cai'xue'ju'chao'jue 况公才学俱超绝
'kuang'wo'guan'ju'si'peng'dao 况我官居似蓬岛
