'bai'yu'ru'zhou 白鱼入舟
'bai'yu'wei'xia 白玉微瑕
'bai'yu'wu'xia 白玉无瑕
'bai'yun'cang'gou 白云苍狗
'bai'yun'gu'fei 白云孤飞
'bai'yun'qin'she 白云亲舍
'bai'zhan'bai'bai 百战百败
'bai'zhan'bai'sheng 百战百胜
'bai'zhan'bu'dai 百战不殆
'bai'zhe'bu'hui 百折不回
'bai'zhe'bu'nao 百折不挠
'bai'zhe'bu'qu 百折不屈
'bai'zhe'qian'hui 百折千回
'bai'zhi'hei'zi 白纸黑字
'bai'zhuan'qian'sheng 百啭千声
'bai'zi'qian'hong 百紫千红
'bai'zong'qian'sui 百纵千随
'bai'zu'zhi'chong 百足之虫
'ban'ban'la'la 半半拉拉
'ban'ban'liu'shi'si 板板六十四
'ban'ban'lu'lu 半半路路
'ban'bi'he'shan 半壁河山
'ban'bi'jiang'shan 半壁江山
'ban'bi'shan'he 半壁山河
'ban'bo'lu'li 斑驳陆离
'ban'bo'lu'li 班驳陆离
'ban'bu'lun'yu 半部论语
'ban'bu'lun'yu'zhi'tian'xia 半部论语治天下
'ban'chou'bu'na 半筹不纳
'ban'chou'mo'zhan 半筹莫展
'ban'chun'di'she 搬唇递舌
'ban'dong'bu'dong 半懂不懂
'ban'gong'xing'shang 班功行赏
'ban'jie'ru'tu 半截入土
'ban'jie'yi'zhi 半解一知
'ban'jin'ba'liang 半斤八两
'ban'jing'dao'gu 班荆道故
'ban'jing'dao'jiu 班荆道旧
'ban'kou'nong'she 搬口弄舌
'ban'long'fu'feng 扳龙附凤
'ban'lu'chu'jia 半路出家
'ban'ma'wen'zhang 班马文章
'ban'men'nong'fu 班门弄斧
'ban'meng'ban'xing 半梦半醒
'ban'mian'zhi'jiao 半面之交
'ban'mian'zhi'jiu 半面之旧
'ban'nong'shi'fei 搬弄是非
'ban'qing'ban'huang 半青半黄
'ban'shang'ding'ding 板上钉钉
'ban'shang'luo'xia 半上落下
'ban'shang'zou'wan 阪上走丸
'ban'shen'bu'sui 半身不遂
'ban'sheng'ban'shu 半生半熟
'ban'sheng'bu'shu 半生不熟
