'fa'xue'li'lun 法学理论
'fa'yi'xue 法医学
'fa'yu'sheng'wu'xue 发育生物学
'fa'yu'yu'yan'wen'xue 法语语言文学
'fa'zhan'jing'ji'xue 发展经济学
'fa'zhan'yu'xin'li'xue 发展与心理学
'fan'bu'zheng'dang'jing'ji'fa 反不正当经济法
'fan'du 泛读
'fan'han'fen'xi 泛函分析
'fan'yi 翻译
'fan'yi'li'lun'yu'ji'qiao 翻译理论与技巧
'fang'ji'xue 方剂学
'fang'she'yi'xue 放射医学
'fang'wu'jian'zhu'xue 房屋建筑学
'fang'wu'jian'zhu'xue'ke'cheng'she'ji 房屋建筑学课程设计
'fang'zai'jian'zai'gong'cheng'ji'fang'hu'gong'cheng 防灾减灾工程及防护工程
'fang'zhen'yu'fu'zhu'she'ji 仿真与辅助设计
'fang'zhi'cai'liao'yu'fang'zhi'pin'she'ji 纺织材料与纺织品设计
'fang'zhi'gong'cheng 纺织工程
'fang'zhi'hua'xue'yu'ran'zheng'gong'cheng 纺织化学与染整工程
'fang'zhi'ke'xue'yu'gong'cheng 纺织科学与工程
'fei'dian'liang'ce'liang 非电量测量
'fei'jin'shu'cai'liao 非金属材料
'fei'teng'ran'shao 沸腾燃烧
'fei'xian'xing'cai'yang'xi'tong 非线性采样系统
'fei'xian'xing'guang'xue 非线性光学
'fei'xian'xing'gui'hua 非线性规划
'fei'xian'xing'kong'zhi'li'lun 非线性控制理论
'fei'xian'xing'zhen'dang 非线性振荡
'fei'xian'xing'zhen'dong 非线性振动
'fei'xing'qi'she'ji 飞行器设计
'fen'bu'shi'ji'suan'ji'xi'tong 分布式计算机系统
'fen'xi'hua'xue 分析化学
'fen'xi'hua'xue'shi'yan 分析化学实验
'fen'xi'li'xue 分析力学
'fen'zi'sheng'wu'xue 分子生物学
'feng'ji'san'yuan'liu'dong'li'lun'yu'she'ji 风机三元流动理论与设计
'feng'ji'tiao'jie 风机调节
'feng'ji'tiao'jie'shi'yong'yun'zhuan 风机调节使用运转
'feng'neng'li'yong 风能利用
'feng'xian'tou'zi'fen'xi 风险投资分析
'fu'bian'han'shu 复变函数
'fu'bian'han'shu'yu'ji'fen'bian'huan 复变函数与积分变换
'fu'chan'ke'xue 妇产科学
'fu'he'cai'liao'li'xue 复合材料力学
'fu'li'ye'guang'xue 傅里叶光学
'fu'she'fang'hu'ji'huan'jing'bao'hu 辐射防护及环境保护
'fu'shi'dian'hua'xue'shi'yan 腐蚀电化学实验
'fu'zhu'ji'xie 辅助机械
'fu'zhuang'she'ji'yu'gong'cheng 服装设计与工程
'gai'lun 概论
'gai'lv'lun 概率论
'gai'lv'lun'yu'shu'li'tong'ji 概率论与数理统计
'gai'lv'lun'yu'sui'ji'guo'cheng 概率论与随机过程
'gai'lv'yu'tong'ji 概率与统计
'gang'bi'hua 钢笔画
'gang'de're'chu'li 钢的热处理
'gang'jie'gou 钢结构
'gang'jin'hun'ning'tu 钢筋混凝土
'gang'jin'hun'ning'tu'ji'zhuan'shi'jie'gou 钢筋混凝土及砖石结构
'gang'kou'hai'an'ji'jin'hai'gong'cheng 港口海岸及近海工程
'gang'tie'ye'jin 钢铁冶金
'gang'tong'jie'gou 钢砼结构
'gang'tong'jie'gou'yu'qi'ti'jie'gou 钢砼结构与砌体结构
'gang'tong'ke'cheng'she'ji 钢砼课程设计
'gang'tong'she'ji 钢砼设计
'gao'ceng'jian'zhu'ji'chu'she'ji 高层建筑基础设计
'gao'ceng'jian'zhu'jie'gou'she'ji 高层建筑结构设计
'gao'deng'cai'liao'li'xue 高等材料力学
'gao'deng'dai'shu 高等代数
'gao'deng'jiao'yu'guan'li 高等教育管理
'gao'deng'jiao'yu'shi 高等教育史
'gao'deng'jiao'yu'xue 高等教育学
'gao'deng'shu'xue 高等数学
'gao'dian'ya'ce'shi'ji'shu 高电压测试技术
'gao'dian'ya'ji'shu 高电压技术
'gao'dian'ya'ji'shu'yu'she'bei 高电压技术与设备
