'a'bi'di'yu 阿鼻地狱
'jin'tui'liang'nan 进退两难
'jin'tui'shi'ju 进退失据
'jin'tui'wei'gu 进退维谷
'jin'tui'wu'ju 进退无据
'jin'tui'wu'lu 进退无路
'jin'tui'wu'men 进退无门
'jin'tui'you'chang 进退有常
'jin'wang'shu'kuo 禁网疏阔
'jin'wu'bu'jin 金吾不禁
'jin'wu'cang'jiao 金屋藏娇
'jin'wu'zhu'jiao 金屋贮娇
'jin'wu'zu'chi 金无足赤
'jin'xi'zhi'gan 今昔之感
'jin'xian'ren'neng 进贤任能
'jin'xiang'qing'qie 近乡情怯
'jin'xiang'yu'zhi 金相玉质
'jin'xiao'shen'wei 谨小慎微
'jin'xin'jie'li 尽心竭力
'jin'xin'jin'li 尽心尽力
'jin'xin'xiu'chang 锦心绣肠
'jin'xin'xiu'fu 锦心绣腹
'jin'xin'xiu'kou 锦心绣口
'jin'xing'wu'hao'bu 紧行无好步
'jin'xiu'gan'chang 锦绣肝肠
'jin'xiu'he'shan 锦绣河山
'jin'xiu'jiang'shan 锦绣江山
'jin'xiu'qian'cheng 锦绣前程
'jin'xiu'shan'he 锦绣山河
'jin'yan'shen'xing 谨言慎行
'jin'yang'zhi'jia 晋阳之甲
'jin'yi'shen'mian 仅以身免
'jin'yi'xing'zhou 锦衣行昼
'jin'yi'yu'shi 锦衣玉食
'jin'yin'zi'shou 金印紫绶
'jin'yong'chu'cai 晋用楚材
'jin'you'yu'kun 金友玉昆
'jin'yu'jin'xiu 金玉锦绣
'jin'yu'liang'yan 金玉良言
'jin'yu'liang'yuan 金玉良缘
'jin'yu'man'tang 金玉满堂
'jin'yu'qi'wai 金玉其外
'jin'yu'qi'zhi 金玉其质
'jin'yu'shi'zhi 矜愚饰智
'jin'yu'zhi'yan 金玉之言
'jin'yue'gu'yue 今月古月
'jin'yue'yuan'lai 近悦远来
'jin'zai'mei'jie 近在眉睫
'jin'zai'zhi'chi 近在咫尺
'jin'zhang'zi'shou 金章紫绶
'jin'zhao'you'jiu'jin'zhao'zui 今朝有酒今朝醉
'jin'zhen'du'ren 金针度人
'jin'zhi'fu'neng 矜智负能
'jin'zhi'ling'xing 禁止令行
'jin'zhi'yu'ye 金枝玉叶
'jin'zhong'bao'guo 尽忠报国
'jin'zhong'jie'li 尽忠竭力
'jin'zhu'zhe'chi 近朱者赤
'jin'zi'zhao'pai 金字招牌
'jing'bang'lun'dao 经邦论道
'jing'bang'wei'guo 经帮纬国
'jing'bing'jian'zheng 精兵简政
'jing'bing'qiang'jiang 精兵强将
'jing'cai'bi'ren 精彩逼人
'jing'cai'feng'yi 惊才风逸
'jing'cai'xiu'fa 精采秀发
'jing'chai'bu'qun 荆钗布裙
'jing'chen'guan'jian 敬陈管见
'jing'cheng'suo'zhi 精诚所至
'jing'cheng'tuan'jie 精诚团结
'jing'da'xi'suan 精打细算
'jing'di'ha'ma 井底蛤蟆
'jing'di'zhi'wa 井底之蛙
'jing'diao'xi'ke 精雕细刻
'jing'e'shi'se 惊愕失色
'jing'er'yuan'zhi 敬而远之
'jing'geng'xi'zuo 精耕细作
'jing'gong'sang'zi 敬恭桑梓
'jing'gong'zhi'niao 惊弓之鸟
'jing'guan'bai'ri 精贯白日
'jing'guan'mo'cha 静观默察
'jing'guo'da'ye 经国大业
'jing'guo'zhi'cai 经国之才
'jing'hong'yan'ying 惊鸿艳影
'jing'hua'shui'yue 镜花水月
'jing'huang'shi'cuo 惊惶失措
'jing'huang'shi'cuo 惊慌失措
'jing'huang'wan'zhuang 惊惶万状
'jing'huang'wu'cuo 惊惶无措
'jing'hun'dong'po 惊魂动魄
'jing'hun'wei'ding 惊魂未定
'jing'ji'cong'sheng 荆棘丛生
'jing'ji'sai'tu 荆棘塞途
'jing'ji'si'dong 静极思动
'jing'ji'tong'tuo 荆棘铜驼
'jing'ji'zai'tu 荆棘载途
'jing'ji'zhi'cai 经济之才
'jing'jin'bai'lian 精金百炼
'jing'jin'liang'yu 精金良玉
'jing'jin'mei'yu 精金美玉
'jing'jin'shu'gu 竞今疏古
'jing'jin'yong'meng 精进勇猛
'jing'jing'ye'ye 兢兢业业
'jing'jing'you'tiao 井井有条
'jing'jing'you'xu 井井有序
'jing'jing'zhan'zhan 兢兢战战
'jing'jiu'bu'xi 经久不息
'jing'jiu'qin'cao 井臼亲操
'jing'kong'shi'se 惊恐失色
'jing'kong'wan'zhuang 惊恐万状
'jing'kui'jue'long 警愦觉聋
'jing'lao'ci'you 敬老慈幼
'jing'lao'lian'pin 敬老怜贫
'jing'lao'xu'pin 敬老恤贫
'jing'lao'zun'xian 敬老尊贤
'jing'li'chong'pei 精力充沛
'jing'li'guan'hua 镜里观花
'jing'lun'man'fu 经纶满腹
'jing'mei'jue'lun 精美绝伦
'jing'miao'jue'lun 精妙绝伦
'jing'ming'neng'gan 精明能干
'jing'ming'qiang'gan 精明强干
'jing'ming'xing'xiu 经明行修
'jing'nian'lei'yue 经年累月
'jing'pi'li'jie 精疲力竭
'jing'pi'li'jin 精疲力尽
'jing'po'chai'fen 镜破钗分
'jing'qi'bi'ri 旌旗蔽日
'jing'qi'juan'shu 旌旗卷舒
'jing'qing'wei'zhuo 泾清渭浊
'jing'qing'zhi'sui 径情直遂
'jing'qing'zhi'xing 径情直行
'jing'qiu'xun'he 经丘寻壑
'jing'ran'you'wu 憬然有悟
'jing'ran'you'xu 井然有序
'jing'ren'she'yong 荆人涉澭
'jing'ru'chu'nv 静如处女
'jing'ru'shang'bin 敬如上宾
'jing'rui'zhi'shi 精锐之师
'jing'ruo'chu'zi 静若处子
'jing'ruo'shen'ming 敬若神明
'jing'shan'zhi'yu 荆山之玉
'jing'shang'ai'xia 敬上爱下
'jing'she'ru'cao 惊蛇入草
'jing'shen'dou'sou 精神抖擞
'jing'shen'huan'fa 精神焕发
'jing'shen'huang'hu 精神恍惚
'jing'shen'man'fu 精神满腹
'jing'sheng'tun'quan 景升豚犬
'jing'shi'bai'zi 经史百子
'jing'shi'dong'zhong 惊师动众
'jing'shi'hai'su 惊世骇俗
'jing'shi'zhi'cai 经世之才
'jing'shui'bu'fan'he'shui 井水不犯河水
'jing'tao'hai'lang 惊涛骇浪
'jing'tian'di 惊天地
'jing'tian'dong'di 惊天动地
'jing'tian'ji'di 荆天棘地
'jing'tian'wei'di 经天纬地
'jing'tun'can'shi 鲸吞蚕食
'jing'wa'zhi'jian 井蛙之见
'jing'wei'bu'fen 泾渭不分
'jing'wei'fen'ming 泾渭分明
'jing'wei'tian'hai 精卫填海
'jing'wei'tian'xia 经纬天下
'jing'wei'wan'duan 经纬万端
'jing'wen'wei'wu 经文纬武
'jing'xi'jiao'ji 惊喜交集
'jing'xi'jiao'jia 惊喜交加
'jing'xi'niu'yin 鲸吸牛饮
'jing'xi'ruo'kuang 惊喜若狂
'jing'xi'yu'kuang 惊喜欲狂
'jing'xian'li'shi 敬贤礼士
'jing'xiao'shen'wei 敬小慎微
'jing'xie'bu'min 敬谢不敏
'jing'xin'dao'dan 惊心悼胆
'jing'xin'dong'po 惊心动魄
'jing'xing'feng'huang 景星凤皇
'jing'xing'lin'feng 景星麟凤
'jing'xing'qing'yun 景星庆云
'jing'yan'ling'se 静言令色
'jing'yan'yong'wei 靖言庸违
'jing'yan'zhi'tan 经验之谈
'jing'ye'le'qun 敬业乐群
'jing'yi'qiu'jing 精益求精
'jing'yi'shi 经一事
'jing'yi'zhou'san 径一周三
'jing'yuan'tuo'tu 惊猿脱兔
'jing'zhao'hua'mei 京兆画眉
'jing'zhao'mei'wu 京兆眉妩
'jing'zhen'man'mu 荆榛满目
'jing'zhong'bao'guo 精忠报国
'jing'zhong'shen'shi 敬终慎始
'jing'zhong'shi'xing 井中视星
'jing'zhuo'wei'qing 泾浊渭清
'jiong'bu'you'ren 迥不犹人
'jiong'jiong'you'shen 炯炯有神
'jiong'ran'bu'qun 迥然不群
'jiong'ran'bu'tong 迥然不同
'jiu'ai'fen'tong 灸艾分痛
'jiu'an'chang'zhi 久安长治
'jiu'bian'shi'hua 九变十化
'jiu'bie'chong'feng 久别重逢
'jiu'bing'cheng'yi 久病成医
'jiu'bing'fu'fa 旧病复发
'jiu'bing'hua'chou 酒病花愁
'jiu'chan'bu'qing 纠缠不清
'jiu'che'zhu'ma 鸠车竹马
'jiu'chi'rou'lin 酒池肉林
'jiu'chou'su'yuan 旧仇宿怨
'jiu'chou'xin'hen 旧愁新恨
'jiu'chu'zhi'jiao 臼杵之交
'jiu'di'chong'you 旧地重游
'jiu'di'qu'cai 就地取材
'jiu'di'zheng'fa 就地正法
'jiu'diao'chong'tan 旧调重弹
'jiu'ding'bu'zu'wei'zhong 九鼎不足为重
'jiu'ding'da'lv 九鼎大吕
'jiu'ding'yi'si 九鼎一丝
'jiu'er'jiu'zhi 久而久之
'jiu'fen'tou'xin 救焚投薪
'jiu'fen'yi'xin 救焚益薪
'jiu'fen'zheng'ni 救焚拯溺
'jiu'fu'sheng'ming 久负盛名
'jiu'gai'ba'shan 九垓八埏
'jiu'gong'pi'cai 鸠工庀材
'jiu'guan'lao'cheng 久惯牢成
'jiu'guo'bu'que 救过补阙
'jiu'han'er're 酒酣耳热
'jiu'han'feng'gan'yu 久旱逢甘雨
'jiu'hang'ba'ye 九行八业
'jiu'he'zhi'zhong 纠合之众
'jiu'hen'xin'chou 旧恨新仇
'jiu'hen'xin'chou 旧恨新愁
'jiu'hou'shi'yan 酒后失言
'jiu'hou'wu'de 酒后无德
'jiu'hua'chong'ti 旧话重提
'jiu'huai'mu'lin 久怀慕蔺
'jiu'hui'chang 九回肠
'jiu'hui'chang'duan 九回肠断
'jiu'huo'tou'xin 救火投薪
'jiu'huo'yang'fei 救火扬沸
'jiu'ji'feng'chi 鸠集凤池
'jiu'ji'fu'shang 救急扶伤
'jiu'jia'bu'gui 久假不归
'jiu'jing'feng'shuang 久经风霜
'jiu'jing'yin'zu 救经引足
'jiu'jiu'gui'yi 九九归一
'jiu'jiu'wu'fu 赳赳武夫
'jiu'ju'ren'xia 久居人下
'jiu'ku'jiu'nan 救苦救难
'jiu'kun'fu'wei 救困扶危
'jiu'lan'ren'san 酒阑人散
'jiu'lie'san'zhen 九烈三贞
'jiu'liu'bin'ke 九流宾客
'jiu'liu'ren'wu 九流人物
'jiu'liu'san'jiao 九流三教
'jiu'liu'shi'jia 九流十家
'jiu'lv'deng'hong 酒绿灯红
'jiu'min'shui'huo 救民水火
'jiu'min'yu'shui'huo 救民于水火
'jiu'nang'fan'dai 酒囊饭袋
'jiu'nian'fu'meng 旧念复萌
'jiu'nian'zhi'chu 九年之储
'jiu'nian'zhi'xu 九年之蓄
'jiu'niu'er'hu'zhi'li 九牛二虎之力
'jiu'niu'la'bu'zhuan 九牛拉不转
'jiu'niu'yi'hao 九牛一毫
'jiu'niu'yi'mao 九牛一毛
'jiu'ping'zhuang'xin'jiu 旧瓶装新酒
'jiu'qu'hui'chang 九曲回肠
'jiu'quan'zhi'xia 九泉之下
'jiu'ren'yi'ming 救人一命
'jiu'rou'peng'you 酒肉朋友
'jiu'rou'xiong'di 酒肉兄弟
'jiu'ru'she'chu 酒入舌出
'jiu'ru'shi'gai 九儒十丐
'jiu'se'cai'qi 酒色财气
'jiu'se'zhi'tu 酒色之徒
'jiu'shi'di'yu 酒食地狱
'jiu'shi'ji'min 救世济民
'jiu'shi'lun'shi 就事论事
'jiu'shi'zheng'zhu 酒食征逐
'jiu'shi'zhi'chou 九世之仇
'jiu'si'bu'hui 九死不悔
'jiu'si'fu'shang 救死扶伤
'jiu'si'wei'hui 九死未悔
'jiu'si'yi'sheng 九死一生
'jiu'suan'bu'shou 酒酸不售
'jiu'tai'fu'meng 旧态复萌
'jiu'tang'xia'mian 就汤下面
'jiu'tian'jiu'di 九天九地
'jiu'tian'lan'yue 九天揽月
'jiu'tian'xian'nv 九天仙女
'jiu'tou'shen'mu 臼头深目
'jiu'wang'tu'cun 救亡图存
'jiu'wen'da'ming 久闻大名
'jiu'wu'zhi'zun 九五之尊
'jiu'xiao'yun'wai 九霄云外
'jiu'xin'ji'shou 疚心疾首
'jiu'xing'hu'mian 鸠形鹄面
'jiu'xu'bi'shi 就虚避实
'jiu'xuan'bu'jue 久悬不决
'jiu'yao'bu'wang 久要不忘
'jiu'you'bie'chang 酒有别肠
'jiu'you'ying'de 咎有应得
'jiu'you'zi'qu 咎由自取
'jiu'yu'cha'hou 酒余茶后
'jiu'yu'chong'feng 旧雨重逢
'jiu'yu'jin'yu 旧雨今雨
'jiu'yuan'ke'zuo 九原可作
'jiu'zao'sheng'wa 臼灶生蛙
'jiu'zhan'que'chao 鸠占鹊巢
'jiu'zhe'bi 九折臂
'jiu'zheng'you'dao 就正有道
'jiu'zhou'si'hai 九洲四海
'jiu'zhuan'gong'cheng 九转功成
'jiu'zu'fan'bao 酒足饭饱
'jiu'zui'fan'bao 酒醉饭饱
'ju'an'du'shu 据鞍读书
'ju'an'qi'mei 举案齐眉
'ju'an'si'wei 居安思危
'ju'an'zi'shen 居安资深
'ju'bu'chong'xi 居不重席
'ju'bu'fang'xing 矩步方行
'ju'bu'sheng'feng 举步生风
'ju'bu'sheng'ju 举不胜举
'ju'chi'wei'luo 驹齿未落
'ju'chuang'dian'shi 驹窗电逝
'ju'cu'bu'an 局促不安
'ju'cuo'bu'dang 举措不当
'ju'cuo'shi'dang 举措失当
'ju'da'bu'yi 居大不易
'ju'ding'ba'shan 举鼎拔山
'ju'ding'jue'bin 举鼎绝膑
'ju'gao'lin'xia 居高临下
'ju'gao'lin'xia 据高临下
'ju'gong'bing'qi 鞠躬屏气
'ju'gong'jin'cui 鞠躬尽瘁
'ju'gong'zi'ao 居功自傲
'ju'guan'shou'fa 居官守法
'ju'guang'guo'xi 驹光过隙
'ju'guo'ruo'kuang 举国若狂
'ju'guo'shang'xia 举国上下
'ju'guo'yi'zhi 举国一致
'ju'hu'jin'lang 拒虎进狼
'ju'hu'pan'long 踞虎盘龙
'ju'hua'wei'zhi 橘化为枳
'ju'ji'bu'an 跼蹐不安
'ju'ji'jian'ji 屦及剑及
'ju'jian'shi'fei 拒谏饰非
'ju'jian'yong'gui 屦贱踊贵
'ju'jing'hui'shen 聚精会神
'ju'ju'du'xing 踽踽独行
'ju'jue'ying'hua 咀嚼英华
'ju'li'fa'fan 举例发凡
'ju'li'li'zheng 据理力争
'ju'li'si'yi 居利思义
'ju'lian'wu'yan 聚敛无厌
'ju'lu'tan'shang 踞炉炭上
'ju'ma'jin'niu 裾马襟牛
'ju'mi'wei'gu 聚米为谷
'ju'mi'wei'shan 聚米为山
'ju'mu'qian'li 举目千里
'ju'mu'wu'qin 举目无亲
'ju'pian'guai'dai 局骗拐带
'ju'qi'bu'ding 举棋不定
'ju'qi'jue'yi 拘奇抉异
'ju'qi'ruo'ding 举棋若定
'ju'ren'qian'li 距人千里
'ju'ren'qian'li 拒人千里
'ju'ren'yu'qian'li'zhi'wai 拒人于千里之外
'ju'ru'hong'mao 举如鸿毛
'ju'sha'cheng'ta 聚沙成塔
'ju'shan'jian'xian 举善荐贤
'ju'shao'cheng'duo 聚少成多
'ju'shen'qian'jiang 拘神遣将
'ju'shi'hun'zhuo 举世混浊
'ju'shi'jie'zhi 举世皆知
'ju'shi'wen'ming 举世闻名
'ju'shi'wu'di 举世无敌
'ju'shi'wu'shuang 举世无双
'ju'shi'zhi'jiu 举十知九
'ju'shi'zhu'mu 举世瞩目
'ju'shou'bing'xu 俱收并蓄
'ju'shou'jia'e 举手加额
'ju'shou'tou'zu 举手投足
'ju'shou'xiang'qing 举手相庆
'ju'shou'zhi'lao 举手之劳
'ju'song'fen'yun 聚讼纷纭
'ju'su'shou'chang 拘俗守常
'ju'ti'er'wei 具体而微
'ju'tian'ji'di 跼天蹐地
'ju'ting'zhu'ren 居停主人
'ju'tu'wen'shou 据图刎首
'ju'wai'zhi'ren 局外之人
'ju'wang'cuo'zhi 举枉措直
'ju'wei'ji'you 据为己有
'ju'wen'cheng'lei 聚蚊成雷
'ju'wu'yi'ce 举无遗策
'ju'xi'wu'yi 巨细无遗
'ju'xian'ren'neng 举贤任能
'ju'xian'shi'neng 举贤使能
'ju'xin'bu'liang 居心不良
'ju'xin'po'ce 居心叵测
'ju'xin'xian'e 居心险恶
'ju'xue'hong'sheng 钜学鸿生
'ju'yao'shan'wu 举要删芜
'ju'yi'fan'san 举一反三
'ju'yi'fei'bai 举一废百
'ju'yi'qi 居移气
'ju'yu'bu'he 龃龉不合
'ju'yue'san'bai 距跃三百
'ju'zhen'zi'zhuo 句斟字酌
'ju'zhi'bu'fan 举止不凡
'ju'zhi'bu'yi 居之不疑
'ju'zhi'cuo'wang 举直措枉
'ju'zhi'da'fang 举止大方
'ju'zhi'men'wai 拒之门外
'ju'zhi'shi'cuo 举止失措
'ju'zhi'xian'ya 举止娴雅
'ju'zhi'yan'tan 举止言谈
'ju'zhi'zi'ruo 举止自若
'ju'zhong'ruo'qing 举重若轻
'ju'zhong'zi'shi 聚众滋事
'ju'zu'qing'zhong 举足轻重
'juan'ai'zhi'li 涓埃之力
'juan'ben'zhu'mo 捐本逐末
'juan'di'bu'yi 涓滴不遗
'juan'di'cheng'he 涓滴成河
'juan'di'gui'gong 涓滴归公
'juan'di'wei'li 涓滴微利
'juan'di'zhi'lao 涓滴之劳
'juan'gu'ming'xin 镌骨铭心
'juan'hao'jing'xiu 娟好静秀
'juan'jia'bei'dao 卷甲倍道
'juan'jie'zhi'shi 狷介之士
'juan'juan'bu'yong 涓涓不壅
'juan'juan'zhi'xin 眷眷之心
'juan'lao'yang'wu 圈牢养物
'juan'niao'zhi'huan 倦鸟知还
'juan'qi'qian'xian 捐弃前嫌
'juan'qu'bao'guo 捐躯报国
'juan'qu'fu'nan 捐躯赴难
'juan'qu'xun'guo 捐躯殉国
'juan'tu'chong'lai 卷土重来
'juan'wei'chi'se 倦尾赤色
'juan'xin'ming'gu 镌心铭骨
'juan'zhi'hao'fan 卷帙浩繁
'jue'chang'bu'duan 绝长补短
'jue'chang'ji'duan 绝长继短
'jue'chang'xu'duan 绝长续短
'jue'chu'feng'sheng 绝处逢生
'jue'chuan'yin'xue 嚼穿龈血
'jue'dai'jia'ren 绝代佳人
'jue'di'er'qi 崛地而起
'jue'ding'cong'ming 绝顶聪明
'jue'duan'ru'liu 决断如流
'jue'er'bu'zheng 谲而不正
'jue'er'nao'sai 撧耳挠腮
'jue'gan'fen'shao 绝甘分少
'jue'guai'zhi'tan 谲怪之谈
'jue'hou'guang'qian 绝后光前
'jue'jiang'ju'ao 倔强倨傲
'jue'jin'bu'jian'ren 攫金不见人
'jue'jing'ji'quan 掘井及泉
'jue'ju'er'qu 绝裾而去
'jue'keng'jue'qian 撅坑撅堑
'jue'kou'bu'dao 绝口不道
'jue'lu'feng'sheng 绝路逢生
'jue'lun'yi'qun 绝伦逸群
'jue'miao'hao'ci 绝妙好辞
'jue'mo'pen'zhi 嚼墨喷纸
'jue'mu'wu'men 抉目吴门
'jue'qi'ben'gen 绝其本根
'jue'ren'jue'shi 觉人觉世
'jue'ren'qi'yi 绝仁弃义
'jue'se'jia'ren 绝色佳人
'jue'shao'fen'gan 绝少分甘
'jue'sheng'miao'tang 决胜庙堂
'jue'sheng'qi'zhi 绝圣弃智
'jue'sheng'qian'li 决胜千里
'jue'sheng'yu'qian'li'zhi'wai 决胜于千里之外
'jue'shi'chao'lun 绝世超伦
'jue'shi'du'li 绝世独立
'jue'shi'jia'ren 绝世佳人
'jue'shi'qiu'shu 掘室求鼠
'jue'shi'wu'shuang 绝世无双
'jue'shou'cheng'gui 橛守成规
'jue'tou'jiang'nao 倔头强脑
'jue'wei'ji'you 攫为己有
'jue'wu'jin'you 绝无仅有
'jue'xia'yan'yu 抉瑕掩瑜
'jue'xin'zhi'huo 绝薪止火
'jue'yi'ci'xiong 决一雌雄
'jue'yi'sheng'fu 决一胜负
'jue'yi'si'zhan 决一死战
'jue'zi'jue'sun 绝子绝孙
'jun'ban'yan'che 峻阪盐车
'jun'chen'zuo'shi 君臣佐使
'jun'fa'cong'shi 军法从事
'jun'gu'qian'yan 骏骨牵盐
'jun'jie'lian'han 俊杰廉悍
'jun'lin'cheng'xia 军临城下
'jun'ling'ru'shan 军令如山
'jun'ming'wu'er 君命无二
'jun'ru'chen'si 君辱臣死
'jun'shou'jian'zu 皲手茧足
'jun'tian'guang'yue 钧天广乐
'jun'yu'diao'qiang 峻宇雕墙
'jun'zi'gu'qiong 君子固穷
'jun'zi'hao'qiu 君子好逑
'jun'zi'yi'yan 君子一言
'jun'zi'zhi'jiao 君子之交
'jun'zi'zhi'jiao'dan'ru'shui 君子之交淡如水
'kai'cheng'bu'gong 开诚布公
'kai'cheng'xiang'jian 开诚相见
'kai'dang'yi'kang 慨当以慷
'kai'gong'bu'fang'jian 开弓不放箭
'kai'guo'gong'chen 开国功臣
'kai'guo'yuan'lao 开国元老
'kai'guo'yuan'xun 开国元勋
'kai'he'zi'ru 开合自如
'kai'hua'jie'guo 开花结果
'kai'huai'chang'yin 开怀畅饮
'kai'ji'chuang'ye 开基创业
'kai'ji'li'ye 开基立业
'kai'jiang'pi'tu 开疆辟土
'kai'juan'you'yi 开卷有益
'kai'ke'qu'shi 开科取士
'kai'kou'jian'xin 开口见心
'kai'lu'xian'feng 开路先锋
'kai'luo'he'dao 开锣喝道
'kai'men'jian'shan 开门见山
'kai'men'qi'jian'shi 开门七件事
'kai'men'yi'dao 开门揖盗
'kai'ran'ying'yun 慨然应允
'kai'ran'yun'nuo 慨然允诺
'kai'shan'bi'zu 开山鼻祖
'kai'shan'lao'zu 开山老祖
'kai'shan'zu'shi 开山祖师
'kai'tai'luo'gu 开台锣鼓
'kai'tian'pi'di 开天辟地
'kai'wu'cheng'wu 开物成务
'kai'wu'du'tian 开雾睹天
'kai'xia'chu'hu 开柙出虎
'kai'xin'jian'cheng 开心见诚
'kai'yuan'jie'liu 开源节流
'kai'yun'jian'ri 开云见日
'kai'zong'ming'yi 开宗明义
'kan'cai'chi'fan 看菜吃饭
'kan'feng'shi'chuan 看风驶船
'kan'feng'shi'chuan 看风使船
'kan'feng'shi'duo 看风使舵
'kan'jia'ben'ling 看家本领
'kan'jia'ben'shi 看家本事
'kan'jing'sheng'qing 看景生情
'kan'jing'zhi'wa 坎井之蛙
'kan'kan'e'e 侃侃谔谔
'kan'kan'er'tan 侃侃而谈
'kan'kan'er'yan 侃侃而言
'kan'ke'bu'ping 坎坷不平
'kan'po'hong'chen 看破红尘
'kan'ren'mei'jie 看人眉睫
'kan'ren'mei'yan 看人眉眼
'kan'ren'xing'shi 看人行事
'kan'sha'wei'jie 看杀卫玠
'kan'xia'si'xi 瞰瑕伺隙
'kan'xin'ke'gu 刊心刻骨
'kan'yi'gao'wei 堪以告慰
'kan'zhu'cheng'bi 看朱成碧
'kang'cai'ban'nian'liang 糠菜半年粮
'kang'chen'zou'su 抗尘走俗
'kang'ji'zhi'hui 亢极之悔
'kang'kai'bei'ge 慷慨悲歌
'kang'kai'chen'ci 慷慨陈词
'kang'kai'fu'yi 慷慨赴义
'kang'kai'ji'ang 慷慨激昂
'kang'kai'ji'yang 慷慨激扬
'kang'kai'jie'nang 慷慨解囊
'kang'kai'jiu'yi 慷慨就义
'kang'kai'lin'li 慷慨淋漓
'kang'kai'shu'jiang 慷慨输将
'kang'kai'zhang'yi 慷慨仗义
'kang'li'qing'shen 伉俪情深
'kang'long'you'hui 亢龙有悔
'kang'ta'ren'zhi'kai 慷他人之慨
'kang'yan'wei'shi 抗颜为师
'kang'zhuang'da'dao 康庄大道
'kao'ji'you'ming 考绩幽明
'kao'lun'shen'ma 尻轮神马
'kao'shan'chi'shan 靠山吃山
'kao'shang'san'jun 犒赏三军
'kao'shui'chi'shui 靠水吃水
'ke'ban'chu'shen 科班出身
'ke'bo'gua'si 刻薄寡思
'ke'bu'rong'huan 刻不容缓
'ke'cao'zuo'quan 可操左券
'ke'chen'wan'hu 渴尘万斛
'ke'cheng'zhi'ji 可乘之机
'ke'cheng'zhi'xi 可乘之隙
'ke'di'zhi'sheng 克敌制胜
'ke'er'chuan'jing 渴而穿井
'ke'er'jue'jing 渴而掘井
'ke'fa'yi'jue 可发一噱
'ke'ge'ke'qi 可歌可泣
'ke'gu'chou'hen 刻骨仇恨
'ke'gu'lou'xin 刻骨镂心
'ke'gu'ming'xin 刻骨铭心
'ke'gu'xiang'si 刻骨相思
'ke'hu'lei'wu 刻鹄类鹜
'ke'hua'ru'wei 刻画入微
'ke'hua'wu'yan 刻画无盐
'ke'ji'ben'quan 渴骥奔泉
'ke'ji'feng'gong 克己奉公
'ke'ji'fu'li 克己复礼
'ke'ji'ke'gu 刻肌刻骨
'ke'ji'shen'xing 克己慎行
'ke'jian'ke'qin 克俭克勤
'ke'jian'yi'ban 可见一斑
'ke'jin'jue'zhi 克尽厥职
'ke'juan'za'shui 苛捐杂税
'ke'ku'nai'lao 刻苦耐劳
'ke'mu'wei'li 刻木为吏
'ke'qin'ke'jian 克勤克俭
'ke'ran'chang'wang 溘然长往
'ke'shao'ji'qiu 克绍箕裘
'ke'shou'bu'yu 恪守不渝
'ke'shou'cheng'xian 恪守成宪
'ke'si'ta'xiang 客死他乡
'ke'tou'ji'ju 科头箕踞
'ke'tou'li'bai 磕头礼拜
'ke'tou'peng'nao 磕头碰脑
'ke'tou'ru'dao 磕头如捣
'ke'tou'xian'zu 科头跣足
'ke'tuo'cheng'zhu 咳唾成珠
'ke'wang'bu'ke'ji 可望不可即
'ke'wang'er'bu'ke'ji 可望而不可即
'ke'wang'er'bu'ke'ji 可望而不可及
'ke'wu'cai'feng 刻雾裁风
'ke'xian'zhao'lu 溘先朝露
'ke'xiang'er'zhi 可想而知
'ke'xin'ru'yi 可心如意
'ke'ya'liao'zui 磕牙料嘴
'ke'yi'jing'ying 刻意经营
'ke'yi'qiu'gong 刻意求工
'ke'you'ke'wu 可有可无
'ke'yu'e'yan 课语讹言
'ke'zhang'zuo'ju 刻章琢句
'ke'zhe'yi'wei'yin 渴者易为饮
'ke'zhe'yi'yin 渴者易饮
'ke'zheng'meng'yu'hu 苛政猛于虎
'ke'zhou'qiu'jian 刻舟求剑
'ke'zu'shi'ju 刻足适屦
'ken'gou'ken'tang 肯构肯堂
'ken'tang'ken'gou 肯堂肯构
'keng'beng'guai'pian 坑绷拐骗
'keng'hui'wei'leng 坑灰未冷
'keng'jia'bai'ye 坑家败业
'keng'jin'jia'yu 铿金戛玉
'keng'keng'zhi'yu 硁硁之愚
'keng'meng'guai'pian 坑蒙拐骗
'keng'qiang'dun'cuo 铿镪顿挫
'kong'cheng'ji 空城计
'kong'dong'wu'wu 空洞无物
'kong'fei'ci'shuo 空费词说
'kong'fu'gao'xin 空腹高心
'kong'fu'pian'pian 空腹便便
'kong'gu'bai'ju 空谷白驹
'kong'gu'chuan'sheng 空谷传声
'kong'gu'you'lan 空谷幽兰
'kong'gu'zu'yin 空谷足音
'kong'hou'wu'ping 恐后无凭
'kong'hou'zheng'xian 恐后争先
'kong'hua'lian'pian 空话连篇
'kong'huang'wan'zhuang 恐慌万状
'kong'kong'ru'ye 空空如也
'kong'kou'shuo'bai'hua 空口说白话
'kong'kou'wu'ping 空口无凭
'kong'meng'zhi'dao 孔孟之道
'kong'ming'ze'shi 控名责实
'kong'qian'jue'hou 空前绝后
'kong'shi'qing'ye 空室清野
'kong'tan'kuai'yi 空谈快意
'kong'tou'zhi'piao 空头支票
'kong'wu'you'li 孔武有力
'kong'xi'mo'tu 孔席墨突
'kong'xin'tang'yuan 空心汤圆
'kong'xue'lai'feng 空穴来风
'kong'zao'wu'yi 恐遭物议
'kong'zhong'lou'ge 空中楼阁
'kou'bei'zai'dao 口碑载道
