'a'tong'san'chi'chui 阿童三尺棰
'ji'quan'ge'cun'luo 鸡犬各村落
'ji'ri'chuan'xian'liu 积日穿线溜
'ji'ri'ji'liao'shang'jiu'hou 几日寂寥伤酒后
'ji'ru'wan'qi'qian'li'lai 疾如万骑千里来
'ji'shan'cang'dun'xu 箕山藏遁许
'ji'sheng'xiu'de'dao'mei'hua 几生修得到梅花
'ji'shi'zhen'you'liu'jun'lai 几时真有六军来
'ji'shou'zhong'shi'ke 妓收中使客
'ji'sou'qi'ju'bao'xin'qing 急搜奇句报新晴
'ji'wang'sui'nan'dou 极望随南斗
'ji'wo'wu'qiong'jing 寄我无穷境
'ji'wu'dong'bei'chang 及寤动悲肠
'ji'xi'bu'de'yu 极喜不得语
'ji'yan'chuan'shu'xie'bu'neng 寄雁传书谢不能
'ji'yan'han'sheng'wu 几砚寒生雾
'ji'ye'gao'guan'mo'wu'dong 岌嶪高冠摩屋栋
'ji'yi'zhi'fen'fu'wo'mian 既以脂粉傅我面
'ji'yin'wu'liu'tang 疾饮无留汤
'ji'yu'qi'wu'yi 急雨岂无意
'ji'yu'sheng'ru'dao'bai'chuan 急雨声如倒百川
'jia'bing'jing'xi'zheng'shu'chuo 甲兵净洗征输辍
'jia'er'san'zi'shen'hao'xian 嘉二三子甚好贤
'jia'ji'wu'wang'gao'nai'weng 家祭无忘告乃翁
'jia'jia'yang'zi'xue'geng'zhi 家家养子学耕织
'jia'nv'bu'li'jia 嫁女不离家
'jia'shan'kong'chang'wang 家山空怅望
'jia'xuan'weng'ji'jiang'nan'gu'ren 家铉翁寄江南故人
'jia'zai'jiang'nan'huang'ye'cun 家在江南黄叶村
'jian'cai'miao'chu'fei'dao'chi 剪裁妙处非刀尺
'jian'fu'chu'chen'ying 间拊楚臣膺
'jian'gu'you'hu'wu 涧谷犹呼舞
'jian'jin'zhong'yuan'yu'yin'hao 渐近中原语音好
'jian'ke'lei'ma'xuan'dian'cha 见客擂麻旋点茶
'jian'lao'qing'yi'yan 渐老情易厌
'jian'qu'you'yan'ming 见渠犹眼明
'jian'she'chan'fu'xin 箭射谗夫心
'jian'yu'fen'lie'sui'jiao'wu 健鱼奋鬣随蛟舞
'jian'zai'chuang'tou'shi'zai'shou 剑在床头诗在手
'jian'zhi'lin'feng'bei 荐致临风悲
'jian'zhu'bu'jian'ren 见竹不见人
'jian'zhuo'chan'fu'mian 剑斫谗夫面
'jiang'cun'yan'wai'yu'jiao'ming 江村烟外雨脚明
'jiang'di'chui'fan'zuo'jiang'mian 江底吹翻作江面
'jiang'fei'geng'zuo'hui'feng'wu 将飞更作回风舞
'jiang'hu'chun'yan'yi'wu'duo 江湖春雁已无多
'jiang'hu'jiong'bu'jian'fei'qin 江湖迥不见飞禽
'jiang'hu'ye'yu'shi'nian'deng 江湖夜雨十年灯
'jiang'hua'tuo'wan'hong 江花脱晚红
'jiang'jun'fang'shang'qu'yan'tu 将军方上取燕图
'jiang'jun'tan'shang'leng'yun'di 将军坛上冷云低
'jiang'liu'cu'shan'shan'wei'dong 江流蹴山山为动
'jiang'liu'wei'yu'jie 江流围玉界
'jiang'nan'fei'bu'hao 江南非不好
'jiang'nan'jiang'bei'bao'kan'shan 江南江北饱看山
'jiang'nan'jiang'bei'qing'shan'duo 江南江北青山多
'jiang'nan'wei'jian'ju'hua'kai 江南未见菊花开
'jiang'nan'you'wen'chu'sai'qu 江南又闻出塞曲
'jiang'qing'yi'shu'ri 江晴已数日
'jiang'shan'chong'fu'zheng'gong'yan 江山重复争供眼
'jiang'shan'qing'kong'wo'chen'tu 江山清空我尘土
'jiang'shan'ru'ci'bu'gui'shan 江山如此不归山
'jiang'shan'ru'ci'yi'ju'wu 江山如此一句无
'jiang'shang'chou'xin'qian'die'shan 江上愁心千叠山
'jiang'shang'huang'cheng'yuan'niao'bei 江上荒城猿鸟悲
'jiang'shang'wang'lai'ren 江上往来人
'jiang'shen'jian'guai'jing'wo'wan 江神见怪惊我顽
'jiang'shui'yang'xi'feng 江水漾西风
'jiang'si'rang'he'shang 僵死壤河上
'jiang'tou'yu'jia'jie'mao'lu 江头渔家结茅庐
'jiang'tun'wu'yue'shui'dong'lai 江吞吴越水东来
'jiang'xin'si'you'ju'huo'ming 江心似有炬火明
'jiang'xing'shan'yi'xing 江行山亦行
'jiang'yan'dan'dan'yu'shu'shu 江烟淡淡雨疏疏
'jiang'zuo'yi'wu'gan'ban'bi 江左夷吾甘半壁
'jiao'ai'ming'yi'ran 娇爱命亦然
'jiao'jiao'yuan'wu'shen 交交园屋深
'jiao'ke'luan'ye'dong'wu'shu 交柯乱叶动无数
'jiao'liang'ding'li'cha'jing'jin 较量定力差精进
'jiao'long'cuan'tan'xue 蛟龙窜潭穴
'jiao'sheng'qi'duan'yue'yang'cheng 角声凄断岳阳城
'jiao'ta'chi'huan'gong 脚踏赤鯶公
'jiao'you'xiang'jian'xiu'xiang'wen 交游相见休相问
'jiao'yuan'wu'wu'jin'qing'ming 郊园物物近清明
'jie'gu'shou'yun'feng'yu'ji 羯鼓手匀风雨疾
'jie'hu'hu'bu'ren 嗟乎胡不仁
'jie'jiang'sheng'diao'jiao'zhong'chui 解将声调角中吹
'jie'mao'de'zi'di 结茅得兹地
'jie'mei'yu'wai'fei'liang'zhi 借美于外非良质
'jie'ran'yi'li'hu'chang'jiang 嶻然屹立乎长江
'jie'wen'dan'shi'min 借问淡食民
'jie'wo'yu'shuo'an'de'ju'bi'ru'chang'gang 嗟我欲说安得巨笔如长杠
'jie'yan'mei'wu'du 皆言美无度
'jie'yu'pao'zun'zi'zai'chang 借与匏樽自在尝
'jie'yu'xiang'yu'po'tong'diao 嗟余相与颇同调
'jie'zhong'heng'chui'ren'ma'jiang 街中横吹人马僵
'jin'bie'ji'ri'ke'chou'sheng 近别几日客愁生
'jin'fa'xue'zheng'chu 巾发雪争出
'jin'fu'fang'xin'yu'mi'fang 尽付芳心与蜜房
'jin'guan'ci'bi'hua 今观此壁画
'jin'huang'shen'wu'shi'zhou'xuan 今皇神武是周宣
'jin'lai'hu'mian'yi'shou'zu 近来湖面亦收租
'jin'li'po'you'duan 尽力破忧端
'jin'mu'gui'xia'quan 今母归下泉
'jin'nai'fu'jian'tian'gong'guai 今乃复见天公乖
'jin'nian'ci'nv'yi'xing'mei 今年次女已行媒
'jin'nian'da'han'qian'li'chi 今年大旱千里赤
'jin'nian'you'shi'yi'sheng'ping 今年又是一升平
'jin'nian'you'zuo'du'lu'you 今年又作度泸游
'jin'pao'yu'dai'reng'fu'feng 锦袍玉带仍父风
'jin'po'ju'ran'shan'shu'du 金坡巨然山数堵
'jin'qian'tou'weng'you 金钱投瓮牖
'jin'qing'deng'huo'xiang'ren'ming 尽情灯火向人明
'jin'qu'wei'liang'gong'wen'shui 尽取微凉供稳睡
'jin'ren'ji'shui'wu'ou'lu 近人积水无鸥鹭
'jin'ri'feng'chun'tou'yi'bai 今日逢春头已白
'jin'ri'san'man'you'wang'gui 尽日散漫游忘归
'jin'ri'you'shui'lian'shou'gu 今日有谁怜瘦骨
'jin'shi'you'gu'ying 近诗尤古硬
'jin'sui'jiang'nan'you'you'jiu 今岁江南犹有酒
'jin'xiao'huai'zuo'xi 今宵怀昨夕
'jin'xiao'sheng'jue'wu'ren'gong 今宵胜绝无人共
'jin'xiu'si'he'ru'yuan'qiang 锦绣四合如垣墙
'jin'yu'bian'xiu'pu 尽欲变脩脯
'jin'yu'yan'yu'dao'e'mei 今逾滟滪到峨眉
'jin'zhao'hu'wu'shi'tan'xi 今朝忽悟始叹息
'jin'zhi'zi'yu'ren'xin'qi 进止自与人心齐
'jing'chi'rong'yin'pan 径尺熔银盘
'jing'dang'gong'wei'tu 竟当共为土
'jing'guo'yi'hao'yin 经过遗好音
'jing'ji'hu'gui'seng 静极忽归僧
'jing'jun'chu'ma'qian 惊麏出马前
'jing'kai'men'hu'you'fan'shu 竟开门户又翻书
'jing'lei'shi'yu'ba'san'shan 惊雷势欲拔三山
'jing'lun'bie'you'yuan 经纶别有源
'jing'luo'xue'xiao'chun'you'dong 京洛雪消春又动
'jing'mi'niao'sheng'shen'zai'lu 静觅鸟声深在芦
'jing'shen'zui'yu'xue'yue'jian 精神最遇雪月见
'jing'su'he'nian'xia'qing'dou 经宿何年下清都
'jing'xu'tuo'mao'guan'cheng'gong 径须脱帽管城公
'jing'yan'ci'jia'guo 竞言此佳果
'jing'yan'zhu'zao'diao 镜颜朱早雕
'jing'yu'wang'mai'er'qing'tian 径欲往买二顷田
'jing'yue'jue'xing'ren 经月绝行人
'jing'zhao'zhi'ming'bu'gan'bu 京兆知名不敢捕
'jing'zhong'shuai'bin'yi'xian'ban 镜中衰鬓已先斑
'jiong'ru'liu'shui'han'qing'ping 炯如流水涵青苹
'jiu'bian'man'wu'hua'di'mao 酒边蛮舞花低帽
'jiu'bing'fang'kai'juan 酒病妨开卷
'jiu'han'nong'bi'qi'chun'feng 酒酣弄笔起春风
'jiu'ju'wu'yi'xi 旧居无一席
'jiu'ke'qing'huai'e 久客情怀恶
'jiu'lan'wu'nai'ke'si'jia 酒阑无奈客思家
'jiu'ri'he'zhi'mei 九日河之湄
'jiu'shi'feng'guang'ci'di'fen 九十风光次第分
'jiu'shi'gao'an'jin'jiang'shui 旧时高岸今江水
'jiu'shi'ya'gu'bu'fu'jian 旧时崖谷不复见
'jiu'si'nan'huang'wu'bu'hen 九死南荒吾不恨
'jiu'ti'zhong'zhan'mo'xiang'ning 旧题重展墨香凝
'jiu'tian'ke'lei'chou'reng'jian 酒添客泪愁仍溅
'jiu'wei'yi'chun'xin'guo're 酒味已醇新过热
'jiu'xing'meng'jue'qi'rao'shu 酒醒梦觉起绕树
'jiu'yi'ci'miao'sheng 久矣此妙声
'jiu'zhe'shen'chi'wu 九折慎驰骛
'ju'an'zhao'shui'shi'jiu'e 据鞍照水失旧恶
'ju'ao'guan'shan'wu'jing'zou 巨鳌冠山勿惊走
'ju'can'you'you'ao'shuang'zhi 菊残犹有傲霜枝
'ju'hua'tian'qi'jin'xin'shuang 菊花天气近新霜
'ju'jiu'shu'qing'tong 举酒属青童
'ju'ju'yi'fei'kuang 踽踽亦非狂
'ju'jue'ku'nan'zuo 咀嚼苦难嘬
'ju'jue'yi'shi'jin 咀嚼一时尽
'ju'lu'yi'wei'jiang 掬露以为浆
'ju'mu'shan'chuan'shang'ru'gu 举目山川尚如故
'ju'shi'tu'jing'hai 举世徒惊骇
'ju'xing'tang'shang'shui'xian'dao 聚星堂上谁先到
'ju'yi'shi'san'zai 居夷实三载
'juan'di'xi'feng'man'yan'chou 卷地西风满眼愁
'juan'man'tian'chui'dou 卷幔天垂斗
'juan'que'rao'zhi'fan'dong'ying 倦鹊绕枝翻冻影
'juan'ya'ao'tou'qing'zuo'fu 倦压鳌头请左符
'jue'ai'qiang'yin'ju 绝爱墙阴橘
'jue'jiang'yi'zhi'gai'shu'zhou 决江一支溉数州
'jue'lai'ju'bu'jian 觉来俱不见
'jue'sheng'nan'mo'nian'cheng'chen 绝胜南陌碾成尘
'jue'yan'zhong'kan'ci'lu'ping 抉眼终看此虏平
'jun'bu'jian'wu'chang'fan'kou'you'jue'chu 君不见武昌樊口幽绝处
'jun'bu'jian'yi'men'ke'you'hou'ying'feng 君不见夷门客有侯嬴风
'jun'de'li'you'bu'ken'zhu 君得李祐不肯诛
'jun'huai'lei'ke'you'zhi'bao 君怀磊砢有至宝
'jun'jin'suo'you'yi'qi'ya 君今所有亦其亚
'jun'kan'jian'tuo'jian'cheng'xiang 君看鞬橐见丞相
'jun'kan'li'yu'huo 君看藜与藿
'jun'kan'yi'ye'zhou 君看一叶舟
'jun'kan'zhi'shang'que 君看枝上鹊
'jun'li'lai'he'bao 郡吏来何暴
'jun'lian'bao'li'zi 筠奁包荔子
'jun'tian'yan'wei'zhong 钧天宴未终
'jun'you'yu'cai'ba'yan'tie 君有余财罢盐铁
'jun'zhu'jiang'bin'qi'hua'lou 君住江滨起画楼
'kai'men'de'jun'shu 开门得君书
'kai'men'kan'yu'yue'man'hu 开门看雨月满湖
'kai'peng'yue'ru'chuan 开篷月入船
'kai'xian'shu'yu'ting 开先漱玉亭
'kai'yuan'you'dong'ta 开元有东塔
'kan'ci'ji'yu'chui'heng'feng 看此疾雨吹横风
'kan'jin'jiang'hu'qian'wan'feng 看尽江湖千万峰
'kan'shan'tian'jin'tou 看山天尽头
'kan'xiao'hu'chu'yi'feng'wei 堪笑胡雏亦风味
'kan'yun'xiang'yu'hai 看云相与还
'kang'kai'zhi'ci'you'jian'lie 慷慨直辞犹谏猎
'ke'chou'bu'duan'ruo'jiang'shui 客愁不断若江水
'ke'chou'wu'jin'zi 客愁无锦字
'ke'feng'kui'yan'shui 渴蜂窥砚水
'ke'huai'yi'shi'qi'liang'shen 客怀已是凄凉甚
'ke'kan'hun'meng'zai 可堪魂梦在
'ke'ke'hong'qie'run 颗颗红且润
'ke'lai'dan'wu'you 客来淡无有
'ke'lai'meng'jue'zhi'he'chu 客来梦觉知何处
'ke'li'feng'gui'yan 客里逢归雁
'ke'lian'bing'shi'liu 可怜病石榴
'ke'lian'dang'ci'shi 可怜当此时
'ke'lian'jiang'yue'luan'zhong'ming 可怜江月乱中明
'ke'neng'wu'yi'chuan'shuang'die 可能无意传双蝶
'ke'qu'shan'gong'zui'si'ni 客去山公醉似泥
'ke'shi'cui'hua'zhou'yu'xian 可使翠华周寓县
'ke'shi'you'shi'du'cao'lai 可是忧时独草莱
'ke'si'si'yang'liu 客思似杨柳
'ke'xi'bu'dang'hu'shui'mian 可惜不当湖水面
'ke'xing'sao'shou'zi'pai'huai 客行搔首自徘徊
'ke'yan'bu'ke'shu 可咽不可漱
'ke'zi'wu'ding'li 客子无定力
'ken'gu'yu'guan'liu 肯顾鱼贯柳
'ken'jin'wei'ru'hao 肯尽为汝耗
'ken'lai'diao'gu'han'ge'fou 肯来吊古酣歌否
'kong'chang'de'jiu'mang'jiao'chu 空肠得酒芒角出
'kong'cun'bi'shui'wu'ji'quan 空村避水无鸡犬
'kong'fang'xiong'you'jue'jiao'shu 孔方兄有绝交书
'kong'huai'gu'jiu'qing 空怀故旧情
'kong'jin'xian'chao'shi'er'xian 空尽先朝十二闲
'kong'meng'yan'ai'jian 空濛烟霭间
'kong'xiang'xian'feng'su'wei'qiao 空想先锋宿渭桥
'kong'you'hao'jian'wu'yong'rong 空有豪健无雍容
'kong'yu'lu'sou'cheng'fu'yi 空余鲁叟乘桴意
'kong'yu'pi'yu'he 空余皮与核
'kou'tou'tang'jian'ai 叩头倘见哀
'kou'zhong'she'you'zai 口中舌犹在
'ku'dao'jin'ren'bu'ru'gu 苦道今人不如古
'ku'yu'zhong'feng'ye'jie'qing 苦雨终风也解晴
'kuai'ge'dong'xi'yi'wan'qing 快阁东西倚晚晴
'kuai'gu'fan'shen'lie'yan'hui 快鹘翻身猎雁回
'kuai'xie'shuang'shi'hong 快泻双石谼
'kuang'ci'bai'lei'ting 况此百雷霆
'kuang'fu'kang'kai'yin'gong'shi 况复慷慨吟公诗
'kuang'zhui'xue'shan'zou 狂追雪山走
'kui'hua'sui'can'can 葵花虽粲粲
'kun'dao'bu'neng'ren 困倒不能任
'kun'li'wang'fei'xiang 困立忘飞翔
'kun'lun'zhi'gao'you'ji'xue 昆仑之高有积雪
'kun'shui'bei'chuang'hu'bu'xing 困睡北窗呼不醒
'lai'guan'de'yan'chi 赖官得盐吃
'lai'shi'dan'qing'wu'hua'chu 赖是丹青无画处
'lai'shi'wan'lv'nong'qing'huang 来时万缕弄轻黄
'lai'ting'dong'lin'si'li'zhong 来听东林寺里钟
'lai'you'he'lang'gong'ci'zun 赖有何郎共此尊
'lan'man'qie'huai'bao 烂漫惬怀抱
'lan'pei'nian'xing'mai 揽辔念行迈
'lan'pei'shang'ceng'gang 揽辔上层冈
'lan'zhuang'mei'dai'nong 懒妆眉黛浓
'lan'zui'bu'ci'bei'lian'yan 烂醉不辞杯潋滟
'lang'ji'ru'wei'jin 狼籍入煨烬
'lang'juan'gui'xin'an'zi'jing 浪卷归心暗自惊
'lang'xin'ru'jing'bei 郎心如镜背
'lang'xin'ru'zhi'yuan 郎心如纸鸢
'lang'yong'chang'ci'xin 朗咏偿此心
'lao'chi'you'shi'zhu 牢持有失箸
'lao'fu'he'shi'zheng'xi'jiang 老夫合是征西将
'lao'fu'tian'huang'qiu'yu'li 老父田荒秋雨里
'lao'fu'zao'zhi'dang'lu'xing 老夫早知当陆行
'lao'fu'zui'zhu'hu'bu'xing 老夫醉著呼不醒
'lao'keng'ren'ma'lao 劳坑人马劳
'lao'lei'wei'yi'sa 老泪为一洒
'lao'pen'zhu'jiu'ru'shu'zheng 牢盆煮就汝输征
'lao'qu'pan'qu'xiao'shi'zhong 劳渠蟠屈小诗中
'lao'qu'wu'xin'ting'guan'xian 老去无心听管弦
'lao'seng'neng'ji'xi'xiang'feng 老僧能记昔相逢
'lao'sheng'zi'min'gui'geng'jiu 老生自悯归耕久
'lao'shi'qi'yun'ding 老石栖云定
'lao'shu'zhe'hua'wu'chou'zhi 老树着花无丑枝
'lao'song'kui'wu'shu'bai'nian 老松魁梧数百年
'lao'wen'zou'hun'qin 劳问走婚亲
'lao'weng'po'lang'xing'bu'yu 老翁破浪行捕鱼
'lao'wu'wu'seng'yan'zuo'jia 老屋无僧燕作家
'lao'xiao'xiang'yi'lai'jiu'nan 老小相依来就南
'lao'zi'you'yu'tai 老自有余态
'le'zhi'bu'shi'meng 了知不是梦
'le'zhi'zhi'jian'wu'dun'xing 了知至鉴无遁形
'lei'dong'feng'ke'chen'liang'ya 雷动蜂窠趁两衙
'lei'jin'fang'yi'shen 泪尽方一哂
'lei'jin'shu'xing'shu 泪尽数行书
'lei'ran'yi'jin'bu'zi'zhi 泪染衣襟不自知
'lei'san'di'fan'jin 雷散涤烦襟
'lei'shen'bao'fu'tao 雷神抱桴逃
'lei'zhuang'cui'yu'zhi 类妆翠羽枝
'leng'yu'bei'shui'dan'yu'qiu 冷于陂水淡于秋
'li'chan'qi'nei'xin'zi'zhi 力孱气馁心自知
'li'chao'wu'wu'wang 立朝无物望
'li'gu'bu'ke'jie 理固不可诘
'li'hua'dan'bai'liu'shen'qing 梨花淡白柳深青
'li'hua'shou'jin'dong'feng'ruan 梨花瘦尽东风软
'li'hua'yuan'luo'rong'rong'yue 梨花院落溶溶月
'li'li'yu'qiao'she 历历渔樵舍
'li'ma'xing'ren'mo'ji'qu 立马行人莫疾驱
'li'min'xiao'xiang'yu 吏民笑相语
'li'peng'chun'ri'huai'qin'ran 李彭春日怀秦髯
'li'pin'mai'jiu'zui'ci'yan 力贫买酒醉此筵
'li'qing'bei'heng'di 离情被横笛
'li'qing'zhao'jue'ju 李清照绝句
'li'qing'zhong'wang'ran 离情重惘然
'li'shi'zhong'ou'ti 李师中偶题
'li'tong'qing'hai'qiu'long'zhong 力通青海求龙种
'li'xiang'zui'gao'chu 立向最高处
'lian'chi'ceng'bu'lun 廉耻曾不论
'lian'lian'ban'yue'gou 潋潋半月彀
'lian'nian'wan'li'bie 连年万里别
'lian'pian'zou'ma'ji'qing'cong 联翩走马几青骢
'liang'an'mou'qian'li 两岸侔千里
'liang'an'zhou'chuan'ge'bei'chi 两岸舟船各背驰
'liang'du'li'chao'jin'jie'ju 两度立朝今结局
'liang'feng'xiao'xiao'yue'zai'ting 凉风萧萧月在亭
'liang'hang'yan'dai'du'ling'qiu 两行雁带杜陵秋
'liang'hang'yu'zhi'tiao'si'huang 两行玉指调丝簧
'liang'he'bai'jun'song'shan'chuan 两河百郡宋山川
'liang'jing'mei'bang'zhan'chen'kai 两京梅傍战尘开
'liang'long'wo'wen'bu'fei'qu 两龙卧稳不飞去
'liang'nian'jian'wo'yan'nan'zheng 两年坚卧厌南征
'liang'sheng'chu'guo'yu 凉生初过雨
'liang'shou'xin'shi'zheng'jian'mang 两首新诗争剑芒
'liang'tang'xia'lian'ren'si'yu 凉堂下帘人似玉
'liang'wang'jin'he'xu 梁王今何许
'liang'yan'bu'ken'kai 两眼不肯开
'liang'yuan'ge'wu'zu'feng'liu 梁园歌舞足风流
'liang'zhi'bo'jiu'yi'chang'ge 两卮薄酒一长歌
'liang'zhi'yu'rui'ming'chao'tun 两枝玉蕊明朝暾
'liang'zhou'yi'qu'dang'shi'shi 梁州一曲当时事
'liang'zu'ren'li'ying'feng'si 两足人立迎风嘶
'liao'dao'lue'xiang'tong 潦倒略相同
'liao'jiang'liang'bin'peng 聊将两鬓蓬
'liao'liao'hou'shi'qi'fa'ren 寥寥后世岂乏人
'liao'wei'guo'jiang'su 聊为过江宿
'liao'yi'ji'shuai'xiu 聊以激衰朽
'liao'yi'ji'wu'ceng 聊亦记吾曾
'lie'lie'qing'lian'she'jiu'xiang 猎猎青帘社酒香
'lin'bu'mei'hua 林逋梅花
'lin'bu'xiao'yin'zi'ti 林逋小隐自题
'lin'jia'tuo'luo'sheng'mei'tai 鳞甲脱落生莓苔
'lin'jing'xi'dong'qing'hua 林景熙冬青花
'lin'jing'xi'shan'chuang'xin'hu 林景熙山窗新糊
'lin'jing'xi'ti'lu'da'can'xiu'fu 林景熙题陆大参秀夫
'lin'jing'xi'ye'yi 林景熙夜意
'lin'kong'lu'yin'xi 林空鹿饮溪
'lin'li'tong'jia'jie 邻里通假借
'lin'lin'ju'da'sha 鳞鳞居大厦
'lin'qu'mo'ci'tong'yi'zui 邻曲莫辞同一醉
'lin'ran'meng'shi'fu'chang'jian 凛然猛士抚长剑
'lin'ren'qi'bu'zai 邻人欺不在
'lin'shao'yi'mo'qing'ru'hua 林梢一抹青如画
'lin'ting'gan'jiu'kong'hui'shou 林亭感旧空回首
'ling'bo'xian'zi'sheng'chen'wa 凌波仙子生尘袜
'ling'ding'yang'li'tan'ling'ding 零丁洋里叹零丁
'ling'ling'shu'chi'jia 泠泠漱齿颊
'ling'ren'yuan'fen'cheng'bei'hu 令人冤愤成悲呼
'liu'ban'jue'ju 刘攽绝句
'liu'chang'chun'cao 刘敞春草
'liu'chao'gong'dian'zong'chen'ai 六朝宫殿总尘埃
'liu'chu'qian'hu'ru 流出千斛乳
'liu'dai'guan'jun'yin'ma'lai 留待官军饮马来
'liu'dao'lou'qian'geng'bu'liu 流到楼前更不流
'liu'hua'kai'yi'zhi 榴花开一枝
'liu'ji'sun'ji'su'nei'han 刘季孙寄苏内翰
'liu'ke'zhuang'kai'hao'xing 刘克庄开壕行
'liu'ke'zhuang'xin'ting 刘克庄新亭
'liu'ke'zhuang'zha'gui'xuan'yi'shou 刘克庄乍归选一首
'liu'lai'qiao'xia'shui 流来桥下水
'liu'liu'zhu'jian'yu 浏浏竹间雨
'liu'qu'dan'xin'zhao'han'qing 留取丹心照汗青
'liu'se'ji'shuai'sheng 柳色几衰盛
'liu'shui'jian'jian'du'liang'bei 流水溅溅度两陂
'liu'shui'you'ling'zi 流水有令姿
'liu'tang'nan'bei'bao'cheng'hui 柳塘南北抱城回
'liu'wai'lou'gao'lv'ban'zhe 柳外楼高绿半遮
'liu'xu'chi'tang'dan'dan'feng 柳絮池塘淡淡风
'liu'xu'fei'shi'hua'man'cheng 柳絮飞时花满城
'liu'yi'qing'feng'jin'bu'gu 六一清风今不孤
'liu'ying'tan'zhi'wan'yu'yu 流莺探枝婉欲语
'liu'yong'zhu'hai'ge 柳永煮海歌
'liu'yue'fei'xue'sa'shi'qiang 六月飞雪洒石矼
'liu'yue'shuo'fu'shu 六月朔伏暑
'liu'zhuan'shu'fang'you'ke'jing 流转殊方又可惊
'liu'zi'jiang'bei'feng 刘子犟北风
'liu'zi'jiang'bian'jing'ji'shi 刘子犟汴京纪事
'long'ge'lao'weng'lai'fu'shi 龙阁老翁来赋诗
'long'lin'huo'ying'ying 龙鳞火荧荧
'long'zhong'qu'xie'zhang 龙钟去携杖
'lou'chuan'ye'xue'gua'zhou'du 楼船夜雪瓜洲渡
'lou'gao'yan'zi'han 楼高燕子寒
'lou'hao'man'di'lu'ya'duan 蒌蒿满地芦芽短
'lou'qian'lou'hou'du'pai'huai 楼前楼后独徘徊
'lou'shang'juan'lian'shi 楼上卷帘时
'lou'wai'can'lei'qi'wei'ping 楼外残雷气未平
'lou'yin'zhuo'cang'lang 楼阴濯沧浪
'lu'an'mi'ren'bai'zhong'hua 路暗迷人百种花
'lu'de'zhang'xu'yi'lv'she 路德章盱眙旅舍
'lu'jing'shu'yu'luo'hua'cun 路经疏雨落花村
'lu'ming'you'nian'qun 鹿鸣犹念群
'lu'nong'xian'dan'wei'de'xian 卤浓咸淡未得闲
'lu'pang'guo'zhe'wu'yan'se 路旁过者无颜色
'lu'shan'nan'duo'dang'shu'an 庐山南堕当书案
'lu'sun'sheng'shi'liu'xu'fei 芦笋生时柳絮飞
'lu'you'cai'lian'xuan'yi'shou 陆游采莲选一首
'lu'you'chu'cheng 陆游楚城
'lu'you'chun'han'liang'shou 陆游春寒两首
'lu'you'da'feng'deng'cheng 陆游大风登城
'lu'you'da'yu'yu'xun 陆游大雨逾旬
'lu'you'du'shi'gao'you'gan 陆游读诗稿有感
'lu'you'fan'zhou'hu'zhong'zuo 陆游泛舟湖中作
'lu'you'gan'fen 陆游感愤
'lu'you'gu'shu'bie'yuan 陆游故蜀别苑
'lu'you'guan'ying'hui'wang'xiang 陆游观英惠王像
'lu'you'guo'ling'shi'san'feng 陆游过灵石三峰
'lu'you'hua'shi'bian'you'zhu'jia'yuan 陆游花时遍游诸家园
'lu'you'ji'meng 陆游记梦
'lu'you'jian'men'dao'zhong'yu'wei'yu 陆游剑门道中遇微雨
'lu'you'kuang'ge 陆游狂歌
'lu'you'nan'ding'lou'yu'ji'yu 陆游南定楼遇急雨
'lu'you'nan'ju'shui'dao'zhong 陆游南沮水道中
'lu'you'ping'qiang'dao'zhong 陆游平羌道中
'lu'you'qiu'wan'deng'cheng'bei'men 陆游秋晚登城北门
'lu'you'shan'nan'xing 陆游山南行
'lu'you'shen'yuan'liang'shou 陆游沈园两首
'lu'you'shi'er 陆游示儿
'lu'you'shu'fen'liang'shou 陆游书愤两首
'lu'you'su'dong'lin'si 陆游宿东林寺
'lu'you'tong'he'yuan'li'shang'he'hua 陆游同何元立赏荷花
'lu'you'wang'xia'kou'zhu'shan 陆游望峡口诸山
'lu'you'wen'shu'dao'yi'ping 陆游闻蜀盗已平
'lu'you'wen'yan 陆游闻雁
'lu'you'xi'jiao'xun'mei 陆游西郊寻梅
'lu'you'xia'ri 陆游夏日
'lu'you'xiao'zhou'you'jin'cun 陆游小舟游近村
'lu'you'ye'ce 陆游曳策
'lu'you'ye'deng'qian'feng'xie 陆游夜登千峰榭
'lu'you'ye'yue'zhong'ye'ru'zhou 陆游夜月终夜如昼
'lu'you'yu'ji'si'nan 陆游禹迹寺南
'lu'you'yu'nian'er'shi'shi 陆游余年二十时
'lu'you'yu'weng 陆游渔翁
'lu'you'zui'ge 陆游醉歌
'lu'zhuan'jin'zhang'fei'chao'can 露漙金掌费朝餐
'lu'zi'yin'qin'you'shi'lin 陆子殷勤有使临
'luan'mo'san'shuang'xue 乱沫散霜雪
'luan'shan'heng'cui'zhang 乱山横翠嶂
'luan'wo'xu'yu'mei 乱我须与眉
'lue'mian'guo'qiang'nu 掠面过强弩
'lue'qu'sui'hu'er 掠去随胡儿
'luo'mu'qian'shan'tian'yuan'da 落木千山天远大
'luo'qu'de'chou'sheng 落去得愁生
'luo'ri'qi'ting'gao 落日憩亭皋
'luo'ri'wei'hun'wen'shi'san 落日未昏闻市散
'luo'ri'zhe'chi'fei'shang'shan 落日着翅飞上山
'luo'sun'he'fang'ci'di'lai 洛笋河鲂次第来
'luo'suo'pi'pa'nian'lv'si 逻逤琵琶撚绿丝
