'a'zi'fu'chuang'qi 阿姊扶床泣
'en'qing'bu'zhong'quan 恩情不终全
'er'shi'wan'gui'sheng'jiu'jiu 二十万鬼声啾啾
'er'ti'bu'zhi'lian 儿啼不知怜
'er'tong'xuan'shu'jian 儿童喧树间
'er'xing'jiu'bu'gui 儿行久不归
'fa'dian'sui'yan'nai'hu'zhong 法典虽严奈怙终
'fan'fei'qu'bu'ting 帆飞去不停
'fan'guo'jing'kou'du 帆过京口渡
'fan'qu'wu'jian'yu 凡躯无健羽
'fan'ran'yi'gu'xi 翻然忆故溪
'fang'cao'lian'tian'ruo'you'qing 芳草连天若有情
'fang'cao'lv'kan'mi 芳草绿堪迷
'fang'cao'ying'qie'huai'suo'huan 芳草盈箧怀所欢
'fang'he'lu'cheng'tian'you'gong 防河录成天有工
'fang'he'ren'gui'xue'man'zhou 放鹤人归雪满舟
'fang'xiang'hai'tian'chun'xiao'er'shou'xuan'yi'shou 方向海天春晓二首选一首
'fang'xiang'yong'dan'er'er'shou'xuan'yi'shou 方向咏儋耳二首选一首
'fang'xiao'ru'xian'ju'gan'huai'xuan'yi'shou 方孝孺闲居感怀选一首
'fang'zhao'lan'ting'du'ruo'zhou 放棹兰汀杜若洲
'fei'di'sheng'ge'sai'she'shen 沸地笙歌赛社神
'fei'fei'wan'he'lian 霏霏万壑连
'fei'hua'luo'diao'chuan 飞花落钓船
'fei'jin'qing'jiao'shi'li'chen 飞尽晴郊十里尘
'fei'jing'tui'yuan'zi'xue'shuang 废井颓垣自雪霜
'fei'lai'wu'se'niao 飞来五色鸟
'fei'liang'wei'yi'san'cai'hong 飞梁逶迤三彩虹
'fei'ru'luan'yun'shen'chu'ti 飞入乱云深处啼
'fei'ru'zhao'yang'dian 飞入昭阳殿
'fei'shi'ou'si'yi 飞湿藕丝衣
'fei'shuang'dong'ming'zhong 飞霜动鸣钟
'fei'shuang'shi'gu'sheng 飞霜湿鼓声
'fei'xu'fei'hua'mei'yuan'tian 飞絮飞花媚远天
'fen'gu'sui'shen'hun'bu'pa 粉骨碎身浑不怕
'fen'zuo'guan'shan'ji'chu'ming 分作关山几处明
'feng'cai'leng'leng'shang'ru'zuo 风裁棱棱尚如昨
'feng'cheng'yang'liu'you'kan'pan 凤城杨柳又堪攀
'feng'chi'she'ren'jin'li'yong 凤池舍人今李邕
'feng'chui'huang'hao 风吹黄蒿
'feng'chui'men'qian'cao'su'su 风吹门前草肃肃
'feng'ding'dong'sheng'le 峰顶动笙乐
'feng'huang'nai'zai'dong'men'zhi'yin'zhuo'fu'shu 凤凰乃在东门之阴啄腐鼠
'feng'huang'nai'zai'xi'men'zhi'yin'mei'cang'ying 凤凰乃在西门之阴媚苍鹰
'feng'hui'dou'zi'kai 峰回陡自开
'feng'huo'wei'mang'tian'qu'yuan 烽火微茫天去远
'feng'ji'xian'jue'cui'xin'gan 风急弦绝摧心肝
'feng'ji'yu'ming'ming 风急雨冥冥
'feng'lai'yi'sa'ran 风来一洒然
'feng'lin'liang'an'jing'shuang'lao 枫林两岸经霜老
'feng'luo'li'hua'xue'man'ting 风落梨花雪满庭
'feng'qing'yue'ru'lian 风清月如练
'feng'qu'da'mo'fu'yun'chu 风驱大漠浮云出
'feng'qu'ji'yu'sa'gao'cheng 风驱急雨洒高城
'feng'sheng'wan'ma'jian 风生万马间
'feng'tao'xiang'tu'tun 风涛相吐吞
'feng'ti'xu'fu'ming'fei'hong 封题须附冥飞鸿
'feng'wai'qing'yao'liu'wan'tiao 风外青摇柳万条
'feng'wei'ne'qiu'ri'ji'huai'jia'xiong 冯维讷秋日寄怀家兄
'feng'ying'lao'jing'shi'xing'shuang 逢迎老景是星霜
'feng'yu'nian'nian'yuan'luo'hua 风雨年年怨落花
'feng'yu'qing'shan'ru'jin'duo 风雨青山入晋多
'feng'yu'yang'zhou'gong'bei'mian 风雨扬州共被眠
'feng'yu'yuan'sheng'yu'duan'chang 风雨猿声欲断肠
'feng'yun'you'zi'jia'jing'mao 风云犹自夹旌旄
'fo'jie'zhen'tong'jiang'yue'jing 佛界真同江月静
