'xiong'yu'yu 熊与鱼
'xu'kong'zha'yan 虚空眨眼
'xue'ji'bian'xing 雪霁便行
'yan'yu'shi'xin'ling'de'tu'hua 言语是心灵的图画
'yao'kong 咬空
'yao'shu'sao'ye 摇树扫叶
'yao'yan'zhu 要眼珠
'ye'hu'chan 野狐禅
'ye'shi'nen'me 也是恁么
'ye'ya'zi 野鸭子
'ye'you 夜游
'yi'bei'cha 一杯茶
'yi'cheng'xin'fa 一乘心法
'yi'de'yi'shi 一得一失
'yi'fu'chi'fan 衣服吃饭
'yi'kou'xi'jin'xi'jiang'shui 一口吸尽西江水
'yi'lu'shun'feng 一路顺风
'yi'mo'bu'yi'xuan 宜默不宜喧
'yi'pian'cai'ye 一片菜叶
'yi'qi'huo'mai 一起活埋
'yi'qie'bu'zhi'zhuo 一切不执着
'yi'qie'jie'chan 一切皆禅
'yi'qie'jie'kong 一切皆空
'yi'qie'xian'cheng 一切现成
'yi'qie'you'ta 一切由他
'yi'sheng'wan'qian 一生万千
'yi'shi'liu'chuang 一室六窗
'yi'si'bu'gua 一丝不挂
'yi'xi'na'yi 一袭衲衣
'yi'xi'na'yi 一袭纳衣
'yi'xiu'chi'mi 一休吃蜜
'yi'xiu'jue 一宿觉
'yi'xiu'shai'cang'jing 一休晒藏经
'yi'xiu'yu'wu'xiu 一休与五休
'yi'yu'san 一与三
'yi'yu'shi 一与十
'yi'zai'jue'tou'bian 意在钁头边
'yi'zhi'chan 一指禅
'yi'zhi'chan'de'gu'shi 一指禅的故事
'yi'zhi'jian'ding'de'ren 意志坚定的人
'yi'zun'fo 一尊佛
'yi'zuo'si'shi'nian 一坐四十年
'yin'huo'liang'qi 银货两讫
'yin'ju'di'fang 隐居地方
'yin'yuan'suo'cheng 因缘所成
'ying'zi'tou'chuang 蝇子投窗
'yong'hui'zuo'me 用会作么
'yong'jia'xuan'jue 永嘉玄觉
'you'wo'zai 有我在
'you'yu'wu 有与无
'yu'cai'zhi'dao 育才之道
'yu'fo'wu'yuan 与佛无缘
'yu'ren'de'zhi'hui 愚人的智慧
'yuan'meng 圆梦
'yuan'qi'xing'kong 缘起性空
'yuan'rong'zhi'dao 圆融之道
'yuan'ze'chan'shi 圆泽禅师
'yue'bu'chang'zhu 月不常住
'yue'chuan'he'shang 月船和尚
'yue'liang'tou'bu'qu 月亮偷不去
'yun'shui'sui'yuan 云水随缘
'yun'zai'qing'tian'shui'zai'ping 云在青天水在瓶
'zao'ta'zhe 糟蹋者
'ze'ma'yu'ci'bei 责骂与慈悲
'zen'neng'hui'de 怎能会得
'zhang'ai'bie'ren'jiu'shi'zhang'ai'zi'ji 障碍别人就是障碍自己
'zhao'bu'hui'lai 找不回来
'zhao'chan'xin 找禅心
'zhao'zhou'de'fo 赵州的佛
'zhao'zhou'xiao'bian 赵州小便
'zhen'cheng'de'shi'su 真诚的世俗
'zhen'fang'de'xia 真放得下
'zhen'jia'wang'yu 真假妄语
'zhen'xi'xian'zai 珍惜现在
'zhen'xin'bu'mei 真心不昧
'zhen'zheng'de'zi'ji 真正的自己
'zhen'zheng'hui'da 真正回答
'zheng'zi'yu'fan'zi 正字与反字
'zhi'en'bao'en 知恩报恩
'zhi'shou'zhi'sheng 只手之声
'zhi'wei'you'suo'yi'lai 只为有所以来
'zhong'jie'wu'yu'zhong'zheng'wu 重解悟与重证悟
'zhou'yu'cha 粥与茶
'zhu'fo'bu'qi 诸佛不欺
'zhu'hang'wu'chang 诸行无常
'zhu'xiang'zeng'fu 炷香增福
'zhuang'zhou'meng'die 庄周梦蝶
'zi'chan'chan'ta 自忏忏他
'zi'san'zi'du 自伞自度
'zi'xing'yu'fa'xing 自性与法性
'zou'bu'hui'lai'de'xiao'he'shang 走不回来的小和尚
'zuo'nv'xu 做女婿
'zuo'ren'bu'nan 做人不难
'zuo'yi'ge'zui'hao'de'ni 做一个最好的你
