'a'mu'zai'pang'zuo 阿母在旁坐
'jiu'shi'ming'yue 旧时明月
'jiu'shi'zhu'han'chao 旧事逐寒潮
'jiu'tian'jiu'yuan'shao'yan'se 九天九渊少颜色
'jiu'xing'jiong'jiong'shen'ming'zhen 酒醒炯炯神明真
'jiu'xing'yi'jian'can'hong'wu 酒醒已见残红舞
'jiu'you'shi'jie'hao'hua'tian 旧游时节好花天
'jiu'yue'er'shi'qi'ye'meng'zhong'zuo 九月二十七夜梦中作
'jiu'yue'wu'ru'huai'shui'mei 九月无襦淮水湄
'jiu'zhou'sheng'qi'shi'feng'lei 九州生气恃风雷
'ju'chang'bu'jian'shou 剧场不见收
'ju'ji'jun'kan'bo'lang'zhui 狙击君看博浪椎
'ju'lou'zhang'ren'shi'hu'nong 痀瘘丈人石户农
'ju'shou'xian'mi'lu 聚首羡麋鹿
'ju'zhe'bu'jian'yu'zhong'ba 沮者不坚语中罢
'juan'di'wu'you'bu'da'chuan 涓滴无由补大川
'juan'lian'nong'cui'run'ku'qi 卷帘浓翠润枯棋
'juan'lian'shu'xi'wang'huang'he 卷帘梳洗望黄河
'juan'shu'yin'hui'ming 卷舒因晦明
'juan'wu'que'wen'ji 倦舞却闻鸡
'juan'yan'zha'di'xiang'zhi'luan 倦眼乍低缃帙乱
'juan'yi'ying'lian'suo'shou'shi 倦矣应怜缩手时
'juan'yi'yu'lan'kan'yue'yun 倦倚玉阑看月晕
'juan'zhong'deng'xie'shi'hen 卷中灯灺诗痕
'jue'bu'xian'yin 绝不闲吟
'jue'na'bu'ding'guang'ying'tong 攫拿不定光影同
'jue'sai'sheng'huan'wu'ji'zi 绝塞生还吴季子
'jue'si'feng'bo'jiao'wu'yin 绝似风伯骄无垠
'jue'yu'cong'jun'ji'wang'ran 绝域从军计惘然
'jue'yu'dang'chang'xiao 绝域当长宵
'jun'bu'jian 君不见
'jun'cai'he'pan'pan 君才何槃槃
'jun'dang'you'kuang'zhi 君当宥狂直
'jun'guo'yi 军过矣
'jun'hang'dang'fu'huan 君行当复还
'jun'jin'yan'yang'jiu'long'jian 君今偃仰九龙间
'jun'lao'jiang'nan'wo'yan'bei 君老江南我燕北
'jun'ru'zai'jiu'xu'jin'zui 君如载酒须尽醉
'jun'xing'si'yue'cao'qi'qi 君行四月草萋萋
'jun'xu'ji 君须记
'jun'yan'qing'du'qian'long'shi 君言请读乾隆诗
'jun'zhi'yi 军至矣
'jun'zhuang'yi'gong'gong 君状亦觥觥
'kan'hua'yi'huang'he 看花忆黄河
'kan'qi'ju 看棋局
'ke'dan'jian'niu'bai 可啖健牛百
'ke'di'zhong'nian'dan 科第中年淡
'ke'lian'jiu'shi'wu'ren'xin 可怜旧事无人信
'ke'lian'wei'zhi'fei'jun'cai 可怜位置费君才
'ke'ming'zhang'gu'bai'nian'zhi 科名掌故百年知
'ke'nai'mu'han'chang'yi'zhu 可耐暮寒长倚竹
'ke'sui'yu'shan'zei 客岁遇山贼
'ke'ting'xiang'jue 柯亭响绝
'ke'xue'de 可学得
'ke'ye'zen'sheng'guo 客夜怎生过
'ke'yin'bu'xie'yin 可隐不偕隐
'ken'jian'pu'xue'sheng'feng'hou 肯肩朴学胜封侯
'ken'lai'me 肯来么
'kong'cheng'bai'ri'jin'ji'ya 空城白日尽饥鸦
'kong'fang'qiao 空房悄
'kong'jiang'yun'lu'yi 空将云路翼
'kong'jie'ta'sheng'li 恐结他生里
'kong'liu'yi'jian'zhi'ji 空留一剑知己
'kong'sheng'dang'shi'yue 空剩当时月
'kong'you'gu'shu 空邮古戍
'kong'zuo'xiang'si'zi 空作相思字
'kou'gu'jian'ru'zhi 口毂渐如炙
'ku'bu'he'shi'yi 苦不合时宜
'ku'han'ning'shi'ci 苦寒宁识此
'ku'zheng'ba'zhang 哭郑八丈
'kuang'fan'suo'yun'yun 况凡所云云
'kuang'hu'hong'zhu'lai 狂呼红烛来
'kuang'lai'shuo'jian 狂来说剑
'kuang'nai'yi'jia'zhong'guo'you'di'xiong 况乃一家中国犹弟兄
'kuang'yan'chong'qi'nian'nian'yin 狂言重起廿年喑
'kuang'you'duan'qiang'yin'xing'yu 况有短墙银杏雨
'kui'sha'du'shu'ren 愧杀读书人
'kui'yu'han'man'zhe 愧予汗漫者
'la'wan'nan'ji'xi'xiong'wen 蜡丸难寄惜雄文
'lai'he'xiong'yong'xu'hui'jian 来何汹涌须挥剑
'lai'qu'ku'cong'cong 来去苦匆匆
'lai'ri'gu'ying'nan 来日故应难
'lai'shi'xiao'shi'qing'meng'dao 赖是小时清梦到
'lai'shi'yao'bian'yin'hao'ju 赖是摇鞭吟好句
'lai'sui'chang'an'chun'shi'zao 来岁长安春事早
'lan'ban'tu'hua'chun 斓斑土花春
'lan'shan 阑珊
'lan'tai'neng'shu'han'chao'shi 兰台能书汉朝事
'lan'tai'xu'jiu'liu 兰台序九流
'lang'ji'dan'huang'qie'zi'ai 狼藉丹黄窃自哀
'lang'tao'sha'wang'hai 浪淘沙望海
'lang'tao'sha'ye'su'jin'huang'cheng 浪淘沙野宿近荒城
'lang'tao'sha'ye'yu'zuo'cheng'qiu 浪淘沙夜雨做成秋
'lang'ya'jin'gao'men 琅琊晋高门
'lao'bao'ai'xian'guo'wu'zi 老抱哀弦过吾子
'lao'bei'tian'xiong'ye'yu'lun 老辈填胸夜雨沦
'lao'bu'zi'shou'shi 老不自收拾
'lao'jian'pian'qi'jue 老健偏奇绝
'lao'pen'xia'ke'cao'quan'suan 牢盆狎客操全算
'lao'sheng'ji'shi'xie 劳生几时歇
'lao'wo'wu'neng 老我无能
'lao'yue'feng'shuang'yi'ku'gao 老阅风霜亦枯槁
'lao'zhe'ben'yong'liu 劳者本庸流
'lei'hen'yan'tou'zhong'qin 泪痕淹透重衾
'lei'lian'yin'la'qian 泪怜银蜡浅
'lei'si'qiu'lin'hui'bu'jin 泪似秋霖挥不尽
'lei'tou'ling 泪偷零
'lei'yan'que'wu'sheng 泪咽却无声
'lei'ye'zong'heng 泪也纵横
'lei'yu'lin'ling'zhong'bu'yuan 泪雨霖铃终不怨
'lei'zi'xun'yu'si'bu'gan 泪渍蟫鱼死不干
'leng'chu'pian'jia 冷处偏佳
'leng'ming'ming 冷冥冥
'leng'qing'qing 冷清清
'leng'xiang'ti'shu 冷香啼曙
'leng'xiao'zhi'zhi'er'yi 冷笑置之而已
'leng'yan'hua'ting'he'li 冷眼华亭鹤唳
'li'bu'dai'fu'yan'bin'ke 吏部大夫宴宾客
'li'bu'xu'qi'wei 嫠不恤其纬
'li'hua'qing'xing'pa'huang'hun 梨花情性怕黄昏
'li'jie'dan'sha'dao'wei'cheng 历劫丹砂道未成
'li'jin'zi'bian'ji 溧锦自编辑
'li'ma'jiang'shan'qian'li'mu 立马江山千里目
'li'nu'se'suo'wei'chou'yin 狸奴瑟缩偎帱茵
'li'shan'yu'ba'qing'xiao'ban 骊山语罢清宵半
'li'shu'san'man'san'han'zhong'shu'tang 历数三满三汉中书堂
'li'wei'shao'wei'chen 嫠纬烧为尘
'li'zhi'yong'shang'bin 礼之用上宾
'lian'bang'zong'shi'yuan'wei'tong 莲邦纵使缘未通
'lian'e'fei'guan'shang'di'cai 廉锷非关上帝才
'lian'hua'lou'zhuan 莲花漏转
'lian'jun'shi'zhi'ji 怜君是知己
'lian'li'qian'hua 连理千花
'lian'lian'hu'shu'ye 连连呼叔爷
'lian'ta'jie'de'dong'feng'li 怜他借得东风力
'lian'tian'xue 连天雪
'lian'ye'meng'hun'fei 连夜梦魂飞
'liang'ban'chun'meng 两般春梦
'liang'fen'er 梁汾耳
'liang'hang'xie'yan'bi'tian'chang 两行斜雁碧天长
'liang'jiang'song'hua'ge 两桨松花隔
'liang'mei'chou'ju 两眉愁聚
'liang'qiang'ru'zhong'men 踉跄入中门
'liang'yang'xiao'hun'wei 两样消魂味
'liao'de'chong'yuan'mi'shi 料得重圆密誓
'liao'de'qi'chuang'gu'shui'jiao 料得绮窗孤睡觉
'liao'de'xiang'gui'xiang'zheng'che 料得香闺香正彻
'liao'duan'fa 料短发
'liao'li'kan'shan'wu'shi'nian 料理看山五十年
'liao'ye'jue 料也觉
'liao'ying'qing'jin 料应情尽
'liao'yu'hao'xiong'xin 聊欲耗雄心
'lie'shi'mu'nian'yi'xue'dao 烈士暮年宜学道
'lin'feng'lei'shu'hang 临风泪数行
'lin'jiang'xian'dian'di'ba'jiao'xin'yu'sui 临江仙点滴芭蕉心欲碎
'lin'jiang'xian'han'liu 临江仙寒柳
'lin'jiang'xian'ji'yan'sun'you 临江仙寄严荪友
'lin'jiang'xian'xie'xiang'ying'tao 临江仙谢饷樱桃
'lin'jiang'xian'yi'jiao'hong'chuang'di'qian'yue 临江仙一角红窗低嵌月
'lin'sheng'feng'jiang'qi'you'zhong 麟生凤降岂有种
'lin'xia'gui'fang'shi'han'chou 林下闺房世罕俦
'lin'zhi'niao'ti'shi'ke'xun 麟趾褭蹄式可寻
'ling'gui'ling'shan'du'ci'sheng 灵鬼灵山独此声
'ling'jun'chu'gao'yang 灵均出高阳
'ling'ling'che'ye 泠泠彻夜
'ling'shan'tu'liu'wei'liang'chuan 灵山吐溜为粮船
'ling'shu'shi'xiao'han 令叔诗效韩
'ling'wen'ye'bu'qiu'deng'bi 灵文夜补秋灯碧
'ling'yu'hu'pang'tuo 灵雨忽滂沱
'liu'chao'ji'xing'fei 六朝几兴废
'liu'chuan'xiang'li'zhi'shi'ming 流传乡里只诗名
'liu'dai'xin'gao'wan'qu'jing 柳带新膏绾去旌
'liu'hua'tao'hua'ban'wei'ni 柳花桃花半委泥
'liu'jiang'yan'se'wei'duo'qing 留将颜色慰多情
'liu'jiu'tong'xin'shang'wei'xiao 六九童心尚未消
'liu'jun'bu'zhu'wo'xin'ku 留君不住我心苦
'liu'san'jin'yi'shi 刘三今义士
'liu'tiao'bian 柳条边
'liu'yi'bu'zhi'jiu 流亦不止九
'long'huang'hu'luo'liang'yi'ran 龙荒虎落两依然
'long'you'bao'nai'lie 龙优豹乃劣
'lou'ge'cen'ci'wei'shang'deng 楼阁参差未上灯
'lou'ti'shi'cheng'shu'hou'chen 娄体诗成书后尘
'lu'cheng'jin'shi 录成金石
'lu'feng'jiang'guan'bai'ma'shou 路逢绛灌拜马首
'lu'ge'ru'ma'tian'bu'guan 鲁戈如麻天不管
'lu'ming'yan'sheng'se 鹿鸣燕笙瑟
'lu'sheng'dang'ru'yun'shui 橹声荡入云水
'lu'shi'lang'gan'ying 露湿琅玕影
'lu'xia'ting'ke'chan'xiang'xie 露下庭柯蝉响歇
'lu'yang'ge'zong'wan 鲁阳戈纵挽
'luan'chan'zhuan'yan'chai'men'lu 乱蝉转眼柴门路
'luan'lu'chun'you'shu'jing'ming 鸾辂春游淑景明
'luan'piao'feng'bo'duo'duo'fa'kong'kui 鸾漂凤泊咄咄发空喟
'luan'yue'san'cun'she 乱曰三寸舌
'lue'dan'zhang'gu'fei'kuang'ji 略耽掌故非劻济
'lue'gong'gan'kai'shi'ming'jia 略工感慨是名家
'lue'tong'nv 掠童女
'lue'zhuan'jiang'jun'zhi'ke'shu'yan'er 略传将军之客数言耳
'lun'jiao'san'shi'jiu 论交三世久
'lun'wen'er'hua'zhi 论文而哗之
'luo'can'hong'xing'hua 落残红杏花
'luo'hong'bu'shi'wu'qing'wu 落红不是无情物
'luo'jin'li'hua'yue'you'xi 落尽梨花月又西
'luo'jin'shen'hong'lv'ye'chou 落尽深红绿叶稠
'luo'mei'heng'di'yi'san'geng 落梅横笛已三更
'luo'po'can'jun'lei'yan'ying 落魄参军泪眼荧
'luo'wa'yin'chen'he'chu'mi 罗袜音尘何处觅
'luo'yue'cheng'gu'yi 落月成孤倚
'lv'bi'lang'gan'nen 绿比琅玕嫩
'lv'can'hong'ye'sheng'yu'hua 绿残红叶胜于花
'lv'jian'bai'zi'ming'qi'yan 绿笺百字铭其言
'lv'qing'chan'bin'xia'lian'shi 绿倾蝉鬓下帘时
'lv'shuang'he'qi'jie 履霜何其洁
'lv'ye'cheng'yin'chun'jin'ye 绿叶成阴春尽也
'lv'yin 绿阴
'ma'chi'jia'chang'yi 马齿加长矣
'ma'ji'che'chen'mang'wei'liao 马迹车尘忙未了
'ma'shang'qiang'tou'wang'wang'ying 马上墙头往往迎
'ma'ta'yan'zhi'jian'ru'tu 马踏燕支贱如土
'mai'jian'mai'qin 卖剑买琴
'mai'shan'qing'gui'er 买山请归尔
'man'cao'can'yang 蔓草残阳
'man'di'li'hua'si'qu'nian 满地梨花似去年
'man'gan 漫感
'man'jian'shu'xiao'ming 蛮笺署小名
'man'jiang'hong'mao'wu'xin'cheng'que'fu 满江红茅屋新成却赋
'man'long'dui 满龙堆
'man'man'qu'bi'he'suo'yi 漫漫趋避何所已
'man'mu'huang'liang'shui'ke'yu 满目荒凉谁可语
'man'ni'xin'sang'bian'ji'zhou 满拟新桑遍冀州
'man'ting'hu'die'er 满庭胡蝶儿
'man'ting'qi'su'ru'gao'shuang 满庭气肃如高霜
'man'yan'chun'feng'bai'shi'fei 满眼春风百事非
'man'yan'fang'fei'zong'ji'liao 满眼芳菲总寂寥
'man'zhu'liang'jian'yan 漫逐梁间燕
'mang'guan'shan'yi'pai'qiu'sheng'li 莽关山一派秋声里
'mei'hua'guan'ge'ye'sou'bing 梅花官阁夜锼冰
'mei'hua'si'bi'meng'hun'qing 梅花四壁梦魂清
'mei'ren'bie'ru'guang'pai'huai 美人别汝光徘徊
'mei'ren'jing'juan'zang'nian'hua 美人经卷葬年华
'mei'ren'ru'yu'jian'ru'hong 美人如玉剑如虹
'mei'ren'shi'wu'ru'hua'nong 美人十五如花秾
'mei'ren'zhi 没人知
'men'han'di'yuan'xing'tang'dang 门寒地远性傥荡
'men'hu'qian'qiu'ji'shi'ding 门户千秋几时定
'men'hu'yuan'fei'zhu'shang'xin 门户原非主上心
'men'qian'diao'bang'cui'ci'tong 门前钓榜催词筩
'meng'bu'duo'shao'nian'fan'nao'cong 梦不堕少年烦恼丛
'meng'hao'nan'liu 梦好难留
'meng'hui'chu 梦回处
'meng'jiang'nan'hun'ya'jin 梦江南昏鸦尽
'meng'jiang'nan'jiang'nan'hao 梦江南江南好
'meng'meng'pu'mian'jie'fei'xu 濛濛扑面皆飞絮
'meng'xiang'ban 梦相伴
'meng'ye'he'ceng'dao'xie'qiao 梦也何曾到谢桥
'meng'ye'xu'liu 梦也须留
'meng'you'nan'ping 梦又难凭
'meng'yu'ren'yin'yi'xiao'chui 梦玉人引一箫吹
'meng'zhong'ji'shang'zhi 梦中既觞之
'meng'zhong'yue'she'ti'hen 梦中月射啼痕
'meng'zhong'zuo 梦中作
'meng'zhong'zuo'si'jie'ju 梦中作四截句
'mi'le'zai'meng'song 靡乐在矇诵
'mi'wan'tong'xin'ju 密绾同心苣
'mi'wen'san'gong'shi'yu'fei 密问三公是与非
'mi'yi'wei'ceng'xiu 密意未曾休
'mi'yuan'nan'chou 密愿难酬
'mian'mian'bu'ke'jue 绵绵不可绝
'mian'mu'bu'zhuan'yi 面目不专一
'miao'miao'yu'huai'gu'ji 渺渺予怀孤寄
'miao'ran'huai'gu'ren 邈然怀古人
'mie'mo'dan'gui'hong 灭没但归鸿
'min'mian'gong'yi'shi 黾勉共一室
'min'pin'fei'tu'pin 民贫非土贫
'ming'bao'yin'ta'yi'fan'en 冥报因他一饭恩
'ming'chang'yue'li'mang'wu'ya 名场阅历莽无涯
'ming'gao'bang'zuo'wu'zi'li 名高谤作勿自例
'ming'gao'you'xi'geng'shui'zheng 名高有锡更谁争
'ming'jing'si'hai'ru'yun'long 名惊四海如云龙
'ming'li'yun'yi'meng 名理孕异梦
'ming'ming'xiang'shi'geng'wu'yu 明明相视更无语
'ming'mu'guan'xiang'you'shen'chi 冥目观想尤神驰
'ming'mu'zi'kong'he 明目恣恐吓
'ming'ri'ke'cheng'hai'ji'xu 明日客程还几许
'ming'shan'ke'song'si 名山可送死
'ming'wei'qian'qiu'chu'shi'bei 名位千秋处士卑
'ming'yue'lan'gan 明月阑干
'ming'yue'wu'gu'ren 明月吾故人
'mo'ba'shao'hua'qing'huan'le 莫把韶华轻换了
'mo'bian'qiu'shen 莫便秋深
'mo'cong'wen'ti'wen'gao'bei 莫从文体问高卑
'mo'dao'fang'shi'yi'du 莫道芳时易度
'mo'fu'dang'chu'wo 莫负当初我
'mo'geng'zhu 莫更著
'mo'guai'lei'ru'xue 莫怪泪如雪
'mo'guai'lian'ta 莫怪怜他
'mo'jiao'lei'sa'ying'xiong 莫教泪洒英雄
'mo'jiao'mo'nie 莫教磨涅
'mo'jiao'xing'ti 莫教星替
'mo'mo'chun'shan'han'qiao'zhe 漠漠春山罕樵者
'mo'mo'chun'wu'wu'bu'zhu 漠漠春芜芜不住
'mo'mo'ke'yu'meng 默默课于梦
'mo'mo'qing'wei'dou 脉脉情微逗
'mo'mo'yu'jin'xiang'zai'bi 漠漠郁金香在臂
'mo'mo'yu'ye'zhi 磨墨揄揶之
'mo'shi'qian'sheng'ji'zuo 莫是前生计左
'mo'si'er'weng'chuo'jiu'liu 莫似而翁啜九流
'mo'xiang'heng'tang'wen'jiu'you 莫向横塘问旧游
'mo'xin'shi'ren'jing'ping'dan 莫信诗人竟平淡
'mo'yi'wei'wen'dao'tu'ma 末议微闻道涂骂
'mo'yin'ta 莫因他
'mo'yuan'wu'ren'lai'zhe'qu 莫怨无人来折取
'mo'zuo'po'yang'jia'ji'kan 莫作鄱阳夹漈看
'mo'zuo'ren'jian'qing'yi'kan 莫作人间清议看
'mou'shui'mou'shan'mi'xing'shi 某水某山迷姓氏
'mu'han'shi 暮寒时
'mu'lan'hua'ni'gu'jue'jue'ci'jian'you 木兰花拟古决绝词柬友
'mu'ma'pin'lai'qu 牧马频来去
'mu'mu'yu'zhao'zhao 暮暮与朝朝
'mu'nu'huo'you'ke 目怒活犹可
'mu'ri'guang'hua'hai'yu'yue 沐日光华还浴月
'mu'su'cang'jiang'bin 暮宿沧江滨
'mu'ye'yuan 木叶怨
'mu'you'wen'zhang'ceng'shi'bing 木有文章曾是病
'mu'yu'hu'lai'hong'yan'yao 暮雨忽来鸿雁杳
'na'kan'gu'zhen'meng'bian'cheng 那堪孤枕梦边城
'na'lan'xing'de'juan 纳兰性德卷
'na'shi'cai'su 那时才诉
'na'shi'peng'hu 那是蓬壶
'na'ying'jin'fen'bu'jian'xiang 那应金粉不兼香
'na'zhi'ci'ye 那知此夜
'nai'fu'you'suo'chen 乃复有所陈
'nai'jing'ri'chun'qing'yu 奈竟日春青语
'nai'shi'tai'dai'se 乃是泰岱色
'nan'bei'san'qian'li 南北三千里
'nan'dao'gui'lai'jin'lie'hou 难道归来尽列侯
'nan'ge'zi'gu'shu 南歌子古戍
'nan'guo'shang'chan 南国伤谗
'nan'jin'cun'lie'rou'chang 难禁寸裂柔肠
'nan'jun'bei'jun'po'you'si 南军北军颇有私
'nan'lou'ling'jin'ye'zhen'xin'jing 南楼令金液镇心惊
'nan'pu'qiang'di'luo'hua'tian 南浦羌笛落花天
'nan'shan'meng'hu'chi'ren 南山猛虎吃人
'nan'shan'you'xian'tian 南山有闲田
'nan'tong'shi'shui'cu 难同逝水徂
'nan'xiang'cang'cang'li 难向苍苍理
'nan'xiang'shi'jia'sou'bi'li 难向史家搜比例
'nan'xiang'zi'he'chu'cui'wu'gou 南乡子何处淬吴钩
'nan'xiang'zi'wei'wang'fu'ti'zhao 南乡子为亡妇题照
'neng'ling'gong'shao'nian'xing'you'xu 能令公少年行有序
'ni'gu'si'shi'shou'qi'shi 拟古四十首其十
'ni'lian'gang'qian'ou'si'ying 泥莲刚倩藕丝萦
'ni'lv'ti'bi'ci'zhou'bo'tian'yuan'yun 逆旅题壁次周伯恬原韵
'nian'jia'li'shu'qian 年家礼数谦
'nian'lai'duo'zai'bie'li'jian 年来多在别离间
'nian'lai'ku'le 年来苦乐
'nong'hua'ru'meng'shui'dong'liu 秾华如梦水东流
'ou'dang'qiao'bian'li'diao'tong 藕荡桥边理钓筒
'ou'feng'jin'se'jia'ren'wen 偶逢锦瑟佳人问
'ou'fu'ling'yun'ou'juan'fei 偶赋凌云偶倦飞
'ou'fu'shan'chuan'xing'lu'nan 偶赋山川行路难
'ou'ran'jian 偶然间
'ou'ran'xian'mu'sui'chu'yi 偶然闲慕遂初衣
'ou'yin'shi'shui'jiao'wu'li 偶因失睡娇无力
'pa'hui'tou'hai'jian'gao'cheng'chi'wu 怕回头还见高城尺五
'pa'rong'yi 怕容易
'pa'you'quan 怕幽泉
'pai'guan'jue'sai'hu'da'zhi 排关绝塞忽大至
'pan'ba'chang'mian'di'xing 判把长眠滴醒
'pan'ju'gan'chang'shen 盘踞肝肠深
'pan'ren'chi'fei'xiao 判任痴肥笑
'pan'tao'zhi'hua'wan'zhang'ming 蟠桃之花万丈明
'pan'zhong'bo'tuo'gui'yi'qian 盘中馎饦贵一钱
'pan'zun'qian'bei'jiu 拚尊前杯酒
'pang'bo'jiang'xin'ban 磅礴匠心半
'pang'ren'wu'zuo'dan'zhuang'kan 旁人误作淡妆看
'pao'que'hu'shan'yi'di'qiu 抛却湖山一笛秋
'pei'huan'ting'chu'yi'xi 佩环听处依稀
'pi'li'ying'gong'xian 霹雳应弓弦
'pi'pa'hua'di'xiao'shu'ren 枇杷花底校书人
'pi'yi'qi'zhan'hua'yan'tong 披衣起展华严筒
'pian'dao'yuan'yang'liang'zi'bing 偏到鸳鸯两字冰
'pian'pian'cui'ling'luo 片片催零落
'pian'shi'lai'wu'zhun 偏是来无准
'pian'shi'wu'qing'pian'jie'wu 偏是无情偏解舞
'pian'yue'san'xing 片月三星
'pian'zhou'yi'ye 扁舟一叶
'piao'bo'tian'ya 飘泊天涯
'piao'ling'xin'shi 飘零心事
'piao'ling'xing'xi'cheng'er'ke'qi'yi 飘零行戏呈二客其一
'piao'ling'ye'ding 飘零也定
'ping'ji'yu 凭寄语
'ping'jian'lou'ge'li'jiang'jun 屏间楼阁李将军
'ping'jun'liao'li'hua'jian'ke 凭君料理花间课
'ping'jun'mo'zuo'yan'bo'meng 凭君莫作烟波梦
'ping'jun'qie'mo'deng'gao'wang 凭君且莫登高望
'ping'sheng'bu'xu'xiang'lei'wen 平生不蓄湘累问
'ping'sheng'hen 平生恨
'ping'sheng'jin'tui'liang'dian'bo 平生进退两颠簸
'ping'sheng'mo'gan'yu'huang'en 平生默感玉皇恩
'ping'sheng'zong'you'ying'xiong'xue 平生纵有英雄血
'ping'su'yu'qiu'qing 凭诉与秋擎
'ping'yi'wei'wo 凭伊慰我
'ping'zhang'dan'qing'zhong'sheng'shi 凭仗丹青重省识
'po'jue'shao'ling'shi'wen'bo 颇觉少陵诗吻薄
'po'mao'ce'wu'wu 破帽恻吾吾
'pu'cheng'xin'wu'cai 朴诚心无猜
'pu'chu'hui'chang 谱出回肠
'pu'sa'man'cui'hua'wei'xie'hua'nu'gu 菩萨蛮催花未歇花奴鼓
'pu'sa'man'jing'lian'yi'pian'shang'xin'bai 菩萨蛮晶帘一片伤心白
'pu'sa'man'wen'jun'he'shi'qing'li'bie 菩萨蛮问君何事轻离别
'pu'sa'man'wu'si'hua'zuo'hui'wen'zhi 菩萨蛮乌丝画作回纹纸
'pu'sa'man'xing'yun'yu'du'lian'jing'qu 菩萨鬘行云欲度帘旌去
'pu'tao'tian'ma'nian'nian'jian 蒲萄天马年年见
'pu'yi'ben'kuang'shi 仆亦本狂士
'pu'yu'shang'yu'jia 朴愚伤于家
'qi'ba 其八
'qi'ba'ba 其八八
'qi'ba'liu 其八六
'qi'ba'qi 其八七
'qi'ba'san 其八三
'qi'ba'wu 其八五
'qi'bao'zhao'ting'hu 奇宝照庭户
'qi'chuang'yin'he 绮窗吟和
'qi'di'bao'yang'si'shou'xuan'er'shou 乞籴保阳四首选二首
'qi'er 其二
'qi'er'ba 其二八
'qi'er'er'yi 其二二一
'qi'er'jiu 其二九
'qi'er'jiu'ba 其二九八
'qi'er'jiu'yi 其二九一
'qi'er'qi'jiu 其二七九
'qi'er'qi'liu 其二七六
'qi'er'san'er 其二三二
'qi'er'san'jiu 其二三九
'qi'er'san'yi 其二三一
'qi'er'si 其二四
'qi'er'si'yi 其二四一
'qi'er'wu'er 其二五二
'qi'er'yi 其二一
'qi'er'yi'yi 其二一一
'qi'gu'quan'ping'yi'bi'cheng 奇古全凭一臂撑
'qi'han'xi'bei'he'ren'jian 气寒西北何人剑
'qi'jin'feng'yan'ye'yu'ling 泣尽风檐夜雨铃
'qi'jiu 其九
'qi'jiu'liu 其九六
'qi'jue'bai'yang'huang'cao 凄绝白杨荒草
'qi'jun'gong'yi'shen 期君共一身
'qi'kan'li'li'lou'tai'wai 起看历历楼台外
'qi'lai'he'shou'feng'ti'chu 起来呵手封题处
'qi'lai'qin'shou'fang'lian'hen 起来亲手放帘痕
'qi'lai'ya'ya 其来衙衙
'qi'liu 其六
'qi'liu'er 其六二
'qi'liu'wu 其六五
'qi'long'guai'feng'ai'piao'bo 奇龙怪凤爱漂泊
'qi'men'huo'nu'huo'yin'xi 期门或怒或阴喜
'qi'meng'xiao'qi'bi 奇梦肖奇笔
'qi'nai'yi'ceng'you 其奈忆曾游
'qi'nan'lin'bei'she 其南邻北舍
'qi'nei'yan'kong'zhi 气馁言恐窒
'qi'qi 其七
'qi'qi'liu 其七六
'qi'qi'san 其七三
'qi'qi'shang'yin'wei'wen'chang 其气上引为文昌
'qi'qi'si 其七四
'qi'qi'yi'zong'bu'ke'he 奇气一纵不可阖
'qi'qing'zhao'bin'si 凄清照鬓丝
'qi'ren'chun'qi'yu 其人春气腴
'qi'ren'wei 岂人为
'qi'san 其三
'qi'san'san 其三三
'qi'san'yi'er 其三一二
'qi'san'yi'wu 其三一五
'qi'shen'tun'tan'zhi'zeng'bei 漆身吞炭只增悲
'qi'shi 其十
'qi'shi'bu'ke'sha 奇士不可杀
'qi'shi'er 其十二
'qi'shi'er'feng'feng'feng'sheng'dan'feng 七十二峰峰峰生丹枫
'qi'shi'ping'sheng'yi 岂是平生意
'qi'shi'si 其十四
'qi'shu'ci'yu'deng'yan'si 起书此语灯焰死
'qi'si 其四
'qi'si'qi 其四七
'qi'si'si 其四四
'qi'si'wu 其四五
'qi'wen'bu'ke'du 奇文不可读
'qi'wu 其五
'qi'wu'ba 其五八
'qi'wu'shu'gao'chen 岂无属稿辰
'qi'xi'fen'yun 气息氛氲
'qi'xiang'ci'di'qing'yan'zhi 齐向此地倾胭脂
'qi'xie'shi'jiu'yu 欹斜使酒馀
'qi'xie'xue'lang'zhen'si'zuo 欹斜谑浪震四坐
'qi'xu'xiang'jie'cuo'xu'gong 奇许相借错许攻
'qi'yan'ming'qie'qing 其言明且清
'qi'yan'zai'qing'shi 其言在青史
'qi'yi 其一
'qi'yi'ba 其一八
'qi'yi'er 其一二
'qi'yi'er'jiu 其一二九
'qi'yi'er'san 其一二三
'qi'yi'er'wu 其一二五
'qi'yi'lai'tong'gao'jie'yan 七译来同藳街宴
'qi'yi'qi 其一七
'qi'yi'qi'ba 其一七八
'qi'yi'san 其一三
'qi'yi'san'wu 其一三五
'qi'yi'san'yi 其一三一
'qi'yi'si 其一四
'qi'yi'si'jiu 其一四九
'qi'yi'wu 其一五
'qi'yi'wu'san 其一五三
'qi'yi'yi'ba 其一一八
'qi'yi'yi'qi 其一一七
'qi'ze'hao'yi'suo'wei'xiu 奇则耗矣琐未休
'qi'zi'hu'xian'ji 妻子忽献计
'qia'shang'xin'tou 恰上心头
'qian'chi'han'tan'bai'ri'chen 千尺寒潭白日沉
'qian'fan'bai'zhou'guang'xiong'xiong 千番百轴光熊熊
'qian'fu'feng'luan'shu 千幅凤鸾书
'qian'gu'gu'fei'qu 千古孤飞去
