'a'ji'mi'de'qiao'ji 阿基米德巧计
'lu'mian'qi'cai 路面器材
'lu'shang'fa'zhan'jin'gong 陆上发展进攻
'lu'tian'gong'shi 露天工事
'lu'ye'qiang 芦叶枪
'lu'yi'shi'qi 路易氏气
'lu'ying 露营
'lu'ying 绿营
'lu'ying'zhe 露营者
'lu'zhai 鹿砦
'lu'zhan'dui'shi'yong 陆战队使用
'lu'zhang 路障
'luan'er'qu'zhi 乱而取之
'luan'xing'gong'shi 卵形工事
'luan'zhan 乱战
'lue'biao 略表
'lun'dun'qiang'xie'gong 伦敦枪械工
'lun'fan'gong'ji 轮番攻击
'lun'fan'zhan'dou 轮番战斗
'lun'ju 轮距
'lun'liu'kai'ji'zhi'ban 轮流开机值班
'lun'qin 伦琴
'lun'shi 轮式
'lun'shi'he'zai 轮式荷载
'lun'shi'zhou'ya 轮式轴压
'lun'xian'qu 沦陷区
'lun'xun 轮训
'lun'xun'dui 轮训队
'lun'zhu'duo'bu 论著多部
'luo'de'ni'hao 罗德尼号
'luo'dian 落点
'luo'dian'pian'cha 落点偏差
'luo'gang 罗冈
'luo'jiao 落角
'luo'jing'quan 罗经圈
'luo'ke'wei'er'ying'du 洛克威尔硬度
'luo'ke'xi'de 洛克西德
'luo'ke'xi'de'gong'si 洛克希德公司
'luo'ma'gong'si 洛马公司
'luo'ma'pao'bing 骡马炮兵
'luo'shui'dong 落水洞
'luo'si'fu'hao 罗斯福号
'luo'xian 裸线
'luo'xuan'gu'ding'zhuang 螺旋固定桩
'luo'xuan'jiang 螺旋桨
'lv'bian'mao'qiu'sheng'dao 绿扁帽求生刀
'lv'bu 旅部
'lv'chen'qiang 绿沉枪
'lv'dai 履带
'lv'dai'che'liang 履带车辆
'lv'dai'jie'di'chang 履带接地长
'lv'dai'shi 履带式
'lv'dai'shi'che'liang 履带式车辆
'lv'dai'shi'he'zai 履带式荷载
'lv'dai'shi'zhuang'jia 履带式装甲
'lv'dai'tui'jin'zhuang'zhi 履带推进装置
'lv'dai'xing'jun 履带行军
'lv'dai'zhao'di'mian'ji 履带着地面积
'lv'du 滤毒
'lv'du'guan 滤毒罐
'lv'hua'qing 氯化氢
'lv'ji 履棘
'lv'jian'bu'yi 屡见不疑
'lv'liang'zhan'yi 吕梁战役
'lv'shang 吕尚
'lv'shuai 旅帅
'lv'shun'kou 旅顺口
'lv'suan'jia 氯酸钾
'lv'xing'jia 旅行家
'lv'xing'jin'du'zhi'ze 履行禁毒职责
'lv'ying'bing 绿营兵
'lv'zhang 旅长
'lv'zheng'cao 吕正操
'ma'cao'tui'bing 马槽退兵
'ma'dao'zhan'zheng 马岛战争
'ma'ding'gong'si 马丁公司
'ma'fang 马防
'ma'fu'xiang 马福祥
'ma'ge'nu'mu 马格努姆
'ma'guo'sen 马国森
'ma'guo'sen'ge'dou'dao 马国森格斗刀
'ma'guo'sen'kai'shan'dao 马国森开山刀
'ma'he'shu 马赫数
'ma'hong'bin 马鸿宾
'ma'hua'long 马化龙
'ma'ji 马塈
'ma'jin'zhong 马进忠
'ma'jiong 马炯
'ma'kong'ying 马孔英
'ma'kuang 马爌
'ma'kuo 马扩
'ma'li'lan'hao 马里兰号
'ma'li'ta 玛丽塔
'ma'ling'cong 马令琮
'ma'quan'jie 马全节
'ma'quan'xu 马全叙
'ma'quan'yi 马全义
'ma'que'zhan 麻雀战
'ma'ren'yu 马仁瑀
'ma'sa'zhu'sai'hao 马萨诸塞号
'ma'shi'long 马世龙
'ma'sui 马燧
'ma'tou 码头
'ma'wan 马万
'ma'wen'lu 马文禄
'ma'xian'bing 马仙琕
'ma'ying'kui 马应魁
'ma'yu 马瑜
'ma'yu'kun 马玉昆
'ma'zhi'jie 马知节
'ma'zhuang'ju 马装具
'mai'chong'kuan'du 脉冲宽度
'mai'mai'gong'ping 买卖公平
'mai'ming'sha'jiang 埋名杀将
'man'deng 满灯
'man'qi 满旗
'man'you'zhe 漫游者
'man'yuan 满员
'man'zai'pai'shui'liang 满载排水量
'mang'fa 盲发
'mang'qu 盲区
'mao'bao 帽堡
'mao'bo 锚泊
'mao'bo'jia'you 锚泊加油
'mao'di 锚地
'mao'ding 锚定
'mao'ding'men'qiao 锚定门桥
'mao'ding'shui'lei 锚定水雷
'mao'ding'xian 锚定线
'mao'gang 锚钢
'mao'hui 帽徽
'mao'hui'tu'xing 帽徽图形
'mao'lei 锚雷
'mao'ling'jian 茂陵剑
'mao'tou'xing'shi 矛头形式
'mao'ze'dong 毛泽东
'mao'ze'dong'shi'ci 毛泽东诗词
'mao'ze'dong'tong'zhi 毛泽东同志
'mao'zhu'xi 毛主席
'mei'guo'du'li'zhan'zheng 美国独立战争
'mei'guo'hai'jun 美国海军
'mei'guo'hai'jun'jian'dui 美国海军舰队
'mei'guo'hai'jun'xu'yao 美国海军需要
'mei'guo'jun'fang 美国军方
'mei'guo'jun'ji 美国军机
'mei'guo'kong'jun 美国空军
'mei'guo'qiang'xie'zhuan'jia 美国枪械专家
'mei'guo'shi'mi'si 美国史密斯
'mei'guo'shi'zai 美国是在
'mei'guo'yue'han'xun 美国约翰逊
'mei'hai'jun'lu'zhan'dui 美海军陆战队
'mei'hua'qiang 梅花枪
'mei'hua'xiu'jian 梅花袖箭
'mei'jian'dao 眉尖刀
'mei'jie'wu 媒介物
'mei'jun'ci'dao 美军刺刀
'mei'jun'que'ding 美军确定
'mei'jun'zhuang'bei 美军装备
'mei'zhan'bi'bai 每战必败
'men'chuang'an'zhuang 门窗安装
'men'chuang'guan'bi'ji 门窗关闭机
'men'qiao 门桥
'men'qiao'cao'du 门桥漕渡
'men'qiao'chang 门桥长
'men'qiao'du'chang 门桥渡场
'men'qiao'du'he 门桥渡河
'men'qiao'du'kou 门桥渡口
'meng'gu'ba'qi 蒙古八旗
'meng'hu'ru'dong 猛虎入洞
'meng'liang'gu'zhan'yi 孟良崮战役
'meng'tian 蒙恬
'mi'ben 密本
'mi'bi 密闭
'mi'bi'men 密闭门
'mi'bi'she'shi 密闭设施
'mi'bi'shi 密闭式
'mi'bo'tong'xin 米波通信
'mi'cai 迷彩
'mi'cai'fu 迷彩服
'mi'cai'wei'zhuang 迷彩伪装
'mi'cai'wei'zhuang'qi'cai 迷彩伪装器材
'mi'cai'zuo'ye 迷彩作业
'mi'cai'zuo'ye'bao 迷彩作业包
'mi'cai'zuo'ye'che 迷彩作业车
'mi'cai'zuo'ye'ji'ju 迷彩作业机具
'mi'dian'ma 密电码
'mi'ge 米格
'mi'ge'zhan'dou'ji 米格战斗机
'mi'hang 迷航
'mi'hao'gou 米壕沟
'mi'hua 密化
'mi'ji'he'tu'ji 密集核突击
'mi'ji'pei'zhi 密集配置
'mi'ji'sha'shang'ban'jing 密集杀伤半径
'mi'ji'sha'shang'jiao 密集杀伤角
'mi'ji'sha'shang'ju'li 密集杀伤距离
'mi'ji'zhen'jin'fang'pao 密集阵近防炮
'mi'ju'li'shang 米距离上
'mi'ke'shou'gong'ban 米克手工版
'mi'ke'shou'qian'ban 米克手签版
'mi'lan'xing'du'ji 糜烂性毒剂
'mi'ling 密令
'mi'ma 密码
'mi'ma'di'tu 密码地图
'mi'ma'ji 密码机
'mi'ma'ti'zhi 密码体制
'mi'ma'xin'hao 密码信号
'mi'ma'xue 密码学
'mi'ma'xue'ming'ci 密码学名词
'mi'ma'zu 密码组
'mi'mang'di'ren 迷盲敌人
'mi'mang'she'ji 迷茫射击
'mi'mang'yan'mu 迷盲烟幕
'mi'mi 秘密
'mi'mi'dong'yuan 秘密动员
'mi'shen 米深
'mi'shu'qun'lian'chu 秘书群联处
'mi'su'li'hao 密苏里号
'mi'wei 密位
'mi'wei'gong'shi 密位公式
'mi'wen 密文
'mi'xi'xi'bi'hao 密西西比号
'mi'yao 密钥
'mi'yao'ti'zhi 密钥体制
'mi'yuan'di 米原地
'mian'fang'yu 面防御
'mian'mu'biao 面目标
'mian'zhuang'gan'rao'zhe'zhang 面状干扰遮障
'miao'gao'hao'qu'zhu'jian 妙高号驱逐舰
'miao'ju 瞄具
'miao'man 苗蛮
'miao'zhun 瞄准
'miao'zhun'cao'zuo'shou 瞄准操作手
'miao'zhun'dian'zuo'biao 瞄准点坐标
'miao'zhun'gen'zong'xi'tong 瞄准跟踪系统
'miao'zhun'he'she'ji 瞄准和射击
'miao'zhun'ji'xian'chang 瞄准基线长
'miao'zhun'jiao 瞄准角
'miao'zhun'jing 瞄准镜
'miao'zhun'jing'fang'hu'zhao 瞄准镜防护罩
'miao'zhun'ju 瞄准具
'miao'zhun'ju'fa 瞄准具法
'miao'zhun'ju'fa'she'ji 瞄准具法射击
'miao'zhun'ju'she'ji 瞄准具射击
'miao'zhun'mian'qing'xie'jiao 瞄准面倾斜角
'miao'zhun'mian'zhuan'dong'jiao 瞄准面转动角
'miao'zhun'she'ji 瞄准射击
'miao'zhun'shi'gan'rao 瞄准式干扰
'miao'zhun'shou 瞄准手
'miao'zhun'xi'tong 瞄准系统
'miao'zhun'xian 瞄准线
'miao'zhun'yao'su 瞄准要素
'miao'zhun'zhuang'zhi 瞄准装置
'mie'hun 灭魂
'mie'huo'ji 灭火机
'mie'huo'yi'bao'zhuang'zhi 灭火抑爆装置
'mie'jun 灭菌
'min'bing'can'zhan'zhi'qian 民兵参战支前
'min'bing'chuan'tong'zhan'fa 民兵传统战法
'min'bing'gan'bu 民兵干部
'min'bing'gong'zuo'tiao'li 民兵工作条例
'min'bing'lian'fang 民兵联防
'min'bing'shao'suo 民兵哨所
'min'bing'zhan'bei'qin'wu 民兵战备勤务
'min'bing'zhen'cha 民兵侦察
'min'bing'zheng'zhi'gong'zuo 民兵政治工作
'min'bing'zhi 民兵制
'min'bing'zu'zhi 民兵组织
'min'fang 民防
'min'gan'jun'qu 闽赣军区
'min'hang 民航
'min'jian'jiu'fen 民间纠纷
'min'yi'yong'han'zhe 民以勇悍着
'min'yong'wei'xing 民用卫星
'min'zhi'si'ming 民之司命
'min'zhou 民舟
'min'zhu'ce'ping 民主测评
'min'zu'sheng'cun 民族生存
'ming'chao'jia'jing'nian'jian 明朝嘉靖年间
'ming'chao'wan'li'nian'jian 明朝万历年间
'ming'cheng'yuan 名乘员
'ming'jun 明军
'ming'ling'xian 命令线
'ming'ma'jia'luan'zuo'ye 明码加乱作业
'ming'mi'bian'huan 明密变换
'ming'ming'wei 命名为
'ming'si'ke'hao 明斯克号
'ming'wang'chao 明王朝
'ming'wen 明文
'ming'xian 明线
'ming'xie'ming'da 明歇明打
'ming'zhong'gai'lv 命中概率
'ming'zhong'gong'suan 命中公算
'ming'zhong'jiao 命中角
'ming'zhong'jing'du 命中精度
'ming'zhong'jing'du'hai 命中精度还
'ming'zhong'mu'biao 命中目标
'ming'zhong'pian'cha 命中偏差
'mo'bu'shi 摩步师
'mo'bu'tuan 摩步团
'mo'ca'yao 摩擦药
'mo'du'zhi'mou 冒顿之谋
'mo'duan'hong'wai'cheng'xiang 末端红外成像
'mo'duan'zhi'dao 末端制导
'mo'duan'zhi'dao'pao'dan 末端制导炮弹
'mo'gan'you'wei 莫敢有违
'mo'gao'yi'chi 魔高一尺
'mo'gu'yan'yun 蘑菇烟云
'mo'gu'yun 蘑菇云
'mo'gu'zhan 蘑菇战
'mo'gu'zhuang'yan'yun 蘑菇状烟云
'mo'ka'tuo'tou'ying 墨卡托投影
'mo'neng'ju'ye 莫能举也
'mo'ni'jiao'xue 模拟教学
'mo'ni'wei'zhuang'qi'cai 模拟伪装器材
'mo'ni'xun'lian'dan 模拟训练弹
'mo'ni'xun'lian'qi'cai 模拟训练器材
'mo'qi'chou'nu 万俟丑奴
'mo'qi'luo 万俟洛
'mo'qi'pu 万俟普
'mo'qu 末区
'mo'su 末速
'mo'tuo'hua 摩托化
'mo'tuo'hua'bu'bing 摩托化步兵
'mo'tuo'hua'bu'bing'tuan 摩托化步兵团
'mo'tuo'hua'bu'dui 摩托化部队
'mo'tuo'hua'pao'bing 摩托化炮兵
'mo'tuo'hua'shi 摩托化师
'mo'tuo'hua'xing'jun 摩托化行军
'mo'tuo'shui'beng 摩托水泵
'mo'tuo'xiao'shi 摩托小时
'mo'tuo'xiao'shi'chu'bei 摩托小时储备
'mo'ye 莫邪
'mo'zhi'dao 末制导
'mou'gong'di'san 谋攻第三
'mou'shi'san'ce 谋士三策
'mou'zhan 谋战
'mu'biao'bao'lu'zheng'hou 目标暴露征候
'mu'biao'bian'hao 目标编号
'mu'biao'cai'gou'jia'ge 目标采购价格
'mu'biao'fan'she 目标反射
'mu'biao'fu'she 目标辐射
'mu'biao'gao'du 目标高度
'mu'biao'hang'ji 目标航迹
'mu'biao'jian 目标舰
'mu'biao'jian'chuan'xian 目标舰船线
'mu'biao'jie'huo'lei'da 目标截获雷达
'mu'biao'kang'ya'qiang'du 目标抗压强度
'mu'biao'qu 目标区
'mu'biao'wei'zhuang 目标伪装
'mu'biao'xing'zhi 目标性质
'mu'biao'xing'zhi'qing'bao 目标性质情报
'mu'biao'yin'dao 目标引导
'mu'biao'yin'dao'dian'tai 目标引导电台
'mu'biao'yin'dao'zu 目标引导组
'mu'biao'yu'bei'jing 目标与背景
'mu'biao'yun'dong 目标运动
'mu'biao'yun'dong'can'shu 目标运动参数
'mu'biao'yun'dong'te'xing 目标运动特性
'mu'biao'zhi'dao'lei'da 目标制导雷达
'mu'biao'zhi'shi 目标指示
'mu'biao'zhi'shi'lei'da 目标指示雷达
'mu'biao'zhong'xin 目标中心
'mu'biao'zhu'yuan 目标诸元
'mu'biao'zuo'biao 目标坐标
'mu'biao'zuo'biao'qing'kuang 目标坐标情况
'mu'bing'feng'ge'jian 木柄风格剑
'mu'ce 目测
'mu'ce'fa 目测法
'mu'dan'tou 母弹头
'mu'dan'tou'cang 母弹头仓
'mu'gong'ji'xie 木工机械
'mu'pai'jia 木排架
'mu'shi 目视
'mu'shi'dao'hang 目视导航
'mu'shi'dao'hang'she'bei 目视导航设备
'mu'shi'fei'xing 目视飞行
'mu'shi'zhen'cha 目视侦察
'na'po'lun 拿破仑
'na'qiang'fa 拿枪法
'na'zhi'yin 捺指印
'nai'bao 耐爆
'nai'bao'xing 耐爆性
'nai'bao'xing'neng 耐爆性能
'nai'bao'yin'xin 耐爆引信
'nai'bo 耐波
'nai'bo'li 耐波力
'nai'te'hei'wu'shi 耐特黑武士
'nai'wei'zhi'shi 乃为之势
'nan'bei'zhan'zheng 南北战争
'nan'chang'qi'yi 南昌起义
'nan'ci 南次
'nan'fang'ji'tuan'jun'qun 南方集团军群
'nan'fang'mian'jun 南方面军
'nan'fei'wei'ke'duo 南非维克多
'nan'jiang'xian 南疆线
'nan'jing'jun'qu 南京军区
'nan'jun 南军
'nan'shi'zi'xing'zuo 南十字星座
'nan'si'la'fu'ci'dao 南斯拉夫刺刀
'nan'song'kang'jin'ming'jiang 南宋抗金名将
'nan'ya'jin'jun 南衙禁军
'nan'zhan 难战
'nei'bo 内波
'nei'bu'tong'bao 内部通报
'nei'dan'dao 内弹道
'nei'dan'dao'xue 内弹道学
'nei'hai 内海
'nei'he'shu'song 内河输送
'nei'hong 内红
'nei'hong'dian 内红点
'nei'hua'da'hao 内华达号
'nei'qian'wai'tao 内潜外逃
'nei'rong'ye 内容也
'nei'wei 内卫
'nei'wei'zhi'qin'ren'wu 内卫执勤任务
'nei'wu'tiao'ling 内务条令
'nei'wu'wei'sheng 内务卫生
'nei'wu'zhi'du 内务制度
'nei'xian'bing'tuan 内线兵团
'nei'xian'zuo'zhan 内线作战
'nei'xu'yu'jia 内虚于家
'nei'yao'dai 内要带
'nei'you'fa'dong'ji 内有发动机
'nei'you'tan'ke'wu'qi 内有坦克武器
'nei'zhan 内战
'nei'zhao'she 内照射
'neng'gan'shi 能干事
'neng'jian'du 能见度
'neng'jin'ze'jin 能进则进
'neng'wei'bu'ke'sheng 能为不可胜
'neng'xian'zu 能跣足
'neng'yuan'xi'tong 能源系统
'neng'yun'tie'qiang 能运铁枪
'nian'dai'yi'hou 年代以后
'nian'fa'guo 年法国
'nian'geng'yao 年羹尧
'nian'ji'nian'ban 年纪念版
'nian'kai'shi 年开始
'nian'ling'er'yi 年龄而异
'nian'quan 年拳
'niang'zi'guan 娘子关
'niao'chong 鸟铳
'niao'hai'hao'qu'zhu'jian 鸟海号驱逐舰
'nie'ge'qiao'si 镍铬桥丝
'ning'gu'qi'you'dan 凝固汽油弹
'ning'you'fen 凝油粉
'ning'zhan 凝战
'niu'yue'hao 纽约号
'nong'min'zhan'zheng 农民战争
'nong'yan 农研
'nong'ye'qi'xiang'fen'qu 农业气象分区
'nu'er'ha'chi 努尔哈赤
'nu'er'nao'zhi 怒而挠之
'nu'zhan 怒战
'nuan'ceng 暖层
'nuo'man'di 诺曼底
'nuo'man'di'deng'lu 诺曼底登陆
'ou'ji'zi'fan'she'ti 偶极子反射体
'pa'gao'lv 爬高率
'pa'po 爬坡
'pa'po'du 爬坡度
'pa'sheng'lv 爬升率
'pai'chu'suo 派出所
'pai'chu'zhang'ai'wu 排除障碍物
'pai'dan 排弹
'pai'dan'zuo'ye 排弹作业
'pai'ji'pao 迫击炮
'pai'lei 排雷
'pai'mai'ye 拍卖业
'pai'shao 排哨
'pai'she'xian'chang'zhao'pian 拍摄现场照片
'pai'shui 排水
'pai'shui'liang 排水量
'pan'deng'zhe 攀登者
'pan'du 判读
'pan'luan'shi'jian 叛乱事件
'pan'qiu'ta 潘丘它
'pao'biao'zhun 炮标准
'pao'bing 炮兵
'pao'bing'bian'zu 炮兵编组
'pao'bing'bing'li'ji'dong 炮兵兵力机动
'pao'bing'bu'shu 炮兵部署
'pao'bing'ce'di'qin'wu 炮兵测地勤务
'pao'bing'dai'ji'di'yu 炮兵待机地域
'pao'bing'di'mian'zhen'cha 炮兵地面侦察
'pao'bing'fen'dui 炮兵分队
'pao'bing'fen'san'zhi'hui 炮兵分散指挥
'pao'bing'guan'ce'qi'cai 炮兵观测器材
'pao'bing'guan'cha'suo 炮兵观察所
'pao'bing'huo'li 炮兵活力
'pao'bing'huo'li'ji'dong 炮兵火力机动
'pao'bing'huo'li'pei'xi 炮兵火力配系
'pao'bing'huo'li'zhen'cha 炮兵火力侦察
'pao'bing'ji'ben'zhen'di 炮兵基本阵地
'pao'bing'ji'dong 炮兵机动
'pao'bing'ji'jie'di'yu 炮兵集结地域
'pao'bing'ji'zhong'zhi'hui 炮兵集中指挥
'pao'bing'jiao'ti'zhi'hui 炮兵交替指挥
'pao'bing'ju 炮兵局
'pao'bing'kong'zhong'zhen'cha 炮兵空中侦察
'pao'bing'lin'shi'zhen'di 炮兵临时阵地
'pao'bing'pei'zhi'di'yu 炮兵配置地域
'pao'bing'qi'she 炮兵齐射
'pao'bing'qi'xiang'qin'wu 炮兵气象勤务
'pao'bing'qian'yin'che 炮兵牵引车
'pao'bing'qu'fen 炮兵区分
'pao'bing'qun 炮兵群
'pao'bing'she'ji 炮兵射击
'pao'bing'she'ji'xiao'guo 炮兵射击效果
'pao'bing'she'ji'zhi'hui 炮兵射击指挥
'pao'bing'she'ji'zhun'bei 炮兵射击准备
'pao'bing'shu'san'di'yu 炮兵疏散地域
'pao'bing'tuan 炮兵团
'pao'bing'xing'dong'ji'hua 炮兵行动计划
'pao'bing'ying 炮兵营
'pao'bing'yu'bei'dui 炮兵预备队
'pao'bing'yu'bei'zhen'di 炮兵预备阵地
'pao'bing'yue'ji'zhi'hui 炮兵越级指挥
'pao'bing'zhan'shu 炮兵战术
'pao'bing'zhan'shu'ming'ci 炮兵战术名词
'pao'bing'zhao'xiang'qin'wu 炮兵照相勤务
'pao'bing'zhao'xiang'zhen'cha 炮兵照相侦察
'pao'bing'zhen'cha 炮兵侦察
'pao'bing'zhi'hui 炮兵指挥
'pao'bing'zhi'hui'fen'dui 炮兵指挥分队
'pao'bing'zhi'hui'suo 炮兵指挥所
'pao'bing'zhu'ji'zhi'hui 炮兵逐级指挥
'pao'bing'zi'wei'she'ji 炮兵自卫射击
'pao'dao'deng 跑道灯
'pao'dao'duan'deng 跑道端灯
'pao'dao'zhong'xin'xian 跑道中心线
'pao'dui'jing 炮队镜
'pao'gu 炮箍
'pao'huo'bao'zhang 炮火保障
'pao'huo'fan'ji 炮火反击
'pao'huo'feng'suo 炮火封锁
'pao'huo'jia'zhuan'yi 炮火假转移
'pao'huo'tu'ji 炮火突击
'pao'huo'xi'ji 炮火袭击
'pao'huo'yan'hu 炮火掩护
'pao'huo'yan'shen 炮火延伸
'pao'huo'zhi'yuan 炮火支援
'pao'huo'zhuan'yi 炮火转移
'pao'huo'zhui'ji 炮火追击
'pao'huo'zhun'bei 炮火准备
'pao'ji'an'shang'mu'biao 炮击岸上目标
'pao'jia'bu 炮架部
'pao'jin'tao'ming 抛金逃命
'pao'miao 炮瞄
'pao'miao'lei'da 炮瞄雷达
'pao'niu 炮钮
'pao'pan 炮盘
'pao'she'dao'dan 炮射导弹
'pao'she'yao'bao 抛射药包
'pao'shen 炮身
'pao'shen'bu 炮身部
'pao'shou 炮手
'pao'shuan 炮闩
'pao'ta 炮塔
'pao'ta'pao 炮塔炮
'pao'ta'shang'zhuang'you 炮塔上装有
'pao'ta'zuo'quan 炮塔座圈
'pao'ting 炮艇
'pao'wei 炮位
'pao'wei 炮尾
'pao'wei'lei'da 炮位雷达
'pao'xiao 炮校
'pao'xiao'ji 炮校机
'pao'zhan 炮战
'pao'zhen'di 炮阵地
'pei'bei'sui'fa'qiang 配备燧发枪
'pei'di'nan 裴迪南
'pei'he'shi'yong 配合使用
'pei'qi 配齐
'pei'shu 配属
'pei'shu'pao'bing 配属炮兵
'pei'shui 配水
'pei'shui'ji'hua 配水计划
'pei'xi 配系
'pei'zhi 配置
'pei'zhi'bao'lu'zheng'hou 配置暴露征候
'pei'zhi'di'yu 配置地域
'pei'zhi'zai 配置在
'pei'zhuang'you 配装有
'pen'huo 喷火
'pen'huo'fen'dui 喷火分队
'pen'huo'ju'li 喷火距离
'pen'huo'qi 喷火器
'pen'huo'shi'jian 喷火时间
'pen'huo'shou 喷火手
'pen'huo'tan'ke 喷火坦克
'pen'huo'you'liao 喷火油料
'pen'huo'you'liao'bao'zhang 喷火油料保障
'pen'mao 喷锚
'pen'mao'zhi'hu 喷锚支护
'pen'qi'fa'dong'ji 喷气发动机
'pen'qi'shi 喷气式
'pen'qi'shi'fei'ji 喷气式飞机
'pen'sa 喷洒
'pen'sa'che 喷洒车
'pen'she 喷射
'pen'she'wu'zhi 喷射物质
'pen'shui'tui'jin 喷水推进
'pen'ti'xing'du'ji 喷嚏性毒剂
'pen'tong 喷筒
'pen'wu'zhuang'zhi 喷雾装置
'pi'ci 批次
'pi'fu 批复
'pi'fu'fang'hu'qi'cai 皮肤防护器材
'pi'fu'shen'tou 皮肤渗透
'pi'gui 皮轨
'pi'ka'ting'ni'dao'gui 皮卡汀尼导轨
'pian'cha'fa 偏差法
'pian'cha'fa'shi'she 偏差法试射
'pian'li'hang'xian 偏离航线
'pian'li'mu'biao 偏离目标
'pian'liu 偏流
'pian'liu'ju'li 偏流距离
'pian'liu'xian 偏流线
'piao'fu'shui'lei 漂浮水雷
'piao'lei 漂雷
'piao'liu'wu 漂流物
'piao'qi'fu 骠骑府
'piao'qi'jiang'jun 骠骑将军
'pin'dai 频带
'pin'dai'kuan'du 频带宽度
'pin'lv 频率
'pin'lv'gu'ding 频率固定
'pin'lv'hua'fen 频率划分
'pin'lv'wen'ding'du 频率稳定度
'pin'lv'zhi'pei 频率指配
'pin'pu 频谱
'pin'pu'yi 频谱仪
'pin'qing'bao'an'ren'yuan 聘请保安人员
'pin'qing'fan'yi 聘请翻译
'pin'you 贫铀
'pin'you'chuan'jia'dan 贫铀穿甲弹
'pin'zhi'te'zheng 品质特征
'ping'ban'che 平板车
'ping'bao 平报
'ping'bi'wu 屏蔽物
'ping'bi'zhuang'jia 屏蔽装甲
'ping'fei'zui'da'su'du 平飞最大速度
'ping'fei'zui'xiao'su'du 平飞最小速度
'ping'gong 评功
'ping'heng'ji 平衡机
'ping'jiao'ping'xue 评教评学
'ping'jin'zhan'yi 平津战役
'ping'jun'dan'dao 平均弹道
'ping'jun'dan'wei'ya'li 平均单位压力
'ping'jun'dan'zhuo'dian 平均弹着点
'ping'jun'hai'ping'mian 平均海平面
'ping'jun'jiang'shui'liang 平均降水量
'ping'jun'yun'dong'su'du 平均运动速度
'ping'liu'ceng 平流层
'ping'liu'qi'qiu 平流气球
'ping'liu'quan 平流圈
'ping'mian'shi'da'mo 平面式打磨
'ping'mian'zhi'jiao'zuo'biao 平面直角坐标
'ping'mu'shi'fan'dao 屏幕式反导
'ping'qu'jie'he 平曲结合
'ping'she 平射
'ping'shi'bian'zhi 平时编制
'ping'shi'ti'zhi 平时体制
'ping'tai'jia'ban 平台甲板
'ping'xing'guan 平型关
'ping'xing'guan'zhan'dou 平型关战斗
'ping'xing'hua'xing'dao 平行滑行道
'ping'xing'shu'song 平行输送
'ping'xing'zhui'ji 平行追击
'ping'zhan'jie'he 平战结合
'po'bi'zhi'po 破彼之破
'po'du 坡度
'po'guo'ci'zhi 破国次之
'po'huai'cheng'du 破坏程度
'po'huai'dan 破坏弹
'po'huai'deng'ji 破坏等级
'po'huai'she'ji 破坏射击
'po'huai'xing 破坏性
'po'huai'yao 破坏药
'po'huai'zuo'ye 破坏作业
'po'jia 破甲
'po'jia'dan 破甲弹
'po'jia'he'sui'jia 破甲和碎甲
'po'jia'hou'du 破甲厚度
'po'jia'wei'li 破甲威力
'po'jiang 迫降
'po'jiang'chang 迫降场
'po'jun'ba'ma 破军罢马
'po'jun'ci'zhi 破军次之
'po'men'dui 破门队
'po'pian 破片
'po'pian'di'lei 破片地雷
'po'shui'bu'neng'ru 泼水不能入
'po'wu'ci'zhi 破伍次之
'po'xi 破袭
'po'xi'zhan 破袭战
'po'yi 破译
'po'yi'mi'ma 破译密码
'po'yi'ren'yuan 破译人员
'po'yi'shou'duan 破译手段
'po'yi'xue 破译学
'po'zu'ci'zhi 破卒次之
'pu'ao'zhan'zheng 普奥战争
'pu'fa'zhan'zheng 普法战争
'pu'fu'qian'jin 匍匐前进
'pu'he'hao'sao'lei'jian 浦贺号扫雷舰
'pu'tong'dan 普通弹
'pu'tong'di'tu 普通地图
'pu'tong'dian'hua 普通电话
'pu'tong'hai'tu 普通海图
'pu'tong'hang'kong'tu 普通航空图
'pu'tong'jing'shui'che 普通净水车
'pu'tong'miao'ju 普通瞄具
'pu'tong'min'bing 普通民兵
'pu'tong'zha'dan 普通炸弹
'qi'bao 起爆
'qi'bao'dian'liu 起爆电流
'qi'bao'fa 起爆法
'qi'bao'gang 七宝岗
'qi'bao'neng'li 起爆能力
'qi'bao'qi 起爆器
'qi'bao'shi'jian 起爆时间
'qi'bao'wang'lu 起爆网路
'qi'bao'yao 起爆药
'qi'bao'zhuang'zhi 起爆装置
'qi'bing 骑兵
'qi'bing'bu'dui 骑兵部队
'qi'bing'lian 骑兵连
'qi'bing'pang'pai 骑兵旁牌
'qi'bing'shi 骑兵师
'qi'bing'tuan 骑兵团
'qi'bing'xue'xiao 骑兵学校
'qi'bing'ying 骑兵营
'qi'bing'zhan'shu 骑兵战术
'qi'bing'zhi'dui 骑兵支队
'qi'bing'zong'dui 骑兵纵队
'qi'bu'zou 齐步走
'qi'cai'bao'zhang'suo 器材保障所
'qi'cai'cang'ku 器材仓库
'qi'cai'fan'shui 器材泛水
'qi'cai'ji'jie'chang 器材集结场
'qi'cai'ji'shu 器材基数
'qi'che'bing 汽车兵
'qi'che'ji'shu'bao'zhang 汽车技术保障
'qi'che'jun'shi'yun'shu 汽车军事运输
'qi'che'qin'wu 汽车勤务
'qi'che'yun'shu'da'dui 汽车运输大队
'qi'ci'fa'bing 其次伐兵
