'ai'ai'duan'hang'yan 哀哀断行雁
'jiu'yue'san'ri'fan'zhou'hu'zhong'zuo 九月三日泛舟湖中作
'jiu'yue'yi'ri'ye'du'shi'gao'you'gan'zou'bi'zuo'ge 九月一日夜读诗稿有感走笔作歌
'ju'an'yu'ru'que'zi'zhen 据案愚儒却自珍
'ju'ao'tang'ke'qiu 巨鳌倘可求
'ju'cu'chang'bei'lei'chu'qiu 局促常悲类楚囚
'ju'hua'tian'qi'jin'xin'shuang 菊花天气近新霜
'ju'mu'shan'chuan'shang'ru'gu 举目山川尚如故
'ju'neng'fan'jin'tang 讵能犯金汤
'ju'ren'bei'ti'jiang'ru'she 居人悲啼江入舍
'juan'ba'huang'ting'wo'kan'shan 卷罢黄庭卧看山
'juan'di'xi'feng'man'yan'chou 卷地西风满眼愁
'juan'jin'can'shu'chuang'yi'wan 卷尽残书窗已晚
'jue'jiang'yi'zhi'gai'shu'zhou 决江一支溉数州
'jue'yan'zhong'kan'ci'lu'ping 抉眼终看此虏平
'jue'zhi'ci'shi'yao'gong'xing 绝知此事要躬行
'jun'bu'jian'ye'lao'ba'shi'wu'wan'yi 君不见野老八十无完衣
'jun'dang'shu'zui'ren 君当恕醉人
'jun'en'ru'tian'qi'zhong'ji 君恩如天岂终极
'jun'gui'wei'bao'jing'hua'jiu 君归为报京华旧
'jun'ji'qu 君记取
'jun'kan'chi'bi'zhong'chen'ji 君看赤壁终陈迹
'jun'kan'xia'mu'fu'shu'ju 君看夏木扶疏句
'jun'ma'zhui'feng'xi'ju'chang 骏马追风戏鞠场
'jun'men'wan'li'wu'you'tong 君门万里无由通
'jun'qu'liu'shi'you'ji'shi 君去六十有几时
'jun'ru'gao'guang'na'ke'fu 君如高光那可负
'jun'tian'jiu'zou'xiao'shao'le 钧天九奏箫韶乐
'jun'ting'gu'e'sheng 君听姑恶声
'jun'wang'ri'yu'jin'hua'dian 君王日御金华殿
'jun'wang'sui'shang'yu'hua'yu 君王虽赏于蒍于
'jun'wang'xi'yu'shi 君王昔玉食
'jun'zhong'ba'zhan'zhuang'shi'xian 军中罢战壮士闲
'jun'zhong'fang'ba'zhan 军中方罢战
'kai'fu'xiao'guan'xi 开府萧关西
'kai'ran'si'xia'zheng 慨然思遐征
'kan'chong'yang'yao'shi 看重阳药市
'kan'hua'jian'wai'shi'nian'kuang 看花剑外十年狂
'kan'hua'nan'mo'fu'dong'qian 看花南陌复东阡
'kan'jin'jiang'hu'qian'wan'feng 看尽江湖千万峰
'kan'jing'tan'xun'ye 看镜叹勋业
'kan'long'she'fei'luo'man'jian 看龙蛇飞落蛮笺
'kan'qu'pi'di'yuan'wu'xue 看渠皮底元无血
'kan'qu'xiong'ci'ai'yu'zhou 看渠胸次隘宇宙
'kan'ru'jie'che'shi 看入借车诗
'kan'yun'yi'zu'hao 看云亦足豪
'kang'kai'bei'ge'bai'fa'xin 慷慨悲歌白发新
'kang'kai'xin'you'zhuang 慷慨心犹壮
'ke'bi'yun'shu'jia 课婢耘蔬甲
'ke'gong'bu'xiu'shi 可共不朽事
'ke'lai'bu'pa'xiao'shu'chi 客来不怕笑书痴
'ke'lian'ji'mo'qi'peng'wo 可怜寂寞弃蓬莴
'ke'lu'feng'chen'hua'su'yi 客路风尘化素衣
'ke'shi'jiang'huai'jian 可使江淮间
'ke'shou'sheng'si'tuo 可受生死托
'ke'tu'gu'fen'zhi'jun'zhi 客途孤愤只君知
'ke'yi'bu'wu'ju 可以卜吾居
'ke'yi'wei'wu'you 可以为吾友
'ke'yu'gong'zhuang'tu 可与共壮图
'ke'zhen'yi'ran'ban'ye'zhong 客枕依然半夜钟
'ke'zhu'gu'shu'shi 客主固殊势
'ke'zi'yu'gui'chun'shui'sheng 客子欲归春水生
'ke'zuo'yi'qiu'hao 可作一丘貉
'kong'cun'bi'shui'wu'ji'quan 空村避水无鸡犬
'kong'cun'xiang'huan'kan'sao'si 空村相唤看缫丝
'kong'hui'ying'gai'ru'bi'mo 空回英概入笔墨
'kong'li'wan'hu'qing'zhu'ji 空里万斛倾珠玑
'kong'ming'jing'lue'jian 孔明景略间
'kong'ren'bang'dao'shi'shen'xian 恐人谤道是神僊
'kong'ru'zhu'gong'song'shi'ju 空辱诸公诵诗句
'kong'sang'tian'zhen 空丧天真
'kong'tang'wu'ren'ye'xiang'zhong 空堂无人夜向中
'kong'zai'chang'an'yi'cheng'li 空在长安一城里
'ku'lei'di'jiu'shang 苦泪滴酒觞
'ku'liu'po'tou'feng'yu'ji 枯柳坡头风雨急
'ku'liu'wu'ming'tiao 枯柳无鸣蜩
'kuai'ruo'shuang'sao'ye 快若霜扫叶
'kuang'ban'shi'piao'ran'ji'lv 况半世飘然羁旅
'kuang'sha'zi'wei'yuan'fei'kuang 狂杀自谓元非狂
'kuang'song'gong'gui'jin'ming'zhu 况送公归觐明主
'kuang'yu'ren'tian'zhen 狂语任天真
'la'feng'ye'ban'chuan'xi 蜡封夜半传檄
'lai'du'hui'an'xin'zhu'shu 来读晦庵新著书
'lai'shi'ying'guo'sang'qian'qi 来时应过桑乾碛
'lai'ting'dong'lin'si'li'zhong 来听东林寺里钟
'lai'wang'wu'chen'mu 来往无晨暮
'lai'you'mo'cheng'chi 赖有墨成池
'lai'you'shen'nong'zhi'xue'cun'zhi'jin 赖有神农之学存至今
'lai'zi'guan'sai'bei 来自关塞北
'lan'gan'si'mian'kong 阑干四面空
'lan'man'de'zi'zi 烂熳得自恣
'lan'pei'fu'kai'tan 揽辔复慨叹
'lan'sui'nian'shao'ai'hua'kuang 懒随年少爱花狂
'lan'zui'gui'shi'ye'yi'fen 烂醉归时夜已分
'lang'cu'ban'kong'hua 浪蹴半空花
'lang'ji'hong'chen'le'wei'yang 浪迹红尘乐未央
'lao'bing'shi'hui'tan 老病始悔叹
'lao'bu'neng'xian'zhen'zi'ku 老不能闲真自苦
'lao'fu'he'shi'zheng'xi'jiang 老夫合是征西将
'lao'fu'o'shi'sheng'ze'ze 老夫哦诗声啧啧
'lao'fu'shi'hao'yi 老夫实好义
'lao'fu'song'shu'sheng'lang'lang 老夫诵书声琅琅
'lao'fu'yao'zuo'zhai'yu'bei 老夫要作斋盂备
'lao'fu'zhuang'qi'heng'jiu'zhou 老夫壮气横九州
'lao'qu'pan'qu'xiao'shi'zhong 劳渠蟠屈小诗中
'lao'que'ying'xiong'si'deng'xian 老却英雄似等闲
'lao'seng'neng'ji'xi'xiang'feng 老僧能记昔相逢
'lao'si'bu'jian'chuan'bian'feng 老死不见传边烽
'lao'si'nan'yang'wei'bi'fei 老死南阳未必非
'lao'weng'bai'shou'ru'xiao'er 老翁白首如小儿
'lao'weng'chui'qi'shi 老翁垂七十
'lao'weng'ye'xue'chi'er'nv 老翁也学痴儿女
'lao'wu'jiang'jun'du'hu'shu 老吴将军独护蜀
'lao'yu'jiu'bu'shu 老与酒不疏
'lao'zi'you'kan'jue'da'mo 老子犹堪绝大漠
'le'ming'yan'ran'shi 勒铭燕然石
'lei'hen'hong'yi'jiao'xiao'tou 泪痕红浥鲛绡透
'lei'kong'liu 泪空流
'lei'qu'nan'shan'qi 累麴南山齐
'lei'ru'xi'xi'tian'bu'zhi 泪如洗兮天不知
'li'bo'qing'geng'hou 礼薄情更厚
'li'chan'qi'nei'xin'zi'zhi 力孱气馁心自知
'li'dui'fu'long'ci'guan'sun'tai'gu'hua'ying'hui'wang'xiang 离堆伏龙祠观孙太古画英惠王像
'li'duo'guan'cang'shu'que'hao 吏惰官仓鼠雀豪
'li'geng'mai'fan'leng'bu'chang 藜羹麦饭冷不尝
'li'gong'lao'wu'qi 立功老无期
'li'guang'he'fang'lao'bu'hou 李广何妨老不侯
'li'guo'chu'zhi'bing 李郭出治兵
'li'jin'ni'feng'qian 力尽逆风牵
'li'li'dou'zi'jia 离离豆子荚
'li'ma'chui'tou'nie'jian'cao 枥马垂头啮菅草
'li'ming'hua'duan'mo'gua'kou 利名画断莫挂口
'li'sao'wei'jin'ling'jun'hen 离骚未尽灵均恨
'li'shi'duo'ming'chen 历世多名臣
'li'wo'chun'hui'jing'shi'shui 力斡春回竟是谁
'li'yu'qu'ren'wan'huo'niu 利欲驱人万火牛
'li'zao'nong'zhu'sun 梨枣弄诸孙
'li'zhan'si'she'ji 力战死社稷
'lian'nian'kuang'ku'han 连年况枯旱
'lian'zhuo'wu'xing'yan 连酌无骍颜
'lian'zuo'pin'nian'dao'feng'yue 连坐频年到风月
'liang'bin'lao'xian'cui 两鬓老先催
'liang'hang'yan'dai'du'ling'qiu 两行雁带杜陵秋
'liang'he'bai'jun'song'shan'chuan 两河百郡宋山川
'liang'shan'dui'cui'wei 两山对崔嵬
'liang'shi'kong'zuo'ta'nian'hen 良时恐作他年恨
'liang'yan'pian'pian'jie'chi'gui 梁燕翩翩接翅归
'liang'zhou'nv'er'man'gao'lou 凉州女儿满高楼
'liang'zhou'qiu'chang'ri'da'qiu 梁州球场日打球
'liao'hua'hong 蓼花红
'liao'liao'qi'fa'ren 寥寥岂乏人
'liao'shou'xi'lai'ji 潦收溪濑急
'liao'wei'pi'min'qi'qiao'cui 聊为疲民起憔悴
'liao'yu'zui'zhong'yi'wan'shi 聊欲醉中遗万事
'liao'zu'du'han'shu 聊足度寒暑
'liao'zu'wei'tu'qiong 聊足慰涂穷
'lie'ba'ye'yin'shi'du'gu'sheng'san'shou'xuan'yi'shou 猎罢夜饮示独孤生三首选一首
'lie'lie'qing'lian'she'jiu'xiang 猎猎青帘社酒香
'lin'an'chun'yu'chu'ji 临安春雨初霁
'lin'cheng'qi'mi'tie 临成乞米帖
'lin'li'huo'xiong'yi 淋漓豁胸臆
'lin'li'tong'yin'chang'ting'mu 淋漓痛饮长亭暮
'lin'li'zui'mo 淋漓醉墨
'lin'qu'mo'ci'tong'yi'zui 邻曲莫辞同一醉
'lin'qu'you'wei'fan'bei'zhui'ru'guo'zhe'min'ran'you'zuo 邻曲有未饭被追入郭者悯然有作
'lin'tang'yang'zhan'jiu'tan'zha 临堂仰占久叹吒
'lin'ying'chao'yan'zong'wu'sheng 林莺巢燕总无声
'ling'luo'bai'yu'jian 零落白羽箭
'ling'luo'cai'bai'pian 零落财百篇
'ling'luo'cheng'ni'nian'zuo'chen 零落成泥碾作尘
'ling'luo'zeng'bei'xin 零落增悲辛
'liu'an'hua'ming'you'yi'cun 柳暗花明又一村
'liu'bian'jin'ri'ti'chun'feng 柳边尽日啼春风
'liu'kun'si'hou'wu'qi'shi 刘琨死後无奇士
'liu'li'bin'cheng'si 流离鬓成丝
'liu'nian'bu'dai'ren 流年不贷人
'liu'nian'gai 流年改
'liu'su'fen'fen'qi'zhi'ci 流俗纷纷岂知此
'liu'ti'si'yi'yu 流涕思一遇
'liu'ying'you'qing'yi'nian'wo 流莺有情亦念我
'liu'yue'shi'si'ri'su'dong'lin'si 六月十四日宿东林寺
'long'xing'si'diao'shao'ling'xian'sheng'yu'ju 龙兴寺吊少陵先生寓居
'lou'bi'wei'mang'zi'ban'cun 漏壁微茫字半存
'lou'chuan'ye'xue'gua'zhou'du 楼船夜雪瓜洲渡
'lou'gao'sheng'jue'ke'hun'mi 楼高剩觉客魂迷
'lou'guan'zheng'ji'ye 楼观争岌嶪
'lou'lu'ya'pen'kou 楼橹压湓口
'lou'qian'fu'shui'pai'di'liu 楼前敷水拍堤流
'lou'shang'zui'ge 楼上醉歌
'lou'shang'zui'shu 楼上醉书
'lu'cao'yan'wu'yu'qi'ping 露草烟芜与砌平
'lu'jin'cheng'nan'yi'pa'xing 路近城南已怕行
'lu'ru'dong'guan'wu'xiang'qi 路入东关物象奇
'lu'shen'zhou'zhu'leng 芦深洲渚冷
'lu'tai'bai'jin'zhi'bu'wei 露台百金止不为
'lu'zhan'jing'ji'mei'tong'tuo 露沾荆棘没铜驼
'luan'xu'fei'hua'song'ke'zhou 乱絮飞花送客舟
'lue'di'e'cheng'jian'zu'fei 掠地俄成箭镞飞
'lun'jiao'wei'shi'yi'zhi'qiong 论交惟是一枝筇
'lun'qun'zhang'di'jian'hong'yun 轮囷帐底见红云
'luo'cheng'shuang'chong'ting'gong'lou 洛城霜重听宫漏
'luo'mei'er'shou 落梅二首
'luo'po'ren'jian'bang'xing'lu 落魄人间傍行路
'luo'ri'dan'bei'ze 落日澹陂泽
'luo'shui'qin'guan'qian'gu'hou 洛水秦关千古后
'luo'yang'ba'ling'na'ren'shuo 雒阳八陵那忍说
'lv'fa'cheng'si'mei'zi'ai 绿发成丝每自哀
'lv'fei'lv'ji'kuai 缕飞绿鲫脍
'lv'jiu'ang'ang'ying'fang'zun 绿酒盎盎盈芳樽
'lv'sang'yu'yu'an'wei'jing 绿桑郁郁暗微径
'lv'shu'dan'guo'jian'piao'zun 绿蔬丹果荐瓢尊
'lv'si'qiu'guang 旅思秋光
'lv'yang'fen'shi'feng'ri'mei 绿秧分时风日美
'lv'zhan'si'qiao'chun'shui'sheng 绿蘸寺桥春水生
'lv'zhang'ye'zou'tong'ming'dian 绿章夜奏通明殿
'ma'qian'wa'yi'zheng'qi'xiang 马前嗢咿争乞降
'ma'qian'ye'lai'xue'dan'yi 马前曳来血丹臆
'ma'ti'chu'xi'ta'liang'zhou 马蹄初喜蹋梁州
'ma'zhou'yu'he'fei'gong'shui 马周遇合非公谁
'mai'duan'qing'xian'bu'yong'qian 买断清闲不用钱
'mai'hua'xi'she'xi'cheng'hun 买花西舍喜成婚
'mai'jiu'juan'lian'yao'yue'zui 买酒卷帘邀月醉
'mai'jiu'peng'ji'tun 买酒烹鸡豚
'mai'long'qing'qing'sang'yu'yu 麦陇青青桑郁郁
'mai'qu'chun'gui'yi'zu'hao 买取春归亦足豪
'mai'yu'xun'jin'shi 买鱼寻近市
'mai'zui'cun'chang'ban'ye'gui 买醉村场半夜归
'man'bo'can'ji'dai'ye'gui 满箔蚕饥待叶归
'man'cheng'chun'se'gong'qiang'liu 满城春色宫墙柳
'man'cheng'tao'li'zheng'chun'se 满城桃李争春色
'man'di'zong'heng'tou'jian'ji 满地纵横投剑戟
'man'fu'shi'shu'bu'zhi'qian 满腹诗书不直钱
'man'jie'ge'chui'yue'ru'shuang 满街歌吹月如霜
'man'lu'yang'hua'gun'xue'qiu 满路杨花辊雪球
'man'man'qiao'mai'hua 漫漫荞麦花
'man'zou'cong'ci'qi'sui'feng 漫走丛祠乞岁丰
'mang'mang'jiu'yuan'shui'ke'zuo 茫茫九原谁可作
'mang'mang'meng'jing 茫茫梦境
'mao'she'ye'shen'ying'huo'man 茆舍夜深萤火满
'mao'tou'xia'sao'zai'dan'mu 旄头下扫在旦暮
'mao'yan'ren'jing 茅檐人静
'mao'yu'deng'ni'xian'tai'guan'jiang'zhang 冒雨登拟岘台观江涨
'mei'hua'jue'ju 梅花绝句
'mei'qing'yong'zi'mi'feng'hou 每轻庸子觅封侯
'mei'ren'qian'jin'zhi'bao'qun 美人千金织宝裙
'mei'you'xue'lei'hen 袂有血泪痕
'mei'yu'gao'han'zhao'jiang'shui 眉宇高寒照江水
'men'shi'lun'da'ji 扪虱论大计
'men'ting'bu'sao'xi'ying'ke 门庭不扫稀迎客
'men'wai'chang'ji'sen'xiang'xiang 门外长戟森相向
'meng'duan'xiang'xiao'si'shi'nian 梦断香消四十年
'meng'hun'you'rao'gu'liang'zhou 梦魂犹绕古梁州
'meng'shi'yao'jian'hu'wen'chang 猛士腰间虎文韔
'meng'zhong'duo'de'song'ting'guan 梦中夺得松亭关
'meng'zhong'xu'huan'jue'fang'zhi 梦中虚幻觉方知
'meng'zhong'zuo 梦中作
'mi'huo'jiu'lin'chuan 觅火就邻船
'mian'cang'ran 面苍然
'mian'qing'qi'duo'kong'xiang'gu 面青气夺空相顾
'mian'ru'zi'shi'leng 面如紫石棱
'mian'yang'dao'zhong'cao'li'li 沔阳道中草离离
'mie'hu'xin'wei'xiu 灭胡心未休
'mie'ji'cong'jin'shi 灭迹从今逝
'mie'zei'wu'qi'lei'heng'yi 灭贼无期泪横臆
'min'jian'dou'mi'liang'san'qian 民间斗米两三钱
'min'mo'gong'suo'zhi 民瘼公所知
'min'qiong'su'cang'tian 民穷诉苍天
'min'shan'dao'jiang'shu'yu'gong 岷山导江书禹贡
'min'wang'shen'ji'ke 民望甚饥渴
'ming'chao'yan'yu'tong'jiang'an 明朝烟雨桐江岸
'ming'chuang'shu'bian'zai 明窗数编在
'ming'du'zhuang'yi'shu'qian'li 名都壮邑数千里
'ming'nian'qi'fei'jiang 明年起飞将
'ming'nian'wan'shi'jin'de'zhi 明年万事今得知
'ming'ri'yin'xi'liu'yu'shan 明日茵席留余潸
'ming'ri'zhong'xun'geng'wu'ji 明日重寻更无迹
'ming'xing'wu'huang'zhi 名幸污黄纸
'ming'zhu'fang'bei'gu 明主方北顾
'mo'chi'bu'de'shen 没齿不得伸
'mo'guai'you'cheng'heng'di'qu 莫怪又成横笛去
'mo'hen'you'suo'bi'jian'chen 墨痕犹锁壁间尘
'mo'shang'gong'dao'yong'yu'gong 陌上弓刀拥寓公
'mo'shang'xiao'sheng'han'shi'jin 陌上箫声寒食近
'mo'xian'chao'hui'dai'wan'ding 莫羡朝回带万钉
'mo'xiao'nong'jia'la'jiu'hun 莫笑农家腊酒浑
'mo'yi'xin'chang'ru'tie'shi 莫倚心肠如铁石
'mo'zuo'tao'gong'yun'pi'kan 莫作陶公运甓看
'mu'feng'hou'ding'yuan 慕封侯定远
'mu'lan'hua'li'chun'ri'zuo 木兰花立春日作
'mu'li'sui'qiong'xing'wei'qiong 目力虽穷兴未穷
'mu'luo'si'lou'gao 木落寺楼高
'mu'nian'xun'ye 暮年勋业
'mu'xu'feng'qian'jin'ting'zhang 苜蓿峰前尽亭障
'mu'xu'lian'yun'ma'ti'jian 苜蓿连云马蹄健
'mu'yan'qian'zhang 暮烟千嶂
'na'shi'yu'qing'lu'zhong'lian 那识虞卿鲁仲连
'nan'chi 南池
'nan'lai'qing'meng'rao'gu'leng 南来清梦遶觚棱
'nan'ren'shu'wei'bu'zhi'bing 南人孰谓不知兵
'nan'ru'ren'yi 难如人意
'nan'shan'xiao'xue'yu'lin'xun 南山晓雪玉嶙峋
'nan'wang'wang'shi'you'yi'nian 南望王师又一年
'nan'wang'yu'cang'cang 南望郁苍苍
'nan'xiang'zi'gui'meng'ji'wu'qiang 南乡子归梦寄吴樯
'nan'yan'chun'cai'si'yang'lao 南言蓴菜似羊酪
'nan'you'shu'dao'yi'di'cui 南游蜀道已低摧
'nan'zi'zhi'sheng'sang'hu'peng'shi'she'si'fang 男子之生桑弧蓬矢射四方
'nang'zhong'miao'fa'jun'zhi'fou 囊中妙法君知否
'nen'tang'cha'ru'bai 嫩汤茶乳白
'ni'hu'qi'tian'fu'zhong'guo 逆胡欺天负中国
'ni'hu'wei'mie'xin'wei'ping 逆胡未灭心未平
'ni'liao'zheng'zi'shu 逆料政自疏
'ni'lu'yun'jin'hang'dang'ping 逆虏运尽行当平
'ni'rong'wu'kuai'shui'chu'hun 泥融无块水初浑
'ni'xing'mei'niu'kua 泥行没牛骻
'ni'zhong'wu'jing'yi'shi'chi 拟种芜菁已是迟
'nian'de'yi'shu'hai'lan'kan 拈得一书还嬾看
'nian'gong'wei'min'qi 念公为民起
'nian'guang'yi'fu'meng'teng'zui 年光已付瞢腾醉
'nian'lai'zhui'yu'di'ju'wu 年来锥与地俱无
'nian'lei'lei'ku'zhong 念累累枯冢
'nian'nian'shang'chun'bao'pi'pa 年年伤春抱琵琶
'nian'nian'zi'fen'zhe'hua'chi 年年自分着花迟
'nian'qi'wu'zong'an'le'fa 拈起吾宗安乐法
'nian'ru'an'de'shi 念汝安得食
'niang'jiu'dong'hai'qian 酿酒东海乾
'niao'niao'ling'ge'duan 袅袅菱歌断
'ning'du'zuo'fang'guan 宁独坐房琯
'ning'zhi'he'yue'jian 宁知河岳间
'ning'zuo'ku'yu'guo'he'qi 宁作枯鱼过河泣
'niu'bei'lan'lan'dian'mu'guang 牛背烂烂电目光
'nong'jia'nong'jia'le'fu'le 农家农家乐复乐
'nong'shuang'bo'xian'bu'ke'de 浓霜薄霰不可得
'nu'li'dai'chuan'xi 努力待传檄
'nu'li'gong'dao'cheng'nan'she 努力共祷城南社
'nu'li'guang'zhu'bo 努力光竹帛
'nv'sheng'cang'shen'gui 女生藏深闺
'nv'zhen'jiang'lu'dan'kong'hou 女真降虏弹箜篌
'pai'zhang'xing'gong'xuan'da'she 排仗行宫宣大赦
'pang'zhao'chu'feng'lin 旁招出凤麟
'pei'dao'yi'ci'shan'wei'kai 佩刀一刺山为开
'pen'bo'qin'xu'ge 喷薄侵虚阁
'peng'chuang'deng'an 蓬窗灯暗
'peng'chuang'lao'bao'heng'xing'lue 蓬窗老抱横行略
'peng'hu'jiu'yin'yi'wei'mang 蓬壶旧隐已微茫
'peng'ruo'ming'chun'yu 篷蒻鸣春雨
'pi'ma'shu'liang'zhou 匹马戍梁州
'pi'pa'xian'ji'bing'bao'luan 琵琶弦急冰雹乱
'pi'qiu'dui'jiu'nan'wei'ke 披裘对酒难为客
'pi'yun'ji'dian'cong'tian'lai 披云激电从天来
'pian'cheng'neng'shi'gui'shen'chou 篇成能使鬼神愁
'pian'pian'shui'niao'lai 翩翩水鸟来
'pian'shi'fu'ke'han 偏师缚可汗
'pian'zhou'ke'de'hui 扁舟可得回
'pian'zhou'you'xiang'jing'zhong'xing 扁舟又向镜中行
'piao'duo'chang'zi'ru 剽夺常自如
'piao'kong'ye'jing'shang'gao'lou 瓢空夜静上高楼
'pin'jia'shu'shui'huan 贫家菽水欢
'pin'min'qi'zi'ban'shu'shi 贫民妻子半菽食
'pin'ye'lv 蘋叶绿
'ping'an'huo'zai'jiao'he'shang 平安火在交河上
'ping'an'yu'mu'yi'chang'ran 凭鞍寓目一怅然
'ping'chuan'wo'ye'wang'bu'jin 平川沃野望不尽
'ping'feng'yu'jian'zuo'chi'ming 凭风羽箭作鸱鸣
'ping'gao'lei'jiu 凭高酹酒
'ping'gao'wang'duan'nan'lou'xin 凭高望断南楼信
'ping'gao'yi'chuang'shen 凭高一怆神
'ping'gao'yi'sao'shou 凭高一搔首
'ping'qiang'jiang'shang'yue 平羌江上月
'ping'sheng'bu'fu'yue'ming'chu 平生不负月明处
'ping'sheng'bu'zuo'su'ren'yuan 平生不作俗人缘
'ping'sheng'hao'ju'shao'nian'chang 平生豪举少年场
'ping'sheng'qian'qi'shou 平生搴旗手
'ping'sheng'shi'jiu'bu'wei'wei 平生嗜酒不为味
'ping'sheng'shi'yi'zu 平生实易足
'ping'sheng'wan'li'xin 平生万里心
'ping'shui'hua'wo'he'ju'gui 凭谁画我荷鉏归
'ping'yuan'shan'ru'yun'jie'ren 平远山如酝藉人
'ping'zhang'chun'jiu'qiu'song'wei 平章春韭秋菘味
'ping'zhang'feng'yue 平章风月
'po'hen'fei'su'zhi 颇恨非素志
'po'jin'qing'shan'chen'man'mao 破尽青衫尘满帽
'po'jue'er'mu'qie 颇觉耳目惬
'po'long'ru'tao'dong'bei'qing 坡陇如涛东北倾
'po'qie'xiao'ran'xiao'liao'nu 破箧萧然笑獠奴
'po'sha'dong'hu'shang 婆裟东湖上
'po'ti'deng'qian'yi'can'ran 破涕灯前一粲然
'po'tuo'xian'yang'cheng 坡陁咸阳城
'po'wei'jing'er'tong 颇畏惊儿童
'po'wen'xiong'nu'luan 颇闻匈奴乱
'po'yi'gu'xiang'shi 颇忆故乡时
'po'yi'meng'hui'deng'yu'si 破驿梦回灯欲死
'pou'xin'mo'xie'gu'chen'fen 剖心莫写孤臣愤
'pu'de'liu'ying'lu'shi'yi 扑得流萤露湿衣
'qi'ao'kong'lan'ke 棋鏖恐烂柯
'qi'bing'si'mian'chu 奇兵四面出
'qi'de'qing'yang'chen'yu'yi 乞得青秧趁雨移
'qi'du'yi'jing'lai'fa'hui 岂独遗经赖发挥
'qi'fan'qian'shi'yi'xin'ran 乞墦钳市亦欣然
'qi'feng'ying'ma'hai'shuai'weng 奇峰迎马骇衰翁
'qi'gong'zuo'yi'he 期公作医和
'qi'gu'du'shu 七古读书
'qi'guan'sui'wei'jue 弃官虽未决
'qi'gui'cui'shan'tai'yin'hei 奇鬼摧山太阴黑
'qi'jie'chun'yin'hu'hai'tang 乞借春阴护海棠
'qi'ke'tun'xiong'nu 气可吞匈奴
'qi'liang 凄凉
'qi'liang'ni'xian'tai 凄凉拟岘台
'qi'mao'chui'bian 欹帽垂鞭
'qi'min'ben'zi'le'heng'men 齐民本自乐衡门
'qi'nian'bu'dao'feng'qiao'si 七年不到枫桥寺
'qi'qing'dou'jiu'ge'chu'sai 起倾斗酒歌出塞
'qi'rang'lue'cheng'zhu 欹壤略撑拄
'qi'sang'bu'gan'dang'wang'shi 气丧不敢当王师
'qi'shi'si'tong'er 其实似童儿
'qi'shuo'ta'sheng'shen 岂说他生身
'qi'su'yue'ci'shi 气俗乐此时
'qi'wei'hao'liang'chuan 岂惟豪两川
'qi'wei'ji'suo'lin'seng'mi 岂惟饥索邻僧米
'qi'wei'yan're'ke'zhi'shou 岂惟炎热可炙手
'qi'wu'jiu'man'zun 岂无酒满尊
'qi'wu'yu'guan'lu 气无玉关路
'qi'wu'zhi'jun'zhe 岂无知君者
'qi'xia'hua'gu'ru'chun'lei 旗下画鼓如春雷
'qi'xue'shou'wu'xie 泣血受污胁
'qi'xun'wei'ji'kuang'shi'wu 奇勋伟绩旷世无
'qi'you'ni'hu'chuan'zi'sun 岂有逆胡传子孙
'qi'you'tang'tang'zhong'guo'kong'wu'ren 岂有堂堂中国空无人
'qi'zai'yi'xue'qian'ren'zhi'cang'ya 奇哉一削千仞之苍崖
'qi'zhi'ceng'deng'bu'chen'yi 岂知蹭蹬不称意
'qi'zhi'ceng'deng'hai'jiang'bian 岂知蹭蹬还江边
'qi'zhi'jin'ri'huai'nan'lu 岂知今日淮南路
'qi'zuo'ti'jiao'liu 起坐涕交流
'qia'si'er'tong'fang'xue'shi 恰似儿童放学时
'qia'si'tie'ma'xiang'mo'sheng 恰似铁马相磨声
'qia'zhi'shan'weng'zui'yu'xing 恰直山翁醉欲醒
'qian'fu'deng'deng'gong'ban'zhu 千夫登登供版筑
'qian'gu'kun'su'xue 千古困俗学
'qian'jin'qing'zhi'zhong'yi'qi 千金轻掷重意气
'qian'kun'da'ru'xu 乾坤大如许
'qian'li'xie'yang'zhong'yu'ming 千里斜阳钟欲暝
'qian'li'yi'ming'jia 千里亦命驾
'qian'liu'hai'tan'xue'qi'you 迁流还叹学齐优
'qian'nian'chang'yang'si'ren'xing 千年长养似人形
'qian'nian'cong'jun'nan'shan'nan 前年从军南山南
'qian'nian'hui'shou'xiao'mo'jin 千年回首消磨尽
'qian'nian'kuai'jing'dong'hai'shang 前年脍鲸东海上
'qian'nian'shi'ce'chi'wu'ming 千年史册耻无名
'qian'nian'yi'ji'ren'you'song 千年遗迹人犹诵
'qian'qi'chuan'ling'wu'zi'yi 遣骑传令勿自疑
'qian'xiao'an'huan'ren'shui'zai 潜消暗换人谁在
'qian'xing 遣兴
'qian'you'zun'jiu'hang'er'shou'xuan'yi'shou 前有樽酒行二首选一首
'qian'zai'shui'kan'bo'zhong'jian 千载谁堪伯仲间
'qian'zai'wu'si'ren 千载无斯人
'qian'zai'zhen'hu'er 千载镇胡儿
'qian'zhi'jiu'yue'shui 前指九月水
'qiang'jiao'wen'lei'xuan'jia'ye 墙角蚊雷喧甲夜
'qiang'pai'lv'si'ju'qing'zun 强排旅思举清樽
'qiao'bi'kong'yang'shi 峭壁空仰视
'qiao'cui'si'wu'ke 憔悴思吴客
'qie'ban'qun'er'dou'cao'mang 且伴群儿斗草忙
'qie'diao'gan'yu'ting 且钓竿渔艇
'qie'mo'fu'yu'suo 切莫负渔蓑
