'a'fu'lue'gu'shi 阿夫略顾视
'nv'cai'cha 女采茶
'nv'he'xu 女何许
'nv'qiang'dao'ying'xia'han'kong 女墙倒影下寒空
'nv'zhi'zhi 女知之
'ou'feng'xiang'shi'ren 偶逢相识人
'ou'geng'zhi'wei'sui 耦耕知未遂
'ou'lai'hu'shang'yi'san'qiu 偶来湖上已三秋
'ou'ting'gu'xiang'yin 偶听故乡音
'ou'tuo'yu'mian'chu 瓯脱与眠处
'ou'wei'kan'shan'chu 偶为看山出
'pa'shang'ao'feng'ting'zi'gui 怕上鳌峰听子规
'pai'huai'chu'dong'feng 徘徊出东峰
'pai'huai'si'you'ren 徘徊似有人
'pan'gao'qin'huai'xiao'du 潘高秦淮晓渡
'pan'ji'fu'chi'ma 盘髻妇驰马
'pan'jiang'fu'zi'si'qian'shen 拚将妇子死前身
'pan'lei'guang'wu 潘耒广武
'pan'lei'hua'feng'ding 潘耒华峰顶
'pan'lei'jin'shan 潘耒金山
'pan'lei'yang'cheng'za'yong'shi'shou'xuan'yi'shou 潘耒羊城杂咏十首选一首
'pan'shui'jia'jian'qing'shi'jian 盘水加剑请室间
'pan'yu'san'lv'gong'xing'zui 判与三闾共醒醉
'pang'ming'wu'gong'ci 庞鸣吴宫词
'pao'lie'zhuan'cui'wu 砲裂砖摧屋
'pei'ying'feng'fan'jian'shu'lou 旆影风翻见戍楼
'peng'chuang'gu'zhen'meng'pian'you 篷窗孤枕梦偏幽
'peng'chuang'pian'cheng'gua'yu'suo 篷窗偏称挂鱼蓑
'peng'chuang'wu'zuo'yi'si'zeng 篷窗兀坐疑似增
'peng'pai'qian'zhuan'xia 砰湃千转下
'peng'sun'yu'jing'zhou 彭孙遹景州
'peng'sun'yu'peng'li'ye'bo 彭孙遹彭蠡夜泊
'peng'sun'yu'qiu'ri'deng'teng'wang'ge 彭孙遹秋日登滕王阁
'peng'wu'ding'xiang'zhi'sui'feng 篷无定向只随风
'peng'yu'zhuo'jiu'xing'wu'nu 烹鱼酌酒幸无怒
'peng'ze'xian'qian'feng'dao'chui 彭泽县前风倒吹
'pi'ge'luan'hui'bu'shao'shu 皮革乱挥不少纾
'pi'lin'yi'shu'du'liu'dan 批鳞一疏独留丹
'pi'ma'du'yan'liu 匹马独淹留
'pi'pa'wei'xu'tuo'bin'hong 琵琶惟许托宾鸿
'pi'pa'zhou'tou'zhou'shui'qing 琵琶洲头洲水清
'pi'pa'zhou'wei'zhou'shui'ping 琵琶洲尾洲水平
'pi'qiang'bi 披墙壁
'pi'qiu'san'fu'guan 披裘三伏惯
'pi'qiu'ze'pan'du'chui'lun 披裘泽畔独垂纶
'pian'an'wu'zhao'fu'shen'zhou 偏安无诏复神州
'pian'ke'bu'de'zan'ting 片刻不得暂停
'pian'zhang'xiang'bu'si 篇章想不死
'pian'zhou'sui'wan'meng'wu'yue 扁舟岁晚梦吴越
'piao'ling'wan'li'yi'gui'ren 飘零万里一归人
'piao'ling'zi'fen'ru'sheng'jian 漂零自分儒生贱
'piao'miao'you'qi'fu'cai'ling 缥缈幽栖赋采苓
'piao'ran'qu'qi'yu 飘然去其宇
'piao'ran'xiang'hai'dong 飘然向海东
'pie'yan'jun'chen'cheng'yuan'ben 瞥眼君臣成院本
'pin'jia'wei'xi'guan'men'wo 贫家未夕关门卧
'pin'nian'duo'yu'yan'nan'zhu 频年多雨盐难煮
'pin'nian'xian'zhang'wu'ling'you 频年仙仗五陵游
'pin'qian'ji'kou'shi'bing'lang 聘钱几口是槟榔
'pin'zhe'zhi'long'tou 贫者止垄头
'ping'feng'shi'fu'xie'jiang'nan 屏风十幅写江南
'ping'kan'bi'hai'liu 平看碧海流
'ping'ling'jin'rong'lu 凭陵尽戎虏
'ping'shan'fu'hai'gu'bian'zhou 凭山俯海古边州
'ping'shan'tang'pan'bai'yun'ping 平山堂畔白云平
'ping'sheng'huai'zhuang'guan 平生怀壮观
'ping'sheng'su'xin'you 平生素心友
'ping'shui'feng'yi'wan 凭谁封一丸
'ping'shui'ji'zhi'qian 凭谁寄纸钱
'ping'tou'nu'zi'shan'hu'bian 平头奴子珊瑚鞭
'ping'wu'niao'qu'mei 平芜鸟去没
'ping'yuan'jiang'shan'ji'mu'hui 平远江山极目回
'po'bi'dun'ji'hu 破壁蹲饥虎
'po'de'bai'jia'chan 破得百家产
'po'di'shou'jing'xia'yu'guan 破敌收京下玉关
'po'fei'wei'wei'qu 颇肥未为癯
'po'ji'he'lan'shi 颇及荷兰事
'po'na'huang'guan'you'wei'si 破衲黄冠犹未死
'po'wu'han'duo'wu'wei'can 破屋寒多午未餐
'po'yi'dang'feng'bu'yan'jing 破衣当风不掩胫
'po'zhi'xian'ling'chu'zhen'huang 颇知县令出赈荒
'pu'bing'chui'wu'shu 仆病炊无术
'pu'chi'qi'suo'xian 扑抶岂所先
'pu'fu'ni'tu'jian 匍匐泥涂间
'pu'huang'zhi'bei'he'qi'duo 蒲黄之辈何其多
'pu'li'qing'he'zhong'fu'jing 浦里青荷中妇镜
'pu'liu'ying'lian'bin'you'hua 蒲柳应怜鬓有华
'pu'shu'chong'chong'an 浦树重重暗
'pu'song'ling'qing'shi'guan 蒲松龄青石关
'pu'tang'chun'shui'nuan 蒲塘春水暖
'qi'bu'wen'yuan'hu 岂不闻怨呼
'qi'cai'qiang'sang'qu'jing'tong 畦菜墙桑取径通
'qi'ci'ru'chu'yi'shou'wei 其词如出一手为
'qi'ci'xing'lu'nan 岂辞行路难
'qi'er'mai'qu'liao'yang'dao 妻儿卖去辽阳道
'qi'er'zhi'yong'jue 其儿知永绝
'qi'fan'heng'bing'zhang 七帆恒并张
'qi'fu'dan'dao'bian 其父担道边
'qi'gui'san'gong'he'zu'shu 七贵三公何足数
'qi'jia'kong'chuan'xi'si'duo 弃甲空传犀兕多
'qi'jie'bu'neng'yan 气结不能言
'qi'ju'huang'zhu'song'peng'seng 其居篁竹松鬅鬙
'qi'ju'zhong'xin'zi'bu'ping 棋局中心自不平
'qi'juan'wan'shan'lai 气卷万山来
'qi'li'ming'tuo'lu'ji'qian 碛里明驼路几千
'qi'ma'ren'ru'xi 骑马人如戏
'qi'ma'tong'gui'zui'wu'wu 骑马同归醉兀兀
'qi'nai'zhong'yuan'bu'yao'he 其奈中原不要何
'qi'niu'he'chu'wen'zhen'ren 骑牛何处问真人
'qi'qi'jing'yi'qu 其妻径以去
'qi'qi'wen'fu'zhi 其妻闻夫至
'qi'qing'shi'xia'shou'qi'yong 气倾市侠收奇用
'qi'ren'ge'chui'shou 其人各垂手
'qi'shan'bu'ru'zhong'yuan'jie 奇山不入中原界
'qi'shang'rong'qian'ren 其上容千人
'qi'shi'er'fen'qiu'cao'bian 七十二坟秋草遍
'qi'shi'lao'weng'na'guo'mao 七十老翁拿过卯
'qi'shi'wu'lai'shen'huang'hu 七十五来神恍惚
'qi'shi'wu'men'qiu'you'shen 乞食吴门秋又深
'qi'shu'bu'zai 琪树不栽
'qi'shu'dan'ya'wei'ke'pan 琪树丹崖未可攀
'qi'suo'sheng'ya'ji'shi'shen 乞索生涯寄食身
'qi'wang'xue'zhan'chu 蕲王血战处
'qi'wu'fu'mu'lai 岂无父母来
'qi'wu'qi'you'hun 岂无泣游魂
'qi'wu'rao'shu'bing'shuang'ku 栖乌绕树冰霜苦
'qi'wu'xiong'di'wen 岂无兄弟问
'qi'xiang'qian'cun'mai'wang'gu 泣向前村卖网罟
'qi'ya'liu'shui'dian'qiu'guang 栖鸦流水点秋光
'qi'yi'geng'sang'hu'wei'shou 七邑耕桑户未收
'qi'yin'jia'wei'you'huang'gan 岂因佳味有黄柑
'qi'you'qin'wang'wen'tai'zhen 岂有勤王温太真
'qi'yu'qing'qi'niang 岂欲倾其酿
'qi'zai'jiu'you'cheng'ke'shu 七载旧游程可数
'qi'zhi'he'cang'zu 弃置何仓卒
'qi'zhi'ruo'ni'zi 弃之若泥滓
'qi'zhi'yi'dan'feng'guang'huan 岂知一旦风光换
'qi'zhi'zai'zhi'liang'nan'ping 岂知灾至两难凭
'qi'zhu'fen'hua'shou'zi'zai 乞竹分花手自栽
'qi'zi'gan'zuo'ku 妻子甘作苦
'qi'zi'jiao'qi'jing'bu'zhong 七子交期竟不终
'qi'zi'qi'ying'guan'da'ji 妻子岂应关大计
'qian'bai'shen'hong'fu'luan'liu 浅白深红付乱流
'qian'cha'wei'qu'hou'cha'lai 前差未去后差来
'qian'cheng'zhi'bu'jiang'xing 钱澄之捕匠行
'qian'cheng'zhi'cui'liang'hang 钱澄之催粮行
'qian'cheng'zhi'mei'hua'shi'shou'xuan'er'shou 钱澄之梅花十首选二首
'qian'cheng'zhi'yang'zhou 钱澄之扬州
'qian'chi'ping'gang'bai'qing'tan 千尺平冈百顷潭
'qian'chong'lie'lou'lu 千重列楼橹
'qian'er'fu'nv'jing'xun'lu 牵儿负女惊寻路
'qian'feng'cu'cu'lian'hua'kai 千峰簇簇莲花开
'qian'feng'xue'zuo'man'tian'wu 千峰雪作漫天雾
'qian'gu'gao'mian'ying'wu'zhou 千古高眠鹦鹉洲
'qian'gu'jian'nan'wei'yi'si 千古艰难惟一死
'qian'gu'qin'huai'shui 千古秦淮水
'qian'jia'yang'nv'xian'jiao'qu 千家养女先教曲
'qian'jiao'chu'ting'lao'long'qi 潜蛟出听老龙泣
'qian'jin'mai'mei'ren 千金买美人
'qian'kun'ban'bi'yue'jia'ci 乾坤半壁岳家祠
'qian'kun'rong'duan'zhao 乾坤容短棹
'qian'kun'zi'hun'mang 乾坤自混茫
'qian'lei'wu'gu'shi'qi'ba 牵累无辜十七八
'qian'li'bei'huai'liu 千里背淮流
'qian'li'ben'liu'zhou'ye'lei 千里奔流昼夜雷
'qian'li'nian'chong'lai'ben'mang 千里辇重来奔忙
'qian'li'shan'hai'guan 千里山海关
'qian'li'she'jiao'fu 千里射蛟浮
'qian'li'wu'cun'miao 千里无寸苗
'qian'li'wu'ren'song'ying 千里无人送迎
'qian'lin'huang'ye'jian'men'qiu 千林黄叶剑门秋
'qian'lin'ju'shi'fen'pan'tuo 前临巨石纷盘陀
'qian'lin'xiang'xue'zhao'xie'xun 千林香雪照斜曛
'qian'mo'wan'ji'hai'jian'jin 千磨万击还坚劲
'qian'mo'zong'heng'wan'mu'lian 阡陌纵横万亩连
'qian'nian'he'li'jiu'qiu'ying 千年鹤唳九秋萤
'qian'nian'liu'jie'shi 千年留碣石
'qian'nian'yi'miao'hai'xiang'huo 千年遗庙还香火
'qian'nian'zai'shui'qu'nian'han 前年灾水去年旱
'qian'qian'fu'hou'ye 前牵复后曳
'qian'qian'yi'bi'yun'si 钱谦益碧云寺
'qian'qian'yi'he'sheng'ji'tao'luo'ye'er'shou'xuan'yi'shou 钱谦益和盛集陶落叶二首选一首
'qian'qian'yi'hou'qiu'xing'zhi'shi'san'ba'shou'xuan'yi'shou 钱谦益后秋兴之十三八首选一首
'qian'qian'yi'jin'ling'hou'guan'qi'liu'shou'xuan'yi'shou 钱谦益金陵后观棋六首选一首
'qian'qian'yi'zhong'xiang'an'zeng'zi'xiu'zhang'lao 钱谦益众香庵赠自休长老
'qian'qiang'yan'qi'shi'meng'meng 千樯烟气湿蒙蒙
'qian'qiu'yi'an'chen'qiao'yi 千秋疑案陈桥驿
'qian'qiu'yi'ge'liu'wen'shu 千秋一个刘文叔
'qian'ren'ding'xiao'hou'ren'chi 前人定笑后人痴
'qian'ri'zuo'ri'san'ri'e 前日昨日三日饿
'qian'shang'zhi'shang'jie'yuan'you 褰裳直上捷猿狖
'qian'shen'he'shi'cai'lian'ren 前身合是采莲人
'qian'shen'ni'lin'she 潜身匿邻舍
'qian'shu'tao'hua'wan'tiao'liu 千树桃花万条柳
'qian'shu'wan'shu'zhu'hua'kai 千树万树朱花开
'qian'sui'jin'bei'hao'qiang'quan 前岁尽被豪强圈
'qian'sui'ming'yue'guo'kuang'jun 潜随明月过匡君
'qian'tou'chuan'jian'bu'gan'xing 前头船见不敢行
'qian'tu'shang'yuan'ji'ru'he 前途尚远饥如何
'qian'wen'shi'an'ling 前问始安岭
'qian'xun'you'jing'zhi'tie'han 千寻幽井置铁函
'qian'yan'po'hun'mang 千言破混茫
'qian'zai'cheng'yu 钱载城隅
'qian'zai'dao'jia'zuo'si'shou'xuan'yi'shou 钱载到家作四首选一首
'qian'zai'fa'ling'chuan 钱载发灵川
'qian'zai'feng'men'kou'hao'san'shou'xuan'yi'shou 钱载葑门口号三首选一首
'qian'zai'hou'xia'tan'ge 钱载后下滩歌
'qian'zai'mei'xin'yi'nan'shan'xing'er'shou'xuan'yi'shou 钱载梅心驿南山行二首选一首
'qian'zai'niu'tou'shan 钱载牛头山
'qian'zai'qin'huai'wu'ye'shui 千载秦淮呜咽水
'qian'zai'xiao'dian 钱载小店
'qian'zai'yue'ding'ye'qi 钱载岳顶夜起
'qian'zhou'chua'ran'mei 前舟欻然没
'qian'zhou'xi'shang'zheng'you'you 虔州西上正悠悠
'qian'zhu'wan'zhu'shu 千株万株树
'qiang'hu'jiang'shu'chu'diao'lan 强呼绛树出雕阑
'qiang'jiao'can'li'shan'jiang'hua 墙脚残立山姜花
'qiang'liang'si'jue'duo 强梁肆攫夺
'qiang'yan'qiang'wu'rao'ji'shi 樯燕樯乌绕楫师
'qiao'bian'liu'se'lv'yao'si 桥边柳色绿摇丝
'qiao'fan'xi'shang'bo'yang'chuan 峭帆昔上波阳船
'qiao'heng'can'zhao'li 桥横残照里
'qiao'hua'zu'wu'ju 桥滑足无屦
'qiao'huai'ze'ji'sheng 桥坏笮系绳
'qiao'tong'jin'ri'lu 桥通今日路
'qiao'yin'yue'hen'sheng 桥引月痕生
'qiao'zhe'zhi'yi'ke 樵者指以柯
'qie'lai'deng'wang'shi'kan'chou 朅来登望事堪愁
'qie'mian'guan'li'heng'suo'qian 且免关吏横索钱
'qie'rou'bu'cheng'kuai 切肉不成块
'qie'si'chuan'wei'lang'si'peng 妾似船桅郎似篷
'qie'wu'ji'zhong'nian 且勿计终年
'qie'xi'hun'ya'san 且喜昏鸦散
'qie'xi'qie 且喜且
'qin'bei'ling'jue'bi 秦碑凌绝壁
'qin'fa'sui'yan'yi'shen'shu 秦法虽严亦甚疏
'qin'huai'qiu'lao'yan'han'chao 秦淮秋老咽寒潮
'qin'peng'bai'gu'zhong 亲朋白骨中
'qin'wang'yun'kong'yang'niao'san 秦望云空阳鸟散
'qin'xing'di'guan'mi 侵星籴官米
'qin'zheng'fei'qi'huan 秦政非齐桓
'qing'ai'luo'chi'shang 青霭落池上
'qing'chun'wei'ke'qi 青春未可期
'qing'fan'dai'yu'ru'jiang'liu 轻帆带雨入江流
'qing'fan'yi'niao'ji 轻帆一鸟疾
'qing'feng'xue'ban'can 晴峰雪半残
'qing'gao'duan'jiang'fu'nv'neng 轻篙短桨妇女能
'qing'hong'yan'se'guo'tou'zhuang 青红颜色裹头妆
'qing'hong'yin'xian'zhui'yun'yan 青红隐现坠云烟
'qing'kan'bei'shi'ju'zhuan'zhou 请看碑石俱砖甃
'qing'ke'bian'mie'sui'yun'yan 顷刻变灭随云烟
'qing'kong'lan'kan'fu'han'guan 晴空栏槛俯邗关
'qing'li'yi'tang'jian'jiu'yan 庆历遗堂见旧颜
'qing'liu'chang'ban'xiao'shan'cong 青留长伴小山丛
'qing'lou'da'dao'lv'yang'duo 青楼大道绿杨多
'qing'lou'ding'ding'hua'jiao'can 清漏丁丁画角残
'qing'ming'qian 清明前
'qing'qi'ji'san'zhuo'qi'jian 清气既散浊气坚
'qing'qian'gong'ting'shui 清浅宫亭水
'qing'qing'tian'ban'qi 清清天半气
'qing'sang'tu'ye'wu'fu'zhi 青桑吐叶无附枝
'qing'sha'xing'hua'nan'jiu'hong 晴杀杏花难久红
'qing'shan'lv'shui'gu'he'qiu 青山绿水故何求
'qing'shan'song'wo'si'xiang'ying 青山送我似相迎
'qing'shan'wu'shu'rao'chu'zhou 青山无数绕滁州
'qing'tian'an'wen'xian'yu'suo 青天安稳羡鱼簑
'qing'tian'que'si'xiang'xi'fei 青天却似向西飞
'qing'tian'wu'feng'yi'bo'yang 青天无风亦簸扬
'qing'tian'xie'er'liu 青天泻二流
'qing'ting'an'bang'yu 倾听岸傍语
'qing'xi'shui'mu'zui'qing'hua 青溪水木最清华
'qing'xia'qian'li'zong'heng'ning 青霞千里纵横凝
'qing'xiang'po'kong'ming 清响破空冥
'qing'xiao'fei'cui'xia'kong'ming 晴霄飞翠下空溟
'qing'xue'zhai'xiu'jiao'zhuang'shu 轻靴窄袖娇妆束
'qing'yi'jiang'shui'bi'lin'lin 青衣江水碧鳞鳞
'qing'yu'dang'tu'ren 请语当涂人
'qing'yun'ji'gu'jiu 青云几故旧
'qing'zhe'yun'nan'gu'qie'zhi 顷者云难姑且置
'qing'zhou'gu'su'hui 轻舟故溯洄
'qing'zi'ken'ru'bing'er'yan 清姿肯入兵儿眼
'qing'zu'gan'zheng'cuo'dou'shi 黥卒敢争莝豆食
'qiong'chou'tian'yu'hou'yu'qing 穷愁天欲厚虞卿
'qiong'hai'bu'chun'you'zheng'shuo 穷海不春犹正朔
'qiong'hua'tang'shang'san'sheng'lu 琼花堂上三生路
'qiong'tian'tang'zhi'chang'sheng'cao 琼田倘致长生草
'qiong'yan'ken'fu'ming'shan'ye 穷檐肯负名山业
'qiong'zhi'yu'shu'gen'zhang'zai 琼枝玉树根长在
'qiu'cheng'fa'zi'li 秋成乏籽粒
'qiu'dong'shui'se'chun'zhang'tuan 秋冬水涩春涨湍
'qiu'feng'chui'shan'gang 秋风吹山冈
'qiu'feng'ge'shui'duo 秋风隔水多
'qiu'feng'shi'ma'shang'qin'tai 秋风石马上琴台
'qiu'feng'wan'shan'you'qian'sheng 秋风纨扇又前生
'qiu'guang'qian'li'zi'deng'lin 秋光千里自登临
'qiu'hua'hong'wei'yi 秋花红未已
'qiu'lai'dou'zai'yan'sheng'zhong 秋来都在雁声中
'qiu'lai'he'chu'zui'xiao'hun 秋来何处最销魂
'qiu'lao'zhong'shan'wan'mu'xi 秋老钟山万木稀
'qiu'li'wu'shou'guan'bu'zhi 秋粒无收官不知
'qiu'lin'sui'yi'chang'chai'fei 秋林随意敞柴扉
'qiu'qi'sen'gui'er'mu'zhong 秋气森归耳目中
'qiu'qi'wu'qing'wu'yi'sheng 秋气无情物亦生
'qiu'qi'wu'suo'ai 秋气吾所爱
'qiu'ru'yao'kong'wu'cun'yi 秋入遥空无寸翳
'qiu'se'xi'lai'tian'di'qing 秋色西来天地青
'qiu'se'xiang'ren'you'yi'ni 秋色向人犹旖旎
'qiu'shan'fu'qiu'shan 秋山复秋山
'qiu'shan'fu'qiu'shui 秋山复秋水
'qiu'shen'dan'yi'xi 秋深淡疑夕
'qiu'shui'xun'chang'mei'diao'ji 秋水寻常没钓矶
'qiu'tian'yi'bi'yu'xin'xi 秋天一碧雨新洗
'qiu'wei'si'yang 求为厮养
'qiu'yin'wei'xi'hun 秋阴未夕昏
'qiu'yu'lian'shan'yin 秋雨连山殷
'qu'ba'zi'lang'ji 曲罢恣狼藉
'qu'chuan'lu'sheng'hao 去船橹声好
'qu'da'jun'lei'nv'zhi'ge'ge 屈大均雷女织葛歌
'qu'da'jun'lu'lian'tai 屈大均鲁连台
'qu'da'jun'min'yao'shi'shou'xuan'si'shou 屈大均民谣十首选四首
'qu'da'jun'mo'ling 屈大均秣陵
'qu'da'jun'sai'shang'gan'huai 屈大均塞上感怀
'qu'da'jun'sai'shang'qu'liu'shou'xuan'er'shou 屈大均塞上曲六首选二首
'qu'da'jun'tong'zhou'wang'hai 屈大均通州望海
'qu'da'jun'yun'zhou'qiu'wang 屈大均云州秋望
'qu'fan'e'nuo'yi'nan'sheng 去帆婀娜意难胜
'qu'fu'ou'ran'zuo 屈复偶然作
'qu'guo'ji'jia'you'bang'liu 去郭几家犹傍柳
'qu'hou'qian'wo'ru'he'si 去后遣我如何思
'qu'hu'zhi'wu'shu 驱狐窒鼯鼠
'qu'jiang'qian'zai'xia 曲江千载下
'qu'nian'ling'mi'you'wan'yi 去年领米有完衣
'qu'nian'ren'zhong'jin'nian'shao 去年人众今年少
'qu'nian'ren'zhuang'jin'nian'lao 去年人壮今年老
'qu'nian'san'mi'shu'qian'ren 去年散米数千人
'qu'nian'yang'yu'xing'wu'qian 去年旸雨幸无愆
'qu'qu'wang'yu'meng 区区王与孟
'qu'ru'jie'yi'tan'liang'jian 去如解衣袒两肩
'qu'shu'zu'ming'mei 氍毹足明媚
'qu'sui'shan'chuan'jin'yun'ling 去岁山川缙云岭
'qu'sui'yu'pin'he'lan'si 去岁雨频禾烂死
'qu'tang'xi'wang'lu'you'you 瞿塘西望路悠悠
'qu'ya'qiu'si'ta'gu'cheng 曲涯秋寺塔孤撑
'qu'zhe'bu'si'lai'zhe'nu 去者不思来者怒
'qu'zhe'feng'ke'quan'ya'li 曲折蜂窠犬牙里
'qu'zhong'jiu'lv'ru'xiang'yi 曲中旧侣如相忆
'qu'zhu'yong'gong'chu'men'hu 驱逐佣工出门户
'qu'zhu'zong'yi'si 去住总一死
'quan'jia'bai'gu'cheng'hui'tu 全家白骨成灰土
'quan'jun'he'bu'an'zuo'hu'kou'chuan 劝君何不安坐湖口船
'quan'liu'luan'ye'zhong 泉流乱叶中
'quan'nong'quan'nong'shi'jun'xing 劝农劝农使君行
'quan'sheng'yan'kan'wai 泉声檐槛外
'quan'sheng'you'guo'wang 全生犹过望
'que'ba'qi'wen'yi'bi'gou 却把奇文一笔勾
'que'guai'hu'jiang'bu'yuan'ying 却怪壶浆不远迎
'que'lai'yan'qu'zi'cheng'ke 鹊来燕去自成窠
'que'nian'wu'nian'lai 却念五年来
'que'xian'sha'tou'shuang'bai'lu 却羡沙头双白鹭
'que'yi'gu'shan'feng'xue'li 却忆故山风雪里
'que'yu'yu'jia'huan'dou'su 却与渔家换斗粟
'que'zhen'dou'mou'wo'ting'chao 却枕兜鍪卧听潮
'qun'er'gao'fu'zhi'yuan'feng 群儿高阜纸鸢风
'qun'feng'san'fu'ya 群峰散凫鸭
'qun'hui'qun'fang'jin'qi'zhi 群卉群芳尽弃之
'qun'sheng'jing'xi'hong'meng'li 群生静息鸿蒙里
'qun'shui'chuan'jiao'hao'wei'ping 群水穿礁浩未平
'rao'long'guo'lin'tang 绕陇过林塘
'rao'shen'si'mian'shi'hu'guang 绕身四面是湖光
'ren'bian'jiao'ye'zuo'suo'yi 人编蕉叶作蓑衣
'ren'er'dong'xi'nan'bei'feng 任尔东西南北风
'ren'geng'po'qiong'li 忍更迫穷黎
'ren'gui'er'san'yue 人归二三月
'ren'guo'hao'shang'chu'feng'yan 人过濠上初逢雁
'ren'guo'zhong'nian'le'yi'ai 人过中年乐亦哀
'ren'jia'ji'wei'ming 人家鸡未鸣
'ren'jia'ri'wu'bu'wen'ji 人家日午不闻鸡
'ren'jian'ci'jing'zhi'nan'bi 人间此境知难必
'ren'jian'na'de'wu'chou'ke 人间那得无愁客
'ren'jian'na'dei'liu'qing'lian 人间那得留青莲
'ren'jian'wei'wang'luo 人间畏网罗
'ren'jian'wei'xiao'fu 人间为小妇
'ren'jian'you'you'wei'shao'shu 人间犹有未烧书
'ren'min'gu'suo'gui 人民古所贵
'ren'qing'bu'jin'jue'jiao'pian 人情不尽绝交篇
'ren'qing'qie'yi'xiang 人情怯异乡
'ren'ren'gei'qian'mai'zui'bao 人人给钱买醉饱
'ren'sheng'ku'le'jie'chen'ji 人生苦乐皆陈迹
'ren'shi're'he'chu 人世热何处
'ren'shuo'bo'tao'qian'wan'die 任说波涛千万迭
'ren'ting'dang'nian'yong'shi'sheng 忍听当年咏史声
'ren'tong'cheng'gu'qu 忍痛称姑劬
'ren'yan'sha'niao'bai 人烟沙鸟白
'ren'yi'su'ting'zhou 任意宿汀洲
'ren'ying'chu'yu'gan 人影出渔竿
'ren'you'chi'ma 人有齿马
'ren'yu'ma'bing'fen'wang'ren 人与马并分王仁
'ren'yu'shi'zhong'mu 人语是中牟
'ren'zai'qing'shan'duan'bu'ci 人在青山短簿祠
'ren'zai'zhong'lian'qian'meng'zhong 人在重帘浅梦中
'ren'zuo'tian'bian'fen'xu'kan 认作天边粉絮看
'ri'bian'yi 日变易
'ri'bo'xi'shan'si'hai'gu 日薄西山四海孤
'ri'mo'bing'zhou'gui 日莫并舟归
'ri'mu'guo'dong'li 日暮过东篱
'ri'mu'sheng'ge'sai'nv'bei 日暮笙歌塞女悲
'ri'mu'tian'han'yan'shuang'xun 日暮天寒验霜讯
'ri'ru'kong'shan'hai'qi'qin 日入空山海气侵
'ri'yue'qing'xuan'yi'jing'qiu 日月晴悬一镜秋
'ri'yue'shuang'xuan'yu'shi'mu 日月双悬于氏墓
'ri'yue'xiang'mo'dang 日月相摩荡
'ri'yue'xiang'tun'tu 日月相吞吐
'ri'zhao'hai'men'qing 日照海门青
'rong'yi'gui'zhou'chen'ji'liu 容易归舟趁疾流
'rou'lu'sheng'zhong'luo'ye'shen 柔橹声中落叶深
'rou'qi'zhuan'shi'xin 柔气转时新
'ru'cheng'pa'feng'xian'ling'xing 入城怕逢县令行
'ru'guan'ru'fu'wei'qiu'xu 儒冠儒服委邱墟
'ru'he'wang'guo'hen 如何亡国恨
'ru'he'xuan'shi'zhao'kong'hui 如何宣室召空回
'ru'he'yu'sheng'jie 如何欲生劫
'ru'hua'yun'lan'xi'fu'xi 如画云岚西复西
'ru'huo'wu'ming'cu 汝活吾命殂
'ru'jin'ping'di'you'feng'bo 如今平地有风波
'ru'men'xiu'ya'lei'hai'chui 入门休讶泪还垂
'ru'rou'shang'ke'qie 汝肉尚可切
'ru'shan'qi'shi'er'gao'qiu 如山七十二高邱
'ru'shan'yi'san'ri 入山已三日
'ru'sheng'fang'lue'duan 儒生方略短
'ru'tai'ru'bi'hai'ru'ying 如台如笔还如鹰
'ru'tou'shang'you'fa 汝头尚有发
'ru'zai'jia 如在家
'ruan'sha'ping'shou'yue 软沙平受月
'ruan'sheng'yi'ju'xi'feng'lei 阮生一掬西风泪
'ruo'dao'wei'shan'ying'wu'dao 若到沩山应悟道
'ruo'fei'zhong'pan'wo 若匪众盘涡
'ruo'fei'zhuang'shi'quan'shi'sheng 若非壮士全师胜
'ruo'guo'luo'yang'feng'jing'di 若过洛阳风景地
'ruo'nv'fang'si'ling 弱女方四龄
'ruo'yu'yin'qin'kang'gu'feng 弱羽殷勤亢谷风
'sa'lei'du'ti'shi 洒泪独题诗
'sa'lei'zhong'bei'tian'qian'xian 洒泪重悲天堑险
'sa'nian'zhuang'zhi'shi'quan'wei 卅年壮志事全违
'sai'bei'kong'wen'du'yu'chou 塞北空闻杜宇愁
'sai'er'dang'tou'jiao'zi'gui 塞耳当头叫姊归
'sai'er'he'bai'shao'yao 赛尔赫白芍药
'sai'ma'chu'gong'na'zu'wen 塞马楚弓那足问
'sai'shang'chou'shu'xin 塞上愁书信
'san'bai'li'cheng'xiao'yi'ri 三百里程消一日
'san'ce'ru'seng'yuan 散策入僧院
'san'chi'huang'qi'wan'ma'ming 三尺黄旗万马鸣
'san'chi'long'quan'fang'cun'yin 三尺龙泉方寸印
'san'chu'feng'tao'bei'di'he 三楚风涛杯底合
'san'chun'que'shi'mu'qiu'tian 三春却是暮秋天
'san'chun'shang'shuo'feng 三春尚朔风
'san'fen'tian'xia'geng'fen'xiang 三分天下更分香
'san'feng'gao'chu'bai'yun'jian 三峰高出白云间
'san'guan'yue'luo'kai'zhuang'jing 散关月落开妆镜
'san'hu'bu'zhi'ren'zai'fou 三户不知人在否
'san'hu'mai'man'e 三斛买蛮娥
'san'hu'yi'wang'xiong'yi'guo 三户已亡熊绎国
'san'liang'lie'ze'meng 三两列舴艋
'san'mian'wu'cheng'que'yi'shan 三面无城却倚山
