'ai'chen 爱臣
'qin'ding'kang'ji'lu 钦定康济录
'qin'ding'lan'zhou'ji'lue 钦定兰州纪略
'qin'ding'li'dai'zhi'guan'biao 钦定历代职官表
'qin'ding'li'ji'yi'shu 钦定礼记义疏
'qin'ding'liao'jin'yuan'san'shi'guo'yu'jie 钦定辽金元三史国语解
'qin'ding'man'zhou'ji'shen'ji'tian'dian'li 钦定满洲祭神祭天典礼
'qin'ding'man'zhou'yuan'liu'kao 钦定满洲源流考
'qin'ding'meng'gu'yuan'liu 钦定蒙古源流
'qin'ding'nan'xun'sheng'dian 钦定南巡盛典
'qin'ding'pan'shan'zhi 钦定盘山志
'qin'ding'ping'ding'jin'chuan'fang'lue 钦定平定金川方略
'qin'ding'qian'lu 钦定钱录
'qin'ding'qian'sou'yan'shi 钦定千叟宴诗
'qin'ding're'he'zhi 钦定热河志
'qin'ding'ri'xia'jiu'wen'kao 钦定日下旧闻考
'qin'ding'sheng'chao'xun'jie'zhu'chen'lu 钦定胜朝殉节诸臣录
'qin'ding'sheng'jing'tong'zhi 钦定盛京通志
'qin'ding'shi'feng'bao'ji'lue 钦定石峰堡纪略
'qin'ding'shi'jing'chuan'shuo'hui'zuan 钦定诗经传说汇纂
'qin'ding'shi'jing'yue'pu'quan'shu 钦定诗经乐谱全书
'qin'ding'shou'shi'tong'kao 钦定授时通考
'qin'ding'shu'jing'chuan'shuo'hui'zuan 钦定书经传说汇纂
'qin'ding'si'ku'quan'shu'kao'zheng 钦定四库全书考证
'qin'ding'si'shu'wen 钦定四书文
'qin'ding'tai'wan'ji'lue 钦定台湾纪略
'qin'ding'tian'lu'lin'lang'shu'mu 钦定天禄琳琅书目
'qin'ding'tong'wen'yun'tong 钦定同文韵统
'qin'ding'wai'fan'meng'gu'hui'bu'wang'gong'biao'chuan 钦定外藩蒙古回部王公表传
'qin'ding'wu'ying'dian'ju'zhen'ban'cheng'shi 钦定武英殿聚珍版程式
'qin'ding'xi'qing'gu'jian 钦定西清古鉴
'qin'ding'xi'qing'yan'pu 钦定西清砚谱
'qin'ding'xi'yu'tong'wen'zhi 钦定西域同文志
'qin'ding'xie'ji'bian'fang'shu 钦定协纪辨方书
'qin'ding'xu'tong'dian 钦定续通典
'qin'ding'xu'tong'zhi 钦定续通志
'qin'ding'xu'wen'xian'tong'kao 钦定续文献通考
'qin'ding'ye'yun'hui'ji 钦定叶韵汇辑
'qin'ding'yi'li'yi'shu 钦定仪礼义疏
'qin'ding'yi'xiang'kao'cheng 钦定仪象考成
'qin'ding'yin'yun'shu'wei 钦定音韵述微
'qin'ding'zhi'zhong'cheng'xian 钦定执中成宪
'qin'ding'zhou'guan'yi'shu 钦定周官义疏
'qin'ding'zong'shi'wang'gong'gong'ji'biao'chuan 钦定宗室王公功绩表传
'qin'en'fu 秦恩复
'qin'feng 秦风
'qin'gong 秦恭
'qin'hui'tian 秦蕙田
'qin'huo 秦火
'qin'ji 秦记
'qin'jin'shi'ci'ke 秦金石辞刻
'qin'jing 禽经
'qin'pu 琴谱
'qin'pu'he'bi 琴谱合璧
'qin'rong'guang 秦荣光
'qin'shi 亲士
'qin'shi 琴史
'qin'shi 秦誓
'qin'tang'yu'su'bian 琴堂谕俗编
'qin'wei 溱洧
'qin'xing'yi'jian 禽星易见
'qin'you'tang'sui'lu 勤有堂随录
'qin'zhai'ji 勤斋集
'qin'zhi 琴旨
'qing'bi'ge'quan'ji 清閟阁全集
'qing'bo'za'zhi 清波杂志
'qing'cheng'shan'ren'ji 青城山人集
'qing'chun'yin 轻唇音
'qing'cun'yi'gao 青村遗稿
'qing'dai'dian'ben'shu'mu 清代殿本书目
'qing'feng'ting'gao 清风亭稿
'qing'he'shu'hua'biao 清河书画表
'qing'he'shu'hua'fang 清河书画舫
'qing'hui'ji 清惠集
'qing'jiang'san'kong'ji 清江三孔集
'qing'jiang'shi'ji 清江诗集
'qing'mi'cang 清秘藏
'qing'miao 清庙
'qing'nang'ao'yu 青囊奥语
'qing'nang'xu 青囊序
'qing'pu 庆普
'qing'qi'zhai 清绮斋
'qing'qi'zhai'shu'mu 清绮斋书目
'qing'ren 清人
'qing'rong'ju'shi'ji 清容居士集
'qing'shan'ji 青山集
'qing'shi'li 庆氏礼
'qing'xi'man'gao 青溪漫稿
'qing'xia'ji 青霞集
'qing'xian'ji 清献集
'qing'xiang'za'ji 青箱杂记
'qing'ya'ji 青崖集
'qing'yang'ji 青阳集
'qing'yi'lu 清异录
'qing'yin'ge 清吟阁
'qing'yin'ge'shu'mu 清吟阁书目
'qing'ying 青蝇
'qing'yuan'dang'jin 庆元党禁
'qing'yuan'zhai'shi'ji 清苑斋诗集
'qing'zheng'cun'gao 清正存稿
'qiu'gu'ju 求古居
'qiu'gu'ju'song'ben'shu 求古居宋本书
'qiu'gu'lu 求古录
'qiu'guan 秋官
'qiu'jian'ji 秋涧集
'qiu'pu'xie'yu 秋圃撷馀
'qiu'sheng'ji 秋声集
'qiu'shu'que'ji 求书阙记
'qiu'shu'wai'ji 求书外记
'qiu'shui 秋水
'qiu'tang'ji 秋堂集
'qiu'ya'ji 秋崖集
'qiu'yan'shi'ji 秋岩诗集
'qiu'yong 丘雍
'qiu'zhong'you'ma 丘中有麻
'qu'bi 曲笔
'qu'chang'cun'yi 取长存异
'qu'chong 去重
'qu'fu 屈复
'qu'jiang'ji 曲江集
'qu'li 曲礼
'qu'li'shang 曲礼上
'qu'li'xia 曲礼下
'qu'qie 胠箧
'qu'she'yi 取舍义
'qu'shi'ying 瞿世英
'qu'song'gu'yin'yi 屈宋古音义
'qu'wei'jiu'wen 曲洧旧闻
'qu'xuan'ji 癯轩集
'qu'xun 曲徇
'qu'yi 屈轶
'qu'yi'shuo 祛疑说
'qu'yong 瞿镛
'qu'yuan 曲园
'qu'yuan'fu'zhi'shu 屈原赋之属
'qu'yuan'fu'zhu 屈原赋注
'qu'yuan'za'zuan 曲园杂纂
'qu'zhong'rong 瞿中溶
'quan'fang'bei'zu 全芳备祖
'quan'fang'bei'zu'ji 全芳备祖集
'quan'hui'shu'mu 全毁书目
'quan'jin'shi 全金诗
'quan'jin'shi'zeng'bu'zhong'zhou'ji 全金诗增补中州集
'quan'min'shi'hua 全闽诗话
'quan'sheng'zhi'mi'fang 全生指迷方
'quan'shi'ri'zhi'yuan'liu 全史日至源流
'quan'shi'wai'ji 全室外集
'quan'shu'yi'wen'zhi 全蜀艺文志
'quan'shui 泉水
'quan'tang'shi'lu 全唐诗录
'quan'xue 劝学
'quan'yan'xun 诠言训
'quan'yu 权舆
'quan'zu'wang 全祖望
'que'chao 鹊巢
'que'men'qing'ji 阙门庆忌
'que'qin 炔钦
'que'sao'bian 却扫编
'que'yi 阙疑
'que'yin'zi 阙尹子
'qun'bi'lou 群碧楼
'qun'bi'lou'shan'ben'shu'lu 群碧楼善本书录
'qun'bi'lou'shu'mu'chu'bian 群碧楼书目初编
'qun'jing'bu'yi 群经补义
'qun'jing'ping'yi 群经评议
'qun'jing'yi'bian 群经疑辨
'qun'jing'yin'bian 群经音辨
'qun'jing'yun'du 群经韵读
'qun'shu 群书
'qun'shu'hui'ji 群书会纪
'qun'shu'hui'yuan'jie'jiang'wang 群书会元截江网
'qun'shu'kao'suo 群书考索
'qun'shu'shi'bu 群书拾补
'qun'shu'si'bu'lu 群书四部录
'qun'shu'ti'yao 群书提要
'qun'yu'dian'yun 群玉典韵
'rang'wang 让王
'rao'pu'cang'shu'ti'zhi 荛圃藏书题识
're'he'zhi 热河志
'ren'chen'jing'xin'lu 人臣儆心录
'ren'da'chun 任大椿
'ren'duan'lu 仁端录
'ren'fang 任昉
'ren'gong 任公
'ren'guang 任广
'ren'hong 任宏
'ren'jian'shi 人间世
'ren'jian'xun 人间训
'ren'lun'da'tong'fu 人伦大统赋
'ren'mo 任末
'ren'pu 人谱
'ren'shan 仁山
'ren'shan'wen'ji 仁山文集
'ren'wu'zhi 人物志
'ren'zhai'zhi'zhi 仁斋直指
'ren'zhu 人主
'ren'zi'xin'kan'li'bu'yun'lue 壬子新刊礼部韵略
'ri'ben'fang'shu'zhi 日本访书志
'ri'jiang'chun'qiu'jie'yi 日讲春秋解义
'ri'jiang'li'ji'jie'yi 日讲礼记解义
'ri'jiang'qin'ding'li'ji'yi'shu 日讲钦定礼记义疏
'ri'jiang'shu'jing'jie'yi 日讲书经解义
'ri'jiang'si'shu'jie'yi 日讲四书解义
'ri'jiang'yi'jing'jie'yi 日讲易经解义
'ri'sun'zhai'bi'ji 日损斋笔记
'ri'wen'lu 日闻录
'ri'xia'jiu'wen'kao 日下旧闻考
'ri'yue 日月
'ri'zhi'hui'shuo 日知荟说
'ri'zhi'lu 日知录
'rong'chun'tang'ji 容春堂集
'rong'cun'ji 榕村集
'rong'cun'si'shu'shuo 榕村四书说
'rong'cun'yu'lu 榕村语录
'rong'fu 冗复
'rong'guang 荣广
'rong'jin'ji 荣进集
'rong'ru 荣辱
'rong'tan'wen'ye 榕坛问业
'rong'tang'shu'jie 融堂书解
'rong'tang'si'shu'guan'jian 融堂四书管见
'rong'yu 冗余
'rong'zhai'shi'hua 容斋诗话
'rong'zhai'sui'bi 容斋随笔
'rong'zhai'ti'ba 容斋题跋
'ru'chun 如淳
'ru'fen 汝坟
'ru'jia'lei 儒家类
'ru'lin'chuan 儒林传
'ru'lin'gong'yi 儒林公议
'ru'lin'zong'pai 儒林宗派
'ru'men'shi'qin 儒门事亲
'ru'nan'yi'shi 汝南遗事
'ru'sheng'biao 入声表
'ru'shu'ji 入蜀记
'ru'xiao 儒效
'ru'xing 儒行
'ru'xing'ji'chuan 儒行集传
'ru'yan 儒言
'ru'zhi'bian 儒志编
'ruan'fu 阮福
'ruan'kan 阮侃
'ruan'ti'xie'ke 软体写刻
'ruan'xiao'xu 阮孝绪
'ruan'yuan 阮元
'rui'ting'zhang 芮挺章
'rui'ying 瑞应
'rui'ying'chuan 瑞应传
'rui'ying'tu 瑞应图
'rui'zhu'tang'jing'yan'fang 瑞竹堂经验方
'san'bian 三辩
'san'chao'bei'meng'hui'bian 三朝北盟会编
'san'chu'xin'lu 三楚新录
'san'chuan'bian'yi 三传辨疑
'san'chuan'zhe'zhu 三传折诸
'san'fen 三坟
'san'fen'bu'yi 三坟补遗
'san'fen'wu'dian 三坟五典
'san'fu'huang'tu 三辅黄图
'san'guo'shi'bian'wu 三国史辨误
'san'guo'za'shi 三国杂事
'san'guo'zhi 三国志
'san'guo'zhi'bian'yi 三国志辨疑
'san'guo'zhi'bu'zhu 三国志补注
'san'guo'zhi'wen'lei 三国志文类
'san'guo'zhi'zha'ji 三国志札记
'san'hua'an'ci 散花庵词
'san'hua'ji 三华集
'san'jia'gong'ci 三家宫词
'san'jia'shi 三家诗
'san'jia'shi'shi'yi 三家诗拾遗
'san'jia'shi'yi'shuo'kao 三家诗遗说考
'san'jia'shi'yi'wen'shu'zheng 三家诗异文疏证
'san'jia'shi'yi'yi'yi'shuo 三家诗异义遗说
'san'jing'xin'yi 三经新义
'san'jing'yi 三经义
'san'li'mu'lu 三礼目录
'san'li'tu 三礼图
'san'li'tu'ji'zhu 三礼图集注
'san'li'yi'zheng 三礼义证
'san'li'zong'yi 三礼总义
'san'liu'jia'ji 三刘家集
'san'lue'zhi'jie 三略直解
'san'ming'tong'hui 三命通会
'san'ming'zhi'mi'fu 三命指迷赋
'san'nian'wen 三年问
'san'she'fa 三舍法
'san'shi 三世
'san'shi'she'he 三豕涉河
'san'shi'shi'yi 三史拾遗
'san'shi'zhong'gao 三事忠告
'san'shou 三守
'san'su'nian'biao 三苏年表
'san'ti'shi'jing 三体石经
'san'ti'tang'shi 三体唐诗
'san'tong 三统
'san'tong'li'pu 三统历谱
'san'wu'shui'kao 三吴水考
'san'wu'shui'li'lu 三吴水利录
'san'yi 散佚
'san'yi'bei'yi 三易备遗
'san'yi'dong'ji 三易洞玑
'san'yin'ji'yi'bing'zheng'fang'lun 三因极一病证方论
'san'yu'tang'sheng'yan 三鱼堂剩言
'san'yu'tang'wen'ji 三鱼堂文集
'san'yuan'jia'zi'bian'nian 三元甲子编年
'san'zheng'kao 三正考
'sang'da'ji 丧大记
'sang'fu 丧服
'sang'fu'hui'tong 丧服会通
'sang'fu'si'zhi 丧服四制
'sang'fu'wen'zu'zheng'ji 丧服文足徵记
'sang'fu'xiao'ji 丧服小记
'sang'hu 桑扈
'sang'rou 桑柔
'sang'shi'chang 桑世昌
'sang'zhong 桑中
'se'pu 瑟谱
'sha'pu 萐脯
'sha'xi'ji 沙溪集
'shan'ben 善本
'shan'ben'shu'shi 善本书室
'shan'ben'shu'shi'cang'shu'zhi 善本书室藏书志
'shan'chuan 山川
'shan'chuan'di'li'tu 山川地理图
'shan'chuang'yu'gao 山窗馀稿
'shan'cun'yi'ji 山村遗集
'shan'dai'ge'zhu'chu'ci 山带阁注楚辞
'shan'dong'tong'zhi 山东通志
'shan'fang'ji 山房集
'shan'fang'sui'bi 山房随笔
'shan'gu'ci 山谷词
'shan'hai'jing 山海经
'shan'hai'jing'bu'zhu 山海经补注
'shan'hai'jing'guang'zhu 山海经广注
'shan'hai'jing'hui'shuo 山海经汇说
'shan'hai'jing'jian'shu 山海经笺疏
'shan'hai'jing'xin'jiao'zheng 山海经新校正
'shan'hai'man'tan 山海漫谈
'shan'hu'gou'shi'hua 珊瑚钩诗话
'shan'hu'mu'nan 珊瑚木难
'shan'hu'wang 珊瑚网
'shan'ju'xin'hua 山居新话
'shan'lu 剡录
'shan'mu 山木
'shan'shi 删诗
'shan'shui'chun'quan'ji 山水纯全集
'shan'tang'kao'suo 山堂考索
'shan'tang'si'kao 山堂肆考
'shan'xi'tong'zhi 山西通志
'shan'xi'tong'zhi 陕西通志
'shan'xing 缮性
'shan'you'fu'su 山有扶苏
'shan'you'shu 山有枢
'shan'yuan'wen'ji 剡源文集
'shan'zhai'wen'ji 山斋文集
'shan'zhong'bai'yun'ci 山中白云词
'shang'cai'yu'lu 上蔡语录
'shang'guang'ya'biao 上广雅表
'shang'han'jian'zheng'xi'yi 伤寒兼证析义
'shang'han'lei'fang 伤寒类方
'shang'han'lun'tiao'bian 伤寒论条辨
'shang'han'lun'zhu'shi 伤寒论注释
'shang'han'she'jian 伤寒舌鉴
'shang'han'wei'zhi'lun 伤寒微旨论
'shang'han'zhi'ge'fang 伤寒直格方
'shang'han'zong'bing'lun 伤寒总病论
'shang'jiong'zhai'ji 尚絅斋集
'shang'kao'xin'lu 商考信录
'shang'lun'pian 尚论篇
'shang'qu 商瞿
'shang'shan'tang 上善堂
'shang'shan'tang'shu'mu 上善堂书目
'shang'shang'zhe'hua 裳裳者华
'shang'shi 尚史
'shang'shu 商书
'shang'shu'bai'shu 尚书稗疏
'shang'shu'bian'cai'bian 尚书砭蔡编
'shang'shu'biao'zhu 尚书表注
'shang'shu'chuan 尚书传
'shang'shu'da'zhuan 尚书大传
'shang'shu'da'zhuan'ding'ben 尚书大传定本
'shang'shu'da'zhuan'shu'zheng 尚书大传疏证
'shang'shu'di'li'jin'shi 尚书地理今释
'shang'shu'gu'shi 尚书故实
'shang'shu'gu'wen'shu'zheng 尚书古文疏证
'shang'shu'guang'ting'lu 尚书广听录
'shang'shu'hou'an 尚书后案
'shang'shu'ji'chuan'huo'wen 尚书集传或问
'shang'shu'ji'zhu'shu'shu 尚书集注述疏
'shang'shu'ji'zhu'yin'shu 尚书集注音疏
'shang'shu'jiang'yi 尚书讲义
'shang'shu'jin'gu'wen'zhu'shu 尚书今古文注疏
'shang'shu'jing'yi 尚书精义
'shang'shu'ju'jie 尚书句解
'shang'shu'kao'yi 尚书考异
'shang'shu'pi'chuan 尚书埤传
'shang'shu'pian'zhi 尚书骈枝
'shang'shu'qi'pian'jie'yi 尚书七篇解义
'shang'shu'quan'jie 尚书全解
'shang'shu'ri'ji 尚书日记
'shang'shu'shi'tian 尚书释天
'shang'shu'shu'yan 尚书疏衍
'shang'shu'shuo 尚书说
'shang'shu'tong'kao 尚书通考
'shang'shu'wei 尚书纬
'shang'shu'xiang'jie 尚书详解
'shang'shu'yao'yi 尚书要义
'shang'shu'yi'yi 尚书疑义
'shang'shu'yu'lun 尚书余论
'shang'shu'zheng'yi 尚书正义
'shang'shu'zhu'kao 尚书注考
'shang'shu'zhu'shu 尚书注疏
'shang'shu'zuan'chuan 尚书纂传
'shang'shuo'wen'biao 上说文表
'shang'song 商颂
'shang'tong 尚同
'shang'tong'shang 尚同上
'shang'tong'xia 尚同下
'shang'tong'zhong 尚同中
'shang'wen'yi'shu'gao 商文毅疏稿
'shang'xian 尚贤
'shang'xian'shang 尚贤上
'shang'xian'xia 尚贤下
'shang'xian'zhong 尚贤中
'shang'xiang'lu 上庠录
'shang'zi 商子
'shao'gu'ji 少谷集
'shao'guang'bu'yi 少广补遗
'shao'jin'han 邵晋涵
'shao'lao'kui'shi'li 少牢馈食礼
'shao'min 召旻
'shao'nan 召南
'shao'shi'shan'fang'bi'cong 少室山房笔丛
'shao'shi'shan'fang'bi'cong'zheng'ji 少室山房笔丛正集
'shao'shi'shan'fang'ji 少室山房集
'shao'shi'shan'fang'lei'gao 少室山房类稿
'shao'tao'lu 绍陶录
'shao'ting'shen 邵廷宷
'shao'wu'jiu'cheng'le'bu 韶舞九成乐补
'shao'xi'zhou'xian'shi'dian'yi'tu 绍熙州县释奠仪图
'shao'xing'shi'ba'nian'tong'nian'xiao'lu 绍兴十八年同年小录
'shao'xu'ji 少墟集
'shao'yang'pian 少阳篇
'shao'yi 少仪
'shao'yi'chen 邵懿辰
'shao'yi'wai'zhuan 少仪外传
'shao'yong 邵雍
'shao'zhi'hua 苕之华
'she'ci 射慈
'she'shi'sui'bi 涉史随笔
'she'yan'shuo 歙砚说
'she'yi 射义
'she'zhou'yan'pu 歙州砚谱
'shen'da'lan 慎大览
'shen'de'qian 沈德潜
'shen'fen'lan 审分览
'shen'gong 申公
'shen'jian 申鉴
'shen'kui 沈揆
'shen'kuo 沈括
'shen'ling'tu 神灵图
'shen'meng'zi 伸蒙子
'shen'nong'ben'cao'jing'bai'zhong'lu 神农本草经百种录
'shen'nong'ben'cao'jing'shu 神农本草经疏
'shen'pei 申培
'shen'pei'shi'shuo 申培诗说
'shen'shi'yue'fu'zhi'mi 沈氏乐府指迷
'shen'tong 沈彤
'shen'xian 神仙
'shen'xian'zhuan 神仙传
'shen'xing'lun 慎行论
'shen'xiu 慎修
'shen'yi 深衣
'shen'yi'jing 神异经
'shen'yi'kao 深衣考
'shen'yi'kao'wu 深衣考误
'shen'yi'shi'li 深衣释例
'shen'yin 审音
'shen'yin'yu'zhai 呻吟语摘
'shen'ying'lan 审应览
'shen'yu 沈豫
'shen'yue 沈约
'shen'zhai'ci 审斋词
'shen'zhai'ji 申斋集
'shen'zhen'bing 沈震炳
'shen'zhong 沈重
'shen'zhong'min'shi'ji 申忠愍诗集
'shen'zi 慎子
'sheng'an 升庵
'sheng'an'ji 升庵集
'sheng'an'jing'shuo 升庵经说
'sheng'an'shi'hua 升庵诗话
'sheng'bai'er 盛百二
'sheng'chao'xun'jie'zhu'chen'lu 胜朝殉节诸臣录
'sheng'diao'pu 声调谱
'sheng'hua'ji 声画集
'sheng'ji'zong'lu'zuan'yao 圣济总录纂要
'sheng'jing'tong'zhi 盛京通志
'sheng'lei 声类
'sheng'lei'biao 声类表
'sheng'min 生民
'sheng'min'zhi'shi 生民之什
'sheng'qiu'ci 圣求词
'sheng'ru'zi 盛如梓
'sheng'shi 笙诗
'sheng'shou'wan'nian'li 圣寿万年历
'sheng'song'jiu'seng'shi'bu'yi 圣宋九僧诗补遗
'sheng'xian 圣贤
'sheng'xin'za'yan 省心杂言
'sheng'xun 声训
'sheng'yu 剩语
'sheng'yu'guang'xun 圣谕广训
'sheng'yu'le'ben'jie'shuo 圣谕乐本解说
'sheng'yun'kao 声韵考
'sheng'zhai'ji 省斋集
'sheng'zu'ren'huang'di'qin'zheng'ping'ding'shuo'mo'fang'lue 圣祖仁皇帝亲征平定朔漠方略
'sheng'zu'ren'huang'di'sheng'xun 圣祖仁皇帝圣训
'sheng'zu'ren'huang'di'ting'xun'ge'yan 圣祖仁皇帝庭训格言
'sheng'zu'ren'huang'di'yu'zhi'wen'ji 圣祖仁皇帝御制文集
'shi'ben 世本
'shi'ben'yi 诗本义
'shi'ben'yin 诗本音
'shi'bian'wang 诗辨妄
'shi'bin'lu 实宾录
'shi'bu 拾补
'shi'bu'chuan 诗补传
'shi'bu'yin 诗补音
'shi'bu'zheng'shu'lei'liu 史部政书类六
'shi'cang'li'dai'shi'xuan 石仓历代诗选
'shi'cao 释草
'shi'cao'mu'chong'yu'guang'shu 诗草木虫鱼广疏
'shi'chao'lei 史钞类
'shi'chong 释虫
'shi'chou 施雠
'shi'chu 释畜
'shi'chu'ji 石初集
'shi'chuan 诗传
'shi'chuan'bian'wang 诗传辨妄
'shi'chuan'da'quan 诗传大全
'shi'chuan'ming'wu'ji'lan 诗传名物集览
'shi'chuan'pang'tong 诗传旁通
'shi'chuan'san'bian 史传三编
'shi'chuan'shi'shuo'bo'yi 诗传诗说驳义
'shi'chuan'tong'shi 诗传通释
'shi'chuan'yi'shuo 诗传遗说
'shi'da'xu 诗大序
'shi'dan 师丹
'shi'de'tang 世德堂
'shi'de'tang'shu'mu 世德堂书目
'shi'di 释地
'shi'di'li'kao 诗地理考
'shi'dian 事典
'shi'dong'ji 石洞集
'shi'er'bian 示儿编
'shi'fa 谥法
'shi'feng'bao'ji'lue 石峰堡纪略
'shi'feng'gao 始丰稿
'shi'fu 诗赋
'shi'fu'lue 诗赋略
'shi'gong 释宫
'shi'gong'zeng'zhu 释宫增注
'shi'gu 诗故
'shi'gu 释诂
'shi'gu'lun'yu'da'wen 石鼓论语答问
'shi'gu'tang'shu'hua'hui'kao 式古堂书画汇考
'shi'gu'wei 诗古微
'shi'gu'wen'kao 石鼓文考
'shi'gu'yin'bian 诗古音辨
'shi'guan 史馆
'shi'guan'li 士冠礼
'shi'gui 蓍龟
'shi'guo 十过
'shi'guo'chun'qiu 十国春秋
'shi'guo'yu 是国语
'shi'hu'shi'ji 石湖诗集
'shi'hua'bu'yi 诗话补遗
'shi'hua'zong'gui 诗话总龟
'shi'hun'li 士昏礼
'shi'huo'lue 食货略
'shi'huo'zhi 食货志
'shi'ji 史记
'shi'ji 诗缉
'shi'ji'bu'zhu 史记补注
'shi'ji'chuan 诗集传
'shi'ji'chuan'ming'wu'chao 诗集传名物钞
'shi'ji'ji'jie 史记集解
'shi'ji'kao 史籍考
'shi'ji'kuang'miu 诗纪匡谬
'shi'ji'suo'yin 史记索隐
'shi'ji'tan'yuan 史记探源
'shi'ji'yi'wen 史记疑问
'shi'ji'yin'yi 史记音义
'shi'ji'zha'ji 史记札记
'shi'ji'zheng'yi 史记正义
'shi'ji'zhi'yi 史记志疑
'shi'jia'ding'luan 诗家鼎脔
'shi'jia'lei 释家类
'shi'jia'zhai'yang'xin'lu 十驾斋养新录
'shi'jian 食鉴
'shi'jie'tong'xu 诗解统序
'shi'jie'yi 诗解颐
'shi'jing'bai'shu 诗经稗疏
'shi'jing'chuan'shuo'hui'zuan 诗经传说汇纂
'shi'jing'ji'chuan 诗经集传
'shi'jing'kao 石经考
'shi'jing'kao'yi 石经考异
'shi'jing'nian'er'bu'gu'yin'biao'ji'shuo 诗经廿二部古音表集说
'shi'jing'shi'ben'gu'yi 诗经世本古义
'shi'jing'shi'zu'kao 诗经氏族考
'shi'jing'shu'yi'hui'tong 诗经疏义会通
'shi'jing'tong'lun 诗经通论
'shi'jing'tong'yi 诗经通义
'shi'jing'xiao'xue 诗经小学
'shi'jing'yi'wen 诗经疑问
'shi'jing'yu'lun 诗经馀论
'shi'jing'yuan'shi 诗经原始
'shi'jing'yun'du 诗经韵读
'shi'jing'zha'ji 诗经札记
'shi'jiu 史纠
'shi'jiu 鸤鸠
'shi'jun'lan 恃君览
'shi'kao 诗考
'shi'ke 噬嗑
'shi'ke'pu'xu 石刻铺叙
'shi'kuan 史宽
'shi'le 释乐
'shi'lei 诗类
'shi'lei'fu 事类赋
'shi'lei'mou 是类谋
'shi'li 释例
'shi'li'ju'cang'shu'ti'ba'ji 士礼居藏书题跋记
'shi'lin'ci 石林词
'shi'lin'guang'ji 诗林广记
'shi'lin'shi'hua 石林诗话
'shi'lin'yan'yu 石林燕语
'shi'ling'lei 时令类
'shi'liu'guo'chun'qiu 十六国春秋
'shi'lue 谥略
'shi'mai 时迈
'shi'mao'shi'chuan'shu 诗毛氏传疏
'shi'men'ji 石门集
'shi'ming 释名
'shi'ming'wu'zheng'gu 诗名物证古
'shi'ming'wu'zhi 诗名物志
'shi'mo'juan'hua 石墨镌华
'shi'mu 释木
'shi'mu'zhi'jian 十亩之间
'shi'niao 释鸟
'shi'pin 诗品
'shi'ping'ci 石屏词
'shi'ping'lei 史评类
'shi'ping'shi'ji 石屏诗集
'shi'pu 食谱
'shi'qi 释器
'shi'qi'shi'kao'yi 十七史考异
'shi'qi'shi'shang'que 十七史商榷
'shi'qi'shi'zuan'gu'jin'tong'yao 十七史纂古今通要
'shi'qin 释亲
'shi'qiu 释丘
'shi'qu 石渠
'shi'qu 石臞
'shi'qu'bao'ji 石渠宝笈
'shi'qu'yi'zou 石渠议奏
'shi'ren'yu'xie 诗人玉屑
'shi'rong'lun 士容论
'shi'san'jia'yi'ji'shu 诗三家义集疏
'shi'san'jing'yi'yi 十三经义疑
'shi'san'jing'zhu'shu'zheng'zi 十三经注疏正字
'shi'sang'li 士丧礼
'shi'shan 释山
'shi'shan'ji 师山集
'shi'shan'tang 世善堂
'shi'shan'tang'cang'shu'mu 世善堂藏书目
'shi'shan'tang'cang'shu'mu'lu 室山堂藏书目录
'shi'shan'yi'an 石山医案
'shi'shen 诗沈
'shi'sheng'fen'li 诗声分例
'shi'sheng'lei 诗声类
'shi'sheng'zu 史绳祖
'shi'shi'ji'gu'lue 释氏稽古略
'shi'shi'ju'pu 史氏菊谱
'shi'shi'lei'yuan 事实类苑
'shi'shi'ming'jie 诗识名解
'shi'shi'shi'zheng 实事是正
'shi'shi'yi 施氏易
'shi'shou 释兽
'shi'shu'zhan'bi 史书佔毕
'shi'shui 释水
'shi'shuo 诗说
'shi'shuo'jie'yi 诗说解颐
'shi'shuo'xin'yu 世说新语
'shi'sou 诗薮
'shi'su 施宿
'shi'suo 诗所
'shi'tian 释天
'shi'tian'shi'xuan 石田诗选
'shi'tian'wen'ji 石田文集
'shi'tong 史通
'shi'tong'tong'shi 史通通释
'shi'tong'zi'wen 诗童子问
'shi'wei 世纬
'shi'wei 式微
'shi'wei 诗纬
'shi'wei'ji'zheng 诗纬集证
'shi'wen 释文
'shi'wen'ji 释文纪
'shi'wen'lei'ju 事文类聚
'shi'wen'ping 诗文评
'shi'wu'ji'yuan 事物纪原
'shi'wu'jia'ci 十五家词
'shi'wu'shu'mu 石屋书目
'shi'xian'sheng'ao'lun'zhu 十先生奥论注
'shi'xiang'jian'li 士相见礼
'shi'xiao'bian 识小编
'shi'xiao'xu 诗小序
'shi'xie 饰邪
'shi'xu 诗序
'shi'xu'bu'yi 诗序补义
'shi'xue'gui'fan 仕学规范
'shi'xue'san'chang 史学三长
'shi'xun 释训
'shi'yan 释言
'shi'yan'shi 施彦士
'shi'yan'yi 诗演义
'shi'yan'zhai 石研斋
'shi'yan'zhai'shu'mu 石研斋书目
'shi'yi 士翼
'shi'yi 拾遗
'shi'yi 识遗
'shi'yi 诗义
'shi'yi 诗疑
'shi'yi 释疑
'shi'yi'bian'zheng 诗疑辨证
'shi'yi'de'xiao'fang 世医得效方
'shi'yi'ji 拾遗记
'shi'yi'jing'wen'dui 十一经问对
'shi'yi'lu 拾遗录
'shi'yin 诗音
'shi'yin'ben 石印本
