'a'mu'bu'jia'nv 阿母不嫁女
'he'bi'man'rong'guang 何必满容光
'he'bi'tan'fu'you 何必叹蜉蝣
'he'bi'xian'yi'fen'bi'ci 何必嫌疑分彼此
'he'chi'bing'ji'xiong'tao'tu 何啻并殛凶饕徒
'he'chu'bu'shuo'you'yan'liang 何处不说有炎凉
'he'chu'fu'ling'cha 何处拂灵槎
'he'chu'hua'xiang'ru'ye'qing 何处花香入夜清
'he'chu'liu'quan'sheng'shi'shang 何处流泉生石上
'he'chu'tuo'chun'hui 何处托春晖
'he'dang'qi'shen'hai 何当乞身还
'he'feng'shi'jue'feng 何峰是绝峰
'he'gong'wu'bei'juan'hu'chi 何宫无碑镌护敕
'he'he'xiang'guo'men 赫赫相国门
'he'jing'ming'guan'zhang 何景明观涨
'he'jing'ming'mo'luo'yan 何景明莫罗燕
'he'jing'ming'shi'yu 何景明鲥鱼
'he'jing'ming'su'zi'you'chi'bi'tu 何景明苏子游赤壁图
'he'jing'ming'sui'yan'xing 何景明岁晏行
'he'jing'ming'wu'zhang'yuan'ye'wu'hou'mu 何景明五丈原谒武侯墓
'he'jing'ming'xiao'jing'si'shou 何景明小景四首
'he'kuang'gu'xiang'ren 何况故乡人
'he'kuang'tian'jia'di'yu'xiong 何况田家弟与兄
'he'kuang'tu'guan'qi'qie'ju 何况土官妻妾俱
'he'lan'bu'zhan'shang'fang'jian 贺兰不斩尚方剑
'he'lang'fen'chang'xuan 何郎粉唱玄
'he'liang'ri'mu'xing'ren'shao 河梁日暮行人少
'he'lv'cheng'xi'mu'yu'shou 阖闾城西暮雨收
'he'mo'shang'sheng'yan 和墨尚生妍
'he'nian'jian'ru'gui 何年见汝归
'he'qi'cuo'wei'di 何其错为地
'he'ren'bu'ke'chuan 何人不可传
'he'ren'bu'shuo'huan'you'le 何人不说宦游乐
'he'ren'dian'yi'bei 何人奠一杯
'he'ren'jiang'shang'yi'zhu'lou 何人江上倚朱楼
'he'ren'ye'chui'di 何人夜吹笛
'he'shi'jiang'shan'wai 何事江山外
'he'shi'le'chang'zheng 何事乐长征
'he'shu'fen'yun'man'qian'mo 禾黍纷纭满阡陌
'he'shui'qian'qie'hun 河水浅且浑
'he'wu'lao'yu'yi'qing'shi 何物老妪亦青史
'he'yan'zhong'lu'xiang'qi'juan 何言中路相弃捐
'he'yong'bang'ren'shuo'dao'jin 何用傍人说到今
'he'zhou'feng'zhong'yan'hang'chi 河洲风重雁行迟
'hei'long'duan'shou'zuo'yin'qi 黑龙断首作饮器
'hei'song'mi'chu'qiu'ying'yu 黑松密处秋萤雨
'hen'sha'han'xiu'lao'wu'jian 恨杀韩休老无谏
'heng'chuo'yi'shi'fei 恒辍衣食费
'heng'e'bin'shuang'chui'liang'jian 姮娥鬓霜垂两肩
'heng'nan'na'you'yan'fei'hui 衡南那有雁飞回
'heng'tang'du 横塘渡
'hong'lou'da'xing'fu 红楼大姓妇
'hong'qiao'yi'duan'xin'mang'ran 虹桥一断心茫然
'hong'qiao'ying'luo'lang'hua'li 虹桥影落浪花里
'hong'quan'bi'shu'dai'ren'lai 红泉碧树待人来
'hong'tao'ming'ming'xi'feng'ji 洪涛冥冥夕风急
'hong'xiao'mo'tou'pao'xiu'jie 红绡抹头袍袖结
'hong'xiu'shui'jia'cheng'xiao'ting 红袖谁家乘小艇
'hong'yan'fu'yi'fei'zhen'zhen 鸿雁凫鹥飞阵阵
'hong'yan'gao'fei'mu'ye'dan 鸿雁高飞木叶丹
'hong'yan'neng'ji'shi 红颜能几时
'hong'yan'shao'jing'guo 鸿雁少经过
'hong'zhuang'zhao'jian'shu'fen'ming 红妆照见殊分明
'hou'jia'zhu'di'qiang'xiang'yao 侯家主第强相邀
'hou'lai'du'shui'hu 后来读水浒
'hou'lai'qun'mo'chu'kong'qiao 后来群魔出孔窍
'hou'lai'shi'tian'zi 后来失天子
'hou'lao'nan'yan'yu'duan'hun 猴老难延欲断魂
'hou'liu'chao 后六朝
'hou'ting'fang'yi'yi 后庭方熠熠
'hou'ying'zhong'yi'yan 侯嬴重一言
'hou'you'lv'ji'qian'bian'zhao 后有吕纪前边昭
'hou'zhan'wei'yi'reng'qian'pan 后瞻未已仍前盼
'hu'bian'feng'mu'shu 湖边逢牧竖
'hu'bu'zao'zou'shen'yan'ju 胡不早走深岩居
'hu'er'yi'shi'yan'zhi'shan 胡儿已失燕支山
'hu'fu'jian'chen'ri 忽复见晨日
'hu'hai'pian'zhou'bai'fa'xian 湖海扁舟白发闲
'hu'han'ye'guo'liang'shan'luo 胡翰夜过梁山泺
'hu'jian'huang'hua'bei'chou'chang 忽见黄花倍惆怅
'hu'jian'you'huang'yan'wei'ming 忽见幽篁眼为明
'hu'lu'you'shen'ru 胡虏犹深入
'hu'ma'ru'yun'zou'shi'cheng 胡马如云走石城
'hu'nan'ren'jia'zhong'duan'wu 湖南人家重端午
'hu'niang'kong'sa'jiao'ti'xue 狐娘空洒娇啼血
'hu'ren'li'gu'rou 胡忍离骨肉
'hu'shang'tao'hua'xiang'ying'hong 湖上桃花相映红
'hu'tian'fei'jin'long'tou'yun 胡天飞尽陇头云
'hu'tong'shou'luo'ying 呼童收落英
'hu'wei'bai'shou'zun 虎为百兽尊
'hu'wei'heng'bo'ji 湖尾横波急
'hu'yan'qing'pao'ti'zhan'xiu 忽掩青袍涕沾袖
'hu'yi'gao'huang'ge'meng'shi 忽忆高皇歌猛士
'hua'bi'ren'jia'bie'kai'zao 花比人家别开早
'hua'dou'hua'ke'cheng'wa'lie 花窦花窠成瓦埒
'hua'e'lou'tou'ri'chu'duo 花萼楼头日初堕
'hua'kai'jiu'yuan'chi 花开旧园池
'hua'lin'yao'yuan'zhu'zei'tu 华林姚源诸贼徒
'hua'peng'liu'shi'wei'chun'feng 花棚柳市围春风
'hua'piao'wu'lu'chun'xiang'man 花飘雾露春香满
'hua'qing'feng'yu'xiao'xiao'ye 华清风雨萧萧夜
'hua'qun'man'nu'zhu'fu'nv 花裙蛮奴逐妇女
'hua'ruo'hou'tu'lie 划若厚土裂
'hua'shi'jun'chen'qi'guo'qiu 花石君臣弃国秋
'hua'tu'shui'sheng'shi 画图谁省识
'hua'wai'yi'wang'feng 化外亦王封
'hua'wai'zi'gui'yan'shi'yue 花外子规燕市月
'hua'wu'ru'zhi'bi 华屋如栉比
'hua'yang'jie'shi'zong'huang'wu 华阳碣石总荒芜
'hua'yao'yu'zhang'chun 花摇玉帐春
'hua'yue'man'tian'jie 华月满天街
'hua'zuo'can'chun'yu 花作残春雨
'hua'zuo'xuan'cao'zhi 化作萱草枝
'huai'liu'guan'lu'pang 槐柳官路旁
'huai'zhong'kan'bu'guo 怀中看哺果
'huan'ai'wei'yun'jing 欢爱未云竟
'huan'feng'run'yue'cui 欢逢闰月催
'huan'qi'kai'men'kan'ye'chao 唤起开门看夜潮
'huan'qing'yi'pian'ying 宦情一片影
'huang'cun'san'hu'ji 荒村三户寂
'huang'cun'xiao'er'bu'huang'que 荒村小儿捕黄雀
'huang'fu'pang'ji'yi 皇甫汸寄忆
'huang'fu'pang'run'qi'xi 皇甫汸闰七夕
'huang'hu'tiao'liang'zhui'chi'hu 黄狐跳踉追赤狐
'huang'hu'yu'ju'liu'he'zhe 黄鹄欲举六翮折
'huang'hua'cui'man'zi'lei'lei 黄花翠蔓子累累
'huang'hua'wu'zhu'wei'shui'rong 黄花无主为谁容
'huang'huang'kui'jing'duo'xin'gui 荒荒葵井多新鬼
'huang'hun'yan'wo'zuo 黄昏延我坐
'huang'jin'wei'zhi'ji 黄金为之鞿
'huang'jin'xiao'niu'qian'shan'wen 黄金小纽茜衫温
'huang'ju'kan'ru'ke 黄菊看如客
'huang'niao'xiang'ren'kong'bai'zhuan 黄鸟向人空百啭
'huang'niu'mai'de'xin'ken'tian 黄牛买得新垦田
'huang'qi'ru'luo'jing'he'xiang 黄旗入洛竟何祥
'huang'que'ru'luo'yan'ru'mu 黄雀入罗燕入幕
'huang'tai'gu'yue'shui'lin'lin 荒台古月水粼粼
'huang'ting'mo'shen'xin 荒亭墨瀋新
'huang'tu'shi'nian'bei'gu'you 黄土十年悲故友
'huang'ye'nian'nian'jing'sui'wan 黄叶年年惊岁晚
'huang'yu'yao'yin'xiao'shan'tu 晃玉摇银小扇图
'huang'yun'juan'di'chun'cao'si 黄云卷地春草死
'huang'zhu'hui'luan'xue'wei'gan 黄竹回銮雪未干
'huang'zhu'you'bei'ai 黄竹有悲哀
'huang'zuo'nan'zheng'ci'zhi'wu 黄佐南征词之五
'hui'biao'zhen'kong'zhi 回飙振空至
'hui'feng'bei'yao'xin 蕙风悲摇心
'hui'feng'dong'yu'jie'cheng'xue 回峰冻雨皆成雪
'hui'han'ru'yu'jin'cheng'feng 挥汗如雨斤成风
'hui'shou'ji'men'gao'sha'qi 回首蓟门高杀气
'hui'shou'xi'ceng'bei'gu'guo 回首昔曾悲故国
'hui'shou'zheng'tu'shang 回首征途上
'hui'tou'le'shi'fu'yun'gai 回头乐事浮云改
'huo'luan'chu'ping'shi'xiu'xi 祸乱初平事休息
'huo'qian'tan'yan'guan 获谴叹言官
'huo'shao'ye'cao'bei'wu'wen 火烧野草碑无文
'huo'you'song'nan'chong'dao'tong 或有送男充道童
'ji'bei'xiang'nan'ju'ru'yan 蓟北湘南俱入眼
'ji'bu'wu'er'nuo 季布无二诺
'ji'chu'gui'zhong'guan'xiu'hu 几处闺中关绣户
'ji'cong'jing'wu'kan'shen'shi 即从景物看身世
'ji'cong'mu'yu'tang'li'kai 棘丛暮雨棠梨开
'ji'de'jiu'you'tian'shang'meng 记得旧游天上梦
'ji'du'zhan'xue'liu'han'chao 几度战血流寒潮
'ji'fan'meng'li'tuo'gen'chen 几番梦里脱根尘
'ji'gou'bu'de'an 鸡狗不得安
'ji'he'fan'fei'bu'wei'ren 饥鹤翻飞不畏人
'ji'huai'qiang'xiao'huan 羁怀强笑欢
'ji'huan'an'yong'shi 既宦安用是
'ji'hui'bai'ri'ji'huang'hun 几回白日几黄昏
'ji'hun'wei'shi'yin'feng'ming 饥魂未食阴风鸣
'ji'ji'gua'tian'shi'gu'hou 寂寂瓜田识故侯
'ji'ji'kou'jia'ting 记集寇家亭
'ji'ji'wu'sheng'ban'dao'ming 寂寂无声伴到明
'ji'jia'wei'bang'shui 几家危傍水
'ji'lan'cun'shi'xuan 鸡阑村市喧
'ji'lei'ye'po'jiao'long'xia 疾雷夜破蛟龙罅
'ji'liang'shi'ri'shao 赍粮十日少
'ji'ling'fang'shuo'jiao'qi'san 即令方朔浇岂散
'ji'men'ci'ri'zhan'yi'xiang 蓟门此日瞻遗像
'ji'men'dan'zhao'zhong'pai'huai 蓟门丹旐重徘徊
'ji'mo'huang'jin'qi 寂寞黄金气
'ji'mu'ji'hun'shi'er'shi 极目羁魂十二时
'ji'mu'wu'men'zhu'ma'nan 极目吴门驻马难
'ji'qu'han'bing'zhui'kou'di 记取汉兵追寇地
'ji'ren'ceng'zuo'song'xing'shi 几人曾作送行诗
'ji'ren'chuan'ru'hua'tu'kan 几人传入画图看
'ji'ren'hua'zai'gu'yuan'kan 几人花在故园看
'ji'shang'qian'li'mu 既伤千里目
'ji'shu'chu'xue'jiu'jiu'ming 饥鼠出穴啾啾鸣
'ji'tuo'zheng'ren'qi 击柝征人起
'ji'wang'nan'hong'jin'sai'fei 几望南鸿近塞飞
'ji'xin'hu'zi'jing 羁心忽自惊
'ji'xu'dai'fu'song 几许大夫松
'ji'ye'you'kong'tai 蓟野有空台
'ji'yu'cai'sang'nan'mo'nv 寄语采桑南陌女
'jia'cang'si'yin'lv'yi'zhu 家藏私印屡易主
'jia'di'kai'zhong'kui 甲第开中逵
'jia'ji'mei'ren'gui'shang'gong 假髻美人归上公
'jia'jia'jin'cheng'guan'zhang'xian 家家尽称官长贤
'jia'jia'lou'ge'ceng'ceng'ti 家家楼阁层层梯
'jia'jia'mai'de'wu'zai'chuan 家家买得巫在船
'jia'jia'you'er'zao'sha'lu 家家有儿遭杀虏
'jia'jia'you'wu'tun'jun'wu 家家有屋屯军伍
'jia'jia'zhong'miao'shi'yun'yi 家家种苗始云已
'jia'ling'hui'shou'zhuan'you'you 嘉陵回首转悠悠
'jia'pin'chang'wei'dao'liang'mou 家贫常为稻粱谋
'jia'pin'si'liang'qi 家贫思良妻
'jia'pin'wei'neng'wei 家贫未能为
'jia'qi'cong'cong'zhi'jin'wang 佳气葱葱至今王
'jia'qi'zai'he'xu 佳期在何许
'jia'quan'er'du'mo 家全尔独殁
'jia'ren'guai'he'yong 家人怪何用
'jia'ren'ji'cheng'yuan 家人计程远
'jia'shi'kan'lian'zhao'shi'gu 家世堪怜赵氏孤
'jia'shu'shi'wu'xing 家书十五行
'jia'tan'cen'ci'jiao 葭菼参差交
'jian'che'chen'zhu'shi'che'yuan 槛车尘逐使车辕
'jian'er'bao'you'ji 兼尔抱忧疾
'jian'fu'xia'yao'chi 剪拂下瑶墀
'jian'jue'zhen'he'feng'xiao'xiao 渐觉振翮风萧萧
'jian'jun'nan'wei'qing 见君难为情
'jian'jun'qing'shang'er 见君情尚尔
'jian'ke'han'xiu'jiao'bu'yu 见客含羞娇不语
'jian'kou'he'ceng'shuo'shi'fei 缄口何曾说是非
'jian'nan'ci'ri'mo'ci'pin 艰难此日莫辞贫
'jian'shu'shui'kai'qin'miao'qian 荐熟谁开寝庙前
'jian'shuo'ping'an'shou'ti'lei 见说平安收涕泪
'jian'shuo'wu'hu'gong'yin'ma 见说五湖供饮马
'jian'sui'xun'yang'guan 饯岁浔阳馆
'jian'teng'bu'jian'shu 见藤不见树
'jian'xun'ceng'deng'zai'jing'hua 兼旬蹭蹬在京华
'jian'yu'zuo'hong'bo 兼雨作洪波
'jian'zhang'gong'li'chang'sheng'dian 建章宫里长生殿
'jian'zhe'guo'zuo'chang 见者国祚昌
'jian'zhi'zhao'hun'wei'gong'ku 剪纸招魂为公哭
'jian'zhu'zeng'shu'tai 剪烛增殊态
'jiang'bei'jiang'nan'wu'xian'qing 江北江南无限情
'jiang'dong'feng'huo'yi'nan'zhi 江东烽火已难知
'jiang'du'gong'li'fei'ying'duo 江都宫里飞萤多
'jiang'fan'hai'jiao'zou'liu'ding 江翻海搅走六丁
'jiang'fan'ru'jing'yi'gua'bu 江帆入镜移瓜步
'jiang'feng'chui'zhao'song'ren'han 江风吹棹送人寒
'jiang'he'xie'er'tou 将何谢尔偷
'jiang'huai'ming'pao'huo 江淮明炮火
'jiang'jing'ri'yu'wen'hua'dian 讲经日御文华殿
'jiang'ling'ba'shi'liu'lang'chu 江陵罢事刘郎出
'jiang'lou'wu'zhu'lu'qi'qing 江楼无烛露凄清
'jiang'nan'nian'shao'wei'ceng'wen 江南年少未曾闻
'jiang'nan'sui'hao'shi'ta'xiang 江南虽好是他乡
'jiang'ping'qiu'wan'li 江平秋万里
'jiang'qiao'shui'zha'duo'jiu'lu 江桥水栅多酒垆
'jiang'shan'fei'gu'li 江山非故里
'jiang'shan'wu'gu'jue'qing'sheng 江山无故觉情生
'jiang'shan'xiang'xiong'bu'xiang'rang 江山相雄不相让
'jiang'shang'huan'sha'lang'bu'jian 江上浣纱郎不见
'jiang'shang'xue'lai'yun'pian'hei 江上雪来云片黑
'jiang'shen'liang'shi'han'wei'cheng 江甚凉时寒未成
'jiang'sheng'che'ye'jiao'li'chou 江声彻夜搅离愁
'jiang'sheng'yue'se'na'kan'shuo 江声月色那堪说
'jiang'shui'man'ru'yue 江水满如月
'jiang'shui'yi'qian'li 江水一千里
'jiang'tou'bai'ta'jin'ke'jian 江头白塔今可见
'jiang'tou'lao'chen'lei'an'di 江头老臣泪暗滴
'jiang'wei'deng'huo'sa'han'biao 绛帷灯火飒寒飙
'jiang'yan'you'gui'sheng 江雁有归声
'jiang'yu'bu'lun'qian 江鱼不论钱
'jiang'yun'chu'san'shui'feng'liang 江云初散水风凉
'jiao'cu'shou'pi'kou'xiang'shan 脚蹴手批口相讪
'jiao'pan'bai'jiu'zi'liu'lian 椒盘柏酒自留连
'jiao'qing'sheng'si'tian'lai'da 交情生死天来大
'jiao'sheng'liang'xiang'dang 交生两相当
'jiao'shou'cang'mang'jiong'zi'chou 矫首苍茫迥自愁
'jiao'tai'gui'fang'shi 交态归方识
'jiao'tuo'gan'yu'tian'zi'jing 矫托敢与天子竞
'jiao'you'luo'luo'ju'xing'san 交游落落俱星散
'jiao'zi'hai'yu'shan'long'cheng 娇姿还欲擅龙城
'jie'an'xi'ma'tang'qian'shu 解鞍系马堂前树
'jie'er'xiao'deng'tian'zi'chuang 羯儿晓登天子床
'jie'jin'cheng'du'qin 解襟成独寝
'jie'mao'he'ri'ding 结茅何日定
'jie'qian'xiang'xiang'ming 阶前相向鸣
'jie'ren'ting'guan'kan'li'hua 借人亭馆看梨花
'jie'wo'du'he'wei 嗟我独何为
'jie'wo'jiu'shi'yi 嗟我久失意
'jie'wu'deng'gao'yu'wei'cheng 节物登高雨未成
'jie'yu'shen'xian'zuo'wan'ge 解与神仙作挽歌
'jin'ba'jin'qian'mai'zhi'fen 尽把金钱买脂粉
'jin'bo'wei'ying'chou'si'shi 金帛未应酬死士
'jin'bo'zi'nv'shan'bu'ru 金帛子女山不如
'jin'chai'bao'dian'wei'zhu'cui 金钗宝钿围珠翠
'jin'chang'men'wai'zei'huo'chi 金阊门外贼火赤
'jin'chuan'men'wai'gu'sheng'si 金川门外鼓声死
'jin'dong'you'ren'zi'jing'zhi 今冬有人自京至
'jin'gong'du'shi'mo'gan'he 劲弓毒矢莫敢何
'jin'gu'ping'ling'lian'zhai'yi 金鼓平陵怜翟义
'jin'guo'tao'ye'du 今过桃叶渡
'jin'ji'zhi'chu'ba 锦机织初罢
'jin'jiang'jiang'se'yu'qing'zhou 尽将江色与轻舟
'jin'jun'feng'zhao'lai'shang'dou 今君奉诏来上都
'jin'li'jin'qu'chi 筋力尽驱驰
'jin'liang'qiao'wai'yue'ru'shuang 金梁桥外月如霜
'jin'luan'chu'xi 金銮除夕
'jin'luan'piao'mu'ci 金銮漂母祠
'jin'luan'yin'he 金銮银河
'jin'nian'hua'fu'kai 今年花复开
'jin'nian'meng'duan'jiu'feng'yun 今年梦断九峰云
'jin'nian'wo'huan'jia 今年我还家
'jin'qi'yi'sun'li'quan'zi 今其裔孙醴泉子
'jin'qu'dang'ji'shi 进趋当及时
'jin'qu'you'liang'gong'wen'shui 尽取幽凉供稳睡
'jin'ri'dan'yan'fang'cao'li 今日淡烟芳草里
'jin'ri'lu'bang'sang'man'qi 今日路傍桑满畦
'jin'ri'qu'shi'xu'song'xing 今日去时须送行
'jin'ri'xiang'yao'yang'bu'chu 今日相邀佯不出
'jin'shui'yu'mi'ge'shan'lv 近水欲迷歌扇绿
'jin'sui'ren'jia'fan'bu'zu 今岁人家饭不足
'jin'suo'jiao'chan'qin'du'long 金鏁交缠擒毒龙
'jin'wang'gong'mo'ba'you'yan 今王恭默罢游宴
'jin'wen'hu'tu'yi'zheng'ji 近闻狐兔亦征及
'jin'wu'cheng'en'shi'yi'fei 金屋承恩事已非
'jin'wu'you'si'gong'nv'shi 金屋犹思宫女侍
'jin'xi'fen'yin'ji 今昔分隐霁
'jin'xi'wei'he'xi 今夕为何夕
'jin'xiao'he'xing'de'wen'wen 今宵何幸得温温
'jin'xiao'jiang'he'shang 今宵绛河上
'jin'xie'qing'ying'chui'wan'pian 金薤青荧垂万篇
'jin'yan'hong'cui'wu'feng'chi 锦嫣红翠午风迟
'jin'ye'deng'hua'sheng 今夜灯花生
'jin'ye'xi'feng'leng 今夜西风冷
'jin'ye'yue'ming'hai'zai'di 今夜月明还在地
'jin'yi'yu'shi'yi'dao'qie 锦衣玉食已叨窃
'jin'yin'wei'tang'yu'bu'di 金银为堂玉布地
'jin'you'dao'huan'xiang'lu'tong 近有盗换香炉铜
'jin'zeng'she'ji'he'rong'ri 金缯社稷和戎日
'jin'zhao'hua'chu'xi'ling'lu 今朝画出西泠路
'jing'guo'lei'ying'jin 经过泪盈襟
'jing'ji'juan'wo'mao 荆棘罥我毛
'jing'juan'ning'wan'zhuang 静娟凝晚妆
'jing'luo'tian'men'wan'pian'qiu 惊落天门万片秋
'jing'ning'nian'zhong'bin'bei'guo 竟宁年中宾北国
'jing'qi'cang'hai'zang'tian'heng 旌旗沧海葬田横
'jing'qi'yao'bai'ri 旌旗摇白日
'jing'qi'you'xian'meng 惊起游仙梦
'jing'qi'you'ying'mu'shan'zi 旌旗犹映暮山紫
'jing'shi'mao'wu'yan'xing'li 经时茅屋淹行李
'jing'tai'qiang'lin'kui 镜台强临窥
'jing'tun'ao'heng'na'ke'ce 鲸吞鳌横那可测
'jing'yi'chang'xiang'yi 经以长相忆
'jing'zao'mei'tai'shen 井灶莓苔深
'jing'zhong'an'jue'chao'sheng'shang 井中暗觉潮声上
'jiong'ru'chou'hu'zi'yu'lie 迥如愁胡眦欲裂
'jiu'bei'du'qi'ci 就碑读其词
'jiu'han'pi'ni'yi'qi'qin 酒酣睥睨意气亲
'jiu'han'zou'shang'cheng'nan'tai 酒酣走上城南台
'jiu'jiu'ji'ji'bu'de'bu 啾啾唧唧不得哺
'jiu'quan'xian'de'shi'chen'hun 九泉先得侍晨昏
'jiu'ren'bai'wan'shun 旧人百宛顺
'jiu'shi'wang'xie'jian'ying'xi 旧时王谢见应稀
'jiu'sui'yi'yan'xin'sui'bi 旧岁已晏新岁逼
'jiu'tian'sheng'luo'qian'ren'ting 九天声落千人听
'jiu'wei'sui'qian'qing'zi'shen 酒味虽浅情自深
'jiu'ye'cheng'kui'yuan 旧业成暌远
'jiu'you'hui'jian'zhu'cheng'shi 旧游会见筑城时
'jiu'yuan'ren'bu'fan 九原人不返
'jiu'yue'shuang'feng'luo'hong'zao 九月霜风落红枣
'jiu'yue'yi'shu'wu 九月一书无
'jiu'yue'you'shi'jiu'ri'gong 救月有矢救日弓
'jiu'zhong'xiao'xi'shui'wei'ci 就中消息谁为此
'jiu'zhou'dang'dang'qing'wu'yan 九州荡荡清无烟
'ju'an'yu'mei'qi 举案与眉齐
'ju'bei'wen'yue'yue'bu'yan 举杯问月月不言
'ju'gan'zao'jian'fa 巨干遭剪伐
'ju'min'liu'luo'ye'yan'kong 居民流落野烟空
'ju'qiu'yu'mei'gao'an'tui 巨丘欲没高岸颓
'ju'ren'bi'chuan'xia 居人蔽川下
'ju'tou'guan'tian'kong'tian'lou 举头观天恐天漏
'ju'zhi'yan'shuang'yue 讵知严霜月
'juan'lian'kan'xue'guo'yuan'hu 卷帘看雪过鸳湖
'juan'yan'xin'sui'jin 睠言新岁近
'jue'dai'liang'jia'shi'wu'yu 绝代良家十五余
'jue'hou'fan'xian'zai'you'shen 觉后翻嫌再有身
'jue'lai'lv'zhai'kong 觉来旅斋空
'jue'sheng'chu'chuan'you'xuan'yu 绝胜厨传有悬鱼
'jun'bu'jian'ci'po'you'mei'ming'qing'nu 君不见此婆有妹名青奴
'jun'bu'jian'dong'jia'qi 君不见东家妻
'jun'bu'jian'gu'ren'shu'sang'zai'qiang'xia 君不见古人树桑在墙下
'jun'bu'jian'shu'dao'zhi'pi'wu'ding'shen 君不见蜀道之辟五丁神
'jun'bu'jian'xin'an'yi'ye'qin'ren'chou 君不见新安一夜秦人愁
'jun'bu'shi'wo'wo'ai'jun 君不识我我爱君
'jun'chen'di'xia'hui'xiang'jian 君臣地下会相见
'jun'en'dang'duan'jue 君恩当断绝
'jun'gui'guo'xi'shang 君归过溪上
'jun'jia'men'qian'shui 君家门前水
'jun'jia'zhong'feng'xia 君家重峰下
'jun'jia'zui'ke'ren 君家最可认
'jun'kan'bu'ru'zhi 君看不如纸
'jun'lian'you'zi'gua'gua'qi 君怜幼子呱呱泣
'jun'wang'gang'ji'tui'chao'shi 君王刚及退朝时
'jun'yan'bu'ru'shui 君咽不如水
'jun'yi'xian'ceng'zhi'wo'ming 君亦先曾知我名
'jun'zheng'nan'gui'zhao 君整南归棹
'jun'zi'ke'hui'nong'you'ke 君自客回侬又客
'kai'jian'ban'sao'feng'yun'hei 开缣半扫风云黑
'kai'jian'bu'sheng'shi'he'shi 开缄不省是何时
'kai'men'gua'xiao'shao 开门絓蟏蛸
'kai'xia'bu'zhi'shuang'lei'xia 开匣不知双泪下
'kai'yuan'quan'sheng'ji'duo'shi 开元全盛几多时
'kan'duo'zi'cheng'gu 看多自成故
'kan'guan'bu'shi'hang'zhou'yu 看官不识杭州语
'kan'hua'lei'kong'chui 看花泪空垂
'kan'jun'yi'shi'wu'jia'ke 看君已是无家客
'kan'ren'er'nv'da 看人儿女大
'kang'kai'zhi'you'cun 慷慨志犹存
'kao'shang'you'jiu'niu'yang'zhu 犒赏有酒牛羊猪
'ke'bian'nan'jian'chong'yang'hao 客边难见重阳好
'ke'chou'chang'tu'wu 客愁常突兀
'ke'dai'pan'jian'can 可代盘间飱
'ke'ju'yuan'jiang'mei 客居远江湄
'ke'lei'wu'geng'sheng 客泪五更声
'ke'li'bu'gan'jia'jie'guo 客里不甘佳节过
'ke'lian'chi'bi'yue'zhi'wang 可怜持比月氏王
'ke'lian'er'hu'he'tai'yu 可怜尔虎何太愚
'ke'lian'feng'yu'shuang'xue'shi 可怜风雨霜雪时
'ke'lian'lao'shu'wu'hua'fa 可怜老树无花发
'ke'lian'san'yue'cao 可怜三月草
'ke'lian'shu'dao'gui'lai'ke 可怜蜀道归来客
'ke'nai'yu'bian'liu'bu'zhu 可奈玉鞭留不住
'ke'xin'heng'wei'chou 客心恒畏愁
'ke'yi'su'yi'bian 客衣素已变
'ke'you'mo'ting'han'jia'qi 客游莫听寒笳起
'ke'yuan'duo'bing'shao'jing'shen 可缘多病少精神
'ke'zhong'fei'shou'sui 客中非守岁
'ke'zhong'shui'wei'feng'chun'yi 客中谁为缝春衣
'ke'zi'chu'shan'qu 客子出山去
'ken'xin'nong'xin'tie'shi'ban 肯信侬心铁石般
'kong'cheng'huang'kou'dai'wo'gui 空城黄口待我归
'kong'diao'huan'zhou'yi'pou'tu 空吊环州一抔土
'kong'huai'gu'guo'qing 空怀故国情
'kong'jiang'ji'xue'tian'shuang'bin 空江积雪添双鬓
'kong'jie'gao'miao'zi'cang'gong 空嗟高庙自藏弓
'kong'kuo'yu'long'wu 空阔鱼龙舞
'kong'meng'shan'se'qing'hai'yu 空濛山色晴还雨
'kong'que'fei'cui'jian'pi'xiong 孔雀翡翠兼罴熊
'kong'shan'gu'lin'jiang'nu'tao 空山古林江怒涛
'kong'shan'jin'mou'sa'han'qi 空闪金眸洒寒泣
'kong'shan'ti'ye'yuan 空山啼夜猿
'kong'shan'wu'ban'mu'wu'zhi 空山无伴木无枝
'kong'wai'zhao'ge'sheng 空外棹歌声
'kong'xiang'gong'wei'dan'xu'hao 空向宫闱啗虚耗
'kong'yu'shan'shui'qing 空余山水情
'kong'zhou'sui'chu'bo 空舟随处泊
'kou'men'wu'ren'shi'wu'fu 叩门无人室无釜
'ku'song'xiang'yuan'bei 哭送向远陂
'ku'yu'kong'fu'ci'sheng'bei 枯鱼空负此生悲
'ku'yu'wan'jia'chou 苦雨万家愁
'kuai'zai'er'hai'tong'ri'jin 快哉二害同日尽
'kuang'fu'ku'ying'song 况复苦迎送
'kuang'ge'wen'jiu'jia 狂歌问酒家
'kuang'jiao'yan'de'tao 狂狡焉得逃
'kuang'wen'han'yan'xia'jiang'hu 况闻寒雁下江湖
'kui'wo'cai'fei'du'mu'zhi 愧我才非杜牧之
'kui'zhou'fu'cheng'bai'di'xi 夔州府城白帝西
'la'zhu'ji'sheng'qu 腊逐鸡声去
'lai'dao'er'bian'tian'yi'qiu 来到耳边天已秋
'lai'shi'yi'xiang'guan'dao'ying 来时忆向官道迎
'lai'zhe'dan'kan'xuan'ming'gong 来者但看玄明宫
