'an'fu 暗敷
'si'tong'xuan'sai'fa 四通旋塞阀
'si'wang'cu'lv'qi 丝网粗滤器
'song'jin'luo'xuan'kou 松紧螺旋扣
'song'tao'ban'shi'fa'lan 松套板式法兰
'song'tao'dai'jing'fa'lan 松套带颈法兰
'song'tao'fa'lan 松套法兰
'song'tao'lian'jie 松套连接
'su'liao 塑料
'su'liao'guan 塑料管
'su'xing 塑性
'suan'du 酸度
'suan'shu'ping'jun'cu'cao'gao'du 算术平均粗糙高度
'suan'xing'qi 酸性气
'sui'dao'shi'gan'zao'qi 隧道式干燥器
'sui'shi'pu'mian 碎石铺面
'sun'mian 榫面
'suo'de'shui 所得税
'suo'jin'luo'mu 锁紧螺母
'suo'mu'na'zi 锁母纳子
'suo'quan'su'liao 缩醛塑料
'suo'yin 索引
'suo'yin'tu 索引图
'ta'fu'jian 塔附件
'ta'qun'zuo 塔裙座
'tan'gang 碳钢
'tan'gang'guan 碳钢管
'tan'hua 碳化
'tan'huang'dian'quan 弹簧垫圈
'tan'huang'diao'jia 弹簧吊架
'tan'huang'gang 弹簧钢
'tan'huang'heng'li'diao'jia 弹簧恒力吊架
'tan'huang'heng'li'tuo'jia 弹簧恒力托架
'tan'huang'jia 弹簧架
'tan'huang'qiu'shi'zhi'hui'fa 弹簧球式止回阀
'tan'huang'tuo'jia 弹簧托架
'tan'huang'xi'shu 弹簧系数
'tan'huang'zhi'cheng'jia 弹簧支撑架
'tan'su'gang 碳素钢
'tan'suan'mei 碳酸镁
'tan'xing'ji'xian 弹性极限
'tan'xing'mo'liang 弹性模量
'tang'ci 搪瓷
'tao'ci 陶瓷
'tao'guan'bao'hu'guan 套管保护管
'tao'tong 套筒
'tao'tu'guan'gang'wa'guan 陶土管缸瓦管
'tao'xiu 套袖
'te'bie'cheng'bao'ren'shui 特别承包人税
'te'shu'fa'lan 特殊法兰
'te'shu'guan'jia 特殊管架
'te'xi'ya'luo'wen 特细牙螺纹
'ti'ji 体积
'ti'xing'luo'wen 梯形螺纹
'tian'chuang 天窗
'tian'han'shi'bu'chang'qi 填函式补偿器
'tian'liao 填料
'tian'liao'han 填料函
'tian'liao'han'ya'gai 填料函压盖
'tian'liao'ji'tian'liao'han 填料及填料函
'tian'liao'ta 填料塔
'tian'liao'xiang 填料箱
'tian'liao'zhi'chi'ban 填料支持板
'tian'ran'bai'xiang'jiao'dian'pian 天然白橡胶垫片
'tian'ran'qi 天然气
'tian'ran'xiang'jiao 天然橡胶
'tian'ying'cai'liao 填颖材料
'tiao'han 跳焊
'tiao'jie 调节
'tiao'jie'fa 调节阀
'tiao'zhi 调质
'tie'he'jin'gang'guan 铁合金钢管
'ting'che 停车
'tong'chang'luo'wen 通长螺纹
'tong'feng'shi 通风室
'tong'guan 铜管
'tong'ji'cai'liao'zhun'que'du 统计材料准确度
'tong'qi'kong 通气孔
'tong'xin'yi'jing'guan 同心异径管
'tong'yong'guan'jia 通用管架
'tong'yong'lian'jie'zu 通用连接组
'tou'biao 投标
'tou'guan 透管
'tou'jing'shi'dian'pian 透镜式垫片
'tou'ming'de 透明的
'tou'shi'tu 透视图
'tu'biao 图表
'tu'ceng 涂层
'tu'er'shi 凸耳式
'tu'hao 图号
'tu'li 图例
'tu'mian 凸面
'tu'mian 突面
'tu'mian'biao'zhu 图面标注
'tu'ming 图名
'tu'qi 涂漆
'tu'qi'ji'fu'shi'zhong'lei 涂漆及腐蚀种类
'tu'yuan'duan'jie 突缘短节
'tuan'zhen 湍振
'tui'huo 退火
'tui'li 推力
'tuo'jia 托架
'tuo'liu'fan'ying'qi 脱硫反应器
'tuo'qi'ta 脱气塔
'tuo'yan'shui 脱盐水
'tuo'yan'zhuang'zhi 脱盐装置
'tuo'yang'qi 脱氧器
'tuo'yuan'feng'tou 椭圆封头
'tuo'yuan'huan'xing'dian'pian 椭圆环形垫片
'tuo'yuan'xing'feng'tou 椭圆形封头
'tuo'zuo 托座
'wai'ce'hou'du'qie'xie'jiao 外侧厚度切斜角
'wai'ding'wei'huan 外定位环
'wai'guan 外观
'wai'guan'jian'cha 外观检查
'wai'guan'jian'yan 外观检验
'wai'huan 外环
'wai'jing 外径
'wai'li 外力
'wai'luo'wen'fa'gan'ji'fa'e 外螺纹阀杆及阀轭
'wai'shang'tou'zi 外商投资
'wai'ya'ying'li 外压应力
'wai'zai 外载
'wan'du 弯度
'wan'guan 弯管
'wan'guan'yu'gang 弯管浴缸
'wan'ju 弯矩
'wan'qu'li'ju 弯曲力矩
'wan'qu'shi'yan 弯曲试验
'wan'qu'ying'li 弯曲应力
'wan'tou 弯头
'wan'tou'zhi'guan'tai 弯头支管台
'wan'xiang'jie'tou 万向接头
'wan'xiang'xing'peng'zhang'jie 万向型膨胀节
'wang'fu'ding'zhi'xian'wei'jia 往复定值限位架
'wang'fu'shi'ya'suo'ji 往复式压缩机
'wang'luo'gang'ban 网络钢板
'wang'wen'gang'ban 网纹钢板
'wei'lie'wen 微裂纹
'wei'rong'he 未溶合
'wei'sheng'she'bei 卫生设备
'wei'shi'ying'du 维氏硬度
'wei'xian'qu 危险区
'wei'xian'qu'hua'fen 危险区划分
'wei'xian'qu'ping'mian'tu 危险区平面图
'wei'xiu'jian 维修间
'wei'yi 位移
'wei'yi'ying'li 位移应力
'wen'du 温度
'wen'du'ji 温度计
'wen'du'ji'bao'hu'guan 温度计保护管
'wen'jian 文件
'wo'liu'beng 涡流泵
'wo'liu'tan'shang 涡流探伤
'wo'lun'beng 涡轮泵
'wo'shi 卧室
'wu'feng'gang'guan 无缝钢管
'wu'ji'fu'xin'qi 无机富锌漆
'wu'ji'he'cheng'hua'xue 无机合成化学
'wu'ji'hua'xue 无机化学
'wu'li'hua'xue 物理化学
'wu'liao'ji're'liang'ping'heng'tu 物料及热量平衡图
'wu'ran 污染
'wu'ran'yu'shui 污染雨水
'wu'se'de 无色的
'wu'shi'mo'ya'suo'bai'shi'mian'dian'pian 无石墨压缩白石棉垫片
'wu'shui'de 无水的
'wu'shui'keng 污水坑
'wu'shui'yin'jing 污水窨井
'wu'sun'jian'yan 无损检验
'wu'wei'hao'she'bei 无位号设备
'wu'zhuang'ji'sheng'zhi'hui'fa 无撞击声止回阀
'xi'di'qi 洗涤器
'xi'di'ta 洗涤塔
'xi'fu 吸附
'xi'fu'qi 吸附器
'xi'fu'shou'qi 吸附收器
'xi'lian'pen 洗脸盆
'xi'ru'fa 吸入阀
'xi'sheng 吸声
'xi'shi'guan 稀释罐
'xi'shou 吸收
'xi'shou'ta 吸收塔
'xi'shui'de 吸水的
'xi'shui'fa 吸水阀
'xi'ya'luo'wen 细牙螺纹
'xi'yan'qi'ji'lin'yu'qi 洗眼器及淋浴器
'xi'yan'zhan 洗眼站
'xia'shui'guan 下水管
'xia'shui'yin'jing 下水窨井
'xian'chang 现场
'xian'chang'fu'wu 现场服务
'xian'chang'han 现场焊
'xian'dai'hua'xue'zhuan'ti 现代化学专题
'xian'gui 线规
'xian'liu'kong'ban 限流孔板
'xian'qi'que'ren 先期确认
'xian'wei'jia 限位架
'xian'wei'qi 限位器
'xian'wei'zeng'qiang're'su'xing'su'liao 纤维增强热塑性塑料
'xian'zai'ji'chu'hua'xue 现在基础化学
'xian'zai'ji'chu'hua'xue'shi'yan 现在基础化学实验
'xian'zhi'gan 限制杆
'xian'zhi'xing'zhi'jia'yue'shu 限制性支架约束
'xiang'dui'biao'gao 相对标高
'xiang'dui'shi'du 相对湿度
'xiang'dui'ya'li 相对压力
'xiang'guan'zhuan'ye'de'zhuan'ye'ci'hui 相关专业的专业词汇
'xiang'jiao 橡胶
'xiang'jiao 相交
'xiang'jiao'chen'li'ge'mo'fa 橡胶衬里隔膜阀
'xiang'jiao'guan 橡胶管
'xiang'mu 项目
'xiang'mu'bian'geng 项目变更
'xiang'mu'hao 项目号
'xiang'mu'jin'zhan'qing'kuang'bao'gao 项目进展情况报告
'xiang'mu'jing'li 项目经理
'xiang'mu'qu'jie 项目区界
'xiang'mu'qu'jie'nei'ce 项目区界内侧
'xiang'mu'shen'he'hui 项目审核会
'xiang'mu'shi'shi'ji'hua 项目实施计划
'xiang'mu'xie'tiao'cheng'xu 项目协调程序
'xiang'mu'zhi'liang'bao'zheng 项目质量保证
'xiang'mu'zhi'liang'kong'zhi 项目质量控制
'xiang'mu'zong'jin'du'ji'hua 项目总进度计划
'xiang'pi'pu'mian 橡皮铺面
'xiang'ru'shi'zhi'guan'zui 镶入式支管嘴
'xiang'shang'qu 向上去
'xiang'tu 详图
'xiang'wei 相位
'xiang'xi'she'ji 详细设计
'xiang'xi'she'ji'ban 详细设计版
'xiang'xi'she'ji'jie'duan 详细设计阶段
'xiang'xia'qu 向下去
'xiao'chu'ying'li 消除应力
'xiao'duan'dai'luo'wen 小端带螺纹
'xiao'duan'wei'ping'de 小端为平的
'xiao'fang 消防
'xiao'fang'che 消防车
'xiao'fang'long'tou 消防龙头
'xiao'fang'qi'cai 消防器材
'xiao'fang'ruan'guan'jie'tou 消防软管接头
'xiao'fang'shui 消防水
'xiao'fang'shui'beng 消防水泵
'xiao'fang'xiang 消防箱
'xiao'guo'dao 小过道
'xiao'hao'ding'e 消耗定额
'xiao'huo'shuan 消火栓
'xiao'li 小粒
'xiao'sheng'qi 消声器
'xiao'shi'hui'qi 消石灰器
'xiao'suan 硝酸
'xiao'yin'qi 消音器
'xiao'zhou 销轴
'xie'cheng 斜撑
'xie'dian'quan 斜垫圈
'xie'fa'pan'die'fa 斜阀盘蝶阀
'xie'fan'pan'zhi'hui'fa 斜翻盘止回阀
'xie'jie'wan'guan 斜接弯管
'xie'jie'zhi'guan'tai 斜接支管台
'xie'lou'shi'yan 泄漏试验
'xie'san'tong 斜三通
'xie'xing'dan'zha'ban 楔形单闸板
'xie'zai'fa 卸载阀
'xie'zhen'fen'xi 谐振分析
'xie'zhuan'zi'beng 斜转子泵
'xing'cai 型材
'xing'cu'lv'qi 型粗滤器
'xing'fa 型阀
'xing'gang 型钢
'xing'guan'jia 形管架
'xing'guo'lv'qi 型过滤器
'xing'hao 型号
'xing'huan 形环
'xing'jia 形夹
'xing'luo'shuan 形螺栓
'xing'luo'si'xing'ya'tou 形螺丝形轧头
'xing'po'kou 形坡口
'xing'san'tong 型三通
'xing'wan 形弯
'xing'wan'guan 型弯管
'xing'wan'guan 形弯管
'xing'xing'fang'liao'qi 星型放料器
'xiu'gai 修改
'xiu'gai'tu'jun'gong'tu 修改图竣工图
'xiu'shi'shi'shi'he 修饰使适合
'xu'dian'chi'shi 蓄电池室
'xu'ning 絮凝
'xu'ning'ji 絮凝剂
'xu'yan 序言
'xu'yong'ying'li 许用应力
'xu'yong'ying'li'fan'wei 许用应力范围
'xuan'bi'jia 悬臂架
'xuan'feng'fen'li'qi 旋风分离器
'xuan'fu 悬浮
'xuan'qi'shi'zhi'hui'fa 旋启式止回阀
'xuan'sai 旋塞
'xuan'sai'fa 旋塞阀
'xuan'zhuan'fa 旋转阀
'xuan'zhuan'shi'ya'suo'ji 旋转式压缩机
'xue'he'zai 雪荷载
'xun'huan 循环
'xun'huan'guan 循环管
'xun'huan'leng'que'shui'gei'shui 循环冷却水给水
'xun'huan'leng'que'shui'hui'shui 循环冷却水回水
'xun'huan'shui 循环水
'xun'jia 询价
'xun'jia'shu 询价书
'ya'bian'shi'yan 压扁试验
'ya'gai 压盖
'ya'hu'han 氩弧焊
'ya'li'bi'li'tiao'jie'fa 压力比例调节阀
'ya'li'biao 压力表
'ya'li'deng'ji 压力等级
'ya'li'ji 压力级
'ya'li'ji 压力计
'ya'li'mi'feng'de'fa'gai 压力密封的阀盖
'ya'li'ping'heng'shi'heng'wen'shu'shui'fa 压力平衡式恒温疏水阀
'ya'li'ping'heng'shi'peng'zhang'jie 压力平衡式膨胀节
'ya'li'shi'yan 压力试验
'ya'li'wen'du'deng'ji 压力温度等级
'ya'lv'ji 压滤机
'ya'lv'qi 压滤器
'ya'suo 压缩
'ya'suo'ji'fang 压缩机房
'ya'suo'kong'qi'guan 压缩空气管
'ya'suo'shi'mian'dian'pian 压缩石棉垫片
'ya'ying'li 压应力
'yan'cong 烟囱
'yan'jiu'ban'she'bei'bu'zhi'tu 研究版设备布置图
'yan'mian 岩棉
'yan'mo'ji 研磨机
'yan'se 颜色
'yan'shen'lv 延伸率
'yan'shi'ge'mo'fa 堰式隔膜阀
'yan'shou 验收
'yan'shui 盐水
'yan'suan 盐酸
'yan'xing 延性
'yan'zhong'fei'jian 严重飞溅
'yang'han 仰焊
'yang'hua 氧化
'yang'hua'wu 氧化物
'yang'qi 氧气
'yang'qi'guan 氧气管
'ye'di'fen'li'qi 液滴分离器
'ye'hua'shi'you'qi 液化石油气
'ye'hua'shi'you'qi'guan 液化石油气管
'ye'lun 叶轮
'ye'ti 液体
'ye'ti'fen'pei'qi 液体分配器
'ye'ti'peng'zhang'shi'zheng'qi'shu'shui'fa 液体膨胀式蒸汽疏水阀
'ye'ti'shen'tou'jian'yan 液体渗透检验
'ye'wei'ji 液位计
'ye'xiang'se'pu'yi 液相色谱仪
'ye'ya'cao'zong'qi 液压操纵器
'ye'ya'jian'zhen'qi 液压减振器
'ye'zhu 业主
'yi'biao 仪表
'yi'biao'dian'lan'cao 仪表电缆槽
'yi'biao'kong'qi 仪表空气
'yi'biao'pan 仪表盘
'yi'bing'xiang'jiao 乙丙橡胶
'yi'ci'ying'li 一次应力
'yi'duan'dai'luo'wen 一端带螺纹
'yi'gai'lun 一概论
'yi'jing'duan'jie 异径短节
'yi'jing'fa'lan 异径法兰
'yi'jing'guan 异径管
'yi'jing'guan'jie'tou 异径管接头
'yi'jing'kong'dao 异径孔道
'yi'jing'san'tong 异径三通
'yi'jing'si'tong 异径四通
'yi'jing'wan'tou 异径弯头
'yi'lan'biao 一览表
'yi'liu'guan 溢流管
'yi'liu'yan 溢流堰
'yi'qi 仪器
'yi'qi'fen'xi 仪器分析
'yi'qi'fen'xi'he'wu'li'hua'xue'shi'yan 仪器分析和物理化学实验
'yi'qi'she'bei 仪器设备
'yi'que'guan 乙炔管
'yi'ran'de 易燃的
'yi'ran'ye'ti 易燃液体
'yi'xi'bing'xi'er'ting'dan'ti 乙烯丙烯二烃单体
'yi'you'gang'jie'gou 已有钢结构
'yi'yuan 翼缘
'yi'zi'guan 乙字管
'yin'dao'fa'cao'zong'de'an'quan'xie'qi'fa 引导阀操纵的安全泄气阀
'yin'hang'bao'zheng'shu 银行保证书
'yin'ji'bao'hu 阴极保护
'yin'ran 引燃
'yin'shao 引烧
'yin'xiang'zhen'dong 音响振动
'yin'yong'shui 饮用水
'ying'bian'bian'xing 应变变形
'ying'bian'neng 应变能
'ying'bian'qu'xian 应变曲线
'ying'du'shi'yan 硬度试验
'ying'guang'shen'tou'jian'yan 荧光渗透检验
'ying'ju'lv'yi'xi'su'liao'guan 硬聚氯乙烯塑料管
'ying'li 应力
'ying'li'fan'wei'jian'xiao'xi'shu 应力范围减小系数
'ying'li'fu'shi 应力腐蚀
'ying'li'ji'suan 应力计算
'ying'li'ji'zhong'xi'shu 应力集中系数
'ying'li'zeng'da'xi'shu 应力增大系数
'ying'pao'mo'xiang'jiao 硬泡沫橡胶
'ying'qian 硬铅
'ying'qian'han 硬钎焊
'ying'shui 硬水
'ying'yong'dian'hua'xue 应用电化学
'ying'yong'hua'xue'shi'yan 应用化学实验
'ying'yong'hua'xue'zhuan'ti 应用化学专题
'yong'hu 用户
'yong'hu'bian'geng 用户变更
'yong'hu'bian'geng'tong'zhi 用户变更通知
'yong'hu'shen'cha'ban'she'bei'bu'zhi'tu 用户审查版设备布置图
'yong'jiu'guo'lv'qi 永久过滤器
'you'bao'hu'de'jin'shu'dian'hu'han 有保护的金属电弧焊
'you'cui'huo 油淬火
'you'du'de 有毒的
'you'fen'li'qi 油分离器
'you'ji'gui'qi 有机硅漆
'you'ji'he'cheng'ji'fan'ying'ji'li 有机合成及反应机理
'you'ji'hua'he'wu'bo'pu'jian'ding 有机化合物波谱鉴定
'you'ji'hua'xue 有机化学
'you'ji'hua'xue'shi'yan 有机化学实验
'you'ji'wu 有机物
'you'luo'wen 右螺纹
'you'mao'zhan 油毛毡
'you'ren 由任
'you'se'jin'shu 有色金属
'you'zha 油渣
'you'zhi'tan'su'gang 优质碳素钢
'yu'han'jian 预焊件
'yu'liu'qu 预留区
'yu'mai'jian 预埋件
'yu'ni 淤泥
'yu're 预热
'yu're'qi 预热器
'yu'shi 浴室
'yu'shui 雨水
'yu'shui'guan 雨水管
'yu'suan'biao 预算表
'yu'ying'li'hun'ning'tu'guan 预应力混凝土管
'yu'zhi'de 预制的
'yu'zhi'wan'guan 预制弯管
'yuan'du 圆度
'yuan'gang 圆钢
'yuan'jian 元件
'yuan'liao 原料
'yuan'pan'shi'jia'liao'qi 圆盘式加料器
'yuan'shui 原水
'yuan'tou'luo'ding 圆头螺钉
'yuan'zhou'ying'li 圆周应力
'yuan'zhui'xiao 圆锥销
'yun'shu 运输
'yun'xing'zhong 运行中
'za'zhi 杂质
'zai'fei'qi 再沸器
'zai'huo'hua 再活化
'zai're'qi 再热器
'zai're'ti 载热体
'zai'sheng 再生
'zai'sheng'ta 再生塔
'zai'xun'huan 再循环
'zao'li'ta 造粒塔
'zao'sheng 噪声
'zao'sheng'zhi 噪声值
'zeng'chou'qi 增稠器
'zha'fa 闸阀
'zha'zhi 轧制
'zha'zhi'gang'guan 轧制钢管
'zhao'ming 照明
'zhao'zheng 找正
'zhao'zhong'xin 找中心
'zhe'zhou'wan'guan 折皱弯管
'zhen'dong'shai 振动筛
'zhen'fa 针阀
'zhen'fu 振幅
'zhen'jing'gang 镇静钢
'zhen'kong 真空
'zhen'kong 针孔
'zhen'kong'beng 真空泵
'zhen'kong'gan'zao'qi 真空干燥器
'zhen'kong'guan 真空管
'zhen'kong'shi'yan 真空试验
'zhen'shi'bei'xiang 真实北向
'zhen'zhu'yan 珍珠岩
'zheng'chi'lun'chuan'dong 正齿轮传动
'zheng'fa'lv 蒸发率
'zheng'fa'qi 蒸发器
'zheng'huo 正火
'zheng'jiao 正交
'zheng'liu 蒸馏
'zheng'liu'fu 蒸馏釜
'zheng'liu'ta 蒸馏塔
'zheng'qi'ban're 蒸汽伴热
'zheng'qi'cai'nuan 蒸汽采暖
'zheng'qi'chui'sao 蒸汽吹扫
'zheng'qi'guan 蒸气管
'zheng'qi'ji'leng'ning'shui'ping'heng'tu 蒸汽及冷凝水平衡图
'zheng'qi'leng'ning'shui 蒸汽冷凝水
'zheng'qi'shu'shui'fa 蒸汽疏水阀
'zheng'qi'ya 蒸汽压
'zheng'ti'guan'fa'lan 整体管法兰
'zheng'ti'jin'shu'chi'xing'dian'pian 整体金属齿形垫片
'zheng'ti'xie'xing'zha'ban 整体楔形闸板
'zheng'ti'zuo 整体座
'zhi'bei 制备
'zhi'cheng 支撑
'zhi'cheng'dian 支撑点
'zhi'cheng'gan 支撑杆
'zhi'cheng'huan 支承环
'zhi'cheng'jia 支承架
'zhi'dong'dang'kuai 止动挡块
'zhi'er 支耳
'zhi'guan 支管
'zhi'guan 直管
'zhi'guan'lian'jie 支管连接
'zhi'guan'luo'wen 直管螺纹
'zhi'guan'tai 支管台
'zhi'hui'fa 止回阀
'zhi'hui'shi'die'fa 止回式蝶阀
'zhi'jia 支架
'zhi'liang'bao'zheng'cheng'xu 质量保证程序
'zhi'liu 直流
'zhi'pu'fen'xi 质谱分析
'zhi'shi 蛭石
'zhi'shi'qi 指示器
'zhi'ti 直梯
'zhi'tong'shi'ge'mo'fa 直通式隔膜阀
'zhi'tong'xing'zha'fa 直通型闸阀
'zhi'tu 制图
'zhi'tui 支腿
'zhi'xing'ji'gou 执行机构
'zhi'zao'zhe'zhi'zao'chang 制造者制造厂
'zhi'zuo 支座
'zhong'chui'shi'diao'jia 重锤式吊架
'zhong'he 中和
'zhong'he'chi 中和池
'zhong'he'jin'gang 中合金钢
'zhong'jian'cao 中间槽
'zhong'jian'leng'que'qi 中间冷却器
'zhong'jian'tui'huo 中间退火
'zhong'li 重力
'zhong'liang 重量
'zhong'tan'gang 中碳钢
'zhong'wai'he'ying 中外合营
'zhong'wai'he'zi 中外合资
'zhong'xin'xian 中心线
'zhong'xin'zhi'duan'mian 中心至端面
'zhong'xin'zhi'mian 中心至面
'zhong'xin'zhi'zhong'xin 中心至中心
'zhong'ya 中压
'zhong'ya'zheng'qi 中压蒸汽
'zhong'yao'guan'dao 重要管道
'zhong'you 重油
'zhong'zhi'zhong 中至中
'zhou'ce'tu 轴测图
'zhou'cheng 轴承
'zhou'liu'beng 轴流泵
'zhou'qi 周期
'zhou'xiang'wei'yi'xing'peng'zhang'jie 轴向位移型膨胀节
'zhou'xiang'ying'li 轴向应力
'zhu'cang'shi 贮藏室
'zhu'dao'feng'xiang 主导风向
'zhu'gang 铸钢
'zhu'guan 贮罐
'zhu'han 珠焊
'zhu'jian 铸件
'zhu'liang 主粱
'zhu'sai'beng 柱塞泵
'zhu'sai'fa 柱塞阀
'zhu'shi'guan'jia 柱式管架
'zhu'tie 铸铁
'zhu'tie'gei'shui'guan 铸铁给水管
'zhu'tie'guan 铸铁管
'zhu'tie'pai'shui'guan 铸铁排水管
'zhu'ying'li 主应力
'zhu'you'qi 注油器
'zhu'zao'fa 铸造阀
'zhuan'gu'guo'lv'qi 转鼓过滤器
'zhuan'hua'qi 转化器
'zhuan'su 转速
'zhuan'ye 专业
'zhuan'ye'fu'ze'ren 专业负责人
'zhuan'ye'xue'ke 专业学科
'zhuan'zi'beng 转子泵
'zhuang'pei 装配
'zhuang'tai'bao'gao 状态报告
'zhuang'xiang'dan 装箱单
'zhuang'you'di'zhou'de 装有底轴的
'zhuang'zhi 装置
'zhuang'zhi'bian'jie 装置边界
'zhui'guan'luo'wen 锥管螺纹
'zhui'guan'luo'wen'mi'feng'han'lian'jie 锥管螺纹密封焊连接
'zhuo'se'shen'tou'jian'yan 着色渗透检验
'zi'dong'fen'xi 自动分析
'zi'dong'guan'bi'fa 自动关闭阀
'zi'dong'mai'hu'han 自动埋弧焊
'zi'dong'pai'ye'fa 自动排液阀
'zi'dong'xiao'fang'xi'tong 自动消防系统
'zi'gong'luo'ding 自攻螺钉
'zi'jun'heng'peng'zhang'jie 自均衡膨胀节
'zi'la 自拉
'zi'mang'ban 字盲板
'zi'mi'feng 自密封
'zi'ran'dian 自然点
'zi'se'de 紫色的
'zi'tong 紫铜
'zi'xun'fu'wu 咨询服务
'zi'you 自由
'zi'you'fu'qiu'shi'shu'shui'fa 自由浮球式疏水阀
'zi'you'hua'dong 自由滑动
'zi'you'zhen'dong 自由振动
'zong'guan 总管
'zong'guan'fa 总管阀
'zong'he'guan'dao'cai'liao'biao 综合管道材料表
'zong'se'de 棕色的
'zong'tu 总图
'zong'xiang'ying'li 纵向应力
'zou'dao 走道
'zou'xiang'yan'jiu 走向研究
'zu'he'po'kou 组合坡口
'zu'huo'qi 阻火器
'zu'ni'zhen'dong 阻尼振动
'zu'zhuang 组装
'zuan'kong 钻孔
'zui'zhong'que'ren 最终确认
'zuo'biao 坐标
'zuo'biao'yuan'dian 坐标原点
'zuo'luo'wen 左螺纹
