'ai'qi'tun'suan 嗳气吞酸
'huo'xiang'zheng'qi'kou'fu'ye 藿香正气口服液
'huo'xiang'zheng'qi'san 藿香正气散
'huo'xiang'zheng'qi'shui 藿香正气水
'huo'xue'hua'yu 活血化瘀
'huo'xue'tong'mai'jiao'nang 活血通脉胶囊
'ji'de'sheng'she'yao'pian 季德胜蛇药片
'ji'fei'shen'shou 既非神授
'ji'fu'jin'gu 肌肤筋骨
'ji'ke'pi'lao 飢渴疲勞
'ji'lao'xu'sun 积劳虚损
'ji're'fan'ke 肌热烦渴
'ji'sheng'fang 济生方
'ji'tou'ci'fang'ke'hui'yang 急投此方可回阳
'ji'xuan'shun'ti'ji'jian'chang 悸眩瞤惕急煎尝
'ji'xue'teng'ke'li 鸡血藤颗粒
'ji'zao'yi'nu 急躁易怒
'ji'zhi'bing'san'nian 及治病三年
'jia'jian'yun'yong'zai'xiong'zhong 加减运用在胸中
'jia'ju 瘕聚
'jia'kuai'ying'jie 瘕块硬结
'jia'ru'ren'shen'qi'jin'sheng 加入人参气津生
'jia'yong'xiang'sha'qi'zhi'shi 加用香砂气滞使
'jia'zao'tong'jian'ming'si'qi 加枣同煎名四七
'jian'bi'ku'nao 见彼苦恼
'jian'jia'deng'cao'tong'lin'juan 煎加灯草痛淋蠲
'jian'jia'jiang'zao'biao'jian'li 煎加姜枣表兼里
'jian'jia'jiang'zao'tiao'ying'wei 煎加姜枣调营卫
'jian'jia'jiang'zao'yi'xin'pi 煎加姜枣益心脾
'jian'jia'sheng'jiang'yu'wu'mei 煎加生姜与乌梅
'jian'pi'qu'shi 健脾祛湿
'jian'pi'qu'tan'zhi'xiang'dang 健脾祛痰治相当
'jian'pi'yang'xin 健脾养心
'jian'pi'yi'qi 健脾益气
'jian'wang'shi'mian 健忘失眠
'jian'yao'ji'zhong'fang 简要济众方
'jiang'gua'ma'huang'shao'yao'tong 姜挂麻黄芍药同
'jiang'ni'hua'tan 降逆化痰
'jiang'ni'zhi'ou 降逆止呕
'jiang'qi'ping'chuan 降气平喘
'jiang'tang'tiao'fu'zhi'sou'pin 姜汤调服止嗽频
'jiang'zao'xi'xin'kuan'dong'hua 姜枣细辛款冬花
'jiao'gu'lan'zong'dai'ruan'jiao'nang 绞股兰总甙软胶囊
'jiao'tai'wan 交泰丸
'jiao'tong'xin'shen 交通心肾
'jiao'zhu'fu'ren'liang'fang 校注妇人良方
'jie'biao'san'han 解表散寒
'jie'du'jian'yin'gong'xiao'qi 解毒坚阴功效奇
'jie'geng'shang'fu'jian'bao'fei 桔梗上浮兼保肺
'jie'ji'fa'biao'tiao'ying'wei 解肌发表调营卫
'jie'ru'zhi'qin'zhi'xiang 皆如至亲之想
'jie'shi'kang'jiao'nang 结石康胶囊
'jie'yu'an'shen'chong'ji 解郁安神冲剂
'jin'bing'you'nei'tong'er'wai'yi 今病有内同而外异
'jin'gang'teng'jiao'nang 金刚藤胶囊
'jin'guo'yin 金果饮
'jin'kui'shen'qi'wan 金匮肾气丸
'jin'kui'shen'qi'zhi'shen'xu 金匮肾气治肾虚
'jin'kui'yao'lue 金匮要略
'jin'lian'hua'jiao'nang 金莲花胶囊
'jin'sang'kai'yin'wan 金嗓开音丸
'jin'sang'san'jie'wan 金嗓散结丸
'jin'shui'bao'jiao'nang 金水宝胶囊
'jin'tian'ge'jiao'nang 金天格胶囊
'jin'wei 筋痿
'jin'xu'nei're'zheng 津虚内热证
'jin'ye'kui'sun 津液亏损
'jin'yi'zhi'jing'zhi'wei'zhi'shi 今以至精至微之事
'jing'bi'bu'xing 经闭不行
'jing'bing 痉病
'jing'dai'tai'chan'ju'ke'zhi 经带胎产俱可治
'jing'fu'kang'ke'li 颈复康颗粒
'jing'hua'wei'kang'jiao'wan 荆花胃康胶丸
'jing'qin'bu'juan 精勤不倦
'jing'shu'ke'li 颈舒颗粒
'jing'shuang'shou'xia'dong'sang'ye 经霜收下冬桑叶
'jing'shui'shi'duan 经水适断
'jing'yue'quan'shu 景岳全书
'jiu'ke'shang'fei 久咳伤肺
'jiu'xie'bu'yu 久泻不愈
'jiu'xin'wan 救心丸
'jue'yin'tou'tong'jie'neng'bao 厥阴头痛皆能保
'jun'xia're'jie 峻下热结
'kan'you'ruo'wu 看有若无
'kang'fu'xiao'yan'shuan 康妇消炎栓
'ke'sou'qi'chuan 咳嗽气喘
'ke'sou'qi'ni 咳嗽气逆
'ke'sou'tan'duo 咳嗽痰多
'ke'sou'tan'xi 咳嗽痰稀
'ke'sou'yan'yang 咳嗽咽痒
'ke'yu'yin'shui 渴欲饮水
'ke'zhi'tan'hua'bing'zi'quan 咳止痰化病自痊
'kou'chun 口唇
'kou'dan'wu'wei 口淡无味
'kou'gan'chun'zao 口干唇燥
'kou'gan'she'zao 口干舌燥
'kou'ke'bu'yu'duo'yin 口渴不欲多饮
'kou'ke'mian'chi 口渴面赤
'kou'ku 口苦
'kou'ku'mian'hong 口苦面红
'kou'mi'lin'tong'xiao'chang'huo 口糜淋痛小肠火
'kou'she'gan'zao 口舌干燥
'kou'she'sheng'chuang 口舌生疮
'kou'zao'yan'gan 口燥咽干
'ku'dan'cao'pian 苦胆草片
'kuan'dong'ban'xia'bai'pi'sang 款冬半夏白皮桑
'kuan'xiong'san'jie 宽胸散结
'kuan'yu'wang'wang 宽裕汪汪
'kuang'yu'ren'hu 况于人乎
'lan'shi'mi'cang 兰室秘藏
'lao'jun'yue 老君曰
'le'mai'ke'li 乐脉颗粒
'leng'feng'wan'bi'qu'neng'shen 冷风顽痹屈能伸
'li'bian'jie'biao'zhi'shui'ting 利便解表治水停
'li'fei'hua'tan 理肺化痰
'li'gan'long'ke'li 利肝隆颗粒
'li'ji'fu'tong'zi'an'kang 里急腹痛自安康
'li'ji'hou'zhong 里急后重
'li'qi'he'zhong 理气和中
'li'qi'he'zhong'zao'shi'tan 利气和中燥湿痰
'li're'shi'zheng'zhi're'jue 里热实证之热厥
'li'shi'hua'zhuo 利湿化浊
