'a'jiao'yu'yun 阿娇馀韵
'jing'du'cang'jiang'yu 径度沧江雨
'jing'e'qing 惊俄顷
'jing'fang'shen'yuan'bi'chan'juan 静坊深院闭婵娟
'jing'fu'chuang'zhen'ye'dao'yi 净拂床砧夜捣衣
'jing'jiang'di'hai'bian'wu'chu 京江抵海边吴楚
'jing'kou'gua'zhou'ji'meng'jian 京口瓜洲记梦间
'jing'kua'san'qian'li 境跨三千里
'jing'lan'feng'chuo'xiao'tao'xiang 井阑风绰小桃香
'jing'li'fen'ming'jian 镜里分明见
'jing'luan'kong'lao 镜鸾空老
'jing'nian'wei'ban'mai'shan'qian 经年未办买山钱
'jing'ping'bai'qu'xin'mo'ying 镜屏百曲新磨莹
'jing'ri'su'jin'xiao'shu 竟日素襟销暑
'jing'ri'wei'yin'chang'duan'ju 竟日微吟长短句
'jing'sheng'bo'shang'lian 镜生波上莲
'jing'xi'li'ze'xiang'tun'tu 荆溪笠泽相吞吐
'jing'xi'yong 荆溪咏
'jing'yan'shi'hang'feng'jian'jian 惊雁失行风翦翦
'jing'yang'lin'xiao'zhong 景阳临晓钟
'jing'yang'zhong'dong 景阳钟动
'jing'yun'mei'shan 镜晕眉山
'jing'zhong'luan 镜中鸾
'jing'zhong'xiao'shou'lao'yu'zhen 镜中销瘦老于真
'jing'zhuang'huai'chou'duo'shao 竟装怀愁多少
'jing'zhuang'yan'xiao 靓妆艳笑
'jiu'ban'han'shi'yan'geng'kuang 酒半酣时眼更狂
'jiu'bei'mian 久背面
'jiu'ceng'xing'chu'shi'jin'lian 旧曾行处失金莲
'jiu'chu'nong'bo'qing'qian 旧处弄波清浅
'jiu'geng'yi 就更衣
'jiu'he'qing 九河清
'jiu'hui'chang 九回肠
'jiu'kuang'gui'tai'chi 酒狂归太迟
'jiu'lan'fei'qu'zuo'fei'yan 酒阑飞去作非烟
'jiu'lan'ge'ba 酒阑歌罢
'jiu'lan'ge'ba'yu'huang'hun 酒阑歌罢欲黄昏
'jiu'leng'deng'hun 酒冷灯昏
'jiu'qi'xin'long'liang'yi'yi 旧栖新垅两依依
'jiu'qu'chi'bian'yang'liu'mo 九曲池边杨柳陌
'jiu'qu'chi'tou'san'yue'san 九曲池头三月三
'jiu'ri'sheng'you 九日胜游
'jiu'ri'zhu'fei 旧日朱扉
'jiu'san'hang 酒三行
'jiu'se 酒色
'jiu'shi'wang'xie 旧时王谢
'jiu'shu'gui'fang'xiu 旧数闺房秀
'jiu'shuo'shan'yin'xi'shi'xiu 旧说山阴禊事修
'jiu'wei'xun 酒微醺
'jiu'xing'lai'sao'di'chun'kong 酒醒来扫地春空
'jiu'xun'tan'dian'yu'ping'jian 酒醺檀点语凭肩
'jiu'you'meng'gua'bi'yun'bian 旧游梦挂碧云边
'jiu'you'she 旧游赊
'jiu'zuo'mu'hou'chan 久坐沐猴禅
'juan'bo'pi'feng 卷箔披风
'juan'chun'kong 卷春空
'juan'juan'heng'e 娟娟姮娥
'juan'ke'deng'lin'di'ji'hui 倦客登临第几回
'juan'ke'wu'jiang'ma'wu'cao 倦客无浆马无草
'juan'lian'hong'xiu'mo'xiang'zhao 卷帘红袖莫相招
'juan'zhang'la'deng'hong 卷帐蜡灯红
'jue'jing'dai'ming'liu 绝境待名流
'jue'lai'jing'jian'heng'chuang'yue 觉来惊见横窗月
'jue'lai'kong 觉来空
'jue'lai'zhu'lei 觉来珠泪
'jue'shi'lian'mu'you'xie'yang 觉时帘幕又斜阳
'jue'zhi'yin 绝知音
'jun'qu'ye 君去也
'kai'han'guan 开函关
'kai'lian'fu'jing'yan'zhuang'zao 开奁拂镜严妆早
'kai'yuan'tian'bao'sheng'chang'an 开元天宝盛长安
'kai'zun'dai'yue 开尊待月
'kan'cheng'xing 堪乘兴
'kan'lian'xu 堪怜许
'kan'qu'nie'can'shuang'bin 看取镊残双鬓
'kan'wai'yu'bo'xin'zhang 槛外雨波新涨
'kan'ying'hai 瞰瀛海
'ke'bin'xiao'xiao'dou'bu'zheng 客鬓萧萧都不整
'ke'dai'he'huan'cui'bei 可待合欢翠被
'ke'hong'chui'di'xi'chang'chuan 渴虹垂地吸长川
'ke'huan'zhang'bin 客宦漳滨
'ke'kan'liu'lang'yuan 可堪流浪远
'ke'kan'pin'zhao 可堪频照
'ke'kan'you'zi'si'jia 可堪游子思家
'ke'lian'dan'zhen'yu'mian'shi 可怜单枕欲眠时
'ke'lian'fen'po 可怜分破
'ke'lian'lao'qu'lan'cheng 可怜老去兰成
'ke'lian'shei'hui'liang'xin'qi 可怜谁会两心期
'ke'lian'xiao 可怜宵
'ke'lian'xiao'hua'tang'chun'ban 可怜宵画堂春半
'ke'lian'xu'cai'yun'piao'bo 可怜许彩云飘泊
'ke'lian'yu'qu'chi'hui 可怜欲去迟回
'ke'nai'meng'hui'shi 可奈梦回时
'ke'qiang'nan'pu 客樯南浦
'ke'ren'feng'tiao'zui'duo'yi 可人风调最多宜
'ke'sheng'yao'luo'chang'nian'bei 可胜摇落长年悲
'ke'shi'peng'hao'ren 可是蓬蒿人
'ke'xi'fang'nian'qiao'pan'liu 可惜芳年桥畔柳
'ken'ba'niu'dao'shi'shou'bu 肯把牛刀试手不
'kong'cang'jiang 控沧江
'kong'cheng'guo 空城郭
'kong'chuang'nuan 空床暖
'kong'chuang'wo'ting'nan'chuang'yu 空床卧听南窗雨
'kong'shan'yi 空山驿
'kong'xiang'wang'ling'bo'xian'bu 空相望凌波仙步
'kong'zi'luo 空自落
'ku'sun'shi'yu'xiang'wei'mei 苦笋鲥鱼乡味美
'kuang'fu'jia'qi'nan'bi 况复佳期难必
'kuang'fu'zao'nian'hao'zong'guo 况复早年豪纵过
'kun'yu 坤舆
'la'deng'xiang'xie'leng 蜡灯香灺冷
'la'ji'guan'jin 蜡屐纶巾
'la'zhu'xiao'cheng'hong'lei 蜡烛销成红泪
'lai'bai'yu'xiang'lian'gong'fen'ze 赖白玉香奁供粉泽
'lai'ban'yong'suo'mian 来伴拥蓑眠
'lai'er'gong'pin'yan'xiao 赖尔工颦妍笑
'lai'er'jiang'shui 赖尔江水
'lai'hong'gui'yan'pin 来鸿归燕频
'lai'ming'yue'ceng'zhi'jiu'you'chu 赖明月曾知旧游处
'lai'shi'jun 赖使君
'lai'you'chuang'jian'meng 赖有窗间梦
'lai'you'diao'liang'xin'yan 赖有雕梁新燕
'lai'you'nong'xiang'zhe'bi'sha 赖有浓香着臂纱
'lai'you'tian'ya'feng'yue'zai 赖有天涯风月在
'lai'zi'wan 来自晚
'lai'zui 赖醉
'lai'zui'xiang'jia'jing'xu'chang'yang 赖醉乡佳境许徜徉
'lan'cheng'lao'qu'zhuan'wu'liao 兰成老去转无憀
'lan'gan'chang'dui'xi'xun'yi 阑干长对西曛倚
'lan'guang'ying 岚光映
'lan'liu'guang 揽流光
'lan'qin'xiu'geng'ru 兰衾羞更入
'lan'qing'si'yuan'lin'xing'cu 兰情似怨临行促
'lan'rao'ming'ye'fang'zhou'bo 兰桡明夜芳洲泊
'lan'sheng'qing'wu'nai 览胜情无奈
'lan'xi'xiu'fu'xi 兰溪修祓禊
'lan'ye'you'kan'xiang'shui'cai 兰叶犹堪向谁采
'lan'zhi'man'fang'zhou 兰芷满芳洲
'lan'zhou'cui'jie 兰舟催解
'lan'zhou'yu'shang 兰舟欲上
'lan'zhu'ban'gui 兰烛伴归
'lang'chang'xiang'xie 廊长响屧
'lao'ren'ji'du'song'yu'chun 老人几度送馀春
'lao'sheng'ji'huan'wei'yi'chu 劳生羁宦未易处
'le'cong'cong 乐匆匆
'le'shi'shu'ren 乐事输人
'lei'bo'heng 泪波横
'lei'hen'ning'la 泪痕凝蜡
'lei'lou'tan'xiang'zhen 泪镂檀香枕
'lei'sa'chun'feng 泪洒春风
'lei'shi'luo'jian'chu'tiao'yin 泪湿罗笺楚调吟
'lei'yan'hua'qian'zhi'jian'chun 泪眼花前只见春
'lei'yan'zhuang'bo 泪淹妆薄
'lei'zhen'bu'cheng'mian 泪枕不成眠
'lei'zhu'hen'xian 泪竹痕鲜
'leng'jiu'qing'mei'han'shi'jin 冷酒青梅寒食近
'leng'xiang'fu'dong 冷香浮动
'leng'yun'cheng'zhen'xue'chui'chui 冷云成阵雪垂垂
'leng'yun'huang'ye 冷云黄叶
'li'bin'heng'bo'liu'zhuan 理鬓横波流转
'li'hua'ting'yuan'xue'ling'long 梨花庭院雪玲珑
'li'hua'xue 梨花雪
'li'ju'man'ti'shuang'dai 丽句漫题双带
'li'li'duan'qiang'sha'wai'bo 历历短樯沙外泊
'li'li'gao'shan'yu'liu'shui 历历高山与流水
'li'li'shu'xi'zhou'geng'dian 历历数西州更点
'li'li'wen'jin'gu 历历闻津鼓
'li'qun 离群
'li'ren'bo'lian'jue'chun'rong 丽人波脸觉春融
'li'shang'pin'juan'bai 离觞频卷白
'li'shang'wei'rong'ban'han 离觞未容半酣
'li'suo'nian'duo'gu'ren'shao 离索年多故人少
'li'tan'zhong 立谈中
'li'ting'zai'bu'he'huan'qi 离亭再卜合欢期
'li'yi'huang'hun'zhong'gu 逦迤黄昏钟鼓
'lian'biao'gui'wan 联镳归晚
'lian'bo'geng'chong'chong 帘箔更重重
'lian'bu'juan 帘不卷
'lian'chui'su'di 帘垂窣地
'lian'fei'kong 联飞鞚
'lian'juan'hua'tang'xiao 帘卷画堂晓
'lian'juan'jin'lou'feng'yu 帘卷津楼风雨
'lian'lei'fu'qian'yi 敛泪复牵衣
'lian'mu'huang'hun 帘幕黄昏
'lian'qu'yan'qian'ren 怜取眼前人
'lian'xia'xiao'ping'jian 帘下小凭肩
'lian'yan'chuan'fan'lu'hua 潋滟船泛露华
'lian'yan'fu'dao'tong'chi'dao 连延复道通驰道
'lian'ye'bu'fang'pin'meng'jian 连夜不妨频梦见
'lian'ye'chu'sheng'nan'pu 莲叶初生南浦
'lian'ye'duan'wu'xing'yu'meng 连夜断无行雨梦
'lian'ying'chen'chen 帘影沉沉
'lian'ying'deng'hun 帘影灯昏
'lian'ying'xin'zhuang'yi'po'yan 帘影新妆一破颜
'lian'ying'you'zhao'ge'shan 帘影犹招歌扇
'lian'zhu'ti'hen'yuan'lou'chang 莲烛啼痕怨漏长
'liang'an'lv'yang'fei'xu 两岸绿杨飞絮
'liang'chuan'zai'jiu 量船载酒
'liang'dian'chun'chou 两点春愁
'liang'dian'chun'shan'yi'cun'bo 两点春山一寸波
'liang'dian'ling'xi'xin'dian'dao 两点灵犀心颠倒
'liang'hang'hong'fen 两行红粉
'liang'hang'mo'miao'po'bing'wan 两行墨妙破冰纨
'liang'jian'chou'dai'qian 两尖愁黛浅
'liang'jiang'wang'lai'feng'yu'bian 两桨往来风与便
'liang'shi'bu'zai'xu'xing'le 良时不再须行乐
'liang'wang'ji 两忘机
'liang'xiao'shui'yu'gong 良宵谁与共
'liang'yan'yan'feng'yue 两厌厌风月
'liang'ye'ci'feng 凉叶辞风
'liang'yi'ran 两依然
'liang'yue'xia 凉月下
'liao'er'xi'lai 聊尔西来
'liao'liao'ye'se'chen'zhong'gu 寥寥夜色沉钟鼓
'liao'luo'xing'he'yi'yan'fei 寥落星河一雁飞
'liao're'dao 撩惹到
'liao'song'xie'yang'san'nong 聊送斜阳三弄
'liao'tun'ping'ye 潦吞平野
'liao'yong'chi'tang'cao 聊咏池塘草
'lie'he'fen'ji 裂荷焚芰
'lin'fen'shao'zhu'yi'chang'chang 临分少伫已伥伥
'lin'feng'kai'xiang'zhan'jiao'ling 临风慨想斩蛟灵
'lin'feng'yin'yin'you'wen 临风隐隐犹闻
'lin'feng'zai'ge'tuan'shan 临风再歌团扇
'lin'gao'ye'tuo 林皋叶脱
'lin'jing'xiang'qing'cheng 临镜想倾城
'lin'shui'deng'shan'piao'bo'di 临水登山漂泊地
'lin'shui'fu'deng'shan 临水复登山
'lin'shui'yi 临水驿
'lin'shui'zhu'lan'chui'liu'xia 临水朱阑垂柳下
'lin'shui'zhu'men'hua'yi'jing 临水朱门花一径
'ling'bo'bu'guo'heng'tang'lu 凌波不过横塘路
'ling'bo'ren'qu 凌波人去
'ling'hua'yuan'wan 菱花怨晚
'ling'long'can'xue'jin'shan'cha 玲珑残雪浸山茶
'ling'lue'dang'ge'shen'yi 领略当歌深意
'ling'luo'shao'nian'chang 零落少年场
'ling'qiao'yin 凌敲引
'ling'sui'jiu 令随阄
'liu'an'yi'lan'zhou 柳岸舣兰舟
'liu'bu'zhu'shi'fen'dian'jing 留不住时分钿镜
'liu'dai'jin'hao'she 六代浸豪奢
'liu'dang 流荡
'liu'de'wang'wang'liang'dao'quan 留得汪汪两道泉
'liu'guo'rao 六国扰
'liu'hen'cheng'yu 留恨城隅
'liu'hua'fei'du'hua'tang'yin 柳花飞度画堂阴
'liu'hua'ying'la'zhuang'wu'yuan 六华应腊妆吴苑
'liu'huan'bu'zuo'nan 留欢不作难
'liu'lang'bu 刘郎不
'liu'lang'zheng'can'bei'dao 流浪征骖北道
'liu'lian 留恋
'liu'lian 留连
'liu'lian'kuang'le'hen'jing'duan 流连狂乐恨景短
'liu'liu'dong'tian'lian'ye'dao 六六洞天连夜到
'liu'luo'wu'men 留落吴门
'liu'qu'mu'lan'zhou'shao'zhu 留取木兰舟少住
'liu'san'san 柳毵毵
'liu'shen'yi 留深意
'liu'shui'cang'shan'dai'guo 流水苍山带郭
'liu'shui'chang'yan'he'piao'miao 流水长烟何缥缈
'liu'shui'che'yin'qian'mu'song 流水车音牵目送
'liu'shui'jin'ren'jia 流水今人家
'liu'wai'chu'qiu'qian 柳外出秋千
'liu'xia'yu'cong'shuang'kong 柳下玉骢双鞚
'liu'xiang'ya'ti 柳巷鸦啼
'liu'xing'ke 留醒客
'liu'yu'ta'nian 留与他年
'liu'yun'juan'yu 流云卷雨
'liu'zheng'pei 留征辔
'liu'zhi 留滞
'liu'zhu'jin'xian 留驻金衔
'long'shou'shuang'qing 陇首霜晴
'long'tou'liu'shui 陇头流水
'lou'ban'san'sheng'cui'xi'mo 镂板三声催细抹
'lou'cu'li'jin'jiang'jie 漏促离襟将解
'lou'jiang'fen 漏将分
'lou'jiao'can'heng 楼角参横
'lou'jiao'chu'xiao'yi'lv'xia 楼角初销一缕霞
'lou'jiao'yun'kai'feng'juan'mu 楼角云开风卷幕
'lou'jin'chi'wu'tian 楼近尺五天
'lou'jiong'pi'jin 楼迥披襟
'lou'ping'die'yan 楼平叠巘
'lou'qian'liu 楼前柳
'lou'shang'gong'zhuang'zao 楼上宫妆早
'lou'shang'gu 楼上鼓
'lou'shang'shui'jia'hong'xiu 楼上谁家红袖
'lou'tai'qing'xiao 楼台清晓
'lou'wai'he'heng'dou'gua 楼外河横斗挂
'lou'wai'ping'shan'xiu 楼外屏山秀
'lou'wai'yi'jiang'yan'yu 楼外一江烟雨
'lou'xia'hui'kan'xi'liu 楼下会看细柳
'lou'xia'liu 楼下柳
'lou'xia'qing'jiang'kuo 楼下清江阔
'lou'xia'shui'jia'ge'shui'diao 楼下谁家歌水调
'lu'chu'xi 露初晞
'lu'e'xian'nong'zhuang'lian'liang 露萼鲜浓妆脸靓
'lu'hua'xian'ying'chun'xiao 露华鲜映春晓
'lu'lang'ren'lao'ye'duo'cai 卢郎任老也多才
'lu'sheng'ya'ya'zheng'hong 艣声鸦轧征鸿
'lu'xi'liang'chan 露洗凉蟾
'lu'xin'tan'jin'hong 炉心檀烬红
'lu'yan'wei'du'liu'su'zhang 炉烟微度流苏帐
'lu'ye'qi'ying 露叶栖萤
'lu'yu'gu'cai 鲈鱼菰菜
'luan'jing'jia'ren 鸾镜佳人
'luo'chen'long 落尘笼
'luo'chuang'nao'po'yuan'yang'meng 罗窗恼破鸳鸯梦
'luo'dou'zhang 罗斗帐
'luo'feng'huang'chai 落凤凰钗
'luo'fu'ge 罗敷歌
'luo'gui'fan 落归帆
'luo'hua'duo'shao 落花多少
'luo'hua'wei'yu 落花微雨
'luo'hua'zhong'jiu'ji'liao'tian 落花中酒寂寥天
'luo'jin'fen'han'he'xiang'yi 罗襟粉汗和香浥
'luo'jin'shuang'dai'hen 罗巾双黛痕
'luo'qi'cong'zhong'chu'jian 罗绮丛中初见
'luo'qi'fang'chen 罗绮芳尘
'luo'qi'yun'yan'xiang'ban 罗绮云烟相半
'luo'qun'dai 罗裙带
'luo'ri'feng'ying'zhu'que'jie 落日逢迎朱雀街
'luo'wa'chen'sheng'bu 罗袜尘生步
'luo'wa'wei'sheng'chen 罗袜未生尘
'luo'wei'ying'yue 罗帷映月
'luo'xu'xia'xiang 捋须遐想
'lv'bian'jiang'nan 绿遍江南
'lv'chuang'can'meng'wen'ti'jue 绿窗残梦闻鶗鴂
'lv'chuang'shui'shi'hua'mei'lang 绿窗谁是画眉郎
'lv'feng'ying 屡逢迎
'lv'jin'xie 缕金鞋
'lv'jing'chun'shen'hao'ran'yi 绿净春深好染衣
'lv'luo'qun 绿罗裙
'lv'ping'zhang'duan'lian'zhou'lu 绿萍涨断莲舟路
'lv'qi'fang'zun 绿绮芳尊
'lv'qi'xin'sheng'ge'zuo'wen 绿绮新声隔坐闻
'lv'shu'ge'chao'huang'niao'bing 绿树隔巢黄鸟并
'lv'yang'feng'sao'jin'ting 绿杨风扫津亭
'lv'yang'gui'lu 绿杨归路
'lv'yang'mian'hou'tuo'yan'sui 绿杨眠后拖烟穗
'lv'yang'wan 绿杨湾
'lv'ye'dai'jiang'shan'luo'jiao 绿野带江山络角
'lv'yin'shen'bi'ri 绿阴深蔽日
'lv'yue'fei'yan'you'ban 屡约非烟游伴
'ma'gu'xiang'gu 麻姑相顾
'ma'shang'shao'nian'jin'jian'fou 马上少年今健否
'ma'si'cui'zao'chao 马嘶催早朝
'mai'yu'chou'ren'zhi'ji'qian 卖与愁人直几钱
'man'ba'qing'qing'lin'bie'shou 满把青青临别手
'man'cheng'feng'xu 满城风絮
'man'cheng'luo'qi'fang'cong 满城罗绮芳丛
'man'cheng'nong'huang'yang'liu 满城弄黄杨柳
'man'chuan'si'zhu'zai'liang'zhou 满船丝竹载凉州
'man'fei'yi 漫非意
'man'jiang'jiang'shui'bi'xian'chou 漫将江水比闲愁
'man'ma'jing 满马京
'man'man 漫漫
'man'man'xi'shi 漫漫昔时
'man'ning'zhu 漫凝伫
'man'sheng'liu'mei 漫声流美
'man'shu'jian'zhi'xu'qing'you 漫书茧纸叙清游
'man'xie'nong'chou'you'hen 漫写浓愁幽恨
'man'yan'qing'shan'hen'xi'zhao 满眼青山恨西照
'man'zun'hong'lei 满尊红泪
'mao'fa'song 毛发耸
'mao'yan'xiang 帽檐香
'mao'yuan'xiang'yi'ran 茂苑想依然
'mei'dai'zhi'gong'chou 眉黛只供愁
'mei'fen'dan'zhuang 梅粉淡妆
'mei'fen'hua'zhuang 梅粉华妆
'mei'hen'xiang'feng'bo'chu 每恨相逢薄处
'mei'hua'chang'an 每话长安
'mei'hun'ning'meng'nai'yu'xiang 每浑凝梦奈馀香
'mei'jing'liang'chen 美景良辰
'mei'jiu'dou'shi'qian 美酒斗十千
'mei'man'gu'fan 美满孤帆
'mei'ren'gui 美人归
'mei'ren'yan'se'ru'hua'fa 美人颜色如花发
'mei'tao'ge'wu'hua'yan 每逃歌舞华筵
'mei'xiang'meng'zhong'hai'shuo'meng 每向梦中还说梦
'mei'yang'xue'xin'chan 眉样学新蟾
'mei'yin'xiang'ren'shu'si'jiu 美荫向人疏似旧
'mei'yu'you'yu'yan 眉宇有馀妍
'mei'yun'ban'shen'chun'zhu'qian 眉晕半深唇注浅
'mei'zi'huang'shi'yu 梅子黄时雨
'men'gong'bao'lian'chang'yan 门共宝奁长掩
'men'lin'lv'yang'di'lu 门临绿杨堤路
'men'qian'si'ma'nong'jin'xian 门前嘶马弄金衔
'men'qian'yan'liu'hun'qing 门前烟柳浑青
'men'shen'bi 门深闭
'men'wai'bai'pin'xi'zhang 门外白蘋溪涨
'men'wai'liu 门外柳
'men'wai'mu'lan'hua'ting'zi 门外木兰花艇子
'men'yan'huang'hun'man'yuan'feng 门掩黄昏满院风
'meng'cao'chi'nan'bi'yue'tang 梦草池南璧月堂
'meng'hou'ni 梦后拟
'meng'hui'piao'miao'fei'yan'li 梦回缥缈非烟里
'meng'jiang'nan 梦江南
'meng'long'dan'yue'yun'lai'qu 朦胧淡月云来去
'meng'xiang'neng'pin 梦想能频
'meng'xiang'qin 梦相亲
'meng'xiang'shan'yin'you'ye 梦想山阴游冶
'meng'xiang'xi'chi'nian'lu'bian 梦想西池辇路边
'meng'yi'yi'tian 梦依依天
'meng'yu'shi'piao'sa 梦雨时飘洒
'meng'yun'nan'zhu 梦云难驻
'meng'yun'xiao'san 梦云萧散
'meng'zhen'chu'hui'yu 梦枕初回雨
'meng'zhi'chi 梦咫尺
'meng'zhong'feng 梦中逢
'meng'zhong'xun 梦中寻
'mi'bu'fu 靡不覆
'mi'ju'chui'hua'zhi'ye'jiu 蜜炬垂花知夜久
'mi'lan'rao 弭兰桡
'mi'xie'wu'si'yi'duan 密写乌丝一段
'miao'er'xiu 苗而秀
'miao'tong'shen 妙通神
'ming'bo'yu'liu 明波欲溜
'ming'bo'zhuan'zhu 明波转瞩
'ming'chao'shui'guan'yu'cun 明朝水馆渔村
'ming'gui'ren'jin'hui'chong'an 命闺人金徽重按
'ming'nian'chun'miao 明年春杪
'ming'nian'zai'jiu'luo'yang'chun 明年载酒洛阳春
'ming'pei'yu 鸣佩玉
'ming'ri'jing'yang'men'wai'lu 明日景阳门外路
'ming'yue'dai'huan'lai 明月待欢来
'ming'yue'duo'qing 明月多情
'ming'yue'duo'qing'sui'duo'wei 明月多情随柁尾
'ming'yue'gong 明月共
'ming'yue'guan'shen'yuan 明月关深院
'ming'yue'pai'huai 明月徘徊
'ming'yue'pian'zhou'he'chu 明月扁舟何处
'ming'yue'qing'feng 明月清风
'ming'yue'xian'yuan 明月先圆
'ming'yue'yang'zhou 明月扬州
'ming'zhu'pei'wei 明珠佩委
'mo'chou'ying'zi'you'chou'shi 莫愁应自有愁时
'mo'dao'fen'qiang'dong 莫道粉墙东
'mo'mo'liang'qing'nan'yu 脉脉两情难语
'mo'shang'lang 陌上郎
'mo'wei'dong'jun 莫谓东君
'mo'yan'xiang'lao'zhen'xiu'lv 莫厌香醪斟绣履
'mo'yi'diao'lan'huai'wang'shi 莫倚雕阑怀往事
'mo'yuan'wu'qing'liu'shui 莫怨无情流水
'mu'cheng'xin'xu'liang'cong'cong 目成心许两匆匆
'mu'dan 牡丹
'mu'duan'he'ren'ji 目断何人寄
'mu'duan'qing'huai'lou'shang 目断清淮楼上
'mu'duan'shu'hong 目断书鸿
'mu'lan'gui'zhao 木兰归棹
'mu'lan'ting'zi 木兰艇子
'mu'song'gui'hong 目送归鸿
'mu'song'xie'yang 目送斜阳
'mu'yu'bu'lai'chun'you'qu 暮雨不来春又去
'nai'bi'yun'yi'he 奈碧云易合
'nai'juan'ke'jin'huai'xian'qie'jiu 奈倦客襟怀先怯酒
'nai'li'chou 奈离愁
'nai'qing'he 奈情何
'nai'shuang'yu'nan'du'gua'zhou 奈双鱼难渡瓜洲
'nai'xi'yang'song'wan 奈夕阳送晚
'nai'yu'hu 奈玉壶
'nai'yun'he'zai'gu 奈云和再鼓
'nan'bei'dong'xi'bu'ai'kuang 南北东西不碍狂
'nan'cheng'nan 南城南
'nan'du'lan'rao 难度兰桡
'nan'feng'di'shou'qi 难逢敌手棋
'nan'guo'ben'xiao'sa 南国本潇洒
'nan'guo'jia'ren'tui'a'xiu 南国佳人推阿秀
'nan'jin'xin'hen'fei'luan'chang 难禁新恨费鸾肠
'nan'kou'yuan'yang'yu 难叩鸳鸯语
'nan'ou'dang'nian 难偶当年
'nan'ping'long'yi'chuan'mei 难凭陇驿传梅
'nan'pu'dong'feng'luo'mu'chao 南浦东风落暮潮
'nan'qu'bei'lai'tu'zi'lao 南去北来徒自老
'nan'xiao'ye'si'nian'zhang 难销夜似年长
'nan'xie'si'tong 难写丝桐
'nan'xun'nan'xiao'you'hen 南薰难销幽恨
'nan'xun'nong'bo'wei'bu 难寻弄波微步
'nan'yuan'qing'ye 南园清夜
'nan'yuan'qing'ye 南园清液
'nan'yue'qu'tian'cai'chi'wu 南岳去天才尺五
'nan'zhi'zu'zhou'ling'cao 难致祖洲灵草
'nang'xun'shui'she 囊熏水麝
'nao'hua'dian'jiu'pan'jun'chen 恼花颠酒拚君瞋
'nao'ren'hong'la'lei 恼人红蜡泪
'nao'yun'zhu'ge 挠云珠阁
'nei'yang'xin'zhuang 内样新妆
'nen'jiang'nan'meng'yao 恁江南梦杳
'nen'liang'ru'shui'tou'chuang'sha 嫩凉如水透窗纱
'neng'ge'wu 能歌舞
'ni'ba'ci'qing'shu'wan'yi 拟把此情书万一
'ni'hua'dang'shi'jiu'hao 拟话当时旧好
'ni'qian'dong 拟倩东
'ni'yu'qiang'xiu'nan 昵语强羞难
'nian'bei'li'yin'chen 念北里音尘
'nian'cai'yun 念彩云
'nian'gu'yuan'huang'hua 念故园黄花
'nian'huai'xian 念怀县
'nian'lai'jing'hu'feng'yue 年来镜湖风月
'nian'lai'yi'yang'shang'chun'shou 年来一样伤春瘦
'nian'le'shi'xi'feng 念乐事稀逢
'nian'li'qun 念离群
'nian'liang'you 念良游
'nian'lu'chui'yang 辇路垂杨
'nian'nian'nai'yi'jiu'dong'feng 年年奈依旧东风
'nian'nian'you'zi'xi'yu'chun 年年游子惜馀春
'nian'qi'jue'qin'xian 念凄绝秦弦
'nian'qing'mei 捻青梅
'nian'ri'bian'xiao'hao 念日边消耗
'nian'shi'yue 年时约
'ning'gang'chang'zhao'dan'qi 凝缸长照单栖
'ning'qing'chu 凝情处
'ning'ran'feng'du'chang'xian'xia 凝然风度长闲暇
'ning'si'jiu 凝思久
'ning'zhu 凝伫
'ning'zhu'jiu 凝伫久
'niu'nv'xiang'wang'chu 牛女相望处
'niu'zhu'tian'men'xian 牛渚天门险
'nong'han'yan'yu 弄寒烟雨
'nong'ran'yin'hao 浓染吟毫
'nong'shui'xiang'ping 浓睡香屏
'nong'si'tiao'guan 弄丝调管
'nong'xiang'ye'ye'tong 浓香夜夜同
'nong'ying'xi'xiang'qin'hu'yue 弄影西厢侵户月
'nong'zhu'ying 弄珠英
'nong'zhu'ying'yin'feng'wei'zhui 弄珠英因风委坠
'nong'zui'he'ci 浓醉何辞
'nuan'xu'fang'lan'kan'ji 暖絮芳兰堪藉
'nuan'yun'ru'xu'pu'di'kong 暖云如絮扑低空
'ou'xiang'feng 偶相逢
'pai'ban'zhang'deng'chun'shi'zao 排办张灯春事早
'pai'huai'pian'xiang'nan'wen 徘徊片向难问
'pai'qing'zhang 排青嶂
'pan'an'tai 攀鞍态
'pan'bin'dian'wu'shuang'jian'chou 潘鬓点吴霜渐稠
'pan'bin'xiao'lai'qing'jing'jue 潘鬓晓来清镜觉
'pan'ma'lou'qian'feng'ri'hao 盘马楼前风日好
'pao'lian'chu 抛练杵
'pei'huan'sheng'ren'yao'zhi'ruan 佩环声认腰肢软
'pei'lan'xiang'lao 佩兰香老
'peng'chuang'jin'ye'xiao'xiao'yu 篷窗今夜潇潇雨
'peng'shan'qian'wan'zhong 蓬山千万重
'peng'xia'dui'yu 篷下对语
'pi'han'jin 辟寒金
'pi'yi'qi 披衣起
'pian'ai'you'si'du 偏碍游丝度
'pian'de'san'lang'dai'xiao'kan 偏得三郎带笑看
'pian'fan'cheng'xing'dong'liu'zao 片帆乘兴东流早
'pian'hen'qiu'feng'tian'bin'xue 偏恨秋风添鬓雪
'pian'jian'xian'zi'die'huang'feng 偏健羡紫蝶黄蜂
'pian'pang'xiao'chuang'ming 偏旁小窗明
'pian'pian'cai'yi'fan'kai'fu 翩翩彩鹢帆开幅
'pian'ran'xiao'du'jiang'nan 翩然笑度江南
