'a'cao'po 阿曹婆
'mao'qing'ying 貌轻盈
'mei'bao'shen'ji'fu'she'ji 每抱沈机扶社稷
'mei'chen'ai 没尘埃
'mei'dang'yi'mu'lian 每当姨母怜
'mei'dao'shuo'shui'ji'yuan'yang 每道说水际鸳鸯
'mei'fan'bu'ceng'zhan'yi'kou 美饭不曾沾一口
'mei'feng'zhai'qi'shang'tui'mang 每逢斋七尚推忙
'mei'hen'jing'nian'li'bie'ku 每恨经年离别苦
'mei'hen'kuang'fu'bo'xing'ji 每恨狂夫薄行迹
'mei'hen'wu'mou'shi 每恨无谋识
'mei'hen'zhu'fan'sheng'liu'zhi 每恨诸蕃生留滞
'mei'jian'fang'bai'hao 眉间放白毫
'mei'jian'fang'guang'zhao'shi'fang 眉间放光照十方
'mei'jian'huang'huang 每见惶惶
'mei'li'xi'shi'bing'luo'pu 美丽西施并洛浦
'mei'mei'chang'feng'guo'wang'ren 寐寐长逢过往人
'mei'ren'meng'li'zuo'yin'sheng 美人梦里作音声
'mei'ren'qian'shou'nong'qin'zheng 美人纤手弄秦筝
'mei'ren'shui 美人睡
'mei'ren'wu'nai'shou'yi'mang 美人无奈手颐忙
'mei'ren'yi 没仁义
'mei'ri'chi'zhai'yi'ma'mai 每日持斋一麻麦
'mei'ru'chu'yue 眉如初月
'mei'si'long'feng'que 每思龙凤阙
'mei'sui'song'han'yi 每岁送寒衣
'mei'xue'luo'ting'chou'di 梅雪落停愁地
'mei'yi'xian'ren'yang'jiao'ai 每忆贤人羊角哀
'mei'yi'yi 没依倚
'mei'you'ku'zai'jin'ri'shi 每有苦灾今日是
'men'ji'tian'gong'you'xi 闷即天宫游戏
'men'qian'jie'wen'fei'shi'gui 门前借问非时鬼
'men'ting'liao'luo'guan'xian'xiu 门庭寥落管弦休
'meng'li'xiang'feng'shi'gu'ren 梦里相逢是故人
'meng'long'yan'wu'zhong 朦胧烟雾中
'meng'pao'jia'wu'qie'qin'qiu 猛抛家务且勤求
'meng'qi'chong'xin'chu 猛气冲心出
'meng'tou'qiang'bo 猛透强波
'meng'xian'lai 梦先来
'meng'zhong'shi'fu'dao'tian'guan 梦中时复到天关
'mi'tuo'fo 弥陀佛
'mi'tuo'guo 弥陀国
'mi'wu'wu 迷兀兀
'mi'xian'san 觅闲散
'mi'ye'chu'fu'hui 蓂叶初敷卉
'mi'ze'zhen'ru'shi'wang'xiang 迷则真如是妄想
'mian'bei'yuan'jia'sui'hou'cuo 免被冤家随后撮
'mian'chen'gou 面尘垢
'mian'ci'bei 面慈悲
'mian'dai'hei'se 面带黑色
'mian'jiao'xin'yuan'tian 免教心怨天
'mian'xiang'san'tu'yong'chen'zhui 免向三塗永沉坠
'miao'miao'san'jiang'shui 淼淼三江水
'mie'liu'shi 灭六识
'ming'huang 明皇
'ming'jing'xia'cen'ci'xie'zhui 明镜匣参差斜坠
'ming'jun'xun'xing'en'zhan'sa 明君巡幸恩霑洒
'ming'qin'lin 命亲邻
'ming'ri'yi'shi'mo'jiao'chi 明日依时莫教迟
'ming'wu'bie 命无别
'ming'yi'shi 名医识
'ming'yi'shi 明医识
'ming'yue 明月
'ming'zhu 明主
'ming'zhu'si'pan'xuan 明珠四畔悬
'mo'ba'pan'an 莫把潘安
'mo'ba'yao'shun'bi'jin'zhao 莫把尧舜比今朝
'mo'ba'zhen'xin'guo'yu'ta 莫把真心过与他
'mo'bao'qing'e'hua'rong'mao 莫保青娥花容貌
'mo'cuan'wan 莫攒玩
'mo'duo'luo 莫多罗
'mo'fang'man 莫放慢
'mo'jian'qiao 莫奸巧
'mo'jiao'gu'fu'a'ye'niang 莫教辜负阿耶娘
'mo'jiao'ke'lu'zhu'yan'zou 莫教渴鹿逐焰走
'mo'jiao'ye'jing'lai'xiang'wu 莫教业镜来相悟
'mo'jiao'zhi'dao'nian'shuai'mai 莫教直到年衰迈
'mo'jiao'zhong'dian'e 莫教重点额
'mo'jie'chuan'xiang'fan'huang'gong 蓦街穿巷犯皇宫
'mo'jun'juan'shu'chu'lai'kan 魔军眷属出来看
'mo'man'shen'xin'xu'jie'shen 莫谩身心须戒慎
'mo'pan'wo 莫攀我
'mo'qian'lin 莫悭吝
'mo'que'duo'shao'yun'shui 蓦却多少云水
'mo'ren'yun 莫任运
'mo'shang'xing'ren'qu 陌上行人去
'mo'xi'huang'jin'jie'peng'you 莫惜黄金结朋友
'mo'yan'qu'zhi'chang'ru'ci 莫言屈滞长如此
'mo'yan'yu'ye'de'shen'xian 莫言遇夜得身闲
'mo'ye'fu'ren'dan'tai'zi 摩耶夫人诞太子
'mo'zu'liang'qing'cong'guo'yu 莫阻两情从过与
'mou'lue 谋略
'mu'chu'han'ti'qi'chai'chuan 母处含啼乞钗钏
'mu'duan'wang'long'chi 目断望龙墀
'mu'duan'zhuang'lou'xiang'yi'ku 目断妆楼相忆苦
'mu'en'shen 沐恩深
'mu'feng'sao'xue'shi'song'ai 暮风扫雪石松哀
'mu'hen'chao'chou'bu'ren'wen 暮恨朝愁不忍闻
'mu'ji'lei 母饥羸
'mu'ku'er 母哭儿
'mu'nv'xian'niu'ru 牧女献牛乳
'mu'qian'zai'nan'bu'neng'qin 目前灾难不能侵
'mu'yi'guo'shan'guan 母意过山关
'mu'yin'heng'bo 目引横波
'nai'zhi'ye'niang'fang'shou'dao 奈知耶娘防守到
'nan'er'bu'xue'du'shi'shu 男儿不学读诗书
'nan'er'dao'ci'qu'zhe'di 男儿到此屈折地
'nan'hou'ren 难后人
'nan'lou'dui'bei'hua 南楼对北华
'nan'nv'qi'er'jie'bu'wei 男女妻儿皆怖畏
'nan'nv'you 男女幼
'nan'qi'hui 难期会
'nan'zhi'e 难制遏
'nan'zong'ding'xie'zheng'wu'geng'zhuan 南宗定邪正五更转
'nan'zong'zan 南宗赞
'nang'sheng'ceng'zao'jie'yuan'lai 曩生曾早结缘来
'nei'jia'jiao 内家娇
'nen'lian'hong'chun 嫩脸红唇
'neng'hu'chi 能护持
'neng'ling'lv'bin'zuo'cang'lang 能令绿鬓作苍浪
'neng'si'tiao'zhu 能丝调竹
'neng'wei'lao'sheng'chu'zhang'gai 能为劳生除障盖
'neng'yu'zhong'sheng'kai'fo'yan 能与众生开佛眼
'ni'bei'cheng'huang'ju'luo'ju 你辈城隍聚落居
'ni'chai'yi'ru'he 拟拆意如何
'ni'mao'wu'feng'fei'luan 拟貌舞凤飞鸾
'ni'mo'gu'tian'fu'di 你莫辜天负地
'ni'pu'yuan'bei 拟铺鸳被
'ni'qu'yan'tong'nong'nian'bi 你取砚筒侬捻笔
'ni'yu'xiang'qian'tang 拟欲向前汤
'nian'bu'qi 念不起
'nian'bu'san 拈不散
'nian'er'ba'jiu'suo'xiang'gui 年二八久锁香闺
'nian'fo'yi'shi'gui'she'qu 念佛一时归舍去
'nian'guan'yin 念观音
'nian'ji'qiu 年即秋
'nian'ming'shuai 年命衰
'nian'nian'wu'chang'quan'fu'tian 念念无常劝福田
'nian'shao'jiang'jun'zuo'sheng'chao 年少将军佐圣朝
'nian'shao'zheng'fu'jun'tie 年少征夫军帖
'niang'zi'mian 娘子面
'nie'pan'zheng'lu'ci'shi'mi 涅槃正路此时迷
'ning'su'ti'xue'tou'luo'shang'li 凝酥体雪透罗裳里
'nu'li'deng'chang'lu 努力登长路
'nu'li'hui'xin'qu'nie'pan 努力回心取涅槃
'nu'li'qin'xiu'cun'fang'hu 努力勤修存方护
'nu'li'xiu'qu'wei'lai'yin 努力修取未来因
'nuan'ri'he'feng'hua'dai'mei 暖日和风花带媚
'nv'ban'ge'gui'nan'pu 女伴各归南浦
'nv'ban'tong'xun'yan'shui 女伴同寻烟水
'nv'ruo'duo 女若多
'ou'yang'jiong 欧阳炯
'pa'mo'yan 怕磨研
'pai'bei'bai'qi'wu 排备白旗舞
'pan'dao'yuan 盘道远
'pan'lang'wang'yu'duo 潘郎妄语多
'pan'shi'yong'gu'shou'ru'shan 磐石永固寿如山
'pan'wo'tai'xin'pian 攀我太心偏
'pan'yue'mei'rong'peng'shou'lao 潘岳美容彭寿老
'pan'yue'rong 潘岳容
'pao'er'xu'du'chun 抛儿虚度春
'pao'huan'xing 泡幻形
'pao'qie'du'shou'kong'gui 抛妾独守空闺
'pao'qiu'le 抛球乐
'pao'ren'ru'duan'xian 抛人如断弦
'pao'shi'wu 抛世务
'pao'you'lei 抛幼累
'pao'zhi'duo 抛掷多
'peng'bei'shang 捧杯觞
'peng'hao'qi'de'jiu'rong'hua 蓬蒿岂得久荣华
'pi'jian'zhou 皮渐皱
'pi'li'tou'bian 霹雳头边
'pi'rou'suan'teng'lian'gu'sui 皮肉痠疼连骨髓
'pi'ru'gu'da'yan 譬如鹘打雁
'pian'pian'zhi'jian'shuang'fei'yan 翩翩只见双飞燕
'pian'yin'wu'ling'si'ken'qie 偏引五陵思恳切
'piao'piao'wan'li'sui'feng'zou 飘飘万里随风走
'piao'yao'qie'zai'san'feng'xia 飘飖且在三峰下
'pin'bing'ji'ling'qi'sao'xing 贫病即令妻嫂行
'pin'fei'shui'bu'xing 嫔妃睡不醒
'pin'jian'lao'ren'xing 频见老人星
'pin'pin'man'zhuo'zui'ru'ni 频频满酌醉如泥
'pin'qiong'ren 贫穷人
'pin'ren'yi'xiang'chen'ai'zou 贫人已向尘埃走
'ping'dan'yin 平旦寅
'ping'de'liang'ren 娉得良人
'ping'ji'ta'bang 萍寄他邦
'ping'jun'zi'ba'qing'tong'zhao 凭君自把青铜照
'ping'ming'chen'ban'zheng'qiu'zi 平明趁伴争球子
'ping'sheng'yi'qi'jin'zhao'jin 平生意气今朝尽
'ping'wei'qiao'qiao'chui'zhu'lei 幈帏悄悄垂珠泪
'po'luo'men 婆罗门
'po'nai'bu'zhi'he'chu'qu 叵耐不知何处去
'po'zhen'zi 破阵子
'pu'quan'si'zhong'yi'jiao'xiu'xing 普劝四众依教修行
'pu'quan'zhong'sheng'mo'zao'zui 普劝众生莫造罪
'pu'sa'duo'ling'yi 菩萨多灵异
'pu'sa'man 菩萨蛮
'pu'sa'xing'shi'long'zhong'qing 菩萨行时龙众请
'pu'ti'wu'zhu'fu'wu'gen 菩提无住复无根
'pu'ti'zhong'zi'zuo'hong'lian 菩提种子坐红莲
'qi'cao'cu'cheng'luan'feng'tai 起草蔟成鸾凤台
'qi'er'juan'shu'he'xu'le 妻儿眷属何须乐
'qi'fen'zhi'zhong'wei'de'yi 七分之中唯得一
'qi'han'yi'sheng'er'hu'xie 齐喊一声而呼歇
'qi'huang'mai'bu'yu'chan'shi 凄惶卖卜于廛市
'qi'jian'gu 岂坚固
'qi'jiao'ren'jian 岂教人见
'qi'ken'en'shen'guo'bai'nian 岂肯恩深过百年
'qi'lin'cuo'luo'kou'you'kai 鳍鳞锉落口犹开
'qi'neng'ting 岂能听
'qi'ni'duo'jiu'chong 祇拟夺九重
'qi'pai'shou 齐拍手
'qi'po'e'cheng'bei'dou'yun 七魄俄成北斗云
'qi'qin'zhu'sheng'ming 齐钦主圣明
'qi'qiu'dai'jian'mian 乞求待见面
'qi'qiu'de'bing'shui'xiang'jiu 乞求得病谁相救
'qi'qiu'mu'zi'mian'xiang'kan 乞求母子面相看
'qi'shi'lian'xiao'zuo'jie'jia 七十连宵坐结跏
'qi'shi'san'geng'ye'bu'jiao 七十三更夜不交
'qi'shi'sui'ren'you'zi'xi 七十岁人犹自稀
'qi'ta'za'qu'zi'yu'mei'ren 其它杂曲子虞美人
'qi'xun'chang 岂寻常
'qi'you'fan'fu'de'zhang'zai 岂有凡夫得长在
'qi'yue'meng'qiu'qiu'yi'liang 七月孟秋秋已凉
'qi'zhan'zhang'yu'gong'jian 弃毡帐与弓剑
'qi'zhi'hong'lian 岂知红脸
'qi'zhi'wu'ren'zui 葺治无人醉
'qi'zi'qing 妻子情
'qi'zuo'shen'yin'li'shuai'xiu 起坐呻吟力衰朽
'qi'zuo'yao'ren'fu 起坐要人扶
'qia'ru'mang'ren'bu'jian'dao 恰如盲人不见道
'qian'bian'nian'nong 千遍拈弄
'qian'cheng'jiang'shen'wei'zhi'zhun 前程将甚为支准
'qian'cheng'mian'shou'bo'zha'ku 前程免受波吒苦
'qian'hang'qi'zhen'lei 千行欹枕泪
'qian'hou'sui'shu'jin'xu'qu 前后虽殊尽须去
'qian'hui 千回
'qian'li'ge'sheng'de 黔黎歌圣德
'qian'lu'mang'mang'hei'ru'qi 前路茫茫黑如漆
'qian'lu'mang'mang'mei'yi'yi 前路茫茫没依倚
'qian'nian'feng'que'zheng'xiong'yi 千年凤阙争雄异
'qian'qie'fan'yuan'shuang'lei'ying 遣妾烦怨双泪盈
'qian'qiu'si'wan'qiu 千秋似万秋
'qian'qiu'wan'sui 千秋万岁
'qian'shan'yu'wan'qiu 千山与万丘
'qian'shou'ling'xing'yun'cui'liu 纤手令行匀翠柳
'qian'wan'sui 千万岁
'qian'xue'ju'fei'ying 堑雪聚飞萤
'qian'yi'hong'lian'zuo'sang'yu 潜移红脸作桑榆
'qiang'wen'jing 强闻经
'qiao'fang'bian 巧方便
'qiao'shi'hong'yan'cheng'mu'cao 巧使红颜成墓草
'qie'dai'san'geng'jian'ri'tou 且待三更见日头
'qie'jin'you'zai'jiu'ri'jing 妾今犹在旧日境
'qie'shen'ru'song'bai 妾身如松柏
'qie'shi'lin'wei'mo'xiang'sun 切是临危莫相损
'qie'yi'neng'gu'shou'bai'qiu 妾亦能孤守百秋
'qie'yi'qing'ru'dui'qiu'feng 妾亦情如对秋风
'qie'yuan'qiu'hu'su'xiang'jian 妾愿秋胡速相见
'qie'zai'kong'gui'heng'du'qin 妾在空闺恒独寝
'qin'duan'jue 亲断决
'qin'e'you 亲恶友
'qin'fa'yuan 勤发愿
'qin'huang'hua 钦皇化
'qin'jin'da'zhong'sheng'hui'zhi 亲近大众生慧智
'qin'sheng'fu'mu'si'xian'ren 亲生父母似闲人
'qin'shu'du'zuo'mao'an'shi 琴书独坐茅庵室
'qin'ting'mi'tuo'qin'fa'yu 勤听弥陀亲法宇
'qing'bei'le 倾杯乐
'qing'dong'qian'yi'mei'jing'tian 倾动迁移每惊天
'qing'gan'tong'ru'yu'shui 卿敢同如鱼水
'qing'guo'ying'nan'bi 倾国应难比
'qing'ken'nan'shen'tu 情恳难申吐
'qing'ming 清明
'qing'ming'jie'jin'qian'shan'lv 清明节近千山绿
'qing'ming'shi'jie'ying'tao'shu 清明时节樱桃熟
'qing'qie 情怯
'qing'qing'fu'fen 轻轻敷粉
'qing'qing'geng'huan'jin'zhi 轻轻更换金卮
'qing'qing'yun'fen'zhuang 轻轻云粉妆
'qing'shi 清时
'qing'shi'duan'zuo'shang'jin'tan 请师端坐上金坛
'qing'si'ba'long'yun 青丝罢拢云
'qing'si'ji'wan'lian'bian'fang 青丝髻绾脸边芳
'qing'xiao'xian'jin'shen 青霄现金身
'qing'xin'nan 清信男
'qing'xin'nv 清信女
'qing'xin'ri'ye'si'ming'zhu 倾心日夜思明主
'qing'ying'shi'nv'yao'ru'shu 轻盈士女腰如束
'qing'zhuan'shang 情转伤
'qiu'ci'yun'gong'shang 龟兹韵宫商
'qiu'feng'wang'wang'kan'zhan'sa 秋风往往堪霑洒
'qiu'fo'xing 求佛性
'qiu'huan'yi'wu'cheng 求宦一无成
'qiu'sheng'jing'tu'li'mi'tuo 求生净土礼弥陀
'qiu'shui'cheng'cheng'shen'fu'shen 秋水澄澄深复深
'qiu'xue'shan'zhong'bing'liang'si 求学山中并粮死
'qiu'ye'geng'chang'nan'ke'du 秋夜更长难可度
'qu'bian'wu'xiao'xi 去便无消息
'qu'cang'zu 去仓卒
'qu'er'zhong'hua'chang'yong'wu 去耳中华长用武
'qu'hou'sou'xun'fang'wo'zhong 去后搜寻房卧中
'qu'nian'chun'ri'zhang'xiang'dui 去年春日长相对
'qu'niao'wei'jie'cong'shi'jiao 驱鸟未解从师教
'qu'peng'you 屈朋友
'qu'zhang'bi 去障蔽
'qu'zhong'tan'dao 曲中弹到
'qu'zi'xiao'mo 去自消磨
'quan'jun'mo'qi'shi'tu'ren 劝君莫弃失途人
'quan'jun'qu'yu'zao'xiu'xing 劝君取语早修行
'quan'jun'wen'qu'shi'jia'zun 劝君问取释迦尊
'quan'mao'kui 全冒愦
'quan'mo'mang 劝莫忙
'quan'sha'zhu'yang'ji'shen'gui 劝杀猪羊祭神鬼
'quan'yin'zai'jiang'he 权隐在江河
'quan'zhu'ren 劝诸人
'que'chen'xun'chun'wan'hua'liu 却趁寻春玩花柳
'que'ding'chao 鹊顶巢
'que'gua'lv'lan'yong'bi'zhang 却挂绿襴用笔章
'que'shu'chuan'yu'duan'tun'lou 雀鼠穿窬篅囤漏
'que'si'yuan'zhong'fei'di'cao 却似园中肥地草
'que'xi'qian 却西迁
'que'yu'xu'xiao'xi 鹊语虚消息
'que'zai'xu'zhong'yuan'qin'li 却再叙衷鸳衾里
'qun'liao'qu'yu'qi 群僚趋玉砌
'qun'shang'shi'liu 裙上石榴
'rao'lin'fei 绕林飞
're'you'jiao 热油浇
'ren'an'tai 人安泰
'ren'ben'xing 忍本性
'ren'cong'shuo'luo'pu'yang'tai 任从说洛浦阳台
'ren'ding'hai 人定亥
'ren'hao'hao 人浩浩
'ren'jian'ku'shi'xu'zhi'you 人间苦事须知有
'ren'ni'ye'niang'mai'jia'chan 任你耶娘卖家产
'ren'ru'rou'he'chu'ju'ao 忍辱柔和除倨傲
'ren'sheng'bu'zuo'fei'xu'ji 人生不作非虚计
'ren'sheng'zai'shi'xu'si'lao 人生在世须死老
'ren'ta'luan'fen'fang 任他乱芬芳
'ren'ta'luo'qi'qian'ban 任他罗绮千般
'ren'ta'sheng'ge'bai'wan'ban 任他笙歌百万般
'ren'wen'zheng'bu'bei'shang 人闻争不悲伤
'ren'xi'dong 任西东
'ren'zheng'bian 任征边
'ren'zheng'chang 人争唱
'ri'chu'mao 日出卯
'ri'jiang'wan 日将晚
'ri'jiang'xi 日将西
'ri'jiang'yan 日将晏
'ri'jiang'zhi 日将至
'ri'nan'wu 日南午
'ri'nuan'feng'qing'jia'jing 日暖风轻佳景
'ri'ri'chou'jun'xing'lu'nan 日日愁君行路难
'ri'ru'you 日入酉
'ri'shi'yi'ma'mai 日食一麻麦
'ri'yi'wei 日昳未
'ri'zheng'yu'lan'cheng'qu'chou 日蒸雨烂成蛆臭
'rong'hua'zheng'wen'bian 荣华争稳便
'rong'yan'qiao'cui 容颜憔悴
'rou'hong'shan'zi'shi'liu'qun 肉红衫子石榴裙
'rou'lu'bu'shi'ting'que'zhao 柔橹不施停却棹
'ru'ban'bing 如伴病
'ru'ci'xiang'chou'ji'shi'xie 如此相仇几时歇
'ru'dao'ge 如刀割
'ru'jin'jie'tan'shi'bei'yin 如今嗟叹始悲吟
'ru'jin'sheng'zhu'zhao'xian'cai 如今圣主召贤才
'ru'jin'shi'shi'yi'cen'ci 如今时世已参差
'ru'jin'yi'xiang'wei'sheng'ya 如今一向为生涯
'ru'jin'zheng'shi'wen'yu'shu 如今争识文与书
'ru'ju'mo 如聚沫
'ru'kong'ding 入空定
'ru'lai'zhi'hui'ben'you'xin 如来智慧本由心
'ru'lai'zhi'hui'hua'zhong'cang 如来智慧化中藏
'ru'ruo'shang'she'kou'han'zhen 如若伤蛇口含真
'ru'sheng 儒生
'ru'sheng'wei 入圣位
'ru'shi'ding'feng'bo 儒士定风波
'ru'shi'lou'luo'zhuan'geng'jia 儒士偻儸转更加
'ru'si'shi'she'yi'qun'sheng 如斯施设益群生
'ru'zhen'zhi'shi 入阵之时
'rui'cai'shi'shi'yan'xia'qi 瑞彩时时岩下起
'rui'qi'bian'shan'he 瑞气遍山河
'rui'qi'ji'zhu'xian 瑞气集诸贤
'run'san'yue 闰三月
'ruo'bu'shi 若布施
'ruo'bu'yuan'zhang'tian'wei'li 若不远仗天威力
'ruo'de'qiu'shan'bu'fu 若得丘山不负
'ruo'fei'jian'ren'mo'xin'chuan 若非尖刃陌心穿
'ruo'fei'jing'tu'li'mi'tuo 若非净土礼弥陀
'ruo'ge'xian'zhong'wu'yuan'sheng 若个弦中无怨声
'ruo'gu'yi 若姑姨
'ruo'luo'bian'fang'xia'jian'zhong 若落边方下贱中
'ruo'neng'guan'xing'zui'wei'zhen 若能观行最为珍
'ruo'shi'jie 若时节
'ruo'shi'sheng'ya'xing'qie'chong 若是生涯幸且充
'ruo'you'ren'wen'song'chi'shou 若有人闻诵持受
'sa'yu'qian'kun'nei 洒雨乾坤内
'sai'yan'nan'xing 塞雁南行
'san'ce'zhang'liang'fei'e'ruo 三策张良非恶弱
'san'che'yi'li'men'qian'lu 三车已立门前路
'san'chi'long'quan'jian 三尺龙泉剑
'san'chi'qing'she 三尺青蛇
'san'cong'si'de 三从四德
'san'dong'shi'yue'xi'gu'er 三冬十月洗孤儿
'san'geng'ban 三更半
'san'geng'ji'mo'qu'kong'hou 三更寂寞取箜篌
'san'geng'man 三更满
'san'geng'shen 三更深
'san'geng'yan 三更严
'san'geng'ye'yue'ting 三更夜月亭
'san'guang'ye'he'yao'zhi 三光也合遥知
'san'huang'wu'di'zong'cheng'kong 三皇五帝总成空
'san'hun'liu'po'jin'he'zai 三魂六魄今何在
'san'jie'chao 三界超
'san'jie'san'liang'yan'huang'cao 三杰三良掩荒草
'san'ke'fa'jing'mei'jian'lao 三科法境没坚牢
'san'qie'wu'che'he'zu'tao 三箧五车何足讨
'san'ruo'dian'guang'kai 散若电光开
'san'shi'jing'tong'fa'lun'quan 三十精通法论全
'san'shi'tang'tang'liu'yi'quan 三十堂堂六艺全
'san'shou 三首
'san'tu'di'yu'mei'ren'jiu 三途地狱没人救
'san'yue'ji'chun'chun'jian'xuan 三月季春春渐喧
'sao'tou'zhong'yong'cong'bu'cha 搔头重慵憁不插
'sao'tou'zhui'bin 搔头坠鬓
'se'shu'mo'ling'shao 色数莫令少
'sha'ge'zhu'yang'qu'xian'ren 杀个猪羊屈闲人
'sha'gui'qi'neng'rong'chan'zha 煞鬼岂能容谄诈
'sha'gui'ren'jun'qian'ju'wan 煞鬼任君钱钜万
'sha'gui'tu'lao'zhang'zhong'wu 煞鬼徒劳掌中舞
'sha'luo'lin'li'jian'shi'zun 莎罗林里见世尊
'sha'yu'guo'ba'yong'yin'zhuang 沙鱼裹欛用银装
'sha'zhu'yang 杀猪羊
'shan'bie'gong'shang 善别宫商
'shan'chuan'cao'mu'yi'zhen'xiang 山川草木异祯祥
'shan'dong 山东
'shan'e'wu'si'yi'wu'nian 善恶无思亦无念
'shan'hou'kai'yuan'zhong'yao'kui 山后开园种药葵
'shan'hua'zi 山花子
'shan'nan'shan'nv'shen'si'liang 善男善女审思量
'shan'neng'ge 善能歌
'shan'nv'shan'nan'ting'wo'shuo 善女善男听我说
'shan'yao'xiu 善要修
'shan'yue'yu'ou'chang'zuo'ban 山月与鸥长作伴
'shang'bei'tai 上北台
'shang'dong'tai 上东台
'shang'han 伤寒
'shang'lian'xiao 上连霄
'shang'nan'tai 上南台
'shang'qi'chuan'cu'ren'bu'shi 上气喘粗人不识
'shang'san'huang 上三皇
'shang'xi'tai 上西台
'shang'you'qiong'cang'zai 上有穹苍在
'shang'zhong'tai 上中台
'shao'bao'xiang 烧宝香
'shao'chen'du 少嗔妒
'shao'cuo'tuo 少蹉跎
'shao'nian'fu'xu 少年夫婿
'shao'nian'gong'zi'fu'en'duo 少年公子负恩多
'shao'nian'qi'ma'lang 少年骑马郎
'shao'nian'qin'xue'mo'ci'pin 少年勤学莫辞贫
'shao'qi'deng'xia'zuo'zhi'yi 少妻灯下坐支颐
'shao'qian'he 少谦和
'shao'yan'hui 少颜回
'shao'you'xing'yun 稍有行云
'shao'zhi'jie 少知解
'shao'zhu'qiu 少诛求
'she'hua'tang 舍华堂
'she'li'shan'zu 涉历山阻
'she'que'qian'tan'ji'fu'mu 舍却悭贪及父母
'she'shen'ji 设深机
'she'xuan'nao 舍喧闹
'shei'ren'gan'qu'ding'feng'bo 谁人敢去定风波
'shen'chan'she'jiao'rong'yan'hei 身颤舌焦容颜黑
'shen'ding'ning 甚叮咛
'shen'hun'yi'ru'you'ming'jie 神魂已入幽冥界
'shen'ji'ming'ming'zhen'shang'mian 身即冥冥枕上眠
'shen'pi'suo'li'zhi'yu'gan 身披蓑笠执鱼竿
'shen'qi'lie 神气劣
'shen'shang'zhui'pai'shu'zi 身上缀牌书字
'shen'shen'chang'hua'mei'lv 深深长画眉绿
'shen'tong'zhi'hui'yi'zhu'ren 神通智慧异诸人
'shen'xia'ping'wei 深下幈帏
'shen'xie'ci'lian'jian'jiang'shi 深谢慈怜兼奖饰
'shen'xie'de'mu'tou'san'si'pian 身谢得木头三四片
'shen'yin'ding 深印定
'shen'zhi'zhi'lei'mu'zhen'xiu 神祗之类沐珍羞
'shen'zui'wo'yan'xia 沈醉卧烟霞
'sheng'cha'zi 生查子
'sheng'chen'zan'zan'si'fu'ou 升沉暂暂似浮沤
'sheng'cheng'wan'wu'li'neng'shen 生成万物力能深
'sheng'ge'bu'zan'xian 笙歌不暂闲
'sheng'geng'ye 声哽噎
'sheng'huang'wu'xu'li 笙篁无绪理
'sheng'ling'ku'qu'qing'tian'jian 生灵苦屈青天见
'sheng'ping'ren'dao'tai 升平人道泰
'sheng'rao'liang 声绕梁
'sheng'shang'he'wen'sheng 圣上合闻声
'sheng'shi'jie'cong'ci'shi'ban 胜事皆从此时办
'sheng'shi'luo'ran'nan'gu'ji 生事落然难顾藉
'sheng'si'bing'yuan'he'ri'cha 生死病源何日差
'sheng'si'da'tang'hao 生死大唐好
'sheng'tian'zhong'gui'hai'duo'luo 生天终归还堕落
'sheng'wen'yuan'jue'bu'zhi'yin 声闻缘觉不知音
'sheng'yong'yi'tiao'qiang 胜用一条枪
'sheng'you'si 生又死
'sheng'ze'bian'tian'ya 圣泽遍天涯
'sheng'zhang'shen'gui'yuan 生长深闺院
'shi'bu'gu'yi 誓不辜伊
'shi'cha'fan 失茶饭
'shi'chong'fu 石崇富
'shi'chou'ren 实愁人
'shi'chuan'xing 是船行
'shi'dai'di'zi'lai'chan'hui 十代弟子来忏悔
'shi'dang'ba'jiu'ri 时当八九日
'shi'dang'wu'liu'ri 时当五六日
'shi'dang'zuo'fo'ku'hai'qiao 誓当作佛苦海峤
'shi'en'de 十恩德
'shi'er'yue'ji'dong'dong'ji'han 十二月季冬冬极寒
'shi'er'yue'xiang'si 十二月相思
'shi'fa'yao 施法药
'shi'fang'zhu'fo'bu'li'shen 十方诸佛不离身
'shi'fu'jun 使府君
'shi'fu'tian 实福田
'shi'ji'ling'ren'ai'min'jian 实即令人哀悯见
'shi'jia'you'zi'ru'nie'pan 释伽犹自入涅槃
'shi'jia'zun 释迦尊
'shi'jian'ying'yun'zai'mu'qian 时见迎云在目前
'shi'jian'zao'zuo'ying'bu'jiu 世间造作应不久
'shi'jing'leng'ceng 石径崚嶒
'shi'kang 时康
'shi'ke'xun'huan'you'zhong'shi 时刻循环有终始
'shi'nan'che 实难掣
'shi'nian'jin'zhen 时拈金针
'shi'qing'hai'yan'ding'feng'bo 时清海晏定风波
'shi'ren'wei'ke'qu'yan 时人未可趋颜
'shi'shi'chen 食时辰
'shi'shi'han're'han'wei'wei 时时寒热汗微微
'shi'shi'jiao'ta'li'nan'zhi 实是教他力难值
'shi'si'yi'ru'mian 视死亦如眠
'shi'tiao'ming 失调名
'shi'xiang'qiu 食香糗
'shi'yi'yue'zhong'dong'dong'sheng'han 十一月仲冬冬盛寒
'shi'yin'shan'lin'zhong'bu'chu 誓隐山林终不出
'shi'yue'meng'dong'dong'jian'han 十月孟冬冬渐寒
'shi'zhai'ba'jie'you'gong'lao 十斋八戒有功劳
'shi'zhi'bei'feng'chui 十指被风吹
'shi'zhi'ru'yu'ru'cong 十指如玉如葱
